지역,제목,저자,날짜,url,내용
대구,홍준표 `후쿠시마 원전 오염수 해양투기는 일본 자해행위`,경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394566,"홍준표 대구시장은 ""우리나라는 일본의 후쿠시마 원전 오염수 해양투기를 찬성하지도 않을 것이고 찬성해서도 안 된다""고 밝혔다.홍 시장은 11일 자신의 페이스북을 통해 ""후쿠시마 오염수를 방류하면 어느 나라라도 일본의 해산물은 수입하지 않을 거라는 것을 일본은 알아야 한다""며 ""이미 오니(汚泥)의 해양투기가 금지된 지금 그보다 훨씬 위해 가능성이 큰 원전 오염수를 해양 투기하겠다는 것은 큰 잘못""이라며 이같이 강조했다.그는 해양투기를 찬성해서는 안 되는 이유에 대해서 ""한미일 경제 안보 동맹과는 별개인 세계인들의 건강권 문제이기 때문""이라고 말하며 ""그럼에도 해양투기를 자행하면 그건 일본의 자해 행위가 될 것""이라고 말했다."
대구,"대구 서구 비원뮤직홀, `이태리 가곡의 밤` 공연",경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394562,"대구 서구 비원뮤직홀이 오는 17일 오후 6시 BMH 클래식 시리즈로 이태리 유학 출신 성악가들이 선보이는 `이태리 가곡의 밤`을 선보인다. 비원뮤직홀은 가곡의 아름다운 매력을 널리 알리기 위해 5월과 6월 총 3편에 걸쳐 ‘예술가곡의 밤 시리즈’를 열고 있다. 지난달 19일 ‘한국 가곡의 향연’과 지난 3일 ‘독일 가곡의 밤’이 성황리에 마쳤다. 시리즈 중 마지막으로 선보이는 ‘이태리 가곡’은 음악사조의 양대산맥 중 하나인 이태리의 문화를 언어로 표현하는 노래다. 차갑고 이성적인 독일 가곡에 비해 뜨겁고 감성적인 이태리 가곡은 한 때 세계의 중심이었던 로마와 수상도시인 베네치아를 중심으로 활발하게 연주돼 왔다.특히 고전주의 음악을 대표하는 곳이 독일과 오스트리아였다면 낭만주의 음악을 대표하는 곳은 이태리로 정형적인 형식과 신앙적인 곡을 주로 다뤘던 고전주의에 반발해 낭만과 사랑, 사람들의 일상적인 곡을 노래하며 이태리의 열정을 음악으로 표출해왔다.이태리 가곡의 대표적인 작곡가로는 스카를라티, 벨리니, 도니제티, 토스티 등이 있으며 오는 17일 공연에서 위 작곡가들의 곡과 더불어 다양한 작품을 감상할 수 있다. 출연진은 테너 정호윤, 소프라노 김정아, 바리톤 김승철, 피아노 박선민으로 구성돼 있다.테너 정호윤은 서울대 성악과를 졸업 후 베를린 국립음악대학 수료 및 브루노 국립콘서바토리 최고연주자 과정으로 졸업했다. 동아일보 콩쿠르 우승, 국립오페라 콩쿠르 대상, 벨기에 왕립 베르비에 콩쿠르 대상 등을 차지하며 본격적인 활동을 시작한 그는 비엔나 국립극장과 함부르크 국립극장 전속 솔리스트를 역임하며 한국인의 위상을 떨쳤다. 현재 국내 테너 중 가히 최정상급의 기량을 가지고 있으며 국내외에서 오페라 등 수 많은 공연의 섭외 1순위로 꼽히는 실력자다.소프라노 김정아는 서울대 성악과 및 동대학원을 졸업 후 이태리 빼스카라 아카데미아를 졸업했다. 마리오 델 모나코 국제콩쿠르 1위 및 다수의 콩쿠르에서 우상하며 국제적으로 이름을 알렸으며 수백회의 오페라, 오라토리오에서 주역을 소화해왔다. 현재는 영남대학교 예술대학 성악전공 교수 및 전문연주자로 활동하고 있다.바리톤 김승철은 제주대를 졸업 후 이태리 코센자 음악원, 빼스카라 아카데미아 등에서 졸업했다. 알카모 국제 성악 콩쿠르 등에서 1위를 차지하며 본격적으로 명성을 떨치던 그는 오페라, 콘서트 등 다양한 공연을 해왔으며 현재는 계명대학교 음악공연예술대학 성악전공 교수 및 전문연주자로 활동하고 있다.피아니스트 박선민은 영남대 피아노과 및 동대학원을 졸업 후 러시아 상트페테르부르크 국립음악원과 이태리 도니제티 아카데미 반주 과정을 졸업했다. 현재 대구오페라하우스 피아니스트, 대구 예술영재교육원 강사 등으로 활동 중이다. 관람은 10세이상 전석무료로 진행된다. 예매는 오는 14일 오전 9시부터 1인 2매까지 온라인과 방문예매가 동시에 진행된다."
대구,"행복북구문화재단, 예술교육프로그램 `알.유.JAZZ?` 참여자 모집",경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394559,"행복북구문화재단이 오는 21일부터 10월 13일까지 문예회관 문화예술교육프로그램 지원 사업 ‘알고 보면 유익한 재즈 이야기`알.유.JAZZ?`(이하 알.유.JAZZ?)’를 진행한다.`알.유.JAZZ?`는 지역주민의 생활 속 문화 예술 향유 기회를 제공하는 사업으로 재즈라는 예술 장르를 감상하고 직접 체험하고 배울 수 있는 프로그램이다. 영화, 책, 대중가요와 같이 친근하게 느끼는 일상 속 여러 요소들과 재즈를 연관 지어 어렵지 않게 알아갈 수 있으며 재미있고 가벼운 재즈의 숨은 사실들부터 흥미롭고 전문적인 지식까지 모든 것을 배울 수 있다. 이번 프로그램은 롱아일랜드재즈밴드 강사가 교육한다. 롱아일랜드재즈밴드는 2018년 결성된 팀으로 ‘레트로 스윙재즈’ 콘셉트를 가지고 대구를 중심으로 활발히 활동 중이다. 멤버 전원이 작사, 작곡을 하며 그들만의 색깔을 가지고 다양한 무대를 선보이는 실력파 재즈밴드다. 교육 대상은 만 19세 이상 성인이다. 1기수와 2기수 교육 기간은 21일부터 7월 26일까지다. 3기수와 4기수는 8월 중 모집 예정이다. 1기수와 2기수는 오는 19일까지 선착순 모집하며 기수별 20명씩 참여 가능하다."
대구,"수성아트피아, 카이로스 `댄스오페라–춤추는 카르멘` 공연",경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394555,"대구 수성아트피아가 오는 16일 오후 7시30분 대극장에서 상주단체 기획공연Ⅰ카이로스 ‘댄스오페라–춤추는 카르멘’을 무대에 올린다. 수성아트피아는 대구문화예술진흥원의 공연장상주단체육성지원사업에 선정돼 카이로스와 안정적인 협력관계를 마련하고 수준높은 프로그램을 선보이게 됐다. 댄스오페라–춤추는 카르멘은 오페라 `카르멘`의 원작인 프랑스 작가 프로스페르 메리메의 소설을 바탕으로 만들었다. 사전 음악작업을 통해 오케스트라의 웅장함과 함께 전문 오페라 가수들의 라이브 음악으로 진행된다. 또 시시각각 변화하며 움직이는 댄서들의 역동적인 춤, 소설 속 극중 인물들의 연기 등을 선보이며 오페라와 현대무용을 한 무대에서 만나볼 수 있는 시간을 선사한다.올해 수성아트피아 상주단체로 선정된 카이로스는 ‘인생에서 특별하게 느껴지는 시간의 어떤 순간’이라는 뜻처럼 춤으로 관객들에게 특별한 시간을 선사하는 단체다. 현대 사회에서 일어나고 있는 현상과 문제들에 대해서 함께 고민하며 이것을 무용이라는 언어로 다시금 풀어내고자 하며 지난 2011년부터 대구를 거점으로 활동하고 있다. 매년 신작을 비롯해 연간 10회 이상의 공연을 무대에 올리고 있으며 지난 2019년부터는 대구시전문예술인단체로 등록됐다. 연출 및 안무는 김영남이 맡았으며 음악감독 김현서, 메조소프라노 박소진, 테너 오영민, 바리톤 임봉석, 무용수 엄선민, 박지수, 류정인, 최서아 등이 출연한다.공연은 일반 2만원, 학생 1만원이다. 예매는 수성아트피아 홈페이지와 티켓링크에서 가능하다."
대구,"대구북구·군위군의회, 상호협력 방안 모색",경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394552,대구북구의회와 군위군의회가 지난 9일 군위군의 대구시 편입에 앞서 의회 간 교류 활성화를 통해 공감대를 형성하고 상호협력 방안을 모색하기 위해 간담회를 가졌다.지난달 19일 TK신공항 건설사업에 대해 논의하기 위해 차대식 북구의회 의장을 비롯한 북구의회 신공항특별위원회 위원들이 군위군에 방문해 해당 사업에 대한 논의 및 양 의회 의정활동에 대해 상호 교류하기로 협의 후 두 번째 이뤄진 기관 방문이다.이날 간담회에서는 대구시 편입 이후 양 기관 교류 활성화를 위해 상호협력 체계 방안 및 의정활동 정보 공유에 대해 논의했다.차대식 의장은 “북구와 군위는 지리적으로도 인접해 있어 양 의회가 앞으로 더욱 돈독한 협력체계를 구축하고 각종 현안을 공유하면서 지역사회의 성장과 발전에 기여토록 노력하겠다”고 밝혔다.
대구,"대구시의회 기획행정위, 가창면의 수성군 편입 관련 주민 간담회",경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394551,"대구시의회 기획행정위원회가 지난 9일 오전 달성군청 상황실, 오후 가창면 행정복지센터 회의실에서 각각 달성군민과 가창면민을 대상으로 대구시가 추진 중인 가창면의 수성구 편입에 대한 의견을 청취하기 위한 주민 간담회를 가졌다.이번 주민 간담회는 대구시가 지난 2일 가창면의 수성구 편입을 추진하기 위한 `대구시 수성구와 달성군의 관할 구역 경계변경 조정 신청에 대한 동의안`을 대구시의회로 제출함에 따라 이에 대한 본격적인 심사에 앞서 정책 이해당사자의 의견을 수렴해 내실 있는 심사를 이어나가기 위해 추진됐다.위원들은 이번 조치가 시민들의 일상에 큰 변화를 초래하고 편입에 대한 찬반의견 대립도 격화되는 상황인 만큼 지역 주민들의 다양한 의견을 주의 깊게 청취하고 이를 동의안 심사과정에 충실히 반영할 것을 약속했다.임인환 기획행정위원장은 “현장에서 수렴한 여러 의견과 함께 가창면의 수성구 편입 필요성, 추진 과정, 문제점 등을 신중하게 검토해 지역 사회의 발전과 주민의 복리 증진에 도움이 되는 최선의 결정을 내릴 것”이라고 말했다. 한편 대구시는 비슬산·최정산으로 막혀 달성군 내 다른 읍·면과 교류가 적고 수성구와 생활권을 공유하는 등 관할 구역과 생활권의 불일치로 주민 불편을 초래하는 가창면 관할 구역을 기존 달성군에서 수성구로 편입하고자 지역 실태조사, 기본계획 수립 등을 완료했다.이번에 이뤄진 동의안 제출은 행정안전부로 경계변경 조정신청을 하기 위한 사전 절차로 대구시의회의 재적의원 과반수 출석, 출석의원 3분의 2 이상의 동의를 얻어야 후속적인 절차 진행이 가능하다."
대구,"폴리텍대학 영남융합기술캠퍼스,  학술대회 최우수논문발표상 수상",경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394549,"한국폴리텍대학 영남융합기술캠퍼스가 스마트물류과 재학생들이 2023년 전반기 학술대회에서 최우수논문발표상, 우수논문발표상을 수상했다고 11일 밝혔다.한국산업기술융합학회 등이 주최한 올해 전반기 학술대회는 산업 기술의 첨단화, 다양화, 전문화에 따른 기술의 복합적 융합화가 필요한 현 산업에 필요한 인력을 육성·도모하고 기술의 발전과 능력개발 향상에 목적을 두고 있으며 상반기·하반기로 나뉘어 개최되고 있다.스마트물류과는 이번 학술대회에서 최우수논문발표상(이보슬씨), 우수논문발표상(김시원씨)을 수상했다. 스마트물류과 구병모 학과장은 “권위있는 KCI 등재지 수상이라 매우 뜻깊게 생각하고 있으며 최선을 다해 준 두 학생에게 감사를 표한다”며 “스마트물류과는 올해 4기를 운영중에 있으며 물류 4.0시대에 핵심인재를 육성해 취업률 100%의 신화를 이어가도록 하겠다”고 말했다."
대구,[동정] 류한국 대구서구청장,경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394547,류한국 대구서구청장은 12일 오전 9시 구청장실에서 열리는 `간부회의`에 참석한다.
대구,[동정] 이태훈 대구달서구청장,경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394546,이태훈 대구달서구청장은 12일 오전 8시30분 구청 2층 대강당에서 열리는 `확대간부회의’를 주재한다.
대구,[동정] 조재구 대구남구청장,경북신문,2023-06-11,http://www.kbsm.net/news/view.php?idx=394544,조재구 대구남구청장은 12일 오후 2시 4층 회의실에서 열리는 `매니페스토 우수사례 남구 경진대회`에 참석
