지역명,기사제목,기자이름,날짜,내용,링크
경산,"시정소식지 우리경산 개편, 시민들 ‘호평’",일간경북신문 - 이종구 기자,2023/05/31,"경산시가 매월 발행하는 시정소식지‘우리 경산’이 큰 글씨와 사진의 비중을 늘린 디자인 개편 등으로 시민들의 가독성을 높이고 있다는 호평을 받고 있다고 지난달 31일 밝혔다.
소식지‘우리경산’은 민선 8기 시작과 함께 유명 잡지에서나 볼 수 있는 사진 기술과 커버스토리 형식을 도입해 시의 정책이나 다양한 소식들을 쉽게 전달할 수 있도록 하고 소식지 규격도 B5 사이즈에서 A4 사이즈로 큰 변화를 주었다.
또한, 소식지에 시가 추구하는 산․학․관 상생협력의 일환으로‘이 달의 기업’ 등 우수기업을 소개하는 한편, 현재 주요 이슈 사항을 재미있는 만화로도 구성해서 게재하고 있어, 다양한 연령층으로부터 호응을 얻고 있다.
시각장애인과 노인 등 정보 취약계층을 위해 소식지 내용을 음성으로 들을 수 있는 음성변환프로그램을 지난 2월 도입해, 소식지 상세내용을 QR코드를 활용해 동영상으로도 볼 수 있다.
또한, 정보화 시대 언제 어디서든 휴대폰으로도 손쉽게 시정 소식을 접할 수 있도록 시 공식 SNS 채널을 통해 제공하고, 경산시 누리집(홈페이지)을 통해서도 매월 새롭게 발간하는 소식지를 볼 수 있도록 게재하고 있다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=307638
경산,"경산, 다양한 소상공인 지원 ‘빛나는 성과’",일간경북신문 - 이종구 기자,2023/05/31,"특례보증 완화… 자금난 해소
경산시는 올해 3高(고금리·고유가·고물가) 현상과 가스요금 등 공공요금 인상에 따른 소비위축이 자영업자들의 매출 감소로 이어져 심각한 경영·자금난을 겪고 있는 관내 소상공인을 위한 발 빠른 대응과 다양한 지원책을 펼쳐 가시적인 성과를 거두고 있다고 지난달 31일 밝혔다.
시는 주요 성과로 ▲특례보증 기준 대폭 완화 ▲도내 최초·유일 전문가 초청 소상공인 상담의 날 운영 ▲상수도·종량제봉투 요금 동결 및 착한가격업소 지정 ▲경산사랑상품권 모바일 간편결제(QR)도입 ▲공공배달앱 ‘먹깨비’ 최다주문·최고매출로 소상공인의 배달대행비 부담완화 등을 꼽았다.
먼저, 코로나 회복자금 대출의 원금상환 도래와 높은 이자 부담을 해소하기 위한 경산시 특례보증 기준을 과감히 완화하는 특단책을 시행해 소상공인의 자금난을 해소하는데 기여했다. 이는, 지난 3월 경북신용보증재단과 협약을 통해 기존에는 불가했던 기보증 회수보증(대환)과 추가 보증(경산시 특례보증 限)도 가능하게 해 원금상환 유예와 이자 지원 연장 효과를 볼 수 있도록 기준을 대폭 완화·확대해, 시행 2개월여 만에 174개 업체에서 혜택을 누렸다.
올해 5. 26. 현재 특례보증 실행은 488건에 112억원이며, 스타트업에 98건 23억여 원을 보증해 스케일업 하는 데 도움을 줬다.
또한, 소상공인에 대한 보호와 직접적인 지원뿐 아니라 경쟁력과 자생력을 높일 수 있도록 경북 도내 최초·유일하게 소상공인 1:1 맞춤상담의 날을 운영했다. 경영·세무·금융·노무·마케팅 등 분야별 전문가를 초청하여 다양한 업종의 소상공인(30여 명)이 전문가 컨설팅을 받았다. 시는 상담 후 모니터링을 실시하여 98%의 긍정적 답변과 개선사항을 반영해 향후 ‘상담의 날’을 정례화할 계획이다.
아울러, 지방공공요금 동결 및 착한가격업소를 지정해 물가 안정화에도 기여했다. 공공요금 안정화를 위한 물가대책위원회 개최, 지방공공요금 동결로 물가안정에도 총력을 다했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=307632
경산,경산 청소년 가요제·댄싱 ‘열띤 경연’,일간경북신문 - 이종구 기자,2023/05/30,"경산시는 지난 27일 남천둔치 야외 공연장에서 청소년과 일반 시민 등 1,000여 명이 참석한 가운데「제7회 경산청소년 가요제 & 댄싱대회」를 개최했다.
경산시가 후원하고 경산청소년문화연구소(소장 김경훈)가 주최한 이번 가요제는 류종윤 밴드, 임우영 연주자의 색소폰 공연을 시작으로 가수 서희, 이세벽, 스타온 예술단의 축하 무대가 펼쳤으며, 참가자 62팀 중 예선을 통과한 보컬 10팀, 밴드 5팀, 댄스 3팀 총 18팀이 열띤 경연을 펼쳤다.
특히 이번 행사는 경연에 참여한 청소년은 물론 일반 시민들도 참여할 수 있도록 ▲인명구조 체험, ▲캘리그라피 배우기 ▲무료 음료 나눔터 등 다양한 부스를 설치해 세대 간 교류의 장을 만들고 축제에 다채로움을 더했다.
이날 조현일 경산시장은“미래의 주역인 청소년들이 역량을 마음껏 키우고 건강하게 성장할 수 있는 시민 중심 행복 경산을 만들어 나갈 것이며, 앞으로도 청소년 문화예술 환경을 만들어 나가는 데 관심과 지원을 아끼지 않겠다”고 밝혔다.
한편 경산청소년 가요제 & 댄싱대회는 5월 청소년의 달을 기념해 전국 청소년들이 참여해 끼와 열정을 마음껏 발산하며 학업에 지친 마음을 치유하는 축제의 무대로 올해로 7회째 진행되고 있는 행사이다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=307414
경산,"경산장학회, 우수 신입대학생에 장학증서",일간경북신문 - 이종구 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307321
경산,"경산 주민참여예산위, 본격 활동",일간경북신문 - 이종구 기자,2023/05/29,"경산시는 지난 26일, 시청 대회의실에서 ‘제3기 경산시 주민참여예산위원회 위촉식’을 개최하고 본격 활동을 시작했다고 밝혔다.
이날 위촉장 전달 후 조현일 시장 주재로 주민참여예산제도 활성화 방안 및 운영 방향에 대하여 토의하고 주민참여예산학교 운영, 주민참여예산 심의 등 향후 추진 일정을 공유했다.
제3기 주민참여예산위원은 총 30명으로 전문가(3명), 공개모집(7명), 읍면동 지역회의 추천(15명) 등 위촉직 25명과 당연직 5명으로 구성됐으며, 다양한 연령층과 지역이 포함되어 있어 각계각층의 목소리를 반영할 예정이다.
위원회는 향후 2년간 예산편성 등 예산 과정에 주민 의견을 수렴하고 집약하여 의견을 제출하고, 수렴된 주민참여예산사업에 대한 적정성과 우선순위를 심의·조정하는 기능을 담당한다.
조현일 시장은 토의과정에서 “주민참여 예산제를 확대 운영하여 시민들의 복지향상과 불편 해소를 위해 다양한 목소리에 귀 기울이고, 예산을 통해 그 요구에 응답하겠다”며 “위원회가 사회적약자나 소외된 사람들의 목소리를 더 많이 담을 수 있도록 적극적인 활동을 부탁한다”고 했다.
한편, 경산시는 주민참여예산에 대한 시민들의 이해도를 높이고 적극적인 참여를 유도하기 위해 주면참여예산학교를 기초과정과 심화 과정으로 나눠 2회 운영할 계획이다. 다음 달 5일 오후 3시에 시청 대회의실에서 개최되는 주민참여예산학교 기초과정은 주민참여예산제도에 대해 설명하고 경산시 예산 현황, 우수사례, 주민참여예산 제안서 작성법 등에 대해 교육을 한다. 교육 참석을 희망하는 경산시민은 누구나 참여 가능하다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=307316
경산,"경산, 동남아 진출 ‘종합무역사절단’ 파견",일간경북신문 - 이종구 기자,2023/05/25,"경산시는 경산지역 중소기업의 동남아시아 시장 진출을 위해 28일부터 6월 3일까지 인도네시아(자카르타)와 베트남(호치민)에 종합무역사절단을 파견한다.
이번 종합무역사절단 파견은 코로나 팬데믹 이후 4년 만에 재개된 사업으로 글로벌 경기 둔화와 러-우 사태 장기화 등 불안정한 대외 여건 속에서 장기화한 수출 부진을 타개하고 지역 경제의 활력을 되찾고자 경산시장을 단장으로 섬유기계, 기계 부품, 식품, 화장품 등 11개 사의 지역 기업들이 참여한다.
파견기업은 사전 연계된 바이어와 현지에서 1:1 맞춤형 상담을 통해 기업의 제품을 소개하고, 현지 수출 계획 등을 논의한다.
또한, 경북도 자카르타 사무소와 코트라 호치민 무역관 등 수출 관련 유관기관을 방문해 각국의 경제 동향과 시장 진출 전략 등을 청취하고 교류 강화 방안을 모색할 계획이다.
특히, 인도네시아에서는 재인도네시아 한인회장과 재인도네시아 한인상공회의소 자문위원을 초청해 한-인도네시아 경제교류 협력 방안에 대해 논의하고 지역 기업들의 현지 시장 진출을 협의할 예정이다.
아울러, 자카르타 근교의 인도네시아 최대 산업지역인 찌까랑에서 지역 기업인 ㈜삼화기계(대표 안태영)와 제일연마공업(주)(대표 오유인)이 운영하는 현지 공장을 찾아 직원들을 격려하고 애로사항을 청취할 예정이다.
조현일 경산시장은 ""인도네시아와 베트남은 세계 경제의 불확실성에도 불구하고 2022년 5%를 넘는 경제성장률을 달성하는 등 높은 성장 잠재력을 보유한 곳이며, K-콘텐츠의 영향 등으로 우리나라 상품에 대한 관심도가 높아 교역량도 증가하고 있어 수출시장으로서 아주 매력적인 지역”이라며, ""이번 동남아 종합무역사절단 파견으로 관내 기업의 수출시장 진출을 확대하고 다양한 수출 지원책을 통해 지역 기업을 적극 지원하겠다”고 밝혔다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=307112
경산,경산 ‘먹깨비+사랑카드’ 홍보부스 운영,일간경북신문 - 이종구 기자,2023/05/24,"경산시는 23일 영남대학교에서 개최된 ‘2023 경산 대학인 청춘공감 페스티벌’에서 대학생 등 청년층을 대상으로 경북 공공배달앱 먹깨비 및 경산사랑카드 홍보부스를 운영했다.
이날 ‘먹깨비 쿠폰받고! 경산사랑카드 할인받고! 지역경제 살리고!’라는 슬로건 아래 마련된 홍보부스에서는 배달앱 주요 이용자인 20대 청년층을 대상으로 경북 공공배달앱 먹깨비 즉시 할인 쿠폰을 배부하며 민간배달앱보다 지역 소상공인에 힘이 되는 공공배달앱 이용을 집중 홍보했다.
또한, 대학가에서 지역화폐 이용을 촉진하기 위해 경산사랑카드를 제공하며 사용법 및 인센티브 혜택을 안내하고 5월부터 오픈한 경산사랑카드 QR결제 서비스도 함께 홍보해 청년층의 호응을 불러일으켰다.
한편, 조현일 경산시장은 “우리 경산시의 경제에 큰 힘이 되는 청년들을 대상으로 지역 소상공인과 소비자가 상생하는 공공배달앱 먹깨비와 경산사랑카드를 홍보할 좋은 기회였으며, 청년층이 적극적으로 이용해 주기를 바란다”고 했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=306973
경산,"경산, 내년 국비 확보… 행정력 총동원",일간경북신문 - 이종구 기자,2023/05/23,"경산시는 23일 시청 대회의실에서 『2024년도 국가투자예산 확보 전략회의』를 개최하고 내년도 국비 1,979억원을 확보할 계획이라고 밝혔다.
시는 작년 10월부터 향후 경산시 미래를 책임질 사업으로 ▶차량 첨단 ECU 활성화 지원사업 ▶학교복합시설 활성화 사업 ▶하양아트센터 조성 ▶농촌협약 ▶대부잠수교 직선화교량 가설공사 ▶국도4호선 대구 혁신~하양 남하 단구간 확장 ▶농산물안전분석센터 건립 등 37개 신규사업을 발굴하고 국비 326억원을 건의했다.
또한, 기추진 중인 ▶경산지식산업센터건립 ▶경산창업열린공간조성 ▶xEV보호차체 얼라이언스 기업지원 플랫폼 구축 ▶백안금구지구 배수개선사업 ▶경산지식산업지구 진입도로 건설 ▶대구광역권 전철망 구축 ▶대구도시철도 1호선 하양연장 ▶자원회수시설 증설사업 등 42개 계속사업에 소요되는 국비 1,653억원을 최대한 확보하기 위해 모든 행정력을 동원할 방침이다. 이날 보고회는 지난 3월 신규사업 발굴 보고회에 이어 신규사업과 계속사업 전반에 대하여 국비 확보 추진상황을 점검하고 사업별 대응 전략을 공유하여 국비 확보를 극대화하고자 개최했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=306801
경산,"경산, 임대 농기계 추가구입 ‘예산 5억’ 확보",일간경북신문 - 이종구 기자,2023/05/22,"경산시는 최근 노후 농기계의 매각과 폐기(73종 209대)로 부족한 임대 농기계를 확보하기 위해 농기계 구입비 5억원의 예산을 1회 추경을 통해 확보했다고 22일 밝혔다.
농기계 구입비 5억원을 확보한 예산으로 농업인의 수요가 많고 매각 및 폐기 대수가 많은 임대 농기계 24종 97대(잔가지파쇄기 10대, 승용예취기 8대, 미니굴삭기 3대 등)를 구입 예정이며, 기계등록 및 보험 가입 절차를 거쳐 오는 6월 말부터 임대 농기계 사용이 가능하도록 추진 중이다.
하녚ㄴ, 조현일 경산시장은 ""이번 추경예산 확보로 임대 농기계 이용에 불편을 덜고, 농민이 농업 하기 좋은 행복한 경산시 구축에 힘쓰고자 노력하겠다”고 했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=306712
경산,"경산, 대학·시민 공유 ‘상생 캠퍼스’",일간경북신문 - 이종구 기자,2023/05/21,,http://www.newgbnews.com/news/view.php?idx=306515
경산,경산공설시장서 ‘별찌야시장’ 개장,일간경북신문 - 이종구 기자,2023/05/18,"경산시는 19일 금요일 오후 6시에 경산공설시장 중앙광장에서 전통시장 활성화를 위한 ‘별찌야시장’을 개장한다.
작년에 이어 두 번째로 개최하는 별찌야시장은 볼거리, 즐길거리, 먹거리 등 각종 프로그램을 다양하게 마련했다. 별찌야시장은 19일 개장해 10월 말까지 매주 금요일과 토요일 오후 6시부터 10시까지 총 40회 운영한다.
올해 별찌야시장은 특별공연과 버스킹 공연이 있는 금요 야시장과 어린이 체험프로그램과 고객 참여형 이벤트가 함께하는 체험 토요야시장으로 구분해 특색있는 야시장을 선보인다.
2022년도에 문화관광형 육성사업으로 처음 개최한 ‘별찌야시장’은 총 28회 운영으로 고객 유입 20,000여 명, 매출 3억원을 달성했고 시장 전체 고객 유입이 전년 대비 20% 이상, 매출액 10% 증가로 시장경제 활성화에 실질적인 성과와 더불어 대학생, 외국인 등 시민들이 많이 참여했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=306383
경산,"경산시장, 고향사랑기부 인증 챌린지 동참",일간경북신문 - 이종구 기자,2023/05/18,,http://www.newgbnews.com/news/view.php?idx=306381
경산,"경산, 지역 중소기업 매출채권 보험료 지원",일간경북신문 - 이종구 기자,2023/05/17,,http://www.newgbnews.com/news/view.php?idx=306199
경산,"경산시의회, 조례안 등 6건 원안가결",일간경북신문 - 이종구 기자,2023/05/16,"경산시의회는 16일 제2차 본회의를 끝으로 지난 11일부터 6일간 진행된 제246회 임시회 일정을 마무리했다.
이번 임시회에서 「경산시 시세 감면 조례 일부개정조례안」, 「경산시 행정기구 설치 조례 일부개정조례안」 등 6건의 안건은 원안가결 됐으며, 의원발의 조례인 「경산시 사무의 민간위탁촉진 및 관리 조례 일부개정조례안」은 수정의결, 「경산시 종묘유통센터 민간위탁 재계약 동의안」은 본회의에 부의하지 않기로 의결했다.이종구기자",http://www.newgbnews.com/news/view.php?idx=306090
경산,"경산시장, 기업인들 애로사항 청취",일간경북신문 - 이종구 기자,2023/05/16,"경산산업단지관리공단은 15일 조현일 경산시장을 초청하여 산업단지 입주기업체 대표들이 참석한 가운데 경산산단 현안사업에 대한 간담회를 가졌다고 밝혔다.
이 자리에서 윤진필 이사장은 대창~진량간 지방도 확·포장공사의 연결도로인 진량~자인구간 도로의 조속한 확장과 입주기업체의 정보교류와 기업회의, 전시회 등을 지원할 수 있는 관리공단 부지내 컨벤션센터 건립사업이 시급하다고 경산시와 경북도의 적극적인 지원을 요청했다
조현일 경산시장은 건의사항 및 기업인들의 애로사항을 청취하고 경북도와 협의하여 이러한 당면 현안 사업들이 순조롭게 진행될 수 있도록 최선을 다하겠다고 말했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=306061
