지역명,기사제목,기자이름,날짜,내용,링크
경주,"경주, 지역실업자 직업훈련생 35명 모집",일간경북신문 - 서경규 기자,2023/05/31,"경주시는 실업자와 비진학 청소년 등의 취업 취약계층에게 직업 훈련 기회를 제공하기 위해 ‘지역실업자 직업훈련생’ 35명을 모집한다.
이번 훈련은 총 4개 과정으로 △양장기능사(경주패션디자인학원) △한식조리(경주중앙직업전문학교) △한복기능사(권미란패션학원) △지게차운전(건영직업전문학교) 등으로 구분돼 진행된다. 모집인원은 각 과정별 8~10명이며, 훈련기간은 6월부터 9월까지 기관별로 상이하다.
훈련수당은 출석일수가 소정 훈련일수의 80% 이상인 훈련생을 대상으로 월 최대 5만원 교통비와 6만6천원 식비가 지급된다. 단 훈련비는 시에서 훈련기관으로 전액 지원한다. 신청은 2일까지 주소지 읍면동 행정복지센터를 방문해 신청하면 된다. 서경규기자",http://www.newgbnews.com/news/view.php?idx=307634
경주,“주민동의 없는 사용 핵연료 저장 시설 반대”,일간경북신문 - 서경규 기자,2023/05/31,"원전소재 5개 시·군의회발전협
영구 저장 시설 금지 촉구 결의
원전소재 시·군의회 공동발전협의회는 최근 기장군 수산자원연구센터에서 2023년도 제1차 정기회의를 개최해 ‘주민동의 없는 사용후 핵연료 건식저장시설 건설반대 및 영구 저장 시설화 금지 촉구 결의안’을 채택했다.
원전소재 시·군의회 공동발전협의회는 원전이 소재하고 있는 5개 시·군(경주시, 기장군, 영광군, 울주군, 울진군)의회가 원전관련 현안사항을 논의하고 원활한 업무협의를 도모코자 지난 2012년에 결성했으며 연 2회 정기회의를 개최하고 있다.
이번 정기회는 이철우 경주시의회 의장, 박우식 기장군의회 의장, 강필구 영광군의회 의장, 김영철 울주군의회 의장, 임필승 울진군의회 의장과 이경희 경주시의회 원전특별위원장을 비롯한 각 의회 원전특위 위원장들이 참석했다. 이날 회의에서 충분한 사전 주민동의를 구하지 않은 일방적 원전부지 내 사용후핵연료 건식저장시설 건설 반대, 고준위 방사성 폐기물 관리 특별법의 부지 내 사용후핵연료 건식저장시설의 운영기한 등에 대한 구체적인 가이드라인 제시, 고준위 특별법의 건식저장시설 건설 시 사용후핵연료 보관에 대한 원전소재 시·군민의 안전대책 및 지속적이고 구체적인 보상책 제시, 원전소재 시·군의 입장을 반영했다.서경규기자",http://www.newgbnews.com/news/view.php?idx=307631
경주,"한수원, 핀란드 국영 에너지기업과 ‘손잡다’",일간경북신문 - 서경규 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307575
경주,"경주엑스포, 호국·보훈의 달 감사 이벤트",일간경북신문 - 서경규 기자,2023/05/30,"경주엑스포대공원이 6월 호국·보훈의 달을 맞아, 국가를 위해 희생과 헌신하신 분들을 기억하고 감사키 위해 6월 한달간 입장료 할인을 실시한다.
입장료 할인 대상은 현역 또는 직업군인, 병역명문가, 경찰 등으로 본인을 포함한 동반가족이다(증빙자료 지참). 할인 내용은 공원입장료, 인피니티 플라잉 관람료, 루미나이트 입장료 등에 대한 50% 할인 적용이다. 기존 우대요금을 적용해 온 △독립유공자 △참전유공자 △5・18민주유공자 △고엽제 후유(의)증 △특수임무 유공자 등 보훈대상자들에 대해서도 우대요금보다 우선 적용해 할인 혜택을 넓혔다.
이번 할인행사는 국가를 위해 희생과 헌신하신 분들을 기억하고 감사하는 할인 이벤트를 실시한다. 서경규기자",http://www.newgbnews.com/news/view.php?idx=307418
경주,"경주, 2025 APEC 유치 조형물 ‘눈길’",일간경북신문 - 서경규 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307415
경주,"경주, 어린전복 치패 12만마리 방류",일간경북신문 - 서경규 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307413
경주,“경주에도 바다가 있다” 해양문화축제 열린다,일간경북신문 - 서경규 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307411
경주,"경주 화랑마을, 동학교육수련원 홍보 이벤트",일간경북신문 - 서경규 기자,2023/05/29,"경주 화랑마을이 오는 7월 정식 운영을 앞둔 동학교육수련원의 홍보를 위해 특별 초성 이벤트를 준비했다.
이번 이벤트는 6월 1일부터 한달간 화랑마을 페이스북과 인스타그램 이벤트 페이지에서 제시된 초성문제의 답을 댓글로 작성하면 된다.
댓글 작성자 중 추첨을 통해 10명을 선정해 7월 6일 기프티콘으로 발송될 예정이며, 자세한 내용은 화랑마을 홈페이지를 참고하면 된다.
한편, 화랑마을은 동학교육수련원 정식 운영 전 현수막 게첨 및 홍보영상 송출, 택시‧버스 광고, 기관방문, 홈페이지 및 사회관계망(SNS) 등을 활용해 대내외 홍보에 박차를 가하고 있다.
화랑마을 촌장은 “경주에 근대 사상의 뿌리인 동학을 재조명하고 이를 활용한 교육 및 수련활동을 진행하는 연수공간이 마련됐다”며, “복합 연수시설인 동학교육수련원에 많은 관심과 활용을 부탁드린다”고 말했다. 서경규기자",http://www.newgbnews.com/news/view.php?idx=307322
경주,"경북문화관공공사, 내 고장 포항서 만나는 ‘해양관광’",일간경북신문 - 서경규 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307315
경주,"전공노 경북, APEC 경주 유치 지지 선언",일간경북신문 - 서경규 기자,2023/05/25,=,http://www.newgbnews.com/news/view.php?idx=307150
