지역명,기사제목,기자이름,날짜,내용,링크
고령,"고령, 1인 가구 공무원 ‘안전한 생활’ 지원",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307636
고령,고령 ‘호국보훈의 달’ 독립유공자 유족 위문,일간경북신문 - 윤기영 기자,2023/05/31,"우곡면 박복수씨에 위문품
고령군은 지난달 30일 호국보훈의 달을 맞이해 조국의 독립을 위해 희생하신 독립유공자 유족(우곡면 박복수)을 방문해 국가유공자의 숭고한 희생과 고귀한 삶에 감사와 존경의 뜻을 표하고 위문품을 전달했다.
고령군에서는 ‘국가보훈대상자 예우 및 지원에 관한 조례’에 따라 매월 25일 고령군에 주소를 둔 만65세 이상 국가보훈대상자에게 참전유공자 명예수당, 보훈예우수당, 미망인수당 등을 지급하고 있다.
고령군수는 “앞으로 국가유공자분들의 명예와 자긍심을 높이기 위해 국가유공자에 대한 예우 강화를 위해 노력하겠다”고 전했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=307635
고령,"고령, 사회적기업 창업 아이디어 경진 참여자 모집",일간경북신문 - 윤기영 기자,2023/05/30,"고령군은 30일부터 6월 13일까지 15일간 ‘고령군 사회적기업 창업 아이디어 경진대회’ 참여자를 모집한다.
사회적기업 창업 아이디어 경진대회는 사회적기업의 우수한 성장 모델을 발굴하고 지역 청년들에게 창업의 기회를 제공해 공동체를 중시하는 사회적 방식으로 지방의 어려움을 극복하는 단초로서의 역할을 수행할 것으로 기대된다. 모집 대상은 고령군 내 주소지나 사업자를 보유하고 있는 자 또는 사업 대상자 선정 후 1개월 이내에 고령군 내 사업자 등록이 가능한 자로 제한을 최소화했으며, 청년 대표일 경우 가점을 부여할 계획이다.
지원규모는 사업분야에 관계없이 총 4명(팀)을 선발하며 대상은 2천500천원의 창업 비용과 마케팅 비용을 지원하며 실제적인 창업 컨설팅과 안정적인 창업 생태계 구축을 위해 창업캠프를 운영하는 등 사업비와 컨설팅을 한 번에 지원받을 수 있어 사회적기업으로 나아가는 방향에서 많은 도움이 될 것으로 예측된다.
신청은 고령군청 홈페이지 공지사항 공고문을 참조해 신청서 등을 작성 후 이메일(cb@sebiz.or.kr)로 제출하면 되고 문의사항은 (사)지역과소셜비즈 마을기업지원센터(053-944-4002)로 하면 된다. 이남철 고령군수는 “창업을 희망하는 지역의 유능한 인재들이 많이 참여해 고령군만의 특색있는 사회적기업 성공모델로 정착하고 성장해 나가기를 바란다”고 말했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=307412
고령,"고령, 새콤달콤 체리 ‘첫 수확’",일간경북신문 - 윤기영 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307318
고령,"고령, 명예읍면장 정책간담회",일간경북신문 - 윤기영 기자,2023/05/29,"고령군은 군정에 대한 이해를 돕고 지역발전을 위한 고견을 청취하기 위해 지난 25일 명예읍면장을 초청해 이남철 군수 주재로 정책간담회를 개최했다.
이번 간담회는 고령군수, 고령군의회의장, 군의원 및 명예읍면장을 비롯한 군 관계자 등 30여명이 참석한 가운데, 이남철 군수의 군정방향 및 분야별 주요 사업에 대한 설명과 함께 고향사랑기부제 등 군정현안에 대한 공유와 지역발전에 대한 의견 교류 등이 진행됐다.
고령군수는 “지역의 현안들을 해소하고 새로운 고령군 발전을 위해서는 명예읍면장님들의 경륜과 지혜가 필요하다”며 “특히 지역의 대표 문화유산인 지산동고분군이, 오는 9월 유네스코 세계유산에 등재될 것으로 확실시되는 시점에 우리 군이 경북을 넘어 대한민국을 대표하는 문화관광도시로 성장할 수 있도록 변함없는 관심과 성원을 가져 주시기 바란다”고 당부했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=307317
고령,"고령, 청소년유해환경 개선 합동 캠페인",일간경북신문 - 윤기영 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307116
고령,고령체육회장기 파크골프 인기,일간경북신문 - 윤기영 기자,2023/05/24,"지난 20일 고령군 대가야파크골프장에서 제1회 고령군체육회장기 파크골프대회가 개최됐다.
고령군체육회가 주최하고 고령군 파크골프협회가 주관한 이번 대회는 민선 체육회장 시대가 시작된 이후 처음 체육회장기 타이틀을 걸고 개최돼 총 300여 명이 참가해 성황리에 치러졌다고 밝혔다.
이번 대회에서 단체전 1위를 한 204클럽이 첫 체육회장기를 타는 영예를 얻었고 2위에는 제일클럽, 3위에는 다산분회가 차지했다.
개인전에는 남자 1위 이호권(알바스클럽), 2위 백승열(꼬꼬클럽), 3위 최성문(무소속) 선수, 여자 1위 이경희(제일클럽), 2위 안영남(제일클럽), 3위 이미희(써니클럽) 선수가 각각 수상하는 영예를 안았다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306970
고령,"고령, 포스포슬 ‘개진감자 직판장’ 개장",일간경북신문 - 윤기영 기자,2023/05/23,,http://www.newgbnews.com/news/view.php?idx=306802
고령,"고령, 직원·가족 ‘화합 한마당’ 펼쳤다",일간경북신문 - 윤기영 기자,2023/05/23,,http://www.newgbnews.com/news/view.php?idx=306796
고령,"고령, 고향사랑기부 ‘온라인 명예의 전당’",일간경북신문 - 윤기영 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306714
고령,"고령, 긴급방역대책 ‘구제역 예방접종’",일간경북신문 - 윤기영 기자,2023/05/21,"최근 충북 청주시, 증평군에서 구제역이 발생해 확산 조짐이 농후한 가운데 긴급 예방접종명령(농식품부)이 발효됐다.
이에 고령군은 영남권 최대 도축장인 고령축산물공판장과 고령가축시장이 소재해 어느 지역보다 방역상 취약한 위험 지역임에 따라 긴급히 예비비 1억원을 확보해 2개월 미만 및 2주 이내 출하가축을 제외한 전 농가, 전 두수 구제역 예방접종에 나섰다.
긴급방역대책 추진으로 소, 염소는 공수의사를 동원해 무료 접종하고 돼지는 백신을 무상공급해 자가 접종토록 하며 농장 및 축산관련시설 차단방역을 위해 소독약품 2.5톤, 생석회 23톤을 배부하는 등 차단방역에 총력을 기울이고 있다.
고령군수는 “2010년, 2014년 구제역 발생으로 군 전체 비상령이 떨어져 전 군민이 합심해 차단방역에 성공한 고령군으로 이번 또한 선제적으로 대응해 구제역의 관내 유입 방지에 최선을 다하겠다”고 밝혔다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306517
고령,"고령군수, 마약근절 ‘NO EXIT’ 동참",일간경북신문 - 윤기영 기자,2023/05/21,,http://www.newgbnews.com/news/view.php?idx=306516
고령,"고령, 귀농 희망 도시민 ‘농촌서 살아보기’",일간경북신문 - 윤기영 기자,2023/05/18,"고령군은 귀농귀촌을 희망하는 서울, 부산 등 전국 각지에서 모집된 7명의 참가자 대상으로 지난 15일부터 두달간 농촌에서 거주하며 일자리와 생활을 체험하고 지역 주민과 교류하는 기회를 제공하는 ‘농촌에서 살아보기’를 실시한다.
‘농촌에서 살아보기’는 쌍림면 개실마을에서 프로그램을 운영하며 지난 15일 입소식을 시작으로 16일 오리엔테이션을 가졌다.
이날 오리엔테이션에서는 프로그램 목적 및 운영 방법 등 프로그램의 취지와 일정에 대해 안내와 참가자와 개실마을 주민 간에 서로 인사하고 교류하는 시간을 가졌다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306384
고령,"필리핀 루바오시장, 고령군 방문",일간경북신문 - 윤기영 기자,2023/05/18,,http://www.newgbnews.com/news/view.php?idx=306382
고령,"고령, 쓰레기 배출지 ‘공공디자인’ 입히다",일간경북신문 - 윤기영 기자,2023/05/17,"고령군은 관내 생활쓰레기 배출장소 개선을 위해 쓰레기 배출장소 시설을 새롭게 디자인해 설치했다.
기존 쓰레기 배출장소는 매시펜스 소재의 일관성 없는 형태로 설치돼 있어 쓰레기가 도로변에 노출되고 바람에 흩날리는 등 미관을 저해해 개선이 필요했다.
이에 고령군은 지난 1월, 쓰레기 배출장소 디자인 용역을 시행해 전수조사를 하고 배출장소별 확장, 축소가 가능한 가변성 있는 디자인으로 개발하였다. 색상은 고령 전용 색채를 적용해 경관과 조화되도록 했다.
5월에는 우선 개선이 필요한 곳 3개소에 시범 설치해 자체 모니터링을 거쳤으며 6월부터는 확대 설치해 나갈 예정이다. 이남철 군수는 “쓰레기 배출지 개선으로 쓰레기 노출을 최소화하고 시설물 형태와 색상을 통일되게 해 도시미관 개선에 효과가 있을 것”이라고 하며 “앞으로도 공공시설물의 표준화를 통해 경관관리에 힘쓸 예정이다”고 말했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306201
고령,"고령군의회, 주요 현장에서 답을 찾다",일간경북신문 - 윤기영 기자,2023/05/17,"고령군의회는 18일 제289회 임시회 제1차 본회의를 개회하고 18, 19일 이틀간 관내 주요 사업 장 11개소를 방문해 현지 확인 및 점검을 실시한다.
이번 현장방문은 고령군이 추진하고 있는 주요 사업현장과 시설을 찾아 사업전반에 대한 현황 및 추진 상황을 파악하고 현장과 소통하기 위해 마련된 자리로, 각종 현안 사업들의 철저한 사전 점검과 확인으로 군정발전과 군민편익 증진을 위해 추진됐다.
방문 대상지는 ▸대가야역사문화 클러스터사업 ▸고령군민체육관 건립사업 ▸대가야읍 도시재생뉴딜사업(복합생활문화거점+금빛마실 어울림센터) ▸객기 기초생활거점 조성사업 ▸우곡문화공원 조성사업 등 11개소로, 의원들은 위 사업지를 차례로 방문해 사업이 당초 계획대로 추진되고 있는지 문제점은 없는지 꼼꼼히 살펴볼 계획이다. 김명국 의장은 “사업현장을 직접 방문·점검함으로써 사업추진 현황 파악과 더불어 사업에 대한 전반적 이해도를 높일 수 있을 것”이라며 “앞으로 다양한 현장을 직접 확인하며 주요 현안들의 문제점과 개선방안 등에 대해 동료의원들과 심도 있는 논의를 하겠다”고 말했다. 한편, 군의회는 22일 제2차 본회의를 끝으로 제289회 고령군의회 임시회를 마무리한다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306194
