지역명,기사제목,기자이름,날짜,내용,링크
구미,"구미시장, 고향사랑기부 챌린지 동참",일간경북신문 - 김학전 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307628
구미,“구미시민이라면 특별 혜택 먼저 확인하세요”,일간경북신문 - 김학전 기자,2023/05/31,"인구정책 추진상황 보고회
전입 지원 등 90여건 점검
구미시는 지난달 30일 부서장 등 80여 명이 참석해「구미시 인구정책 추진상황 보고회」를 열었다.
이번 보고회는 인구감소에 대응하고 지역 활력 제고를 위해 지난해부터 발굴해온 90여 건의 인구정책 사업의 추진상황을 점검하고 향후 계획 및 부서 간 협력 방안 등을 점검하기 위해 마련됐다.
특히, 인구감소 대응을 위한 핵심시책 뿐만 아니라 시가 최근 공들여 추진하고 있는 관내 전입자에 대한 지원과 구미시민만이 누릴 수 있는 특별한 혜택 강화에 대해 중점적으로 논의됐다.
▶시는 우선 전입자에 대한 혜택을 대폭 강화하기로 했다. 올해 하반기(‘23.8월)부터 전입세대 당 일선정품 쌀 10kg 등 구미농산물을 전입기념품으로 지급하고, 전입 고등학생 및 대학생에게는 전입지원금을 전입 후 1년에 걸쳐 20만 원씩 지급한다.
또한, 구미로 전입한 시민이 즉시 피부에 와 닿을 수 있도록 공공시설 이용료에 대한 다양한 혜택도 마련했다. 올해 하반기부터 전입일로부터 1년간 공영주차장 무료 이용의 기회를 제공하고 문화예술회관에서 매년 12회 가량 펼쳐지는 기획공연에 대해 50% 할인 혜택도 제공한다.
이밖에 전입자를 위한 구미승마장 무료 승마체험(2회) 기회를 제공하고 올해 10월 개관 예정인 구미영상미디어센터 이용료도 1년간 면제한다.
▶새로 전입하는 시민에 대한 혜택뿐만 아니라 기존 시민에 대한 혜택도 확대한다. 예약이 어려울 정도로 사계절 인기있는 구미 캠핑장은 5월부터 구미시민에 한해 50% 우선예약 제도를 시행했으며, 문화예술회관 기획공연도 30% 할인 혜택을 제공한다.
또한, 구미에코랜드 및 박정희대통령역사자료관 50%, 옥성자연휴양림40%, 구미캠핑장 및 신라불교초전지마을 20% 등 시민 할인율을 적용 중이며 올림픽기념관, 금오테니스장, 구포생활체육공원 등 생활체육시설에 대해서는 향후 물가상승에 따른 요금인상 시 구미시민에 대해서 기존 요금을 유지할 방침이다.
그뿐만 아니라 시는 각 시설을 이용할 때 번거로운 증빙서류 구비를 준비할 필요 없이 간편하게 감면받고 시설을 이용할 수 있도록 시민 간편확인시스템 도입을 추진 중이다. 김학전기자",http://www.newgbnews.com/news/view.php?idx=307624
구미,“지역개발 불균형 대안 모색”,일간경북신문 - 김학전 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307490
구미,구미 ‘다자녀 가정’ 최우선 지원책 전면 확대,일간경북신문 - 김학전 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307420
구미,"금오공대, 구미시와 지역 혁신 공동 추진",일간경북신문 - 김학전 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307312
구미,"구미, LS-HAI JV 1천억 규모 투자유치 성공",일간경북신문 - 김학전 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307280
구미,"구미시의회, 청렴 의정활동 다짐",일간경북신문 - 김학전 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307279
구미,"구미, 전문인재가 첨단산업 기술 주역 육성",일간경북신문 - 김학전 기자,2023/05/29,"구미시는 10. 14 ~ 20일 7일간 개최예정인 제58회 전국기능경기대회에 참가하는 마이스터·특성화고 3개 학교 대표선수들의 사기 증진과 기술력 강화를 위해 훈련비 2,000만원을 지원했다.
충남에서 개최되는 이번 대회는 시·도 대표선수 50개 직종에 약1,800여명 참가하며, 구미시는 경북 선수단으로 12개 직종에 32명이 출전해 전국 기술인재들과 경쟁을 벌인다. 대회에 입상한 선수는 금메달 1,000만원, 은메달 600만원, 동메달 400만원의 상금과 함께 입상 순위에 따라 대통령·국무총리·고용노동부장관·한국위원회 회장 상 등 상장을 수여받는다.
이번 대회에 참가하는 구미시 선수들은 지난 4월 개최된 경북기능경기대회 직종별 1 ~ 3위 입상 선수들이다. 특히 올해 경북기능경기대회에서 금오공업고등학교는 40개 소속 기관 중 1위(11년 연속), 구미전자공업고등학교는 5위를 차지했고, 경북생활과학고는 요리직종에서 금메달(3년 연속)을 차지한 만큼 이번 전국기능경기대회에서도 우수한 성과를 거둘 것으로 기대된다.
참고로, 작년 전국기능경기대회에 경북 선수단으로 출전한 구미시 선수단은 금메달 2개, 은메달 5개, 동메달 1개, 우수상 2개, 장려상 6개 등 총 16개의 상을 수상했다. 또한 전체 소속 기관 263개 중 금오공고는 9위, 전자공고는 10위를 차지했다.
시에서는 숙련기술 우대풍토를 조성하고 저변확산을 통한 산업 발전에 기여하기 위해 전국기능경기대회 훈련비지급사업 외에도 마이스터고 산업현장견학·진로적성교육사업, 중소기업 기술지원컨설팅, 구미시 최고장인 선정사업, 재능기부 봉사활동 등 다양한 사업을 펼치고 있다.
이운균 노동복지과장은 ""대회준비기간 동안 갈고닦은 역량을 마음껏 발휘하기 바라며, 공단 50년 역사를 가진 구미가 시대에 따라 주력산업을 성장시킬 수 있었던 데에는 기능인들의 열정과 도전이 있었기에 가능했다""며, ""전문기술인재가 미래 첨단산업의 핵심기술 주역임을 기억해주길 바란다""고 말했다.김학전기자",http://www.newgbnews.com/news/view.php?idx=307275
구미,구미·배구연맹 ‘도드람컵’ 성공 개최 협력,일간경북신문 - 김학전 기자,2023/05/25,"구미시는 2023 구미 도드람컵 프로배구대회의 성공개최를 위해 한국배구연맹과 유치협약을 체결했다.
24일 시청에서 개최된 협약식에는 김호섭 구미시 부시장과 안주찬 구미시의회 의장, 윤상훈 구미시체육회장, 김진환 구미시배구협회장을 비롯한 구미시 관계자와 한국배구연맹 신무철 사무총장과 연맹 관계자 등 10여명이 참석해 대회 성공개최를 위한 상호 협력을 다짐했다. ｢2023 구미 도드람컵 프로배구대회｣는 다가오는 7. 29 ~ 8. 13일까지 16일동안 구미시 박정희체육관에서 열리며, 국내 남녀 14개 팀에 일본초청 남녀 2개 팀을 더해 16개 팀이 열띤 경쟁을 벌일 예정이다.
구미시는 KB손해보험 스타즈 배구단의 12년 동안 연고지였던 지역으로 배구를 교기로 하는 학교가 초․중․고 모두 있으며, 지난 1993년부터 29회째 LG주부배구대회를 개최하는 등 명실상부한 배구의 도시이다. 김학전기자",http://www.newgbnews.com/news/view.php?idx=307134
구미,"구미 선산, 주민주도 마을 발전 활성화 추진",일간경북신문 - 김학전 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307128
