지역명,기사제목,기자이름,날짜,내용,링크
군위,"깨끗한 군위 만들기, 공공근로 사업 종료",일간경북신문 - 박효명 기자,2023/05/31,"군위군 군위읍은 지난달 26일을 마지막으로 23년 상반기 군위읍 공공근로 지원사업을 종료했다.
또한, 군위군 군위읍 공공근로자 25명은 3월 2일부터 3개월간 군위읍 구석구석을 이동하며 깨끗한 군위를 만들기 위해 노력했다.
공공근로자들은 군위읍 경계인 무성리 및 대흥리에서 시작하여 주요 도로 주변과 하천 산책로 등을 청소하였으며, 아름다운 시가지를 만들기 위해 꽃심기 등 화단조성에도 힘썼다.
손숙옥 반장은 “10년 동안 공공근로를 하면서 힘이 들기도 했지만, 내 집 청소하듯 열심히 했다”며 “청소 후 깨끗한 주변의 모습을 보면 마음이 뿌듯해진다”고 소감을 전했다.
장판철 군위읍장은 “늘 깨끗한 군위읍을 위해 고생해 주셔서 감사하고, 아무 사고없이 안전하게 마칠 수 있어 다행이다. 하반기 공공근로에도 꼭 신청하셔서 가을철 군위읍의 환경정비를 위해 힘써달라”고 인사하였다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307630
군위,"군위, 청렴군민감사관 4명 위촉장 수여",일간경북신문 - 박효명 기자,2023/05/30,"역할·운영 방향 모색 간담회
군위군은 30일 군청 제1회의실에서 ‘제1기 군위군 청렴군민감사관 위촉식’을 개최했다. 이날 행사는 김진열 군수와 위촉된 청렴군민감사관 4명이 참석했으며, 위촉장 수여와 함께 청렴군민감사관의 역할과 운영 방향 등에 대한 간담회 시간을 가졌다.
군위군 청렴군민감사관은 올해 5월부터 처음 시행되는 제도로 임기 2년 동안 생활현장의 위법·부당사항 및 각종 불편·불만사항의 신고, 민원인에 대한 불친절행위 신고, 군정 발전 및 민원행정 제도개선 등에 대한 의견수렴 및 협조 등의 임무를 수행할 예정이다.
군위군수는 “청렴군민감사관은 행정기관의 미흡한 부분을 민간부문에서 보완해 주는 기능으로 청렴한 공직사회, 건전한 지역사회 실현에 중요한 역할을 맡고 있다”며 앞으로 군정 발전에 적극 협력해 달라고 당부했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307427
군위,"군위군의회, 기금운용계획변경안 등 의결",일간경북신문 - 박효명 기자,2023/05/25,"군위군의회은 지난 22일부터 24일까지 3일간의 일정으로 제273회 군위군의회 임시회를 개최했다. 이번 임시회는 22일 제1차 본회의에서 최규종의원의 불법폐기물 비료와 관련 하여 5분 발언을 하였고, 제2차 본회의에서는 2023년도 제2회 추가경정예산안 및 기금운용계획변경안을 다뤘다. 22일, 23일 이틀간 예산결산특별위원회의 심사를 거쳐 군위군이 제출한 당초 예산보다 152억 9천만 원 증액된 4,521억 8천만 원을 원안대로 통과시켰다. 장철식 위원장은 심사결과 보고를 통해 “사업의 필요성과 예산의 규모, 계속성 등을 면밀히 검토한 결과 당면 현안사업과 주민숙원사업을 위주로 적정하게 편성하였다”고 밝혔다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307151
군위,연극 ‘친정엄마와 2박 3일’,일간경북신문 - 박효명 기자,2023/05/25,"삼국유사교육문화회관에서는 5월 가정의달, 어버이날을 맞아 부모님께 감사의 마음을 담아 연극 ‘친정엄마와 2박3일’을 오는 30일 오후 2시, 7시 두 차례에 걸쳐 선보인다.
연극 ‘친정엄마와 2박3일’은 강부자와 윤유선이 주연으로 12년째 쉼없이 달려온 연극계 영원한 스테디셀러로 역대 800회 대극장 공연으로 누적 관객이 80만 명 이상이 관람한 저력 있는 작품이다. 특히 데뷔 60주년을 맞은 국민엄마 ‘강부자’와 친숙하고 선한 이미지의 딸 ‘윤유선’ 두 국민배우가 함께 출연하여 한편의 안방드라마 같은 무대로 이 시대에 ‘가족’ ‘엄마’를 통한 가슴 뜨거운 위로를 전할 것이다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307137
군위,"“대구 공무원들, 군위 방문 환영합니다”",일간경북신문 - 박효명 기자,2023/05/23,,http://www.newgbnews.com/news/view.php?idx=306808
군위,"삼국유사테마파크, 가정의 달 엔딩축제",일간경북신문 - 박효명 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306702
군위,의흥향교서 즐기는 문화유산 관광콘텐츠,일간경북신문 - 박효명 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306701
군위,"군위, 노동력 절감 UP ‘드론’ 벼 직파재배",일간경북신문 - 박효명 기자,2023/05/21,"군위군은 드론을 이용한 벼 직파재배 신기술 확대 보급을 위해 지난 19일 군위읍 정리 일원에서 경북도 농업기술원과 함께 시군담당자, 쌀 전업농 등 40여 명이 참석한 가운데 연시회를 개최했다.
이번 연시회는 드론직파 재배 핵심기술 및 전년도 사업현황 설명, 드론직파용 철분코팅 볍씨 전시와 더불어 현장에서 농업인들이 지켜보는 가운데 드론 직파 시범을 보였다.
군위군은 지난해 국비사업에 이어 올해도 군비사업으로 드론직파 벼 재배단지 조성 시범사업을 실시하고 있다. 군위군수는 “드론을 활용한 직파재배와 종자철분코팅, 논정밀균평 등의 관련 기술을 정립하여 농업분야의 노동력 및 생산비 절감 기술보급으로 농가소득 향상에 기여하겠다”고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306574
군위,"군위, 지방소멸대응… 투자사업 발굴",일간경북신문 - 박효명 기자,2023/05/18,,http://www.newgbnews.com/news/view.php?idx=306388
군위,소아청소년과 진료실 운영 시작,일간경북신문 - 박효명 기자,2023/05/17,"군위군은 군위 관내의 소아청소년과의원의 부재로 인한 주민들의 불편함을 해소하고자 16일부터 소아청소년과 진료를 시작한다.
또한, 그동안 주민들은 관내에서 소아청소년과 진료를 볼 수 없어 타지역으로 이동해야 하는 등 어려움이 많았다. 또한 소아청소년과 진료실 운영은 주민들의 편리에 많은 도움을 줄 것으로 기대된다. 소아청소년과 진료는 전문의가 0~17세 소아청소년을 대상으로 매주 2회, 화요일과 금요일 오전 9시부터 17시까지 군위군보건소 1층 소아청소년진료실에서 운영하며 진료 내용으로 소아환자 일반 진료 및 처치(치료 및 처방), 영유아 건강검진 등을 받을 수 있다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306193
