지역명,기사제목,기자이름,날짜,내용,링크
김천,"김천, 여름철 집중호우 배수펌프장 점검",일간경북신문 - 문장훈 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307629
김천,"김천, 온실가스 진단·컨설팅 “환경 지켜요”",일간경북신문 - 문장훈 기자,2023/05/30,"6월 23일까지 120가구 모집
김천시는 시민의 에너지 절약 참여를 촉진하고 생활 속 온실가스 감축에 이바지하기 위해 비산업 부문(가정)의 온실가스 진단‧컨설팅 사업을 추진한다. 해당 사업은 전문 교육을 이수한 상담사가 비산업 부문(가정)을 대상으로 에너지 절감 방안을 안내하는 무료 컨설팅 서비스로, 도시가스, 수도, 전기 등 에너지원별 사용 실태를 파악해 실천할 수 있는 에너지 절감 방법을 제시하여 시민들에게 탄소중립 실천을 유도하고, 자발적 에너지 감축을 통해 녹색생활 참여를 촉진, 환경 인식 개선에 이바지하고자 매년 추진되는 사업이다.
모집가구는 120가구로, 6월 1일부터 6월 23일까지 희망 가정을 모집하여 7월부터 9월까지 석 달간 진단 컨설팅하고, 10월에는 모니터링 결과를 안내하는 순서로 진행될 예정이다.
참여를 희망하는 가정에서는 김천시 환경위생과, 읍‧면‧동 행정복지센터에 신청서를 제출하거나 탄소 가계부 누리집(https://udo.kcen.kr/index.do)을 통해 온라인 신청이 가능하다. 이와 관련해 탄소중립포인트(에너지)제도 함께 신청한다면 감축 에너지 비율에 따라 인센티브(현금, 상품권 등)도 받을 수 있으므로 두 사업 모두 참여한다면 연계 효과를 볼 수 있을 것이라고 담당자는 전했다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=307429
김천,"김천, 의료취약지 ‘마을 상생병원’ 운영",일간경북신문 - 문장훈 기자,2023/05/30,"김천시는 지난 26일 김천시 보건소와 김천의료원이 함께하는 ‘의료취약지 마을 상생병원’을 증산면 유성리 시루메 주민복지센터에서 운영했다.
증산면은 시에서 가장 오지인데 전체인구 995명에 60세 이상 인구 649명(65.2%)으로 고령인구가 많고, 의료시설 접근성이 매우 미흡하여 의료관심지로 해당된다.
상생병원은 김천시와 김천의료원이 공공의료 활성화 사업의 목적으로 의료접근성이 낮아 의료혜택을 받지 못하는 마을을 찾아가는 방문 진료서비스(무료진료 및 각종 검사)로 두 기관은 지난 3월 협약을 체결했으며 이날 처음으로 상생병원을 운영했다.
한편 김천의료원에서는 정형외과·신경외과·가정의학과 의사와 직원 등 17명이 참여하여 기초 건강사정·임상병리 검사로 만성질환자 건강상태를 확인하고, 방사선(엑스레이)·초음파 장비로 세밀하고 정확한 진단결과를 도출하여 유소견자 발견에 힘을 썼다. 보건소에서는 치매 예방프로그램의 하나인 색칠 공부 하기 및 감염병 예방 교육·홍보활동, 근육 관절 완화를 위한 공기압 마사지를 담당했다. 교통안전공단에서도 홍보 물품을 전달했다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=307426
김천,"김천, 농축산부 방문 ‘국비 확보’ 총력",일간경북신문 - 문장훈 기자,2023/05/29,"김천시 홍성구 부시장은 지난 25일 정부 세종청사 농림축산식품부 예산업무를 담당하는 기획재정담당관실과 원예경영과를 방문하여 김천시의 농업현황 및 발전 방향에 대해 설명하고 주요 국비 지원 사업을 건의했다.
건의안건은 과수 거점 산지유통센터 건립과 농촌 외국인 근로자 기숙사 건립 지원 사업이다.
먼저, 과수 거점 산지유통센터 건립사업은 김천시가 포도, 자두의 주산지이자 사과, 배, 복숭아 등 다양한 과일이 생산되는 지역이다. 그중 저장성과 맛이 우수한 샤인 머스캣의 최대 생산지로 재배면적이 확대됨에 따라 생산량도 급증하고 있어 향후 연간 생산량이 6만 톤에 육박할 것으로 예측한다.
이에 기존의 소규모 산지유통센터가 그 역할을 수행하기에는 한계에 다다른 상황으로 많은 물량을 한꺼번에 확보하고, 체계적인 선별·포장·저장 등을 통해 철저한 품질관리의 필요성이 대두되어 ‘과수 거점 산지유통센터 건립’ 사업을 준비하고 있다.
현재 운영 중인 지역농협 산지유통센터와 더불어 산지 중심 가격경쟁력을 갖출 예정이다. 과수 거점 산지유통센터 건립사업은 올해 2월에 사업을 신청했으며 현장 심사 및 발표평가를 앞두고 있다. 또한, 김천시가 올해 농식품부 공공형 계절 근로 사업에 선정되면서 도입한 계절근로자는 농식품부 허용 최대 쿼터 100명이다.
3월 말 입국하여 4월 1일부터 포도, 자두, 복숭아, 사과, 양파 등 과수 및 밭작물 농작업에 투입됐다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=307311
김천,아동학대 전담의료기관 지정,일간경북신문 - 문장훈 기자,2023/05/25,"김천시는 24일 시청 2층 회의실에서 『김천시 아동학대 전담의료기관 지정』 협약식을 개최했다.
이날 협약식은 김충섭 김천시장과 정용구 김천의료원장, 이왕복 김천제일병원장과 병원 임직원이 참석한 가운데 아동학대로 인해 몸과 마음에 깊은 상처를 입은 피해 아동이 신속한 의료서비스를 제공받아서 빠른 회복과 건강하게 성장할 수 있도록 지역 의료기관과 상호협력 대응체계를 강화하기 위해 마련됐다.
김천의료원과 김천제일병원은 응급의학과, 소아청소년과를 통해 응급치료, 신체적·정신적 검진과 학대 의심 신고 등 피해 아동을 위한 통합적인 의료서비스를 지원함과 더불어 아동학대 전담의료기관으로서의 사회적 책임감과 신속한 의료체계 구축으로 아동의 마음까지도 따뜻하게 보듬어 줄 수 있기를 기대하고 있다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=307129
김천,"김천시장, 청년몰 활성 ‘소통의 장’ 마련",일간경북신문 - 문장훈 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=306980
김천,김천서 전국킥복싱대회 열린다,일간경북신문 - 문장훈 기자,2023/05/24,"‘2023 해피투게더 김천 전국킥복싱대회’가 26일부터 28일까지 3일간 김천종합스포츠타운 실내체육관에서 개최된다.
이번 대회는 경북킥복싱협회가 주최/주관하며, 초등부에서 일반부까지 400여 명의 선수들이 참가하여 아마추어 선수 발굴 및 생활체육 활성화를 위해 마련되었다.
대회경기는 타격 포인트를 가격해 점수를 얻는 매트 스포츠 부분과 보호 장구를 착용하고 정식규정으로 진행하는 링 스포츠 부분으로 나누어 진행한다.
한편 전국킥복식대회 개막전에는(26일 오후 2시) 우리나라를 비롯한 일본, 싱가포르, 우즈베키스탄 선수들이 참가하는 국가 대항전 프로경기가 펼쳐져 관람객들에게 큰 호응을 받을 것으로 기대한다.
김천시 관계자는 “김천에서 오랜만에 개최되는 스포츠 투기종목인 킥복싱대회에서 모든 선수가 부상 없이 기량을 마음껏 선보이는 자리가 되길 바란다”라며 “이번 대회가 김천을 홍보하고 알리는 좋은 대회가 되길 기대한다”라고 밝혔다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=306979
김천,고향사랑기부 답례품 9종 선정,일간경북신문 - 문장훈 기자,2023/05/21,"김천시는 고향사랑기부제 답례품 선정위원회를 열고 답례품 9종을 추가 선정했다고 21일 밝혔다.
추가 답례품은 전통 도자기, 와인, 사명대사공원 건강문화원 숙박권, 부항댐 생태휴양 펜션, 수도산 자연휴양림, 산내들 오토캠핑장, 직지사 템플스테이, 증산 수도계곡 캠핑장 이용권 등 9종이다. 주로 김천 방문을 유도해 경제적 유발효과를 기대할 수 있는 체류형 관광 서비스 형태의 답례품이다. 기존 운영 중인 농축산물과 가공식품 등과 함께 폭 넓은 선택의 기회를 제공한다.
이현기 김천시 세정과장은 ""이번 답례품 추가 선정이 기존 특산물 답례품과 함께 시너지 효과를 줘 지방소멸을 막고 지역경제를 살리는 고향사랑 기부제의 성공적인 안착에 한 몫을 할 것으로 기대한다""고 말했다.
추가 선정된 답례품은 공급업체와 별도 협의를 거쳐 '고향사랑e음'을 통해 공급될 예정이다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=306569
김천,"김천 포도·자두 산업 특구, 속도 ‘UP UP’",일간경북신문 - 문장훈 기자,2023/05/21,"김천시가 포도·자두 산업 입지 기반을 마련했다.
김천시는 최근 중소벤처기업부에서 열린 지역특화발전특구 위원회에서 김천 포도·자두 산업 특구 계획 변경안을 심의해 최종 승인했다고 21일 밝혔다.
계획 변경안은 지정기간이 만료된 포도 산업 특구와 자두 산업 특구를 '포도·자두 산업 특구'로 통합하고 특구 지정 면적 확대 등이 주요 내용이다.
시는 이번 승인이 청년 창업농, 귀농인 등 유입을 통해 신규 일자리 창출 및 지역경제 활성화에 기여할 것으로 기대하고 있다.
특구는 지역의 고유한 자원·문화 등을 특성에 맞게 활용해 자립적 성장 기반을 촉진하는 제도다.
특구로 지정된 지역은 다양한 규제 특례 또한 받을 수 있다. 김충섭 김천시장은 ""포도·자두 산업 특구의 규제 특례를 잘 활용해 생산, 유통·물류, 가공 등 분야에 다양한 특화사업을 추진하겠다""고 말했다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=306494
김천,"김천 평화시장, 불금불토 밤 나들이 야시장",일간경북신문 - 문장훈 기자,2023/05/18,"김천시는 19일 평화시장 일원에서 ‘2023 평화시장 불금불토 밤 나들이 야시장’을 개장한다. 야시장은 5월 19일 시작으로 6월 10일까지 더운 여름철을 제외하고 9월 1일부터 9월 23일까지 총 8주간 매주 금요일과 토요일 오후 6시부터 밤 10시까지 운영된다.
특히 평화시장 불금불토 밤 나들이 야시장에서는 족발, 닭강정, 다코야키, 튀김, 오징어구이, 간장게장 등 다양한 길거리 음식을 선보이며, 또한 수제 액세서리 등 플리마켓과 함께 체험행사, 버스킹, 지역동아리 공연 등 온 가족이 함께 즐길 수 있는 먹거리, 놀거리, 즐길 거리를 마련할 예정이다. 또한, 19일 오후 6시 진행되는 개장식에는 가수 미스트롯 출신의 지원이 외 다양한 공연이 진행되며 야시장을 알리는 경관조명의 점등식을 선보일 예정이다.
김충섭 김천시장은 “우리 시에서는 최초로 선보이는 야시장인 만큼 기존 야시장과는 다른 다양한 먹거리와 함께 체험행사 및 공연까지 준비되어 있으니 많은 가족이 오셔서 좋은 추억을 담아가기를 바란다.”라고 전했다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=306389
