지역명,기사제목,기자이름,날짜,내용,링크
대구,국내 최대 실내 플라워쇼 “아빠·엄마 꽃구경 가요” 대구꽃박람회 2~4일 엑스코 다양한 작품전시,일간경북신문 - 윤기영 기자,2023/05/31,"대구광역시는 국내 최대 규모의 실내 플라워쇼인 ‘제14회 대구꽃박람회’를 6월 2일부터 4일까지 3일간 엑스코에서 개최한다. 올해 14회째를 맞는 대구꽃박람회는 ‘The power of Flowers(꽃의 힘)’주제로 화훼산업 관련 172개 기관(725개 부스, 15,000㎡)과 유명 플로리스트 700여 명의 화훼 작품과 다채로운 행사들을 한자리에서 만날 수 있다.
이번 박람회는 ‘꽃의 힘’이라는 주제를 상징하는 대형 화훼조형이 전시될 ‘주제관’(꽃으로 피어나는 MBTI)과 장관상을 겨룰 엄선된 10개 작품이 조성된 ‘청라상관’, 경북도와 고양시 등 전국의 화훼 문화를 알리는 ‘지자체관’, 야생화, 희귀식물, 테라리엄, 다육식물, 생활 꽃꽂이 등이 다양하게 전시되는 ‘일반 조성관’을 비롯해 화훼 관련 상품을 체험 및 구매할 수 있는 ‘기업관’(플라워 아울렛)으로 구성된다.
특히 지역 청년 플로리스트 양성을 위해, ‘K플라워의 힘, 미래세대 그 꿈을 그리다’를 주제로 한 청년플로리스트 합동작품 전시와 청년 플로리스트 꽃꽂이 시연이 진행되며, 화훼인들의 실력을 겨루는 ‘대구생활화훼경진대회’를 개최하여 미래 화훼산업을 이끌어 갈 역량 있는 신인 발굴에도 힘쓰며, 청소년들에게는 직업 체험의 기회를 제공한다.
또한, 이케바나(일본식 꽃꽂이) 전시회, 화환문화 개선을 위한 신화환 전시, 플라워 미디어아트, 플렌테리어(꽃을 활용한 인테리어), 플라워 드로잉 쇼(Flower Drawing Show), 힐링클래스 등이 새롭게 선보여 더욱 풍성한 볼거리를 제공한다.
일반인들이 쉽게 화훼 문화를 배우고 체험할 수 있는 힐링원예종합체험존, 어린이 체험, 꽃종자 파종, 꽃 해설투어, 데몬스트레이션 등을 비롯하여 전문가들을 위한 ‘쉽고 재미있는 다육아트’, ‘꽃을 활용한 치유농업 활동사례’ 등 세미나 프로그램이 진행되어 화훼 네트워크 구축의 장이 마련된다. 이번 행사의 관람시간은 오전 10시부터 오후 6시까지이다. 입장권은 성인 기준 9,000원이며 사전예매를 통해 할인된 가격으로 만나볼 수 있다.윤기영기자",http://www.newgbnews.com/news/view.php?idx=307653
대구,"중구, 미취업청년에 취업장려금 지원",일간경북신문 - 윤기영 기자,2023/05/31,"8개 구군 중 최초 5개월간
대구 중구는 경제적으로 취약한 미취업 청년들에게 취업 준비에 필요한 활동비를 지원해 구직활동에 전념할 수 있는 환경을 제공코자 대구시 8개 구·군 중에 최초로 ‘미취업청년 취업장려금 지원사업’을 시행한다.
지원 대상은 최종학력 졸업 2년 이내 또는 학사취득 유예 중인 중구 거주(공고일 현재) 만 19 ~ 34세 미취업자 중 기준 중위소득 120~140%이하인 청년이며, 지원 항목은 구직활동을 위한 학원수강료, 교재·도서구입비, 시험 응시료 등으로 최대 100명에게 월 최대 30만원 한도 내에서 5개월 동안 지원한다.
신청 기간은 2023년 6월 9일까지로 자세한 내용은 중구청 홈페이지 공지사항이나 중구청 홍보소통실(053-661-2463, 2465)을 통해 확인할 수 있다.
류규하 중구청장은 “우리 중구는 청년들이 지역에 머물며 취·창업하기 좋은 환경을 만들기 위해 임대료 지원 사업을 비롯한 다양한 사업을 추진 중에 있으며, 올해 처음 시행하는 해당 사업에도 청년들의 많은 관심과 참여를 부탁한다”고 말했다.윤기영기자",http://www.newgbnews.com/news/view.php?idx=307595
대구,"서구청장, 마약예방 ‘NO EXIT’ 캠페인",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307594
대구,‘너랑나랑 3삼5오 데이트’ 4커플 매칭,일간경북신문 - 윤기영 기자,2023/05/31,"대구 달서구는 지난달 26일 달서선사관에서 개최한 ‘너랑 나랑 3삼5오 데이트’에서 4커플이 매칭됐다고 밝혔다.
이번 행사는 한 번의 만남으로는 상대에 대해 알기 어렵다는 참여자의 의견을 반영해 특별히 3번의 만남자리를 마련했다. 지난달 13일과 20일은 달서목재문화관에서 전문 행사자의 사회로 첫 만남의 어색함을 깨는 ▷ 아이스 브레이킹 타임 ▷ 커플 레크리에이션 ▷ 원목피크닉테이블 만들기 체험 ▷ 미션게임을 진행했다.
지난달 26일에는 달서선사관에서 계명문화대학교 하이브 사업과 연계해 호텔항공외식관광학부 김평빈 교수의 와인클래스 수업을 진행하고 최종 커플을 선정 했다.
한 참가자는 ‘서먹하고 낯선 상황이지만, 체험프로그램을 통해 자연스럽게 대화할 수 있고 멋진 추억을 쌓을 수 있어서 좋았다’고 말했다.
달서구는 미혼남녀 대상의 만남 행사뿐만 아니라, 결혼적령기 자녀를 둔 부모님들이 자녀의 짝을 직접 찾는 ‘내 자녀 천생연분 찾는데이’ 도 운영하고 있다. 또한, 청년과 부모들의 결혼에 대한 마음을 이해하는 ‘맞춤형 결혼 공감 토크’를 오는 28일 개최할 예정이다.윤기영기자",http://www.newgbnews.com/news/view.php?idx=307593
대구,"달성청소년문화의집, 3기 환경페스티벌",일간경북신문 - 윤기영 기자,2023/05/31,"달성군청소년문화의집은 지난달 27일 환경의 달인 6월을 기념해 달성군청소년어울림마당 “3기 환경페스티벌-환경을 부탁해!”를 성황리에 개최했다.
이번 행사는 21년, 22년에 이어 3회째 진행됐고 120명의 지역 청소년이 참가해 환경문제의 심각성을 인지하고 환경보호의 실천방법을 다양한 체험활동과 워크북 작성을 통해 쉽게 접근할 수 있도록 운영됐다.
환경에 대해 생각할 수 있는 자원의 순환, 환경오염의 주범 재활용, 친환경 생활의 시작, 환경퀴즈존을 구성여 스티커 랠리 방식으로 운영했으며 모든 부스 체험자에게는 신문 재생 친환경 연필을 기념품으로 지급했다.윤기영기자",http://www.newgbnews.com/news/view.php?idx=307592
대구,"남구 앞산맛둘레길, 보훈의달 유공자 할인",일간경북신문 - 이종구 기자,2023/05/31,"대구광역시 남구는 호국보훈의 달을 맞아 국가유공자와 그 가족이 앞산맛둘레길 식당 이용 시 10%의 할인혜택 또는 음료수를 제공한다고 밝혔다.
남구는 6월 호국보훈의 달을 맞아 6월 한 달 동안 진행되는 이번 특별할인 행사는 앞산맛둘레길의 34개 식당(할인행사 포스터 부착 식당) 이용 시 국가유공자증을 제시하면 혜택을 받을 수 있다. 김영주 앞산맛둘레길 상가번영회 회장은 “이번 행사는 앞산맛둘레길 번영회에서 호국보훈의 달을 맞아 국가를 위해 헌신하신 유공자분들에게 감사의 마음을 전하고자 마련했다”며,“뜻깊은 행사를 진행하게 되어 영광이다”고 전했다. 남구청장은 “국가유공자분들의 위대한 헌신을 기억하고, 남구를 호국보훈 선진도시, 살기좋은 명품도시로 만들어가는데 최선의 노력을 다하겠다”고 말했다.이종구기자",http://www.newgbnews.com/news/view.php?idx=307591
대구,"동구, 고독사 예방 스마트돌봄플러그",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307590
대구,6월부터 비대면 아동급식지원 플랫폼 운영,일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307589
대구,"대구, 실내 마스크 착용의무 추가 변경조정 시행",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307588
대구,"수성알파시티, 디지털 혁신거점 청신호",일간경북신문 - 윤기영 기자,2023/05/30,"대구광역시는 비수도권 최대 SW기업 집적지인 ‘수성알파시티’가 과학기술정보통신부(이하 ‘과기정통부’)의 ‘지역 디지털 혁신거점 조성지원 시범사업’의 추진 지역으로 최종 선정됐다고 밝혔다.
과기정통부가 주관한 ‘지역 디지털 혁신거점 조성지원 시범사업’은 지역 내 디지털 생태계의 성장 잠재력이 높은 입지를 혁신거점 시범지역으로 선정해 초기 조성비(국비 63억/3년)를 지원하는 사업이다. 이번 사업 공모에는 총 10개 지역이 신청한 가운데(경쟁률 5:1), 3월부터 2개월간 민간전문가로 구성된 평가위원회를 중심으로 서면·발표평가, 현장실사 및 종합심의가 진행됐으며, 치열한 지자체 간 경쟁을 거쳐 대구광역시와 부산광역시가 최종 선정됐다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=307502
