지역명,기사제목,기자이름,날짜,내용,링크
문경,문경 트롯가요제 예심 ‘인기’,일간경북신문 - 이기화 기자,2023/05/30,"올해 처음 개최되는 문경 트롯가요제 예심이 지난 27, 28일 이틀간 오전 10시부터 오후 10시까지 문경 문화예술회관에서 진행됐다.
이번 가요제 예심은 7월 1일 문경 영강체육공원에서 열릴 본선 진출자 12팀을 뽑는 경연으로 노래에 관심이 있다면 누구나 신청이 가능해 서울‧부산‧광주와 제주도에서도 참가하는 등 전국에서 600여 명이 참가했으며 다양한 퍼포먼스와 가창력으로 실력을 발휘했다.
또한 문경관광진흥공단은 예심이 열린 문경 문화예술회관 로비에서 오미자 등 문경의 특산품을 준비해 전국 각지에서 신청한 트롯가요제 참석자들을 위해 전시 및 판매행사를 진행했다.
트롯가요제 본선은 7월 1일 오후 7시 문경 영강체육공원 야외공연장에서 개최되며, 초대가수 이찬원, 장윤정, 김나희 등이 무대에 올라 축하공연을 펼친다. 이기화기자",http://www.newgbnews.com/news/view.php?idx=307463
문경,문경 신기제2일반산단에 60억 투자,일간경북신문 - 이기화 기자,2023/05/30,"한솔건업과 투자양해각서 체결

문경시는 30일 시청 제2회의실에서 신기제2일반산업단지 내 신규 투자 업체 ㈜한솔건업과 투자양해각서(MOU)를 체결했다.
이날 투자양해각서(MOU) 체결에는 신현국 문경시장, 황재용 시의회 의장, 서정식, 진후진, 신성호 의원, ㈜한솔건업 노용규 대표 등 10여 명이 참석했다.
이번 투자양해각서를 체결한 ㈜한솔건업은 가설 건축자재 및 건설기계 공구를 생산하는 기업으로 향후 60억원을 투자하고 15명을 고용할 계획이다. ㈜한솔건업은 수원, 상주에서 경영하던 기업으로 서울과 부산의 중간지점인 문경을 유력지로 확신하여 신규 투자를 결정하게 되었다.
신현국 문경시장은 “Covid Blue 후 장기화된 경제 침체기에도 불구하고 우리 시와 투자 양해각서를 체결한 대표님께 감사드린다.”며 “적극적이고 벽이 없는 기업정책으로 기업하기 좋은 문경시에서 큰 도약을 할 수 있도록 지원하겠다.”고 말했다.
황재용 시의회 의장은 문경시의 경제 활성화와 고용 창출을 위해 의회에서도 아낌없는 지원을 약속했다. 이기화기자",http://www.newgbnews.com/news/view.php?idx=307423
문경,"문경, 3게 긍정마인드 실천 방안 마련",일간경북신문 - 이기화 기자,2023/05/29,"문경시는 지난 25일 시청 대회의실에서 백승모 부시장 주재로 각 부서 지표 담당자 80여 명이 참석한 가운데 ‘2023년 시군평가 추진상황 점검 보고회’를 개최했다.
시군평가는 경북도 내 22개 시군을 대상으로 정부 합동평가와 연계하여 국정 주요 시책과 도정 역점시책 등에 대한 성과를 종합적으로 평가하는 것으로, 올해는 정량지표 82개, 정성지표 18개 총 100개의 지표에 대한 평가를 받게 된다.
이날 진행된 보고회에서는 지난해 시군평가 결과의 부진사항을 분석하고, 금년 100개 평가지표(정량, 정성)에 대한 추진상황을 점검했다.
또한, 부진지표에 대한 실효성 있는 계획 마련과 실적제고 등 실적 향상을 위해 3게 긍정마인드 실천운동과 연계한 추진 방안을 마련하는 자리를 가졌다.
문경시는 앞으로도 보고회를 연중 수시로 개최해 추진실적을 점검하여 문제점을 분석·개선하고, 경북도 및 부서 간 유기적 소통으로 체계적인 지표 관리와 우수사례 발굴을 위한 대응 전략을 수립해 나갈 방침이다.이기화기자",http://www.newgbnews.com/news/view.php?idx=307297
문경,"문경, 읍면동 당직근무 폐지",일간경북신문 - 이기화 기자,2023/05/23,"문경시는 22일부터 직원 근무 여건을 개선하여 대민서비스를 향상시키기 위해 읍·면·동 당직 근무를 폐지한다고 밝혔다. 문경시 관내 14개 읍·면·동 행정복지센터는 이미 무인경비시스템이 구축·운영되고 있어 당직 업무의 상당 부분이 무인화된 상황이다.
또한, 각종 사건사고와 재난 발생 대처는 본청 당직실에서 관련 유관기관과 연락체계를 구축하여 신속하게 대응하고 있어 읍·면·동 당직근무 개선의 필요성이 계속적으로 대두되었다.이기화기자",http://www.newgbnews.com/news/view.php?idx=306859
문경,"문경, 불타는트롯맨의 ‘뜨거운 대결’",일간경북신문 - 이기화 기자,2023/05/22,"문경시 농특산물 약돌돼지와 오미자청을 홍보하기 위한 MBN「불타는장미단」이 23일 화요일 밤 10시부터 방송될 예정이다.
이날 방송에는 불타는 트롯맨 TOP7(손태진, 신성, 민수현, 김중연, 박민수, 공훈, 에녹)이 노래 대결을 펼쳐 최종 라운드에서 이긴 팀이 문경세트(문경약돌돼지&오미자청)를 획득하고 시청자들이 할인된 가격으로 구매할 수 있는 기회를 제공한다.
특히 방송이 종료된 다음 날인 24일 문경새재의아침 쇼핑몰(https://mgmall.cyso.co.kr/)에서 문경약돌돼지와 문경오미자청 각 300set를 할인하여 선착순 판매한다.이기화기자",http://www.newgbnews.com/news/view.php?idx=306662
문경,"의성, 옥외광고물·현수막 게시대 점검",일간경북신문 - 박효명 기자,2023/05/21,"의성군은 22일부터 두 달여간 풍수해로 인한 사고를 예방하고 안전한 생활환경을 조성하기 위해 옥외광고물 및 현수막 지정게시대 안전점검을 실시한다고 밝혔다.
군에 따르면 이번 안전점검은 의성군과 (사)경북도옥외광고협회 소속 안전점검 전문가가 합동점검반을 편성하여 차량·보행자 통행량이 많은 의성군 일원을 대상으로 집중점검한다.
이번에 실시하는 옥외광고물 및 현수막지정게시대의 주요 점검 내용은 옥외광고물 및 현수막 지정게시대 1,141개소를 대상으로 △광고물의 결속상태 △노후, 균열, 부식, 변형 상태 △전기설비 노후로 인한 누전위험 등을 점검한다. 점검 후 파손 상태를 확인하여 경미할 경우 신속히 현장조치를 실시할 예정이며, 재난위험이 있는 광고물의 경우 업소 자전철거 및 응급 정비를 유도할 계획이다.
또한 풍수해 대비단계부터 소멸 후 상황종료 시까지 해당지역에 대한 지속적인 점검순찰의 강화하여 옥외광고물 관리를 적극 추진할 예정이다.
김주수 의성군수는 “풍수해에 대비하여 지속적인 사전 순찰을 강화하는 등 효율적인 대응체계를 구축하여 여름철 태풍 및 집중호우로 인해 발생할 수 있는 안전사고를 미연에 방지하고 군민의 생명과 자산을 보호할 수 있도록 최선을 다하겠다.”라고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306571
문경,폭언 폭행으로부터 민원인·공무원 보호,일간경북신문 - 이기화 기자,2023/05/18,,http://www.newgbnews.com/news/view.php?idx=306343
문경,문경돌리네습지 ‘사진전’,일간경북신문 - 이기화 기자,2023/05/17,"문경시는 2023년 세계 습지의 날을 기념하여 운영하는 습지 주간인 19일부터 23일까지 5일간 문경돌리네습지 일원에서 ‘문경돌리네습지 사진전’을 개최한다고 밝혔다.
이번 사진전은 세계적으로 희귀하고 국내 유일한 돌리네 지형에 형성된 문경돌리네습지를 알리기 위해 기획하였으며, 전시 작품들은 돌리네습지를 기록하기 위해 촬영한 사계절의 모습과 습지에 서식하는 야생 동·식물 등을 전시한다.
습지 주간 기간에 상시 운영하며, 오전 9시부터 오후 5시까지 습지를 방문하면 자유롭게 관람할 수 있다.
세계 습지의 날은 람사르협약에서 1996년 2월 2일을 세계 습지의 날로 제정하였으며, 환경부에서는 2002년부터 정부 기념행사를 추진, 2011년부터는 매년 5월 중 습지 주간을 지정하여 운영하고 있다. 문경돌리네습지는 희귀한 지형에 형성된 습지이고, 멸종위기야생생물의 서식처이자 생물다양성이 풍부한 소중한 자연환경이다. 이기화기자",http://www.newgbnews.com/news/view.php?idx=306212
문경,문경오미자테마공원 ‘핫 플레이스’ 등극,일간경북신문 - 이기화 기자,2023/05/15,"코로나19 사태 등으로 사실상 휴업상태였던 문경새재 초입의 문경오미자테마공원이 사회적 기업과 손잡으면서 핫 플레이스로 떠오르고 있다.
2019년 11월 문을 연 문경오미자테마공원(문경시 문경읍 새재로715)은 문경시가 1층 판매장과 3층 카페를 민간에 위탁하여 운영했으나 그해 12월 코로나19가 발생하면서 2020년 2월부터 사실상 휴업에 들어갔다. 문경시는 이후 1층 체험장에서 오미자 청 담그기 체험프로그램만 운영하다 2021년 다시 민간 사업자를 선정하고 운영 기관도 농업기술센터에서 테마공원과 가까운 문경새재관리사무소로 이관했다.
민간 사업자로 선정된 문경시 사회적경제협의회는 오미자테마공원에서 발생한 수익금을 지역에 환원하는 등 이익 추구보다 테마공원 활성화와 문경오미자 홍보에 초점을 맞췄다. 또 운영에 참여하는 사회적 기업 대표들이 문경시와 시민들에게 받은 혜택을 돌려준다는 차원에서 특산물 판매 초기 운영비를 부담하는 등 적극적으로 활성화에 나섰다.
또한, 문경새재관리사무소는 22년 7월 오미자테마공원의 활성화 대책을 수립하여 기존의 오미자청 담그기 체험에 오미보리빵 만들기 체험을 추가하여 체험프로그램을 확대하였다.
동시에 문경 관광두레 주민사업체와 파머스마켓 셀러, 청년 소상공인, 농업인, 도예가 등 30팀이 참여하는 플리마켓 ‘빨강시장’을 2021년 2회에서 2022년 5회로 확대 편성하여 테마공원 안과 밖으로 방문객 유치에 노력하였다.이기화기자",http://www.newgbnews.com/news/view.php?idx=305883
문경,저온피해 농장 방문·농가 격려,일간경북신문 - 이기화 기자,2023/05/14,"최근 문경지역에서도 과수 개화기를 전후한 지난달 8일, 13일, 27일 기간 중 이상저온과 서리로 인해 사과, 배를 비롯한 과수와 감자, 단호박 등이 큰 피해를 입어 농가에 시름이 깊은 가운데, 12일 신현국 문경시장이 관계 공무원들과 함께 피해가 심한 호계면 배나무 과원과 단호박 농장, 동로면의 사과나무 과원 등 피해 현장을 직접 방문하여 피해 황을 살펴보고 위로와 함께 지원책을 강구하는 등 발빠른 대처에 나서 시련에 빠진 농가에 큰 위안이 되고 있다.
피해신고와 지원대상 규모는 저온피해는 50ha 이상, 서리피해는 30ha 이상의 면적이 피해를 입은 경우이며, 세부적으로는 과수의 경우 꽃 고사율이 50% 이상일 때 해당이 된다.이기화기자",http://www.newgbnews.com/news/view.php?idx=305698
