지역명,기사제목,기자이름,날짜,내용,링크
봉화,"봉화, 인구감소지역 71개 세부사업 의결",일간경북신문 - 김규화 기자,2023/05/31,"봉화군은 지난달 30일 군청 별관 2층 중회의실에서 2023년 제2차 인구감소지역대응위원회를 개최했다.
군은 효율적인 인구증가 시책 추진과 인구감소 위기 대응을 위해 지난 5월 10일 봉화군 인구감소지역대응위원회를 구성하고 첫 회의를 가진 바 있다.
이날 위원회에는 위원 16명(민간위원 8명, 당연직위원 8명)이 참석한 가운데 당면한 2024년 지방소멸대응기금 투자계획 전반에 대한 검토와 지난 회의에서 논의된 인구감소지역 대응 기본계획(2022년~2026년) 및 시행계획(2023년)의 수정·보완사항에 대해 확인하고, 이들 계획에 대한 최종 심의·의결이 이뤄졌다.
봉화군은 지방소멸 대응을 위해 지난해 12월부터 연구용역을 시작으로 행정, 전문가, 주민 의견수렴 등을 통해 봉화군 특성을 반영한 맞춤형 인구정책 발굴을 위해 힘써왔다.김규화기자",http://www.newgbnews.com/news/view.php?idx=307585
봉화,"봉화, 공공일자리 참여자 모집",일간경북신문 - 김규화 기자,2023/05/31,"봉화군은 13일까지 ‘2023년도 하반기 공공일자리사업’ 참여자를 모집한다.
하반기에 실시하는 사업은 경제적 여건이 어려운 취약계층과 장기실직자 및 청년에게 일자리를 제공하는 공공근로사업(25명)과 지역공동체일자리사업(11명)으로, 총 36명의 참여자를 모집해 7월부터 10월까지 4개월간 진행할 예정이다. 선발 분야, 사업별 임금 및 근로 조건 등 자세한 내용은 봉화군청 누리집 및 인구전략과 일자리창출팀(054-679-6187)으로 문의하면 된다.김규화기자",http://www.newgbnews.com/news/view.php?idx=307582
봉화,"봉화, 야생동물 사체 ‘랜더링 처리’ 도입",일간경북신문 - 김규화 기자,2023/05/30,"봉화군은 유해야생조수 사체의 원활한 처리를 위한 ‘랜더링 처리’방식을 5월부터 도입했다고 밝혔다.
랜더링 처리는 사체를 물리·화학적으로 분쇄한 후 130℃ 고온·고압에서 멸균 처리한 다음, 기름과 고형분으로 분리 후 추출 성분을 모두 퇴비와 사료용 유지 등 재활용 가능한 제품으로 처리하는 친환경적인 처리기술이다.
기존에는 매립장에 사체를 매립하는 방식으로 진행해 왔으나, 아프리카돼지열병(ASF)의 남하와 고라니 등의 기타 유해야생조수 사체 증가에 따라 매몰지 사후 관리의 어려움 및 환경 오염 문제를 방지하고자 랜더링 처리 방식을 도입했다.
봉화군수는 “이번 유해야생동물 사체의 랜더링 처리 방식 도입으로 봉화군의 환경오염을 방지하고, 유해야생동물의 원활한 포획으로 농민들이 피해받는 일이 없도록 하겠다.”라고 밝혔다. 랜더링 처리 방식의 도입으로 농작물 피해 예방과 아프리카돼지열병 확산 방지 대책에 탄력이 붙을 전망이다.김규화기자",http://www.newgbnews.com/news/view.php?idx=307464
봉화,‘골든타임 사수’ 심폐소생술·응급처치 교육,일간경북신문 - 김규화 기자,2023/05/29,"봉화군은 지난 25일 군청 종합민원실에서 근무하는 직원 40여 명을 대상으로 심폐소생술 및 응급처치 교육 훈련을 실시했다.
이번 교육은 방문 민원인 또는 직원 등이 급성심장정지 등 응급 상황 발생 시 차분하고 신속하게 대처함으로써 군민들의 생명을 보호하고자 마련됐다.
응급상황 발생 시 빠른 대처 요령, 올바른 심폐소생술 방법, 자동심장충격기(AED) 사용 방법 등 이론 교육에 이어 마네킹과 자동심장충격기를 활용한 실습 교육 순으로 진행됐다.
교육에 참가한 직원들은 “실생활에서 사용되는 일이 없기를 바라지만 응급상황에서 차분하게 대처할 수 있을 것 같다.”라고 말했다.
김익찬 종합민원실장은 “어르신들의 방문이 많은 우리 군 특성상, 응급 상황에 철저하게 대비해야 할 필요성을 느꼈다.”라고 말했다.김규화기자",http://www.newgbnews.com/news/view.php?idx=307300
봉화,"봉화군의회, 군정주요 사업장 현장확인",일간경북신문 - 김규화 기자,2023/05/25,"봉화군의회는 지난 16일부터 10일간의 일정으로 열린 제256회 봉화군의회 임시회를 25일 폐회했다.
이번 임시회에 상정된 조례안 및 주요안건인 △봉화군 작은도서관 설치 및 운영 지원에 관한 조례안 △봉화군 저소득주민 건강보험료 및 노인장기요양보험료 지원 조례 일부개정조례안 △봉화 친환경 양수발전소 유치 촉구 결의안 △농작물 냉해피해 대책 마련 촉구 건의안 △춘양면 군인관사 영양군 이전 반대 결의안 △봉화군 신규 양수발전소 유치 동의안 등 총 16개의 안건을 심도 있게 검토해 원안 가결했다.
특히 △‘춘양 노후정수장 개선공사’현장을 방문해 주민들이 양질의 물을 사용할 수 있도록 공사뿐만 아니라 사후관리에도 만전을 기해 줄 것을 당부했고 △‘봉화 군계획시설 조성사업’현장을 방문해 공사 시 발생 되는 각종 소음, 미세먼지 및 주민 통행에 불편이 없도록 철처한 관리감독을 당부하는 등 주요 사업장 30여 곳을 찾아 주민의견 수렴의 중요성을 강조하며 사업의 원활한 추진을 위해 힘써줄 것을 주문했다.
김상희 의장은 “군정주요사업장 현장 확인을 통해 사업 추진 현황을 파악하고 미흡한 부분에 대해서 지적할 수 있는 중요한 회기였으며, 현장에서 지적된 사항에 대해서 집행부에서는 군정에 잘 반영될 수 있도록 최선을 다 해주길 바란다.”라고 말했다. 김규화기자",http://www.newgbnews.com/news/view.php?idx=307152
봉화,"봉화, 대만 국제관광박람회서 홍보관 운영",일간경북신문 - 김규화 기자,2023/05/25,"봉화군은 26~29일까지 4일간 대만 세계무역센터에서 개최되는 ‘2023 대만 타이페이 국제 관광박람회’에 참가해 다양한 관광 마케팅 활동을 펼칠 예정이다. 대만 타이페이 국제 관광박람회는 타이페이시 정부가 주최하고 타이페이시여행업협회 등이 주관, 관광을 주제로 열리는 아시아 지역대표적인 관광박람회로 올해는 태국, 일본 등 12개 국가, 205개 기업, 1,000여 개의 관광 주제관이 운영된다.
관광박람회가 개최되는 대만은 전체 인구 2,300만 명 중 연간 1,000만 명(2016년 기준)이 해외로 출국하며 다양한 연령층에서 한국의 K-문화 등 관광콘텐츠를 찾고 있는 인바운드 관광시장의 최대어로 손꼽힌다. 봉화군은 이번 박람회 기간 동안 ‘숲속도시 봉화 VISIT 2023-2024’를 주제로 곧 다가올 여름 여행 성수기를 겨낭해 여름 대표 축제인 은어축제를 중심으로 분천산타마을, 봉화송이를 포함한 다양한 봉화군 관광자원의 마케팅을 활용해 봉화만의 매력을 알리는 데 집중할 계획이다. 김규화기자",http://www.newgbnews.com/news/view.php?idx=307144
봉화,"봉화, 베트남 외국인 계절근로자 환영식",일간경북신문 - 금인욱 기자,2023/05/24,"봉화군은 이달 베트남과 캄보디아에서 총 90명의 외국인 계절근로자가 입국해 농촌일손 부족을 해결할 예정이라고 밝혔다.
먼저 지난 23일에는 베트남 하남성에서 입국한 66명의 외국인 계절근로자를 위한 환영식이 농업기술센터에서 개최됐다.
이날 환영식에는 농가주들도 참석해 근로자와의 첫 대면이 이뤄졌으며 근로자들을 대상으로 근로조건, 체류에 관한 유의사항 및 범죄예방에 관한 교육과 함께 급여통장 개설과 마약검사도 함께 실시했다.
지난달 18일 1차로 입국한 174명이 3개월간 농작업에 종사하는 것과 달리 이번 입국한 근로자들은 5개월간 농가에 배치되어 농가의 일손을 돕게 된다.
25일에는 캄보디아에서 24명이 입국해 이들을 위한 환영식이 개최된다.
현재 봉화군은 관내 결혼이민자를 통역으로 고용해 지난 4월 입국 근로자 고용농가들을 전수 방문 후 농가와 근로자 사이의 애로사항을 청취하고 현장에서 즉석 조치하는 등 근로자의 권익보호와 무단이탈 방지를 위해 총력을 기울이고 있다.
장달호 농업기술센터소장은 “봉화군은 2019년부터 지금까지 외국인 근로자 무단이탈이 단 한명도 발생하지 않았는데 이는 서로를 배려하고자 하는 농가와 근로자의 노력 덕분이며 앞으로도 이에 따른 행정적 지원을 아끼지 않겠다.”라고 말했다.김규화기자",http://www.newgbnews.com/news/view.php?idx=306984
봉화,"전통마을숲 복원, 산림문화자산 보존",일간경북신문 - 김규화 기자,2023/05/23,"봉화군은 생태적으로 보존가치가 있는 전통마을숲을 대상으로 역사적·문화적 기능 회복을 위해 전통마을숲 복원사업을 시행하고 있다고 밝혔다.
지난해 3억 원의 사업비를 투입해 도시화와 복토 및 답압, 입목간 경쟁으로 황폐화되고 있는 전통마을숲 7곳에 복원을 추진한 바 있다.
올해에도 4억 원의 예산을 확보해 봉화읍 건정 전통마을숲 등 9곳을 대상으로 외과수술, 가지치기 및 수목정리, 병해충 방제 등의 사업을 시행하고 있다.
전통마을숲은 지역의 전통문화가 녹아 있는 문화공간으로 주민의견을 청취해 설계에 반영하는 등 주민들의 관심과 참여를 유도했으며복원이 마무리되면 지역주민을 결속하는 쾌적한 화합의 장을 제공하고 전통숲의 생태적 건정성과 지속성이 향상될 것으로 기대된다.
봉화군 관계자는 “앞으로도 지역주민과 함께 해온 전통마을숲과 노거수를 체계적으로 복원 및 관리해 산림문화자산 보전에 최선을 다하겠다.”라고 말했다.김규화기자",http://www.newgbnews.com/news/view.php?idx=306862
봉화,파인토피아 봉화 사과 홈쇼핑서 ‘1억’ 판매,일간경북신문 - 김규화 기자,2023/05/22,"봉화군 능금농협은 봉화사과의 브랜드 인지도 제고와 다양한 소비자 확보를 위해 지난 11일, 14일, 18일 NS농수산홈쇼핑을 통해 ‘파인토피아 봉화 저탄소 세척사과’ 판매행사를 실시했다.
이번 구성은 3.5kg/2상자를 한 세트로 구성해 39,900원에 판매했으며(자동주문/모바일 10% 할인 35,910원) 올해 첫 번째 진행하는 행사로 총 2639세트 1억500만 원 정도의 판매실적을 올렸다.
봉화군에서는 농산물 공동브랜드인 ‘파인토피아 봉화’의 브랜드 홍보와 봉화농산물 소비자 신뢰 확보 및 유통 활성화를 위해 TV홈쇼핑 방송 지원사업을 추진하고 있으며 봉화사과 TV홈쇼핑 판매는 능금농협이 주축이 되어 올해 3회 정도 추진할 계획이다. 김규화기자",http://www.newgbnews.com/news/view.php?idx=306663
봉화,봉화양수발전소 유치 대대적 홍보,일간경북신문 - 김규화 기자,2023/05/21,,http://www.newgbnews.com/news/view.php?idx=306540
