지역명,기사제목,기자이름,날짜,내용,링크
상주,"상주, 복지시설 관계자와 ‘소통의 장’",일간경북신문 - 김학전 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307626
상주,"상주, 8일까지 ‘찾아가는 현장민원실’ 운영",일간경북신문 - 김학전 기자,2023/05/31,"경북대 상주캠퍼스 전입 접수
상주시는 지난달 30일부터 오는 8일까지 2주간(화, 수, 목) 경북대 상주캠퍼스에서 ‘찾아가는 현장민원실’을 운영한다.
아울러, 찾아가는 현장민원실은 상주시 인구 증가 및 학생들의 민원 신청 편의를 위해 매년 3월, 5월, 11월 3차례 운영되며 전입신고와 전입 지원금 및 전입 학생 기숙사비를 현장에서 신청받고 있다.
상주시는 전입신고 후 6개월이 지나면 전입 중·고·대학생에게 전입 지원금 20만 원(상주화폐)을 지급하고 주소 유지 시 6개월마다 졸업까지 최대 8회 지원하고 있다. 또한, 기숙사로 전입신고 시 학기마다 기숙사비를 최대 8회까지 지원하고 있다.
강영석 상주시장은 “찾아가는 현장민원실 운영으로 더 많은 학생이 상주시로 전입하고 많은 혜택을 누릴 수 있도록 다양한 인구 증가 시책을 펼쳐 나가겠다.”라고 말했다. 김학전기자",http://www.newgbnews.com/news/view.php?idx=307625
상주,대만서 ‘상주관광’ 매력 발산,일간경북신문 - 김학전 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307425
상주,"상주, 인구감소대응 35개 실천사업 제시",일간경북신문 - 김학전 기자,2023/05/29,"상주시는 지난 25일 시청 소회의실에서 최우진 부시장을 비롯한 상주시 인구감소지역대응 위원회, 상주시의회 의원, 지방소멸대응 실무추진단 등 20여 명이 참석한 가운데 「상주시 인구감소대응 기본계획 수립 연구용역」 최종보고회를 개최했다.
시는 지난 1월 연구용역을 시작으로 5월 중간보고회를 열어 상주시 인구감소지역대응위원회, 지방소멸대응 실무추진단 등 다양한 의견을 수렴하고 제시된 내용을 반영하여 상주시 맞춤형 인구감소지역대응 비전·목표·전략을 도출했다. 보고회에서는 “다함께 상주하는 어울림 도시 상주!”라는 비전과 함께 매력공간 창출로 생활인구 확보, 정주여건 개선으로 지역활력 제고, 차별화된 로컬라이프 구축으로 정착유도의 3가지 목표를 위한 35개의 실천사업을 제시했다.
상주시는 최종보고회에서 나온 의견을 반영하고 14일간의 주민 의견을 청취한 후 상주시 인구감소지역대응위원회 심의를 거쳐 5월 말까지 기본계획을 최종 수립할 계획이다.최우진 부시장 은“인구감소지역대응 기본계획은 2022년부터 2026년까지의 5개년간의 인구정책 방향을 담는 계획임에 따라 현실적이고 실효성 있는 사업들을 제시하는 데 집중, 제시된 다양한 실천사업들이 차질없이 추진되어 도움이 되길 기대한다”라고 말했다.김학전기자",http://www.newgbnews.com/news/view.php?idx=307310
상주,"상주, 도시계획 혁신… ‘일본 벤치마킹’",일간경북신문 - 김학전 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307309
상주,"상주·김천, 고향사랑기부제 활성화 응원",일간경북신문 - 김학전 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307133
상주,"상주시장, 해양문화 확산 ‘장보고 대기장’",일간경북신문 - 김학전 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307132
상주,"상주 경천섬, 건강도시 스탬프 투어 선정",일간경북신문 - 김학전 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=306977
상주,"상주 보건소·SK머티리얼즈, 통합건강증진 협력",일간경북신문 - 김학전 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=306974
상주,상주 모서면 농촌지도자연합회 ‘모내기’,일간경북신문 - 김학전 기자,2023/05/23,"한국농촌지도자 상주시연합회 모서면회는 회원들이 상부상조의 마음으로 어려운 이웃을 돕기 위해 22일에 ‘우리쌀 사랑나눔’ 모내기를 했다.
또, ‘우리쌀 사랑나눔’ 모내기는 농촌지도자 모서면회에서 지역내 사랑나눔의 확산을 위하여 회원들이 직접 모서면 일원 8,600㎡논에 모내기를 하게 되었다
농촌지도자상주시연합회는 회원들을 농업경쟁력 향상의 핵심주체이며 또한 상주 지역사회 발전 및 봉사에 노력하는 농업인 학습조직체로 매년 회원들이 수확한 쌀과 농촌 환경정화 활동 등을 통해 얻은 수익금을 지역에 기탁하고 있다.
민경태회장은 “향후 지역 회원들과 힘을 합쳐 사랑나눔을 지속적으로 확산하고자 한다”고 하였다.
더불어 농촌지도자상주시연합회 박원규 회장은 “앞으로도 우리 이웃이 상부상조의 농경사회의 미풍양속을 전승하여 함께 웃고 함께 하는 동반자가 되겠다.”고 밝혔다.
조인호 소장은 “농촌지도자회가 과학영농기술의 선도적 실천과 농업경쟁력 향상의 핵심주체로서의 역할 뿐만 아니라 주변의 어려운 이웃과 지역사회 발전을 위해 함께하는 농촌지도자회에 항상 감사한다” 고 말했다.김학전기자",http://www.newgbnews.com/news/view.php?idx=306812
상주,"상주, 근로자 사기진작·노사화합의 장",일간경북신문 - 김학전 기자,2023/05/23,"제20회 상주시 근로자의 날 기념행사 및 화합 체육대회가 지난 20일 오전 9시부터 상주실내체육관 신관에서 개최했다. 근로자의 사기진작과 노사 화합을 위한 이번 행사에는 관내 기업체 근로자 등 300여명이 참가한 가운데 족구 및 힘 고누기 등 친선경기와 축하공연 그리고 근로자들의 노래 및 장기자랑 대회가 열려 참가한 노사 모두가 함께 어울리는 소통과 화합의 자리가 되었다. 이날 행사는 오전에 족구경기 예선을 시작으로 모범근로자 표창 및 감사패 수여 등 기념행사가 있었고 오후에는 장기자랑 및 경품추첨 등으로 화합의 한마당을 연출하였다.
권택형 상공회의소 회장은 “근로자들을 위한 뜻깊은 행사인 만큼 동료들과 즐거움을 함께하는 화합의 시간이 되었으면 한다”고 말했으며,
강영석 시장은 “지역경제의 일선에서 산업활동을 위해 애쓰는 기업인과 근로자들이 화합을 통한 안정적인 생산기반을 조성하고 기업하기 좋은 상주시가 될 수 있도록 행정적 지원을 아끼지 않겠다”고 밝혔다. 김학전기자",http://www.newgbnews.com/news/view.php?idx=306809
