지역명,기사제목,기자이름,날짜,내용,링크
성주,"성주 파크골프장, 건전한 체육활동 홍보",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307637
성주,"성주군수, 부처님 오신날 ‘군민 안녕 기원’",일간경북신문 - 윤기영 기자,2023/05/30,"감응사 등 사찰 5곳 방문
이병환 성주군수는 지난 27일 불기 2567년 부처님 오신날을 맞아 관내 주요 사찰 5개소를 돌아보며 일정을 보냈다. 월항면 감응사를 시작으로 초전면 수국사, 성주읍 임정사, 관운사, 원불교 등 사찰을 방문해 군민의 안녕을 기원하고 봉축법요식 준비로 고생하신 스님과 신도들을 격려하며 축하의 뜻을 전달했다.
성주군수는 “부처님 오신 날을 맞아, 군민들의 화합과 번영 그리고 성주의 발전을 위해 진리와 지혜가 온누리에 펼쳐져 모든 가정이 건강하고 행복이 가득하길 바란다”고 했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=307416
성주,"성주, 전국소년체전 태권도 ‘빛나는 성과’",일간경북신문 - 윤기영 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307320
성주,"성주군의회, 행정사무감사 의정 교육",일간경북신문 - 윤기영 기자,2023/05/29,"성주군의회는 지난 25일 성산동 고분군 다목적 강당에서 의원 역량 강화 및 실무능력 향상을 위한 의정 실무 교육을 실시했다.
이번 교육은 오는 6월 7일부터 23일까지 17일간 진행되는 제1차 정례회 행정사무감사를 대비한 의정 실무 교육과 법정 의무 교육인 부패방지 및 청렴교육 그리고 SNS 활용법에 관한 주제로 진행됐다.
이날 강사는 각 분야의 전문가들로 구성됐으며, 의원들은 평소 궁금해하던 질문들을 쏟아 내며 적극적인 자세로 교육에 임했다.윤기영기자",http://www.newgbnews.com/news/view.php?idx=307278
성주,성주 ‘행정효율화와 챗GPT’ 초청 강연,일간경북신문 - 윤기영 기자,2023/05/25,"성주군은 25일 성주군청 대강당에서 직원 250여 명을 대상으로 ‘챗GPT전문가 초청 강연’을 실시했다. 이번 교육은 디지털 전환 시대를 맞아 직원들의 역량 강화를 위해 마련됐으며, 한국에너지기술연구원의 이승희 선임연구원이 강연자로 나와 ‘행정효율화와 챗GPT’라는 주제로 진행됐다.
이번 교육에서는 최근 주목받고 있는 인공지능 기술인 ‘챗GPT’에 대한 이해를 돕고, 생성형 인공지능 기술 동향과 활용 사례 등을 소개해 변화에 선제적으로 대응할 수 있도록 하는 데 중점을 뒀다.
이날 교육에 참석한 한 직원은 “챗GPT가 질문에 신속하게 답변하는 것이 놀라웠으며, 실제 업무에도 유용하게 활용할 수 있을 것 같다”는 소감을 밝혔다.
성주군은 이번 교육에 이어 관심 직원들을 대상으로 챗GPT 학습동아리 운영 및 역량 강화 워크숍도 진행할 예정이다. 이병환 성주군수는 “이번 교육을 통해 챗GPT 등 생성형 인공지능 기술의 중요성과 활용 가능성을 확인하는 기회가 됐다”며 “앞으로도 기술변화가 가져올 미래에 더 많은 관심을 가지고 업무에 적극 활용해 행정 업무의 효율성을 높이기 위해 최선을 다하겠다”고 말했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=307119
성주,성주 청우커머스 대표 ‘고향사랑 5백만’,일간경북신문 - 윤기영 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307117
성주,성주가야산 메뚜기축제 영농체험장 조성,일간경북신문 - 윤기영 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=306969
성주,"성주 “낙동강변 규제지역, 관문의 초석 놓다”",일간경북신문 - 윤기영 기자,2023/05/24,"성주군은 23일 각종 규제로 발목이 묶인 선남, 용암지역 개발의 물꼬를 트기 위해 ‘낙동강변 규제지역 활용사업 구상 및 발굴 용역’ 최종보고회를 가졌다. 농지법, 산지법 뿐만 아니라 낙동강 취수원 상류에 위치해 수도법 규제까지 받고 있어 저이용되고 있는 선남, 용암지역 내 사업을 발굴하여 중앙과 경북도 공모사업에 대처하고, 지방소멸에 선제적으로 대응해 지역 활력과 경제 회복을 꾀한다.
관내 제조업체 54%가 위치한 선남면은 난개발 문제로 군에서 두 번째로 인구가 많음에도 불구하고 지역 성장의 이점을 살리지 못하고 있으며, 용암면은 농업진흥구역과 보전산지, 수도법에 따른 규제지역을 합하면 낙동강에서 남성주IC까지 가용지가 거의 없고 대구 인접이 오히려 인구 유출을 부추기고 있다.
이에 국도 30호선 6차선 확장구간 중심으로 위, 아래로 뻗어가는 지방도 신설·확장을 추진하며 유동량 증가 요인을 관광지, 산업단지, 물류단지, 주택단지 등으로 곳곳에 배치해 도로 등 기반시설을 확충할 계기를 제시했다.
주요 사업으로는 지난 3월말 선정된 ‘경상북도 천년건축 시범마을 조성사업’과 낙동강 국가정원 조성사업, 채석장 관광자원화 사업, 대명단·풍천재 사적공원 조성사업, 남성주 물류단지 등과 이를 연결할 도로·자전거길 신설 등으로 22개 사업을 목록화했다. 이번 보고회는 해당 지역구 군의원이 전원 참석하는 열의를 보이며 지역민의 의견을 반영할 수 있도록 목소리를 냈다.
김종식 의원은 ‘농업진흥구역은 그 지역에 맞는 아이디어로 계획적 접근이 필요하다’는 의견을, 장익봉 의원은 ‘주택단지보다 분양이 쉬운 산단과 관광지 중심으로 보전산지 해제까지 추진해야 함’을 주문했으며, 김경호 의원은 ‘통합하천 공모의 경우 하류만이 아닌 상류 유입부터 오염원을 관리해야 한다’며 환경에 힘을 실었다.
도희재 부의장은 ‘대명단·풍천재 사적공원은 중화권 관광객 명소가 될 것이며 황금빛 참외의 매력으로 새로운 지역에 활력을 불어넣을 것’이라며 집행부를 독려했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306966
성주,"성주, 민원담당업무자 ‘감성치유 힐링’",일간경북신문 - 윤기영 기자,2023/05/23,"성주군은 23일 민원업무 담당직원을 대상으로 감성치유 힐링워크샵을 실시했다.
폭언,폭행 등 특이민원과 격무에 시달리는 민원담당 공무원들에게 직무스트레스를 해소하는 재충전의 시간을 마련한 이번 워크샵은 도시탐방을 주제로 부산을 찾아 자연과 함께하는 동백섬투어, 피카소 등 세기의 명작을 만나는 갤러리 방문, 해운대 블루라인 파크 체험 등 실내에서 이루어지는 강의식 교육이 아닌 온전한 쉼과 여유, 치유에 중점을 뒀다.
이날 워크샵에 참가한 공무원 이oo씨는 “업무의 고충을 이해할 수 있는 동료 직원들과 함께하는 시간을 통해 큰 위로와 공감을 얻는 좋은 시간이 됐다”고 소감을 전했다.
이병환 성주군수는 “대민업무에 헌신을 다하는 직원들이 이번 기회를 통해 직무스트레스를 해소하고 근무역량을 강화하는 시간이 되기를 바라며, 앞으로도 민원행정서비스 향상에 최선을 다해줄 것”을 당부했다. 윤기영기자",http://www.newgbnews.com/news/view.php?idx=306803
성주,가야산 반달가슴곰·탄소중립 캠페인,일간경북신문 - 윤기영 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306711
