지역명,기사제목,기자이름,날짜,내용,링크
안동,"안동, 전국 최초 적극 행정 ‘우수사례’",일간경북신문 - 이기화 기자,2023/05/31,"안동시가 시행한 ‘경로당 맞춤형 간편회계 서식 보급’이 행정안전부에서 주관한 그림자·행태규제 개선 1/4분기 우수사례로 선정됐다.
행안부는 각종 불합리한 규제를 개선해 주민행정 만족도를 높이고자 분기마다 추진과정 노력도와 개선 효과, 타 지자체 확산 가능성 등을 기준으로 적극행정 사례를 선정하고 있다.
올 1분기에는 전국에서 제출된 391건의 사례를 검토해 다른 지자체로 공유·확산할 필요성이 높다고 인정되는 8건을 우수사례로 선정했다. 안동시는 주민편의 증진분야 우수사례에 포함됐다.
‘경로당 맞춤형 간편 회계 서식 보급’은 복잡한 회계처리 절차와 기준 으로 어려움을 겪는 노령층을 배려하고자 하는 담당 공무원의 고민에서 출발했다.
대다수 경로당 회원들이 고령으로 보조금 집행에 어려움을 겪었고, 집행 규정에 맞지 않게 사용해 반납 또는 환수되는 사례도 빈번하게 발생했다.
이에 어르신들이 간편하고 쉽게 사용할 수 있는 회계 서식을 전국에서 최초로 제작·보급했다.
또한, 경로당에서 회계를 맡는 경로당 임원 어르신들을 대상으로 서식 활용 방법 등에 대한 특별 교육도 진행했다.
시는 경로당 맞춤형 간편회계 서식 보급을 비롯해 시민들의 고충·불편을 해결하는 실질적인 시민 중심의 행정 서비스를 더욱 발굴·보급할 수 있도록 박차를 가해나갈 계획이다.이기화기자",http://www.newgbnews.com/news/view.php?idx=307602
안동,동남아 한류 열풍 타이베이서 안동 관광 홍보,일간경북신문 - 이기화 기자,2023/05/31,"국제관광박람회 참가 ‘호응’
안동시가 동남아 한류 열풍의 중심지인 타이베이에서 안동 관광의 맛과 멋을 선보였다.
시는 지난달 26일부터 29일까지 나흘간 대만 타이베이 세계무역센터에서 열린‘2023 타이베이 국제관광박람회’에서 현지 관광객 유치를 위한 다양한 홍보 활동을 펼쳤다.
‘2023 타이베이 국제관광박람회’는 대만 교통부 관광국과 타이베이시 정부가 주최하고 타이베이시여행협회가 주관하는 관광박람회로 13개국 250개 관광 관련 업체·기관이 참가하고 30만 6천여 명의 관람객이 방문했다.
이번 박람회에서 안동시는 단독으로 안동시 홍보부스을 운영해 일반 관람객과 현지 아웃바운드 여행사를 대상으로 하회마을, 병산서원, 도산서원, 봉정사, 하회별신굿탈놀이 등 유네스코 유산과 안동국제탈춤페스티벌을 적극 홍보했다.
특히, 유네스코 세계유산과 함께하는 안동의 4계절 포토존과 나만의 하회탈 만들기 체험은 안동에 대한 관심을 이끌며 관람객으로부터 폭발적인 인기를 얻었다.
또한, 안동 알리기 퀴즈 이벤트, 여행사 바이어 상담회, 현지 언론(ERA TV, NEXT TV)과의 인터뷰로 안동 관광 명소와 다채로운 매력을 알렸다.
안동시 관계자는 ""대만 현지인과 관광업계를 대상으로 안동의 다양한 관광자원을 소개하였으며, 이번 박람회를 계기로 지속적인 마케팅 활동을 펼쳐 보다 많은 대만 관광객 유치에 힘쓰겠다""라고 밝혔다.이기화기자",http://www.newgbnews.com/news/view.php?idx=307601
안동,안동 이런 곳이 있어? 농촌체험 어때요?,일간경북신문 - 이기화 기자,2023/05/31,"안동시농업기술센터가 지난달 30일 지역 내 국·공립 유치원 관계자 15명을 초청해 농촌체험농장 팸투어를 실시했다.
‘팸투어’란 지방 자치 단체가 관광지나 여행상품을 홍보하기 위하여 협력업체 등을 초청하여 관광을 제공하는 것이다.
이번 팸투어는 교육기관의 농업·농촌에 대한 이해도를 높이고 농장 인지도 제고를 통해 농장 재방문 유도 및 농촌지역 경제 활성화를 도모하고자 추진했다.
이번 팸투어는 남선면에 위치한 「안동흙돼지체험농장」에서 떡갈비만들기 체험을 시작으로, 농가맛집 「안동화련」에서 채련정식을 식사 후, 남후면에 위치한 「쪽빛아침」에서 인견이불 염색체험과 「토락토닥」에서 도자기체험을 통해 안동이 가진 우수한 농업·농촌 관광자원을 둘러보며 다양한 체험프로그램을 경험하고 홍보하는 시간을 가졌다.
안동시농업기술센터 관계자는 “이번 팸투어는 농촌 체험·교육·치유농장과 교육기관 간 접목으로 농촌의 교육적 가치와 현장 체험활동 중요성을 느낄 수 있는 유익한 시간이 되었다”라며 “농촌체험농장 육성과 활성화에 지속적으로 관심을 쏟을 것이다”라고 말했다.이기화기자",http://www.newgbnews.com/news/view.php?idx=307600
안동,"안동시장, 안동~의성 구간 복선전철 현장 사무실 방문",일간경북신문 - 이기화 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307598
안동,"안동·예천, 도청 신도시 주민불편 신속 해결",일간경북신문 - 이기화 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307483
안동,日서 안동소주 세일즈맨으로 나선 부시장,일간경북신문 - 이기화 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307304
안동,“안동 관광 홍보할 젊은 감각 모십니다”,일간경북신문 - 이기화 기자,2023/05/25,"안동시와 주식회사 이공이공은 지난 22일부터 6월 2일까지 만 19세부터 34세까지 대학생과 일반인을 대상으로 「안동관광 영크리에이터 육성사업」에 참가할 크리에이터를 모집한다.
「안동관광 영크리에이터 육성사업」은 SNS와 친숙하고 동시에 젊은 세대의 감성 코드와 부합하는 관광 홍보 콘텐츠를 생산하는 크리에이터를 육성·지원해 젊은 층에 특화된 관광 홍보 콘텐츠 생산을 도모하고 지역의 청년들에게 더 많은 대외 활동 기회를 지원하고자 마련됐다. 이번 모집을 통해 1~4인으로 구성된 10개 팀을 모집하며, 대학생과 20대 일반인을 우선하여 선발한다.
이 사업에 참여하는 크리에이터는 6월부터 11월까지 대표적인 SNS인 인스타그램과 네이버 블로그에 게시할 안동시의 사계절 축제와 로컬 관광명소 홍보 콘텐츠를 제작하게 된다. 특전으로 안동시장 명의의 임명장이 수여되고 활동비와 지원 물품 지급, 촬영 장비의 무상 대여 및 활동 종료 후 수료증 지급 등 다양한 활동 혜택이 주어진다. 참가자들은 여가 생활을 즐기면서 안동 관광을 홍보하고, 대외 활동 경력까지 챙기는 ‘세 마리 토끼’를 동시에 잡는 즐거움을 누릴 수 있다.
크리에이터로 합류하고 싶은 지원자(팀)는 이메일, 구글폼, 팩스 중 한 곳에 자기소개서와 참가 신청서를 제출하면 된다. 6월 5일 이후 합격자에게 개별 통보하게 되며, 합격자는 두 차례의 교육을 이수한 후 ‘안동 관광 영크리에이터’로 활동하게 된다. 자세한 내용은 주식회사 이공이공 홈페이지를 통해 확인할 수 있다.이기화기자",http://www.newgbnews.com/news/view.php?idx=307140
안동,"안동, 문화가치·주민 향유 확대 방향 논의",일간경북신문 - 이기화 기자,2023/05/25,"안동시 문화도시추진위원회는 지난 23일 제5차 문화도시 지정평가 가이드라인에 따라「안동 문화도시 조성계획서」 중요 변경사항 심의․의결을 위해 『제1차 안동 문화도시추진위원회』를 안동시청 청백실에서 개최했다.
안동 문화도시 추진주체들은 지난해 예비사업과 제4차 문화도시 지정 평가 절차를 거치며 추진목표, 전략, 방향 등을 시민들이 쉽게 이해할 수 있도록 단순화하고 특성화 사업을 통해 안동의 고유성을 분명하게 드러낼 수 있도록 하는 방안에 대해 꾸준히 제안하고 구체화하는 과정을 거쳐 왔다.
이번 회의는 지난 1월부터 이어져 온 시민공회 운영위원회, 전문가 자문회의, 실무자 간담회 등 문화도시 추진주체들 간 지속적인 토론 과정에서 정리된 수정사항을 추진위원회에서 심의․의결하고자 마련됐다. 회의에는 시민주체, 행정, 도시재생, 지역학, 관광, 문화예술 등 다양한 분야의 문화도시 추진위원 13명이 참여하여 안건과 안동 문화도시 조성계획의 추진방향에 대해 심도 있는 토론의 시간을 가졌다.
특히 안건인 추진목표, 전략, 방향에 대한 변경 및 특성화 사업에 대한 심의 의결이 원안 가결된 후에도 안동 문화도시가 담아야 할 다양한 사업의 방향성을 제시하고 시민 문화향유 확대와 사업간 연계, 광역 네트워크 구축을 위한 실질적인 방안을 제안하는 시간이 됐다.이기화기자",http://www.newgbnews.com/news/view.php?idx=307139
안동,"안동, 日가고시마현서 양조 기술· 브랜딩 밀착 벤치마킹",일간경북신문 - 이기화 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307111
안동,안동·안동대·시의회 ‘천원의 아침’ MOU,일간경북신문 - 이기화 기자,2023/05/23,,http://www.newgbnews.com/news/view.php?idx=306842
