지역명,기사제목,기자이름,날짜,내용,링크
영덕,"영덕, 어민 소득↑… 어린 전복·해삼 방류",일간경북신문 - 박두원 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307644
영덕,해양수산엑스포서 영덕 수산물 알리기,일간경북신문 - 박두원 기자,2023/05/30,"6월 2일까지 홍보관 운영
영덕군은 이달 31일부터 내달 2일까지 3일간 경주화백컨벤션센터(HICO)에서 열리는 ‘2023 대한민국 해양수산엑스포’에 참여해 지역 수산물과 수산식품을 알리는 홍보관을 운영한다.
경북도와 경주시가 주최하고 (재)환동해산업연구원과 EXCO가 주관하는 이번 행사는 5월 31일 ‘제28회 바다의 날’과 연계해 해양 신산업 발굴과 우수기업 육성을 위해 마련되며, 전시회는 물론 유명 유투버 먹방과 붉은대게 나눔이벤트 등 각종 행사가 준비돼 있다.
이 자리에 영덕군은 세웅수산, 영덕농수산영어조합법인, 오바다푸드, 더동쪽바다가는길 등 지역의 우수기업 11개 업체와 함께 참여해 홍보관을 운영하고 영덕대게, 청어, 미역, 오징어 등 지역 수산물을 활용한 각종 상품을 홍보해 전국의 소비자와 국내·외 바이어들의 눈길을 사로잡을 계획이다.
특히 미역의 주요 성분들을 추출해 개발한 ‘해녀미역맥주’와 주식회사 해담의 청어를 이용한 강정 ‘헤링칩’을 소개하는 시음·시식회를 진행해 국내외 소비자들에게 지역 수산물의 우수성과 상품성을 선보이게 된다.
해양수산과장은 “기업들의 네트워크 기회 마련으로 영덕의 우수한 수산물이 소비자들에게 더 사랑받을 수 있도록 해양수산산업을 활성화하는 데 적극 나서겠다”며, “영덕군이 수산물을 대표하는 지역으로 자리매김할 수 있도록 최선을 다하겠다”고 전했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=307451
영덕,"영덕가족센터, ITQ 자격증 야간반 개강",일간경북신문 - 박두원 기자,2023/05/29,"영덕군가족센터는 양질의 일자리에 취업을 희망하는 관내 거주 결혼이주여성을 대상으로 지난 23일 ‘ITQ 한글, 엑셀 자격증 취득’ 야간반을 개강했다고 밝혔다.
포스코1% 나눔재단 후원 사업으로 포스코 및 그룹사 사업장 지역 내 다문화가정 구성원이 한국사회에 안정적으로 정착하는데 필요한 역량 향상을 위해 결혼이주여성에게 직접 지원하여 다문화가족의 안정적인 삶의 실현에 목적을 두고 있다.
포스코 기부금으로 운영되는 사업에 영덕군가족센터가 신청한 결과 3차년 결혼이주여성 자립역량 강화 공모사업에 선정되어 결혼이주여성의 정보기술 역량을 향상시켜 사회적 진출을 지원하여 포용적 사회문화 실현에 기여하기 위해 무료로 실시하게 되었다.
이번 교육은 지난 23일 첫 수업으로 총 8주 동안 영덕생활문화센터에서 매주 화요일 오후 7시부터 2시간씩 한국생활적응에 필요한 인터넷 기초, 문서작성, 스프레드시트 기초와 활용 외에 실기 자격증 취득을 위한 컴퓨터 교육을 통하여 매월 한국생산성본부에서 시행하는 국가공인 정보기술자격(ITQ) 정기시험에 응시할 예정이다.
교육을 원하는 결혼이주여성은 영덕군가족센터 (730-7388)로 문의 및 신청하면 된다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=307319
영덕,"영덕군수, 마약범죄 예방 챌린지 동참",일간경북신문 - 박두원 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307168
영덕,"영덕군수, 마약범죄 예방 챌린지 동참",일간경북신문 - 박두원 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307167
영덕,"전남 장흥, 영덕 인구감소 대응 ‘벤치마킹’",일간경북신문 - 박두원 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=307014
영덕,"영덕 드림스타트, 위기 대처 능력 UP",일간경북신문 - 박두원 기자,2023/05/23,"영덕군 드림스타트(아동청소년팀)는 지난 19일 드림스타트 초등학생 18명과 함께 제천산악체험장에서 클라이밍, 짚라인, 방 탈출, 유격 훈련 등 SOS안전체험 프로그램을 운영했다.
이번에 실시된 프로그램은 재난·재해 예방 및 관련된 체험과 교육을 통해 안전에 대한 올바른 지식을 습득하고 위기 상황 시 대처 능력을 함양하기 위해 실시됐다.
또한 지난 4월 15일에는 양육자와 아동 간의 협동을 유도하고 긍정적인 가족관계 형성으로 화합을 도모하고자 청도군 운문산 생태경관 보전지역탐방안내센터와 연계해 드림스타트 10가구를 대상으로 전시실 관람, 딸기 따기, 나만의 버섯 마을 만들기, 루지 체험 등의 가족 나들이 프로그램을 진행했다.
엄재희 가족지원과장은 “아동들이 이번 안전교육을 통해 안전사고 예방의식이 더욱 강화되고 습득된 대처 능력을 바탕으로 일상생활 속에서도 활용할 수 있기를 기대한다”고 말했으며, “앞으로도 드림스타트 대상 아동을 위한 프로그램을 개발하기 위해 더욱 노력할 계획이다”고 덧붙혔다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=306845
영덕,"울진 여성단체협, 사랑의 생신꾸러미",일간경북신문 - 박두원 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306720
영덕,영덕군정 비전·정책실현 전략 방향 제시,일간경북신문 - 박두원 기자,2023/05/21,"영덕군은 지난 19일 영덕군청 대회의실에서 김광열 영덕군수를 비롯한 군 관계자 30여명이 참석한 가운데 민선 8기 영덕군 정책자문위원회 위촉식을 개최했다.
정책자문위원회는 문화관광, 농림수산, 지역경제, 복지행정 4개분과 각계각층의 전문가 19명의 위원으로 구성돼, 2년간 영덕군의 주요정책과 현안에 대한 자문역할을 수행하게 된다.
영덕군은 민선 8기를 맞이해 처음 발족하는 정책자문위원회인 만큼 운영의 내실화를 기하기 위해 각 분과위원회의 운영을 활성화함으로써 정책 제안뿐만 아니라 지역의 신성장 동력확보라는 미래지향적이고 경쟁력 있는 군정을 실현하기 위해 각종 현안 사업에 대한 자문역할 또한 강화할 방침이다.
영덕군수는 “각자의 자리에서 명망이 높은 위원들께서 우리 군의 요청에 응해주셔서 감사하고 영광스럽게 여긴다”며, “앞으로 우리 군의 미래가치를 높이고 군민의 삶의 질 향상에 앞장서 주시길 기대한다”고 밝혔다.박두원기자",http://www.newgbnews.com/news/view.php?idx=306526
영덕,"영덕문화재단, 6월 5일까지 대금 교육",일간경북신문 - 박두원 기자,2023/05/18,"영덕문화관광재단은 오는 6월 5일부터 2023 문예회관 문화예술교육프로그램 지원사업(체험형) <만파식적 소리에 내 마음을 띄워> 대금 교육프로그램을 운영한다고 밝혔다.
2023 문예회관 문화예술교육프로그램 지원사업은 한국문화예술회관연합회가 주관, 문예회관에 특화된 문화예술교육 프로그램을 발굴하고 지원하는 사업이다. 특히 문화 취약지역 지역민들에게 문화예술 향유 기회를 늘이고 문화예술 향유 능력을 높일 수 있는 교육프로그램을 진행하여 문화소외지역에 문화예술이라는 꽃을 피우는 교육 사업이다.
<만파식적 소리에 내 마음을 띄워> 프로그램은 대금이라는 악기를 활용하여 한국 전통 악보인 정간보 읽는 법, 대금 운지법, 연주법 등 기초 이론과 실습은 물론 실생활에서활용할 수 있는 전통 민요와 산조, 가요 연주법 등 참여자들의 관심이 집중되는 교육 과정으로 진행될 예정이다. 이 프로그램은 대금 교육을 통해 지역민들이 우리 전통 음악에 애정을 갖고 각자 문화예술 역량을 강화하기 위해 기획되었다. 특히 대금 프로그램은 영덕지역에 전승되고 있는 궁중무용‘무고(舞鼓)’의 전통 음악을 지역민이 실제로 연주할 수 있는 자리를 마련했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=306411
