지역명,기사제목,기자이름,날짜,내용,링크
영양,노인회장기 게이트볼·한궁대회 마무리,일간경북신문 - 김연태 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307466
영양,"영양, 단계별 치매환자 돌봄 가족프로그램",일간경북신문 - 김연태 기자,2023/05/29,"안전·행동심리증상관리 구성
영양군치매안심센터는 치매환자 가족을 대상으로 오는 6월 29일까지 8회기의 과정으로「단계별 치매환자 돌봄을 위한 가족프로그램」을 시범운영한다.
‘단계별 치매환자 돌봄을 위한 가족프로그램’시범운영은 프로그램의 효과성을 검증하고 수정․보완하여 치매안심센터 치매환자 가족을 대상으로 운영할 수 있는 표준화된 프로그램을 확산 및 보급하기 위한 프로그램이다.
또한 회기별로 증상관리, 일상생활관리, 행동심리증상관리, 안전관리, 의사소통관리 등 치매단계별 다양한 돌봄역량을 강화할 수 있는 프로그램으로 구성되어 있다.
프로그램 참여 대상자는‘단계별 치매환자 돌봄 가족프로그램’에 참여한 치매환자 가족 4명(실험군), 참여하지 않은 치매환자 가족 4명(대조군)으로 구성되어 있다.
7월부터는 치매가족을 위한 힐링 프로그램, 산림 및 농업 치유프로그램 등이 운영될 예정이다.
자세한 사항은 영양군 치매안심센터 치매 가족지원팀(680-5891,5871)으로 문의하면 된다.김연태기자",http://www.newgbnews.com/news/view.php?idx=307296
영양,"영양 새마을회, 양수발전소 유치 캠페인",일간경북신문 - 김연태 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307147
영양,"영양, 우리쌀로 만드는 ‘쌀빵·디저트’",일간경북신문 - 김연태 기자,2023/05/25,"영양군은 24일부터 6월 28일까지 6회에 걸쳐 농촌 여성들을 대상으로 하는“우리 쌀로 만드는 쌀빵, 쌀디저트”교육을 진행한다.
이번 교육은 쌀을 다양한 방법으로 실습해 봄으로써 쌀에 대한 올바른 인식과 관심으로 지속적인 쌀 소비 기반을 조성하고자 멥쌀로는 스콘, 콘브레드, 코코넛 쿠키, 마들렌을 만들고, 찹쌀을 이용해서는 브라우니(베이킹 팬에 굽는 납작한 초콜릿 케이크)와 앙금빵을 만들 계획이다.
김○○은“빵을 참 좋아하는데 빵을 먹으면 속이 불편하고 소화도 잘 안돼서 늘 불편했는데 쌀로 만드는 빵은 늘 먹는 밥과 같으니까 소화 안 될 걱정 없이 마음껏 먹을 수 있어 너무 좋다. 내가 좋아하는 빵도 마음껏 먹고 우리 쌀도 소비하고 얼마나 좋은지 모른다”라며 소감을 말했다.김연태기자",http://www.newgbnews.com/news/view.php?idx=307146
영양,"영양, 유관기관 합동 재난대비 상시훈련",일간경북신문 - 금인욱 기자,2023/05/24,"영양군은 24일 오후2시, 2023년 재난대비 상시훈련을 영양군립요양원에서 실시하였다. 재난대비 상시훈련은 재난 및 안전관리기본법에 의거 유관기관과 합동으로 매년 실시하는 것으로 이 날 훈련에는 영양군청, 영양군립요양원, 영양119안전센터 등 약 50여명이 참여하여 요양원 화재 발생에 대한 경보발령 및 진화작업, 대피법 등을 연습하는 시간을 가졌다.
아울러 5월 안전점검의 날 캠페인과 연계하여 심정지 예방 홍보를 위해 소화기 및 자동심장충격기 사용법 등 소소심교육 시간도 가져 참석자의 호응을 이끌어내기도 하였다.
군은 이번 재난대비 상시훈련을 통해 유관기관간 신속한 협업대응능력을 강화하고, 향후 있을 2023년 재난대응 안전한국훈련의 성공적 추진을 위해 사전준비에 총력을 기울일 예정이다.
영양군수는“금일 훈련에 적극적으로 참여해주신 관계기관분들께 감사드린다.”며, “화재는 불시에 발생하기도 하나 사전예방 및 신속한 대응으로 피해를 최소화할 수 있는 재난이므로 군민 모두가 경각심을 가지고 화재 없는 영양군을 만드는데 일조해달라.”고 당부했다.김연태기자",http://www.newgbnews.com/news/view.php?idx=306982
영양,결혼이민 가족 계절근로자 48명 입국,일간경북신문 - 김연태 기자,2023/05/23,"영양군은 지난달 6일 MOU 1차로 90명 입국한 것에 이어 결혼이민자 가족 초청방식의 외국인 계절근로자가 5월 23일 현재 11농가 48명이 입국했으며, 6월 초까지 20농가 69명이 추가로 입국할 예정이라고 밝혔다.
농번기 일손부족 문제 해소와 영양군에 거주하고 있는 다문화가족의 안정적인 정착을 위하여 결혼이민자의 4촌 이내 가족 및 친척으로 구성된 외국인 계절근로자들이 입국하고 있다.
입국 후 법무부 지정 의료기관에서 마약검사를 실시하고 군청으로 방문하여 기본적인 안내사항 및 안전교육 등의 교육을 받은 후 농가로 배치되며 추후 외국인등록을 실시할 예정이다.
이들은 앞으로 최대 5개월 동안 농가에 배치되어 영양군의 우수한 농․작업을 배우고 다문화가족의 안정적인 정착 및 농번기 일손부족에 큰 힘이 될 것으로 기대된다.
또한 영양군은 계절근로자를 고용하는 농가들에게 부담을 줄여주기 위해 마약검사비, 산재보험료, 외국인등록비와 외국인 근로자들을 위한 식자재를 지원해 주고 있으며, 외국인 계절근로자의 조기 적응을 위한 교육을 강화하고 근로자들과 농가들의 애로사항을 개선하기 위해 노력하고 있다.
영양군수는“결혼이민자의 가족 초청 외국인 계절근로자의 경우 농번기 일손부족 문제 해소에 큰 역할을 하고 있으며 결혼이민자들의 안정적인 국내 정착에도 기여하고 있다”고 말했다.김연태기자",http://www.newgbnews.com/news/view.php?idx=306858
영양,장계향탄신 425주년 ‘봄 헌다례’,일간경북신문 - 김연태 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306664
영양,"영양, 최초로 재난관리 ‘우수기관’",일간경북신문 - 김연태 기자,2023/05/21,"영양군은 행정안전부 주관으로 실시된 2023년 재난관리평가에서 평가 실시 이래 최초로 우수기관으로 선정됐다.
재난관리평가는「재난 및 안전관리 기본법」에 의거 기관별 전년도 재난안전실적을 종합적으로 평가하는 것으로 영양군은 2005년 실시 이래 최초로 우수기관으로 선정되는 쾌거를 이뤘고, 특교세 8천만원, 포상금 4백만원, 장관표창 등의 인센티브도 지급받을 예정이다.
군은 평가항목 중 재난관리기금 관리실적, 재난안전교육, 여름철 자연재난대비 실태점검, 재난 상황관리를 위한 대응체계 유지, 재해구호 인프라 확보 및 훈련실적, 복구사업 관리 역량 등에서 높은 점수를 받았으며, 특히 2022년 재난대응 안전한국훈련 우수기관으로 선정된 실적도 높은 비중으로 인정받았다.
영양군은 지난 한해 대형재난 예방을 위하여 하천샛강살리기사업, 위험도로정비사업 등을 추진하고 군민안전보험을 연차별로 확대, 조기경보시스템을 위시한 4차 산업의 기술을 활용한 시스템을 구축하는 등 군민안전을 위한 선제적인 대응체계를 구축했고 이 모든 노력이 이번 성과로 나타난 것 같다고 군관계자는 밝혔다.김연태기자",http://www.newgbnews.com/news/view.php?idx=306545
영양,"영양사랑카드, 1인당 보유한도 150만원",일간경북신문 - 김연태 기자,2023/05/18,,http://www.newgbnews.com/news/view.php?idx=306347
영양,"영양, 집중안전점검 현장 방문",일간경북신문 - 김연태 기자,2023/05/17,"영양군은 지난달 17일부터 6월 16일까지 61일간 진행 중인 대한민국 안전대전환 집중안전점검의 실효성을 강화하기 위해 박준로 영양부군수를 비롯한 관계 공무원 및 민간전문가 등이 참여하여 현장 점검을 실시했다.
이번 현장 점검은 취․정수장 및 하수처리장을 방문하여‘주요 구조물의 균열, 하수관로 변형 및 누수 발생 유무, 설비 작동 여부, 구조물 손상 등’을 점검했으며, 특히 취․정수장의 위생관리 상태도 함께 점검하여 누구나 안심하고 사용할 수 있는 물을 제공하는 부분에 집중했다.김연태기자",http://www.newgbnews.com/news/view.php?idx=306211
영양,영양 “농어민수당 지원 추가 신청하세요”,일간경북신문 - 김연태 기자,2023/05/17,"영양군은 오는 25일까지 2023년 상반기 농어민수당 지원사업 추가 신청을 받는다고 밝혔다.
추가신청 대상은 사업요건을 충족하는 고령, 장기 출타 등으로 기존신청하지 못한 농가 경영주이며, 도내에 거주하면서 농업경영체를 등록한 외국인 경영주도 포함된다.
신청방법은 본인 확인 가능한 신분증을 지참한 대상자가 주소지 관할 읍․면사무소에서 신청 접수를 할 수 있으며 접수 후에는 주소와 농업경영체 등 자격요건을 모두 갖춘 자를 지급대상자로 선정하고 선정된 대상자는 6월 5일부터 30일까지 영양사랑상품권으로 지급된다.김연태기자",http://www.newgbnews.com/news/view.php?idx=306205
영양,"영양, 청정 산나물 전국으로 뻗어가다",일간경북신문 - 김연태 기자,2023/05/16,,http://www.newgbnews.com/news/view.php?idx=306016
영양,"내년 봄 다시 만나요, 영양산나물축제 ‘인기’",일간경북신문 - 김연태 기자,2023/05/15,,http://www.newgbnews.com/news/view.php?idx=305880
