지역명,기사제목,기자이름,날짜,내용,링크
영주,‘영주장날 쇼핑몰’ 17주년 기획전,일간경북신문 - 금인욱 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307580
영주,영주 첨단베어링 국가산단 지정·승인 임박,일간경북신문 - 금인욱 기자,2023/05/31,"중앙토지수용위원회 심의 통과
2900억 투입…118만㎡ 조성
영주 첨단베어링 국가산업단지 조성사업의 국토교통부 지정·승인이 눈앞으로 다가왔다.
영주시는 첨단베어링 국가산업단지 조성사업이 지난 25일 개최된 중앙토지수용위원회 공익성 심의에 통과했다고 밝혔다.
중앙토지수용위원회의 공익성 심의는 국가산업단지 조성에 따른 사업의 공공성과 토지수용의 타당성을 검토하는 절차로 국가산업단지 계획 승인의 마지막 관문 중 하나다.
앞서, 시는 지난해 4월 국토교통부에 산업단지계획 승인신청서를 제출한 이후 관련기관(중앙, 道·市, 유관기관) 협의를 잇달아 완료했다. 가장 큰 난관으로 여겨졌던 농림부 농지전용 협의와 환경부 환경영향평가 협의를 지난해 12월과 올해 3월에 각각 끝마쳤다.
이번 공익성 심의까지 통과함으로써 사실상 모든 행정절차를 완료하였으며, 국토부 산업단지계획 심의 하나만을 남겨두고 있는 상태다.
산업단지계획 심의는 30인 이내의 위원들이 도시계획, 교통, 에너지, 경관 등 전 분야에 걸쳐 한꺼번에 심의하는 절차로서 오는 6월 중에 개최될 예정이다.
시는 국가산업단지가 6~7월에 지정 승인되면 올해 하반기부터 보상계획 공고, 토지 및 지장물 조서 작성, 감정평가 등 본격적인 보상을 위한 절차이행에 들어갈 방침이다. 본격적인 조성공사는 2024년 착공, 2027년 준공을 목표로 추진계획이다.
박남서 영주시장은 “지금까지 국가산단을 위해 지역 국회의원을 비롯해 영주시민 모두 하나가 되어 일궈낸 성과로써, 10만 영주시민의 오랜 염원인 국가산업단지 지정·승인이 이제 눈앞으로 다가왔다.”며, “마지막까지도 긴장의 끈을 늦추지 않고 국가산업단지 최종 승인을 위해 모든 행정력을 집중하고, 혼신의 노력을 다하겠다.”고 말했다.
한편, 영주 첨단베어링 국가산업단지는 지난 2018년 영주시가 국가산업단지 후보지로 지정되면서 본격적으로 추진해 온 사업으로 총사업비 2900여억 원을 투입해 영주시 적서동과 문수면 권선리 일대 118만㎡(약 36만평) 규모로 조성하는 사업이다.
국가산업단지가 성공적으로 조성되면 직‧간접고용 4700여 명 등 1만300여 명의 인구증가 효과와 지역 내 연간 760억 원의 경제유발 효과를 일으켜 인구소멸도시 위기 극복과 지역경제 활성화에도 크게 기여할 것으로 기대된다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307576
영주,"영주콩세계과학관, 다양한 체험 프로 ‘호응’",일간경북신문 - 금인욱 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307461
영주,‘영주 죽령장승제’ 이색 볼거리 제공,일간경북신문 - 금인욱 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307295
영주,“2차 공공기관 인구감소지역 우선 배치” 촉구,일간경북신문 - 금인욱 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307149
영주,"영주시청 박순호, 예천실업육상 높이뛰기 1위",일간경북신문 - 금인욱 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307148
영주,영주형 스마트팜 표준모델 개발,일간경북신문 - 금인욱 기자,2023/05/25,"영주시는 24일 농업기술센터 농업체험교육관에서 스마트팜 적용 희망 농업인 30여 명이 참석한 가운데 ‘영주형 스마트팜 표준모델개발 위한 세미나’를 개최했다.
이번 세미나는 현재 시가 진행 중인 ‘영주형 스마트팜 표준모델개발 연구용역’과 연계해 지역 실정에 맞는 표준모델 마련을 위해 추진됐다.
세미나에서는 먼저 △홍연웅 동양대학교 교수의 스마트팜의 국내외현황 △박선진 한국폴리텍대학 학장의 하이브리드 신재생 에너지 △스마트팜 협력업체인 모모스 김준모 대표의 노지스마트팜의 구성 등에 대한 발표가 진행됐다.
이어서 영주형 스마트팜 보급을 위한 스마트팜 현장적용 실용과정 교육생과 농업인의 질의와 관련 전문가들의 응답 및 토론으로 이날 세미나는 종료됐다.
참석자들은 이번 세미나가 스마트팜이 시설원예 및 대형화 농업에 적용된다는 선입견으로 일선 농가에서 거리감을 느껴 스마트팜 보급이 저조한 가운데 지역 실정에 맞는 표준모델을 제시한 현장 중심의 세미나였다고 입을 모았다.
스마트팜 교육생은 “이번 스마트팜 세미나를 통해 현장 적용 가능한 스마트팜에 대해 자세히 알게 됐다. 농가에서 스마트팜 적용이 가능하도록 PCL과 아듀이노교육과정이 개설되고, 신재생에너지와 연계한 스마트팜 개발이 됐으면 한다”고 세미나 참석 소감을 밝혔다.
영주형 스마트팜 표준모델 개발에 관한 자세한 사항은 영주시농업기술센터 기술지원과 기술개발팀(054-639-7386)으로 문의하면 된다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307142
영주,"영주 우수 농특산물, 북미 시장진출 나섰다",일간경북신문 - 금인욱 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=306957
영주,MZ세대 공직자 혁신 주니어보드 정책 기여,일간경북신문 - 금인욱 기자,2023/05/24,"예천군은 23, 24일 20대~30대 MZ세대 공직자들로 구성된 ‘혁신 주니어보드’ 역량강화 워크숍을 진행했다.
젊은 직원들의 참신한 아이디어를 행정에 접목하기 위해 27명 5개팀으로 운영 중인 혁신 주니어보드는 지난 10일 발대식을 가졌다.
△생활편의성 △공간활력/재생 △인구‧저출산 △환경교육 △문화관광 5개 분야에 대한 정책개발 및 현안 문제 해결을 위한 아이디어를 발굴할 계획이다.
이번 워크숍을 통해 중앙부처 예산 및 공모사업 대응 방법, 사업계획서 작성 등 교육을 받았으며 조직문화 개선 특강 등 예천군 행정조직의 혁신을 위한 기량을 다졌다.
또한, 전문 컨설턴트의 교육과 1대1 맞춤형 컨설팅으로 오는 7월까지 각 팀별로 선정한 분야에 대해 정책발굴을 완료하고 향후 군정에 반영할 방침이다.
김학동 군수는 “젊은 공직자들이 바쁜 업무에도 불구하고 적극적으로 군정 발전을 위해 주니어보드에 참여해 주셔서 감사드린다.”며 “톡톡 튀는 아이디어로 예천군 행정 혁신에 앞장서주시길 바란다.”고 말했다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=306955
영주,"영주, 도내 첫 소상공인 ‘복합지원센터’",일간경북신문 - 금인욱 기자,2023/05/24,,http://www.newgbnews.com/news/view.php?idx=306947
