지역명,기사제목,기자이름,날짜,내용,링크
영천,외국인 민원 통역 만족도 UP,일간경북신문 - 일간경북신문 기자,2023/05/31,"영천시는 지난달 30일 의사소통 문제로 어려움을 겪는 외국인 민원인을 위해 영어, 중국어, 일본어, 베트남어, 필리핀어(타갈로그어), 태국어 등 6개 국어 민원 통역서비스를 시행한다. 시는 2019년부터 통역 서비스를 실시하고 있다. 이번에는 내부 직원 중 영어, 일본어, 중국어에 능통한 8명과 영천시 다문화가족지원센터와 협업을 통해 베트남어, 필리핀어(타갈로그어), 태국어에 능통한 통역요원 3명을 명예 민원통역관으로 지정했다.
지정된 민원통역관은 민원서류 작성 및 안내는 물론, 타 부서와의 업무 연결이 필요한 민원을 처리할 때 부서 담당자와 민원인 사이에서 의사소통의 가교 역할을 했다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=307633
영천,"영천, 인구정책 홍보영상 제작",일간경북신문 - 일간경북신문 기자,2023/05/25,"영천시는 인구증가 및 저출생 대응 인식개선을 위한 인구정책 홍보영상을 제작했다. 전입자, 학생, 직업군인, 군무원, 신혼부부 등을 대상으로 시행하고 있는 다양한 시민혜택 정보를 시각적인 이미지로 전달해 보다 쉽게 안내하고 있다.
이번 인구정책 홍보영상은 ‘인구정책 길라잡이’를 주제로 표지판, 이정표 이미지를 추가해 시책을 안내하고 마지막으로 대상들이 화합하고 상생하는 느낌으로 연출했다.
또한 공모전을 통해 선정된 슬로건 ‘아이 품은 행복도시! 미래담은 희망영천!’을 사용해 눈길을 끌었다.
영천시 인구정책 홍보영상은 약 2분 40초 분량이며, 영천시청 홈페이지, 블로그, SNS, 옥외 전광판에서도 확인할 수 있다.
최기문 영천시장은 “인구정책 홍보영상을 통해 영천시민들이 인구정책을 손쉽게 찾아보고 혜택을 누릴 수 있는 기회가 되길 바라며, 앞으로 시민들을 위한 좋은 시책들을 다각적으로 홍보하겠다.”라고 전했다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=307114
영천,"영천, 행안부 혁신평가 ‘우수’",일간경북신문 - 일간경북신문 기자,2023/05/23,"영천시가 지난 2월 행정안전부 ‘2022년 지방자치단체 혁신평가’에서 최고 등급인 ‘우수’ 등급을 받은 데 이어, 이번에는 특별교부세 2700만 원을 받았다. 교부받은 인센티브는 일반 세입재원으로, 지역 내 긴급 현안 사업에 사용할 예정이다.
영천시는 행정안전부 ‘2022년 지방자치단체 혁신평가’에서 경북 도내에서 유일하게 우수 지자체로 선정되었으며, 등급은 2021년 대비, ‘보통’에서 ‘우수’로 상승했고, 순위도 75개 시 가운데 ‘12위’로 지난해 24위에서 12계단이나 상승했다. 행정안전부에서는 영천시가 “대부분의 지표에서 우수한 등급을 획득했다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=306804
영천,"영천한약축제, 6만명 방문객들 ‘북적’",일간경북신문 - 일간경북신문 기자,2023/05/22,"전국 최초 작약주산지 영천시에서 ‘작약빛 가득한 영천! 한약축제에서 피어나다’를 주제로 개최한 영천한약축제가 지난 19일부터 21일까지 3일간 풍성하고 다채로운 행사로 6만 명의 관람객이 다녀가는 등 성황리에 마무리됐다.
지난 12일부터 21일까지 열린 제5회 작약꽃 축제에도 10일간 6만 명의 관람객 방문해 관람객에게 영천 작약의 아름다움을 알리고 작약 주산지로의 입지를 확고히 다졌다.
한편, 이번 한약축제는 작약꽃 축제와 함께 진행되면서 이전 축제보다 다양한 볼거리와 체험거리를 제공해 방문객들에게 봄 축제로서의 새로운 모습을 선보였다.
주요행사로는 △한방체험(한방무료진료, 한방족욕, 건강수지침, 약초화분·향주머니 만들기, 사상체질) △작약꽃 체험(꽃다발판매, 꽃바구니 만들기) 외 여러 가지 체험 △게임 및 온라인 이벤트 등 풍성하고 다채로운 프로그램 운영으로 남녀노소를 아울러 큰 호응을 얻었다. 또한 인증샷 이벤트와 스탬프투어 등을 통해 한의마을 구석구석을 즐기면서 경품까지 받아 갈 수 있어 더욱 즐거운 축제장의 분위기를 선사했다.
영천시장은 “가을에 진행해왔던 한약축제와 달리 작약꽃 축제와 함께하는 새로운 영천한약축제의 모습을 보여드렸는데 많은 관람객들이 찾아주셔서 감사드린다.”면서, “내년에도 더욱 재밌고 알찬 축제를 준비할 테니 잊지 않고 찾아와 주시기 바란다.”고 했다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=306716
영천,한약축제 기간 탄소중립 홍보,일간경북신문 - 일간경북신문 기자,2023/05/17,"영천시는 19일부터 21일까지 개최되는 제21회 영천한약축제 기간 동안 탄소중립 홍보 부스를 활용해 ‘2050 탄소중립’을 위한 탄소중립 생활 실천을 홍보한다.
이번 캠페인은 영천시와 협약을 맺은 경북도환경연수원과 함께 진행할 예정이며, 경북도환경연수원은 축제에 참가한 이용객을 대상으로 저탄소 생활 실천 방법 및 환경상식에 대한 퀴즈 형식의 체험과 함께 탄소중립 생활실천 홍보물 등 친환경 물품 약 1,000여 개를 배부해 시민들의 참여를 유도할 예정이다. 특히 체험에 참여한 어린이들에게 환경에 대한 간단한 퀴즈 등 탄소중립에 대한 관심을 유도하는 계기를 마련할 계획이다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=306197
영천,‘영천한약축제’ 19일~ 21일,일간경북신문 - 일간경북신문 기자,2023/05/16,"영천시의 대표 축제인 제21회 영천한약축제가 19일부터 21일까지 화룡동에 위치한 ‘영천한의마을’에서 개최된다고 밝혔다. 이번 축제는 올해 영천시가 전국 최초 작약주산지로 지정됨에 따라 ‘작약빛 가득한 영천! 한약축제에서 피어나다!’라는 주제를 정하고, 지난 12일부터 21일까지 개최되는 작약꽃 축제와 함께 진행해 화사한 봄축제로서 새로운 한약축제를 선보일 예정이다.
영천한약축제에서는 다양한 한약재와 한방제품을 전시·판매하고 한방명의 진료관 운영, 효자탕달이기, 한방족욕체험 등 한방 관련 체험관도 운영한다. 또한 축제 주제에 맞게 작약과 관련된 볼거리와 즐길거리를 제공해 더욱 풍성한 한약축제를 즐길 수 있을 것이라 설명했다.
또한, 작약주산지 영천시를 표현하는 개막공연과, TBC방송 특집콘서트, 시민이 참여하는 스타영천 약방가요제, 가수 김장훈 등이 출연하는 영천의 밤 힐링콘서트 등을 진행한다고 밝혔다.
축제 기간인 19일부터 21일까지 셔틀버스를 약 15분 간격으로 운행할 계획이다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=306060
영천,"영천, 찾아가는‘청년고민상담소’ 운영",일간경북신문 - 일간경북신문 기자,2023/05/14,"영천시는 지난 11일 한국폴리텍대학 로봇캠퍼스에서 재학생 120여 명 및 교직원을 대상으로 ‘청년고민상담소’를 운영했다. ‘청년고민상담소’는 청년들에게 나타날 수 있는 우울감과 불안 등을 완화하고 정신건강에 대한 인식을 개선하고자 △홍보관 △정신건강체험관 △고민상담관 △스트레스 해소관 △소통관으로 이루어진 5개의 정신건강 콘텐츠 관을 운영하는 사업이다.
가로세로 낱말퀴즈, 정신건강 검진 및 스트레스 측정, 걱정 풍선 터뜨리기 등 다양한 체험을 통해 정신건강에 대한 관심도를 도모했고, 이동상담차량 ‘찾아가는 마음사랑방’을 함께 운영해 정신건강에 대한 홍보, 전문가 상담 서비스 등을 제공했다.
박선희 보건소장은 “힘든 시기를 보내고 있는 청년들이 스트레스를 해소하고 정신건강에 대한 정보를 받아보는 좋은 시간이 되었길 바란다.”라고 말하며, “추가 방문을 통해 정신건강 서비스를 지속적으로 제공해 나가겠다.”라고 밝혔다. 한편 정신건강 상담이 필요한 경우 영천시정신건강복지센터(054-331-6770), 정신건강상담(1577-0199), 자살예방상담(1393)으로 전화하면 된다. 문장훈기자",http://www.newgbnews.com/news/view.php?idx=305759
영천,"영천, 5월 청소년의 달 기념행사 ‘풍성’",일간경북신문 - 일간경북신문 기자,2023/05/11,"영천시는 5월 ‘성년의 날과 청소년의 달’을 기념하기 위해 축하 메시지 전달, 모범청소년 표창, 경제·금융특강 등 다양한 프로그램 및 행사를 진행한다고 11일 밝혔다.
고된 학업 활동으로 불안한 시기를 보내는 수많은 청소년들에게는 위로가 되고, 성년기로 접어든 청소년들에게는 삶의 비전을 제시할 수 있는 프로그램 및 체험활동으로 구성되어 있어 생동감 넘치는 5월 한 달이 될 것으로 기대된다. 13일과 20일 청소년수련관에서는 ‘5월의 청춘 : 청소년의 봄’ 주제 다양한 행사가 개최한다.
13일에는 초등학생 20명을 대상으로 마술사 체험을 진행하고, 청소년 포함 친구·사제·가족 단위 10팀 50명을 대상으로 셀프 컨셉 사진관 운영 및 피크닉 도시락 셀프존을 운영한다. 20일에는 초등학생 20명을 대상으로 과학실험왕 프로그램과 초등학교 4학년부터 중학교 1학년 및 학부모 30명을 대상으로 청소년 경제·금융특강인 ‘알쓸경잡’을 진행한다.
15일 ‘성년의 날’에는 올해 스무살(2004. 1. ~ 2004. 12. 출생)을 맞이하는 지역 내 청소년 647명을 축하하고 미래와 꿈을 응원하는 메시지를 전달한다.
그리고 어려운 여건 속에서도 밝고 건강하게 성장한 모범청소년을 선발·격려하고자 관내 중·고등학교 및 청소년 시설로부터 대상자 45명을 추천받아 26일 표창장을 전달할 예정이다.
이 밖에도 22일부터 26일까지는 청소년 동아리 참여자들을 위한 체험거리 드로잉북 등 7종을 선정 체험키트를 전달한다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=305583
영천,영천 ‘꿈이음 청춘카페’ 지원사업 추진,일간경북신문 - 일간경북신문 기자,2023/05/10,"영천시가 지역 카페를 거점으로 청년들의 취·창업 준비 및 커뮤니티 활동공간을 지원한다고 10일 밝혔다.
한편, 이번 사업은 카페를 이용하는 비용이 부담스러운 지역의 미취업 청년들에게 카페 음료 쿠폰을 지원해 지역의 카페를 청년들의 공간으로 활용할 수 있도록 지원하는 사업이다. 지역을 기반으로 한 소규모 매장 등을 ‘청춘카페’로 선발해 소상공인의 매출 증대도 돕는다.
지원 대상은 만 19세 ~ 39세 이하의 미취업 청년들이며, 서류 심사를 통해 500여 명을 선발해 지정된 지역 카페에서 이용할 수 있는 7만점(모바일 포인트 형태)을 지급할 예정이다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=305453
영천,"영천, 인구정책 홍보 캠페인",일간경북신문 - 일간경북신문 기자,2023/05/09,"영천시 인구교육과는 9일 서문육거리에서 출근하는 시민들을 대상으로 ‘영천 주소 갖기 운동’ 및 ‘대구 군부대 영천 유치 캠페인’을 실시했다.
이날 캠페인은 인구늘리기 홍보 및 대구 군부대 영천 유치 운동에 적극 동참하고자 인구교육과, 도시계획과, 서부동 직원 50여 명이 함께 참여해 각종 인구 관련 시책과 군부대 영천 유치 홍보 등의 캠페인을 전개했다.
아울러, 영천시는 인구 증가 및 저출생 대응 인식개선을 위한 인구정책을 최우선 시정 목표로 삼고 전입 시민, 임신, 출산 등 각종 분야에 다양한 지원과 홍보 활동을 펼치고 있으며, 특히 지난 4월 인구정책 가이드북을 제작 및 배포해 시민 곁에 든든한 안내서로 자리 잡았다.
윤동훈 인구교육과장은 “이른 출근 시간에도 인구늘리기, 대구 군부대 유치 기원이라는 한뜻으로 많은 직원들이 참여해 뜻깊은 시간이었고, 인구 유입을 위한 다양한 인구시책을 발굴하고 추진해 시민들이 공감하고 체감할 수 있도록 적극적인 인구정책을 추진하겠다.”라고 전했다. 이경미기자",http://www.newgbnews.com/news/view.php?idx=305308
