지역명,기사제목,기자이름,날짜,내용,링크
예천,예천 “우리주변 어려운 이웃 찾아주세요”,일간경북신문 - 금인욱 기자,2023/05/31,"예천군은 복지사각지대 위기가구를 조기에 발굴해 지원하기 위한 홍보용 스탠드현판을 제작해 관내 18개 약국 및 읍면행정복지센터에 비치했다.
최근 타지자체에서 복지위기가구의 안타까운 소식이 계속 전해지고 있는 가운데 예천군에서는 이러한 사례가 발생하지 않도록, 복지사각지대 발굴을 위해 다양한 방법으로 홍보에 힘쓰고 있다. 또한, 재무과와 협업하여 지방세 고지서에 복지사각지대 발굴 홍보문구를 추가하여 제작했으며, 많은 군민에게 부과되는 지방세 고지서를 활용한 홍보는 경북에서 가장 먼저 시행해 눈길을 끌고 있다.
아울러, 환경관리과에서 시행하는 클린예천을 위해 제작한 쓰담달리기 봉투 뒷면을 활용한 홍보 및 예천군 카카오톡 채널, 전광판홍보, 관공서 및 금융기관 홍보용 종이컵 배부 등 다양한 방법으로 복지사각지대 발굴을 위한 홍보에 노력하고 있다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307584
예천,고향사랑기부제 답례품 공급업체 선정위,일간경북신문 - 금인욱 기자,2023/05/31,"예천, 140여개 농특산품
예천군은 지난달 25일 고향사랑기부제 답례품 선정위원회를 개최하여 추가 답례품목에 대한 공급업체를 선정했다.
이날 위원회는 위원장인 이재길 재무과장을 비롯해 위원 7명이 참석했고 지난 3월 추가 선정한 답례품목인 꾸러미 세트, 젤리, 벌초 대행 서비스 할인권에 대해 공급업체 선정을 진행했으며 준비과정을 거쳐 6월에 기부자들에게 제공할 예정이다.
선정된 답례품목 중 꾸러미 세트는 예천에서 자란 싱싱한 제철 농‧특산물이나 돼지고기 등으로 구성되며 농협 수변점과 도깨비 곳간 2곳이 공급업체로 선정됐고 젤리는 예천농공단지 입주업체 뚜또, 벌초대행서비스 할인권은 평소 출향인들을 위해 벌초서비스를 제공하던 예천군 산림조합이 선정됐다.
이에 예천군은 기존에 선정된 140여개 농특산품을 가진 예천장터 쿠폰, 예천사랑상품권, 삼강나루캠핑장 할인권에 꾸러미 세트, 젤리, 벌초대행서비스 할인권을 추가하여 답례품목을 다양화했다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307583
예천,군민과 함께~ ‘클린 예천’ 행정 실천,일간경북신문 - 금인욱 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307462
예천,사료용 총체벼 실증재배 드론 직파 연시회,일간경북신문 - 금인욱 기자,2023/05/29,"예천군 농업기술센터는 지난 6일 용궁면 월오리에서 사료용 총체벼 실증재배 드론 직파 연시회를 개최했다.
총체벼란 잎, 줄기, 알곡을 포함한 벼 전체를 수확해 가축의 사료에 이용하는 벼를 말하는데 관내 실증재배 5농가(5ha)는 사료용 총체벼인 ‘영우’ 품종으로 드론을 활용해 직파하거나 이앙, 산파하는 파종 방법으로 경영비, 생초 수확량 등을 비교할 예정이다.
특히, 총체벼 재배의 경우 기존 벼 재배관리와 거의 차이가 없고 5월 하순 드론을 활용해 논에 볍씨를 뿌리면 이앙재배에 필수적인 못자리 설치, 육묘, 모판 옮기기 과정을 생략할 수 있어 인력난 해소에 도움이 된다.
또한, 벼 재배면적 감축을 통한 쌀 수급 안정과 양질의 조사료 생산은 물론 공익직불금‧전략작물직불금‧논 타작물‧조사료생산장려금 등 다양한 인센티브도 받을 수 있어 농가 경영 안정도 꾀할 수 있다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307299
예천,“올바른 손 씻기 습관 길러요”,일간경북신문 - 금인욱 기자,2023/05/29,"예천군은 올바른 손 씻기로 각종 감염병을 예방하기 위해 6월부터 뷰박스(viewbox) 대여사업을 추진한다.
뷰박스는 손 씻기 교육용으로 손에 형광 로션을 바르고 박스에 손을 넣으면 손 씻기 전과 후의 상태를 직접 확인하고 비교할 수 있어 교육에 매우 효율적이다.
올바르게 손을 씻지 않으면 각종 감염병에 노출되기 쉽고 특히, 코로나19가 유행하면서 개인위생 수칙 준수 중요성이 대두되자 군은 육안으로는 보이지 않는 감염균에 대한 경각심을 알려주기 위해 이번 사업을 마련했다.
뷰박스 체험 대여를 희망하는 기관은 보건소를 방문해 신청서를 작성하고 교육 방법 등을 안내받은 후 최대 2주 동안 대여할 수 있으며 자세한 내용은 보건소 감염병대응팀(650-8057)으로 문의하면 된다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307298
예천,"예천, 화훼유통복합공간 준공 ‘경쟁력 UP’",일간경북신문 - 금인욱 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307294
예천,"예천, 안전관리위원회 개최",일간경북신문 - 금인욱 기자,2023/05/25,"예천군은 24일 군청 중회의실에서 제20회 예천아시아U20육상경기선수권대회 안전관리계획 심의를 위한 제2회 예천군 안전관리위원회를 개최했다.
이날 회의에는 예천경찰서, 예천소방서, 예천교육지원청, 한국전력공사, 한국전기안전공사 등 유관기관 안전관리위원과 예천아시아U20육상대회조직위 관계자가 참석해 대회 전반에 대한 안전관리계획을 심의했다.
위원회는 선수 및 관람객 불편을 최소화하고 안전사고 예방을 위한 경기장 인원 밀집, 안전관리 상황 발생 시 조치사항, 경기장 안전관리대책 등을 면밀히 검토 후 안전관리계획을 가결했으며 예천아시아U20육상대회조직위는 심의과정에서 도출된 안전관리 의견을 반영해 대회를 진행할 계획이다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=307145
예천,"예천, 미국서 6만8천달러 판매 성과…‘눈에 띄네’",일간경북신문 - 금인욱 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307141
예천,"예천, 2회 연속 재난관리 ‘우수기관’",일간경북신문 - 금인욱 기자,2023/05/24,"예천군은 행정안전부에서 실시한 ‘2023년도 재난관리평가’에서 재난대응 역량을 인정받아 우수기관으로 선정됐다.
재난관리평가는 「재난 및 안전관리 기본법」에 따라 정부가 중앙부처와 지방자치단체, 공공기관 등을 대상으로 중앙재난관리평가단과 민간 전문가의 심사를 통해 재난관리 역량을 평가하는 재난 분야의 최상위 종합평가다.
특히, 군은 지속적인 재난 대응 체계를 구축해 호평을 받았으며 코로나19로 평가를 실시하지 않았던 2021년을 제외하고는 2022년, 2023년 2회 연속 우수기관으로 선정되는 영광을 안았다.
김학동 예천군수는 “재난관리평가에서 2회 연속 우수기관으로 선정된 것은 군민 중심의 안전 예천을 만들기 위한 노력의 결실”이라며 “이번 평가 결과에 만족하지 않고 우수 분야의 역량을 더욱 강화하는 것은 물론 미흡한 분야는 보완․개선할 수 있도록 노력하겠다.”고 말했다.
한편, 이번 결과를 바탕으로 행정안전부는 재난관리 역량을 전체적으로 높일 수 있도록 우수사례를 전파할 예정이며 또한 우수기관에는 정부포상과 함께 포상금 등의 인센티브를 부여할 계획이다.금인욱기자",http://www.newgbnews.com/news/view.php?idx=306986
예천,청도 지역사회보장협 워크숍,일간경북신문 - 이종구 기자,2023/05/24,"청도군 지역사회보장협의체는 23일 청소년수련관 다목적홀에서 ‘2023년 청도군 지역사회보장협의체 워크숍’을 개최하였다.
협의체 위원 역량 강화를 위해 개최된 이번 워크숍은 청도군 지역사회보장협의체가 주관했으며, 공공위원장인 김하수 청도군수, 군 협의체 및 9개 읍·면 협의체 위원, 관계기관 종사자 등 200여 명이 참석하였다.
메로디아 앙상블의 실내악 연주를 시작으로, 협의체 활동 영상 시청, ‘지역공동체 활성화’를 주제로 한 강연, 영화 상영 순으로 진행되었고, 각 읍·면별 지역사회보장협의체의 사업을 공유하면서 활성화 방안에 대해 알아보는 시간을 가졌다. 송근진 위원장은 “이번 기회를 통해 협의체가 나아갈 방향을 잡게 되었으며, 우리 이웃이 소외되지 않도록 더욱 촘촘하고 튼튼한 사회안전망 구축을 위해 노력하겠다라고 했다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=306968
