지역명,기사제목,기자이름,날짜,내용,링크
울진,"울진, 세계 원자력 청정수소 산업 선도",일간경북신문 - 박두원 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307352
울진,울진 수토사 “우리 영토 독도 지키다”,일간경북신문 - 박두원 기자,2023/05/25,"구산항 뱃길 재현·공연
울진군은 26일 대풍헌 앞 구산항 일원에서‘2023년 울진 수토사 뱃길 재현 행사’를 개최한다.
구산항은 조선시대 수토사(搜討使)들이 우리의 영토인‘울릉도(독도)’를 수토하기 위하여 파도가 잔잔하기를 기다리면서 출항했던 출발지로서, 그 수토사들이 출항하기 전 머물렀던 울진 대풍헌은 경북도 기념물 제165호로 지정되어 있으며 울릉도(독도) 영토 수호의 전진기지로서 그 의미와 역사가 깊은 장소이다. 이 울진 수토사 뱃길 재현 행사는 2011년부터 매년 행하는 행사로서 작년에 이어 경북도와 울진군이 주최하고 울진문화원의 주관으로 기획하여 개최된다.
이날 행사에는 구산리 주민들과 학생 등으로 구성된 108여 명이 월송만호의 조선시대 수군 복장을 갖추어 월송포진성에서 출병하여 구산항 대풍헌에 도착하는 수토사의 행렬하는 모습과 모형 판옥선에 승선하여 출정하는 모습을 재현한다. 아울러, 출정하는 조선시대 수토사들과 이 출정행사에 참여한 마을주민들을 위로하기 위해 2부 행사인 문화공연을 진행할 계획이다.
손병복 울진군수는“이곳 대풍헌은 수토사들이 울릉도(독도)를 수토하기 위하여 잠시 머문 역사적으로 의미가 큰 장소인 만큼 수토사가 출정하는 행렬 재현 행사와 함께 대풍헌 및 수토문화전시관을 통해 독도수호의 의지와 수토 활동의 역사교육의 장으로 활용하기를 바란다”라고 말했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=307169
울진,"울진, 공무원 ‘혁신 아이디어 뱅크’ 출범",일간경북신문 - 박두원 기자,2023/05/24,"울진군은 지난 22일 울진군청 대회의실에서 공무원을 대상으로 혁신 아이디어 뱅크(군정 발전 연구회)출범식을 개최했다.
울진군이 추진하는 혁신 아이디어 뱅크는 공무원 스스로 정책에 참여하고 창의적인 제안과 새로운 군정 발전 방향을 모색하고자 의기투합하여 지정과제와 자율과제 중 한 주제를 선택하여 연구하기 위해 결성된 동아리 모임으로서 총 7개 팀 41명으로 다양한 직렬과 직급으로 구성되었다.
올해 10월까지 ▲맑은 공기를 위한 새로운 브랜드 가치 창출 ▲ 지속가능한 울진형 일자리 창출 등 공동 과제와 팀별 자율과제를 선정하여 팀별 수시 토론회와 선진지 벤치마킹 등을 통해 성과물을 만들어 낼 예정이다.
손병복 울진군수는“연구회 운영 과정을 통하여 직원들의 리더십이 발휘될 수 있는 좋은 기회가 될 것으로 기대하고, 더 나아가 혁신 아이디어 뱅크의 활동이 공직사회 내에 열정적이고 리더십을 갖춘 문화를 확산시키는 마중물이 될 수 있도록 적극적으로 활동해 주길 바란다”라고 당부했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=307013
울진,"울진, 공공근로·지역공동체 일자리사업 모집",일간경북신문 - 박두원 기자,2023/05/23,"울진군은 22일부터 공공부문 직접 일자리 창출 및 취약계층의 생계안정 도모를 위하여 2023년도 하반기 공공근로 및 지역공동체 일자리사업 참여자를 모집한다.
이번 하반기 공공근로 및 지역공동체 일자리사업은 총 1억9,000만원(공공근로 6,000만원, 지역공동체 일자리 1억3,000만원)의 사업 예산으로 보건소 및 3개 읍면 사업장에서 총 28명의 참여자를 모집하여 환경 정화 및 관광지 주변 정비 등의 활동을 시행할 예정이다.
하반기 공공근로 및 지역공동체 일자리사업의 참여 대상은 공공근로사업의 경우 만 18세 이상의 근로 능력자로서 가구소득이 기준중위소득 50% 이하이면서 재산이 2억5,000만원 이하인 가구의 구성원이며, 지역공동체 일자리사업의 경우 만 18세 이상인 근로 능력자로서 가구소득이 기준중위소득 60% 이하이면서 재산이 4억원 미만인 가구의 구성원을 대상으로 선발할 예정이다.
일자리경제과장은 “공공근로사업이 취업 취약계층의 취업 경험을 제공하고 생계안정을 도모하는 데 기여한다.”고 했다.”라고 말했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=306847
울진,"울진, 전통시장 활성화 ‘바지게시장 큰잔치’",일간경북신문 - 박두원 기자,2023/05/23,,http://www.newgbnews.com/news/view.php?idx=306844
울진,"울진, 31일까지 위기청소년 특별지원",일간경북신문 - 박두원 기자,2023/05/21,"울진군은 지난 17일부터 오는 31일까지‘위기청소년 특별지원사업’대상자를 모집한다.
위기청소년 특별지원 사업은 만 9~24세 위기청소년을 대상으로 보호자가 없거나 실질적으로 보호자의 보호를 받지 못하는 청소년들에게 현금 급여 또는 건강·학업·상담 등 관련 서비스를 직접 지원하는 사업이다.
올해부터 선정 대상 및 기준이 개정되어 중위소득 100% 이하(부모 소득기준)로 학교 밖 청소년뿐 아니라, 은둔형 청소년들까지 보호자의 지원이 부족해 생활·학업 등에 도움이 필요한 경우 신청이 가능하다.
신청 방법은 청소년 본인 또는 보호자, 청소년지도자, 교원, 사회복지사, 관련 공무원이 주소지 읍면사무소를 통해 신청할 수 있다. 지원 대상자는 복지심의위원회 심의를 통해 결정되며, 6월 중 서면 통보할 예정이다. 지원내용으로는 생활 지원(월 65만원 이하), 건강지원(연 200만원 내외), 학업 지원(월 30만원 이하), 자립 지원(월 36만원 이하) 등이 있다.
손병복 울진군수는 “도움이 필요한 청소년에게 다양한 지원 혜택이 돌아가길 바란다”라고 전했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=306523
울진,"울진, 민선 8기 주요 현안·공약사항 점검",일간경북신문 - 박두원 기자,2023/05/18,"울진군은 17일 군청 중회의실에서 부군수, 국장, 관·실장, 현안 및 공약사항 담당 부서장, 팀장 등이 참석하여 5월 2차 민선 8기 주요 현안 및 공약사항 점검회의를 개최했다.
이날 손병복 울진군수 주재로 열린 이번 회의에서는 △ 청년 일자리 창출 방안(청년 원스톱 1949 상담창구 개설, 울진군 청년몰 조성) △ 지역형 특성화 대학 유치 △ 임대주택(관사) 건립 △ 표고버섯 육성사업 추진 현황 등 4개 주요 사업을 대상으로 추진상황, 문제점 및 향후 대책 등에 대하여 논의를 하였으며 부서간 협력이 필요한 사업은 상호 협의와 소통을 통해 효율적인 추진방안을 모색했다.
또한, 손병복 울진군수는“청년 일자리 창출 방안은 명확한 목표와 방향 설정을 통해 구체화하고, 지역형 특성화 대학 유치는 5년, 10년 후의 청사진 아래 세부사업을 추진해야한다”라고 말했다.
또한,“ 임대주택(관사) 건립은 입주 공무원과 비입주 공무원의 동등한 대우 방법을 모색하고, 표고버섯 육성 사업은 9 ~ 10월에는 내년도 수확량 등을 판단하여 사업예산을 반영해야 한다”라고 강조했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=306409
울진,"울진, 신중년 일자리 지원 참여업체 모집",일간경북신문 - 박두원 기자,2023/05/17,"울진군은 경북도와 함께 시군 특화 일자리 창출사업의 일환으로 신중년의 취업 장려를 위한「2023년 울진군 신중년 중소기업·파트타임 일자리 지원사업」(이하 신중년 지원사업) 참여업체를 추가 모집한다.
신중년은 만 40세에서 만 65세 사이의 연령대에 속하는 세대를 일컫는 정책용어로, 노동시장에서 은퇴해야하는 연령대로 인식되는 경향이 있는 고령자나 노인을 대신하여 활력있는 생활인이라는 긍정적 의미가 담겨있다.
신중년 지원사업은 근무 능력이 충분한 신중년 계층을 신규 채용하는 관내 중소기업 및 소상공인에 인건비를 보조함으로써 관내 신중년 계층의 고용 안정 및 취업 장려를 목표로 하고 있다.
지원 대상은 울진군 관내에 소재한 중소기업 및 소상공인 중 올해 3월 30일 이후에 주소지가 울진군으로 등록된 신중년 계층 근로자를 신규 채용한 업체이며, 심사에 통과한 업체가 법령에 따라 중소기업에 해당하는 경우 신청 시부터 연말까지 월 70만원, 소상공인에 해당하는 경우 월 50만원의 인건비를 지원받게 된다.
사업 참여를 희망하는 업체를 대상으로 연중 상시 접수를 받고 있으며, 자세한 내용은 울진군청 홈페이지에서 확인할 수 있다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=306254
울진,"울진, 물가 안정 ‘착한가격업소’ 활성화",일간경북신문 - 박두원 기자,2023/05/14,"울진군은 저렴한 가격과 양질의 서비스로 지역 물가 안정에 기여하고 있는 착한가격업소 제도를 활성화하여 물가안정에 나선다.
또한, 현재 착한가격업소로 지정되어 있는 6개 업체(갈비와 삼계탕, 관동식육식당, 여울목분식, 영심이분식, 할매국밥, 삼태기식당)에 대해「행정안전부의 착한가격업소 지정기준」에 따라 재지정 심사를 진행하며, 영업자의 신청, 읍·면장, 소비자 단체 등의 추천을 받아 착한가격업소 신규 지정도 추진할 예정이다.
군은 착한가격업소 지원 확대를 위해 울진군 착한가격업소 지원 및 관리에 관한 조례를 제정하였고, 가격안정 유지에 필요한 기자재 지원 예산도 편성하였다.
아울러, 행정안전부에서는 착한가격업소의 인지도 제고 및 소비자 이용 활성화를 위해 신한카드와 협업하여 5월 한달 간 착한가격업소에서 신한카드 1만원 이상 결제 시 2천원 캐시백 쿠폰을 제공하는 이벤트도 시행하고 있다.
아울러, 손병복 울진군수는“착한가격업소에 대해 구체적인 지원과 관리감독을 위해 조례를 제정하였고, 착한가격업소가 활성화 될 수 있도록 군에서 지속적으로 노력하겠다”며“물가안정 및 지역경제활성화를 위하여 소상공인 여러분께서도 많은 관심을 부탁드린다”라고 말했다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=305770
울진,울진 근남면 김형경 주무관 ‘최우수상’,일간경북신문 - 박두원 기자,2023/05/14,,http://www.newgbnews.com/news/view.php?idx=305768
