지역명,기사제목,기자이름,날짜,내용,링크
의성,"의성, 노인 의료·돌봄 통합지원 추진",일간경북신문 - 박효명 기자,2023/05/31,"의성군은 지난달 25, 26일 이틀간 청소년문화의집 다목적강당에서 노인 의료-돌봄 통합지원 시범사업 수행기관과 함께 워크숍을 실시했다고 밝혔다.
이날 워크숍은 시범사업 수행기관의 핵심주축인 읍면 찾아가는 보건복지팀, 보건소, 보건지소, 보건진료소, 공중보건의, 시범사업 추진단의 각 영역별 역할 공유 및 공동 협력을 위한 시간을 가지기 위해 마련된 자리로 행정의 공백을 최소화하기 위해 대상자 별로 나눠 양일간 걸쳐 진행되었다.
교육은 장명화 보건복지인재원 교수님의 시범사업 관련 찾아가는 보건-의료라는 주제 강의를 시작으로, 건강보험공단 통합돌봄연구센터의 이기주박사님의 시범사업 관련 복지분야 강의와 보건과 복지의 협력강화를 위한 레크레이션 강의로 협력을 다졌고 끝으로 애로사항과 건의사항에 대해 토론하는 시간을 가졌다.
의성군은 「노인 의료-돌봄 통합지원」시범사업 공모사업에 선정되어, 그동안 민과 관이 함께 시범사업 추진단을 구성하고 실행계획서 작성을 위한 컨설팅, 회의 등을 지속적으로 추진해왔으며, 최종 실행계획서를 바탕으로 7월부터 지역사회통합돌봄의 체계를 갖추어 나갈 예정이다. 의성군수는“이번 워크숍은 수행기관이 시범사업을 위해 역할을 잘 수행할 수 있는 발판의 시간이었길 바란다”고 했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307627
의성,"의성, 6월부터 하수도시설 정비 본격 착수",일간경북신문 - 박효명 기자,2023/05/30,"체계·안정적 용역 실시
의성군 상하수도사업소는 하수도시설을 체계적이고 안정적으로 정비하기 위해 하수도정비기본계획 수립용역을 6월부터 본격 착수하게 된다.
하수도정비기본계획은 20년 단위로 수립하고 5년마다 변경하는 법정계획으로 의성군은 이번 계획으로 2040년까지 하수도시설 전반에 대해 정비계획을 수립하여 계획적으로 하수도를 정비해 나갈 예정이다.
현재 의성군은 하수도 보급률 51%로 각 읍면 소재지를 중심으로 하수도시설이 보급되어 있고 2023년 말까지 안계처리구역과 비안마을하수도정비사업을 완료하면 보급률이 55%까지 올라갈 것으로 예상된다. 또 2025년 준공을 목표로 금성면, 가음면, 안평면 하수도정비사업도 차질없이 진행중이다.
의성군은 이번 하수도정비기본계획수립 시 현재 하수처리구역으로 반영되지 않은 지역에 대해 최대한 처리구역을 확대해 국비 지원을 받는 등 하수도 보급률에 최선을 다할 예정이다.
의성군수는 “이번 용역으로 체계적인 하수도 계획을 수립해 소외되는 지역이 없도록 하겠다.”고 했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307428
의성,"의성, 안전한 수돗물… 상수도 집중 점검",일간경북신문 - 박효명 기자,2023/05/29,"의성군은 지난 23일 수돗물 안전성 강화를 위해 상수도분야 집중 안전점검을 실시했다. 이번 안전점검은 관계 공무원, 해당분야 전문가 등으로 합동점검반을 편성하여 안계정수장 외 배수지 13개소에 대하여 위험 요소를 진단하고 해소 방안을 마련하는 등 안전한 수도행정 구현을 위해 전력을 다했다.
합동점검반은 시설물의 구조물 변형, 전기·기계·계측설비, 수처리제 저장·투입시설의 이상 유무 등 안전관리 실태를 전반적으로 점검했다.
점검 결과 재해 및 안전사고를 유발할 수 있는 위험요인 등은 발견되지 않았지만 추후 지속적인 안전 점검 등을 통해 결함 및 손상 발견 시 긴급 안전조치, 정비계획 수립 및 철저한 보수·보강으로 대형 안전사고 예방에 최선을 다할 방침이다.
의성군수는 “이번 안전대전환 기간 중 집중 안전 점검으로 군민들에게 수돗물로 인한 불편을 초래하지 않도록 수도시설 관리에 최선을 다하겠다”라고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307314
의성,"의성, 고향사랑기부 ‘3억 달성’ 이벤트",일간경북신문 - 박효명 기자,2023/05/25,"의성군은 고향사랑기부금 3억달성을 기념하고 고향사랑기부제에 대한 관심도를 높여 고향사랑기부금 목표금액을 달성하기 위해 감사이벤트를 진행한다.
이번 이벤트는 회당 10만원 이상기부자 20명을 선정하여 3만원 상당의 의성군의 농산물 꾸러미를 제공하다.
의성군은 현재 2억 9천여만원의 고향사랑기부금이 모금되어 6월 초중 3억달성 감사이벤트가 진행될 전망이다. 선정된 당첨자는 감사의 편지와 함께 농산물 꾸러미가 배송된다.
김주수 의성군수는 “우리 의성군에 관심과 애정을 가져 고향사랑기부라는 따뜻한 손길을 전해주셔서 고맙다”라며 “이번 이벤트가 조금이나마 고마움에 대한 보답이 되고 또 의성의 우수한 농산물을 알리는 계기가 되었으면 한다.”라고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=307131
의성,"의성, 건강생활실천 유도 ‘걷기교실’",일간경북신문 - 박효명 기자,2023/05/24,"의성군은 안계면 걷기동아리 회원들과 함께 지난 22일 안계면 위천생태공원에서 건강생활실천 유도를 위한 건강걷기교실을 운영하였다.
이날 건강걷기교실에 참여한 회원들은 보건소 지역사회통합건강증진사업의 일환인 ‘내 동네 내 친구와 함께하는 건강걷기교실’ 에 참여하는 회원들 46명과 안계면 건강마을조성사업 위원장 및 건강지기로 안계면사무소를 출발해 안계평야를 지나 위천생태공원 둘레길을 걸으면서 건강충전 및 좋은시간을 가졌다. 또한, 비만예방관리사업 ‘가볍게, (일상에서)걷고 (물을)마시고 (나트륨, 지방)줄이자’를 비롯해 금연지원서비스사업 ‘담배꽁초줍기’캠페인을 운영하여 비만예방 및 금연을 위한 홍보를 실시하였다.
참가 회원들은“걷기 좋은 계절을 맞이하여 내 동네 내 친구와 둘레길을 함께 걸으니 건강도 좋아지고 너무 기쁘다”라고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306978
의성,"의성, 태양광 LED 벽부등 설치",일간경북신문 - 박효명 기자,2023/05/24,"의성군 안사면 찾아가는 보건복지팀은 지난 22일 지역사회보장협의체 특화사업으로 70세이상 어르신 및 취약가구 110세대에 <태양광 LED 벽부등 설치사업>을 실시했다고 밝혔다.
이 사업은 행복한 안사면을 만들기 위한 안사면지역사회보장협의체 특화사업으로, 야간 주택 내 안전사고의 위험이 높은 어르신 등 보행약자를 위해 태양광 LED 벽부등을 설치해주는 사업이다. 지난 2월 1차
태양광 LED 벽부등지원사업을 실시하여 200세대 취약가구에 기설치 하였으며, 거동불편 취약가구 및 지역주민의 만족도가 높아 협의체에서 금번 특화사업을 2차로 추진하게 되었다.
태양광 벽부등은 낮 동안 태양광을 충전하고 밤이 되면 자동으로 LED등이 켜지는 시스템으로, 야간에 밝은 환경 조성이 가능해 지역내 안전 사각지대 해소뿐만 아니라, 다치기 쉬운 어르신들의 안전생활지원에 많은 도움이 될 것으로 기대된다.
황영효 지역사회보장협의체 민간위원장은 “협의체 위원들이 힘을 모아 우리마을이 조금씩 변화되는 모습이 보람된다.”라고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306976
의성,"의성, 남대천 ‘분수음악회’",일간경북신문 - 박효명 기자,2023/05/23,"의성군은 의성읍 주민자치회 주관으로 지난 20일 오후 5시 남대천 음악분수 앞 광장에서‘2023년 의성읍 남대천 분수음악회’를 개최했다.
이날 남대천 분수음악회는 5월 가정의 달을 맞아“가족음악회”란 주제로 의성지킴이 풍물을 시작으로 하여 댄스, 한국무용, 태권무, 풍선마술 등 다채로운 프로그램으로 공연하였으며, 어린이들을 포함한 가족단위 관객들에게 특히 많은 박수갈채를 받았다.
올해로 3회째를 맞는‘의성읍 남대천 분수음악회’는 5월에서 9월까지 매월 셋째주 토요일에 개최되며, 앞으로 7월‘평화음악회’, 8월‘낭만음악회’, 9월‘풍년음악회’라는 테마로 매월 주제에 맞게 진행될 예정이다
김주수 의성군수는“이번 음악회는 의성군 주민참여예산으로 진행되는 만큼 지역의 예술단체, 학교 동아리팀 등을 중심으로 지역민과 즐기고 나누는 공연문화의 기반을 마련하는데 의의가 있다.”라고 말했다.
또한, “지속적으로 지역주민들이 일상적인 문화향유의 기회를 갖도록 최선을 다하겠다”라고 전했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306807
의성,"의성, 주민제안공모사업 공모 ‘13개팀 선정’",일간경북신문 - 박효명 기자,2023/05/23,"의성군은 도시재생사업에 대한 지역주민의 이해와 참여를 높이고 건강한 지역공동체 발굴 및 활성화를 위한 창의적인 사업을 발굴·육성하고자 안계면 도시재생뉴딜사업에 관심 있는 의성군민 또는 생활권자를 대상으로 2023년도 안계면 도시재생뉴딜사업 주민제안공모사업 참여자를 모집하여 현재 총 13팀을 선정하였다.
올해 공모사업은 도시재생 활성화 및 지역공동체 활성화를 위한 6개 분야(안계행복플랫폼 활성화, 안계청년예술촌거리 조성, 함께 책임지는 서의성 교육, 주민공동체 활성화, 주민밀착 생활환경 개선, 도시재생 일반)를 주제로 3월 17일부터 31일까지 신청을 받았다.
또한, 안계면 도시재생뉴딜사업에 대한 검토와 도시재생위원회 심의를 거쳐 △찾아가는 기타 연주회, △용기4리 주택가 환경개선 사업 등 총 13팀이 선정되어 5월부터 10월까지 사업을 추진할 계획이다.
아울러, 의성군 안계면 도시재생현장지원센터에서 보조금 사용 관련 회계 교육으로 지역주민들이 사업계획부터 지출·정산까지 스스로 수행하여 주민들의 역량 강화를 위한 자리를 가질 예정이다.
김주수 의성군수는 “지역주민과 단체들의 구체적인 아이디어 발굴과 서로 간 의견 공유를 통해 지속적으로 발전가능한 의성군이 될 수 있도록 지역 주민들의 적극적인 참여를 부탁드린다.”라고 말했다. 박효명기자",http://www.newgbnews.com/news/view.php?idx=306806
의성,의성 고품격 ‘우렁이쌀’ 호주 첫 수출,일간경북신문 - 박효명 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306705
의성,"의성, 도농상생 ‘농산물 직거래장터’",일간경북신문 - 박효명 기자,2023/05/22,,http://www.newgbnews.com/news/view.php?idx=306704
