지역명,기사제목,기자이름,날짜,내용,링크
칠곡,"선비, 꿈과 이상을 걸다 현판懸板",일간경북신문 - 금인욱 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307465
칠곡,"칠곡 치매안심센터, 치매극복선도 33개소 운영",일간경북신문 - 강명환 기자,2023/05/30,"안심가맹점 17곳 현판 전달
칠곡군치매안심센터는 치매에 대한 친화적 환경조성을 위해 치매극복선도단체와 치매안심가맹점 현판전달식을 했다.
치매극복선도단체와 치매안심가맹점은 단체 구성원들이 치매서포터즈 교육을 받고 치매친화적 사회조성과 치매안전망 구축을 위해 적극 동참하는 단체이다.
이번 치매극복선도단체는 왜관새마을금고 본점을 비롯한 전 지점과 주택관리공단 왜관 2,3관리소, 왜관동부초등학교 병설유치원, 지천초등학교 병설유치원, 군립지천어린이집의 12개소가 지정되고, 치매안심가맹점은 왜관읍 지천면 가산면의 영업점으로 음식점부터 커피전문점까지 다양한 17개소가 치매극복활동에 참여했다.
칠곡군치매안심센터는 현재까지 21개소의 치매극복선도단체가 지정되고 이번에 12개소가 추가되어 총 33개소의 치매극복선도단체가 치매인식개선과 치매친화적 문화조성 등 꾸준한 치매극복활동을 이어갈 예정이다.
권정희 칠곡군보건소장은 “이번 치매극복선도단체와 치매안심가맹점 지정으로 치매에 대한 부정적인 인식이 개선되고 치매가 있어도 행복하고 안전한 칠곡군이 되도록 노력하겠다”고 전했다. 강명환기자",http://www.newgbnews.com/news/view.php?idx=307422
칠곡,"칠곡·고용노동부, 일자리 협력체계 구축",일간경북신문 - 강명환 기자,2023/05/29,,http://www.newgbnews.com/news/view.php?idx=307313
칠곡,"칠곡, 보건의료서비스 ↑ ‘간호사회’ 출범",일간경북신문 - 강명환 기자,2023/05/25,,http://www.newgbnews.com/news/view.php?idx=307130
칠곡,칠곡 어린이집연합회 ‘행복사진전’,일간경북신문 - 강명환 기자,2023/05/23,,http://www.newgbnews.com/news/view.php?idx=306811
칠곡,"칠곡 드림스타트, 아동 친화도시 ‘발돋움’",일간경북신문 - 강명환 기자,2023/05/22,"칠곡군 드림스타트는 아동의 4대 권리에 대한 이해의 폭을 넓히기 위해 지난 20일 드림스타트 아동과 부모님을 모시고 아동권리교육과 부모교육을 진행했다.
특히 이번 교육은 칠곡군 아동권리교육 군민강사 양성과정을 통해 선발된 군민 강사를 초빙해 자유로운 분위기에서 다양한 활동으로 이루어졌다.
부모 교육은 간이 기질검사 키트를 활용해 자녀의 기질을 이해하고 기질별 양육방법을 알아보고 고민하며 전문가의 의견을 들어보는 자리를 가졌다.
프로그램에 참여한 한 부모는“아동의 연령이 올라갈수록 자녀와 갈등으로 어려움을 겪는 부모들이 많은데 자녀의 기질을 파악해 자녀를 이해하고 양육 방법을 배울 수 있어서 좋았다.”고 소감을 밝혔다.
칠곡군 드림스타트는 “이번 행사가 아동친화도시로서 칠곡군의 아동 인권감수성을 높이고 부모와 자녀가 긍정적인 소통을 하는데 도움이 될 것으로 기대한다”고 전했다. 강명환기자",http://www.newgbnews.com/news/view.php?idx=306706
칠곡,"칠곡보건소, 7월까지 지역사회건강조사",일간경북신문 - 강명환 기자,2023/05/21,"칠곡군보건소는 질병관리청과 전국 보건소가 지역주민들의 건강상태를 파악하고 보건의료계획수립에 필요한 건강통계 자료를 생산하기 위해 7월 말까지‘지역사회 건강조사’를 시행한다고 밝혔다.
조사대상은 19세이상 성인이며 조사항목은 흡연, 음주, 신체활동, 식생활 등 건강행태와 고혈압, 당뇨병, 뇌졸중 및 심근경색증 조기 증상, 의료기관 이용, 활동 제한등 총 17개 영역 145개 문항이다. 강명환기자",http://www.newgbnews.com/news/view.php?idx=306575
칠곡,칠곡보건소 지역사회건강조사,일간경북신문 - 강명환 기자,2023/05/16,"칠곡군은 16일부터 7월 31일까지 2023년 지역사회건강조사를 한다고 밝혔다. ‘지역사회 건강조사’는 지역보건법에 따라 질병관리청과 전국 보건소가 공동으로 수행하는 조사로 주민들의 건강상태를 파악해 보건사업수행에 필요한 통계 자료를 위해 매년 시행하는 조사다.
조사대상은 표본가구 가구원 중 만 19세이상 성인이며 조사항목은 흡연, 음주, 신체활동등 건강행태와 고혈압, 당뇨병, 뇌졸중 증상 인지에 따른 만성질환 이환, 의료기관 이용, 활동 제한등 총 17개 영역 145개 문항이다.
이번 조사는 조사가구 대상임을 알려주는 우편물을 발송 후 숙련된 조사원이 표본가구를 방문하여 1:1 면접 방식으로 15분정도 진행되며 답례품으로 상품권을 지급한다. 강명환기자",http://www.newgbnews.com/news/view.php?idx=306054
칠곡,"칠곡, 관광가이드 역할 ‘지천면지’ 출판",일간경북신문 - 강명환 기자,2023/05/15,"칠곡군 지천면은 지난 10일 김재욱 칠곡군수, 이형수 칠곡문화원장 등 100여 명 이상 참석해 지천면지(面誌) 출판기념회를 했다.
주민들의 관심과 후원으로 만들어진 면지의 내용 소개로는 A4 규격, 818쪽으로 총 9개 장으로 구성되어 있으며 책의 무게도 자그마치 4kg이나 된다.
제1장 역사편에는 141쪽에 지천면의 주요 역사를 연표로 정리하였으며
제2장 삶의 환경에 이어 3장 마을이야기는 지금의 모습이 후세에 고스란이 전해질 수 있도록 최대한 상세히 기록했다.
지역 기관단체나 주민들의 활동사항이나 산업 종교와 문화생활 등 주민들의 삶의 줄기를 근간으로 스토리탤링하여 4,5,6장에 편집했고 7장에서는 문화유산과 체험관광을 연계하여 지역의 관광가이드북 역할을 할 수 있도록 편집했다. 8장에는 성씨별 뿌리부터 이쾌대 등 외면되었던 인물들까지 보다 상세히 재조명하여 인재의 고장이라는 지천면민으로서의 자긍심을 높이고자 했다.
출판기념회에 참석한 김재욱 칠곡군수는 “지천면에 관련한 방대한 자료들을 집대성한 지천면지가 지천면을 알아가는데 필요한 필독서로 자리매김하길 바란다”고 말했다. 강명환기자",http://www.newgbnews.com/news/view.php?idx=305922
칠곡,"칠곡 청소년지원센터, 검정고시 전원 합격",일간경북신문 - 강명환 기자,2023/05/11,"칠곡군 학교밖청소년지원센터는 지난 4월 시행한 “2023년도 제1회 검정고시”에서 학교밖청소년지원센터 18명이 응시해 18명 전원이 합격하는 성과를 거두었다. 칠곡군 학교밖청소년지원센터는 학교를 벗어난 청소년들이 맞춤형 교육과 상담을 통해 지원하는 칠곡군 소속 기관으로 지난해에도 검정고시반 운영 등을 지원해 중·고등검정고시에서 응시생 52명 전원이 합격하는 성과를 거두는 등 학교밖 청소년들의 희망터로서 굳건히 자리매김해오고 있다.
이번에 검정고시에 합격한 이 모양은 “학습지원 덕분에 검정고시를 만족하는 점수로 합격할 수 있었서 참 기쁘다.”라고 말했다. 강명환기자",http://www.newgbnews.com/news/view.php?idx=305595
