지역명,기사제목,기자이름,날짜,내용,링크
포항,포항 평생학습원 ‘두드림 페스티벌’ 개최,일간경북신문 - 김재원 기자,2023/05/31,"포항시는 2, 3일 이틀간 뱃머리 평생학습원 일원에서 ‘두드림(DO Dream) 페스티벌’을 개최한다.
이번 행사는 포항시 평생학습원 개원 10주년을 맞아 지난 10년간의 평생학습 성과를 시민과 함께 공유하고 축하하기 위해 평생교육과, 시립도서관, 시립미술관에서 함께 마련했다.
포항시는 이번 행사를 어린이부터 어르신까지 전 연령대가 함께 즐길 수 있는 학습 축제의 장으로 만들기 위해 다채로운 프로그램을 준비하고 있다.
먼저 어린이들을 위한 △영어 놀이, 요리와 필라테스 체험 △가족 얼굴 쿠키 만들기 △어린이 풍선아트 △버블 건 및 레고 체험 등 프로그램과 함께 성인들을 위한 프로그램으로는 △다도 및 예절 △맥적요리, 꽃차 시음 △네일아트 △한문 붓글씨 체험 행사 등이 열린다.
또한 성인 문해교육 시화전을 비롯해 미술작품, 생활 인테리어 소품 등 우수 작품전시와 프리마켓 판매 행사, 독서존, 스틸아트공방 체험 등 특별행사도 마련된다. 이와 함께 사물놀이, 난타, 댄스, 악기 연주 등 수강생과 학습동아리의 공연 등 다양한 볼거리도 준비하고 있다.
3일 기념식 행사에서는 오전 9시 30분 어르신 골든벨을 시작으로, 수강생 공연, 식전공연 등이 펼쳐지며, 기념식에서는 평생학습 발전 유공자 시상, 축하 영상메세지 상영, 퍼포먼스 등이 이어진다.
특히 이날 오전 11시에는 인기 트로트 가수 신유의 토크가 있는 콘서트가 6월 시민교양대학과 연계해 진행될 예정이다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307645
포항,"포항, 대형건설공사장 7곳 안전 점검",일간경북신문 - 김재원 기자,2023/05/31,"10일까지 각종 재해 사전 예방
포항시는 여름철 집중호우와 각종 재해 사전 예방을 위해 지난달 24일부터 오는 10일까지 지역 대형건설공사장 7곳에 대해 집중 안전 점검을 실시하고 있다.
점검 대상은 산지 인근 공사장, 토사 붕괴, 침수 등으로 인한 감전·익사, 강풍에 의한 시설물 낙하·전도가 우려되는 시설물로, 특히 집중호우에 취약한 터파기 및 흙막이 공사 현장, 배수에 어려움이 있는 지하 굴착공사 현장을 집중 점검한다.
이번 점검 결과 경미한 사항은 즉시 시정하도록 하고, 조치가 어려운 사항은 위험 요소가 해소될 때까지 지속 관리할 방침이다.
한편 시는 점검에 앞서 지난 24일 현장 관계자를 대상으로 안전관리 실태와 재해 대응 계획에 대한 사전점검과 안전교육을 통해 현장별 관리계획의 적정성과 정기 안전 점검 실시 여부를 확인하고 우수사례와 사업장별 보완사항을 검토했다.
김기창 하수도과장은 “철저한 안전 점검으로 재난사고를 사전 예방해 시민의 생명과 재산을 보호하는 안전 도시 조성에 행정력을 집중하겠다”라고 말했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307643
포항,"포항, 기관·단체와 손잡고 학교폭력 예방",일간경북신문 - 김재원 기자,2023/05/31,"포항시는 학교폭력 예방 및 대책 논의를 위해 31일 시청 드림스타트 회의실에서 2023년 포항시 학교폭력 대책 지역협의회 회의를 개최했다.
포항시 학교폭력 대책 지역협의회 회의는 포항시 학교폭력 예방 및 대책 활동 지원에 관한 조례 제9조에 의거 매년 1회 이상 개최되고 있다.
부위원장인 최명환 복지국장 주재로 진행된 이번 협의회는 지자체, 경찰서, 교육지원청 관련 공무원과 청소년단체 대표 등 20명이 참석한 가운데 기관별 학교폭력 예방 대책계획 및 보고, 협의체 간 상호협력 및 지원방안 등을 논의했다. 특히 최근 증가하고 있는 학교폭력 예방을 위해서는 개인이나 한 기관이 아닌 지역사회를 중심으로 유관기관·단체가 상호 유기적으로 협력해야 한다는 데 뜻을 모았으며, 향후 기관·단체 간 연계 강화를 통해 긴밀한 협업과 지원을 이어가기로 했다. 복지국장은 “청소년들이 올바르게 성장할 수 있도록 지역 유관기관들이 손을 맞잡은 의미있는 자리”라고 했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307642
포항,“전국서 맨발로 걸으러 왔어요”,일간경북신문 - 김재원 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307641
포항,포항 ‘시민과 약속’ 공약 이행 차질 없이 ‘순항’,일간경북신문 - 김재원 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307639
포항,‘이차전지 특화단지’ 선정…“정치적 결정 안된다”,일간경북신문 - 김재원 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307500
포항,포항스틸아트공방 ‘두드림 페스티벌’,일간경북신문 - 김재원 기자,2023/05/30,"포항시립미술관 스틸아트공방이 6월 2, 3일 이틀간 뱃머리 평생학습원 2층에서 체험프로그램 및 마켓을 운영하고, 공방 개발상품과 공모전 수상 작품 등을 전시한다. 이번 행사는 포항시 평생학습원 개원 10주년을 기념해 개최하는 ‘두드림(Do Dream) 페스티벌’의 하나로 마련됐으며, 스틸아트공방 창업반 수강생들이 직접 운영에 나선다.
과메기 은반지를 만들어 볼 수 있는 체험프로그램이 1일 30개 한정 수량으로 진행되며, 스틸아트공방 수강생들이 제작한 금속공예 소품도 판매한다. 과메기 은반지 만들기 체험은 30분 정도의 시간이 소요되며, 은으로 제작하는 만큼 소정의 재료비가 발생한다.
스틸아트공방은 스틸을 매개로 금속공예 작품을 직접 만드는 시민 공작소로 지난 2016년 12월에 개소해 현재까지 916명의 수강생을 배출했다. 금속공예 전문가를 양성하고 시민 중심 예술 일자리를 창출하는 것을 목표로 스틸문화 저변 확산에 힘쓰고 있다.
한편, 오는 6월 3일 오전 10시 30분 ‘두드림 페스티벌’ 기념식 식전 행사에는 부산시립교향악단 수석 트럼페터 드미트리 로카렌코프가 참석해 ‘썸머타임’, ‘체리 핑크’, ‘백만송이 장미’ 등을 연주한다. 미술관 음악회에서도 만났던 드미트리는 국제 트럼펫 콩쿠르 3위에 입상 후 볼쇼이극장 트럼펫 수석, 말리 주립 심포니 오케스트라 트럼펫 수석, 모스크바 심포니 트럼펫 수석 등을 역임했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307452
포항,“독도는 대한민국 땅…日만행 규탄”,일간경북신문 - 김재원 기자,2023/05/30,,http://www.newgbnews.com/news/view.php?idx=307450
포항,"포항, 물놀이 안전사고 제로화 ‘온힘’",일간경북신문 - 김재원 기자,2023/05/30,"포항시는 본격적인 여름철 물놀이 시기인 6월 1일부터 8월 31일까지를 물놀이 안전 관리 대책 기간으로 정하고, 안전사고 예방을 위해 5월 28일과 30일 이틀간 물놀이 안전지킴이 역량 강화 교육을 실시했다.
이번 교육은 계곡과 하천, 비지정 해수욕장의 물놀이 안전을 위해 35명의 물놀이 안전지킴이를 선발해 심폐소생술을 비롯한 응급처치 요령, 물놀이 안전 장비를 활용한 구조술 등 현장에서 인명구조에 활용할 수 있는 교육을 위주로 진행됐다.
이와 함께 시는 물놀이 안전사고 취약지인 내수면 10개소와 비지정 해수욕장 17개소를 사전 점검하고, 위험표지판과 인명구조함, 구명조끼 등 안전 시설물을 정비하는 등 안전사고 선제 대응을 위해 힘쓰고 있다.
김남진 도시안전해양국장은 “코로나19 해제 등으로 올여름은 계곡과 비지정 해수욕장에 물놀이객이 대폭 증가할 것으로 예상된다”며, “물놀이 안전사고 예방 교육을 더욱 강화해 인명피해를 최소화할 수 있도록 철저히 대비하겠다”고 말했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307449
포항,"포항, 6월부터 EBS 영어 콘텐츠 무료",일간경북신문 - 김재원 기자,2023/05/30,"포항시는 지역 내 중·고등학생과 시민의 영어학습 지원을 위해 ‘2023년 EBS 포항 스마트러닝’ 사업을 6월부터 신규로 추진한다.
‘포항 스마트러닝’은 EBS 영어학습 교재를 기반으로 듣기·어휘·문법 등 영어 공부에 반드시 필요한 콘텐츠와 수능과 동일하게 구성된 실전 모의고사, 오답 노트 단어장 기능 등을 제공해 자기주도 학습이 가능하도록 설계된 영어교육 플랫폼이다.
하반기에는 구문 독해 콘텐츠와 초등학생을 위한 영어책 읽기 콘텐츠까지 추가로 선보일 계획이다.
이 사업은 올해 처음 시행하는 사업으로 포항시민 누구나 ‘포항 스마트러닝’ 어플리케이션 또는 포항시 전용 웹사이트에 접속해 회원가입 후 무료로 이용할 수 있다. 회원가입 등 관련 문의는 포항 스마트러닝 고객센터(02-572-0818)로 연락하면 된다.
정진철 교육청소년과장은 “포항 스마트러닝 사업 지원으로 청소년과 일반 시민들이 시공간의 제약 없이 실생활에 유용한 영어 능력을 기르는 데 보탬이 될 것으로 기대한다”며, “영어학습에 관심 있는 학생과 시민들의 많은 이용을 바란다”고 말했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307448
