지역명, 기사제목, 기자이름, 날짜, 링크
대구,"대경중기청, 지역 중소기업 기술혁신 역량강화 업무협약",일간경북신문 - 김범수기자,2023/05/29,http://www.kbsm.net/news/view.php?idx=393229
대구,"영남이공대 박승철헤어과, 국제뷰티콘테스트서 상 휩쓸어",일간경북신문 - 김범수기자,2023/05/29,http://www.kbsm.net/news/view.php?idx=393228
대구,"DIMF, ‘한국커뮤니케이션학회 춘계학술대회’ 개최",일간경북신문 - 김범수기자,2023/05/29,http://www.kbsm.net/news/view.php?idx=393227
대구,"대구고용노동청, 밀폐공간 보유 사업장 집중 지도·감독",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393217
대구,"대구 서구의회 ""중리동 정압관리소 설비 증설 백지화"" 촉구",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393210
대구,"임승환 한국복지사이버대 부총장, 장애인 문화예술진흥회 상임고문 임명",일간경북신문 - 이상문기자,2023/05/29,http://www.kbsm.net/news/view.php?idx=393209
대구,[동정] 조재구 대구남구청장,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393202
대구,[동정] 이태훈 대구달서구청장,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393201
대구,[동정] 류한국 대구서구청장,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393200
대구,[동정] 윤석준 대구동구청장,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393199
대구,"대구 서구, 1인가구 '해피파트너스 데이 '추진",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393197
대구,"대구 수성구, 특이민원 발생 대비 모의훈련",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393195
대구,'제17회 DIMF 어워즈' 내달 5일 개최···축제 피날레 장식,일간경북신문 - 전수정기자,7호,http://www.kbsm.net/news/view.php?idx=393193
대구,"코레일 대구역, 고객 취업지원 서비스",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393187
대구,"대구 달서구, 'AI·IoT기반 어르신 건강관리사업' 참가자 모집",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393186
대구,"홍석준 의원, 구직급여 반복 수급 막는 고용보험법 개정안 대표발의",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393185
대구,"대구 동구, 민선8기 당정 협의회 개최",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393184
대구,이상민 제6대 대구 중구문화원장 취임,일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393183
대구,"국민의힘 경북도당, 청년당원·청년단체 간담회...김남국 규탄 성명서 발표",일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393180
대구,5월 집밥 식재료 구입비용 전년 대비 8.4% 저렴,일간경북신문 - 김범수기자,6호,http://www.kbsm.net/news/view.php?idx=393178
대구,"대구 남구, 대한민국 캠핑대전 '최우수콘텐츠상'",일간경북신문 - 전수정기자,6호,http://www.kbsm.net/news/view.php?idx=393177
