지역명,기사제목,기자이름,날짜,내용,링크
경북,포항 평생학습원 ‘두드림 페스티벌’ 개최,일간경북신문 - 김재원 기자,2023/05/31,"포항시는 2, 3일 이틀간 뱃머리 평생학습원 일원에서 ‘두드림(DO Dream) 페스티벌’을 개최한다.
이번 행사는 포항시 평생학습원 개원 10주년을 맞아 지난 10년간의 평생학습 성과를 시민과 함께 공유하고 축하하기 위해 평생교육과, 시립도서관, 시립미술관에서 함께 마련했다.
포항시는 이번 행사를 어린이부터 어르신까지 전 연령대가 함께 즐길 수 있는 학습 축제의 장으로 만들기 위해 다채로운 프로그램을 준비하고 있다.
먼저 어린이들을 위한 △영어 놀이, 요리와 필라테스 체험 △가족 얼굴 쿠키 만들기 △어린이 풍선아트 △버블 건 및 레고 체험 등 프로그램과 함께 성인들을 위한 프로그램으로는 △다도 및 예절 △맥적요리, 꽃차 시음 △네일아트 △한문 붓글씨 체험 행사 등이 열린다.
또한 성인 문해교육 시화전을 비롯해 미술작품, 생활 인테리어 소품 등 우수 작품전시와 프리마켓 판매 행사, 독서존, 스틸아트공방 체험 등 특별행사도 마련된다. 이와 함께 사물놀이, 난타, 댄스, 악기 연주 등 수강생과 학습동아리의 공연 등 다양한 볼거리도 준비하고 있다.
3일 기념식 행사에서는 오전 9시 30분 어르신 골든벨을 시작으로, 수강생 공연, 식전공연 등이 펼쳐지며, 기념식에서는 평생학습 발전 유공자 시상, 축하 영상메세지 상영, 퍼포먼스 등이 이어진다.
특히 이날 오전 11시에는 인기 트로트 가수 신유의 토크가 있는 콘서트가 6월 시민교양대학과 연계해 진행될 예정이다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307645
경북,"영덕, 어민 소득↑… 어린 전복·해삼 방류",일간경북신문 - 박두원 기자,2023/05/31,"지역어장 13곳에 61만미
영덕군은 기후 위기와 생태계 변화로 감소하는 수산 자원을 회복하고 어업인의 소득을 증대하기 위해 지난 26일 남정면 부경리를 비롯한 관내 마을어장 13곳에 어린 전복 28만미와 어린 해삼 33만 5,000미를 방류했다.
영덕군은 이번에 방류한 어린 전복과 해삼은 경북도 어업기술센터의 수산생물 전염병 검사를 마친 건강한 종자로, 어촌계 잠수사들이 직접 암초가 많고 해조류가 풍성한 곳에 안전하게 안착시켜 향후 건강한 성채로 자랄 것을 기대하고 있다.
정상호 해양수산과장은 “현재 수산종자 매입 방류사업과 동해안 해삼양식산업 육성사업 등을 지속적으로 추진해 고부가 가치 수산물인 전복과 해삼의 종자를 꾸준히 방류하고 있다”며, “수산자원 회복과 효율적인 관리로 어업인들의 소득 증대와 국민의 먹거리 확보에 기여할 수 있도록 최선을 다하겠다”고 밝혔다. 박두원기자",http://www.newgbnews.com/news/view.php?idx=307644
경북,"포항, 대형건설공사장 7곳 안전 점검",일간경북신문 - 김재원 기자,2023/05/31,"포항시는 여름철 집중호우와 각종 재해 사전 예방을 위해 지난달 24일부터 오는 10일까지 지역 대형건설공사장 7곳에 대해 집중 안전 점검을 실시하고 있다.
점검 대상은 산지 인근 공사장, 토사 붕괴, 침수 등으로 인한 감전·익사, 강풍에 의한 시설물 낙하·전도가 우려되는 시설물로, 특히 집중호우에 취약한 터파기 및 흙막이 공사 현장, 배수에 어려움이 있는 지하 굴착공사 현장을 집중 점검한다.
이번 점검 결과 경미한 사항은 즉시 시정하도록 하고, 조치가 어려운 사항은 위험 요소가 해소될 때까지 지속 관리할 방침이다.
한편 시는 점검에 앞서 지난 24일 현장 관계자를 대상으로 안전관리 실태와 재해 대응 계획에 대한 사전점검과 안전교육을 통해 현장별 관리계획의 적정성과 정기 안전 점검 실시 여부를 확인하고 우수사례와 사업장별 보완사항을 검토했다.
김기창 하수도과장은 “철저한 안전 점검으로 재난사고를 사전 예방해 시민의 생명과 재산을 보호하는 안전 도시 조성에 행정력을 집중하겠다”라고 말했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307643
경북,"포항, 기관·단체와 손잡고 학교폭력 예방",일간경북신문 - 김재원 기자,2023/05/31,"포항시는 학교폭력 예방 및 대책 논의를 위해 31일 시청 드림스타트 회의실에서 2023년 포항시 학교폭력 대책 지역협의회 회의를 개최했다.
포항시 학교폭력 대책 지역협의회 회의는 포항시 학교폭력 예방 및 대책 활동 지원에 관한 조례 제9조에 의거 매년 1회 이상 개최되고 있다.
부위원장인 최명환 복지국장 주재로 진행된 이번 협의회는 지자체, 경찰서, 교육지원청 관련 공무원과 청소년단체 대표 등 20명이 참석한 가운데 기관별 학교폭력 예방 대책계획 및 보고, 협의체 간 상호협력 및 지원방안 등을 논의했다. 특히 최근 증가하고 있는 학교폭력 예방을 위해서는 개인이나 한 기관이 아닌 지역사회를 중심으로 유관기관·단체가 상호 유기적으로 협력해야 한다는 데 뜻을 모았으며, 향후 기관·단체 간 연계 강화를 통해 긴밀한 협업과 지원을 이어가기로 했다. 복지국장은 “청소년들이 올바르게 성장할 수 있도록 지역 유관기관들이 손을 맞잡은 의미있는 자리”라고 했다. 김재원기자",http://www.newgbnews.com/news/view.php?idx=307642
경북,“전국서 맨발로 걸으러 왔어요”,일간경북신문 - 김재원 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307641
경북,"독도박물관, 10월 3일까지 ‘울릉도’ 공동기획전",일간경북신문 - 송성준 기자,2023/05/31,"울릉군 독도박물관은 국립호남권생물자원관 및 경북대학교 울릉도·독도연구소와의 공동기획전 “울릉도”를 지난달 31일부터 10월 3일까지 국립대구과학관 꿈나무과학관 2층에서 개최한다.
이번 전시는 대양섬 울릉도의 고유생물과 자연, 그리고 이곳의 환경을 배경으로 형성, 발전되어 온 울릉주민의 생활문화를 주제로 기획됐다.
울릉도는 화산 폭발로 생겨난 이후 한 번도 육지와 연결된 적이 없는 대양섬으로 오랜 기간 이곳이 지닌 독특한 환경에 적응하여 새로운 종으로 진화한 다양한 고유생물들을 품고 있다. 특히 울릉도는 30여 종이 넘는 고유생물이 자생하기에 ‘한국의 갈라파고스’라고 부르기도 한다.
이번 전시에서는 울릉해변해면, 울도하늘소 등 울릉도 고유생물 표본을 비롯하여 독도박물관이 소장한 과거 오징어 어로도구와 떼배를 이용한 미역채취 어업 도구, 그리고 울릉도의 기후환경에 적응한 가옥인 울릉도 투막집 등 울릉도의 환경에 적응하며 고유한 생활문화를 발전시켜 나간 울릉주민의 삶을 엿볼 수 있는 각종 민속유물이 소개된다.
남한권 울릉군수는 “울릉도의 깨끗하고 소중한 자연환경과 환경에 적응하며 고유의 문화를 발전시켜 나간 울릉주민의 삶을 소개하는 전시가 개최되는 것을 매우 의미깊게 생각하며, 앞으로도 여러 지역에서 울릉도와 독도를 알리는 공동전시 개최에 힘쓰겠다.”고 밝혔다. 송성준기자",http://www.newgbnews.com/news/view.php?idx=307640
경북,포항 ‘시민과 약속’ 공약 이행 차질 없이 ‘순항’,일간경북신문 - 김재원 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307639
경북,"시정소식지 우리경산 개편, 시민들 ‘호평’",일간경북신문 - 이종구 기자,2023/05/31,"경산시가 매월 발행하는 시정소식지‘우리 경산’이 큰 글씨와 사진의 비중을 늘린 디자인 개편 등으로 시민들의 가독성을 높이고 있다는 호평을 받고 있다고 지난달 31일 밝혔다.
소식지‘우리경산’은 민선 8기 시작과 함께 유명 잡지에서나 볼 수 있는 사진 기술과 커버스토리 형식을 도입해 시의 정책이나 다양한 소식들을 쉽게 전달할 수 있도록 하고 소식지 규격도 B5 사이즈에서 A4 사이즈로 큰 변화를 주었다.
또한, 소식지에 시가 추구하는 산․학․관 상생협력의 일환으로‘이 달의 기업’ 등 우수기업을 소개하는 한편, 현재 주요 이슈 사항을 재미있는 만화로도 구성해서 게재하고 있어, 다양한 연령층으로부터 호응을 얻고 있다.
시각장애인과 노인 등 정보 취약계층을 위해 소식지 내용을 음성으로 들을 수 있는 음성변환프로그램을 지난 2월 도입해, 소식지 상세내용을 QR코드를 활용해 동영상으로도 볼 수 있다.
또한, 정보화 시대 언제 어디서든 휴대폰으로도 손쉽게 시정 소식을 접할 수 있도록 시 공식 SNS 채널을 통해 제공하고, 경산시 누리집(홈페이지)을 통해서도 매월 새롭게 발간하는 소식지를 볼 수 있도록 게재하고 있다. 이종구기자",http://www.newgbnews.com/news/view.php?idx=307638
경북,"성주 파크골프장, 건전한 체육활동 홍보",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307637
경북,"고령, 1인 가구 공무원 ‘안전한 생활’ 지원",일간경북신문 - 윤기영 기자,2023/05/31,,http://www.newgbnews.com/news/view.php?idx=307636
