제목,저자,날짜,url,내용
"영남이공대, 대구지역 청년 대상 ‘청년이음 일자리박람회’ 성료’",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394210,"영남이공대학교가 지난 1일 오후 천마체육관에서 2023 대구청년 응원프로젝트 ‘청년이음 일자리박람회’를 열었다.대구지역 청년 취업 학·관·산 협의체 주관으로 열린 청년이음 일자리박람회는 대구지역 청년을 대상으로 대구지역 청년실업률 해소와 양질의 일자리 발굴을 위해 마련됐으며 지역 대학생 및 청년 2000여명이 참가해 성황리에 마무리됐다.박람회는 오프라인 채용관뿐만 아니라 온라인 채용관을 운영해 박람회 참여기업의 홍보, 채용 수요 기업의 채용 공고, 실시간 채용정보 등을 제공하고 구직자들의 관심과 참석률을 높였다.박람회는 ▲리쿠르팅 ZONE ▲직무컨설팅 ZONE 등을 통해 기업 인사담당자와의 취업 상담 및 현장 리크루팅, 주요 기업 현직자와의 1:1 컨설팅을 진행하고 구직자의 직무 이해도 및 취업 역량을 강화했다.리쿠르팅 ZONE에는 코오롱인더스트리㈜, 에이치티솔루션, 니카코리아㈜, ㈜화신 등 17개 업체가 직무컨설팅 ZONE에는 기아자동차, LG에너지솔루션, 에스엘, 원덤 그랜드 부산 등 4개 업체가 참여해 구직자들의 직무 이해 및 취업 상담 등을 진행했다.이번 박람회에는 ▲홍보 ZONE ▲응원 ZONE ▲푸드 ZONE 등을 통해 대학일자리플러스센터, 대구고용복지플러스센터 등 대구지역 청년 일자리 및 구직활동 지원 기관을 홍보하고 퍼스널컬러 진단, 취업응원 캘리그래피 등 다양한 프로그램으로 박람회에 참여한 구직자들의 흥미를 끌었다.또 부스에 참여하면 받을 수 있는 스탬프를 이용해 음료 쿠폰, 푸드트럭 이용권, 이벤트 추첨권 등을 지급하고 행사 종료 후에는 추첨을 통해 애플워치, 에어팟, 갤럭시 워치, 무선키보드 세트 등 다양한 경품을 제공했다. 이날 오후 4시 천마스퀘어 1층 컨벤션홀에서는 ‘지역 청년들과 함께하는 일자리문제 현장 설명회’가 진행돼 많은 구직자들이 관심을 보였다. 현장 설명회에는 대구시 경제국장, 직업능력개발팀장, 원스톱일자리지원팀장 등 5명이 대구시를 대표하고, 대구지역 대학일자리플러스센터 4개 대학의 청년 리더 20명이 대학생을 대표하고, 대학일자리플러스센터 추천 청년 5명 취업준비생을 대표해 청년 일자리와 구인·구직활동에 관련된 주제로 자유롭게 의견을 공유하며 소통하는 시간을 가졌다.영남이공대는 지난 3월 대구지역 대학일자리플러스센터 운영 4개 대학, 정부기관, 경제단체와 지역 청년취업 활성화를 위한 학·관·산 협의체 발족식을 진행한 바 있다. 이번 청년이음 일자리박람회 공동 개최를 시작으로 다양한 행사와 프로그램 등을 통해 지역 경제 발전 및 인재 양성에 적극적으로 나설 예정이다.영남이공대 이재용 총장은 “이번 박람회가 대구지역 청년들이 양질의 일자리 획득 및 실질적인 취업 정보 제공의 기회가 되길 바란다”며 “대구지역 청년 취업 학·관·산 협의체와의 적극적인 협력을 통해 대구지역 청년취업률 및 일자리 미스매칭 해소에 최선을 다하겠다”고 말했다."
"대구경북병무청, 사회복무요원 ‘재능기부’ 모범 복무사례 소개",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394209,"대구경북지방병무청이 관내 사회복무요원 중 모범적으로 병역의무를 이행하고 있는 사회복무요원을 선발해 표창하고 있다.대구경북병무청은 배움을 실천하며 복무기관에서 인재로 활약하고 있는 이수범 사회복무요원을 소개했다.이씨는 대학에서 그래픽디자인을 전공하고 2021년 9월부터 장산도서관(경북 경산시 소재)에서 사회복무요원으로 근무하고 있다. 전공을 살려 도서관의 각종 서식류와 안내문을 통일감 있게 교체하고 도서관 홍보 포스터를 만들었다. 특히 ‘월간 추천도서’업무를 맡아 도서관 이용객이 책을 선택하는데 도움을 줬다.도서관 관계자는 “이수범 요원이 곧 소집해제가 되는 것이 아쉬울 정도로 업무에 많은 도움을 줬다""며 ""같이 근무하고 있는 10여 명의 다른 사회복무요원에게도 선한 영향력을 미쳤다”고 칭찬했다. 이씨는 “배운 것들을 토대로 시민들에게 조금 더 쾌적하고 기분 좋은 도서관이 되기 위해 노력했다""며 “어떠한 경험도 무의미한 경험은 없으며 중요한 것은 그 경험을 대하는 우리의 마음가짐이라고 생각한다""고 전했다.임종배 대구경북병무청장은 “병무청에서는 개인 전공을 고려한 복무기관 적재적소 배치로 사회서비스 질 향상을 위해 노력하겠다”고 밝혔다."
"대구 수성아트피아, 마티네 콘서트 `Dear, Dream`",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394188,"수성문화재단 수성아트피아가 8일 오전 11시 대극장에서 올해 마티네 콘서트-Dear, Classic 시리즈 중 첫번째인 ‘6월 마티네콘서트 Dear, Dream(꿈을꾸다)’를 선보인다. 마티네 콘서트는 지난 2007년 개관 때부터 이어오고 있는 대표적인 장수 기획 시리즈로 이번 해 열여덟번째 시즌을 맞이했다. 올해는 ‘꿈을꾸다’ 라는 주제로 6월, 9월, 12월까지 총 3회 공연을 한다. 수성아트피아는 지난해 리모델링 와중에도 마티네 콘서트를 기다리는 지역민들을 위해 한영아트센터에서 이를 진행하기도 했다. 평일 오전 시간을 활용해 다양하고 품격있는 문화 향유를 제공하며 관객들에게 꾸준한 사랑을 받고 있다. 8일 진행되는 시리즈 첫 공연에서는 바이올린 장유진, 비올라 이한나, 첼로 심준호로 구성된 칼라치 스트링 트리오가 현악으로 문을 연다. 글리에르의 ‘바이올린과 첼로를 위한 8개 소품’, 장 프랑세의 ‘현악 3중주’, 베토벤 ‘현악 3중주 c단조’ 등 다채로운 곡들이 관객들을 찾아간다. 이번 시즌 공연 해설은 팬텀싱어Ⅰ의 우승팀 포르테디콰트로 멤버 테너 김현수가 맡았다. 탁월한 곡 해석과 쉽고 편안하면서도 재치 있는 해설로 관객들을 현악의 세계에 더욱 매료시킬 예정이다. 마티네 콘서트는 전석 3만원이며 찾아온 관객들에게는 소담스런 브런치 박스가 제공된다. 예매는 수성아트피아 홈페이지와 티켓링크에서 가능하다."
"대구영웅사랑 적십자봉사회, 임영웅 생일 맞아 취약계층 나눔 실천",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394181,"대구영웅사랑 적십자봉사회가 7일 두류공원에서 대한적십자사 대구시지사와 함께 취약계층 어르신 1000명을 대상으로 행복한 밥상(무료급식) 봉사활동을 펼쳤다.이번 급식은 대구영웅사랑 적십자봉사회의 후원금으로 마련됐으며 봉사원 60명이 참여해 어르신들을 위한 식사를 준비했다.대구영웅사랑 적십자봉사회는 대구적십자 소속 189번째 단위봉사회로 가수 임영웅을 좋아하는 대구 팬들이 모여 봉사와 나눔으로 선한 영향력을 실천해 나가기 위해 지난해 결성됐다.배정희 회장은 “오는 16일 임영웅씨의 생일을 맞아 스타의 선한 영향력을 팬들도 본받아 함께 실천하고 나눔 선순환 문화를 확산하고자 무료급식 지원과 봉사활동을 기획하게 됐다""고 말했다.한편 대구영웅사랑 적십자봉사회는 임영웅 카페로도 알려진 위시(WISH)카페를 통해 매월 정기적인 후원과 빵나눔 활동 등을 실천하는 등 공로를 인정받아 대한적십자사 회원유공장 은장을 수상하기도 했다."
"대구 달성군, 야간경관사업으로 밝고 안전한 거리 조성",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394173,"대구 달성군이 관내 야간경관사업으로 밝고 안전한 도시로 만들어가고 있다.군은 유가읍 테크노폴리스 상가 거리와 다사읍 태왕하이츠 앞 옹벽에 상징적이고 밝은 거리를 조성했다고 7일 밝혔다.유가읍에 설치된 달빛 특화거리는 상권 활성화 및 지역주민에게 활기를 주기 위해 추진했으며 가로를 유가달빛거리라는 네이밍으로 브랜드화 했다.이번 사업은 대구시 2022 골목상권 불야성 사업으로 선정돼 대구시비를 일부 확보해 지난해 11월 시작으로 올해 5월 준공했다.상가가 밀집돼 있는 진입부에 9m 높이의 달을 상징하는 조형물을 설치했고 보행 전용도로와 녹지 구간에 스트링 라이트 및 게이트 시설물로 볼거리를 제공했다. 또 가로등 30곳에 달의 이미지로 만든 둥근 보행등을 설치했다.다사읍 대로변 태왕하이츠 아파트 앞 노후 옹벽 경관개선사업도 야간경관에 초점을 맞춰 개선했다. 높이 5m 길이 150m 옹벽에 낙동강의 굽이치는 강줄기를 모티브로 해 패턴을 형상화하고 물웅덩이 패턴을 넣어 융합과 화합의 의미를 담았다. 최재훈 달성군수는 “달성군 공공디자인진흥계획수립과 야간경관가이드라인 수립 등 체계적인 경관의 지침과 함께 야간경관사업을 점차적으로 확대해 밝고 안전한 달성군을 만들어 나갈 것""이라고 밝혔다."
"달성군, ‘논공 학생야영장’ 활용방안 찾는다",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394172,"대구 달성군이 논공지역에 방치돼 있던 (옛)논공 학생야영장 부지를 매입해 활용하는 방안을 검토하고 있다.7일 군에 따르면 논공 학생야영장은 1995년도에 폐교된 논공초등학교 부지를 교육청에서 학생야영장으로 활용하다 2018년도에 일반에 매각됐다.그 후 학생야영장은 장기간 흉물로 방치돼 미관을 훼손하고 지역발전을 저해하는 애물단지로 전락했다. 이에 따라 군은 학생야영장을 매입할 계획이며 위치 및 주변 여건 등을 고려해 지역 특색에 맞는 최적의 공간으로 활용하기 위한 기본구상 및 타당성 용역을 실시 중에 있다. 최재훈 달성군수는 ""장기간 방치돼 온 논공 학생야영장과 약산온천으로 인해 논공 하리 일대가 지역발전에 어려움이 있었던 점은 사실""이라며 “학생야영장을 활용할 수 있는 최적의 방안을 도출해 지역과 주민들을 위한 공간으로 조성할 수 있도록 최선을 다하겠다""고 말했다."
"대구시, 일본뇌염모기에 물리지 않도록 주의 당부",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394171,"대구시가 대구지역서 올해 처음으로 일본뇌염 매개모기로 알려진 ‘작은빨간집모기’를 확인함에 따라 모기에 물리지 않도록 주의를 당부했다.대구보건환경연구원은 4월부터 10월까지 주 2회 동구 금강로 소재 우사에 유문등(모기 유인등)을 설치 가동해 채집 모기 종별 밀도조사와 일본뇌염 등 모기매개 감염병 원인 바이러스 유무를 조사해 오고 있다. 5일 채집된 모기 중에서 ‘작은빨간집모기’를 올해 처음으로 확인했다.대국 지역은 2022년 5월 12일, 2021년 6월 3일, 2020년 6월 4일에 작은빨간집모기가 첫 채집됐으며 올해 3월 23일 부산과 제주 지역에서 작은빨간집모기가 첫 확인됨에 따라 전국적으로 ‘일본뇌염 주의보’를 질병관리청에서 발령했다.일본뇌염은 예방접종을 통해 예방할 수 있는 감염병이다. 일본뇌염 바이러스를 가진 매개모기에 물린 사람의 극히 일부에서 뇌염으로 진행되며 뇌염이 발생하면 사망률이 높고 회복되더라도 신경계 합병증 발생 비율이 높은 바이러스성 감염병이다.고복실 대구보건환경연구원장은 “가정에서는 방충망이나 모기장을 설치해 모기에 물리지 않도록 하는 게 좋다”며 ""야외 활동 시에는 긴 옷을 입고 모기 기피제를 사용하며 집주변의 웅덩이를 제거해 모기 유충이 서식하지 못하도록 주변 환경관리에도 노력해 달라""고 당부했다."
대구 4차순환도로 개통 후 1년...도심 교통량 분산 효과 `뚜렷`,경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394169,"대구 4차순환도로 개통 1년만에 이용률이 급증하고 이로 인해 도심 내 주요간선도로의 통행량이 감소한 것으로 나타났다.대구시에 따르면 4차순환도로 개통 전과 개통 후의 교통량을 조사한 결과 4차순환도로 교통량이 개통 시 4만6525대/일에서 1년이 지난 올해 5월 기준으로 7만1286대/일로 개통대비 53%가 증가한 것으로 나타났다.교통량 특성으로는 금요일의 교통량이(6만7892대/일) 가장 많은 것으로 나타났고 서변나들목 주변 연경요금소(1만2956대)가 이용률이 가장 높은 것으로 분석됐다.4차순환도로 개통 후 도심 내 혼잡구간의 교통량 감소효과도 큰 것으로 나타났다. 특히 대구시의 주요간선도로인 칠곡중앙대로 14%, 호국로 11%, 동북로 10% 등 동구 및 북구 일대의 도심교통량이 감소한 것으로 나타났고 도심 내 주요고속도로인 신천대로 9%, 도시고속도로(남대구IC~서대구IC)는 8% 감소한 것으로 분석됐다.시는 지난해 7월부터 8월까지 4차순환도로 이용자 426명 대상으로 통행시간 단축정도, 안정성 등 6개 항목에 대한 도로이용만족도(100점 만점) 조사를 벌였다.그 결과 종합 만족도 74점으로 도로의 쾌적성, 안정성, 원활성 부분에서 만족하는 것으로 나타났다. 특히 기존 도로 이용 대비 통행시간 단축 정도가 20분 40%, 10분 39%, 30분 이상 13%로 나타나 통행시간 단축에 대한 만족도가 높았다.반면 4차순환개통으로 교통량이 늘어난 구간도 있는 것으로 분석됐다. 대표적으로 호국로(학정삼거리) 64%, 호국로(국우터널) 30%, 범안로(율하교동편네거리) 6%, 달구벌대로(강창교) 12%가 증가한 것으로 나타났다. 교통혼잡이 발생한 구간에 대해서는 시, 구·군, 경찰청, 도로교통공단, 한국도로공사 등으로 구성된 교통혼잡 신속대응팀을 구성해 혼잡구간에 대해 차로조정, 신호운영 조정, 안전시설 재배치 등 즉각적인 조치로 혼잡을 크게 개선했다.특히 율하교네거리의 경우, 4차순환도로 단속류 구간으로 교통량이 집중돼 교통혼잡이 발생했으나 이용률이 낮은 남북방향 좌회전 차로를 직진차로로 변경하고 신호시간 조정을 조정했다. 또 호국로(학정삼거리), 달구벌대로(강창교네거리)의 경우 교차로 기하구조 개선, 신호시간 조정, 대형차 불법주차단속 등으로 도로의 용량을 증대시켜 교통혼잡을 해소했다. 시는 향후 효율적인 도로망을 구축하기 위해 4차순환도로 전구간 연속류 확보, 고속도로 연결성 강화, 4차순환도로 나들목 신설, 4차순환도로 접근축 혼잡개선, 대구경북신공항 건설 및 대구공항 후적지 개발에 따른 연계도로망 구축, 군위·경산방면의 연계 도로망 구축 등 6개 추진 전략을 수립해 세부적인 계획을 검토할 예정이다.김대영 시 교통국장은 “4차순환도로의 교통량은 꾸준히 증가하는 추세이므로 4차순환도로를 이용하는데 불편함이 없도록 지속적인 모니터링과 도로환경을 개선하겠다”고 말했다."
[동정] 강은희 대구교육감,경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394168,강은희 대구시교육감은 8일 오전 10시 시교육청 행복관에서 열리는 `2023 지능형 나이스 유치원 설명회`에 참석한다. 이어 오후 3시 시교육청 여민실에서 열리는 `2023 대구 미래교육 정책 공모 시상식`에 참석한다.
[동정] 윤석준 대구동구청장,경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394167,"윤석준 대구동구청장은 8일 오후 1시 팔공노인복지관에서 열리는 `2023년 찾아가는 실버 세무교실(2차)`에 참석한다. 이어 오후 3시 불로동도시재생현장지원센터에서 열리는 `불로탁주아카데미 개강식`, 오후 4시 30분 대회의실에서 열리는 `6월 정례회-커피인문학 강연 및 시음`에 참석한다."
