제목,날짜,내용,발행사,링크
"대구본부세관, 미국·인도 진출기업 해외통관애로 해소 지원",2023-04-26 21:14:21+00:00,"대구본부세관이 26일 대구무역회관에서 한국무역협회 대구경북본부와 공동으로 자동차산업 관련 수출업체 임직원 50여명을 대상으로 `FTA 활용 및 원산지 사후검증 대응 교육`을 진행했다.이번 교육은 지역 자동차 산업계가 주요 교역국인 미국의 원산지 조사에 효과적으로 대응하고, 최근 인도에서 빈번하게 발생하고 있는 통관애로를 해소해 관련 기업의 수출경쟁력을 높이기 위해 마련됐다.교육은 자동차산업 품목분류의 이해(최영철 김앤장 법률사무소 전문위원), 인도 통관제도 및 통관애로 대응 방안(김동석 대구본부세관 관세행정관), 미국 통관제도 및 원산지조사 대응방안(이영달 김앤장 법률사무소 전문위원), 원산지증명서 발급 유의사항(김동신 대구본부세관 관세행정관) 순으로 진행됐다.특히 전 인도관세협력관, 관세 로펌 전문위원 등 FTA 및 통상 전문가가 인도의 품목분류 분쟁 사례, 미국 CBP* 검증 동향 등 현지의 통관정보와 이슈, 통관애로 해소의 구체적 사례에 대한 체계적인 설명으로 참석자들의 관심과 호응을 얻었다.대구본부세관 관계자는 “앞으로도 자동차산업 뿐만 아니라 원산지검증에 취약한 중소기업 및 산업군을 대상으로 설명회를 확대하는 등 수출기업이 FTA 활용에 어려움이 없도록 집중적인 지원을 펼칠 예정""이라고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389638
"대구경북병무청·경북대병원, 병역명문가 예우 업무협약",2023-04-26 21:01:40+00:00,대구경북지방병무청이 경북대학교병원과 26일 병역명문가 예우 업무협약을 체결했다. 협약에 따라 병원은 병역명문가 본인과 그 가족에 대해 종합 검진 비용 할인 등 혜택을 제공하고 병무청은 병원이 연구를 목적으로 병무청이 보유한 데이터를 요청할 경우 이를 지원한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389636
"대구 북구의회·광주 북구의회, 고향사랑기부금 상호 기부",2023-04-26 20:43:28+00:00,대구 북구의회가 26일 광주 북구의회와 각각 100만원을 상호 기부하며 고향사랑기부제에 동참했다.차데시 북구의회 의장은 “이번 고향사랑기부금 상호기부를 통해 자매결연을 맺은 광주 북구의회와의 협력과 소통이 한층 더 강화되는 계기가 되고 고향사랑 기부제가 더 활성화됨으로써 지역발전의 밑거름이 되기를 바란다”고 말했다.고향사랑기부제는 지방자치단체 재정을 확충하고 지역 경제 활성화와 지역균형 발전을 도모하기 위해 지난 1월부터 시행 중인 제도다. 개인이 본인 주소지 이외의 지방자치단체에 1인당 연간 500만원 이하의 일정 금액을 기부하면 세액공제와 함께 일정 답례품을 받을 수 있다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389634
"농수산식품유통교육원, 스마트팜·농산물마케팅 전문가 육성",2023-04-24 20:41:36+00:00,"한국농수산식품유통공사(aT)가 농업경영인과 유통산업 종사자를 대상으로 스마트팜 상품화와 농산물마케팅 전문인력 육성을 위해 부산·울산·경남지역과 수도권에서 6개월간 ‘지역별 전문교육’을 위탁 운영한다.이는 aT 농수산식품유통교육원이 운영하는 지역별 전문위탁교육의 일환으로 부산·울산·경남지역은 부산대학교가 오는 10월 27일까지 ‘디지털팜 전문가 과정’을, 수도권 지역은 ㈔농식품신유통연구원과 농협대학교가 오는 10월 25일까지 ‘마케팅리더 과정’을 위탁 진행한다.부산·울산·경남지역 교육거점기관인 부산대학교는 2008년 ‘시설풋고추 CEO과정’ 개설을 시작으로, ‘시설원예 전문가’, ‘스마트팜 전문가’ 등 농업계 최신시설·기술 트렌드를 반영해 고품질 농산물 생산과 마케팅 전략 수립과정을 개설해 위탁교육을 운영 중이다.지난 21일 개강한 ‘디지털팜 전문가 과정’은 채소·과채·화훼 등 다양한 농산물 생산자를 대상으로 ▲농업에 ICT 기술을 접목한 디지털팜 관련 최신이론 ▲스마트팜 생산 농산물의 판로 개척을 위한 전자상거래·스마트스토어 등 온라인 마케팅 전략 수립 ▲포장·가공·6차산업 포함 생산 제품의 상품성 향상을 위한 현장 견학 등 교육생들이 현업에 바로 적용 가능한 실용적인 과정으로 구성돼 기업 매출 증가와 판로 확대에 도움 될 것으로 기대된다.앞서 17일에는 수도권의 농식품신유통연구원과 농협대학교가 공동으로 ‘마케팅리더 과정’을 개강했다. 이 과정은 2004년부터 전국 주산지의 농산업 종사자를 대상으로 운영 중이며 올해는 급변하는 대내외 유통환경에 발맞춘 마케팅 인재 양성을 위해 ▲농산물마케팅·유통이론 ▲사례 연구 ▲현장실습 등 균형 잡힌 커리큘럼으로 교육생들의 현업 적용 능력 강화를 목표로 한다.양인규 농수산식품유통교육원장은 “부산·울산·경남지역은 따뜻한 기후와 풍부한 일조량으로 스마트팜이 확산 중이며 이번 교육으로 스마트팜 산업이 활기를 띠길 바란다”며 “aT는 농업의 미래 트렌드는 물론 마케팅 인재 육성 등 다채로운 교육과정을 개발해 지역별로 특화된 전문인력 양성에 앞장서겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389290
"대경권 이랜드리테일, ‘봄여름 인기상품대전’ 행사",2023-04-24 20:40:30+00:00,"대경권 ㈜이랜드리테일(동아백화점·NC아울렛)이 오는 5월 2일까지 전지점에서 ‘봄여름 인기상품대전’ 행사를 연다.동아백화점 쇼핑점에서는 버커루·나인스텝·인디고뱅크·클라이드·인터크루·행텐·게스 등이 참여하는 영·캐주얼 봄여름 인기상품전을 비롯해 PAT·트레몰로·피에르가르뎅·샙·앤드지·파크랜드·콜핑 등이 참여하는 남성·아웃도어 봄여름상품 특별가전과 루이까스텔·이동수골프·팜스프링·아놀드파마·김영주골프·JDX 등이 참여하는 골프웨어 봄여름 특가상품전 및 클리지·파르베·클라비스·밸리걸·엔비플러스·헤이린뉴욕·보에띠·숲 등이 참여하는 봄여름 이월특가전, 금강제화 균일가대전, 프렐린·웨스트우드·리트머스·바쏘옴므 등이 참여하는 영·여성·남성·아웃도어 봄여름 기획상품대전, 유솔·에꼴리끄·일로딜로·셀덴·밀리밤·인디고키즈·로엠걸즈 등이 참여하는 아동의류 봄여름 인기상품 코디제안전, 안지크·오스본·예다·아르떼·프로그램·크로커다일레이디·모스코나·최복호 등이 참여하는 봄여름 인기상품대전 등을 진행한다. 동아백화점 수성점에서는 레노마레이디·이헌영·비꼴리끄·포라리·모스코나 등이 참여하는 영·여성의류 봄여름 인기상품전을 비롯 레드페이스·웨스트우드·PAT·콜핑 등이 참여하는 남성.아웃도어 봄여름상품 특별가전과 김영주골프·디즈니골프·마코스포츠·링스골프·까스텔바작·올포유·이동수골프·엘르골프·슈페리어 등이 참여하는 골프웨어 봄여름 우수고객 초대전 및 비꼴리끄·행텐·알토·쉬즈미스 등이 참여하는 봄여름 이월특가전, 버버리·구찌·보테가베네타·프라다 등이 참여하는 명품편집샵 럭셔리프리모 해외명품 고객초대전, 밀리밤·인디고키즈·일로딜로·에꼴리에·모이모이깜피·더데이걸·신디키즈·코코리따 등이 참여하는 아동의류 봄여름 인기상품대전 등을 진행한다.또 대경권지점 모던하우스(동아百 쇼핑·수성·강북점/NC 엑스코·경산점)에서는 같은기간 봄여름 인기상품 테마 행사, 배개·슬리퍼/침구/옷장·드레스룸/주방보관용기용품/홈웨어/욕실·청소용품/인테리어가구/침구·식기류 할인행사, 조리도구·도자기식기/조화·아로마/키즈용품 특가행사, 이사·혼수대전 등을 진행한다. 대경권지점 식품매장(동아百 쇼핑·수성·강북·구미점)에서는 지점별 단독 한정 특가상품전, 청과·농산·수산 산지 직송전, 수입 과일·수산물전, 청정호주산·미국산 갈비·등심 모음전, 저지방한우·삼겹살·목심·한우불고기 할인전, 한돈 바비큐 대전, 오프라이스 캠핑·인기 상품전, 부담없이 담아보는 특가장보기, 롯데·국민·농협·동아·대구은행 제휴카드 할인혜택 행사 등을 실시한다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389289
"코레일 동대구역, 유관기관 합동 소방 훈련",2023-04-20 21:16:33+00:00,"코레일 대구경북본부 동대구역이 지난 19일 동대구역 4번출구 및 광장에서 유관기관 합동 소방훈련을 벌였다. 이번 훈련은 역 내 화재 상황을 가정해 유관기관 통보, 관리역 초기대응팀 출동, 부상자 구호 및 대피 훈련으로 신속한 협력을 통한 비상대응 능력 향상을 위해 이뤄졌다.훈련에는 코레일 대구경북본부, 코레일 계열사, 신천119 안전센터, 철도사법경찰대 등 8개 기관이 참여했다.동대구역 초기대응팀은 신속하게 현장에 출동한 후 고객 대피 안내방송, 경찰‧소방 진출입로 확보, 환자 응급조치, 화재 초기 진압, 맞이방·승강장 동선 통제, CCTV 영상 합동 검토 등의 역할을 수행했다.조재욱 코레일 동대구역장은 “주기적인 훈련을 통해 예상치 못한 사고 발생 시 신속하게 대응하기 위해 힘쓰고 있다”며 “봄철 고객이 안심하고 여행하실 수 있도록 열차 안전운행 관리에 최선을 다하겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388910
"대구경북병무청, 산업기능요원 신규편입자 교육",2023-04-20 21:14:13+00:00,대구·경북지방병무청이 20일 오후 청사 대강당에서 올해 신규로 편입한 산업기능요원을 대상으로 맞춤형 교육을 가졌다.이날 교육은 대구·경북지역 170명의 산업기능요원을 대상으로 복무 중 발생할 수 있는 사례 중심으로 교육을 진행했으며 권익보호 및 복무규정 등에 대해 유형별로 소개해 규정에 맞게 자율적으로 복무를 이행할 수 있도록 하는데 중점을 뒀다.또 대구혁신도시 유관기관과의 협업으로 한국가스공사의 노무 전문강사를 초빙해 근로기준법 등 노동관련 규정 및 적용사례를 교육해 병역의무자인 동시에 근로자 신분인 새내기 산업기능요원들에게 실질적인 도움이 되도록 했다.대구·경북병무청은 산업지원인력의 복무부실 예방과 근로권익 보호를 위해 매 분기마다 신규편입자를 대상으로 교육을 진행하고 있다. 이번 교육은 1분기 편입자 345명을 대상으로 21일까지 진행된다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388909
"대구보훈청, 제대군인 위탁교육과정 업무협약 맺어",2023-04-20 21:09:10+00:00,"대구지방보훈청 제대군인지원센터(이하 센터)가 지난 19일 오후 정부대구지방합동청사에서 2023년도 제대군인 위탁교육기관 5곳과 제대군인 위탁교육과정의 효율적 운영에 대한 업무협약을 맺었다. 이번 협약은 제대군인에 대한 맞춤형 전문교육을 실시하기 위한 상호 협력 체계를 구축하고 취업률 향상을 통한 제대군인의 생활안정을 도모하기 위해 추진됐다. 구인·구직 정보교환 등 취업지원 사업 상호 협력, 취업률 제고를 위한 정보교류 및 인적자원 등을 주요 내용으로 협약을 체결했다. 올해 제대군인 위탁교육에 참여하게 된 교육기관은 다산전기학원, 영천드론자격시험교육센터, 미래국방학원, 국제직업능력개발교육원, 포항안전학원이다. 위탁교육은 ▲전기기능사 취득 및 전기공사 실무 ▲초경량비행장치 무인멀티콥터 국가자격증 ▲예비전력관리 ▲(디지털디자인)반응형 웹디자인&웹퍼블리셔 ▲산업안전기사 5개 과정이며 5월말부터 12월까지 각 교육기관별로 수강생을 모집해 진행한다.센터는 올해 2차에 걸쳐(1월, 4월) 제대군인 위탁교육과정 공모를 벌여 자체 선정 심사위원회를 열어 제대군인의 수요와 취업 연계성이 높은 5개 과정을 최종 선발했다. 김윤정 센터장은 “한창 일할 나이에 뜻하지 않게 전역한 제대군인들에게 가장 시급한 것은 취업”이라며 “위탁교육 수강이 곧 취업으로 이어질 수 있도록 노력해달라”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388908
"`지구에게 휴식을`···대구시, 제15회 기후변화주간 운영",2023-04-20 15:09:45+00:00,"대구시가 21일부터 27일까지 ‘제53주년 지구의 날’ 맞아 기후변화주간을 운영한다.올해로 15회째를 맞이하는 기후변화주간은 기후변화의 심각성을 알리고 시민들의 공감대 형성과 탄소중립 생활 실천 문화를 확산하기 위해 ‘#오늘도 나는 지구를 구했다’를 주제로 운영된다.22일에는 ‘지구의 날’을 맞아 오후 8시부터 10분 동안 소등행사가 열린다. 소등행사는 10분 동안 조명을 끄는 실천 행동을 통해 에너지 절약과 동시에 지구에 쉼을 주자는 의미로 진행되는 전국적인 행사다.시는 청사, 공공기관, 디아크, 3호선 신천·금호강 횡단교 등의 주요 상징물, 탄소중립 실천 아파트 등이 동참할 예정이다.22일 중앙로 대중교통전용지구에서 열리는 구의 날 기념행사에서는 기후변화와 탄소중립을 주제로 한 홍보부스 및 각종 체험프로그램이 운영되며 이날 오후 2시에는 탄소중립 골든벨 퀴즈 행사가 메인무대에서 진행될 예정이다.이밖에 ‘기후행동.com’ 누리집(홈페이지)에서는 지난 17일부터 10주간 매주 월요일마다 탄소중립에 관한 퀴즈 풀이 및 상품을 증정하는 이벤트가 진행 중이며 오는 10월 31일까지 7개월간 ‘대구야! 걷!자!’도 운영되고 있다.‘대구야! 걷!자!’는 걷기 또는 자전거 타기를 권장하기 위한 챌린지 프로그램으로 ‘대구올레’와 ‘에코바이크’ 앱을 통해 대구 시민이면 누구나 자유롭게 참여할 수 있다.이정자 시 기후대기과장은 “지구의 날 소등행사, 탄소중립 퀴즈대회, 대구야! 걷!자! 등 기후변화주간 동안 준비된 프로그램에 시민들의 많은 참여를 부탁드린다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388864
"한국장학재단 창업기숙사 입주기업, 두통 완화기 ‘에이크리스’ KC 인증 획득",2023-04-20 13:15:53+00:00,"한국장학재단이 부산청년창업센터 창업기숙사 입주기업 주식회사 피티브로가 개발한 두통 통증완화기기 ‘에이크리스’가 제품 상품화를 위한 마지막 단계인 KC인증(안전‧보건‧환경‧품질 등 분야별 인증마크를 국가적으로 단일화한 국가통합인증마크)을 획득했다고 19일 밝혔다.㈜피티브로는 2022년부터 부산청년창업센터 창업기숙사에 입주해 있는 올해 창업 1년차 기업이다. 기숙사 내 창업 커뮤니티를 활용해 재활전문가, 물리치료사, IT·로봇융합 전문가로 팀을 구성, `Better Health For People`을 가치로 약물 오남용이라는 사회적 문제 해결을 위해 혁신적인 두통 통증완화기기를 개발하고 있다. 지난 3월 KC 인증을 획득한 ‘에이크리스’는 국내와 PCT 특허 출원된 두통 통증완화기기로 휴대형 IoT제어식 SSP이며, 침술을 전기적으로 구현한 침점통증완화 방식을 통해 통증완화 호르몬을 유도하고 근긴장도 완화를 이끌어 내는 제품이다.㈜피티브로는 이 제품 개발 아이디어로 2021년 개최된 ‘제2회 ICT 융복합 기반 치의학 산업 사업화 전국아이디어 경진대회’에서 부산대학교 치의학전문대학원장상을 수상하고, 2022년 한국장학재단 부산청년창업센터 창업기숙사에 입주, 2023년 현재 KC인증을 획득하고 디자인·제작 기술 고도화에 집중하며 제품 출시에 박차를 가하고 있다.㈜피티브로 김태훈 대표는 “창업 활동을 하면서 자원 연계와 아이템 검증, 투자유치에 어려움이 있을 때마다 한국장학재단 부산청년창업센터 창업기숙사 입주생들과의 R&D적 협업과 담당 직원의 많은 행정적 도움을 받았다”며 “부산청년창업센터 창업기숙사는 청년 창업가들과의 네트워킹, 창업자문프로그램 등 다양한 방면으로 창업 활동을 영위하는 데 큰 도움이 되는 곳이다”고 밝혔다.한국장학재단 청년창업센터 창업기숙사는 전국 5개 지역(서울·부산·대구·대전·광주)에 소재하며 창업에 관심이 있거나 창업을 준비하는 대학(원)생들이 창업에 전념할 수 있도록 주거와 창업공간을 무상으로 지원한다. 입주생에게 전문 창업 자문위원을 매칭해 매월 창업 자문을 제공하고 입주생 청년 창업가 간 네트워킹을 지원하는 등 차별화된 청년 창업지원 프로그램을 제공하고 있다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388815
