id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_LBO6,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/LBO6/PROJECT,[],,
jejudsi_RPGP,무장애 여행을 위한 지도 및 데이터 구축,보건・복지,,기간종료," 상세 내용개요장애인여행의 가치는 단순히 여가를 넘어 인간다운 삶, 즉 신장된 인권의 상징이며 비장애인과 기회의 평등성을 공유하게 하는 것입니다. 그러나 비장애인 중심의 여행환경 속에서 신체적, 정신적, 인지적으로 일부 또는 전부의 손상상태에 있는 장애인 여행자는 여행참여와 관련하여 배제된 환경에 놓여있고,이러한 환경은 정보의 접근성 결핍으로 장애인 여행활동의 제약사항으로 작용하게 됩니다. 이러한   문제점을 해결하기 위하여 관광시설의 barrier(장벽)을 명확하게 제시하여 ‘여행 카르테’ 시스템에 따라 이용자가  쉽게  여행정보를 활용할 수 있는 콘텐츠를 구축, 장해가 장애가 되지않는  만족할 수 있는 여행정보 콘텐츠를 제안하고자 합니다.수요자 중심의 관광 정보접근성 확보현재 무장애 관광을 위한 정보는 수요자 중심이 아닌 공급자 중심의 정보로 구성되어 있으며, 단순히 휠체어 접근이 ‘가능하다 불가능하다’로만 되어있는 관광지 정보는 이동약자들에게 정확한 정보전달이 어려움이 있습니다, 휠체어 보장구 이용자라 할지라도 장애의 유형 및 보장구 종류에 따라 접근성이 상이합니다.예를 들어 전동휠체어는 갈 수 있으나 수동휠체어는 접근이 불가능함(경사각도)등의 수요자에게 도움이 되는 실질적인 정보제공이 이루어져야 합니다.이에 무장애 관광지 정보접근성을 높이기 위하여 모든 관광지 정보를 수치화 하여 장애인당사자에게 실질적인 차별 없는 평등한 여행의 기회를 제공하고자 합니다.구성방안수요자 중심의 관광 정보 접근성 구축 : 실 이용자 중심의 관점에서 접근성을 판단할 수 있는 이미지, 평면도, 접근 가능 수치 등 정보 구축VR 디지털 기술을 이용한 디지털 이미지 정보 구축 : 보다 정확한 접근성 정보 전달이 필요한 곳은 VR 기술을 통해 사전 확인이 가능하도록 구축접근성 조사자료를 기초로 접근성을  수치화 하여 정보제공. 지도상에 각도 및 거리를 그래프로 난이도로 표현하고, 이슈 발생 지점(예 : 계단, 바닥면 급경사 등의 이슈지점 체크, 지도에서 이슈에 관한 정보 고지) 등도 상세히 표시하여 장애인의 입장에서 정보를 제공하도록 하겠습니다.",,,,https://jejudsi.kr/issue/RpGP/PROJECT,[],, 관련 자료  다운로드관광약자를 위한 제주 여행지도 [모두를 위한 여행 in Jeju].pdf (25.7 MB)
jejudsi_A8VM,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/A8vM/PROJECT,[],,
jejudsi_A9NE,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/A9ne/PROJECT,[],,
jejudsi_L4NP,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/L4nP/PROJECT,[],,
jejudsi_LJYE,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/LjYE/PROJECT,[],,
jejudsi_1EYY,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1Eyy/PROJECT,[],,
jejudsi_1ZD0,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1zD0/PROJECT,[],,
jejudsi_LJ9K,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/Lj9K/PROJECT,[],,
jejudsi_1DZK,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1dZK/PROJECT,[],,
jejudsi_RVMO,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/RvMO/PROJECT,[],,
jejudsi_1VXX,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1VxX/PROJECT,[],,
jejudsi_AMBZ,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/AmbZ/PROJECT,[],,
jejudsi_1WMR,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1WMr/PROJECT,[],,
jejudsi_LGJ6,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/LGJ6/PROJECT,[],,
jejudsi_ANW2,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/ANW2/PROJECT,[],,
jejudsi_RPGV,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/RpGV/PROJECT,[],,
jejudsi_1VLY,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1VlY/PROJECT,[],,
jejudsi_1DKP,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/1dKP/PROJECT,[],,
jejudsi_AA7B,,보건・복지,,기간종료,,,,,https://jejudsi.kr/issue/Aa7b/PROJECT,[],,
