id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_RB5J,신박한 홍보! V비즈링을 통한 우리 지역 관광정보나 행사 도민참여로 홍보,관광,2022-11-17,기간종료,,"우리지역에 관광정보나 행사정보 등에 대한 광고 홍보를 시대에 맞춰 스마트폰으로 홍보할 수 있는 v비즈링을 활용추천합니다. 우리지역 공무원과 지역단체,  도민들 참여로 지역홍보를 할 수 있습니다 올 상반기에 다른 지역 지자체에서도 v비즈링 활용을 하고 있습니다 올해 신청시 인원 상관없이 sk,lg,kt 3사 등 신청수에 따라 3~6개월 무료 사용가능합니다. V비즈링 안내 영상 https://youtu.be/HSUXFRcd6j4 ",,,https://jejudsi.kr/issue/Rb5J/PROPOSE,[],,
jejudsi_LGG0,제주도 내 폐플라스틱과 재활용운동화를 사용한 ESG운동화 개발,관광,2022-10-06,기간종료,,"신발을 새로 제작하는 것이 아닌 중고 운동화와 제주도 내 페트병을 재활용해 만든 친환경 제품인 운동화끈, 깔창을 활용하여 새로운 가치를 지닌 운동화를 만듦    1000만t 옷·신발 중 70%가 폐기… 전세계 온실가스 배출량의 10%특히 폐 운동화는 섬유와 플라스틱 면등으로 되어 있어 전량 폐기처리. - 패션 산업은 환경오염 주범임. 매년 의류와 신발이 6000만t 넘게 만들어지지만 이 중 70％는 제 주인을 만나지도 못한 채 쓰레기 매립장으로 간다. 생산 과정에서 전 세계 온실가스 배출량 10％ 가까이를 배출한다. 항공과 해운 산업 배출량을 합한 것보다도 높다. - 해마다 전 세계에서 약 1000억 벌의 옷이 만들어지고 330억 벌이 버려진다. 이 헌 옷들이 인도, 칠레, 가나 등 개발도상국으로 수출되는데, 의류 폐기물의 양이 감당할 수 없는 정도가 되면서 이들 나라에 거대한 쓰레기 옷 산이 만들어지고 있다. - 옷은 대체로 중국과 방글라데시의 공장에서 생산돼 미국과 유럽, 아시아 등 소비 국가를 거쳐 중고 의류의 허브라 불리는 칠레에 도착한다. 매년 약 5만9000톤의 헌 옷이 칠레 북부 이키케 항구를 통해 들어온다. 이 중 쓸만한 일부가 의류 상인에게 팔리지만 3만9000톤가량은 아타카마 사막에 그대로 버려진다.특히 재활용이 어려운 신발종류는 대부분 폐기처리 된다.- 전 세계 의류 소재의 재활용 비율은 12% 정도다. 현재 한국에서 버려지는 옷과 신발 중 재활용되는 비율은 13.6%다. 한국인들은 매년 37kg의 옷을 버린다. 반면 한국 내 종이, 유리, 플라스틱 페트병 재활용률은 각각 66%, 27%, 29%다.=>‘DEAD PLANET’는 운동화는 리사이클링 소재를 활용해 3~5년이면 자연에서 완전 분해되는 생분해 소재, 원료부터 생산 및 유통 등 전 과정을 받은 100% 오가닉 소재 등을 적용했다. 신발 박스, 제품 태그 등의 패키지도 100% 재활용 종이로 만들 예정이다. ",,,https://jejudsi.kr/issue/LGg0/PROPOSE,[],,
jejudsi_LX8R,분리수거장 위치 지도가 필요해요!,관광,2022-10-04,기간종료,,집근처에 있는 분리수거장은 다 아시죠? 그런데 관광객은 어떨까요?그래서 쓰레기를 아무곳에나 버리는게 아닐까요? 사실 저도 분리수거장을 찾지 못해서차에 두고 다닐때가 많아요. 쓰레기를 버리고 싶을때  근처의 분리수거장을찾을 수 있는 지도어플이 있다면좀 더 깨끗한 제주를 만들 수 있지 않을까하는생각으로 제안을 해봅니다. ,,,https://jejudsi.kr/issue/LX8r/PROPOSE,[],,
jejudsi_RZJG,우리들의 여행,관광,2022-07-30,기간종료,,"1. 제안 배경 제주도는 인기있는 여행지로 많은 나라의 사람들이 관광을 오는 지역 중 하나이다. 그러나 현재 제주도는 제주어나 제주 문화가 점점 사라져 가는 경향을 보이는 추세이다.그 이유는 제주어나 제주 문화를 원래 제주에서 살던 사람이 아닌 이상 알기 어렵고 알아가는 방법도 적기 때문이라고 생각한다. 이러한 문제 말고도 제주도는 제주도민 간의 빈부격차, 관광으로 인한 쓰레기, 원주민과 이주민 간의 갈등 등등 여러 가지 문제를 겪고 있다. 이러한 문제를 해결하기 위해서 우리 팀이 제안하는 방법은 바로 제주도에서만 얻고 사용할 수 있는 포인트 어플리케이션을 만드는 것이다. 이 어플리케이션을 사용하여 제주도의 문화를 배우거나 다양한 장소를 구경하면서 포인트를 얻을 수 있으며, 그 포인트를 제주도민이 운영하는 가게나 음식집에서 사용할 수 있게 하는 것이다. 그리고 제주도 여행이 끝나 사용하지 못한 포인트는 포인트 기부하기 기능을 통해 제주도 발전의 기여에 사용한다. 2. 해결 방법 우리 팀은 이 포인트를 얻기 위해 ”어떠한 미션을 만들어야 할까“에 대하여 생각을 해보았다. 생각한 결과 다양한 아이디어가 나왔다. 몇 가지 예시를 들면, 첫 번째로 제주어를 배우면 포인트를 주고 그 후에 제주어 퀴즈를 풀어 맞추면 추가적인 포인트를 지급한다. 두 번째로 제주도의 여러 명소를 찾아보는 컨텐츠로 한 지역에 도착했을 경우 GPS를 통해 확인한 후 포인트를 지급한다. 세 번째로 제주 특산 음식을 먹고 후기를 남기면 포인트를 지급한다. 마지막으로 제주도민의 논밭 품앗이, 물질 체험, 한라봉 수확하기 등 제주도민의 생활을 체험해보고 그에 맞는 수당을 포인트로 지급한다. 이러한 미션을 만들기 위해서는 제주도민의 협업이 필요하다고 생각한다. 제주도에 터전인 사람이기 때문에 자신이 사는 지역에 대해서 더욱 자세히 알고 있으며 여러 맛집, 전망이 좋은 장소를 잘 알고 있을 것이라고 예상하는 바이다. 3. 파급효과 현재는 바닷가 앞 예쁜 카페, 분위기 좋은 식당, 화기애애한 게스트하우스만이 수익을 벌어들인다면, 이 서비스를 통해 다양한 장소, 원주민들의 삶의 방식, 울타리가 없는 친밀감을 알아가고 해녀들의 일하는 모습과 논밭을 가꾸는 제주민들의 모습을 엿볼 수 있다. 그저 아름다운 달의 앞면만을 바라보는 것이 아닌 해양쓰레기, 주민간의 갈등, 빈부격차라는 달의 뒷면을 함께 공감함으로써 사람들의 관심이 쏠린다면 선한 행동, 더 나은 정책으로 우리 대한민국의 아름다운 섬을 지켜나갈 수 있다. 백번의 말보다는 보는 것 한번의 파급력은 클 것이다. 가게 주인들에게는 좋은 가시성으로 포인트가 누적되고 있다는 목표성이 강조된 단말기가 있다면 편리하게 사용할 수 있어 어르신들의 참여도 쉽게 이끌 수 있다. 그리고 가볍게 다가가는 서비스로 문물 사용이 어려운 어르신들에게 요즘 젊은이들의 트랜드에 한 발자국 다가가고 포인트 누적을 통해 정부나 자치회에서 받은 혜택으로 어르신들 간의 입소문을 통해 멀리멀리 구석구석의 동네 가게나 전통시장에 퍼질 수 있음을 기대하고 있다.",,,https://jejudsi.kr/issue/RZjg/PROPOSE,[],,
jejudsi_RWJZ,캠핑의자 무인 대여 시스템,관광,2022-07-29,기간종료,,문제도출 제주도에는 바닷가 앞에 접이식 의자를 피고 앉을 수 있는 곳이 많다. 관광객들이 캠핑의자를 가지고 다니기 어렵다. 이걸 어떻게 해결해 볼 수 있을까?   벤치마킹 서울시 따릉이어플을 이용하여 자전거를 1-2시간 빌리는 시스템  적용 캠핑의자 대여 시스템을 주요 해변 지역에 만들고어플을 이용해서 시간별로 빌릴 수 있으면 어떨까?매일 저녁 수거해서 소독 진행 좀 더 자연을 즐길 수 있는 제주만의 가치를 만들 수 있지 않을까요?  ,,,https://jejudsi.kr/issue/RwJZ/PROPOSE,[],,
jejudsi_AKNY,호텔 가격 역제안 시스템,관광,2022-06-20,기간종료,,"친구가 제주도에 놀러온다고해서 대신 호텔을 검색해봤는데가격이 정말 후덜덜이더라고요.코로나 이전에도 이렇게 오르지 않았었는데너도나도 제주도 여행을 하면서 가격이 많이 오른 것 같아요.그런데... 제가 원하는 가격대에 괜찮은 호텔을 찾는다는건시간도 많이 걸리면서도 어려운 것 같아요.그래서 역제안 거래 어플이 있으면 어떨까하는 생각을 해봤습니다. 호텔 예약 어플의 차별성원하는 위치와 숙박날짜 인원수 그리고 지불하고 싶은 가격을기입하면 가능한 숙박업소들이 지원을 합니다.고객은 지원된 여러 숙박업소들중 원하는 곳을 선택하는역제안 호텔예약 시스템입니다. 장점제주도 숙박업소들의 공실률을 줄일 수 있고고객은 원하는 가격에 원하는 위치에 숙박할 수 있는win-win business  벤치마킹크몽, 숨고라는 역제안 어플과미국의 priceline 호텔예약어플을 참고하여 진행이 가능합니다   ",,,https://jejudsi.kr/issue/AkNy/PROPOSE,[],,
jejudsi_LJZE,반려견과 함께하는 제주여행,관광,2022-05-26,기간종료,," 전국적으로 반려견을 키우는 세대가 천만시대라고합니다. 제주도내에서 반려견을 키우는 세대가 늘고있는 추세죠~예전에는 반려견과 함께할수 있는 숙소와 식당,  관광지 및 놀거리가 많지 않았지만 현재는 그 수가 많아졌습니다.  하지만 관련 정보를 찾으려면 많은 발품을 들여야하는 것도 현실~반려견 동반 시설에 관한 정보를 알수 있는 앱 및 맵이 있으면 좋겠습니다.",,,https://jejudsi.kr/issue/LjZE/PROPOSE,[],,
jejudsi_1DPM,관광객에게 최적화된 여행 웨이팅 앱,관광,2022-05-23,기간종료,,"성수기나 연말 등 한참 여행 시즌일 때  관광을 무작정 오면 맛집의 웨이팅은 기본이고 일찍 오더라도 못 먹고 올 때조차 있다. 이럴 경우를 대비하여 가게마다 앱 웨이팅 시스템을 만들어서 지금 가게의 손님이 얼마나 차 있고, 웨이팅 손님은 몇 명인지 대략적 수치를 계산하여 실시간으로 앱으로 웨이팅을 볼 수 있게 만드는 것이다. 그러면 먼 곳에서 직접 가게를 방문하지 않고서도 웨이팅 차트를 보고 시간을 효율적으로 쓸 수 있다. 또한 가게에도 손님이 몰리지 않도록 하여 지역 가게도 균형적으로 장사할 수 있게 만들 수 있다. 그리고 모든 가게가 이를 등록하면 여행자가 알지 못한 따른 가게의 맛집도 홍보되어 찾아가볼 수도 있다.",,,https://jejudsi.kr/issue/1dPM/PROPOSE,[],,
jejudsi_RPQK,제주도 역사 유적지 지도(역사길 걷기),관광,2022-05-20,기간종료,,"오름지도, 올레길지도를 보면서 제주도 역사 관련 유적지와 사적지에 관련된 이야기가 담긴 지도가 있으면 좋겠다는 생각을 했어요.올레길처럼 역사의 길을 걸을 수 있는 지도요~~ 4.3길, 삼별초길, 제주신화길, 제주원도심길등을생각해봤어요.  개인적으로 항몽 유적지를 굉장히 좋아하는데유적지가 예뻐서 관광객들이 많이 오더라고요.가봤다는 사람들은 많이 만나보았지만그 장소에 담긴 이야기를 잘 아는 사람들은 잘 없더라고요.그래서 이런 유적지들에 대한 이야기들이 담긴지도가 있으면 좋을 것 같아요. 물론 역사 유적지를 방문하는걸 재미없어하시는 분들이 많은건 알고 있어요.그런데 제주도 재방문율이 40%가 넘는 것으로 알고 있어요.제주도에서 새로운 것을 찾으시는 분들에게좋은 관광 테마가 되지 않을까 싶습니다. 그리고 제주도의 역사를 알릴 수 있는좋은 방법이라고 생각해서 제안해 봅니다.",,,https://jejudsi.kr/issue/RpQK/PROPOSE,[],,
jejudsi_1WLK,제주도 명소 ASMR 활용 명상 영상 제작을 통한 코로나 시대 간접체험 힐링 콘텐츠 제작 (제주 소도리호다 ),관광,2022-05-16,기간종료,,"‘명상콘텐츠 제주 소도리호다’의 핵심기능 및 소비자 층가. 제주도의 현지 소리를 통해 현대인들의 스트레스 감소시켜 건강한 사회 구현나. IT 기술과 ASMR 기술 등 활용 콘텐츠를 통해 쉽게 제주를 접근할 수 있는 O2O명상 콘텐츠 제공다. 코로나 이후 여행의 부정적 이미를 타파하고 제주에 대한 진입장벽 제거 및진화된 명상 콘텐츠 제공 기업 및 단체들과 협업을 통해 생활 속의 제주 명상보급 ① 코로나 이후 스트레스 받은 시민들에게 명상 보급을 통해 사회의 피로지수 감소→ 사회경제적 기업, 건강한 시민사회② 4차 산업혁명을 활용한 사업 (ASMR, 자막, 콘텐츠영상 등을 활용)③ 명상+ 제주를 통해 제주도 홍보 및 평화로운 제주 이미지 개선④ 향후 명상 콘텐츠를 통한 일자리 창출→ 제주도 내 명상장소 확대, 교육과정의 확산을 통한 혁신성장 분야  ‘명상콘텐츠 제주 소도리호다’의 미션① 제주도 + 명상을 쉽게 접근할 수 있는 어디든 명상공간 제공② ‘명상콘텐츠 제주 소도리호다’를 도입해 언제든 명상서비스 제공 편리성 강화③ IT 기술을 통해 O2O를 연결해 제주도 지역 홍보 혁신 도모  ‘명상콘텐츠 제주 소도리호다’의 비전① 공간을 넘어 누구나 쉽게 명상에 접근할 수 있는 융합 콘텐츠 제공② 국내는 물론 세계를 무대로 제주를 알리는 글로벌 서비스로 확대 ‘명상콘텐츠 제주 소도리호다’ 제주도를 알리고 명상을 통한 평화 이미지 제고 사회적- 4차 산업혁명을 활용해 명상에 접근을 용이하게 함으로써 코로나이후 사회적피로비용 감쇄- 고객들에게 편리한 명상 서비스를 제공해 건강한 제주도 명상 플랫폼으로 향후진화 경제적- ‘명상콘텐츠 제주 소도리호다’ 확산을 통해 제주의 사회경제적 기여- ‘명상콘텐츠 제주 소도리호다’ 를 통해 향후 명상 관련 고용창출 기술적- 기존 명상 관련 콘텐츠 보다 접근이 용이하도록 구조 개발(ASMR)- 명상을 위한 하드웨어(전용 고글 및 이어폰) 개발(시제품 제작 중)- 국내 주요 사찰, 선방, 명승지 등을 소재로 명상 VR 개발(프로토타입 개발) 글로벌진출- 일본 : 명상의 불모지. 계층 간 갈등 심화로 사회적 피로도 높음- 미국 : 현대적 명상의 본류로서 동양의 깊이 있는 명상서비스 보급 시장상황◦ 세계 명상콘텐츠 시장 현황- 세계 1위 Headspace ( 누적 다운로드 3,000만 건 )세계 2위 Calm ( 기업가치 1조 원 이상 – 유니콘 기업 )◦ 국내 명상앱 시장 현황- 마보, 코끼리 ( 누적 다운로드 각 15만 건 )◦ 국내 시장 규모 예측- 기존 명상앱 사용자, 각종 수행단체(단월드, 국선도, 수선재, 마음수련 등) 가입자 등을 종합할 때 100만 명의 기존 시장 및 100만 명의 잠재 고객 예측◦ 국내 명상앱 시장 문제점 및 개선 방안- 단조로운 화면 및 음성 중심의 콘텐츠 제공 → 흥미 유발 실패- VR 영상 제공 및 노이즈캔슬링 기능의 전용 이어폰과 결합→ 재미있고, 현장감 있으며 보다 집중할 수 있는 환경 조성◦ 국내 오프라인 수행단체 문제점 및 개선 방안- 높은 진입장벽 : 비싼 가입비 및 월회비, 통일된 유니폼, 형식화된 프로그램설립자의 신격화등 유사 종교 단체화로 심정적 진입장벽 높음→ 청장년층이 종교와 무관하게 가볍게 들릴 수 있는 카페 분위기 조성버스를 활용하여 손쉽게 명상 체험이 가능하도록 유도(기업체, 학교 등 출장 서비스 제공)",,,https://jejudsi.kr/issue/1WlK/PROPOSE,[],,
