id 값,제목,분류,프로젝트 시작,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_RB5J,,관광,,,,,,https://jejudsi.kr/issue/Rb5J/RESPONSE,[],,
jejudsi_LGG0,,관광,,,,,,https://jejudsi.kr/issue/LGg0/RESPONSE,[],,
jejudsi_LX8R,,관광,,,,,,https://jejudsi.kr/issue/LX8r/RESPONSE,[],,
jejudsi_RZJG,,관광,,,,,,https://jejudsi.kr/issue/RZjg/RESPONSE,[],,
jejudsi_RWJZ,,관광,,,,,,https://jejudsi.kr/issue/RwJZ/RESPONSE,[],,
jejudsi_AKNY,,관광,,,,,,https://jejudsi.kr/issue/AkNy/RESPONSE,[],,
jejudsi_LJZE,,관광,,,,,,https://jejudsi.kr/issue/LjZE/RESPONSE,[],,
jejudsi_1DPM,,관광,,,,,,https://jejudsi.kr/issue/1dPM/RESPONSE,[],,
jejudsi_RPQK,,관광,,,,,,https://jejudsi.kr/issue/RpQK/RESPONSE,[],,
jejudsi_1WLK,,관광,,,,,,https://jejudsi.kr/issue/1WlK/RESPONSE,[],,
jejudsi_17OP,,관광,,,,,,https://jejudsi.kr/issue/17oP/RESPONSE,[],,
jejudsi_R342,,관광,,,,,,https://jejudsi.kr/issue/R342/RESPONSE,[],,
jejudsi_RZ5G,,관광,,,,,,https://jejudsi.kr/issue/RZ5g/RESPONSE,[],,
jejudsi_LGJL,,관광,,,,,,https://jejudsi.kr/issue/LGjl/RESPONSE,[],,
jejudsi_A9Z9,,관광,,,,,,https://jejudsi.kr/issue/A9Z9/RESPONSE,[],,
jejudsi_RYK6,,관광,,,,,,https://jejudsi.kr/issue/Ryk6/RESPONSE,[],,
jejudsi_L4X3,,관광,,,,,,https://jejudsi.kr/issue/L4X3/RESPONSE,[],,
