title,keyword,category,subcategory,predication,departmenet
방치된 개 보상 요청드립니다.,"['방치', '개', '보상']",농업_축산,기타,요청/개선,안전건설과
방치된 개 보상 처리 바랍니다.,"['방치', '개', '보상']",농업_축산,기타,요청/개선,안전건설과
방치된 개 보상 처리해 주시기 바랍니다.,"['방치', '개', '보상']",농업_축산,기타,요청/개선,안전건설과
주택가 골목 내에 대형견이 있어 무서운데 관련 문의합니다.,"['주택가', '골목', '대형견']",농업_축산,동물등록 관련 신고,요청/개선,마산회원구청
주택가 골목에 있는 대형견이 무서워요. 담당부서에서는 조치 좀 해주세요.,"['주택가', '골목', '대형견']",농업_축산,동물등록 관련 신고,요청/개선,마산회원구청
주택가 골목에 대형견이 무서워서 조치를 요청드립니다.,"['주택가', '골목', '대형견']",농업_축산,동물등록 관련 신고,요청/개선,마산회원구청
대형견이 주택가 골목 내에 있어 지나다니기가 무섭습니다. 해결해 주실 수 있는 관련 담당 부서를 연결해 주시기 바랍니다.,"['주택가', '골목', '대형견']",농업_축산,동물등록 관련 신고,요청/개선,마산회원구청
주택가 골목 내에 대형견이 있어 무서운데 관련 담당부서 연결부탁합니다.,"['주택가', '골목', '대형견']",농업_축산,동물등록 관련 신고,요청/개선,마산회원구청
길고양이가 급속도로 늘어나는데 얼마 전에 저희 집 마당에 고양이가 죽어있었습니다. 불편을 겪는데 개선해주세요. ,['길고양이'],농업_축산,기타,요청/개선,마산지도과
길고양이가 너무 늘고 있어서 개체수 조절을 부탁드립니다. 고양이가 늘어나서 불편하니 조치 바랍니다.,['길고양이'],농업_축산,기타,요청/개선,마산지도과
길고양이가 급속도로 늘어나는데 얼마 전에 저희 집 마당에 고양이가 죽어있었습니다. 저 포함 동네분들 모두 어려움을 겪고 있습니다. ,['길고양이'],농업_축산,기타,요청/개선,마산지도과
한달 전부터 계속 농약으로 추정되는 냄새가 불어옵니다. 확인 부탁 드립니다. ,"['농약', '냄새']",농업_축산,기타,문의(질의),의창구청
한달 전부터 농약 냄새가 나는 것 같습니다. 어디서 시작된 냄새 인지 확인 해주세요.,"['농약', '냄새']",농업_축산,기타,문의(질의),의창구청
한달 전부터 농약 냄새가 불어 옵니다. 방문하여 원인 확인 부탁 드립니다. ,"['농약', '냄새']",농업_축산,기타,문의(질의),의창구청
한달 전부터 농약 냄새가 나는데 해당 문의는 어느 부서로 연락 드리면 되나요?,"['농약', '냄새']",농업_축산,기타,문의(질의),의창구청
한달 전부터 농약 냄새가 나는데 상담 가능한 부서 연락처 안내해주세요.,"['농약', '냄새']",농업_축산,기타,문의(질의),의창구청
"얼마 전에 농협에서 국가지원 농약을 무상으로 지원받았지만, 농약이 기존 사용하는 것과 일치하지 않아 농자재 구매 쿠폰으로 대체하여 주시길 요청합니다.","['농협', '국가지원', '농약', '무상', '지원', '농자재', '대체']",농업_축산,기타,요청/개선,진해지도과
"얼마 전에 농협에서 국가지원 농약을 무상으로 받았지만, 농약이 기존 사용하는 것과 일치하지 않아 농자재 구매 쿠폰으로 대체하여 주세요.","['농협', '국가지원', '농약', '무상', '지원', '농자재', '대체']",농업_축산,기타,요청/개선,진해지도과
"농협에서 국가지원 농약을 무상으로 지원받았지만, 농약이 기존 사용하는 것과 일치하지 않아 농자재 구매 쿠폰으로 대체하여 지원해 주세요.","['농협', '국가지원', '농약', '무상', '지원', '농자재', '대체']",농업_축산,기타,요청/개선,진해지도과
"반려동물 등록증을 분실하여 재발급을 원합니다.
인터넷을 통해 재발급을 하려 하였으나 창원시 주소지 관할에서는 할 수 없다고 하여 발급을 어떻게 받아야 하는지 궁금합니다.","['반려동물', '등록증', '분실', '재발급']",농업_축산,동물등록 관련 신고,문의(질의),창원지도과
반려동물 등록증을 분실하여 인터넷을 통해 재발급을 하려 하였으나 창원시 주소지 관할에서는 할 수 없다고 합니다. 발급을 어떻게 받아야 하나요?,"['반려동물', '등록증', '분실', '재발급']",농업_축산,동물등록 관련 신고,문의(질의),창원지도과
"인터넷을 통해 반려동물 등록증을 재발급 받으려 했으나, 창원시 주소지 관할에서는 안된다고 합니다. 발급을 어떻게 받아야 하는지 알고 싶습니다.","['반려동물', '등록증', '재발급']",농업_축산,동물등록 관련 신고,문의(질의),창원지도과
창원시 주소지 관할에서는 인터넷을 통해 반려동물 등록증을 재발급 받을 수 없다고 하는데 발급을 어떻게 받아야 하는지 안내 요청합니다.,"['반려동물', '등록증', '재발급']",농업_축산,동물등록 관련 신고,문의(질의),창원지도과
반려동물 등록증을 재발급을 인터넷을 통해 하려 했으나 창원시 주소 관할에서는 안된다고 합니다. 어떻게 발급을 받아야 하나요?,"['반려동물', '등록증', '재발급']",농업_축산,동물등록 관련 신고,문의(질의),창원지도과
핏불테리어가 입마개를 안 한 채 얼룩무늬 개와 저를 쫓아왔습니다. 핏불테리어라는 맹견을 키울 땐 목줄과 입마개를 해야 하는 거로 아는데 전혀 그런 것도 없이 키우는 게 이해가 안됩니다. 명견견주에게 입마개 부착 등 지도 부탁드립니다. 위치는 경남 #@주소# 건너편 철길을 따라 쭉 걸어가면 영상 속 장소가 나옵니다.,"['철길', '핏불테리어', '맹견', '입마개', '부착', '경남', '목줄']",농업_축산,기타,요청/개선,창원지도과
핏불테리어가 입마개를 안 한 채 얼룩무늬 개와 저를 쫓아왔습니다. 핏불테리어라는 맹견을 키울 땐 목줄과 입마개를 해야 하는 거로 아는데 전혀 그런 것도 없이 키우는 게 이해가 안됩니다. 명견견주에게 입마개 부착 등 안내 부탁드립니다. 위치는 경남 #@주소# 건너편 철길을 따라 쭉 걸어가면 영상 속 장소가 나옵니다.,"['철길', '핏불테리어', '맹견', '입마개', '부착', '경남', '목줄']",농업_축산,기타,요청/개선,창원지도과
핏불테리어가 입마개를 안 한 채 얼룩무늬 개와 저를 쫓아왔습니다. 핏불테리어라는 맹견을 키울 땐 목줄과 입마개를 해야 하는 거로 아는데 전혀 그런 것도 없이 키우는 게 이해가 안됩니다. 명견견주에게 입마개 부착 등 조치를 요청드립니다. 위치는 경남 #@주소# 건너편 철길을 따라 쭉 걸어가면 영상 속 장소가 나옵니다.,"['철길', '핏불테리어', '맹견', '입마개', '부착', '경남', '목줄']",농업_축산,기타,요청/개선,창원지도과
밤이나 새벽 시간에는 잠을 못 잘 정도로 개가 심하게 낑낑거립니다. 동물 학대가 의심됩니다. 확인 후 조속한 조치를 취해주실 것을 바랍니다.,"['개', '동물', '학대', '의심']",농업_축산,기타,요청/개선,창원기술지원과
밤이나 새벽 시간에는 잠을 못 잘 정도로 개가 심하게 낑낑거립니다. 동물 학대가 의심어 신고 합니다. ,"['개', '의심']",농업_축산,기타,요청/개선,창원기술지원과
밤이나 새벽 시간에는 개가 심하게 낑낑거려 잠을 잘 수가 없습니다. 동물 학대가 의심되오니 확인 후 처리해 주세요.,"['개', '의심']",농업_축산,기타,요청/개선,창원기술지원과
동물 학대가 의심되어 신고합니다. 밤이나 새벽 시간에는 잠을 못 잘 정도로 개가 심하게 낑낑거립니다. 확인 후 대책을 마련해 주시기 바랍니다.,"['개', '의심']",농업_축산,기타,요청/개선,창원기술지원과
밤이나 새벽 시간에는 잠을 못 잘 정도로 개가 심하게 낑낑거립니다. 동물 학대가 의심되니 대책 마련이 필요합니다.,"['개', '의심']",농업_축산,기타,요청/개선,창원기술지원과
길고양이에게 밥을 주는 캣맘 문제로 대책 마련을 해주세요.,"['길고양이', '밥', '캣맘', '대책']",농업_축산,기타,요청/개선,창원기술지원과
길고양이에게 밥을 주는 캣맘 문제로 대책을 세워주세요.,"['길고양이', '밥', '캣맘', '대책']",농업_축산,기타,요청/개선,창원기술지원과
길고양이에게 밥을 주는 캣맘들 때문에 고양이 울음소리와 냄새로 힘이 듭니다. 대책 마련이 필요합니다.,"['길고양이', '밥', '캣맘', '대책']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 주위에 길고양이가 너무 많아 불편합니다. 빠른 조치를 부탁드립니다.,"['길고양이', '불편']",농업_축산,기타,요청/개선,창원기술지원과
길고양이가 너무 많아 불편합니다. #@주소# 주위를 방문하시고 조치해 주시기 바랍니다.,"['길고양이', '불편']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 주위에 길고양이가 너무 많아 불편합니다. 빠른 조치 해 주십시오.,"['길고양이', '불편']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 주위에 길고양이가 너무 많아 불편합니다. 빠른 조치 요청합니다.,"['길고양이', '불편']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 주위에 길고양이가 너무 많아 울음소리와 쓰레기 문제등이 발생하여 불편하오니 신속한 조치를 부탁드립니다.,"['길고양이', '불편']",농업_축산,기타,요청/개선,창원기술지원과
올해 광견병 예방주사 일정을 알고싶어요.,"['광견병', '예방주사', '일정']",농업_축산,동물병원/약국,문의(질의),창원기술지원과
"강아지 광견병 접종을 해야 하는데, 올해 광견병 예방주사 일정은 언제인가요?","['광견병', '예방주사', '일정']",농업_축산,동물병원/약국,문의(질의),창원기술지원과
올해 광견병 예방주사 일정을 알고싶어요.어디에 나오나요?,"['광견병', '예방주사', '일정']",농업_축산,동물병원/약국,문의(질의),창원기술지원과
#@주소# 부근 농공단지 부근에서 최근 두 번이나 고삐 풀린 맹견을 목격했습니다. 부근 200m 이내 감계 초등학교가 있어 어린 초등학생들에게 큰 위협이 될까 두렵습니다. 주인을 알 수 없는 맹견을 잡아주세요.,"['농공단지', '맹견', '목격', '200m', '초등학생', '위협', '주인']",농업_축산,기타,요청/개선,창원기술지원과
최근 #@주소# 부근 농공단지에서 두 번이나 고삐 풀린 맹견을 목격하여 신고합니다. 200m 이내 감계 초등학교가 있어 어린 초등학생들에게 큰 위협이 될까 두렵습니다. 주인을 알 수 없는 맹견을 잡아주세요.,"['농공단지', '맹견', '목격', '200m', '초등학생', '위협', '주인']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 부근 농공단지 부근에서 최근 두 번이나 고삐 풀린 맹견을 목격했습니다. 부근 200m 이내 감계 초등학교가 있어 어린 초등학생들에게 큰 위협이 될까 두렵습니다. 주인을 알 수 없는 맹견을 포획해 주세요.,"['농공단지', '맹견', '목격', '200m', '초등학생', '위협', '주인', '포획']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 부근 농공단지 근처에서 두 번이나 고삐 풀린 맹견을 보았습니다. 200m 이내에 감계 초등학교가 있어 어린 초등학생들의 안전을 위협받고 있습니다. 주인을 알 수 없는 맹견을 해결해 주시기 바랍니다.,"['농공단지', '맹견', '200m', '초등학생', '위협', '주인', '해결']",농업_축산,기타,요청/개선,창원기술지원과
#@주소# 부근 농공단지 부근에서 최근 두 번이나 고삐 풀린 맹견을 목격했습니다. 부근 200m 이내 감계 초등학교가 있어 어린 초등학생들에게 큰 위협이 될까 두렵습니다. 주인을 알 수 없는 맹견을 격리해 주세요.,"['농공단지', '맹견', '목격', '200m', '초등학생', '위협', '주인']",농업_축산,기타,요청/개선,창원기술지원과
창원시 성산구 #@주소# 철둑길 건너편 텃밭에서 양봉을 하는데 건너편에 있는 저희 회사 직원들 차량들이 벌 똥으로 엉망이 되고 있습니다. 빠른 조치 바랍니다.,"['창원시', '성산구', '철둑길', '건너편', '텃밭', '양봉', '회사', '직원', '차량']",농업_축산,양봉농가,요청/개선,창원기술지원과
창원시의 성산구 #@주소# 철둑길 건너편 텃밭에서 양봉을 하는데 건너편에 있는 저희 회사 직원들 차량들이 벌 똥으로 엉망이 되고 있습니다. 신속한 처리 부탁드립니다.,"['창원시', '성산구', '철둑길', '건너편', '텃밭', '양봉', '회사', '직원', '차량']",농업_축산,양봉농가,요청/개선,창원기술지원과
"창원시 성산구 #@주소# 철둑길 건너편 텃밭에서 벌을 키우는데, 그로 인해 건너편에 있는 저희 회사 직원들 차량들은 벌 똥으로 피해를 보고 있습니다. 해결책을 제시해 주시기 바랍니다.","['창원시', '성산구', '철둑길', '건너편', '텃밭', '회사', '직원', '차량']",농업_축산,양봉농가,요청/개선,창원기술지원과
"#@주소# 앞으로 지분 면적이 있다면 #@소속#은 #@주소# 2021년 일반농산어촌개발사업 취약지역 생활여건 개조사업으로 리모델링이 가능할 것으로 사료됩니다. 그러나 지분면적이 없다면, 마을회관 리모델링이 가능할지를 문의를 드립니다.","['지분면적', '2021년', '일반농산어촌개발사업', '취약지역', '생활여건', '개조사업', '마을회관', '리모델링']",농업_축산,기타,문의(질의),농업정책과
"지분면적이 없다면, 마을회관 리모델링이 가능할까요?#@주소# 앞으로 지분 면적이 있다면 #@소속#은 #@주소# 2021년 일반농산어촌개발사업 취약지역 생활여건 개조사업으로 리모델링이 가능할 것으로 생각 되는데요.","['지분면적', '2021년', '일반농산어촌개발사업', '취약지역', '생활여건', '개조사업', '마을회관', '리모델링']",농업_축산,기타,문의(질의),농업정책과
