title,keyword,category,subcategory,predication,departmenet
창원시 #@주소# 상수도관 보상 문의드립니다.,"['창원시', '상수도관', '보상']",상하수도,기타,요청/개선,상하수과
창원시 #@주소#의 상수도관 보상을 받고자 합니다. 어디로 문의하면 되는지요.,"['창원시', '상수도관', '보상']",상하수도,기타,요청/개선,상하수과
창원시 #@주소# 상수도관 보상에 대해 문의합니다.,"['창원시', '상수도관', '보상']",상하수도,기타,요청/개선,상하수과
상수도관 보상 관련해 문의가 있습니다. 위치는 창원시 #@주소#입니다.,"['창원시', '상수도관', '보상']",상하수도,기타,요청/개선,상하수과
창원시 #@주소# 상수도관 보상 떄문에 뭘 좀 여쭤보려고요.,"['창원시', '상수도관', '보상']",상하수도,기타,요청/개선,상하수과
창원시 #@주소# 오수관로 배관뚜껑에 문제가 있으니 보수해 주세요.,"['오수관로', '배관뚜껑', '보수']",상하수도,기타,요청/개선,상하수과
창원시 #@주소# 오수관로 배관뚜껑이 깨졌습니다. 확인 후 조속한 보수 바랍니다.,"['오수관로', '배관뚜껑', '보수']",상하수도,기타,요청/개선,상하수과
오수관로 배관뚜껑 보수가 필요해 조치 요청합니다. 창원시 #@주소#를 확인해주세요.,"['오수관로', '배관뚜껑', '보수']",상하수도,기타,요청/개선,상하수과
창원시 #@주소#와 #@주소# 사이의 도로 오수맨홀 주위에 도로 침하가 발생되고 있습니다. 현장 확인 후 도로 복구 조치 부탁드립니다.,"['도로 오수맨홀', '도로 침하']",상하수도,기타,요청/개선,상하수과
창원시 #@주소#와 #@주소# 사이의 도로 오수맨홀 주위에 도로가 침하되는 중입니다. 확인하시고 긴급 도로 복구 조치바랍니다.,['도로 오수맨홀'],상하수도,기타,요청/개선,상하수과
도로 침하를 목격해 제보합니다. 위치는 창원시 #@주소#와 #@주소# 사이의 도로 오수맨홀 주위이고 빠른 조치 요청합니다.,"['도로 오수맨홀', '도로 침하']",상하수도,기타,요청/개선,상하수과
창원시 #@주소#와 #@주소# 사이의 오수맨홀 주위 도로에 꺼짐 현상이 발생했어요. 빠른 시일 내에 정비해주세요.,[],상하수도,기타,요청/개선,상하수과
오수맨홀 주위에 도로가 침하되고 있으니 확인 바랍니다. 현장 확인 후 도로 개선해주세요. 창원시 #@주소#와 #@주소# 사이에요.,[],상하수도,기타,요청/개선,상하수과
구청에 민원 신청 후 방문한 하수도 담당자 말투가 친절하지 않았습니다. 직원 교육 조치를 부탁드립니다.,"['하수도', '담당자', '직원', '교육']",상하수도,기타,요청/개선,상하수과
말투 관련해 직원교육과 관리를 요청합니다. 오늘 구청에 민원 넣어서 온 하수도 담당자 분 때문에 글 올립니다.,"['하수도', '담당자', '직원', '교육']",상하수도,기타,요청/개선,상하수과
오늘 구청에 민원 접수 후 하수도 담당자가 방문해서 짜증 나는 투로 얘기를 했습니다. 직원 태도 관련해 교육 좀 해주세요.,"['하수도', '담당자', '짜증', '직원', '교육']",상하수도,기타,요청/개선,상하수과
"#@주소#과 #@주소# 사이의 도로 맨홀의 소음으로 인하여 낮에는 물론 밤이면 더욱 심하여 극도의 스트레스를 받습니다.
하수관 공사를 하기 전에는 아무런 이상이 없었는데 그 이후 발생하는 소음으로 추정됩니다.
빠른 시일 내에 조치해 주시기 바랍니다. ","['도로', '맨홀', '소음']",상하수도,기타,요청/개선,수도시설과
"#@주소#과 #@주소# 사이의 도로 맨홀의 소음으로 인하여 낮에는 물론 밤이면 더욱 심하여 극도의 스트레스를 받습니다.
하수관 공사를 하기 전에는 아무런 이상이 없었는데 그 이후 발생하는 소음으로 추정됩니다.
빠른 시일 내에 보완 공사 해 주세요.","['도로', '맨홀', '소음']",상하수도,기타,요청/개선,수도시설과
#@주소#과 #@주소# 사이에서 나는 소음 때문에 큰 스트레스를 받고 있습니다. 하수관 공사를 하기 전에는 괜찮았는데 그 이후 발생하는 소음 때문인 것 같습니다. 조속히 해결 부탁드립니다.,['소음'],상하수도,기타,요청/개선,수도시설과
"#@주소#과 #@주소# 사이의 도로 맨홀의 소음으로 인하여 낮에는 물론 밤이면 더욱 심하여 극도의 스트레스를 받습니다.
하수관 공사를 하기 전에는 아무런 이상이 없었는데 그 이후 발생하는 소음으로 추정됩니다.
빠른 시일 내에 정비 부탁 합니다.","['도로', '맨홀', '소음']",상하수도,기타,요청/개선,수도시설과
하수관 공사로 인한 도로 맨홀 소음 때문에 스트레스가 심합니다. #@주소#과 #@주소# 사이 쪽인데 빠른 시일 내에 대책을 마련해주시기 바랍니다.,"['도로', '맨홀', '소음']",상하수도,기타,요청/개선,수도시설과
파손된 맨홀 수리를 해주시기 바랍니다. 위치는 성산구 #@주소# 하천 옆이고 태풍 때 비가 많이 와서 손상되었습니다.,"['태풍', '파손', '하천', '성산구', '맨홀']",상하수도,기타,요청/개선,상하수과
