지역명,제목,내용,작성일자,답변,답변일자,담당부서
양산시,양산 시민에 피해를 주면서 아파트 건설사에게 특혜를 주는 것에 반대합니다.,"물금읍 가촌리971번지 일원의 부지에 민간사업자가 지하4층 지상20층 높이의 311세대 아파트 건설을 추진중이라고 합니다.
민간 사업자가 자기 돈으로 아파트를 짓는 것을 문제 삼으려고 하는 건 아닙니다.
다만, 해당 지역에서 불과 10미터 떨어진 곳에 900세대나 되는 아파트 주민들이 살고 있다는 겁니다.
해당 지역은 높은 지대에 위치해 있어서, 해당 지역에 20층 짜리 아파트가 들어서게 되면, 900세대에 달하는 아파트 주민들은 하루 종일 햇빛을 못 보게 됩니다.
고층에 살고 있는 주민들도 해당 아파트가 들어서면 햇빛 뿐만 아니라 아름다운 오봉산 경치를 못보게 됩니다.
또한, 해당 지역은 900세대가 넘는 아파트 주민들이 도서관, 국민체육 센터를 이용하는데 다니던 길과 1292세대나 되는 동일 스위트 아파트, 가촌 휴먼시아 아파트 등에 거주하는 초등학교 학생들의 유일한 통학로가 사라지게 됩니다.
뿐만 아니라 건설 과정에서 발생하는, 소음 공해, 먼지 공해, 건설 차량의 통행으로 시민들의 안전과 건강이 무척 걱정 됩니다.
2018년 나동연 시장 때 양산 시민들을 위한 체육 시설을 짓기로 한 해당 부지가 민주당 시장으로 바뀌자 건설사의 배를 채우는데 활용하게 되어 무척 마음 아픕니다.",2021-04-20,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2104-0877970)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원사항을 검토한 바, 『물금읍 가촌리 971번지 일원 상 주택건설사업계획승인 신청건 승인 반대』에 관한 것으로 판단됩니다.

3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
- 우리 시 물금읍 가촌리 971번지 일원 상 신청된 주택건설사업계획승인건에 대하여 현재 관계부서(기관) 협의 및 검토 중으로 향후 도시관리계획 결정(변경), 도시계획위원회/건축위원회 심의, 관계부서(기관) 의견 조치, 관계법률 적합여부 등 복합 검토하여 승인여부 결정할 예정입니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 양산시청 공동주택과(☏055-392-3053)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-04-26,공동주택과
양산시,천성산스포츠파크 직장인을 위한 야간운동 가능한곳으로 변경해달라,"상북면 석계리 산23 일원에 조성한 천성산스포츠파크 테니스코트 사용할수 있도록 조치 부탁드립니다.

2020년 12월 18일 준공 . 총사업비는 108억4천만원으로, 2019년 12월 착공. 2만3천147㎡ 면적에

축구장 1면과 족구장 1면, 테니스장 2면, 주차장(68대), 관람석(축구장 390석) 등을 갖췄습니다.

천성산스포츠파크 조성에 따라 생활체육 활성화, 동계훈련과 각종 체육행사 유치에 따른 지역경제 활성화 등 여러방면으로 시민들에게 도움이 되는 곳입니다.

21년 1월 까지 상북면 주민자치센터 테니스 코트에서 몇년간 지속적으로 운동을 해왔습니다.

21년 2월 부터 테니스 코트 공사 관계로 천성산 스포츠 파크 테니스 코트로 이전 하게 되었습니다.

그리고 2월 25일 테니스장 야간사용 금지

이유인즉 체육시설 등옥이 안되어서 조례 계정이 없으므로 야간운동이 불가능하다

3월달에 시설등록및 조례 계정후 운동가능하다는 통보를 받았습니다.

2개월이 지난 지금 까지도 어떠한 조치가 안되었습니다.

직장인이 으로서 야간 운동만 가능합니다.

생활체육 시설 준비를 하면서 조례 계정이 아직도 안된다는건 이해할수가 없습니다.

지역경제 활성화 를 위해서 빠른 조치 부탁드립니다.",2021-04-21,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 『천성산스포츠파크 야간개장 요청』으로 판단됩니다. 체육시설의 운영 시간 및 관리 방안 등에 대하여 현재 내부검토 과정에 있으며 빠른 시일 내에 시민들의 체육시설 이용에 불편함이 없도록 하겠습니다.

3. 기타 문의 사항이 있을시 상북면행정복지센터 총무팀(☏055-392-7203)으로 연락 주시면 성실히 답변 드리겠습니다. 끝.
",2021-04-27,상북면
양산시,도로보수 후 포장면이 또 갈라지기 시작합니다.,"안녕하십니까
지난 3월 말 물금읍 경민아파트 후문에서 경동메르빌로 가는 이면도로의 도로상태가 위험해서 도로보수를 요청했었습니다.
현재 그곳은 브라운스톤 아파트 공사중이라 아파트 공사와 무관하지 않다고 생각했고 민원 신청 후 신속하게
시공사에서 도로보수를 진행해주셨습니다.
제가 첨부한 사진을 보시면 아시겠지만 포장 후 하루 지난 후부터 도로 포장면에 금이 가기 시작하더니
한달도 되지 않은 시간에 이미 많은 부분이 파손되어 도로면에 단차가 생기고 아이들 발이 빠질만한 구멍이 생기기 시작했습니다.
어두워지면 사고가 나도 이상하지 않은 상태가 되어버렸습니다. 저도 자칫 발이 꺾일뻔했기에 아이들의 통학로이기도 하고 주민들이 이용하는 도로가
다시금 위험한 상태가 되어버렸습니다.
단순 도로포장을 해서는 안되는 것 같으니 다시 이런 일이 발생하지 않게 근본적인 원인을 잡아내서 처리해주시면 감사하겠습니다.",2021-04-22,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2104-0965074)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 『양산물금브라운스톤 아파트 재건축 공사장 인근 도로 균열 관련 보수 요청』에 관한 것으로 판단됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 해당 공사장 인근 도로에 대하여 시공사에 안정화 작업 및 재포장 등 보수작업을 빠른 시일 내에 하여 향후 안전상 문제가 발생하지 않도록 조치할 것을 통보하였음을 알려드립니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 양산시청 공동주택과(☏055-392-3053)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-04-26,공동주택과
양산시,인도의 위험물,사람들의 이동이 많은곳입니다. 자전거를 타고가다가 차도로 내려가서 사람들이 피해다닙니다. 공사를 하더라도 다른 사람들에게 피해는 주지말아야죠. 인도 단속좀 해주시면 감사하겠습니다,2021-04-24,"1. 평소 시정발전에 많은 관심 가져주셔서 감사드립니다.

2. 귀하께서 2021.04.24.일자 신고하신 민원건(접수번호 : 2AA-2104-1096986)에 대하여 아래와 같이 답변 드립니다.

○ 귀하께서 제출하신 민원의 내용은 가촌리 1280-4번지 일원 공사자재 적치에 관한 것으로 판단됩니다.
○ 우리시 가촌리 1280-4번지 일원 공사 자재 적치 단속과 관련하여 현장 확인 결과 공사자재는 사유지에 위치하였으나 추후 공사 진행 시, 보도 통행에 방해되지 않게 통제할 수 있도록 행위자에게 계도하였습니다.
○ 추가적으로 지속적으로 순찰하여 통행에 방해되지 않도록 조치하겠습니다.

3. 기타 문의사항이 있을 시 우리 시 도로관리과 도로운영팀(☎055-392-2755)으로 연락주시면 자세히 설명 드리도록 하겠습니다.
",2021-04-27,도로관리과
양산시,수소충전소관련,작년에 연기한 수소충전소 4월에서 5월로 연기했는데 아직 올해 공사진행상황을 어디에도 찾아볼수가 없고 연기때마다 여러가지 이유를 제시했는데 이번에는 꼭 5월에 완공하겠지요....,2021-04-25,"평소 시정 발전에 협조해 주신 데 감사드리며, 귀하께서 국민신문고에 게재하신 민원과 관련하여 아래와 같이 답변 드립니다.

1. 먼저 수소충전소 구축이 지연됨에 따라 수소차 이용에 불편을 드린 점 사과드립니다.

2. 구축을 위한 행위허가 승인 등 사전절차 이행과 건축 착공에 따른 안전검토로 지연되고 있음을 양해해 주시기 바라며 빠른 준공을 위해 최선을 다하겠습니다.

3. 기타 궁금한 사항은 양산시 기후환경과(055-392-2603)로 문의하여 주시면 성실히 답변 드리겠습니다. 끝.
",2021-04-28,기후환경과
양산시,★ 반복되는 민원의견 무시를 고발합니다. ★,"■ 집앞 공사 시간 및 소음으로 지속적으로 민원을 드렸으나,
무시되고 있어 글을 납깁니다.

1. 평일 저녁 7시가 넘은 이시간도 공사를 하며 철소리, 쇠소리, 철근자재 떨어뜨리는 소리, 망치소리, 쿵쿵 울리는 소리
계속해서 들리고 있습니다.
직장인들 퇴근하고 와서 이제쉬거나, 잠이라도 일찍 자거나 아프면 TV도 켜지 않는 경우가 많습니다.
도대체 언제까지 참아야 하나요????
공무원들 바쁘겠지,, 처리해주겠지.. 이러면서 참고 주말에도 집에서 일부러 나갑니다.
강력하게 확인 부탁드립니다.

2. 분명 담당자 분이 토요일,일요일 공사 하지 않는것으로 확답받았다고 하였습니다.
사람 놀리는 것도 아니고, 토요일은 당연히 공사진행하고,
일요일도 새벽 6시부터 저녁 6시까지,.. 지금 업무처리 하고계신거 맞습니까?
전화줘서 시민들에게 무조건 달래기만 하면 끝인가요?
주말에 일부러 집에서 나가야 합니까? 내 집에 살면서?
심지어 어제는 너무 시끄러워서 나갔다 들어와도 계속 공사중이였습니다.(일요일)
공사현장쪽이 너무 일방적으로 진행하는걸 막아주셔야죠. 말로만 하지 마시구요.

시정될때까지 요청하겠습니다
확인 부탁드립니다.",2021-04-26,"국민신문고 민원(1AA-2104-1120184)에 대해 다음과 같이 답변코자 합니다.

1. 먼저 귀하께서 인근 공사장 소음으로 불편을 겪은데 대하여 죄송스럽게 생각하오며, 「소음진동 관리법」에 따라 공사장에서 브레이커나 콘크리트펌프등의 특정장비를 사용하는 공사시간을 규제하고 있을뿐 그 외의 작업시간을 규제하고 있지는 않은 실정임을 알려드립니다.

2. 하지만 거주민의 생활불편을 감안하여 현장소장으로 하여금 일요일 작업은 지양하고 그 외 평일에도 이른아침이나 18시 이후의 늦은시간대 작업은 지양하고, 작업시 건축자재를 던지거나 큰소리로 얘기하는 행위등 불필요한 소음이 발생치 않도록 관리할 것을 행정지도 하였습니다.

3. 아울러 원하시는 날과 시간대에 소음측정 요청하시면 소음측정을 통해 생활소음 규제기준 준수여부를 확인할 수 있음을 알려드리오니 참고하여 주시기 바랍니다.

4. 기타 소음관련 문의사항이 있으실 경우 기후환경과 환경지도팀(☏055-392-2632)으로 문의하여 주시기 바랍니다. 끝.
",2021-04-30,기후환경과
양산시,상북면 대우마리나 인근 고무 타는 냄새 조사 및 해결 바랍니다.,"올해부터 상북면 감결마을 근처 공장에서 고무 타는 악취가 심하게 발생하고 있습니다. 특히, 오후 특정 시간대에 마스크를 쓰고도 숨쉬기 힘들 정도로 냄새가 심하여 외출이나 산책에 큰 불편을 겪고 있습니다. 특히 올해부터 냄새가 심해져, 2월 22일 전화로 환경과에 민원 제기를 하였으나, 두 달이 넘은 지금까지도 아무런 답변이나 진행 상황 통보를 받지 못하고 있습니다. 10년전쯤에도 이와 비슷한 냄새가 나 특정 공장에 시정이 이루어진 것으로 알고 있는데 최근에는 그 때보다 더욱 냄새가 자주, 심하게 나고 있습니다. 특히, 올해부터 이러한 냄새가 심해진 이유와 원인, 어느 공장에서 이러한 냄새가 발생하는 지를 철저히 조사하고 진행 상황과 해결 방안에 대한 답변 부탁 드립니다.",2021-04-27,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 처리결과를 아래와 같이 알려드립니다.

2. 우선 귀하께서 주거지 인근에서 감지되는 악취로 인해 불편을 겪고 계신 점에 대해서 죄송스럽게 생각합니다. 언급하신 고무 타는 냄새는 인근의 고무제품제조 사업장에서 발생되는 것으로 추정되며 현재 해당 사업장에서 발생하는 악취를 포집하여 악취검사기관에 의뢰한 상태입니다. 추후 배출허용기준 준수 여부를 확인하여 초과 시 그에 따른 행정조치를 진행 할 예정이며 기준 이내로 측정될 시에도 지속적으로 사업장 지도‧점검하여 시설개선을 적극적으로 유도하겠습니다.

3. 상기와 같은 조치에도 주거지와 사업장과의 이격거리가 가깝다 보니 악취를 완전히 줄이는 데에는 많은 어려움이 있습니다. 이에 우리 시에서는 취약시간 대 실시간으로 악취도를 확인 하기 위해 상반기 중으로 악취통합관제센터를 구축할 예정이며 해당 사업에는 고무제품제조 사업장들도 포함되어 있습니다. 악취관제센터의 구축으로 악취가 즉각적으로 사라지는 건 아니나 모니터링 결과 값을 토대로 악취 발생이 빈번하고 악취의 농도가 높은 사업장을 중심으로 취약시간(새벽‧야간) 대 환경순찰 및 악취포집을 진행하여 악취를 저감할 수 있도록 노력하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 민원 답변 내용과 관련된 추가 질문이나 설명이 필요하신 경우 양산시청 기후환경과(악취대응팀 ☎055-392-3654)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2021-04-30,기후환경과
양산시,양산시는 코로나 확진자 동선을 왜 표기 안해주죠?,"다른 지역은 코로나 발생원인이 어딘지 문자로 다 표기 해주는데 왜 양산시는 표기 안해주나요?
확진자 동선도 문자로 오지도 않네요
조심해야하는 상황인데 어디서 발생했는지 경로가 어떻게 되는지 왜 문자로 안보내주나요?
경로가 어딘지 모르고 홈페이지 들어와서 일일이 확인해야 합니까?
바로바로 확인이 되야 조심할 수 있는 부분인데 전혀 변하지가 않네요
제발 문자로 어디서 확진자가 나왔는지 확진자 이동 동선 알려주세요
불안해서 식자재도 사러 못가겠네요",2021-04-28,"평소 시정발전에 관심을 가져주셔서 감사드리며, 귀하의 국민신문고 민원에 대한 답변을 아래와 같이 드립니다.

- 재난문자의 경우 발송 시 글자수가 제한되어있어 한정적인 정보를 담을 수 밖에 없음을 알려드리며, 감염경로(접촉자, 해외입국자, 조사중 등)에 대한 내용은 이미 안내되고있습니다.
확진자의 동선과 거주지 등에 대해서는 중앙방역대책본부의 확진환자의 이동경로 등 정보공개 지침에 따라 확진자의 이동경로는 역학적이유, 확진자의 사생활 보호 등의 다각적 측면을 고려하여 감염병 예방에 필요한 정보에 한하여 공개하게 되어있으며, 성별, 거주지 등 개인을 특정할 수 있는 정보는 공개하지 않게 되어있습니다. 확진자의 이동동선 등을 공개 하는 것은 분류되지 않은 접촉자를 찾기 위함이며, 확진자의 거주지는 코로나19 확산과는 무관함으로 개인정보 보호를 위하여 공개하지 않음을 알려드립니다. 타 자자체에서 거주지를 안내해준다는 오해가 많으나 인근지역인 울산광역시와 부산광역시가 경상남도와 동일한 광역지자체로 예를 들어 부산광역시 동래구 0명 발생 내용은 경상남도 양산시 0명 발생 내용과 동일함을 알려드립니다.
최근 전국적인 코로나19 감염 확산으로 인하여 시민분들께서 불안감을 느끼고 계실 것으로 압니다. 우리 시에서는 확진자 발생시 이동동선을 파악하고, 해당 동선내의 CCTV 등을 검토하여 접촉자 분류를 하고, 방역을 하는 등 확산방지를 위하여 노력하고 있으며, 앞으로도 최선을 다하겠습니다.
귀하의 요청에 만족스러운 답변이 되었기를 바라며, 이후에도 불편사항이 있으신 경우 양산시청 안전총괄과 사회재난팀(055-392-2833)으로 연락주시면 성실히 답변드리겠습니다.

붙임 민원신청서 1부. 끝.
",2021-05-07,안전총괄과
양산시,양산시 웅상출장소 건축과 횡포와 관련하여,"양산시 웅상출장소 건축과의 일방적 횡포에 대하여
첨부와 같이 진정하오니 확인하여 주시기 바랍니다",2021-04-30,"우리 시정 발전을 위한 협조에 감사드리며, 2021.05.03.일자 국민신문고 접수민원(신청번호 1AA-2104-1303387)에 대한 검토 결과를 다음과 같이 알려드립니다.

1. 귀하의 민원내용은 '덕계동 724-86번지 일원 상 건축 공사현장'에 관한 것으로 판단되는 사항으로,

2. 건축허가 당시 허가조건 상 사업으로 발생되는 민원은 책임지고 해결하여야 하며 피해가 발생할 시에는 피허가자가 책임을 지고 해결하여야 한다고 명시되어 있기에 공사로 인한 인근 주민의 피해사항에 대하여는 피허가자가 해결하여야 할 사항으로 사료되며,

3. 당시 분양신청사항에 대하여는 신청서상 보완사항(신청서 수정(건축주) 및 관련서류 첨부 등)이 있었으며 당시 신청인이 사후 보완 제출을 사유로 취하신청하였음을 알려드립니다.

4. 그리고, 현재 사용승인 신청중인 공사현장으로 현장대리인 및 감리자에게 확인한 바, 도색작업은 색상변경 없이 작업하였으며 현장대리인 및 감리자가 현장에 상주하여 공사현장 관리하였음을 알려드립니다.

5. 또한, 공사현장의 경계복원측량을 3월경 실시하였음이 확인이 되며, 귀하의 민원사항을 시공사 및 감리자에게 전달하여 다시금 귀하의 민원사항을 점검하여 이상이 없이 할 것과 인근 민원의 불편함이 발생하지 않도록 현장관리에 철저를 기할 것을 통보하였음을 알려드립니다.

6. 기타 궁금하신 사항이 있을 경우 우리 시 웅상출장소 허가과(☏055-392-6243)로 문의하시면 성실하게 답변드리겠습니다. 끝.
",2021-05-12,허가과
양산시,코로나 확진자 동선,"4월28일에 확진자동선에 안전문자뜬 양산할매국시입니다
21일에 다녀갔고 26일에검사해서 27일에 확진받은사람의 역학조사가 무려 근 일주일 전인곳까지 이루어지고 그리 협조해서 연락취하고 같이 조사 하고 했는데도 불구하고 전체문자를 통해 상호공개로 인해서 피해가 큽니다 뭐 여기까진 벌써 일어난 일이니 어쩔수없는데 다시한번 안전문자로 검사받은 직원들 음성판정과 소독완료 문자좀 해달라고 몇군대나 전화 했지만 모두 다른 부서로만 연결만해주시고 메뉴얼에없다 아마 안될거다 어디로 전화 해보시라 라는 답변만 돌아오니 너무 답답해서 이리 적습니다 수고 많으시지만 이렇게 힘든 시기에 더 힘들어져서 답도 없는 상황을 이해해주시면 좋겠습니가",2021-04-30,"1. 귀하의 건강과 행복을 기원 드리며, 국민신문고를 통해 신청하신「코로나 확진자 동선」민원에 대하여 다음과 같이 답변 드립니다.

2. 귀 업소에 대하여는 코로나19 확진자의 역학조사 과정에서 출입이 확인되어 현장 조사가 이루어 졌으며 조사기간은 확진자의 의심증상 발현일이 4월23일임에 따라 그로부터 2일 전인 4월21일부터 조사 기간으로 설정하여 출입자 확인 작업을 실시하였습니다.

3. 하지만 귀 사업장의 경우 출입자 명부 미작성 등 관리 소홀로 인해 역학조사 과정에 많은 애로가 있었으며, 최종 확진자의 밀접접촉자로 분류된 두 테이블 손님을 찾지못해 부득이 동선 공개한 바 있습니다.

4. 또한, 정부지침인 「지자체 코로나19 재난문자 운영 매뉴얼」에 의하면 종사자 검사 결과 음성 및 소독 완료 등의 내용은 송출 금지사항으로 규정하고 있어, 규정상 안내 불가함을 알려드리니 이해하여 주시기 바랍니다.

5. 아울러, 우리시는 코로나19 총력대응을 위해 부서책임제를 도입하여 방역수칙 준수여부에 대하여 이행‧점검을 강화하고 있으니 이후 방역수칙 미준수로 인한 영업상의 불이익을 받지 않도록 업소 관리에 만전을 기하여 주시기 바랍니다.

6. 기타 더 궁금하신 사항이 있으시면 보건행정과 감염병대응팀(☎055-392-5222)으로 연락주시면 성실히 답변 드리겠습니다. 감사합니다.
",2021-05-11,보건행정과
