제목,내용,작성일자,답변,답변일자,담당부서
노인맞춤돌봄 생활지원사 교통비.통신비.연차수당 지급해주십시요!,"안녕하십니까?
저는 경남 양산시 삼호동에 위치한 웅상노인복지관 노인맞춤돌봄 생활지원사로 현재 웅상노인복지관에서만 3년차 재직중인 생활지원사입니다.
작년에는 지급되었던 교통비와 통신비와 연차가 올해는 교통비,통신비가 지급되지 않고 연차도 3개 권역이 회의하여 5개 까지만 지급하는 것으로 통일했다고 합니다. 노인맞춤돌봄 생활지원사에 대한 처우를 매년 말씀드리는데, 돌봄종사자 전원에게 지급되어야 말이 없다는 답이 와서 통과조차 못되었습니다.
요양보호사 선생님들은 최근 정부와 지자체에서 추가 수당을 받았고 정부에서도 처우개선이 많이 개선되었다고 들었습니다.
요양보호사 선생님들보다 더 많은 대상자를 담당하고 업무상 교통비와 통신비가 발생함에도, 요양보호사분들께서 받으시는 차량비나 시청에서 지급되는 기타수당도 없이 저희는 월급만 받고 올해를 마무리 해야합니다.
저희는 같은 요양보호사 자격증이 있지만 생활지원사라는 이유로, 다른 돌봄종사자들이 민원을 제기할 수 있다는 문제때문에 아무런 보호나 지원을 받지 못하고 올해 마지막 3년을 마무리 해야합니다. 근로기준법이라는 법이 있음에도 법적으로도 보호받지 못하는데 업무의 만족도와 성취감을 느낄 수 있을까요?

첫번째) 2022년 기준 근로기준법에 60조에 나와있듯이 5인이상 사업장은 1년이상부터 연차지급을 해야함이 명시되어 있습니다.
2020년에는 남은 연차 하나도 줄수 없으니 무조건 다 쓰라고 강력하게 요구하여 쓰다가, 부당한 것 같아 민원을 넣어 남은 몇개의 연차를 받았고, 2021년에는 남은 연차를 다 받을 수 있었습니다.
최근 회의에서 올해 남은 연차는 경남 양산 3개권역기관에서 5개까지만 지급하는 것으로 결정이 되었다며, 5개 이상은 올 연말에 줄수 없다고 하십니다. 부당한 것 같아 여쭤보니, 원래 하나도 못받는 건데 5개라도 챙겨주는것이 다행이라고 생각하라는 말을 들었습니다.
올해가 다 지나지 않았음에도 3년간 일한 직장에서 제게 부여된 남은 연차를 받을수 없다고 합니다.
제게 주어진 남은 연차를 5개로 돌려받는 것으로 감사하게 생각해야 하는 겁니까?

두번째) 근로기준법 제60조(연차 유급휴가) ① 사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다.
현재 3년차인데 2년이상이 지났음에도 연차가 1년이 경과한 작년과 올해 연차가 11개라고 합니다.
같은 양산에 3개권역 중 신생원에서만 15개로 인정되고, 자비원과 저희는 말이 없어서 문의를 드리니 신생원은 재가센터라서 가능한것이고,
저희는 재단자체가 달라서 안된다고 합니다. 민간기관인 재가복지센터에서는 가능한데 시에서 주관하는 공공기관과 같은 복지관에서 재단이 달라 1년이상 근무자에 대한 근로기준법이 적용이 제외가 되는 것이 전혀 이해가 되질 않습니다.

(근로자참여 및 협력증진에 관한 법률) 30인이상의 근로자를 사용하는 사업장은 노사협의회를 설치해야하는 의무가 있습니다.
웅상노인복지관 전체 근무자 인원은 60명 가까이 되며, 노인맞춤돌봄 생활지원사는 1년 계약직으로 2020년 1월부터 시작하여 매년 근무자가 30명이 넘습니다. 올해까지 3년동안 노사협의회라는 단어도 전혀 들어보지 못했습니다.
신생원에서 노사협의회 결성하였다는 소식을 들었고, 자비원과 저희는 노사협의회가 없어 최근 주간회의 때 왜 없는지 문제를 제기하였으나 처음 듣는다는 반응이 나와서 제가 잘못알고 있는건지 어떤건지 알고싶어 위의 연차문제 2건과 노사협의회 건으로 노동부에 진정을 접수하였습니다.

자꾸 검토중이라는 말씀만 하시는데 저희 기관을 제일 상위에서 주관하시는 양산시장님께 말씀드립니다.
3년 가까이 열심히 노인맞춤돌봄현장에서 근무하신 선생님들의 노고를 외면하지 말아주십시요.
같은 양산 안에서 신생원,자비원,웅상노인복지관 모두 같은 혜택을 누릴 수 있도록 처우개선에 대한 정확한 답변을 요청합니다.",2022-05-20,"가. 귀하의 가정에 건강과 행복을 기원하며, 노인맞춤돌봄서비스 사업 운영에 관심을 가져주셔서 감사드립니다.

나. 노인맞춤돌봄서비스 수행인력의 행복이 좋은 돌봄으로 이어진다는 관점에서 수행인력의 처우를 개선해야 한다는 귀하의 의견에 깊이 공감합니다.

다. 이에 수행인력이 근로기준법 제60조에 따른 연차유급휴가를 보장받을 수 있도록 각 수행기관 지도를 철저히 하겠으며,

라. 노인맞춤돌봄서비스와 관련하여 정부 차원에서 해결해야 하는 제도적 문제점에 대해서는 지속해서 개선을 요구하고, 수당 지급에 대해서는 우리 시 타 노동자와의 형평성 또는 타 지자체에 미치는 파급효과 등을 충분히 고려하여 검토해 나가도록 하겠습니다.

마. 기타 문의 사항은 사회복지과 노인복지팀(☎055-392-2525)으로 연락해주시면 성심껏 답변드리겠습니다. 감사합니다.
",2022-06-08,사회복지과
물금역 택지 쪽 철도 소음방지벽 설치요청,"첨부와 같이 기존에 넣은 민원이 돌고돌아(양산시-철도청-lh) 양산시 관할이라는 답변입니다
도대체 담당 부서가 어딥니까?
요즘 부쩍 소음 진동이 심각하니 관련 부서에서신속한 처리바랍니다",2022-05-19,"국민신문고 민원(1AA-2205-0603802)에 대하여 다음과 같이 답변하고자 합니다.

1. 안녕하십니까? 귀하께서 국민신문고에 ""물금역 택지 쪽 철도 소음방지벽 설치요청""과 관련하여 제기하신 민원에 대해 다음과 같이 답변 드립니다.
2. 귀하의 민원내용은 ""철도 방음벽 설치""에 관한 것으로 이해됩니다.
3. 귀하의 민원에 대한 검토 결과는 다음과 같습니다.
○ 철도소음과 관련하여 방음벽 설치부분은 소음 발생원인 철도시설의 관리주체인 국가철도공단 및 현재 거주하고 계신 지역인 양산물금택지개발사업을 시행한 한국토지주택공사(LH)에 문의하여야 하는 사항으로 판단됩니다.
○ 다만, 국가철도공단 또는 한국토지주택공사(LH)에서 우리시에 소음·진동 측정을 요구할 시 소음·진동을 측정을 진행한 후 그 결과데이터를 측정을 요구한 사업자 측에 회신할 수 있음을 알려드립니다. 끝.
",2022-06-09,기후환경과
4걸 볼록 거울 바로 세워주세요,"안녕하세요
항상수고가 많으십니다
첨부사진에 동그라미 그려지곳에 거울이. 내려가있어서 화살표방향에서 직진시 오른쪽차량이 오는걸 확인하기 어렵습니다
바로세워주세요~~",2022-05-19,"1. 귀하의 가정에 무궁한 발전과 행복이 가득하시길 기원드리며, 우리 시 시정 발전에 많은 관심을 가져주신데 감사드립니다.

2. 귀하께서 요청하신 “반사경 각도조정” 건에 대하여 아래와 같이 답변드립니다.
o 건의하신 반사경은 현장 확인한바 조정의 필요성이 있어 조속한 시일내에 정비할 예정입니다.

3. 추가 문의 사항이 있으신 경우 우리 시 교통과(☎055-392-2884)로 연락주시면 답변 드리겠습니다.

붙임 민원신청서 1부. 끝.
",2022-05-20,교통과
양산시장님 동면 석산리 1478-6 공영카드 주차장으로 만들어 주세요~,"양산시장님 시정운영으로 항상 노고가 많습니다.
현재 양산시 동면 석산리 1478-6 토지는 한국토지주택공사 토지로서 현재 양산시 임시공영주차장으로 운영중입니다.
지역주민으로서 항상 감사하게 생각합니다.
그러나 이곳은 향후 소방파출소가 들어온다고 합니다.
부산 북구 금곡동과 비교해보면 인구밀도가 낮은 국도 대로변에 소방파출소가 건축 되어있고,
양산시 물금읍 범어리와 비교해 보아도 국도 대로변에 소방서가 설치되어 있는데,
왜? 인구밀도 높고 항상 차량도 만차인 이곳 임시공영주차장을 소방파출소로 설치 하려는지 이해가 되지 않습니다.
울산시도 인구밀도 높은 삼산동 일대를 울산시가 시민들은 위한 카드주차장을 설치하여 시민들이 편리하게 잘 사용하고 있습니다.

비가 오고 바람 불면 비포장인 이곳 임시주차장에서 먼지가 불어오고 진흙이 도로를 뒤덮어도 지역 주민들은
주차장 있는 것이, 없는 것 보다 훨씬 편리하니까 잘 참고 있습니다.

양산시장님 바램이 있다면 이곳 임시주차장에 깨끗하게 아스팔트 깔고, 나아가서는 차량이 많아진다면 2층으로 신축하여
카드 전용주차장으로 신축해주시고 주차비는 좀 싸게 받아주시면 지역 주민들은 바랄게 없습니다.
양산시장님과 관련 나랏일 하시는 분께서는 잘 좀 챙겨주십시요~~~",2022-05-18,"1. 귀하의 가정에 무궁한 발전과 행복이 가득하시길 기원드리며, 우리 시 시정 발전에
많은 관심을 가져주신데 감사드립니다.

2. 귀하께서 건의하신 “동면 석산리 공영주차장 조성” 건에 대하여 아래와 같이 답변
드립니다.
○ 동면 석산리 1478-6번지는 공공청사 부지로 동면 119안전센터 조성 예정지이며
현재 조성 전까지 임시주차장으로 사용하고 있는 실정으로, 관련 부서 확인한 결과
119안전센터 건립은 우리시와 소방서간 협약 체결된 사항으로 증산 119안전센터는
착공에 들어갔으며 상기 부지인 동면 119안전센터는 차후 건립 예정임을 알려드립
니다.
○ 또한, 주차장 조성을 위해서는 적정부지 확보, 막대한 예산반영 등 제반 여건을
종합적으로 검토해야 할 사항으로 현 시점에서 당장 시행은 불가하나, 공한지 임시
주차장 조성 등 주차장 확보를 위해 노력하겠습니다.
3. 추가 주차장관련 문의 사항이 있으신 경우 우리시 교통과(☎055-392-2882)로 연락
주시면 친절하게 답변 드리겠습니다. 끝.
",2022-05-20,교통과
양산시장님 중부동 근린공원 일부를 주차장으로 만들어 주세요~,"양산시장님 시정 운영에 항상 노고가 많습니다
현재 양산시 중부동 자연유치원 옆 근린공원은 늦은 밤이면 청소년 학생들이 담배 피우는 장소로 변하고,
주변 주민들은 주차 문제로 자주 싸웁니다.
중부동 근린공원 주변에 상가주택은 포화 상태인데 주차장은 턱없이 부족합니다.
북부동이나 남부동, 동면, 범어 등에는 조금이라도 주차장은 있지만 중부동은 없습니다.
양산역 주차장은 넓게 있지만 이곳은 부산으로 출퇴근하는 사람들이 장시간 또는 장기간 차를 주차하는 곳이고,
중부동 식당 또는 주택에 살고 있는 주민들은 주차할 공간 이라고는 없습니다.
따라서 근린공원 주위를 돌아가며 북부동처럼 주차장으로 만들든지 아니면 일부를 전용주차장으로 만들면
주민들이 좀 덜 싸울 것 같습니다.
시장님 효율적이고 합리적인 대책을 마련해 주십시요~~~",2022-05-18,"가. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원에 대한 답변을 다음과 같이 알려드립니다.
나. 귀하께서 요청하신 중앙어린이공원에 대한 주차장 조성에 대하여 검토한 결과, 어린이공원은 관련법률에 따라 지상주차장 설치는 불가한 실정이나, 중앙어린이공원의 경우 지하주차장 설치에 대하여 담당부서(교통과)에서 검토 중임을 알려드립니다.
다.귀하의 민원사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요할 경우 양산시 공원과 공원관리팀 문승휘(☎055-392-3184)으로 연락주시면 친절하게 답변 드리도록 하겠습니다.
",2022-05-27,공원과
"불건전한 시위,소음을 막기위한 평산마을 작은도서관 설립","안녕하세요. 평산마을에 불건전한소음으로 마을주민들이 불편을 겪는다는 얘기를 듣고 문의드리게 되었습니다. 작은도서관 주위로는 시위가 제한된다고 하오니 평산마을회관 한켠에 작은도서관 을 마련하면 어떨까 건의드리게 되었습니다. 도서관이 새로 설립되려면 시간과 비용이 많이드니 장소만 제공하신다면 비용모금과 도서는 저희 카페나 타카페를 통해 모금 또는 기부받고자 합니다.

또다른 방법으로 작은도서관 사업이라고 따로 설립에 도움을 주는 기관이 있다고 알고 있습니다.
양산시와 평산마을 위한 일이니 적극 수렴 부탁드립니다. 감사합니다.",2022-05-17,"1. 귀하께서 국민신문고를 통해 신청하신 민원 (1AA-2205-0529386) ‘불건전한 시위, 소음을 막기위한 평산마을 작은도서관 설립’ 에 대하여 다음과 같이 답변드립니다.

2. 「집회 및 시위에 관한 법률」 및 「도서관법」에서는 도서관 근처에서의 시위 대한 제한을 두고 있지 않습니다. 다만「집회 및 시위에 관한 법률 시행령」을 통해 소음과 관련해서는 공공도서관에 별도의 기준을 설정하고 있습니다. 그러나 동법 제14조에 따르면, 집회 및 시위 시의 소음기준은 주거지역의 경우 주간은 65dB 이하, 야간은 60dB 이하, 심야는 55dB 이하지만 공공도서관의 경우 주간은 65dB 이하, 야간은 60dB 이하입니다. 따라서 집회 및 시위에 따른 소음을 억제하고자 작은도서관을 설립하는 것은 실효성이 없을 것으로 생각됩니다.([붙임 1] 「확성기등의 소음기준」참조)

3. 다른 한편으로 평산마을회관의 경우 마을주민들의 자산으로, 시 차원에서 작은도서관의 설립을 이행하도록 할 권한은 없습니다. 평산마을회관 내 작은도서관의 설립은 평산마을 주민들의 자유로운 의지에 따라 추진할 수 있는 사안으로, 작은도서관의 등록기준에 충족될 경우 도서관으로 승인받는 것이 가능합니다. 「도서관법」에서는 민간에서 사립도서관 도서관의 설립을 추진하는 것에 별도의 제한을 두고 있지 않으며, 다만 일정한 작은도서관의 등록기준을 충족할 필요가 있을 따름입니다. 따라서 필요하다고 생각하실 경우에는 주민들의 자체적인 의사에 따라 사립도서관의 설립을 추진하실 수 있음을 알립니다.([붙임 2] 「작은도서관 등록 기준」참조)

4. 다른 불편사항이나 문의사항은 양산시립도서관(☎055-392-5905)으로 연락주시면 친절히 안내해 드리겠습니다. 끝.
",2022-05-23,시립도서관
천성산 제2봉 등산로 정비 요청,"천성산 제2봉 정상에서 내원사로 향하는 하산 등산로는 정상부에 이정표가 전혀 없어 나무에 매달린 산악회 표식을 따라 이동했으나
이 표식이 결국 통행금지쪽 험난한 등산로를 유도하여 낙엽 천지인 좁고 가파른 곳을 해메다가 겨우 살아서 빠져 나왔습니다.
인터넷 검색하면 이정표 없어 길 잃은 유사사례 카페글에 다수 올려져 있고, 안에서 해메이다 본인처럼 길 잃은 사람도 만났습니다.
정말 무서워서 다시 오고 싶지 않은 산입니다.
(차라리 험한 등산로 길에 로프라도 걸어 놓던지, 천막같은 쓰레기는 잔뜩 방치되어 있고...)

최근 여기보다 낮은 시골산도 이정표가 잘 되어있는데 양산시에서 관리하는 100대산중에 하나인 천성산에
상세한 거리 표시까지는 아니어도(- 여기는 거리 표시도 3개 밖에 없더만요.)
최소한 등산객들 길 잃지 않도록 조치는 해주셔야지 사람이 많은 산이 아니라서 우기나 추울때 산 잘못타면
누구하나 잡을듯하여 글 올리니, 담당자분 이웃 마을 다른 산 한번 가보시고 통행금지 이정표 다시 세워주십시오.",2022-05-17,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원번호(1AA-2205-0525692)에 대하여 다음과 같이 답변드립니다.
2. 우선 등산로 이용에 불편을 드려 죄송하며, 내원사 측과 협의하여 천성산2봉~내원사 구간 이정표 설치 등이 보완될 수 있도록 노력하겠습니다.
3. 시정발전에 관심을 가져주심에 감사드리며, 답변내용에 추가 설명이 필요한 경우 양산시 산림과 산림방재팀(☎055-392-2933)으로 연락주시면 친절히 안내드리겠습니다. 끝
",2022-06-03,산림과
강학대 쓰레기 수거 요청 건,"수고많으십니다.
한국산수보전협회에서 활동하는 자원봉사자입니다.
2022년 5월 15일(토)에 강학대 주변 정화활동을 하여 발생한 쓰레기를 모아두었습니다.사진을 첨부하여 드리니 수거해 주시길 바랍니다.
※강학대 위치
- 동원과학대 올라가기전 오른쪽 성바오로영성관 입구",2022-05-16,"1. 평소 환경행정에 관심을 가져주셔서 감사드리며, 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2205-0472685)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하께서 제출하신 민원의 내용은 정화활동 후 발생한 쓰레기 수거요청에 관한 것으로 이해되며, 신고하신 자료 및 현장확인 결과, 해당 장소에 있는 쓰레기는 수거처리하였음을 알려드립니다. 답변 내용에 대한 추가 설명이 필요한 경우 양산시 자원순환과(☎055-392-2644)로 연락주시면 상세히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-05-19,자원순환과
공영주차장 후면주차로 인하여 매연냄세가 심합니다,"양산시 임시공영주차장 정책은 잘한것 같습니다
열명이 편하고 한명이 불편하면 잘한게 아니겠지요
금산금빛마을 제13임시 공영주차장 뒷에있는 사무실 사용자인데 후면주차로 인해 매연냄세가
너무 심합니다
좋은 방법없을까요 ...",2022-05-12,"1. 귀하의 가정에 무궁한 발전과 행복이 가득하시길 기원드리며, 우리 시 시정 발전에
많은 관심을 가져주신데 감사드립니다.

2. 귀하께서 요청하신 “금빛마을13임시공영주차장 후면주차로 인한 매연냄새 심각” 건에
대하여 아래와 같이 답변 드립니다.
○ 금산금빛마을13 임시공영주차장 후면주차로 인한 매연 대책으로 전면주차 안내표지판을
조속히 설치하여 민원인에게 불편이 없도록 하겠음을 알려드립니다.

3. 추가 주차장관련 문의 사항이 있으신 경우 우리시 교통과(☎055-392-2882)로 연락
주시면 친절하게 답변 드리겠습니다. 끝
",2022-05-16,교통과
범어리 양산더포레스트M 준공지연 관련,"1년넘게 입주 못해 기다리고있습니다.
살고있던 집은 이미 매매하여 월세로 전전하고 있습니다만, 곧 계약도 해지되고 갈데가 없습니다.
계속 준공된다는 말만하고 있고 정확한 날짜 공지 없이 계속 미루기만하고 있어
주거 불안정으로 인해 스트레스가 이만저만이 아닙니다.
도대체 준공은 언제 나는지 입주는 언제 할 수있는지 시청에서 강력히 개입하여 시정 및 조치하여
하루빨리 입주 할 수 있도록 부탁드립니다.

이런식이면 갈데 없어 모텔생활 전전해야할판입니다. 강력한 조치 바랍니다.",2022-05-12,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2205-0363112)에 대한 처리 결과를 아래와 같이 알려드립니다.

2. 귀하의 민원내용은『양산 더 포레스트 엠 연립주택 사용검사 행정처리 신속 요청』에 관한 것으로 판단됩니다.

3. 귀하의 민원내용에 대한 처리 결과는 다음과 같습니다.
- 우리 시 물금읍 범어리 산135번지 일원 상 접수된 주택건설사업 사용검사 신청건에 대하여 현재 시공자가 보완사항 조치 중에 있으며, 보완사항 완료 및 관계부서 적합여부 확인 후 행정절차에 따라 사용검사가 완료됨을 알려드리며, 안전하고 쾌적한 주거확보를 위한 점 양해 부탁드립니다.
- 아울러, 시공자에게 보완사항 조속히 조치할 것을 지속적으로 요청하고 있으며, 입주예정일을 재검토 후 입주예정자에게 재공지하여 입주 준비에 혼선이 없도록 조치할 것을 지도하였음을 알려드립니다.

4. 귀하의 민원에 만족스러운 답변이었기를 바라며, 답변내용과 관련하여 궁금한 사항이 있으신 경우 공동주택과(공동주택팀, ☎055-392-3054)로 연락해주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2022-05-16,공동주택과
