지역명,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
경기도,인도 연장 설치 제안합니다(양평군 양동면 양동로),"현황 및 문제점
경기도 양평군 양동면 양동역에서 쌍학교를 지나 양동로를 따라 단석교차로 가는 길. 인도가 중간에 끊겨 도로변을 따라 걸을때 지나는 차량으로위험을 감수해야 합니다. 운전자도 신경이 쓰이는지 중앙선 쪽으로 차량을 몰다보니 중앙선을 침범해서 운행하는 경우도 있습니다. 교통편(버스) 시간이 맞지 않고 양동역까지 걸을만한 거리라고 생각해서 다니고 있는데 인도의 필요성을 절실하게 느낍니다. 물론 걸어다니는 사람이 그리 많지 않은 도로이지만 교통안전을 위하여 인도설치 구간 연장을 제안합니다.
개선방안
양동로 중간에 끊긴 인도설치 구간을 단석교차로 까지 연장
기대효과
인도설치로 보행자 안전과 차량통행에 도움",2021-04-20,"1. 먼저, 양평군 군정에 많은 관심과 제안에 감사드립니다.

2. 귀하께서 제안하신 “양동역~단석교차로 인도설치 제안” 에 대한 고견에 대하여는 아래와 같이 답변드립니다.

3. 해당 구간은 경기도에서 관리하는 지방도 349호선으로 약 1.4km 구간에 대한 인도 설치 사업비를 요청한 상태입니다. 연장이 긴 만큼 많은 예산이 소요될 것으로 판단이 되므로 예산확보를 위하여 지속적으로 경기도와 협력할 예정임을 알려드리며, 양평 군정에 관심을 갖고 좋은 의견 주신점에 대하여 감사드립니다.

4. 추가적으로 궁금하신 사항은 건설과 도로관리팀 강정석(☎031-770-2477)으로 문의하시기 바랍니다. 감사합니다.",2021-08-21,양평군,제안실현
경기도,도로변 버스 정류장 시설물 관리 건,"현황 및 문제점
본 제안은 제안자인 본인이 유리창 청소업을 준비하면서,
인근 도로변의 버스정류장에서 청소 연습을 하면서 느낀 점을 바탕으로 제안하는 것입니다.

1) 대부분의 버스 정류장은 유리 재질로 만들어져 있음
2) 유리의 투명성으로 인해 오염원들에 의해 오염이 눈에 잘 띄는 경향이 있음.
3) 시내보다는 시외의 도로 주변에 위치하고 있어 관리에 사각지대에 있다고 생각합니다.
4) 주요 오염원으로는,
- 차량 통행으로 인한 먼지,
- 계절적인 요인으로 인한 황사, 송아가루 등과
- 특히 산성비로 인해 유리표면의 손상이 발생하며
- 사용자들이 버린 쓰레기와 오물, 그리고 불법광고물 등으로 오염이 되고 있습니다.
개선방안
1) 버스정류장 정기 관리 제안
- 월 또는 분기 단위로 버스정류장의 유리창 청소와 더불어 주변 환경정리가 되도록 관리 방안 제안

2) 방법
- 지역 유리창 관리 인력 및 업체를 통한 외부 용역 실시
- 단순히 청소가 물 뿌리는 것에 그쳐서는 안됩니다.
- 유리의 경우 물을 뿌려서 닦아내는 것도 중요하지만, 물기나 오염물을 깨끗이 제거해줘야
오랜 시간 깨끗함을 유지할 수 있습니다.
기대효과
1) 적절한 시설물 관리를 통한 내구연한 증가
- 관리비용의 재정 지출이 발생할 수는 있지만,
- 반대로 관리미흡으로 인한 불필요한 재정 지출 억제할 수 있음

2) 지역의 전문 인력 양성 및 지역 일자리 창출
- 최근 코로나로 인한 소상공인 재정 지원도 좋지만,
이렇게 일자리를 만들어 관리되지 않던 부분도 관리하면서 일자리도 창출을 할 수 있기에
같은 비용을 쓰더라도 2배-3배의 긍정적 효과가 있다고 생각이 듭니다.

3) 깨끗한 지역 이미지 향상을 통한 외부 방문객 유치에 긍정적 효과 예상
- 양평의 가장 큰 이미지는 깨끗함이라고 생각합니다.
이런 이미지를 더욱 높여서 외부 방문객이 주말이면 방문하고 싶은 곳으로 만든다면,
돈을 들여 모셔오는 것이 아니라
안와 본 사람은 있어도 한번만 와본 사람은 없는 자주 방문하고 싶은 곳으로 만드는데 기여할 수 있다고 생각합니다.",2021-04-21,"1. 바르고 공정한, 행복한 양평 건설에 적극 협조해주시는 귀하께 감사드립니다.

2. 귀하께서 제안하신 버스승강장 환경정비 의견에 대하여,

3. 현재 우리군은 일자리체인지업 프로젝트를 통해 버스승강장 정비인력을 채용, 정기적인이고 지속적인 환경정비를 진행하고 있습니다.

4. 위와 같은 사유로 이번 제출해 주신 제안은 채택하지 못함을 이해 부탁드리며 , 기타 문의사항이 있으시면 교통과 교통시설팀(031-770-3758)으로 문의해 주시면 성심껏 답변 드리겠습니다. 끝.",2021-04-26,양평군,답변완료
경기도,용문-홍천에서 KTX 정차하는 양평-홍천 철도로 연결되길 바랍니다.,"현황 및 문제점
4차 국가철도 계획이 곧 발표 된다고 합니다.
KTX 정차하는 양평에서 용문은 전철시간도 10분 정도가 더 소요 됩니다.
철도없는 홍천군 30년 숙원 사업입니다.
하지만 홍천에서 용문역 보다는 양평역이 수도권 출퇴근 시간감소로 전원도시의 장점을 높일것입니다.
개선방안
홍천-용문 철도 아닌 KTX 정차역인
양평 -홍천 철도연결 되어야 합니다.
기대효과
1. 수도권 과밀화 해소에 기여
2.부도심의 집중화로 문화.교육.의료가 개선
3.양평-용문산역 접근 시간 단축으로 인근 관광산업 활성화
4. 강원도 홍천,인제,용대,간성,설악 ,동해안접근시 이동시간 단축및 주말 정체해소기반조성
5.향후 원주-홍천-춘천 연결철도 추진으로 용문역소외감소
6.향후 곤지암역 -양평역 연결로 경기북부와 남부 연결 효과
7.건설중인 양평 고속도로 이용편의로 송파접근용이
8. 향후 수서-용문 아닌양평-홍천노선으로 경기북부와 소외된 강원도의 인구유인",2021-04-21,"1. 바르고 공정한, 행복한 양평 건설에 적극 협조해주시는 귀하께 감사드립니다.

2. 귀하께서 제안하신 양평-홍천선 철도연결 의견에 대하여,

3. 현재 제4차 국가철도망 구축계획 초안이 2021. 4. 22. 발표되었으며, 중앙선의 단선전철 연결로 용문에서 홍천까지 시종점이 확정되었습니다.

4. 현 단계에서 노선(시종점 변경) 및 철도의 변경은 제한됨을 알려드립니다.

5. 위와 같은 사유로 이번 제출해 주신 제안은 채택하지 못함을 이해 부탁드리며 , 기타 문의사항이 있으시면 교통과 교통시설팀(031-770-3755)으로 문의해 주시면 성심껏 답변 드리겠습니다. 끝.",2021-05-20,양평군,답변완료
경기도,배달음식 일회용품 사용절감을 위한 사회사업 제안,"현황 및 문제점
코로나 시대를 살고 있는 요즘 배달음식의 활성화로 일회용품 사용의 폭증으로 쓰레기 증대 문제가 사회문제로 야기되고 있는것 같습니다.

코로나, 비대면 화는 거스를 수 없는 시류라고 이해되는 바, 1회용 쓰레기를 줄이는게 급선무라 생각됩니다. 쓰레기를 줄이기 위해서는 다회용이 가능한 그릇이 필요한데 결국 배달/수거 문제와 그릇을 세척하는 문제가 예상됩니다.
또한, 배달음식 업체를 운영하는 소상공인 입장에서는 그릇을 수거해서 세척하기에는 운영비, 인건비 증가로 현실적으로 불가능 할거라 판단됩니다.
개선방안
개선 방안은 간단합니다. 바로 옛날 처럼 다회용 그릇을 이용하는 겁니다. 로드맵은 다음과 같습니다.
-배달음식 전용 용기 개발 및 통일(아마도 프라스틱 재질)
-그릇을 이용할 소상공인 업체와 계약
-용기 제공/수거/세척 업체 사업화(지역별 분산하여 수익성 보장 필요)
-사업 수익은 배달비에서 충당(단, 배달업체는 지정업체만 이용 필요)
기대효과
-소상공인 입장에선 배달비를 부담하는것은 동일하므로 부담 없음.
-세척/새그릇을 소상공인 가게에 다시 납품하는등의 간단한 업무로 노인/경력단절된 일반인에게 일자리 제공가능
-일회용 쓰레기 감소",2021-04-22,"안녕하십니까?
귀하의 '배달음식 일회용품 사용절감을 위한 사회사업 제안' 에 대한 부서검토 결과를 다음과 같이 회신하여 드립니다.

먼저 '배달음식 일회용품 사용절감을 위한 사회사업 제안'을 해 주신 점에 대하여 깊은 감사를 드립니다.

최근 사회적 거리두기 등으로 배달음식 수요가 급속히 증가하면서 배달용 1회용기 사용량도 급증하여 1회용품 사용 절감이 필요한 상황입니다.

코로나19로 인하여 다회용기 공유에 대한 신뢰도 저하로 참여 업체 모집에 한계가 있으며, 사용한 다회용기 회수 시 추가 배달비, 세척비 등 많은 비용이 수반됩니다.

또한 환경부 「거리두기 단계별 1회용품 사용규제 가이드라인」에 따르면 1.5단계~2.5단계 시 커피전문점에서도 다회용기 사용을 원칙으로 하되, 고객 요구 시에만 1회용품 제공을 허용한 상황으로, 의무적인 참여가 아닌 자율적 참여로 사업 활성화를 위해서는 다각적이고, 신중한 검토가 필요합니다.

더불어, 배달음식 다회용 공유용기 사용을 위하여 표준 다회용기 개발과 유통체계 구축, 민·관 협업 등 실행방안 마련 역시 필요합니다.

우리 시에서는 현재 1회용 택배 포장재 대신 다회용 택배박스 사용 사업을 추진하고 있으며, 본 사업 추진 결과를 장기적이고, 종합적으로 검토하여 향후 배달용기 공유서비스로 확대할 수 있도록 노력하겠습니다.

위와 같은 사유로 귀하의 제안을 불채택하였으며, 기타 궁금하신 사항이 있는 경우 청소자원과(032-228-3253)로 연락주시면 성심껏 답변 드리겠습니다.
소중한 의견 제시에 감사드리며, 귀하의 가정에 건강과 행복이 가득하기를 기원합니다.",2021-06-08,수원시,답변완료
경기도,미사 한강전망대 개선 제안,"현황 및 문제점
한강전망대에 파란색 포장이 1년 가까이 방치되어 있어, 나름 개선방안을 제안하오니 검토바랍니다. 좀더 자세한 제안을 위해 사진 업로드가 용이한 아름집 카페에도 포스팅 하였사오니 참고바랍니다.

https://m.cafe.naver.com/ca-fe/web/cafes/10955043/articles/2510359?fromList=true&menuId=97
개선방안
<주요내용은 첨부사진 참조>

① 전망대 높이 및 구조가 폭포와 완벽 매핑
→ 비용 및 공사 기간 최소화 가능

② 추가 식목 및 고사에 따른 비용 대체 가능

③ 미사 입구에서 미사 대표 랜드마크
→ 서울에서 미사, 강원도 방향에서 굿 뷰(차량 우측방향)

④ 올림픽대로 소음을 폭포 소리로 상쇄
→ 공원 청량감 강화

⑤ 공원 내 물관련 테마 조성
→ 어린이 놀이터, 한강전망대와 조합 굿!

⑥ 미사 브랜드 이미지 ""한강&폭포"" 부각

⑦ 인공 바위 및 조형물 설치로 미가동시에도 굿!

⑧ 한번 설치하면 건립자의 평생 치적 랜드마크
기대효과
참고로 인공폭포는 서울 홍제천 / 이촌동, 안양 / 군포, 성남, 광교, 동탄, 다산, 안산 등 수도권 여러지역에서 시행한 바, 가장 좋은 사례를 벤치마킹하여 미사에 명물 하나 만들어보면 어떨까요?

""미사 한강 전망대 폭포"" 사업이 서울 청계천 프로젝트처럼 대박나길 기대하며...",2021-04-23,"1. 시정발전을 위한 제안공모에 참여해 주신데 대하여 깊이 감사드립니다.

2. 귀하께서 국민신문고(미사한강전망대 개선제안 : 폭포설치) 신청하신 제안에 대한 아래와 같이 불채택 되었음을 알려드립니다.

가. 귀하의 제안 검토 결과, 전망대 주변이 파란색 포장은 2020년 집중호우시 전망대 주변 유실된 사면의 차폐를 위한 조치였으며 2021년 7월 현재 유실된 사면복구를 완료하였기 파란색 포장은 제거되었으며,

나. 동소에 폭포의 조성은 장기적인 관점에서 다양한 의견을 수렴하여 결정해야할 사안임을 알려드리오니 이점 널리 양해하여 주시기 바랍니다.

3. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 하남시청 공원녹지과 주무관 유재면(☏031-790-5086)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 1. 국민제안신청서 1부.
2. 위치도 및 현장사진 1부. 끝.",2021-07-12,하남시,답변완료
경기도,노인복지관 [간편식_꾸러미] 배식 개선안,"현황 및 문제점
1. 장기화된 코로나사태로 각종 복지관의 점심배식이 중단됨
2. 비좁은 식당에서 사회적거리두기가 어려움
3. 평상시 (예)과천노인복지관 이용했던 60세이상 노인들, 특히 혼자사시는 노인들의 점심을 때우기가 어려움

* 극히 일부 하위층에게 도시락 배달을 하고 있으나, 대다수는 손수 빈약하게해결함
개선방안
1. {모든} 노인복지관 회원에게 [간편식_꾸러미] 지급으로 하면 식사 대용으로 해결됨
2. 간편식 종류 = 빵 / 우유/ 바나나/초코렛/방울토마토/초코파이...등등 (단,상하기 쉬운 김밥류 음식제외)
= '밥과국'이 없어도 간단히 끼니를 보충할수 있는 먹거리
*** 코로나 사태 종료시 까지 : 한시적 운영
3. 전달방안
1) 날씨가 따뜻해진 봄/여름/가을
(예) 과천중앙공원 운동삼아서 걸어오게 하여 [야외공연장무대]에 먹거리 배식
2) 겨울 복지관 건물 사용



기대효과
1. 별도로 [일부계층]에게 도시락 배달 '인력/업무' 없어진다
2. 모든 노인들이 운동(산책)삼아서 걸어오시면 {건강에도 기여하고} ,
지속적인 복지가 이어져 시민의 행복에 기여함.
3. 인력이 부족하면 먹거리 납품업자에게 (예 = 농협직원) 직접 먹거리 배식에 활용하면 효과적.
4. 무기한 중단보다는 차선책으로 배식방법을 [간편식_꾸러미]지급하면
'과천시청'의 [시민이 만드는 행복도시과천]에 크게 기여함.
* 실현되기를 기대합니다 *",2021-04-23,"○ 소중한 의견 주심에 감사드리며, 귀하께서 제안하여 주신 내용에 대한 사회복지과의 검토결과는 다음과 같습니다.

귀하의 제안은 모든 노인복지관 회원에게 간편식을 제공하여 결식을 예방하자는 내용으로 이해됩니다.
귀하의 제안은 노인의 결식을 예방하는 데에 긍정적인 효과가 있을 것으로 생각되나, 기존에 시행되고 있는 ‘저소득 재가노인 식사 배달 사업’ 및 ‘경로식당 무료급식 지원 한시적 도시락 운영’과 중복되는 바, 채택이 어려움을 알려드립니다.
저소득 재가노인 식사배달 사업은 기초생활수급자 또는 차상위계층 취약노인 중 거동불편 및 경제적인 이유로 결식이 우려되는 어르신께 밥, 국, 밑반찬 등을 지원하는 사업입니다.
경로식당 무료급식 사업은 과천시노인복지관 내 식당(수라터)을 개방하여 식사를 거를 우려가 있는 기초생활수급자 또는 차상위계층 어르신께 식사를 제공하는 사업입니다. 다만 최근 코로나19 감염증 전파 방지를 위한 노인복지관 휴관에 따라 경로식당 또한 미운영하게 되어 결식이 우려되는 어르신들께 밥, 국, 밑반찬을 포함한 도시락을 배달하는 사업으로 한시적으로 ·운영하고 있습니다.
또한, 모든 복지관 회원이 간편식을 수령할 수 있는 장소 선정이 어려우며, 납품업자에 의뢰하여 자택으로 배달하기에는 배달비 및 배달인력 인건비 책정 등 예산 확보가 필요한 사항임에 따라 시행이 어려움을 양해하여 주시기 바랍니다. 도시락 및 돌봄이 필요한 어르신께는 서비스 제공이 가능하니 주변에 대상자가 있으신 경우 과천시노인복지관(02-509-7635)으로 연락주시면 상담을 통해 서비스를 제공하도록 하겠습니다.
아울러 관내 경로당 및 과천시노인복지관이 2021년 7월부터 운영 재개됨을 알려드립니다. 1차 또는 2차 백신 접종 후 14일 이상 경과한 회원께서는 ‘예방접종증명서’를 각 시설에 제출하여 접종 확인을 받으신 후 시설 이용이 가능합니다. 다만, 식사는 관내 어르신 백신 접종 추이 및 정부 지침에 따라 추후 운영 예정이오니 이용에 참고하여 주시기 바랍니다.

귀하께서 제출한 제안은 비록 채택되지는 못하였지만, 시정에 대한 참여와 관심에 감사드립니다. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변내용에 대하여 추가 안내나 설명이 필요한 경우 〔사회복지과 노인복지팀(02-3677-2263)〕으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2021-06-21,과천시,답변완료
경기도,초당중~초당초 간 동백중앙로 자동차 속도제한 구간 설정,"현황 및 문제점
초당중학교 와 초당 초등학교 사이 주택지가 도로와 메우 가
깝게 형성되어 소음 및 진동의 발생으로 생활에 불편이 증가
하고 있음.
또한 초등학교 경계에서 바로 어린이 보호구역이 종료되어
급가속으로 인한 소음 및 어린이와 주민들의 교통안전에 위
협이 되고 있는 실정임
특히 교통량이 많지 않은 시간대에는 현재 50Km/H 인 속도
를 엄청 벗어난 과속 차량이 많은 실정으로 교통 사고시 대
형 사고 가능성 큼
개선방안
현재의 어린이 보호구간을 동백중학교 까지 연장하여 속도제
한 구역을 더 연장함으로서
상기 문제점을 가장 저비용으로 효과적으로 개선 가능
속도제한 30Km 구간 연장을 제안함
이 구간에 필히 속도초과 단속 카메라 설치 제안
우선은 50Km/H 인데 이에 대한 과속방지 시설 전무함으로
과속감지 시설도 시급함
기대효과
도로변 주택 소음 및 진동 피해 방지
초중등 학생의 교통 안전에 크게 기여
주변 주민들 교통 안전에 획기적 기여",2021-04-23,"평소 시정발전을 위한 관심과 협조에 감사드리며, 국민신문
고(국민제안)을 통해 제안해주신 사항에 대하여 아래와 같이
답변드립니다.
가. 어린이보호구역 지정은「어린이ㆍ노인 및 장애인 보호
구역의 지정 및 관리에 관한 규칙」제3조(보호구역의 지정)
에 따라 대상시설(초등학교, 유치원, 100인이상 보육시설)장
이 자치단체장(용인시장)에게 보호구역 지정을 신청하거나,
교통사고 위험으로부터 어린이를 보호하여야 할 필요성이 인
정되는 경우, 지정대상시설의 주 출입문을 중심으로 반경
300미터 이내의 도로 중 신청구간을 현장 조사 후 관할경찰
서와 협의하여 보호구역으로 지정하고 있으며,
나. 무인교통단속카메라의 설치는 도로교통법 시행령 제86
조에 따라 관할 경찰서 협의 및 지방경찰청의 현장실사 등을
통해 현장여건 및 교통여건 등을 종합적으로 고려하여 설치
가능 여부를 검토하고 있습니다.
다. 용인시는 관내 초등학교 1개소 당 무인교통단속카메라
1대씩 우선 설치를 목표로 사업을 추진하였으며, 초당초등학
교의 경우 2017년도 초당초교후문삼거리(동백방향)에 설치
되어 운영중에 있습니다.
라. 항후 어린이보호구역 개선을 위한 예산확보 후 관련기
관(초등학교, 관할경찰서 등)과 교통안전시설물 설치에 대한
협의를 통해 제안해주신 초당초등학교~초당중학교 구간의
안전한 어린이 통학로가 될 수 있도록 노력하겠습니다.
마. 용인시 교통환경 개선을 위한 고견에 감사드리며, 기타
사항은 교통정책과 교통개선팀(☎031-324-2285)으로 문의
주시면 친절히 안내하여 드리겠습니다. 끝.",2021-04-23,용인시,제안실현
경기도,중소기업을 위한 신청양식 개선 제안,"현황 및 문제점
현재 김포시 홈페이지에는 중소기업의 어려운 사항을 지원 및 해결하고자 하는 신청양식이 있으나 시민의 입장에서 서식 제목과 내용이 다소 한자에 가까운 생각과 이해에 난해한 내용으로 기재되어 있어 해석에 딱딱한 느낌도 듭니다.
우선 제목부터 ""기업애로신고서""로 되어 있고 세부항목에는 ""애로종류"", ""애로유형"", ""기업애로"", ""애로사항""등등 애로라는 뜻은 좋으나 기업인과 시민들이 보고, 듣고, 이해하는 단계에서는 오해의 소지가 크는 등 정서상 접근이 쉽지 않은 상태입니다.
개선방안
이에 따라 법정 서식이 아닌 경우는 기존 ""기업애로신고서""를 ""기업고충지원서""로 쉽게 이해되면서 고충에 도움을 주고자 한다는 의미로 쉽게 접근하였으면 합니다. 또한, 세부항목에 기재된 ""애로""라는 내용은 제외하며, ""애로사항""의 문구는 ""고충사항""으로 표기한다면 더욱 이해가 쉽고 작성에 어려움이 없을 것입니다.

향후 홈페이지 고도화 작업이 진행될 시는 ""기업고충지원서""와 같은 서면양식을 ""전산양식""으로 업그레이드시켜 기업이 직접 양식을 작성해 팩스와 이메일로 송부하지 않아도 홈페이지에서 작성후 등록함으로서 작성서식이 없이도 지원신청할 수 있는 작업이 되었으면 하는 소망입니다.
기대효과
기업의 입장에서 더 편리한 상담과 지원 및 연계할 수 있는 지원 플랫폼이 바로 김포시 홈페이지를 통해 해결할 수 있어 신뢰하는 김포시와 지속적인 성장 발전하는 기업들이 늘어나는 환경으로 탈바꿈할 수 있다고 봅니다.",2021-04-24,"1. 평소 시정발전을 위해 깊은 관심과 노력을 아끼지 않고 있는 귀하에게 진심으로 감사드립니다.

2. 귀하께서 신청하신 국민신문고 국민제안(신청번호 1AB-2104-0014199)에 대한 검토결과를 아래와 같이 회신하오니 참고하시기 바랍니다.

◎ 제안내용
- 중소기업을 위한 신청양식 개선 제안

◎ 검토내용
- 현재 기업애로 처리는 김포시 경제활성화 및 기업 에스오에스 운영에 관한 조례에 따라 운영하고 있으며 아울러, 제1조(목적) 및 제2조(정의) 등 기업의 애로에 대한 내용을 포함하고 있습니다.
- 또한, 애로는 어떤 일을 하는 데 장애가 되는 것이라는 한자어로 현재 널리 통용되어 쓰고있는 말입니다.
- 귀하께서 말씀하신 고충은 애로에 대한 대체어로 조금 더 이해하기 쉽지만 현재 경기도 전체에서 사용하고 있는 애로를 변경하여 사용하기엔 어려움 점이 있음을 알려드립니다.
- 현재 공공기관에 한자어 사용이 잦아 시민들이 혼동을 일으킬 수 있다는 점을 인지하고 있으며 이를 참조하여 순우리말로 순화하도록 노력하겠습니다.

3. 귀하의 제안사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 김포시 기업지원과 주무관 송홍준(☎031-980-2316)에게 문의 주시면 성심성의를 다하여 안내해 드리겠습니다. 감사합니다. 끝.",2021-04-27,김포시,답변완료
경기도,시민의 편리한 이용을 위한 홈페이지 항목 변경 제안,"현황 및 문제점
현재 김포시 홈페이지에 게시된 항목은 알림사항/고시공고/시험정보/보도자료와 새로운 김포소식, 민원서비스가 3분류 나뉘어 게시되고 있으나 시민들이 한 화면에 한 몪으로 볼 수 없어 아래로 내려야 볼 수 있고 스마트폰에서는 알림사항/고시공고/시험정보/보도자료 하나를 누르면 세부내역으로 들어가 다시 다른 항목을 보려고 하면 항목이 고정되지 않아 불편함을 느끼고 있다는 사실입니다.
개선방안
기존의 홈페이지 게시된 항목 ""알림사항/고시공고/시험정보/보도자료""을 고정형으로 ""알림사항/새로운김포소식/민원서비스/고시공고/시험정보/보도자료""를 게시해 한 화면에서 보고 이용하도록 하면 휠씬 편리하게 사용할 수 있습니다.
기대효과
작은 화면에서 한 몪에 볼 수 있도록 개선함으로서 홈페이지 이용에 도움이 되어 시민들에게 효율적이고 효과적인 사용이 될 수 있습니다.",2021-04-25,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 제안에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 '홈페이지 메인 배치 변경'에 관한 것으로 이해(또는 판단) 됩니다.

3. 귀하의 제안사항에 대해 검토한 의견은 다음과 같습니다.
가. 알림사항, 고시공고, 시험정보, 보도자료는 게시판 형태로 운영중이며, 마우스를 가져갔을때 게시물의 제목을 목록으로 표시하고 있습니다.
나. 그러나 새로운 김포소식, 민원서비스의 경우 SNS 연계, 카드뉴스, 영상, 콘텐츠 등이 섞여있어 위에서 말씀드린 4개 메뉴와 동일한 목록형태로 표시하는데 어려움이 있고 중복표시, 표출 일관성이 떨어지는 문제가 있습니다.
다. 상기 사유로 귀하의 제안을 불채택하게 됨을 알려드리며, 향후 홈페이지 이용자들이 많이 접속하는 메뉴를 파악하여 PC 또는 모바일 접속시 상단에 배치될 수 있도록 개선할 예정입니다.

4. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 홍보담당관 미디어팀 하강인 주무관(☏031-980-2069)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 국민제안신청서 1부 끝.",2021-06-03,김포시,답변완료
경기도,시각장애인용 음향신호기 설치,"현황 및 문제점
경기 포천시 소흘읍 호국로 489 앞에 있는 횡단보도에 시각장애인용 음향신호기가 없어 통행하는데 불편하고 사고날뻔 한 적이 많습니다.
개선방안
시각장애인용 음향신호기를 설치해주세요.
기대효과
음향신호기가 생긴다면 안전하고 편하게 횡단보도를 건널 수 있습니다.",2021-04-25,"1. 귀하의 가정에 행복이 가득하시길 기원드리며, 귀하께서 국민신문고에 제안하신 사항(신청번호 1AB-2104-0014413)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 ""용상골입구 시각장애인용 음향신호기 설치 제안""에 관한 내용으로 판단되며, 제안사항에 대해 검토한 의견은 다음과 같습니다.

○ 용상골입구 횡단보도 시각장애인용 음향신호기는 이번달 중으로 설치 예정임을 알려드립니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 포천시 교통행정과 박병민 주무관(☎ 031-538-3333)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2021-07-15,포천시,제안실현
