제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
무안공항 정기노선 활성화 시켜주세요~,"현황 및 문제점
무안공항 전세기만 운항중이다. 너무 불편하다. 김해공항같은 경우에는 이미 활성화 되어서 정기노선이 회복되었다.
코로나 거리두기도 해제가 되었는데 아직도 무안공항에서 정기노선이 진행되지 않아 불편하다.
하루 속히 활성화시켜주세요!! 그리고 전세기를 이용하는 여행사 요금 폭리를 취하고 있으니 바로 잡아 주세요~
개선방안
정기노선 활성화
기대효과
이동의 자유보장",2023-04-19,,,무안군,제안심사
안전 체험관 건립 요청 건,"현황 및 문제점
여수시는 2012 여수엑스포를 통하여 관광 산업은 발전 하였으나 여수시에 거주 하고 있는 시민을 위한
문화/ 역사/ 교육 / 안전 등의 박물관 및 체험관 시설이 타 도시에 비해 부족 합니다.
이에 여수시에 ""안전체험관"" 건립을 요청 드립니다.
다른 시설도 아닌 ""안전 체험관"" 으로 꼭 찝어 말씀 드리는 이유는
최근 국내에 크고 작은 안전 사고( 세월호 참사/ 이태원 참사/ 대형 산불) 및 여수시 산단 내에서도 (이일산업 화재/ 대림 폭발 / ncc 열교환기 폭발 / LG화학 감전사고등) 안전 사고 발생 비율이 높아 지고 있습니다.
개선방안
여수시는 국내 최대 규모의 석유화학단지를 보유 하고 있습니다.
석유화학단지를 보유 하고 있음에서 단지 기업들의 여수시에 기여도가 낮습니다.
일예로 울산의 경우 울산 내 산단 업체들에서 울산박물관, 울산과학관, 안전체험관, 등 어린이 체험및 교육에 관련된
시설들을 설치 및 운영 하고 있는 것으로 알고 있습니다.
이에 여수시에서도 산단 내 업체들을 통하여 "" 안전체험관"" 건립을 요청드립니다.
기대효과
울산 안전 체험관 - https://fire.ulsan.go.kr/safety/
전라북도 119 안전체험관 - https://safe119.sobang.kr/index.sko
부산 광역시 119 안전체험관 - https://119.busan.go.kr/firesafe/main#

이와 같은 체험관을 통하여 어린이 아이들은 안전교육 및 유사시 대비 훈련을 할수 있으며
어른들의 경우 산단내 종사자들을 위한 안전교육 및 여수시 내에서도 여로 곳으로 흩어져 있는 안전 교육 시설을
한곳으로 통합이 가능 할것으로 예측 합니다.
여수시의 안전관리를 종합적이고 체계적으로 할수 있는 ""안전체험관"" 건립을 통해 여수시민들의 안전을 책임져 주십시요.",2023-04-18,,,여수시,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,곡성군,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,광양시,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,구례군,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,나주시,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,담양군,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,목포시,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,무안군,제안심사
쓰레기통 태양열 쓰레기통으로 교체 해주세요~,"현황 및 문제점
일반 쓰레기 많은 곳이 있다는 걸 아시죠!
사실 쓰레기통을 제대로 설치해도 저녁에 보이지 않기도 하고, 깨끗하지 않기 때문에 꼼꼼하게 제대로 관리할 수 있도록 쓰레기통이 설치해주세요!
1. 태양열로 사용될 수 있도록 해주세요.
2. 저녁에 잘 보이지 않는 쓰레기통을 태양열로 바꿔서 잘 보이게 해주세요!
개선방안
1. 태양열 쓰레기통 사용해주세요!
기대효과
1. 거리가 깨끗해질 수 있다.
2. 저녁에 잘 보여서 거리에 쓰레기 버리지 않는다.",2023-04-14,,,보성군,제안심사
