제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
찾아가는 주민자치프로그램운영,"현황 및 문제점
행정복지센터에서 주민자치프로그램을 운영한다.
거주지가 행정복지센터와 거리가 멀면 프로그램에 참여할 기회가 적다.
특히 어르신들은 일부로 먼거리를 도보나 버스로 이동해야 한다.
개선방안
강의만 필요한 과정은 찾아가서 교육하는 제도 를 운영했으만 함
서예 등 실습이 필요한 과목은 제외
예)거주지가 개신동과 모충동 경계에 있는데 성화개신죽림동 행정복지센터는 성화동에 있다.
이런경우 개신동 평생학습교육관이나 방송통신대 강의실 빌려 교육(주1회)할 수 있으면 더 많은 주민들이 교육혜택을 받을 수 있다고 본다.
기대효과
주민교육복지 확대효과",2023-03-27,,,청주시,제안심사
제설용 포대 희수규정 제도화,"현황 및 문제점
아직도 도로 곳곳에 제설용(염화칼슘)이 담긴 포대가 많이 남아있다.
심지어 파손되어 포대만 남은 것도 많다.
10분만 걸어도 멀쩡한 제설용 포대가 사용되지 않고 있는 것이 많은데 청주시내에 산재되어 있는것 합치면
얼마나 많은가 예산낭비가 심하다
개선방안
차후 겨울철 제설작업(봄이오는 계절)이 끝나면 제설용포대를 남김없이 희수하는 제도마련이 필요하다.
재고량파악 사용량 파악.희수량 파악.미희수량 파악
기대효과
효과적인 관리로 예산낭비 감소.",2023-03-27,,,청주시,제안심사
셋째 이상 다자녀 가정 수당 지급,"현황 및 문제점
- 최근 저출산 고령화가 심화되면서 저출산은 노령화 사회로의 견인과 국가적 노동력 감소, 가족기능 악화, 사회적 비용 증가 등 국가적 존속 위협으로 국가 전반의 시스템 붕괴로 이어짐
☞ 영동군 셋째 이상 출산 현황 : 219('20), 164('21), 132('22)
※ 2023년 3월 기준 18명 출생
- 통계청에서 발표한‘2022년 출생 통계’를 보면, 전체 출산율 대비 둘째 이상 출산비율은 매년 감소추세
붙임 참조
※ 통계청의 「2022년 출생·사망 통계(잠정)」 출산 순위별 비중, 2012-2022

- 더욱이, 셋째 이상은 매년 꾸준히 감소하여‘15년 이후 10% 이하로 떨어져 있는 상황으로, 이는 지속적인 인구감소로 이어지고 있음
- 현재 시행중인 다자녀가구 지원시책만으로는 출산율 제고의 어려움은 물론, 영동군에서도 다자녀(셋째 이상)에 대한 특수한 지원시책 없음
개선방안
- 현재 임산부 및 출산가구에 다양한 정책수당(부모급여, 아동수당, 출산장려금, 출산바우쳐) 등 각종 정책 수당 지급 중
- 이에 추가로, 셋째 자녀 이상 가정에 일정금액의 수당 지급
※ 예시) 현재 영동군에 거주하고 있는 모든 다자녀(셋째아) 가구의 셋째아에게 출생때부터 고등학교 졸업하기 전까지 지급(소급 없음)
기대효과
- 다자녀 가구에 실질적인 지원을 통한 출산율 제고
- 각종 정책 수당과 연계한 시너지 효과 기대
- 지역사회 다녀자 가구에 대한 인식 개선",2023-03-27,,,영동군,제안심사
주민자치위원회 및 이장. 통장 임기(연임) 조례 개정 요함,"현황 및 문제점
충청북도 제천시 주민자치위원회 조례 17조 7항 내용을 개정하여 주십시요.
⑦ 위원장, 부위원장, 위원 및 고문의 임기는 2년으로 하되 연임할 수 있다. 다만, 위원장은 1회에 한하여 연임할 수 있다.<개정 2006. 11. 17>
위 내용으로 되어 있습니다.
즉 위 내용을 잘 이해 해보면 장기집권으로 이루어지고 있는 문제점을 가지고 있습니다.
개선방안
충북 제천시만 이렇게 되어 있는것이 아니고 전국적으로 이장, 통장, 주민자치위원회 기타 등등 임기가 위촉 받은 날 부터 위촉기간 만료후 연임 할 수 있다고 되어 있습니다.  여기서 각 지자체별로 운영하고 있는 주민참여예산위원회 및 기타 운영 위원회 경우 임기 만료 후 
연임은 가능하지만 재연임은 못하게 조례가 되어 있습니다. 그러나 현재 주민자치위원회 및 이장, 통장 임기 후 연임이 가능하지만 재연임도 가능하여 신규 위원으로 활동을 하고 싶어도 못하는 현실입니다 (즉 갑질이라 표현할 수 도 있음)
위 내용을 개선하였으면 합니다. 

* 개선 내용 :  모든 위원의 임기는 2년으로 하되 연임할 수 있고 재연임 및 추후 위촉을 못하게 하였으면 합니다. (임기+연임=4년)
기대효과
위의 문제점을 아래과 같이
모든 위원의 임기는 2년으로 하되 연임할 수 있고 재연임 및 추후 위촉을 못 받고 활동을 중지한다라고 조례을 개정하여
장기집권의 문제점을 해소하고 신규 위원들이 많이 참여 할 수 있는 기회가 되었으면 합니다.",2023-03-24,,,제천시,제안심사
청전동 시민공원 내 족구장 바닦 인조 잔듸구장 설치,"현황 및 문제점
현재 청전동 시민공원은 해발 300미터 정도의 아름다운 산책길조성으로 인근 주민들의 밤낮운동으로 인기를
얻고있다.
이곳밑에 설치된 족구장은 이름만 족구장이지, 바닦이 맨땅이라 개장후 한번도 이용할수 없었다.
가을이면 풍성한 풀들이 자라고, 양쪽에 걸쳐진 기둥에 널려진 족구네트에 어찌 운동을 하려하는지
지나는 사람마다 이젠 관심밖의 전유물이다. 현장을 본다면 너무도 당황스렁 현장이다.
애초에 시민공원의 주민에 족구장으로 조성되었지만, 운동을 할수없는 조건이었기에 매번 지날때마다
너무도 아쉬운 생각이든다.
개선방안
1)이곳 족구장의 바닦에 인조잔듸를 깔아서 본연의 계획에의한 운동을 할수있도록 조성하여 주기바랍니다.
(옆의 장락동 체육공원의 족구장은,축구장과 매번 기다림없이 주민들이 열심히 운동하고 있어 비교가됨)
2) 현실이 족구장으로서 부적합하다면 농구장으로 양쪽 골대를 설치변경하여도 개인적으로는 좋을듯합니다.
기대효과
쉬고 있는 족구장을 새롭게 사용할수 있도록하여, 지역주민의 건강관리와 운동경기에 도움을 주고자함.",2023-03-23,,,제천시,제안심사
우선도로,"현황 및 문제점
충청북도 옥천군 금강휴게소 금강IC에서 우산로를 따라 동이방면으로 진행하다 보면 IC에서 1km쯤 지나는 지점에 오른쪽 금강로 방향으로 진입로가 있습니다. 그런데 금강IC에서 우산로를 따라 진행하다가 이 지점에 이르면 오른쪽 비탈길 금강로에서 내려오는 차량들이 왼쪽에서 오른쪽으로 진행하는 직진차량을 발견하지 못하고 서행하거나 일단정지하 않고 그대로 들이 밀어서 우산로를 직진하는 차량과 부딪힐 뻔한 일들이 지주 일어나는데, 무슨 안전대책이 요구됩니다. 우산로에서 보면 오른쪽 경사로가 언덕위에서 비스듬히 내려와서 좌우회전하는 꼴이 되나서 경사로에서 차가 내려오는것이 전혀 보이지 않습니다. 고차지점에 반사경이 달려있기는 한데 낮에는 그런데로 거울이 보이는것 같은데 어둑어둑할때는 거울도 거의 보이지 않네요. 옥쳔군청 안전건설과 도로팀의 누구한테 전화를 해보았더니 이거 무슨 남의집 잔치집에 구경온 사람인지 관심도 없고 냉소적이기만 한데 지방관서가 관심이 없으면 중앙관서라도 나서서 한번 살펴보고 안전대책을 세워야 하는거 아닙니까 ?
개선방안
오른쪽 경사로를 밑에 있는 우산로에서 훤하게 볼수 있도록 개선공사를 하던지, 아니면 지금은 오른쪽 끝 잘 보이지도 않는 위치에 걸려있는 양보표지판이라도 도로 가운데 잘 보이는 위치로 옮기던지, 도로위에도 선을 긋는다던지 하여 일단정지신호를 확실히 보낼수 있도록 보수공사라도 해야 함.
기대효과
금강IC에서 우산로를 따라 동이면으로 가는 이길은 동이, 이원면과 경부 고속도로를 연결하는 주요
토로 이므로 개보수가 시급하다.",2023-03-22,,,옥천군,제안심사
제8회 늘푸른연극제 공동추진(유치 제안),"현황 및 문제점
안녕하세요.

제8회 늘푸른연극제를 추진하고 있습니다
늘푸른연극제는 원로연극인들의 축제이며, 원로예술인의 공연창작활동을 지원하고 있습니다. 늘푸른연극제는 전무송 운영위원장을 중심으로 움직이고 있습니다. 제7회는 국립정동극장 세실에서 3작품 그리고 더 줌아트센터에서 1작품을 성공리에 올렸습니다 올해도 제8회는 국립정동극장 세실에서 이뤄질 수 있도록 일정을 조정중에 있습니다.

그래서, 늘푸른연극제의 확장성과 지역활성화(원로연극인+지역연극인)를 위해 열심히 움직이고 있습니다. 그런데에 도지사님께서 문화예술에 큰 관심을 갖고 적극적인 행보를 하신 것을 아는 분을 통해 접했습니다.

시간을 내주실 수 있다면, 제8회 늘푸른연극제를 공동으로 추진해가면서. 중앙(서울)과 지역을 연결하는 네트워크 활동을 만들고 싶습니다. 서로 윈-윈 할 수 있는 계기를 만들어 낼 수 있다고 확신하고 있습니다.
개선방안
제8회 늘푸른연극제의 공동주최 제안
지역활성화에 '연극'이란 장르의 문화예술과의 접목을 통해, 도정의 활성에 충분히 기여할 수 있다고 보고 있습니다.

이 사업은 한국문화예술위원회 대한민국예술제 사업입니다.
기대효과
충북의 레이크파크 르네상스 사업에 일조할 수 있음.

도지사님께서 시간을 내주시면, 제8회에 대한 설명을 드리겠습니다.",2023-03-22,"○ 안녕하십니까? 귀하께서 신청하신 제안에 대해 아래와 같이 답변드립니다.
○ 우리 도는 충북청소년연극제, 소극장연극제 등 창작극 작품 공연을 지원하는 보조사업을 포함하여 다양한 연극분야 지원사업을 확정하여
추진 중에 있습니다.
○ 귀하께서 제안하신 사업의 공동 추진에 대해 금년 연극분야 지원사업이 확정되어 충청북도 도비 지원은 어려울 것으로 답변드립니다.
신규사업에 대한 지원 검토 시 기존 사업과의 차별성, 예산 투입 대비 효과성 등 종합적으로 판단하여 결정할 사항임을 추가적으로 말씀
드립니다.
○ 앞으로도 국민제안에 많은 관심을 부탁드리며, 답변 내용에 대한 추가 설명이 필요한 경우 충북도 문화예술산업과(☏ 043-220-3845)로 문의
하여 주시기 바랍니다. 감사합니다.",2023-04-06,충청북도,답변완료
"제천시의회, '제천시 화재피해주민 지원 조례안' 일부 수정 요망","현황 및 문제점
*현황
제천시의회는 지난 2월, 갑작스런 화재로 주거시설에 피해를 입은 주민들의 '조속한 생활안정, 피해회복'을 지원하기 위해, 시의원 7명이 공동발의한 <제천시 화재피해주민 지원 조례안>을 입법예고했습니다.
지원조례안은 제천시에 '실제 거주하는 주택 소유자, 또는 임차인'을 대상으로 <주택 전소 500만 원, 반소 300만 원, 부분소 100만 원 이하 피해지원금 지급>을 <규정>하고 있습니다.
단, ▲다른 법령이나 조례로 이미 지원을 받았거나 ▲화재보험에 가입되어 있거나 ▲빈집이거나 ▲피해가 미비하면 지원대상에서 <제외>됩니다.

*문제점
그런데, 주택 전소피해를 입었을 경우, 그 집에 거주할 수 없어 어쩔 수 없이 임시거처에서 생활할 수 밖에 없으며, 전소된 주택은 빈집이 됩니다.
또한, 주택 반소피해를 입었을 경우에도, 전기나 수도 등을 제설치할 수 없는 상황이면, 그 집에도 거주할 수 없어 임시거처에서 생활해야 하고, 반소된 주택도 빈집이 됩니다.
지원조례안은 빈집이 지원대상에서 제외되기 때문에, 주택 전소피해를 입었을 경우, 또 주택 반소피해자 중 실생활이 어려운 경우 지원을 받을 수 없게 되는 것입니다.
개선방안
-제천시의회는 '제천시 화재피해주민 지원조례안'을 일부 수정하길 요망합니다.
-지원조례안을 ‘주택 전소피해를 입었을 경우, 또 주택 반소피해자 중 실생활이 어려운 경우 ‘빈집’이라도 지원대상에 포함‘시켜주길 바랍니다.
기대효과
화재로 큰 피해를 입은 주민들에게 실질적인 도움이 될 것이며, 제천시의회 의원님들이 시민의 삶 전반을 더 세심하게 살피는 의정활동이라고 생각합니다.",2023-03-20,"○ 안녕하십니까? 귀하께서 신청하신 제안에 대해 아래와 같이 답변드립니다.
○ 우리 도는 충북청소년연극제, 소극장연극제 등 창작극 작품 공연을 지원하는 보조사업을 포함하여 다양한 연극분야 지원사업을 확정하여
추진 중에 있습니다.
○ 귀하께서 제안하신 사업의 공동 추진에 대해 금년 연극분야 지원사업이 확정되어 충청북도 도비 지원은 어려울 것으로 답변드립니다.
신규사업에 대한 지원 검토 시 기존 사업과의 차별성, 예산 투입 대비 효과성 등 종합적으로 판단하여 결정할 사항임을 추가적으로 말씀
드립니다.
○ 앞으로도 국민제안에 많은 관심을 부탁드리며, 답변 내용에 대한 추가 설명이 필요한 경우 충북도 문화예술산업과(☏ 043-220-3845)로 문의
하여 주시기 바랍니다. 감사합니다.",심사 중,제천시,제안심사
"인도 바닥안내표식을 보도블럭형 안내판으로 설치하면 좋겠습니다,,","현황 및 문제점
*현황


보행자들을 위한 안내로, 인도에 설치되는 바닥 안내표식이 증가 추세입니다.





*문제점

그런데, 공적기관의 바닥안내 내용은 금연, 거리안내, 자전거도로 등 제한적입니다.

또, 바닥안내 표시가 사후관리 미흡으로 마모 및 지워짐으로 지져분해보이는 곳들도 있습니다.
개선방안
-한층 더 내실있고 체계적인 시스템 구축으로 내구성을 감안해 보도블럭형 안내판 설치가 효율적으로 판단됩니다.
-바닥안내 내용 역시 지역홍보 등 다양한 국민서비스 형태로 확대하면 좋겠습니다.
기대효과
보행자들이 좀더 편안하게 도로를 이용하고, 깨끗한 거리 이미지에도 한 몫 할 것으로 생각합니다.",2023-03-19,"○ 안녕하십니까? 귀하께서 신청하신 제안에 대해 아래와 같이 답변드립니다.
○ 우리 도는 충북청소년연극제, 소극장연극제 등 창작극 작품 공연을 지원하는 보조사업을 포함하여 다양한 연극분야 지원사업을 확정하여
추진 중에 있습니다.
○ 귀하께서 제안하신 사업의 공동 추진에 대해 금년 연극분야 지원사업이 확정되어 충청북도 도비 지원은 어려울 것으로 답변드립니다.
신규사업에 대한 지원 검토 시 기존 사업과의 차별성, 예산 투입 대비 효과성 등 종합적으로 판단하여 결정할 사항임을 추가적으로 말씀
드립니다.
○ 앞으로도 국민제안에 많은 관심을 부탁드리며, 답변 내용에 대한 추가 설명이 필요한 경우 충북도 문화예술산업과(☏ 043-220-3845)로 문의
하여 주시기 바랍니다. 감사합니다.",심사 중,제천시,제안심사
호암동 세영 더조은 아파트앞 자전거 도로 보수 요청드립니다,"현황 및 문제점
호암동 세영더조은 아파트 앞 자전거 도로가 몇년째 일어나고 부서지고 엉망입니다
아이들이 가장 많이 자전거를 타고 등하교 하는곳인데도 불구하고 몇년째 엉망인채로 방치되어 있어서 매우 위험합니다 조속히 보수해주시기를 요청드립니다
개선방안
자전거도로 보수요청드립니다
기대효과
자전거 타고 등하교 하는 학생과 어르신들이 안전하게 다닐수있도록해주세요",2023-03-19,"○ 안녕하십니까? 귀하께서 신청하신 제안에 대해 아래와 같이 답변드립니다.
○ 우리 도는 충북청소년연극제, 소극장연극제 등 창작극 작품 공연을 지원하는 보조사업을 포함하여 다양한 연극분야 지원사업을 확정하여
추진 중에 있습니다.
○ 귀하께서 제안하신 사업의 공동 추진에 대해 금년 연극분야 지원사업이 확정되어 충청북도 도비 지원은 어려울 것으로 답변드립니다.
신규사업에 대한 지원 검토 시 기존 사업과의 차별성, 예산 투입 대비 효과성 등 종합적으로 판단하여 결정할 사항임을 추가적으로 말씀
드립니다.
○ 앞으로도 국민제안에 많은 관심을 부탁드리며, 답변 내용에 대한 추가 설명이 필요한 경우 충북도 문화예술산업과(☏ 043-220-3845)로 문의
하여 주시기 바랍니다. 감사합니다.",심사 중,충주시,제안심사
