지역명,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
충청남도,도로 방지턱 좀 개선해주세요.,"현황 및 문제점
송악저수지 지나서 봉순네 회전교차로에 있는 방지턱이 너무 높습니다. 사진에는 방지턱이 없는데, 올해 설치한 것으로 보입니다.
개선방안
방지턱을 규정에 맞게 낮추고 부드럽게 통과할 수 있도록 개선해주세요.
기대효과
회전교차로가 이미 있습니다. 방지턱 때문에 차량이 저속으로 달려도 차체에 무리가 갈 정도로 높습니다. 방지턱을 개선함으로 통행차량들의 편의를 도모하고, 규정에 맞는 방지턱 구비로 사고도 줄일 수 있습니다.",2021-04-23,"1. 귀하의 가정에 행복이 가득하시길 기원하오며, “충청남도 당진시 송악읍 가교리 687-1번지 일원 과속방지턱 절삭 건의” 제안에 대하여 다음과 같이 답변드립니다.
1) 해당 구간은 지방도 619호선으로 도로관리 주체는 충청남도 종합건설사업소임을 알려드립니다.
2) 과속방지턱 절삭 관련 사항은 공문을 통해 충청남도 종합건설사업소로 건의할 예정이며, 해당 부서에서 관련 법률 및 기타 사항 검토를 통해 추진하여야 할 사항으로 판단됩니다.
2. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로과 도로시설팀(041-350-4373)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2021-04-28,당진시,답변완료
충청남도,계룡시 내 루지 설치,"현황 및 문제점
계룡시 내 산들이 있지만 등산 인구와 지역 주민이외에는 산을 찾지 않음
개선방안
첨부 사진 참조
기대효과
통영에 있는 루지 시설을 계룡에 설치 하여 인근 대전을 비롯한 충남인근 및 전라도 인근 주민들이 계룡으로 찾아와 놀이 문화를 즐기며서 지역 경제 효과 및 인력 창출에 효과 예상",2021-04-28,"1. 국민신문고를 통해 제안해주신(신청번호 1AB-2104-0015682)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 “계룡시 내 루지 설치”에 관한 것으로 이해됩니다.
귀하의 제안사항에 대해 검토한 의견 및 결과는 다음과 같습니다.
현황과 문제점으로 지적해주신 계룡시내 산들이 있지만 등산 인구와 지역 주민이외에는 산을 찾지 않는다는 점을 지적해 주셨고,
통영에 있는 루지 시설을 계룡에 설치 하여 인근 시도 주민들이 찾아와 지역 경제 효과 창출 효과가 예상 된다는 제안에 대한 검토결과
<제안 내용에 대한 답변>
가. 계룡시에는 시유지가 없어서 루지 시설을 설치 하기 위해 토지 매입 등 많은 예산이 수반되는 문제점이 있습니다.
나. 장기적으로 검토가 필요하다는 답변을 드리며, 타시군의 사례처럼 기타 유원시설업으로 개인이 신청하는 경우 적극 협조드리겠다는 답변을 드립니다.
3. 귀하의 제안사항에 대해 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우, 계룡시청 행정복지국 문화체육과(☎042-840-2403)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2021-05-04,계룡시,답변완료
충청남도,외암리 둘레길 신설,"현황 및 문제점
아산시의 무궁한 발전을 기원합니다.
아산시민으로서 외암리민속마을이 우리나라 관광100선에 선정되었 다는것은 다행이고 당연한 결과라고 생각합니다.
물론 아산시의 수고에 감사드립니다.
20년도에 외암리에 이사왔는데 그전에도 느끼던 점이 있어 올립니다.
첫번째 외암리 민속마을 구간이 넘 짦다는 생각입니다. 주변에 꼬불꼬불 옛날 그대로 논길이 있는데 경치가 넘 좋습니다.
현재 있는 길을 조금 넓혀서 둘레길을 조성한다면 신정호수에 이어 아산의 힐링명소가 될것입니다.
직장이 천안이라 들어보면 민속마을은 아는데 외암리 민속마을인줄 모르는 사람들도 많구 잘 모르는 경우가 많습니다
무엇보다 외암리 민속마을만 둘러본다면 구간이 너무 짧다는 의견입니다. 요즘은 관광은 더 잘 아시겠지만 먹거리와 체험과 힐링할수 있는 인프라 구성이 필요하죠 구온양에는 유명한 식당도 있구(목화반점지난주 2시간 기다림) 가까이 외암리 민속마을까지 찾을수 있는 명소로 충분하다고 봅니다. 민속마을 주변 경치가 넘 좋아서 둘레길을 조성한다면 아산시민들의 발길도 많아지고 주변 지역에서도 명소가 될것입니다.
두번째 현재 진행되고 있는 도로공사가 송악면 입구 삼거리까지 되는걸로 알고있습니다.
주말에는 차들이 계속 막히는데 당연히 민속마을 입구까지 확장되어야 하는데 계획을 알고 싶습니다.
개선방안
둘레길은 외암리 민속마을을 정면으로 보고 좌측 소나무숲(외암이간선생님모신곳)에서 논길을 건너 1096번길로 올라가 설화산 입구로 해서 민속마을 우측으로 현재 그 길이 그대로 이어지는 것인데 길을 넓히고 가로수 식재가 필요하겠습니다.
기대효과
아산시에는 서쪽으로 신정호수가 있는데 호수 중심으로 둘레길이구요 당연히 주변 주민들이 찾는 장소가 되겠습니다. 동쪽으로 외암민속마을 있는데 둘레길을 조성한다면 자연경치 그대로 힐링할수 있는 곳이며, 코로나19로 인해 답답한 아산시민들이 멀리 가지 않고서도 찾을수 있는 둘레길이 될것입니다.",2021-04-29,현재 제안인이 제시한 안과 유사한 사업을 추진 중입니다.,2021-05-27,아산시,제안실현
충청남도,"당진하천, 수로, 방파제 유휴부지에 신재생에너지 설치로 관광도시 활성화","현황 및 문제점
최근 각국에서 기후변화문제 및 에너지개발을 최우선 해결과제로 추진하고 있으며, 이에 당진하천 양쪽 법면 및 방파제 법면이
유휴지로 방치되어 국토의 효률적인 사용이 필요한 사안 임
개선방안
현재 당진 지역은 수로 및 하천, 방파제 법면 및 호수등 풍부한 수자원, 풍력자원, 동 지역에 유휴지 및 공유수면에 풍력발전기 및
태양광발전기 조합 건설 설치 운영하여 당진시 세수 증대 및 시민 일자리 창출
기대효과
대규모 전원개발이 가능할것으로 추정되며, 당진시 세수증대 및 시민 일자리 창출 및 이산화탄소 저감으로 국가경제에 기여하고,
세계 기후온난화 방지에 기여",2021-05-04,"1. 안녕하세요. 당진시 시정 발전을 위한 제안에 감사드립니다.
제안해주신 내용에 대한 검토사항을 말씀드리겠습니다.

2. 당진 하천 및 방파제 법면 등을 활용한 재생에너지 사업 추진의 경우,
1) 하천 법면의 경우, 하천의 범람 등 안전산의 이유로 발전설비 등 영구시설물 축조가 불가능하며,
2) 방파제의 경우 국유지 또는 한국농어촌공사 소유로 당진시에 사업추진 권한이 없습니다.

3. 또한 저수지 등 농업생산기반시설의 경우,
1) 한국농어촌공사 관리 시설의 경우 농어촌공사에서 개발 권한이 있고
2) 지자체 관리 시설의 경우 현재까지는 재생에너지 연계 개발에 대해서는 해당 관리부서(건설과)에서 종합적 검토가 필요한 상황입니다.

4. 우리 시는 민간 재생에너지 사업이 활성화될 수 있도록 「당진시 주민참여형 에너지전환 지원 조례」 제정을 통해 민간의 에너지전환 사업을 적극 지원할 계획입니다. 귀하의 제안을 채택하지 못하는 점 널리 양해하여 주시기 바랍니다. 다시 한번 시정 발전에 관심을 가져주셔서 감사합니다. 끝.",2021-06-23,당진시,답변완료
충청남도,1인가구(독거노인과 미혼가구 포함)관리 시스템 구축,"현황 및 문제점
1. 아산시 부처별 업무를 분석한 결과 1인 가구(독거노인,미혼가구) 돌봄 및 업무 분장이 혼재되어 있음
2. 독거노인 업무는 경로장애과 경로복지팀에서 담당하고 있으며, 온양5동 찾아가는 보건복지팀에서 담당하고 있으나 미혼여성에 대한 업무는 전무한 실정임
3. 독거노인 관련 업무를 분석해 보면 독거노인지원사업, 노인돌봄 서비스 사업관리, 시니어클럽운영, 노인 사회활동 지원사업으로 1팀이 업무를 수행하기에는 인력이 부족해 보임.
4. 1인가구(독거노인과 미혼가구)의 증가에도 불구하고 담당팀이 없음
5. 1인가구의 안전하고 돌봄이 가시화 되도록 관리 시스템의 구축 필요성 대두
개선방안
1. 1인가구 담당 전담팀을 구성
2. 간병서비스 실시: 병원에 입원이나 통원치료를 필요로 할 때 단기 간병 지원사업 실시
3. 독거노인 안부전화 정기적 실시(음성메세지 및 문자)로 건강확인과 통화가 이루어지지 않았을때 방문 서비스 실시로 구분하여 관리
4. 집안 내부의 소소한 수리나 개선을 위한 자원봉사 Pool 구축
5. 1인가구의 문제로 대두되고 있는 각종 정신적 질환을 담당하는 시스템 구축(담당 병원이나 종합병원과 연계하여 실시)
6. 1인가구 특히 미혼여성 가구의 방범 취약점을 해소할 원룸 밀집지역에 긴급벨 설치와 집안에 인근 파출소를 호출할 수 있는 방범벨 설치사업 지원
기대효과
1. 더 큰 아산 행복한 시민이라는 민선7기 공약사업의 구체적 실현
2. 인력 부족을 근본적으로 개선할 1인가구 전담팀 구축으로 부처별 혼재되어 있는 업무의 일원화
3. 찾아가는 복지 사업의 구체화",2021-05-09,"1. 안녕하십니까? 귀하의 1인 가구 관리 시스템 구축 및 개선방안 제안 (신청번호: 1AB-2105-0003596/2AB-2105-0002239)에 감사드리며, 다음과 같이 회신 드립니다.

2. 귀하께서는 1인 가구 복지 시스템 체계화를 위해 ① 1인 가구 전담팀 구성 ② 독거노인 간병 서비스 및 안부 전화 실시 ③ 독거노인 및 취약계층 환경개선 지원 ④ 1인 가구 정신 건강관리 ⑤ 1인 여성 가구 안전 생활 지원을 제안해주셨습니다.

3. 귀하께서 제안하신 내용을 검토한 결과는 다음과 같습니다.

가. 아산시에서는 일상생활 영위가 어려운 취약노인의 안정적 돌봄을 위하여 생활지원사를 파견하여 정기적인 안부 확인, 말벗, 가사활동 등의 돌봄 서비스를 제공하고 있습니다. 정보통신기술(ICT)이 접목된 차세대 장비를 통한 비대면 모니터링으로 독거노인의 응급상황을 예방하기 위한 응급 안전 서비스 사업을 확대하여 운영하고 있으며 생활지원사의 인력 확대를 통하여 보다 많은 노인들에게 돌봄 서비스를 제공할 예정입니다. 또한 국민건강보험공단의 노인 장기요양보험 등급 판정을 통해서 맞춤형 노인 돌봄서비스의 신체, 가사 활동, 간병 등을 지원하고 있습니다.

나. 그리고 안전한 주거환경 개선 사업으로 방범창 및 시건장치 교체, 도배장판 등을 지원하고, 민·관협력을 통해 복지위기가구를 발굴하고 사각지대 해소를 위해 읍면동 행복키움추진단에서는 독거노인 및 취약계층 대상 집안 수리 및 청소 등 주거 환경 개선 지원을 하고 있습니다. 또한 1인 가구 정신 건강 관리를 위해서 정신질환 대상자의 경우 보건소 정신보건복지센터의 방문 관리 또는 병원과의 연계를 통해 돕고 있습니다.


다. 아산시는 사회적 약자에 대한 안전망을 강화하고 범죄 예방 등을 위해 안심귀가서비스 사업(위급상황 발생 시 스마트폰을 흔들거나 어플 ‘도와주세요’ 버튼을 클릭하면 아산시 CCTV통합관제센터로 전송되어 경찰 신속 출동요청 등 즉각 대응)을 추진하고, 도시시설물 경관 개선사업에 안전요소를 더해 안심하고 살 수 있는 마을을 조성하기 위한 안심마을 조성사업(CCTV·비상벨·보안등 등 안전시설물 설치, 범죄예방 에티켓 사인·마을안전지도 등 홍보물 마련, 벽체 도색·쓰레기 무단투기 방지시설 설치 등)을 실시하고 있습니다. 또한 경찰서 주관(아산시 협업)으로 범죄 신고 건수 등을 고려하여 선정된 권역에 여성 안심 귀갓길 및 안심 구역을 지정하여 비상벨 및 보안등, CCTV 설치사업을 통해 미혼여성 가구의 방범 취약 해소를 위해 노력하고 있습니다.

라. 끝으로 1인 가구 기본 조례 제정 추진과 관련하여 1인 가구를 위한 범죄예방 등 사회안전망 구축, 건강 및 식생활 지원 사업 등을 검토 중에 있습니다. 또한 각 부서에서 담당하고 있는 노인, 여성, 청년 등 1인 가구 지원사업이 원활히 추진될 수 있도록 총괄 관리할 수 있는 전담인력 또는 전담팀 구성을 위해 조직·인사부서와의 협의를 하도록 하겠습니다.

마. 향후 1인 가구 기본 조례가 제정된 후 예산과 타당성을 면밀히 검토하여 귀하의 제안을 반영한 1인 가구 정책을 시행하도록 노력하겠으며 앞으로도 아산시의 1인 가구 정책에 많은 관심을 부탁드립니다.

4. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 양해하여 주시기 바라며, 이밖에 문의사항은 아산시청 여성가족과 출산다문화팀
(☏041-540-2021)으로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.",2021-06-08,아산시,제안실현
충청남도,서산시 성연면 테크노밸리 공원개선사업 의견 첨부합니다.,"현황 및 문제점
현재 학교정원 과밀화에 증축하더라도 면소재지의 적당한 정원은 기대하기 어려워 보입니다. 그래서 이러한 주민 불만을 조금이나마 해소하고자 개인의견을 적어봤습니다.
성연천쪽 공원과 현재 입찰중인 테크노밸리 내 학교앞 공원 개선공사 관련해서 의견 전달드리며사진 참고 하시고 적극 반영되길 부탁드리겠습니다.
개선방안
성연천 공원 ㅡ> 놀이터 신규시설 설치
테크노밸리 내 공원개선ㅡ> 주변 아파트에 비해 적은 편의시설로써 역시 신규 놀이시설 및 조명개선
기대효과
성연천 공원 ㅡ> 아이놀이터 개선 시 주변상권활성화 및 인구유입, 아이키우기 좋은 면소재지 홍보.
테크노밸리 내 공원개선ㅡ> 학교 과밀화에 따른 주민불만해소 및 향후 인구유출 방지",2021-05-11,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AB-2105-0005015) 재심사 요청에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 서산시 산림공원과에서는 테크노밸리 내 아동인구 급증에 따라 도시공원의 재정비가 시급함을 인지하고 있음을 재차 말씀드리며,
나. 재정비 시 추정 사업비는 20억 원 이상으로 투자심사 등 사전행정절차를 거쳐야 하며 코로나19로 인한 시 재정적 여건 상 장기적으로 검토할 사항으로 판단됩니다.
다. 또한, 말씀하신 성연면 체육부지는 공원으로 활용할 계획이 없다는 의견을 담당부서(체육진흥과)를 대신하여 전해드립니다.
3. 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 서산시 산림공원과 김강산 주무관(☏041-660-2426)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2021-06-18,서산시,답변완료
충청남도,교통량 증가로 인한 안전통행위해 파손도로 전폭포장,"현황 및 문제점
늘 시정발전에 노고가 많으십니다. 순성에서 당진수청리까지의 지방도가 현재 절개후 때운 부분, 파손되 부분 땜질한 부분 등 노면상태가 현저히 불랑해 통행량이 많은 곳으로..그곳을 피하여 운전하는등 안전운행에 문제가 많아 개선이 요구됨, 특히 순성에서 서해안 고속도리 밑 성북리 인퍼스 앞 까지 전폭포장이 최근 되어 있으나 당진수청지구까지 포장하는줄 알았으나 성북리에서 공사종료한듯하여..더 요철이 심한 갈산리 주변 등 요철과 도로변형등 상당히 심각합니다. 공사 시작한김에 당진까지 전폭포장을 실시하였으면 하는 바람임.
또한 수청빌라에서 농협사거리까지의 도로 개선공사를 조속히 완공하여 안전운행에 도움이 되도록 빠른 시정이 요구됨에도 보도블럭과 조경공사를 필요이상으로 미리 완공함에 이용하지않고있는 도보 이용자보다교통운전자들의 편의가 현저히 떨어짐.
개선방안
성북리 서해안고속도리 밑에서 수청빌라까지의 양방향 전폭포장이 시급함
또한 수청빌라에서 농협 사거리까지의 선형개량과 도로개선공사가 빨리 완공될수있도록 협조부탁드립니다.
기대효과
통행량 증대로 교통안전에 최우선됨",2021-05-13,"1. 귀하의 가정에 행복이 가득하시길 기원하오며, “충청남도 당진시 수청동 ~ 순성면 일원 지방도615호선 구간 파손도로 재포장 및 수청2지구 도로 개선공사 조속 추진” 제안에 대하여 다음과 같이 답변드립니다.
1) 파손도로에 대한 보수를 요청하신 구간은 지방도 615호선으로 도로에 대한 보수 및 유지관리 주체는 충청남도 종합건설사업소임에 따라 현장 확인 후 공문을 통해 건의토록 하겠습니다.
2) 수청동~농협사거리 일원 현재 진행 중인 수청2지구 도시개발사업 지방도 확포장 관련하여 현재 해당 공사를 추진하고 있는 도시재생과 문의 결과 일부 필지에 대한 토지수용이 되지 않아 재결위를 통해 공사를 추진하고자 하며, 금년 12월 31일까지 준공될 수 있도록 하겠다는 답변을 받았습니다.
2. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로과 도로시설팀(041-350-4373)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2021-05-20,당진시,답변완료
충청남도,길고양이 쉼터,"현황 및 문제점
부여에 길고양이가 많고 비가 오는 날에도 밖에서 추위를 견디며 살아가는데 또 길고양이를 보호소에 데려가면 안락사를 당할 확률이 많고 또 내가 길고양이 밥을 주고 있는데 비가 오면 고양이가 오지 않습니다 동네에 작게 길고양이 쉼터를 만들어주면 제가 가서 밥은 주겠습니다 저희 고양이도 나간적이 있는데 비에 홀딱 젖어서 들어왔습니다 길고양이 쉼터가 있으면 동네 주민들도 고양이에 대해 신경을 안 써도 됩니다 저는 고양이가 어디에서 자는지 저희 고양이가 나갔는데 어디에 있다 왔는지 조차도 몰랐습니다 그 이후고 고양이 쉼터가 있었으면 좋겠다는 생각이 드네요! 저희 길고양이를 보호소에 들여보내고 싶지 않아요
저희 고양이가 죽어서 나타난 적도 있었습니다...
개선방안
캣타워,길요양이 집,고양이 자리,cctv를 해주셨으면 하는 바램입니다
기대효과
고양이가 더이상 춥지 않게 다치지 않게 다녔으면 하는 바램입니다",2021-05-16,"국민신문고 접수 제안(1AB-2105-0006476) 심사 결과를 다음과 같이 통보하고자 합니다.
1. 안녕하십니까? 군정에 관심을 가지고 제안해 주셔서 감사드립니다
2. 귀하께서 국민신문고 국민제안을 통해 신청하신 제안사항(신청번호 1AB-2105-0006476)에 대한 검토결과를 다음과 같이 알려드립니다.
3. 귀하의 제안내용은 '길고양이 쉼터 설치 요청'에 관한 것으로 판단됩니다.
4. 동물보호법 시행규칙 제13조에 따르면 도심지나 주택가에서 자연적으로 번식하여 자생적으로 살아가는 고양이는 구조·보호조치에서 제외되어 보호소에 입소하게 될 경우 중성화하여 포획장소에 방사 조치되는 대상입니다. 따라서 현재 부여군은 길고양이 신고 접수 시 다치거나 어미로부터 분리되어 스스로 살아가기 힘들다고 판단되는 어린 고양이가 아닐 경우 중성화하여 방사조치 하고 있습니다.
5. 길고양이 쉼터 설치에 관해 귀하의 제안을 검토한 결과 아직까지는 길고양이에 대해 부정적으로 인식하는 주민이 일부 있기 때문에 동네에 길고양이 서식지가 형성될 경우 개체 수 증가, 소음 및 분뇨 발생 등 민원발생 요인에 대해 다방면으로 고려해야하는 중장기검토가 필요한 사안으로 사료되어 불채택 처리하였음을 알려드립니다.
6. 답변내용에 대한 추가 설명이 필요한 경우에는 부여군농업기술센터 축산과 이유림(041-830-2256)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
붙임 국민제안신청서 1부. 끝.",2021-06-28,부여군,답변완료
충청남도,"풍기역 활용도(소비,관광,인구증가)","현황 및 문제점
아산에 거주하는 시민으로 지역 개발의 발전을 기원하며 작성합니다.
사업비 1,582억이 투입되는 풍기역이 생기므로 이용 승객이 많아져야하며 아산시민의 인구 증가와 소비가 아산에서 이루어져야 된다고 생각합니다.
개선방안
풍기역과 연결되는 백화점과 테마파크 만들어주세요!
서울(잠실)에 롯데월드처럼 지하철에서 내리면 테마파크와 백화점을 이용할 수 있는 시스템을 갖췄으면 좋겠읍니다. 작은 테마파크가 아닌 롯데월드 포레스트 테마파크나 미국 디즈니랜드로 추진해 주시면 풍기역 활용도와 관광으로는 금상첨화!!!
기대효과
아산시민들이 타지로 소비하지 않을 수 있고 타지 시민들이 아산에서 소비할 수 있습니다.
테마파크를 이용하기 위해서 많은 시민들이 풍기역을 찾을 것이며 백화점과 테마파크로 인해서 일자리 창출과 주변 상권이용으로 아산 상인들에게도 득이 될 것 입니다. 살기 좋은 아산 살고 싶은 아산이 되길 바라며 많은 분들의 찬성으로 꼭 이루어 졌으면 좋겠습니다.",2021-05-17,"안녕하세요. 아산시청 기획예산과 정책기획팀 제안업무 담당자 전지선(☎041-540-2104)입니다.
우선 대한민국의 경제를 선도하는 아산시에 제안을 접수하여 주셔서 감사드리고,
아울러 평소 아산시정에 많은 관심과 의견을 제안해 주신데 대하여 깊은 감사의 말씀을 드립니다.

귀하께서 제기하신 제안에 대해 다음과 같이 회신하여 드립니다.

제안의 요지는 ""아산시 대형 백화점 등 쇼핑단지 및 테마파크를 구축하자.""는 내용으로 이해됩니다.
소관부서 검토결과, 우리 시는 현재 롯데마트 2개소, 이마트 2개소가 입점하여 있습니다.
백화점등은 대규모 점포로써 입점 시 유통산업발전법에 의거 소관부서에 개설 등록, 개설예고를 하여야 하며
또한 전통 상업보존 구역 내 개설 시는 출점을 제한할 수 있음을 알려드립니다.
테마파크의 경우 관광진흥법에 의한 유원시설로 놀이공원 시설물 설치 시 초기조성 비용 및 유지관리 비용 대비
수익적 측면에 대한 면밀한 검토와 놀이공원 조성에 따른 인근 주택가의 소음 및 주차민원 등 지역주민의 의견수렴 선행이 필요한 사업으로
관광차원에서 장기적으로 검토되어야 할 것으로 보입니다.
해당 제안 내용은 시정운영에 참고하겠으며 금번 제안채택심사 결과는 아쉽게도 불채택 되었습니다.

위와 같은 사유로 귀하의 제안을 수용하지 못하는 점을 널리 이해하여 주시기 바라며,
다시 한번 아산시 업무에 관심을 가져주신 데 대해 감사를 드립니다.
앞으로도 좋은 의견 많이 제안해 주시기 바랍니다. 감사합니다.",2021-06-29,아산시,답변완료
충청남도,충청남도 당진시에 있는 세한대학교 당진캠퍼스 주변에 있는 비포장도로 골목길 개선이 필요합니다.,"현황 및 문제점
1. 학교 주변 상가 겸 거주 빌라에 있는 비포장 도로
- 차량으로 등하교 하는 학생 및 민간인들이 자취촌(이마트 편의점) 쪽으로 진입할 때 자갈이 많아 길이 고르질 않습니다. 때문에 차량 손상 우려가 있으며, 위에서 넘어지거나 자칫해 큰 돌 파편이 튀어 큰 부상으로 이어질 가능성이 있어 보입니다. 또한 작은돌이 많은 터라 신발 밑으로 돌맹이들이 걸려 도보 시에 이동이 불편합니다.

2. 공사 후 방치된 흙길
- 자취촌 옆 흙으로 된 큰 구덩이와 진입하는 입구에 있는 흙길들은 바람이 크게 올 시 먼지바람이 되어 위생에도 문제가 되며 폐에 흙먼지가 들어갈 수도 있는 건강상의 우려가 있습니다. 또한 우천시 빗물이 고이면 흙이 달라붙어 신발이 더러워지고 돌바닥이 은근히 미끄럽습니다. 때문에 안전상의 이유로 개선해주셨으면 합니다.
개선방안
- 비포장 도로를 시멘트로 보안 요망
자갈들이나 큰 돌들, 그리고 흙바닥 대신 시멘트로 바닥을 메우는 방안을 제시하고 싶습니다. 현재 우리나라의 많은 골목길을 포함한 도로들처럼 시멘트로 메우면 인근 자취생들은 물론이고 골목길을 왕래하는 민간인들이 왕래할 때 한층 편해질 것 입니다. 혹여 이 개선방안을 실행하기 곤란할 수도 있습니다. 학교에서 소유하고 있는 개인 토지일 수도 있기 때문에 이 경우에는 학교 측에 개선 촉구 의견을 제시해주셨으면 좋겠습니다.
기대효과
도로 근처에 농사나 공사 차량들이 많이 다녀 개선 시 차량들이 더 안전한 길로 잘 다닐 수 있습니다. 또한 대학 근처에 거주하여 도보를 이용하는 학생들이나 점심 시간대에 나온 학생들이 더 이상 바닥에 돌이 튈 걱정을 하지 않아도 괜찮고, 바람 때문에 모래 먼지나 우천 시에 생긴 흙탕물 웅덩이는 걱정하지 않아도 돼 학생들에게 더 편안한 환경을 만들어줄 수 있을 것이라고 봅니다. 그리고 후에 들어올 건물들이 건축될 때 도로가 잘 포장되어 있다면 공사 차량의 왕래가 편해져 작업진행이 수월질 것이라고 생각됩니다.",2021-05-22,"1. 시정발전에 관심을 가져주셔서 감사합니다.
2. 귀하께서 국민신문고로 제안하신 내용은 세한대학교 당진캠퍼스 주변에 있는 비포장 도로 골목길 개선을 제안하신 사항으로 아래와 같이 답변 드립니다.

○ 세한대학교 일원은 국토계획법에 의해 지구단위계획구역으로 지정된 지역으로 현재 미 개설된 도로는 소로1류(10~12m) 및 소로2류(8~10m)의 도로개설 계획이 수립된 도로로, 우리시 지방재정여건 및 사업의 우선순위를 고려하여 향후에 추진이 되어야 할 사항으로서 제안하신 민원을 채택하지 못한 점 양해하여 주시기 바랍니다.

3. 기타 궁금하신 사항에 대하여 당진시청 건설과 지역개발팀(☎041-350-4632) 및 도로과 도시계획도로팀(☎041-350-4381)로 문의하여 주시면 친절히 답변하여 드리겠습니다. 끝.",2021-06-24,당진시,답변완료
