제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
겨울에도 식사하는 경로당에 신선한 채소를 제공하는 식물재배기 제공,"현황 및 문제점
안녕하세요. 보령시 성주면 개화1리 조남현 이장 입니다.

농촌신활력플러스 사업으로 재능기부로 식물재배리를 만들어서 경로당에 무료로 제공을 했더니
경로당 분들이 너무나 좋아라 하십니다.

https://youtu.be/1M7LBhW0jgo

겨울에는 경로당에 더 많은 분들이 모여서 식사를 하시는데요.

지원금이 떨어진 경우가 많습니다.
스스로 돈을 모아서 식사를 함께 하시는 경로당에

겨울에는 식물을 재배가 어렵답니다.
겨울철 실내에서도 상추등을 키우는 것이 가능한 식물재배기를

겨울철 공동식사를 하는 경로당 33곳에 지원을 해주는 사업을 해 주면 좋겠습니다. 예산은 1억 필요
개선방안
식물재배기 설치 및 운영교육을 통해서 건강한 먹거리 마련

지역소멸문제 중 농촌지역 청년이탈 문제가 있는데요.
마을사업으로 식물재배기를 납품을 한다면
일자리 창출과 더 많은 청년들이 농촌으로 내려 올 수 있는 기회를 만들 수 있습니다.

스마트팜 사업이 앞으로 더 확산이 될 텐데 보령시가 선도적인 역할을 할 수 인재를 키워 나갈 수 있습니다.
기대효과
보령시 성주면 개화리에 열악한 양송이 농장의 개선이 가능합니다.
스마트팜을 보령이 선도 할 수 있는 기회를 만들 수 있습니다.
더 질 좋은 직장을 보령시에 만들 수 있습니다.
어르신들에게 칭찬을 받을 수 있습니다.",2022-12-16,"국민신문고 국민제안에 대한 검토결과를 아래와 같이 통지하고자 합니다.

1. 제안제목: 겨울에도 식사하는 경로당에 신선한 채소를 제공하는 식물재배기 제공
2. 제 안 자: 조OO(보령시 성주면)
3. 답변내용

1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 제안(신청번호 1AB-2212-0009388)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하께서 제출하신 제안의 내용은 농촌신활력플러스 사업으로 추진 중에 있는 개화1리 경로당 내 설치한 식물재배기의 어르신 만족도가 높아 지역 내 다른 경로당에도 확대 보급하여 어르신 여가복지 증진을 도모하고자 하는 것으로 이해됩니다.
3. 귀하의 제안사항에 대해 검토한 의견은 다음과 같습니다.
가. 현재 보령시에서는 경로당 이용 어르신 공동식사 지원을 위해 경로당 운영비 및 양곡을 지원하여 경로당 이용 활성화에 힘쓰고 있으며, 시설 내 필요물품(TV, 냉장고, 에어컨, 안마의자 등)을 지속적으로 지원하여 어르신 편의 제공 및 쾌적한 여가공간 조성을 위해 노력하고 있습니다.
나. 위와 같이 우리시에서는 귀하께서 제안하신 내용과 유사한 사업으로 경로당 공동식사 지원을 위해 힘쓰고 있으며, 귀하께서 제안하신 공동식사를 하는 경로당 내 식물재배기 지원 사업은 예산확보 사안으로 필요성을 파악하여 중장기적으로 검토해 나가겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 보령시 사회복지과 김애린주무관(☏041-930-3622)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.


붙임 국민제안 관리기록부 1부. 끝.",2023-01-27,보령시,답변완료
대덕동수변공원하천길,"현황 및 문제점
수변공원 하천길 정리가 시급한거같습니다
정비는 어렵더라도 깔끔하게라도 정리해주셨으면감사하겠습니다
개선방안
하천정비.가로등정비
기대효과
공원산책이 즐거워 질것 같습니다",2022-12-06,"1. 안녕하십니까? 귀하께서 신청하신 제안(신청번호 1AB-2212-0003203)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 “위탁업체를 통한 당진천 산책로 관리 및 가로등정비 요청”에 관한 것으로 제안사항에 대해 검토한 의견은 다음과 같습니다.

가. 제안사항은 우리시 대덕동 수변공원 인근 당진천 산책로의 시설 및 환경 정비에 대해 위탁업체 선정을 통해 유지관리를 해달라는 사항으로,
나. 당진천 유지관리의 경우 매년 예산을 확보하여 청소, 예초작업, 준설, 산책로 및 시설물 유지보수 사업 등 업체를 선정하여 지속적으로 관리하고 있습니다.
다. 이에 이미 시행 중인 사항으로 국민제안을 불채택함을 알려드립니다.
라. 가로등 정비의 경우 아래 교통과 의견을 참고하시기 바랍니다.
1) 교통과 검토의견
- 대덕동 수변공원 가로등 및 산책로 인근 가로등의 점등불량 및 수선건과 관련하여 현재 고장내용을 접수하였으며, 빠른 시일내로 업체를 통해 보수토록 하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 건설과 하천팀(041-350-4652), 교통과 교통관리팀(041-350-4545)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2023-01-11,당진시,답변완료
수변공원 하천 정비 부탁 드립니다.,"현황 및 문제점
수변공원 하천 정비부탁 드립니다.
쓰레기들과 담배꽁초들이 아무데나 널부러져 있고 아이들과 걷기 불쾌 합니다.
가로등도 설치 되어 있으나 꺼져 있는 것도 있습니다.
정기적인 검사도 필요 할것 같습니다.
개선방안
기초적인 것부터 실천해 주시면 좋겠습니다
위탁 업체를 이욤 하는 방법이 좋을것 같습니다.
기대효과
더좋은 공간이될것갔아요!
운동하시는 분들이 더 늘지 않을까요?
산책하는 사람들도 않이 생길거구요!",2022-12-06,"1. 안녕하십니까? 귀하께서 신청하신 제안(신청번호 1AB-2212-0003198)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 “위탁업체를 통한 당진천 산책로 관리 및 가로등정비 요청”에 관한 것으로 제안사항에 대해 검토한 의견은 다음과 같습니다.

가. 제안사항은 우리시 대덕동 수변공원 인근 당진천 산책로의 시설 및 환경 정비에 대해 위탁업체 선정을 통해 유지관리를 해달라는 사항으로,
나. 당진천 유지관리의 경우 매년 예산을 확보하여 청소, 예초작업, 준설, 산책로 및 시설물 유지보수 사업 등 업체를 선정하여 지속적으로 관리하고 있습니다.
다. 이에 이미 시행 중인 사항으로 국민제안을 불채택함을 알려드립니다.
라. 가로등 정비의 경우 아래 교통과 의견을 참고하시기 바랍니다.
1) 교통과 검토의견
- 대덕동 수변공원 가로등 및 산책로 인근 가로등의 점등불량 및 수선건과 관련하여 현재 고장내용을 접수하였으며, 빠른 시일내로 업체를 통해 보수토록 하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 건설과 하천팀(041-350-4652), 교통과 교통관리팀(041-350-4545)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2023-01-11,당진시,답변완료
하천정비 및 수변공원 가로등교체,"현황 및 문제점
당진시내 하천은 수년전 만들어졌을당시엔 참으로 깖금하고 이뻤는데 지금의 하천은 정맣 볼품없습니다.
순성방향에서 채운동까지 이어진 하천좀 깔끔하게 정비좀해주세요. 어른아이 할것없이 낮밤안가리고 편안히 오갈수있게 깔끔하게 이쁘게 새단장좀 해주셨으면 좋겠습니다. 중간중간 쉬어가는 의자도 마니 만들어주고요. 연말인데 멀쩡한 도로 깨부시고 교체하지마시고 하천정비나 해주세요!!

그리고 수변공원 놀이터쪽 가로등 깨진채로 있습니다 위험하니 교체해주세요!!
개선방안
하천정비는 위탁업체를 선정해 맡겨주세요.
기대효과
당진 시민들의 산책등 운동 등 여가활동에 많은도움될거구 친인척이 와도 자랑할만한곳 한곳정도는 있을것같습니다",2022-12-06,"1. 안녕하십니까? 귀하께서 신청하신 제안(신청번호 1AB-2212-0003196)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 “위탁업체를 통한 당진천 산책로 관리 및 가로등정비 요청”에 관한 것으로 제안사항에 대해 검토한 의견은 다음과 같습니다.

가. 제안사항은 우리시 대덕동 수변공원 인근 당진천 산책로의 시설 및 환경 정비에 대해 위탁업체 선정을 통해 유지관리를 해달라는 사항으로,
나. 당진천 유지관리의 경우 매년 예산을 확보하여 청소, 예초작업, 준설, 산책로 및 시설물 유지보수 사업 등 업체를 선정하여 지속적으로 관리하고 있습니다.
다. 이에 이미 시행 중인 사항으로 국민제안을 불채택함을 알려드립니다.
라. 가로등 정비의 경우 아래 교통과 의견을 참고하시기 바랍니다.
1) 교통과 검토의견
- 대덕동 수변공원 가로등 및 산책로 인근 가로등의 점등불량 및 수선건과 관련하여 현재 고장내용을 접수하였으며, 빠른 시일내로 업체를 통해 보수토록 하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 건설과 하천팀(041-350-4652), 교통과 교통관리팀(041-350-4545)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2023-01-11,당진시,답변완료
당진시내 하천정비,"현황 및 문제점
당진시에서 순성가는 방향의 하천에 도보운동을 할 수 있게 되어있으나 하천에 장마때 밀려온 쓰레기 및 우거진 나무 가지 등이 어수선하게 널려있어 미관을 넘 해칩니다.

내년도 벚꽃시즌에 당진시민 뿐만아니라 타지역에서도 많이 올텐데요 사실 매년 가보지만 하천의 모습은 상당히 부끄럽습니다


개선방안
시청인력으로 해결하기 어렵다면 위탁관리 업체를 선정하여 지속적인 관리를 해주셨으면 합니다.

더불어 시장님 공약중에 호수공원 설치공약에 있었던 것으로 기억하는데요 인공적인 구조물을 설치하기 보다는 현재 있는 자연자원을 활용하는 방안을 고려해주셨으면 합니다
기대효과
하천정비로 인하여 자연경관이 아름다워지면 미관상 이점도 있겠지만 당진시민들이 산책을 하면서 운동하며 건강관리가 되어 건강한 당진시가 만들어질 것이고 주변 상권도 살아나서 경제적인 효과도 있을 것 입니다.",2022-12-06,"1. 안녕하십니까? 귀하께서 신청하신 제안(신청번호 1AB-2212-0003197)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 “위탁업체를 통한 당진천 산책로 관리 및 가로등정비 요청”에 관한 것으로 제안사항에 대해 검토한 의견은 다음과 같습니다.

가. 제안사항은 우리시 대덕동 수변공원 인근 당진천 산책로의 시설 및 환경 정비에 대해 위탁업체 선정을 통해 유지관리를 해달라는 사항으로,
나. 당진천 유지관리의 경우 매년 예산을 확보하여 청소, 예초작업, 준설, 산책로 및 시설물 유지보수 사업 등 업체를 선정하여 지속적으로 관리하고 있습니다.
다. 이에 이미 시행 중인 사항으로 국민제안을 불채택함을 알려드립니다.
라. 가로등 정비의 경우 아래 교통과 의견을 참고하시기 바랍니다.
1) 교통과 검토의견
- 대덕동 수변공원 가로등 및 산책로 인근 가로등의 점등불량 및 수선건과 관련하여 현재 고장내용을 접수하였으며, 빠른 시일내로 업체를 통해 보수토록 하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 건설과 하천팀(041-350-4652), 교통과 교통관리팀(041-350-4545)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2023-01-11,당진시,답변완료
주정차단속알림서비스 계룡시 적용 건의,"현황 및 문제점
현재 주정차단속알림서비스를 전국적으로 많이 활용하고 있습니다. 다들 부득이 하게 주차공간이 부족하여 최대한 시민들의 불편함을 생각해서 주차를 하시겠지만, 그 또한 불편함을 느껴 신고를 하고 있는 추세임.
피민원자는 개선의 자세가 있지만 여건 마련이 되어 있지 않은 상황임
개선방안
주정차단속알림서비스 적용지역에서 계룡시도 추가해주시기를 희망하며, 적용하기 힘든 상황이면 계룡시는 시 홈페이지에 별도로 서비스를 시행하기를 희망함
기대효과
민원자들의 불편함을 해소하면서도, 피민원자의 갈등또한 해결될것으로 보여짐. 항상 깨끗하고 스트레스 없는 계룡시를 기대합니다",2022-12-05,"1. 귀하의 가정에 평온 가득하시길 기원합니다.

2. 불법주정차 근절을 위한 노고에 감사드리며, 귀하께서 국민신문고를 통해 제안하신 민원(1AB-2212-0002246)에 대한 검토 결과를 다음과 같이 알려드립니다.
가. 귀하의 민원 내용은 ‘주정차단속알림서비스를 도입하여 불법주정차 감소 및 민원인과의 갈등해소’로 이해됩니다.
나. 해당 서비스 도입은 2023년 1회 추경 편성하여 예산이 확정되면 추진하도록 하겠습니다.

3. 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 추가 설명이 필요하신 경우 건설교통과 교통팀(☏042-840-2536)으로 연락주시면 친절히 안내해 드리도록 하겠습니다.

붙임 국민제안신청서 1부. 끝.",2023-01-02,계룡시,답변완료
어르신 돌봄 서비스 확대,"현황 및 문제점


혼자 힘으로 일상생활이 어렵거나 안전에 취약한 어르신들에게 상시 돌봄서비스를 지원하고 있으나

가정에서 가족이 돌보는 경우 보호자들의 병원 진료, 시장 장보기, 금융거래 등 외출시

잠깐 동안 돌봐줄 돌보미가 없어 많은 어려움이 있음







노인맞춤돌봄서비스


1. 대상

만 65세 이상 기초생활수급자, 차상위계층 또는 기초연금수급자 중 독거·조손 가구 등 돌봄이 필요한 어르신(대상자 선정도구*를 통해 우선순위에 따라 선정)
* 선정도구 : 신체·정신·사회참여 영역의 취약요인을 조사하여 대상자 선정 여부, 서비스 제공시간의 범위 등을 산정



2. 내용

안전지원, 사회참여, 생활교육, 일상생활 분야의 다양한 서비스를 서비스 제공 계획에 따라 직접 또는 연계 제공
■ 방문형, 통원형(그룹형 프로그램) 등 제공형태 다양화
※ 각 대상자의 돌봄욕구·필요 정도에 따라 제공시간, 서비스 내용 등 지원수준이 다름



3. 방법

읍면동 주민센터(행정복지센터)에 신청서 접수 → 대상자 선정조사 및 서비스 상담(수행기관) → 대상자 결정(시군구) → 서비스제공(수행기관)
※ 특화서비스의 경우 특화서비스 수행기관으로 직접 접수도 가능
개선방안
어르신 돌봄센터를 구축하여 아이돌봄 서비스처럼 일정 시간 교육을 이수한 자를 돌보미로 확보하여

가정에서 돌봄 요청시 연결해주는 시스템이 절실히 필요함.

예) 지원대상 : 장애인 등급 중증이상자, 치매등급 판정자, 65세이상 기타 등
지원시간 : 2시간 이상~10시간 이내
지 원 액 : 소득에 따라 차등 지급
기대효과
부양 가정의 삶의 질 향상
부양시설을 의지하는 분위기에서 가정 돌보미로 전환하는 계기 마련
효 실천 분위기 조성",2022-12-01,"1. 우리군의 복지 발전을 위한 창의적인 제안을 해주신 것에 대해 진심으로 감사드립니다.

2. 현재 어르신 돌봄을 위해 노인맞춤돌봄서비스, 독거노인장애인 응급안전안심서비스, 노인장기요양서비스를 제공하고 있습니다.
가. 노인맞춤돌봄서비스: 만 65세 이상 기초생활수급자, 차상위계층 또는 기초연금 수급자 중 돌봄이 필요한 어르신을 대상으로 방문형, 통원형 등의 돌봄서비스 제공
나. 독거노인장애인 응급안전안심서비스: 만 65세 이상 기초생활수급자, 차상위계층 치매환자 또는 노인맞춤돌봄대상자 중 상시 안전 확인이 필요한 대상자의 가정에 화재센서, 활동감지기 및 응급호출기 등을 설치하여 응급상황 시 신속하게 대처 할 수 있도록 119에 신고. 수행기관(서천군노인복지관)에 직접 신청
다. 노인장기요양서비스: 만 65세 이상 노인 또는 65세 미만 노인성질환자로 일상생활 수행이 어려운 장기요양등급인정자(장기요양1-5등급, 인지지원등급 인정자)에게 재가급여, 시설급여 등의 서비스 제공. 국민건강보험공단에 장기요양등급 신청, 등급 판정 뒤 서비스 이용

3. 제안해주신 사업과 유사한 사업이 진행 중인바, 추후 돌봄 공백 예방을 위한 사업 발굴에 만전을 기하여 어르신 돌봄 서비스를 발전시켜 나가겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-01-02,서천군,답변완료
아산시 배방읍 남동교차로 신호체계 개선요청,"현황 및 문제점
현재 4방향 적색점멸등 교차로인 상황으로 직진, 우회전, 좌회전차량이 눈치싸움으로 뒤섞여 빈번한 사고 발생

이곳을 지나며 경험한사고 1차례, 목격한 사고만 8차례나 될정도로 사고가 빈번하게 발생하는 곳입니다. 잦은 사고발생으로인해 최근에 온천대로에서 모산로로 진입하는 구간에 커다랗게 일단정지 입간판까지 세웠지만 일단정지하는 차량은 손에 꼽을정도입니다.
개선방안
온천대로 아산방향에서 모산로로 진입하는 방향의 적색점멸 신호를 온천대로 아산방향에서 천안방향으로 향하는 신호와 연동하여 주세요.

이렇게하면 모산로와 순천향로에서 온천대로 천안, 아산방향으로 진행하는차량과 모산로와 순천향로 양방향으로 진행하는 차량의 안전한 진행을 확보할 수 있을것이라 기대합니다.


기대효과
1. 모산로에서 순천향로 아산방향으로 좌회전시 안전확보
2. 순천향로에서 천안 방향, 아산방향으로 직진시 안전확보
3. 온천대로에서 순천향로 아산방향으로 직진시 안전확보",2022-11-30,"국민제안으로 제출된 제안서에 대하여 아래와 같이 처리하고자 합니다.


붙임 국민신문고 제안내용 및 관련부서 의견서 1부. 끝.",2022-12-14,아산시,답변완료
탑선교 횡단보도 사각지대 해소를 위한 보행자 반사경 설치 제안,"현황 및 문제점
1. 본론에 앞서 안전한 금산군을 만들기 위하여 노고를 다하는 관계자 여러분께 감사말씀 드립니다.
2. 몇 달 전, 추부면에서 발생한 통학 학생들을 덮친 교통사고는 금산군민은 물론 인터넷에서 화제가 되어 보는 이들을 안타깝게 하였습니다.
3. 이에 어린이보호구역과 더불어 학생들이 통학로로 이용하는 구간의 보행환경 개선의 중요성이 강조되고 있습니다.
4. 충남 금산군 금산읍 중도리에 위치한 탑선교와 보도 사이에 횡단보도가 설치되어 있습니다.
5. 교량 양 끝단엔 교량명 현판과 정보가 담긴 구조물이 설치되어 있는데, 삼덕빌라에서 CU새금산병원점 방향으로 차량을 이용하여 주행할 시, 구조물과 편의점 건물로 인하여 운전자가 횡단보도 주위를 파악하기 어려운 상태입니다.(붙임1 참고)
6. 이 장소는 금산동초 등 인근 학교 학생들이 통학로로 이용하고, 평시에도 차량 통행이 잦으며 신호등이 설치되어있지 않아 사각지대를 해소하는 것이 중요하다고 판단합니다.
개선방안
7. 이를 위하여 보행자를 비추는 반사경을 설치할 것을 제안합니다.
8. 붙임2와 붙임3에 표기된 위치에 반사경을 설치하여 편의점과 탑선교를 오가는 학생들이 사각지대에 가려지지 아니하도록 조치하여 주실 것을 제안합니다.
기대효과
9. 위와 같이 반사경을 설치한다면, 붙임4와 같이 사각지대를 해소하여, 운전자가 교량 위와 편의점 앞의 보행자를 쉽게 식별하여 교통사고 발생 가능성을 줄일 수 있다고 판단합니다.
10. 본 제안을 심사숙고하여 법령과 규정에 부합하도록 실현하여 주실 것을 간곡히 청합니다.

붙임1-현황
붙임2-설치제안위치(사진)
붙임3-설치제안위치(위성사진)
붙임4-기대효과. 끝.",2022-11-30,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 국민제안 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안 내용은 '금산읍 중도리 85-7번지 일원 반사경 설치'에 관한 것으로 이해됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 현지 확인 결과 해당 구간 반사경 설치 필요함을 확인하였습니다.
나. 반사경 설치에 관한 우선순위 선정을 위한 내부검토 과정 및 2023년 유지보수 예산 확보를 위해 시간이 지연되는 점 양지하여 주시길 바랍니다.

4. 위와 같은 내용으로 귀하의 제안에 채택하지 못하는 점을 널리 양해하여 주시고, 귀하의 질문에 만족스러운 답변이 되었기를 바라며 답변 내용에 대한 추가 설명이 필요한 경우 금산군 도시재생과 이홍주 주무관(☏041-750-3447)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2022-12-26,금산군,답변완료
시내에 있는 스포츠센터 수영장 탈의실 도우미 배치,"현황 및 문제점
현재 당진교육문화스포츠센터 및 송악문화스포츠센터에 있는 수영장이 있습니다.
수영이라는 운동이 장애인이 할 수 있는 좋은 운동이라고 생각합니다. 하지만 장애인이 수영장을 이용하기에는 어려움이 많이 있습니다.
대부분 보호자를 동반하여 이용을 하고 있으며 수영을 알려주는 부분은 다른 성별이라도 가능하지만 탈의실 이용 부분은 성별이 다른 장애인을 키우고 있는 가정에서는 수영장을 이용이 거의 불가능 합니다.
또한 성별이 다른 한부모 가정의 같은 경우에도 수영장을 이용하고 싶으나 아이가 고학년이 되기 전 까지는 이용이 어려운 실정 입니다.

개선방안
수영이라는 좋은 운동을 누구나 이용 할 수 있도록 탈의실 도우미를 배치하여 장애인가족 및 한부모 가정이 탈의실 이용에 도움을 줄 수 있으면 좋겠습니다.
기대효과
복지 증진 및 고용 효과",2022-11-22,"1. 당진시 시정에 대한 제안에 감사드립니다.
2. 당진시에서 운영중인 수영장에 장애아동과 한부모 가정 아동을 위한 탈의실 도우미 배치를내용으로 하는 제안을 주셨습니다.
3. 어린이를 대상으로 하는 강습시각은 16시,17시이며, 그 외에도 자유수영을 통하여 수영장을이용이 가능합니다.
4. 현재 시설내의 자체적인 인력으로 탈의실 도우미 상시배치가 어려운 상황으로 향후 당진시자원봉사센터와 연계하여 특정시간 자원봉사자 배치를 검토하겠습니다.
5. 아울러, 2024년중에 가족샤워실 등 장애인 편의시설이 갖춰진 반다비수영장 개소가 예정되어있으니 이용에 참고하시기 바랍니다.
6. 시설이용과 관련하여 궁금하신 점은 체육시설팀(☎041-360-6907)으로 문의주시기 바랍니다. 감사합니다. 끝.",2022-12-23,당진시,답변완료
