제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
1913송정역시장 주차타워 주차가능대수 알림 표지판 개선,"현황 및 문제점
- 1913송정역시장 주차타워가 2019년 말 준공되어 인근 주차난 해소에 큰 보탬이 되고 있습니다.
- 주차타워에 들어가가 위해서는 큰 대로(송정로)에서 우회전하여 다시 우회전하여 입차 하도록 되어 있고 주차타워 입구에 주차가능대수를 알려주는 전자표지판이 운용되고 있습니다.
- 한가지 불편한 점은 주차입구에 가서 만차일 경우 좁은 골목길로 들어가서 다시 돌아나와야 하는 불편함이 있고, 좁은 골목길에 다른 차량과 사람들의 교차가 빈번하여 사고의 위험성도 존재합니다.
- 또한, 주차 알림표지판이 정면으로 되어 있어서 우회전 해서 들어가는 차량의 운전자 시야에서는 측면으로 보여서 들어가야 되는지 아니면 만차여서 골목길로 돌아야 하나 잘 알아보기가 어렵기 때문에 자세히 보려다 보면 잠시지만 정체 현상도 빚게 됩니다. (골목에서 나오는 차량은 차선 거리가 있어서 보이지만 우회전해서 들어가는 차량은 길도 좁고 해서 입구에 평행하게 설치된 알림판이 잘 보이지 않습니다.)
개선방안
- 송정로에서 우회전하여 들어가기 이전에 만차여부를 알 수 있도록 송정로측 주차타워 벽면에 입구의 알림 표지판을 추가로 설치하여 큰대로(송정로)에서 들어가기전에 주차가능대수를 운전자가 식별할 수 있도록 했으면 합니다.
- 추가적으로는 주차타워 입구의 알림전자표지판을 좌,우측에서 진입하는 운전자가 가능대수 식별이 잘 보이도록 각도를 주어 설치하는 것입니다.
기대효과
- 주차가능대수를 모르고 진입해서 만차시 골목길을 돌아 나오는 시간과 불편함을 줄여 줍니다.
- 복잡한 골목길 운전으로 인한 사고를 사전에 예방할 수 있습니다.
- 운용자 기준이 아닌 사용자 기준의 행정으로 광산구(송정시장 등)을 찾는 국민들에게 신뢰감을 줍니다.
- 공공의 이익을 위한 적극행정의 사례가 됩니다.",2023-04-17,,,광산구,제안심사
광주광역시 서구 풍암저수지의 뽕나무를 보호해 주세요.,"현황 및 문제점
풍암저수지 안쪽 행복정 옆 산책로에는 옆으로 길게 누워 터널을 만든 근경 150cm는 되어 보이는 아주 멋진
뽕나무 고목이 있습니다. 그 뽕나무 아래로 운동하는 시민들이 보행하고 있는데 뽕나무를 지탱하는 가지는
커다란 뽕나무를 받치고 있기엔 아주 약해보입니다. 게다가 나무 가지치기한 곳은 썪기도 하고 해충 피해 흔적이 있어서
수목이 병들거나 태풍이 불면 도복의 위험이 있어서 안전에 문제가 있습니다.
개선방안
뽕나무를 지탱할 수 있는 지지대를 설치하고 병이나 해충의 피해를 받지 않도록
보호 및 치료하고 나무의 이력도 관리하였으면 합니다.
기대효과
뽕나무는 열매부터 잎, 뿌리까지 아낌없이 주는 사람에게 사랑받았던 유익한 나무입니다.
뽕나무로서는 고목이고 수형 또한 아름다워 아끼고 잘 보호한다면
풍암저수지를 대표하는 아름다운 나무로 시민들의 사랑을 받는
나무로 거듭날 것입니다.",2023-04-13,,,서구,제안심사
급경사로길 계단보완 설치,"현황 및 문제점
*
상무2동 효광중학교후문  화정로 39번길
29~1 골목 행복빌라 앞 경사로 길 과
상무대로 902번길 19번지와~15번지 사이 오르막 길이
심한 급 경사로이다 보니 평소에도 오르막 보행이 너무 힘들고  겨울에 눈이오면 미끄러워 낙상사고의 위험이 노출된곳이다 



개선방안
계단높이 는 완만하게 15센티정도 ~
폭은 4~50센티 정도의 계단을 차선밖으로설치 해주었음한다
기대효과
주택가라 어르신들 보행이 많으니 예산을 쪼개서라도 적극적인  계단 보완 설치가 되어 주민들이 완만한 계단을 이용하여 편안하고 안전하게 보행할수 있었으면 하는 기대를 해본다",2023-04-11,,,서구,제안심사
일자리행정(물품공유센터)의 합리적인 운영시간 개선 필요,"현황 및 문제점
ㅇ현황
-주민센터에 물품공유센터가 있는데 주민센터 점심시간은 12:00~13:00이고, 물품공유센터 점심시간은 13:00~14:00이다.
공유센터의 운영이 초창기에는 오전반(9:00~14:00). 오후반(13:00~18:00)으로 운영했지만 21년부터 오전반(9:00~13:00), 오후반(14:00~18:00)로 변경되었다.

ㅇ문제점
-가끔 물품 대여자가 주민센터와 물품공유센터의 점심시간을 동일하게 생각하고 방문했다가 시간을 기다려야 하는 일로 언성을 높이는 민원이 종종 발생한다.
개선방안
-공유센터의 운영시간이 현재 오전반(9:00~13:000) 오후반(14:00~18:00)을
점심시간 공백이 없이 9:00~13:30, 13:30~18:00로 개선이 되면 이용자들이 기다림 없이 이용할 수 있을 것 같다.
기대효과
-이용자들의 민원을 줄일 수 있고, 시간 절약할수 있다.
-이용자들의 편의 제공",2023-04-11,"1. 귀하께서 제안하신 ‘일자리행정(물품공유센터)의 합리적인 운영시간 개선 필요’에 대해 답변드리겠습니다.

2. 귀하의 제안 요지는 물품공유센터를 점심시간 공백 없이 운영하도록 개선 요청한 것으로 이해됩니다.

3. 현재 동천동 물품공유센터는 지역공동체일자리사업 참여자 2명이 오전, 오후로 근무하고 있으며, 상황에 따라 자원봉사자 인력을 배치하여 운영하고 있습니다.
기존 점심시간 13~14시 휴무를, 동 행정복지센터 점심시간 휴무제 시행과 동일하게 12~1시로 조정하여 주민 이용에 혼동을 주지 않도록 운영 개선하겠습니다.

4. 위와 같은 사유로 귀하의 운영시간 공백없이 운영에 대해 일부 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 추가적으로 문의사항이 있으시면 서구청 주민자치과 주민협력팀 서현정(062-350-4562)에게 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-04-13,서구,답변완료
"농축산농가 악취제거, 폐사율 감소","현황 및 문제점
전 세계적으로 환경 문제가 큰 이슈가 되고 있습니다.
그중의 하나가 온실가스 감축인데,
이것에 대해서 환경대책 솔루션을 인공지능에게 물었습니다.

하기의 5가지 키워드를 제시해 주었습니다.
1.토양 황폐화 및 침식 2.물 관리(소비, 수질 오염) 3.살충제 비료 사용
4.온실가스 배출(비료,이산화질소) 5.폐기물, 메탄가스(CH4)
개선방안
[광물질 천연미네랄] 장영실상 수상
인터퓨어는 장영실상 환경기술부문의 대상을 통해서 솔루션을 제시하였습니다.
환경개선 솔루션은 여러 특정 광물에서 추출한 미네랄 분말을 특정비율로 혼합하여, 정수에 희석 후 살균 처리한 천연 미네랄 기능수입니다.

농축산 농가 임상시험결과 분뇨의 악취제거와 고착슬러지 분쇄로 고품질 액비 생산이 가능하여 농축산농가의 소득창출 효과에 기여합니다.
아울러 이는 님비현상에 대한 대책이기도 합니다.
기대효과
농축산 임상결과(첨부자료)
1. 급여 3개월 까지 단계별로 고착슬러지가 분해되는 것을 알 수 있습니다.
2. 악취는 3개월경과 후 적용 전 50ppm이 적용 3개월 경,
암모니아 수치가 5ppm으로 떨어진 것을 알 수 있습니다.
3. 가축의 면역세포활성화로 면역력 역시 일정하게 유지하고 있습니다.
4. 기초대사량 증가로 가축 폐사율을 줄일 수 있습니다.
결론적으로 악취제거, 면역력 강화, 폐사율 감소 효과가 있습니다.

직접 담당자에게 PT 할 기회가 있으면 상세히 설명 드리겠습니다.",2023-04-02,"1. 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신하여 드립니다.

2. 귀하께서는 ‘농축산농가 악취제거 및 폐사율감소’ 라는 내용으로 제안해주셨습니다.

3. 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.
가. 전 세계적으로 환경문제 및 온실가스 문제 해결을 위해 많은 노력을 기울이는 상황에서 가축 첨가제를 통해 악취 및 온실가스 배출 감소에 기여하는 것은 좋은 방향이라고 사료됩니다.
나. 다만 우리구는 제안하여 주신 내용과 관련하여 ‘가축분뇨악취개선제지원’ 사업을 실시하여 축산농가 사료첨가제 지원을 통해 악취감소 및 면역력 증강에 기여토록 기 추진중임을 알려드립니다.

4. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이밖에 문의사항은 광주광역시 서구청 경제과(062-360-7279)로 연락주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.",2023-04-14,서구,답변완료
광주호 호수생태공원 운영관련 건의,"현황 및 문제점
광주호 호수생태공원에 반려동물 출입금지 규칙관련해서 문의드립니다.
1. 특별히 생태공원에 반려견 출입이 금지되는 사유나 배경 설명 요청드리며
2. 일부 구역만이라도 반려견 출입이 허용되게끔 하려면 어떤 조직에서 실행과 의사결정이되어야하는지 조언 요청드립니다.
개선방안
광주호 호수생태공원을 이용하는 광주시민들에게 설문 조사하여 반려견 입장허용에 대한 의견 취합 및 실행
기대효과
근교나들이객 증가 -> 지역상권활성화",2023-03-20,"○ 광주호 호수생태원은 자연 생태계의 관찰 및 체험을 통해 환경의 중요성을 일깨워 주기 위해 조성된 일반적 공원이 아닌 자연생태 공간입니다.
○ 푸른도시사업소에서는 자연조명 상태와 음식물 반입금지, 반려동물 동반 출입금지 등 생태원 내 동식물들이 자연적인 성장과 활동으로 다양한 생물상이 유지될 수 있도록 운영·관리 해오고 있습니다.
○ 반려동물 동반 출입 시 호수생태원의 자연생태계에 영향을 끼칠 것으로 우려되므로 출입을 통제하고 있음을 알려드립니다.",2023-04-18,광주광역시,답변완료
아름다운 친환경 주차장 조성,"현황 및 문제점
잔디고사로 인한 턱발생-보행시 구두힐 빠짐,유모차 바퀴 빠짐,우천시 물 고임
카스토퍼 파손및 분리
주차선 변색으로 인접 주차면 침범
부동침하 발생
구조물 불투수로 인한 공사 지면 토양 오염 발생
개선방안
1.바퀴면(평탄면)+잔디면(타공면)으로 보행 불편및 잔디고사 해결
2.기존블럭의 2배 대형 블럭으로 시공성 빠름
3.제품 강도 기존대비 2배(기존블럭-석분+시멘트) 개선된 제품(철근+굵은 자갈(25mm)+모래+시멘트
4.카스토퍼 일체형 으로 카스토퍼 파손없음
5.황색 주차선 블럭으로 주차유도 및 탈색 훼손 없음
6.주차1면당 30%타공면으로 우천시 빗물 지면 유입및 토양오염 방지
기대효과
투수 우수한 잔디 녹화 주차장 조성(주차 1면당 30% 타공면 )",2023-03-17,"○ 광주호 호수생태원은 자연 생태계의 관찰 및 체험을 통해 환경의 중요성을 일깨워 주기 위해 조성된 일반적 공원이 아닌 자연생태 공간입니다.
○ 푸른도시사업소에서는 자연조명 상태와 음식물 반입금지, 반려동물 동반 출입금지 등 생태원 내 동식물들이 자연적인 성장과 활동으로 다양한 생물상이 유지될 수 있도록 운영·관리 해오고 있습니다.
○ 반려동물 동반 출입 시 호수생태원의 자연생태계에 영향을 끼칠 것으로 우려되므로 출입을 통제하고 있음을 알려드립니다.",심사 중,서구,제안심사
보훈행정 관련 특별제안 (관련법 개정과 현재의 문제점 개선 방안 관련),"현황 및 문제점
자세한 내용은 아래 첨부파일 내용을 참조해 주시기 바랍니다.
개선방안
상동
기대효과
상동",2023-03-09,"1. 안녕하십니까?
우리시 시정에 관심을 가져 주신데 대해 다시한번 깊은 감사의 말씀을 드립니다.

2. 귀하께서 국민신문고에 제안(1AB-2303-0004861)해 주신 내용을 검토하여 불채택 결과를 광주광역시 5·18선양과-1937(2023.3.23.)호로 이미 알려드렸습니다.

3. 국민신문고에 제안(1AB-2303-0004861) 건에 대하여 재심사('23.4.3.) 요청을 하여 재검토한 내용을 아래와 같이 알려드립니다.
○ (재심사 요청내용) (5·18보상금 지급을 국가보훈처로 이관) ① 광주광역시에서 보상금을 지급하는 것을 국가보훈처로 업무 이관, ② 광주시에서 보상금을 지급하는 것은 국가권력 작용이 위법
⇒(답변) ①「5·18민주화운동 관련자 보상 등에 관한 법률」제4조(5·18민주화운동관련자보상심의위원회) 제1항 '이 법에 따른 관련자와 그 유족에 대한 사실 심사와 그 밖의 보상 등의 심의·결정을 위하여 광주광역시에 5·18민주화운동관련자보상심의위원회를 둔다.' 「5·18민주화운동 관련자 보상 등에 관한 법률 시행령」 제15조(보상금등의 지급신청) '제1항 법 제8조의 규정에 의한 보상금·의료지원금·생활지원금의 지급을 신청하고자 하는 자는 다음 서류를 보상심의위원회에 제출하여야 한다.' 라고 명시되어 있어 광주광역시에서 보상금을 지급하고 있습니다.
② 국가보훈처로 업무를 이관하는 부분은「5·18민주화운동 관련자 보상 등에 관한 법령」 개정 등이 필요합니다.

3. 우리 시 발전을 위한 귀하의 재심사 요청에도 불구하고 소중한 제안을 채택하지 못한 점에 대해 양해하여 주시기 바라며, 추가 설명이 필요한 경우 광주광역시 5·18선양과 주무관(이영미) 062-613-1341로 연락주시면 친절히 안내해 드리겠습니다. 감사합니다. 끝.",2023-04-11,광주광역시,답변완료
재개발추진위원회에서 동의의 정족수가 이루어진 구역의 재개발 신청을 구청에 한 것에 대하여 시청에서 정족수에 미달한 구역을 포함하여 신청하라고 한 행위,"현황 및 문제점
저는 광주광역시 동구 계림2동에 거주하는 남자(1942년생)입니다.
저의 집은 광주광역시 동구 산수2구역 재개발에서 제외된 계림2동입니다.

산수2구역 재개발은 산수2동은 동의자가 많아 승인신청 중이지만
계림2동은 거주자 중 ‘재개발로 떼돈을 벌 수 있다. 재개발에 동의하지 않으면 큰 손해를 보게 된다’는 생각을 가진 자들이 동의하였으나 75%에 미달하여 재개발에 제외되어 마음을 놓고 살고 있었습니다.

그런데 2. 22 낮 ‘롯데건설에서 왔다’면서 여성분이 재개발의 동의를 추진하기 위하여 집집마다 방문하였습니다.
추진하는 이유인즉 산수2구역 재개발추진위원회에서 계림2동은 포기하고 산수2동만 승인신청하여 동구청에서 그대로 시청에 상신했는데
시청에서 ‘산수2동만은 안 된다. 계림2동을 포함시켜라’하여 계림2동 주민들에게 재개발의 동의를 추진한다고 하였습니다.

재개발에서 제외됐던 계림2동은 허름하고 빈집은 한곳이 있는데 아마 소유자가 별세하여 연고자를 연락할 수가 없는 것 같습니다. 다른 집들은 일부 한옥은 있으나 대부분 양옥 등으로 도시미관을 해하거나 허름하지 않고 관리에 편리하도록 외벽을 붉은 벽돌, 패널, 대리석 등으로 꾸며서 재개발의 필요가 없음을 쉽게 알게 됩니다.

계림2동의 지역 재개발에 동의치 않았던 대부분이 가난한 사람들은 주거지에서 일생을 마치려 하거나 집 단돌이를 잘하고 있으면서 평화롭게 살고 있는데 만약 재개발로 집을 팔게 된다면 그 돈으로 이사할 집을 구할 수 없을뿐더러 아파트에 들어갈 능력도 없으니 전에 감언이설에 의하여 상당수가 동의하였는데 동의치 않았던 사람들이 또 이에 속아서 재개발의 정족수를 채운다면 노인들의 불행은 닥칩니다.

아파트는 남아돌고 단독주택은 부족하면서도 아직도 재개발을 추진하는 곳이 많아 보상이 이루어지지 않은 재개발지역이면 재개발의 철회를 고려해야 할 시점에 재개발추진위원회에서 구청에 재개발 신청하고 구청에서 재개발승인을 상신하였으면 시청에서는 이를 검토하여 승인 여부를 결정하는 것이 지극히 온당한 처분인데 정족수에 미달하여 재개발에서 제외된 곳을 포함하여 신청하라 한 연유를 이해할 수가 없습니다.

동의자 정족수미달로 재개발에서 제외된 지역을 다시 동의를 구하게 하는 것은 결과적으로 직업적인 재개발 꾼들의 사욕을 돕는 행위만 됩니다. 대부분의 재개발 꾼은 시의 도시 정비나, 주민을 위하여 재개발을 추진하는 것이 아니고 영리를 위하여 하는 행위인 것이 일반적인데 그렇지 않아도 이미 재개발에 동의한 자 중에 대부분 꼬임과 겁박으로 이루어짐이 많은데 결국 동의치 않았던 자들도 모두 꼬임과 겁박 등으로 동의하게 되겠습니다.

재개발추진위원회에서 동의의 정족수가 이루어진 구역의 재개발 신청을 구청에 한 것에 대하여 시청에서 정족수에 미달한 구역을 포함하여 신청하라고 한 행위를 못 하게 하여 이 구역 노인들의 불행을 막아주세요.

불쌍한 노인들의 편히 일생을 마칠 수 있도록 광주시청의 계림 2동 포함 산수2구역 재개발의 추진을 막아주실 것을 애원합니다.
개선방안
구역 재개발의 동의 여부를 조사하여 동의자가 정족수(75%)에 미달한 지역을 다시 동의치 않은 자들의 동의를 받아 재개발 신청하라는 것은 재개발꾼들의 영리를 도울 뿐 원주민들에게는 피해를 주는 것이니 이미 조사에서 재개발의 동의 정족수에 미달한 지역을 포함하여 신청하라는 행위를 못하게 하여야 합니다.
기대효과
계림2동은 도시 미관이 나쁘지 않고 주민들이 여생을 보내기 위하여 집 단도리를 잘하고 있기 때문에 재개발을 안 해야 행복하게 여생을 마치게 됨",2023-03-01,"국민신문고 국민제안에 대한 검토보고



국민신문고 국민제안에 대한 검토보고










(주택정책과)

국민신문고 국민제안에 대한 검토보고

국민신문고로 접수된 국민제안에 대해 검토보고 드림.


□ 제안개요
? 접수번호 : 2AB-2303-0000263(이하 ①) / 2AB-2303-0000498(이하 ②)
? 제 안 자 : 김종남(광주광역시 동구)
? 제안제목
① 구역 재개발의 동의 정족수 부족으로 재개발 추진에서 제외된 구역을 재개발의 동의를 다시 물어 재개발하도록 유도하는 행정을 막아주세요(국민신문고)
② 재개발추진위원회에서 동의의 정족수가 이루어진 구역의 재개발 신청을 구청에 한 것에 대하여 시청에서 정족수가 미달한 구역을 포함하여 신청하라고 한 행위(대통령실 국민제안)
? 제안요지 : 구역 재개발의 동의여부를 조사하여 동의자가 정족수(75%)에 미달한 지역을 다시 동의치 않은 자들의 동의를 받아 재개발 신청하라는 것은 원주민들에게 피해를 주는 것이니 이미 조사에서 동의 정족수에 미달한 지역을 포함하여 신청하는 행위 제한 ※ ①과 ②의 제안 내용 동일

□ 제안검토
? 제안배경 : 제안자가 살고 있는 계림2동은 현재 (가칭)산수2구역 재개발 사전타당성 검토요청과 관련되어 「2030 광주광역시 도시 및 주거환경정비 기본계획」에서 기반시설을 기준으로 경계 정형화 유도의 예를 든 구역으로 구역 정형화 검토 의견을 회신(2022.10.19.)한 이후 이루어진 상황으로 추정되며 주거환경지표의 동의율 점수를 높이려고 가칭 재개발추진위원회에서 행한 것으로 추정.
? 관련규정 : 「2030광주광역시도시·주거환경정비기본계획」 주거정비지수
70점 이상일 경우 정비구역 지정 요청 가능 ※ 주거정비지수 (붙임 2 참조)
? 검토결과 : 불채택
? 사 유 : 「도시·주거환경정비기본계획 수립 지침」 및 「2030광주광역시도시·주거환경정비기본계획」 에 합리적인 토지이용과 쾌적한 도시환경의 조성 등을 위해 구역 경계 정형화 및 일부 지역 제척 시 경계 재조정 유도를 하게 되어 있고
「도시 및 주거환경정비법령」 및 「광주광역시 도시 및 주거환경정비조례」 에 토지등소유자의 동의는 해당 동의에 따른 인·허가 전까지 또는 기간을 정해 동의 및 철회를 할 수 있도록 정하고 있어 재개발에 대한 토지등소유자의 동의 여부를 한 번으로 제한하는 것은 개인의 의사결정권 제한 소지가 있어 불채택

□ 답변(안)
? [붙임 1] 제안 불채택 결정서와 같이 답변하고자 하며, 2건의 국민제안은 내용이 동일하여 병합처리하고자 함.



붙 임 : 제안 불채택 결정서 1부. 끝.



붙임 1

제안 불채택 결정서

[별지 제5호서식]

제 안 불 채 택 결 정 서
접수
번호
시 민 ?2AB-2303-0000498/0000263
제안제목
재개발추진위원회에서 동의의 정족수가 이루어진 구역의 재개발 신청을 구청에 한 것에 대하여 시청에서 정족수에 미달한 구역을 포함하여 신청하라고 한 행위
구역 재개발의 동의 정족수 부족으로 재개발 추진에서 제외된 구역을 재개발의 동의를 물어 재개발하도록 유도하는 행정을 막아주세요
제안요지
구역 재개발의 동의여부를 조사하여 동의자가 정족수(75%)에 미달한 지역을 다시 동의치 않은 자들의 동의를 받아 재개발 신청하라는 것은 원주민들에게 피해를 주는 것이니 이미 조사에서 동의 정족수에 미달한 지역을 포함하여 신청하는 행위 제한
총 평
합리적인 토지이용과 쾌적한 도시환경의 조성 등을 위해 구역 경계 정형화 및 일부 지역 제척 시 경계 재조정 유도를 위해 동의 여부를 묻는 과정 필요와 토지등소유자 동의 여부를 한 번으로 제한하는 것은 개인의 의사결정권 제한 소지가 있어 불채택
평가
점수
평가 기준
평가
결과
평 가 내 용
합 계(100점)
47점
채택?불채택(70점 이상 채택)
창 의 성(20점)
9점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(20~17) (16~13) (12~9) (8~5) (4~1)
능 률 성?
경 제 성(30점)
15점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(30~25) (24~20) (19~15) (14～10) (9~5)
계 속 성(15점)
7점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(15~13) (12~10) (9~7) (6~4) (3~1)
적용범위(15점)
7점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(15~13) (12~10) (9~7) (6~4) (3~1)
노 력 도(20점)
9점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(20~17) (16~13) (12~9) (8~5) (4~1)
예산절감 및 세수증대 효과
해당없음
본건 채택시행시 예상되는 문제점
· 합리적인 토지이용 등을 위한 정비계획 제한
· 재개발에 동의하는 주민의 의사결정권 제한
기 시행여부 등
해당없음
제 안 내 용
보완?발전 사항
해당없음

2023. 03.

검 토 자 소속 : 주택정책과 성명 : 박흥철 ? (행정전화 : 1770)
확인자(과장) 소속 : 주택정책과 성명 : 정현윤 ? (행정전화 : 4270)",2023-03-17,광주광역시,답변완료
지하철 안전문과 철로 사이의 정지선표시,"현황 및 문제점
지하철 각 호선마다 안전문 안쪽의 철로쪽에 정지선이 없어서, 지하철이 앞으로 가거나,, 더 뒤로 가서
안전문 안으로 맞추는 작업으로 문제가 있음.
개선방안
지하철 철로 안쪽의 철로에 서행선을 표시하고, 안전문의 안쪽에 운전자의 시선에 보이는 정지선을 노란색과 검정색을
병행한 사선으로 표시해, 정지선에 일직선이 될 때, 지하철 안전문과 승강장의 문이 일치하도록하는
안쪽과 운전자가 보이는 곳에 정지선을 표시한다.
기대효과
가로나 세로선의 위치로 정지선을 빨리 인식해, 미리 정차하거나 더 밀려서, 승강장의 입구와 안전문이 불일치하는 것을
방지해, 운행시간의 지연을 방지하고, 불안감을 해소할 수 있다.",2023-02-27,"국민신문고 국민제안에 대한 검토보고



국민신문고 국민제안에 대한 검토보고










(주택정책과)

국민신문고 국민제안에 대한 검토보고

국민신문고로 접수된 국민제안에 대해 검토보고 드림.


□ 제안개요
? 접수번호 : 2AB-2303-0000263(이하 ①) / 2AB-2303-0000498(이하 ②)
? 제 안 자 : 김종남(광주광역시 동구)
? 제안제목
① 구역 재개발의 동의 정족수 부족으로 재개발 추진에서 제외된 구역을 재개발의 동의를 다시 물어 재개발하도록 유도하는 행정을 막아주세요(국민신문고)
② 재개발추진위원회에서 동의의 정족수가 이루어진 구역의 재개발 신청을 구청에 한 것에 대하여 시청에서 정족수가 미달한 구역을 포함하여 신청하라고 한 행위(대통령실 국민제안)
? 제안요지 : 구역 재개발의 동의여부를 조사하여 동의자가 정족수(75%)에 미달한 지역을 다시 동의치 않은 자들의 동의를 받아 재개발 신청하라는 것은 원주민들에게 피해를 주는 것이니 이미 조사에서 동의 정족수에 미달한 지역을 포함하여 신청하는 행위 제한 ※ ①과 ②의 제안 내용 동일

□ 제안검토
? 제안배경 : 제안자가 살고 있는 계림2동은 현재 (가칭)산수2구역 재개발 사전타당성 검토요청과 관련되어 「2030 광주광역시 도시 및 주거환경정비 기본계획」에서 기반시설을 기준으로 경계 정형화 유도의 예를 든 구역으로 구역 정형화 검토 의견을 회신(2022.10.19.)한 이후 이루어진 상황으로 추정되며 주거환경지표의 동의율 점수를 높이려고 가칭 재개발추진위원회에서 행한 것으로 추정.
? 관련규정 : 「2030광주광역시도시·주거환경정비기본계획」 주거정비지수
70점 이상일 경우 정비구역 지정 요청 가능 ※ 주거정비지수 (붙임 2 참조)
? 검토결과 : 불채택
? 사 유 : 「도시·주거환경정비기본계획 수립 지침」 및 「2030광주광역시도시·주거환경정비기본계획」 에 합리적인 토지이용과 쾌적한 도시환경의 조성 등을 위해 구역 경계 정형화 및 일부 지역 제척 시 경계 재조정 유도를 하게 되어 있고
「도시 및 주거환경정비법령」 및 「광주광역시 도시 및 주거환경정비조례」 에 토지등소유자의 동의는 해당 동의에 따른 인·허가 전까지 또는 기간을 정해 동의 및 철회를 할 수 있도록 정하고 있어 재개발에 대한 토지등소유자의 동의 여부를 한 번으로 제한하는 것은 개인의 의사결정권 제한 소지가 있어 불채택

□ 답변(안)
? [붙임 1] 제안 불채택 결정서와 같이 답변하고자 하며, 2건의 국민제안은 내용이 동일하여 병합처리하고자 함.



붙 임 : 제안 불채택 결정서 1부. 끝.



붙임 1

제안 불채택 결정서

[별지 제5호서식]

제 안 불 채 택 결 정 서
접수
번호
시 민 ?2AB-2303-0000498/0000263
제안제목
재개발추진위원회에서 동의의 정족수가 이루어진 구역의 재개발 신청을 구청에 한 것에 대하여 시청에서 정족수에 미달한 구역을 포함하여 신청하라고 한 행위
구역 재개발의 동의 정족수 부족으로 재개발 추진에서 제외된 구역을 재개발의 동의를 물어 재개발하도록 유도하는 행정을 막아주세요
제안요지
구역 재개발의 동의여부를 조사하여 동의자가 정족수(75%)에 미달한 지역을 다시 동의치 않은 자들의 동의를 받아 재개발 신청하라는 것은 원주민들에게 피해를 주는 것이니 이미 조사에서 동의 정족수에 미달한 지역을 포함하여 신청하는 행위 제한
총 평
합리적인 토지이용과 쾌적한 도시환경의 조성 등을 위해 구역 경계 정형화 및 일부 지역 제척 시 경계 재조정 유도를 위해 동의 여부를 묻는 과정 필요와 토지등소유자 동의 여부를 한 번으로 제한하는 것은 개인의 의사결정권 제한 소지가 있어 불채택
평가
점수
평가 기준
평가
결과
평 가 내 용
합 계(100점)
47점
채택?불채택(70점 이상 채택)
창 의 성(20점)
9점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(20~17) (16~13) (12~9) (8~5) (4~1)
능 률 성?
경 제 성(30점)
15점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(30~25) (24~20) (19~15) (14～10) (9~5)
계 속 성(15점)
7점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(15~13) (12~10) (9~7) (6~4) (3~1)
적용범위(15점)
7점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(15~13) (12~10) (9~7) (6~4) (3~1)
노 력 도(20점)
9점
매우우수, 우 수, 보 통, 미 흡, 아주미흡
(20~17) (16~13) (12~9) (8~5) (4~1)
예산절감 및 세수증대 효과
해당없음
본건 채택시행시 예상되는 문제점
· 합리적인 토지이용 등을 위한 정비계획 제한
· 재개발에 동의하는 주민의 의사결정권 제한
기 시행여부 등
해당없음
제 안 내 용
보완?발전 사항
해당없음

2023. 03.

검 토 자 소속 : 주택정책과 성명 : 박흥철 ? (행정전화 : 1770)
확인자(과장) 소속 : 주택정책과 성명 : 정현윤 ? (행정전화 : 4270)",심사 중,광주광역시,제안심사
