제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
탄동천 및 추목천 태양광 가로등 설치,"현황 및 문제점
신성동 주민들이 자주 산책로 및 자전거를 많이 이용하고 있습니다
저녁에는 가로등이 전혀 없어 안전사고가 유발 가능성이 많으므로 국가 예산 또는 인근 연구소의 공동 투자로 태양광 가로등 설치를 요청 드립니다
- 위치 : 애경연구소 - DL케미칼 연구소 - 롯데케미칼 연구소 - 한국화학연구원 -신성교
- 이용 주민 : 대림, 하나, 한올아파트 주민 및 인근 다가구주택 연구원, 학생 등
- 하천 길 주변 가이드 미설치로 인한 추락 사고 유발
개선방안
신성동 주민 산책로로 많이 이용하는 탄동천 및 추목천 태양광 가로등 설치
- 지자체 예산과 인근 연구소 공동 투자(기증 실명화) 태양광 가로등 설치
기대효과
- 신성동 주민 산책 및 자전거 안전사고 미연 방지-
- 인근 연구소와 지자체 상생으로 인한 홍보 유발",2021-08-13,"1. 구정발전을 위한 귀하의 깊은 관심에 감사드리며 제기하신 민원사항에 대하여 답변드리겠습니다.

2. 건의하신 신성동 217-1번지 탄동천 인근 보안등 설치 요청 건은 현지조사결과 야간조명시설이 필요하다고 판단되며 추후 산책로 수요를 고려하고 예산을 확보하여 순차적으로 보안등이 설치될 수 있도록 노력하겠으며 애경종합기술원 구간은 현재 보안등 설치공사 설계중으로 금년내 완공예정임을 안내해드립니다.

3. 기타 궁금한 사항이 있으신 경우 유성구청 재난안전과 전화(☏611-2211), 팩스(611-2553)로 연락주시면 적극적으로 해결하도록 노력하겠습니다.

붙임 국민제안신청서 1부. 끝.",2021-09-29,유성구,답변완료
코로나 병상 충원 제안,"현황 및 문제점
코로나 환자가 폭증하는 상황에서 병상부족및 인력부족
개선방안
현재 폐교된 학교를 일부 리모델링 하여 코로나 전문 센터를 만들면 부족한 병상이 늘어나고
전문 인력과 교육생을 배치하면 좋을것 같네요
기대효과
폐교 학교의 경우 부지가 넓고 외지에 있으므로
일반환자와 격리가 용이하고
부족한 병원을 짓는 시간을 단축 시킬수 있을것 같습니다
그러면 델타변이바이러스가 퍼지고 있는 가운데 병상을 많이 확보할수 있을것 같습니다",2021-08-11,"1. ‘코로나19 병상 충원’에 대한 귀하의 제안에 감사드립니다.

2. 우리 시는 코로나바이러스감염증-19 중앙사고수습본부(이하 중수본)의 '코로나19 전담치료병상' 지정 기준에 의거 관내 의료기관을 대상으로 전담치료병상을 확보하여 코로나19 대응에 만전을 다하고 있습니다.

3. 지정 기준에 따르면 '코로나19 전담치료병상'은 코로나19 확진 중환자 등을 치료할 수 있는 장비·시설 또는 인력 등이 갖추어져 있어 중환자 등이 즉시 입원 가능한 병상으로,

4. 환자의 상태(위중증,중등증)에 따라 최소 300병상 이상의 종합병원 병상을 활용하도록 되어 있어 귀하께서 제안하신 '폐교를 리모델링한 전문 센터 설치'는 현 병상 확보 기준 및 현실과는 다소 거리가 있는 제안으로 판단됩니다.

5. 다만, 우리 시는 귀하께서 우려하시는 바와 같이 '코로나19 전담치료병상'의 부족에 대비하여 중수본 및 관내 종합병원과 협력해 전담치료병상을 충원함으로써 코로나19 확진세에 선제적으로 대응하고자 합니다.

6. 위와 같이 귀하의 제안에 답변드리며, 추가 설명이 필요하신 경우는 대전광역시 감염병관리과(T.042-270-4013)로 연락을 주시면 친절히 안내해 드리도록 하겠습니다. 끝.",2021-09-21,대전광역시,답변완료
유성구 성북동 명소 알리기,"현황 및 문제점
1. 유성구 성북동안에는 대전에서 제일 넓고 물이 마르지 않는 방동저수지부터 시작하여 산림복지진흥원에서 관리하는 다양한 숙영시설을 보유한 국립대전숲체원, 그리고 대전시 언택트 관광명소 10선에 선정된 성북동 산림욕장, 계곡을 따라 올라가면 웅장한 봉덕사 등 언택트 시대에 명소가 자리잡고 있다.
2. 수통골을 등산하러 가는 등산객이나 수통골에서 등산하고 넘어오는 사람, 봉덕사를 가는 사람, 방동저수지에 낚시하러 오는 사람 등 이 이용하는 대중교통은 41번 버스가 유일하다. 이 버스를 통해 이곳을 방문하는 사람들이 지역의 명소를 이해하고 홍보할 수 있는 안내방송을 제한한다
개선방안
1. 41번 버스가 대전 도심에서 방동저수지로 우회전하여 진입을 하게되면 운전기사분이 그때부터 녹음된 방송을 튼다
2. 안내방송 내용은 진입순서대로
- 방동저수지 : 저수지의 역사, 설치 및 운영목적, 메마름이 없는 저수지, 낚시가 가능한 저수지, 야경이 아름다운 저수지 등
- 국립대전숲체원 : 설치시기, 설치목적, 시설현황, 이용대상 등
- 성북동산림욕장 : 대전 언택트 10선 선정, 4계절의 아름다움, 임도를 따라 걷는 산책길, 사색과 명상의 장소 등
- 봉덕사 : 역사, 경관, 진입로를 따라 보이는 계곡 등
3. 위 내용을 잘 녹음하여 진입 때와 다시 나올때 한번씩 틀어준다
기대효과
1. 성북동의 명소를 시민과 타지역에서 방문한 등산객들에게 널리 홍보
2. 향후 성북동 발전게획까지 포함하여 방송 시 많은 시민들이 성북동에 대한 관심 증대
3. 성북동 방문객 증대로 주변 지역 코로나로 침체된 상가 활성화 기대 등",2021-08-08,"1. 안녕하십니까, 귀하가 국민신문고를 통해 신청하신 제안(1AB-2108-0007322)에 대한 심사 결과를 다음과 같이 알려드립니다.

2. 귀하가 제출하신 제안은 41번 시내버스가 성북동 구간을 경유할 때 명소에 대한 관광 안내방송을 추가적으로 편성해달라는 내용으로 판단됩니다.

3. 해당 내용과 관련하여 안내방송 시스템 관리주체인 버스운송사업 조합의 검토 의견을 수렴한 결과는 다음과 같습니다.
가. 시내버스는 특성 상 운행 중 내부 소음이 크고, 짧은 간격으로 통과하는 모든 정류소에 대한 안내방송을 표출하고 있습니다.
나. 소음으로 인한 이용객 피로도를 고려하여, 시내버스 이용과 관련하여 필요성 높은 공익 방송(코로나 관련 감염예방, 이용객 분석을 위한 하차태그 등)을 우선으로 분량을 제한하여 편성하고 있습니다.
다. 관광 안내방송을 편성하여 성북동 명소를 홍보하고 관심을 높일 수 있다는 말씀에는 충분히 공감하고 있으나,
라. 우선적으로 편성된 공익방송 분량이 포화된 상황에서 특정 노선 특정 지역의 추가적인 관광 안내방송 편성은 현재로서는 어려움을 양해 부탁드립니다.

4. 해당 내용과 관련하여 추가적인 질문이 있으신 경우 버스운영과(042-270-5813) 혹은 버스운송사업 조합(042-522-2172)로 문의주시면 안내해드리겠습니다. 끝.",2021-12-04,대전광역시,답변완료
현장 근로자 입장에서 대전 중구 신형 대형폐기물 배출신고시스템의 개선을 제안합니다.,"현황 및 문제점
주무관님 안녕하십니까?
중구 동 행정복지센터에서 근무하고 있는 단기근로자입니다. 현재 폐기물스티커 발부 직무를 하며, 전일제로 근무하고 있습니다.
주무관님께서도 아시듯, 지난 2월 1일부터 대형폐기물 배출신고시스템이 전산으로 변경되어, 우리 구의 폐기물 스티커는 동에서 사용하고 있는 프린터를 활용하여 라벨지에 인쇄하는 형태로 발급하고 있습니다. 근무하는 근로자 입장에서는 편의성이 향상되고 업무 난이도가 경감되어 긍정적으로 생각합니다.
그러나 실제 폐기물 민원을 응대하며, 이전의 수기 방식 스티커에 비해 현재의 라벨지 방식 수납필증 발급이 가진 문제점을 느낄 수 있었습니다. 먼저, 기존 스티커와는 달리 흰 색 라벨지를 활용하여 시인성이 떨어져서 수거 공무직원의 불편과 발급받는 주민의 우려를 들었습니다. 다음으로, 폐기물 스티커 후면에 폐기물 가격표가 없어 정보를 얻기에 불편하다는 주민의 불편을 들었습니다. 또한, 현재의 라벨지는 일반 종이재질에 가까워 우천시 스티커 훼손 우려가 있다는 주민의 불편을 들었습니다. 이전과는 달리, 배출자보관용 수납필증이 함께 인쇄되질 않아 종이 낭비, 배출자 및 근로자의 불편 역시 있었습니다. 마지막으로, 라벨 전용 프린터가 없어 프린터 수명 단축이 우려되는 현장에서의 불편함이 있었습니다.
나름대로 현장에서 이를 개선하기 위한 노력을 취하였습니다. 라벨지 뒷면에 폐기물 가격표를 인쇄하거나, 별도로 가격표만을 A4지에 인쇄하여 주민의 불편을 줄이고자 했습니다. 배출 신고서에 ""별도 서류 제공여부""란을 기재하여 배출자보관용 수납필증과 배출신고서 사본을 사전에 담당자에게 요청할 수 있도록 했습니다. 그러나, 이 두 가지 해결책은 저희 동사무소에서 하는 임시방편형 대책일 뿐, 실질적으로 구내 전 행정 안에서 불편을 해소하기에는 어려움이 있었고, 결정적으로 3가지 문제점은 해결되질 않는다는 점에서 구 단위에서의 대응이 필요하다고 느꼈습니다.
개선방안
이에 다음과 같은 해결방법을 제안하고자 합니다.
용지의 개선, 프린터의 개선, 시스템의 개선 3가지를 축으로 제안드립니다.
먼저, 용지의 개선입니다. 현재 사용하고 있는 무색 일반 라벨지 대신, 폐기물 스티커 인쇄용으로 ""후면에 폐기물 가격표가 인쇄된 유색 코팅 라벨지""를 구에서 공동 발주할 것을 제안합니다. 구형 폐기물 스티커와 유사하게, 후면에 폐기물 가격표가 먼저 인쇄된 라벨지를 발주하고, 여기에 스티커를 인쇄한다면 배출자의 편의성이 향상될 것입니다. 라벨지를 유색지로 바꾼다면 시인성이 개선되어 수거시 공무직원의 편의성이 향상되고, 구매자의 스티커 분실 우려도 감소할 것입니다. 라벨지를 코팅지(방수라벨지)로 바꾼다면 우천 등 기상 악화로 폐기물 스티커가 손상될 우려가 줄어들어 행정의 혼선을 막고, 발급자와 공무직원의 편의성이 향상될 것입니다.
다음으로, 프린터의 개선입니다. 아무리 프린터가 라벨지 인쇄가 가능하다지만, 하루 종일 라벨지 출력은 상정 외의 일으로, 프린터 수명을 크게 단축시킵니다. 벌써 저희 동에서도 2번째 프린터에 이상이 생기는 수준입니다. 반복적으로 라벨지 출력으로 인해 프린터가 고장이 난다면, 장기적으로 발생하는 비용이 높다고 볼 수 있습니다. 따라서, 폐기물 발생량이 많은 동부터 순차적으로 라벨 전용 프린터를 도입할 것을 요청합니다.
마지막으로, 배출신고서 시스템의 개선을 요청합니다. 현재의 전산 시스템으로는, 스티커 개별출력과 수납필증 출력이 나눠져 있어 종이 낭비가 심하고, 혼선이 발생할 우려가 있습니다. 전산 시스템을 조금 개선하여 개별 스티커 인쇄시 맨 마지막에 수납필증이 출력되도록 하여 환경 보호에 기여하고, 시민과 근로자의 편리성을 높여줄 것을 요청합니다.
기대효과
현장 근로자 입장에서, 대형폐기물 배출신고시스템의 전산화에 대체적으로 만족합니다.
그러나, 동시에 일반 시민의 입장에서 발생하는 불편성과 이를 마주해야 하는 응대자 입장에서 상술한 바와 같은 다수의 문제점이 분명히 있습니다. 주민을 위해 개선해야 하는 문제점이고, 구정의 역할입니다.
프린터 개선, 배출신고서 시스템 개선의 경우 소요 비용이 높아, 당장은 추진이 어려움을 알고 있습니다. 그러나, 적어도 라벨지 교체 정도는 현재 행정 내에서 가능할 것이며, 이를 통해 주민과 근로자 모두의 편의성이 향상될 것입니다. 면밀히 검토한다면 충분히 가능할 수 있는 대안이 마련될 것이라고 생각합니다.
주무관님의 노고가 많습니다. 검토와 반영을 부탁드립니다.",2021-08-05,"1. 귀하께서 보내주신 소중한 의견에 감사드리며, 제안하신 내용(1AB-2108-0003227)에 대해서 다음과 같이 회신하여 드립니다.

2. 제안해주신 내용은 “대형폐기물배출시스템 개선”에 관한 것으로 판단됩니다.

3. 제안하신 사항을 검토한 결과는 다음과 같습니다.
첫째, 현재 대형폐기물배출용 스티커 출력시 사용하는 무색 일반 라벨지를 후면에 대형폐기물 수수료가 인쇄된 유색 코팅 라벨지로 개선하자는 제안에 대하여 라벨지 뒷면 수수료 인쇄로 민원인의 가격정보 취득이 용이해지고 유색 라벨지는 현장 대형폐기물 수거원의 시인성을 높여줄 것으로 판단되어 검토 후 시행토록하겠습니다.
둘째, 라벨지 전용 프린터 도입에 관한 사항입니다. 프린터 구입은 예산이 수반되는 사항이고 동별 여건이 다를 수 있는 바, 현장 여건에 따라 동별로 추진되어야 할 사항으로 판단됩니다.
셋째, 현재 폐기물 부착용 스티커와 민원인 보관용 수납필증이 따로 출력되어 종이 낭비가 심하여 연속출력토록 개선하자는 제안은 향후 시스템변경 가능여부를 검토하겠습니다.

4. 귀하의 요청사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경과 청소담당(☏ 606-7293)으로 연락 주시면 성의껏 답변 드리겠습니다. 감사합니다. 끝.

붙임 국민제안신청서 1부. 끝.",2021-09-08,중구,답변완료
건물 신축시 이웃주민들과의 갈등 및 분쟁을 사전에 차단하여 살기좋은 주거환경 개선 실현,"현황 및 문제점
건물 신축하기 전에는 원상회복 등 이웃 주민에게 불편이 없이 해줄것 처럼 약속을 하고 사용승인이 난 후에는 아무런 조처도 취해주지 않고 이행되지 않고 나몰라라 하여 건축관련 분쟁이 끊이질 않습니다.

이러한 관행은 사회문제로 대두될 정도로 심각한 사회문제를 야기 하고 있습니다.
이러한 관행을 사전에 차단하여 100% 근절 시켜 살기좋은 주거환경을 만들어 나가야 하겠습니다.
개선방안
건물 신축과 관련하여 인접건물주 주민과 분쟁이 발생할 수 있는 사항에 대해서는 체크리스트를 만들어 인접주민의 동의를 구하여 건축신고시 제출하게 하고 건물 사용승인 즉 준공검사에 반영하여 내 인접주민과 관계된 체크리스트가 이행이 안된경우 사용승인 및 준공검사의 필수항목으로 만들어 이행이 안될경우 사용승인을 받을 수 없도록 하였으면 좋겠습니다.

본 민원과 관련하여 검색하고 자문을 구하다보니 신축건물주의 횡포가 심한 사례가 너무 많아서 인근주민의 피해가 심각하고 건물이 준공 되더라도 이웃주민들간의 살기좋은 주거환경을 해치게 됩니다.

주거환경개선이라는 말씀 많이 들어서 알고 있습니다만 건물신축때부터 이웃 주민들과의 불화스런 문제점을 차단할수 있다면 살기좋은 주거환경개선이 되지 않을 까 합니다.

상기 내용으로 제안 드립니다.

즉 건물 신축시 착공 승인전 이웃주민들과 분쟁이 될 수있는 문제점들에 대하여 협의하고 이행하여야 될 것들을 서로 확정하여 착공승인전 제출하게 하고 건물이 다 지어진 후 사용승인 즉 준공검사에서 이러한 것들이 이행이 안되었을 경우 사용승인을 보류 하거나 행정명령을 통하여 반드시 이행하도록 하는 제도 입니다.

건물 신축하기 전에는 원상회복 등 이웃 주민에게 불편이 없이 해줄것 처럼 약속을 하고 사용승인이 난 후에는 아무런 조처도 취해주지 않고 이행되지 않고 나몰라라 하여 건축관련 분쟁이 끊이질 않습니다. 이러한 관행을 근절 시켜야 겠습니다
기대효과
사용승인 즉 준공검사 당시 이웃주민들과 협의에 의하여 이행하여야 될 것들을 반드시 완료 할 수 밖에 없으며 이로인한 이웃주민들과의 갈등과 분쟁을 사전에 차단하고 살기 좋은 주거환경개선을 실현할 수 있습니다.

건물 신축시에는 이웃주민들에게 살살 거리면서 걱정하지 말라고 공헌을 하고 사용승인 준공검사 받고 난후에는 나몰라하며 약속한 문제를 이해하지 않는 문제를 100% 원천적으로 차단할 수 있습니다.",2021-08-05,"1. 평소 건축행정에 많은 관심을 가져주심에 감사드리며, 귀하의 무궁한 발전을 기원합니다.

2. 귀하께서 국민신문고 국민제안 코너를 통해 제안해 주신 사항은 건물 신축시에 미리 이웃주민들과 분쟁에 대하여 협의 확정하여 착공신고시 제출하고, 사용승인시 이에 대한 이행여부 확인 후 사용승인 처리하는 제도 도입을 제안해 주신 내용으로 판단됩니다.

3. 건축법의 제정 목적은 건축물의 대지·구조·설비 기준 및 용도 등을 정하여 건축물의 안전·기능·환경 및 미관을 향상시킴으로써 공공복리의 증진에 이바지하는 것이며, 건축허가 및 사용승인은 건축법 및 관련기준에 적합하면 허가 및 사용승인 처리하여야하는 기속행위로 이웃주민들과 협의사항 확정내용 및 이행여부 확인을 제도화 하고, 이를 이유로 허가·착공·사용승인 처리를 보류하는 것은 어려움을 알려드립니다.

4. 다만. 건축법 제25조에 따라 건축물, 건축설비 또는 공작물이 설계도서의 내용대로 시공되는지를 확인하고, 품질관리ㆍ공사관리ㆍ안전관리 등에 대하여 지도ㆍ감독하는 공사감리 제도를 운영하고 있으며, 건축공사 감리세부기준(국토교통부고시 제2020-1011호, 2020.12.24.) 2.4.4 공사 착공전 현장조사 2)에 “인근 시설물 피해 대책, 통행지장 대책, 소음, 진동 대책, 지반침하 대책, 지하매설물, 인근 도로, 교통시설물 등의 손괴, 하수로 인한 피해 대책, 우기 기간중 배수대책, 분진, 악취 대책, 폐기물 및 쓰레기 처리대책 등에 대한 안전관리 대책 사항의 검토·확인”을 감리업무로 정하고 있습니다.

5. 이와 관련하여, 건축공사로 인한 인근주민들의 피해가 발생하지 않도록 허가권자인 자치구에 현장관리 및 감리업무 감독 철저토록 행정지도 할 예정임을 알려드리며, 귀하의 고견은 향후 건축행정을 추진함에 적극 참고하도록 하겠습니다.

6. 기타 문의사항이 있으신 경우에는 주택정책과(042-270-6363)로 문의하시면 성심성의껏 답변드리겠습니다. 끝.",2021-08-10,대전광역시,답변완료
코로나19 가족검사 확대방안,"현황 및 문제점
현재 대전시에서 20~30대 환자가 속출하고 있으며 시에서는 20~30대 검사를 홍보하고 있으나 검사가 미흡한 실정인것으로 사료됨
개선방안
20~30대의 검사가 미흡함으로써 코로나 확산방지에 한계가 있을것으로 사료되는바 검사주체를 20~30대로 한정하지말고 가족구성원중 1명은 꼭 검사를받을수 있도록 유도 (안전재난문자 활용) 하는것이 바람직할것으로 사료됨
그 이유로는 20~30대 검사자체를 기피하는경우가 많을것이고 가족 구성원중 누구라도 감염이되었을경우 가족전체가 감염되었을 확율이 높을 테니까요
가족중 1명은 코로나 검사 받기운동 전개
기대효과
코로나 사전검사확대로 코로나 확산방지",2021-08-05,"1. 코로나19 확산방지에 대한 귀하의 의견 감사합니다.

2. 귀하께서 제안하신 내용은 '가족중 1명은 코로나19 검사 받기운동'과 관련된 것으로 이해됩니다.

3. 귀하의 제안은 코로나19 예방과 확산 방지에 효과가 있을 것으로 보입니다.

4. 하지만, 대전시에서는 이미 확진자 발생시 역학조사를 통해 밀접접촉자와 단순검사 자에게 반드시 검사를 받도록 안내하고 있으며, 이 과정에서 확진자의 동거 가족은 밀접접촉자로 분류되어 필수적으로 검사를 시행하고 있습니다.

5. 또한, 3월에 한밭운동장 임시선별검사소를 시작으로 4월 관저지소 임시선별검사소, 5월 유성 임시선별 검사소(8월 26일 종료), 8월 시청 남문광장 임시선별 진료소를 설치하여 대전 시민들의 코로나19 검사를 적극 시행하고 있습니다.

6. 따라서 귀하께서 제안하신 사항은 이미 시에서 추진하고 있는 내용과 중복되어 부득이 불채택하게 되었음을 알려드립니다.

7. 이와 관련 궁금하신 사항은 감염병관리과 임미정(042-270-4024)에게 연락주시면 성심껏 답변 드리겠습니다.

붙임 국민제안신청서 1부. 끝.",2021-09-06,대전광역시,답변완료
제2뿌리공원은 모두가 찾아올 수 있는 곳으로 만들어주세요.,"현황 및 문제점
1뿌리공원은 자주있는 공사로 인해 나들이를 가고 싶어도 갈수 없고 비석만 있어 1회 방문 후 재방문률이 현저히 낮습니다.

개선방안
이에 2뿌리공원은 내포에 있는 보부상촌을 모티브로 큰 놀이터와 주막, 먹거리 등 관광명소처럼 만들어서 지역을 빛냈으면 좋겠습니다.

보부상촌의 반만이라도 좋으니 한번 방문하시어 좋은건 가져왔으면 좋겠습니다. 유아, 중장년층, 노년층이 모두가 즐거운 곳

그런곳으로 만들어주세요.
기대효과

지역의 발전이 되고 보문산과 더불어 중부권의 관광명소가 될 것입니다.(오월드 연계)

사정동은 관광명소가 되어야 합니다. 안영ic에서부터 오월드와 뿌리공원이 있음에도 너무나 평범합니다.

타 ic는 ic를 꾸며 관광지처럼 만들어 놓았습니다. 동네를 관광특구로 만들어 led 설치 등 다양한 볼거리가 있게 만들어주십시오.

그럼 상권활성화에 이바지 할 수 있게 될 것입니다.",2021-08-03,"1. 코로나19 확산방지에 대한 귀하의 의견 감사합니다.

2. 귀하께서 제안하신 내용은 '가족중 1명은 코로나19 검사 받기운동'과 관련된 것으로 이해됩니다.

3. 귀하의 제안은 코로나19 예방과 확산 방지에 효과가 있을 것으로 보입니다.

4. 하지만, 대전시에서는 이미 확진자 발생시 역학조사를 통해 밀접접촉자와 단순검사 자에게 반드시 검사를 받도록 안내하고 있으며, 이 과정에서 확진자의 동거 가족은 밀접접촉자로 분류되어 필수적으로 검사를 시행하고 있습니다.

5. 또한, 3월에 한밭운동장 임시선별검사소를 시작으로 4월 관저지소 임시선별검사소, 5월 유성 임시선별 검사소(8월 26일 종료), 8월 시청 남문광장 임시선별 진료소를 설치하여 대전 시민들의 코로나19 검사를 적극 시행하고 있습니다.

6. 따라서 귀하께서 제안하신 사항은 이미 시에서 추진하고 있는 내용과 중복되어 부득이 불채택하게 되었음을 알려드립니다.

7. 이와 관련 궁금하신 사항은 감염병관리과 임미정(042-270-4024)에게 연락주시면 성심껏 답변 드리겠습니다.

붙임 국민제안신청서 1부. 끝.",심사 중,중구,제안심사
인도개설 및 도로 개선 요청,"현황 및 문제점
1. 인도가 없어 신탄진동 이동 제한
개선방안
1. 인도추가(서희에서 신탄진동)
2. 노후화된 가로등 교체
3. 도로 개선 및 보강
4. 카메라 설치
5. 불법주정차 방지를 위한 도로 라인색 변경
기대효과
1. 현재 야간에 신탄진동 이동시 어두워서 도보로 이동하는데 제한이 되고 있는 주민들의 애로사항 해결
2. 신탄진동과 석봉동을 연결할 수 있는 인프라 구축
3. 사고사전예방",2021-07-27,"❍ 평소 구정발전에 관심과 애정을 기울여 주신 귀하께 깊은 감사를 드립니다.
❍ 국민신문고를 통해 제출하신 국민제안(신청번호: 1AB-2107-0026199)에 대하여 답변을 드립니다.
❍ 인도 개설은 현재 대전광역시에서 공사를 계획하고 있는 곳으로, 우리 구에서 공사 추진 시 사업비 확보 및 공사 추진이 불가능하여 당장 인도 개설이 어려운 사항입니다.
※ 도로개설 L=4.5㎞, B=20.0m / 사업기간 2021.~2029.
❍ 가로등 교체는 현재 우리 구에서 가로등 교체를 진행하는 사업구간으로 해당 내용을 반영하여 공사를 추진할 예정입니다.
❍ 과속카메라 및 도로 황색선은 대덕경찰서에서 검토 및 심의하여 조치할 사항으로 대덕경찰서에 요청하였으며, 과속방지턱은 9월 내로 설치할 예정입니다.
❍ 따라서, 귀하께서 제안하신 사항은 중장기적인 검토가 필요한 사항으로 현시점에서 시행이 어려워 불채택 하오니 이 점 양지하여 주시기 바랍니다.
❍ 대덕구 발전을 위해 제안해 주신 귀하께 다시 한번 더 깊은 감사를 드리며, 기타 궁금한 사항이 있으시면 대덕구청 건설과(☏042-608-5216)로 문의해 주시면 성심성의껏 답변해 드리겠습니다. 감사합니다.",2021-08-27,대덕구,답변완료
횡단보도 그늘막 내 의자 설치,"현황 및 문제점
1. 횡단보도 마다 그늘막이 설치되어 있어 폭염에 시민들의 더위 차단에 톡톡한 효자 역할을 수행하고 있다
2. 35도의 더위에 노인들은 신호등을 기다리다 그 자리에 주저앉아 잠시라도 힘든몸을
쉬려 한다. 노인, 임산부분들을 위한 작지만 효자노릇 할 수 있는 유니버설 디자인을 제안한다.
개선방안
1. 그늘막 내 안쪽으로 작은 희망의자(2개)를 설치하여 노인이나 임산부가 횡단보도를 기다릴 시 앉을 수 있도록 한다( 형태 : 빗물 등이나 먼지등이 의자 가운데 고이거나 모이지 않도록 프라스틱 형으로 설치 : 사진첨부)
2. 의자명칭을 ""배려의자"" 라고 표시하고 노인, 장애인,임산부가 앉을 수 있도록 작은 문구 부착
기대효과
1. 폭염에 노인 또는 임산부, 장애인 등이 횡단보도를 기다릴 시 조금이라도 힘들지 않게 앉아서 기다리게 할 수 있다.
2. 그늘막이 폭염을 차단해주는 기능에서 사회적 약자들이 잠시나마 앉아서 기다리게 할 수 있는 사회적 배려 및 인권 존중
3. 도시 내 공공시설물의 유니버설 디자인(노인, 장애인, 아동 등 사회적 약자가 누구나 쉽고 편하게 이용할 수 있는 디자인)으로 변화 추진",2021-07-27,"o 평소 구정 발전에 깊은 관심과 애정을 갖고 소중한 의견을 주신 귀하께 우선 감사의 말씀을 드립니다.

o 귀하께서 국민제안으로 제출하신 그늘막 쉼터 내 의자 설치 사항에 대하여 아래와 같이 답변을 드립니다.

o 현재 그늘막 쉼터는 그늘막 설치·관리 지침(Ⅲ. 그늘막 설치 기준) 중 도로점용의 최소화 및 주민 보행에 지장이 없도록 설치해야하는 기준에 따라 의자 설치가 어려울 것으로 판단됩니다.

o 그러므로 귀하께서 제안하신 내용에 대하여 이와 같은 사유로 채택하지 못함을 양해해 주시기 바라며, 향후 귀하의 제안사항과 관련 기준 등을 고려하여 주민에게 더 안전하고 편리한 시설을 도입할 수 있도록 노력하겠습니다.

o 귀하의 소중한 제안에 다시 한번 감사드리며, 제안에 대한 답변과 관련하여 궁금하신 사항이 있을 경우 서구 재난안전과(☏042-288-2532)로 연락주시면 성실히 답변을 드리도록 하겠습니다. 앞으로도 구정발전에 많은 관심 바랍니다.",2021-08-02,서구,답변완료
유성월드컵 코로나 선별진료소 시스템 개선제안,"현황 및 문제점
안녕하세요코로나 선별진료에 관한 사항 문제점에 대해 건의합니다
지난 주말 회사직원이 코로나 확진을 받아서 전 직원이 코로나검사를 받아야했습니다. 집에서 가장 가까운 월드컵으로 검사를 받으러 갔는데 회사 직원이 벌써 줄을 서고 있었습니다
한시간전에 온 직원은 얼굴이 벌겋게 달아 올라있어고 중간 중간 회사 동료들도 이미 지쳐있더군요. 더운여름에 한시간 넘게 줄을 서고 있는데 원인이 접수란 곳에서 너무 오래 시간이 지체되는것입니다. 제차례가 되어 접수가니 본인 인적 사항적은게 다였습니다. 이게 왜 시간이 걸리는지 이해가 안가는데 밑에 역학조사란에 쓸데없는 질문으로 시간을 잡아먹고있더군요
우선 양성이 나오면 어차피 보건소에서 역학조사 하는걸로 아는데 굳이 이 더운여름에 그거 질문하고 있다는게 서로 힘든 일 아닙니까?
같은시간대 서구 보건소로 간 직원들은 큐알코드 찍고 10분만에 끝났다고 하던데 엑스포랑 월드컵만 줄을 을 그렇게 길게 세워서 검사하면 어떡합니까? 줄서있는 어느 한 시민은 검사받으면서 오히려 감염되겠다고 화를 내셨습니다. 정말 거기서 일하는 직원분들 고생하는거 알겠는데 윗사람이 멍청하면 아랫사람이 고생한다고 제발 효율적으로 일해주셨으면합니다
다행히 검사는 음성나왔지만 더위를 먹어서 월요일까지 머리 아프고 입맛없고 얼굴은 화끈거리고 고생했습니다. 제발 개선해주세요 아니면 해외입국자 및 밀접접촉자만 드라이브스루 검사받게 하지 말고 전체가 다 드라이브 스루로 검사받게 해주세요
개선방안
인적사항 수작업으로 적지 말고 큐알코드 찍어서 검사대기 시간을 줄여주고 검사하는 인력을 더 늘려서 효율적으로 코로나 검사받게 해주세요
아니면 더운 여름날에는 전체가 다 드리이브 스루로 검사 받게 해주세요
기대효과
검사대기 시간 절약으로 불편 및 불만 해소",2021-07-27,"1. 귀하께서 코로나19 확산방지를 위해 국민제안(2021. 7. 27.)한 「유성구 코로나 선별진료소 시스템 개선 제안」건에 대하여 답변 드립니다.

2. 코로나 19 전국적 4차유행 및 집단발생으로 인한 확진자의 증가로 인해 그에 따라 검사자들도 증가하였고, 보건소에서도 그동안 수기로 작성하던 종이문진표는 접수 시간이 너무 오래 걸리고, 기초 인적사항이 누락되는 등의 한계를 인지하였습니다.

3. 위와 관련하여 7월 26일부터 QR코드를 통한 전자문진표 작성 시스템으로 변경하여 운영 중임을 알려드립니다.

4. 고견을 주신 귀하께 감사드리며 이와 관련 더 궁금한 사항이 있을 경우 유성구보건소 감염병대응팀(☎042-611-5124)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2021-08-12,유성구,답변완료
