지역,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
,한라산 정상 통제소 안내문 수정 제안,"현황 및 문제점
요즘 한라산을 방문하는 탐방객이 많습니다.
물론 제한된 예약때문에 한정적인 인원입니다.
그리고 정상 인증서를 받고자 하는 염원도 대단합니다.
그런데 정상 안내소에 붙어 있는 안내문을 보니
하산하기 전 정상인증서를 신청하라는 문구가 보입니다. 물론 스피커로 별도의 안내를 하고는 있지만 우선은 혼란을 없애기 위하여 이 문구를 수정해주면 좋겠네요
개선방안
정상인증을 하산전 하라고 하는 문구를 속히 없애면 좋겠군요
대신 GPS를 켠 상태에서 사진을 촬영하라는 문구로 바꿔주면 좋겠군요
GPS를 켠 상태에서 휴대폰으로 촬영해야 인터넷으로 정상인증서 신청이 가능하다는상세한 문구를 넣어 주변 좋겠네요
그리고 하산해서도 신청이 가능하다는 추가 문구도 넣어주면 좋구요
기대효과
어렵게 예약해서 한라산 백록담에 오른 탐방객들의 혼란을 방지하는 효과가 예상됩니다.",2023-03-26,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 제안하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하께서 제출하신 민원의 내용은 ""정상 등정인증서 발급 관련 안내문구 변경제안""으로 이해됩니다.
3. 귀하의 민원에 대한 검토결과는 다음과 같습니다.

가. 한라산등정인증서 발급은 실제 정상에서만 신청 후 발급이 가능하여“한라산 등정인증서 하산 전 신청하세요”라는 문구로 안내하고 있습니다.

나. 아래와 같은 이유로 등정인증서 신청을 정상에서만 받고 있는 점 양해 부탁드립니다.
- 실제 정상을 갔다오지 않은 탐방객이 정상등반을 한 탐방객의 인증사진을 정상 이외의 장소에서 받아 등정인증서를 발급하는 경우가 다수 발견되어 한라산 정상 등정인증서의 무분별한 발급 방지를 위해 하산전 정상에서 발급하도록 안내해드리고 있습니다.
- 또한, 아이폰의 경우 정상사진에 GPS정보가 있는 경우에도 개인정보강화로 GPS위치 반경을 벗어나서는 위치인식이 불가능하게 설정되어 정상등정인증서 발급이 불가능합니다. 안드로이드, 아이폰의 구분없이 혼란을 방지하기 위함입니다.

다. “GPS 설정을 활성화 시킨 후 사진촬영이 필요합니다”의 안내문구는 탐방로 입구, 진달래밭대피소 및 삼각봉 대피소의 홍보배너와 포맥스로 설치되어 안내하고 있습니다. 또한, 정상부분에“한라산 등정인증서 하산전 신청하세요”라는 안내문구가 없는 경우 정상이 아닌 다른 곳에서 사진촬영 후 등정인증서를 신청한 후 발급이 되지않는다는 민원 문의가 많아 부득이하게 홍보하는 점 양해바랍니다.

라. 앞으로는 ①“한라산 등정인증서 하산 전 신청” ②“반드시 GPS를 활성화 시킨 상태에서 정상등반사진을 촬영” 문구를 추가로 넣어 혼란을 최소화하도록 노력하겠습니다.

4. 답변 내용에 대한 추가 설명이 필요한 경우 한라산국립공원관리소 윤혜은 주무관(064-710-7813)에게 연락주시면 친절히 안내해드리도록 하겠습니다. 끝.",2023-04-07,제주특별자치도,답변완료
,칠성통 거리를 경제 활성화 제안,"현황 및 문제점
안녕하세요 저는 외도동에 사는 고석만 이라고 다름이 아니오라 옛칠성통 거리를 경제 활성화 대해서 제한을 하고 합니서다
저는 매번 느끼는 것이 있습니다 유년기 시철인 북교. 중앙중. 제주농고까지 유년절을 무근성과 서문통 ( 서문다리)에 살았습니다 그것도 89년도인 19살때 까지 살았죠 제나이가 76년생인 48살 입니다 문듯 원도심인 관덕정을 지날때 원도심에 살아던 그기억 남곤합니다 그래서 제안은 북교 옆에 칠성통거리을 조성 차원에 먹자거리 조성 과 소규모 공연을 할수 있는 극장 및
조성하여 원도심 살리자는 차원에서 제한을 합니다 그이유는 제가 원도심에서 살아던 시철에는 제주 경제 구도가 제1순위
가 칠통성으로 부터 산지천까지 89년만해도 원도심에서 경제 활발히 도아가던 시설 이였고 그다음 제 2순위는 지금에 연동 바우젠 거리에서 노형권인 상권이 순위로 제주경제 핵심축이 였습니다 그래서 저는 북교쪽에 있는 칠통거를 지났때 마다 썰렁한
느낌 및 마치 사람에 온기가 없는 거리에 서있는 느낌 들죠..
또 따지역인 충남과 충청도는 이런 사례가 있습니다 지역경제를 살리는 차원에서 자율적인 상인이 주도 하고 그 뒷받침에는 행정이 떠받는 사례가 있었는데요 그런 정책이 반영을한 결과 75% 지역경제 파급효과가 있었습니다 그유는 그경제측면에서는
상권은 살리기 위해 자율적인 지역상인들이 자율적인 상권을 운영 하면서 행정에서는 매년 자제척으로 TF 조성하여 실태 및 조사결과 결과 실시하여 지역상권 문제점 발생시 그조치 과정을 걸쳐 그것을 정책으 전환 하여 행정시행할시에는 상인들에 자율적인 규제환화로 인하여 혜택으로 주어지는 결과있었습니다
개선방안
소규모 공연을 하면서 지역경제 활성 방안
예술 과 먹자거리 골목 상권의 조합
기대효과
경제 파급 효과
일석이조 및 두마리 토끼를 잡는 효과",2023-03-25,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 제안하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하께서 제출하신 민원의 내용은 ""정상 등정인증서 발급 관련 안내문구 변경제안""으로 이해됩니다.
3. 귀하의 민원에 대한 검토결과는 다음과 같습니다.

가. 한라산등정인증서 발급은 실제 정상에서만 신청 후 발급이 가능하여“한라산 등정인증서 하산 전 신청하세요”라는 문구로 안내하고 있습니다.

나. 아래와 같은 이유로 등정인증서 신청을 정상에서만 받고 있는 점 양해 부탁드립니다.
- 실제 정상을 갔다오지 않은 탐방객이 정상등반을 한 탐방객의 인증사진을 정상 이외의 장소에서 받아 등정인증서를 발급하는 경우가 다수 발견되어 한라산 정상 등정인증서의 무분별한 발급 방지를 위해 하산전 정상에서 발급하도록 안내해드리고 있습니다.
- 또한, 아이폰의 경우 정상사진에 GPS정보가 있는 경우에도 개인정보강화로 GPS위치 반경을 벗어나서는 위치인식이 불가능하게 설정되어 정상등정인증서 발급이 불가능합니다. 안드로이드, 아이폰의 구분없이 혼란을 방지하기 위함입니다.

다. “GPS 설정을 활성화 시킨 후 사진촬영이 필요합니다”의 안내문구는 탐방로 입구, 진달래밭대피소 및 삼각봉 대피소의 홍보배너와 포맥스로 설치되어 안내하고 있습니다. 또한, 정상부분에“한라산 등정인증서 하산전 신청하세요”라는 안내문구가 없는 경우 정상이 아닌 다른 곳에서 사진촬영 후 등정인증서를 신청한 후 발급이 되지않는다는 민원 문의가 많아 부득이하게 홍보하는 점 양해바랍니다.

라. 앞으로는 ①“한라산 등정인증서 하산 전 신청” ②“반드시 GPS를 활성화 시킨 상태에서 정상등반사진을 촬영” 문구를 추가로 넣어 혼란을 최소화하도록 노력하겠습니다.

4. 답변 내용에 대한 추가 설명이 필요한 경우 한라산국립공원관리소 윤혜은 주무관(064-710-7813)에게 연락주시면 친절히 안내해드리도록 하겠습니다. 끝.",심사 중,제주시,제안심사
,자연문화유산 가이드 복장 통일,"현황 및 문제점
* 가이드 복장의 문제

거문오름을 다녀왔습니다.
가이드 분들의 친절한 안내에 좋은 기억이 있습니다만
가이드 분들의 복장이 제각각이라서 관광객과 구분이 안되는거 같습니다.
개선방안
* 자연문화유산 가이드 복장 통일성 요청

국립공원 방문하면 직원분들 복장은 통일성이 있습니다.
유네스코 세계자연문화 유산이라는 거창한 이름에 맞게 거문오름 가이드 분들의 복장을 통일시켜 주세요.
기대효과
* 가이드(인솔자) 시인성이 좋아짐

많은 관광객 사이에서 문화유산 가이드(직원) 분들을 알아보기 쉽다",2023-03-23,"○ 안녕하십니까? 거문오름 탐방에 많은 관심을 가져주셔서 감사드립니다. 귀하께서 건의하신 민원사항에 대해 아래과 같이 회신하여 드립니다.
○ 제주특별자치도에서는 유네스코 세계유산의 가치를 널리 알리기 위해 세계자연유산해설사를 운영하고 있으며, 해설사들에게 일체감을 높이고 탐방객들에게 신뢰감 및 편의 제공을 위해 활동복을 지급하고 있습니다.
○ 또한 활동복에 세계자연유산해설사 마크도 부착하고 있으며, 제안해 주신 것처럼 최대한 통일된 복장을 통해 탐방객들이 해설사를 쉽게 인지할 수 있도록 노력하겠습니다.
○ 세계자연유산 해설사 운영에 대해 많은 관심 가져주셔서 다시 한 번 감사드리며, 기타 관련 문의가 있으시면 세계유산정책과 기진석 담당자(064-710-8993)에게 연락주시기 바랍니다. 감사합니다.",2023-04-05,제주특별자치도,답변완료
,반려견운동장의 필요성,"현황 및 문제점
반려견이 늘어가는 추세에 따라 반려인들과 비반려인들 사이의 마찰 또한 늘어나고 있습니다. 함께 이용하는 공원이나 거리에서도 반려견을 데리고 다니면 여러차례 시비가 걸리는 일 또한 다반사입니다. 작고 예쁜 펫샵 강아지들은 예쁘겠지요 하지만 중대형견 아이들은 크다고 무섭다고 위협이 된다고 지레 짐작하는 비반려인들이 대다수입니다 저희도 마음 편하게 산책하고 강아지들을 놀게 해주고 싶어요
개선방안
반려견 전용 펜스 쳐진 운동장을 만들어주세요 물론 소형견 대형견 따로 분리시켜야 합니다.
기대효과
적어도 반려견 운동장 안에서만큼은 시비 걸일 일이 없으니 서로 스트레스가 완화 되겠지요 반려견 천만 시대에 가족같은 반려견들이 함께 어울어져 살 수 있는 좋은 대한민국이 되었으면 좋겠습니다",2023-03-19,"○ 안녕하십니까? 거문오름 탐방에 많은 관심을 가져주셔서 감사드립니다. 귀하께서 건의하신 민원사항에 대해 아래과 같이 회신하여 드립니다.
○ 제주특별자치도에서는 유네스코 세계유산의 가치를 널리 알리기 위해 세계자연유산해설사를 운영하고 있으며, 해설사들에게 일체감을 높이고 탐방객들에게 신뢰감 및 편의 제공을 위해 활동복을 지급하고 있습니다.
○ 또한 활동복에 세계자연유산해설사 마크도 부착하고 있으며, 제안해 주신 것처럼 최대한 통일된 복장을 통해 탐방객들이 해설사를 쉽게 인지할 수 있도록 노력하겠습니다.
○ 세계자연유산 해설사 운영에 대해 많은 관심 가져주셔서 다시 한 번 감사드리며, 기타 관련 문의가 있으시면 세계유산정책과 기진석 담당자(064-710-8993)에게 연락주시기 바랍니다. 감사합니다.",심사 중,제주시,제안심사
,"개 짖음, 물림사고 피해 문제 개선","현황 및 문제점
- 함께 도시에서 생활하는 반려견들이 늘어나는 만큼 유기견 문제나 개짖음 소음문제, 물림사고, 개 분변등 문제들이 발생.
- 개들이 해소해야 하는 활동량이 있는데 그 스트레스를 풀어주지 못해서 생기는 문제이며
- 미숙한 동물복지 실태로 인한 시민들의 반려견 문화 인식 개선의지 부족 문제
- 제주에는 개를 위한 공간이 턱없이 부족함.
- 줄산책의 필요성도 크지만 활동량이 넘쳐나는 개들은 줄산책만으로 에너지를 소진하기 어려움.
- 반려인들은 개를 데리고 이곳 저곳에 전전하며 답답한 도시속 개의 스트레스 해소와 그에 동반되는 지역사회의 개관련 문제해소를 위해 노력하고 있지만 개를 위한 운동 공간, 휴게공간 등 부족한 동물복지 사정으로 크게 고통받고 있습니다.
개선방안
개선방안은 간단합니다.
강아지를 위한 공원을 조성해주세요.
울타리와 동물복지법에 따른 주의사항 팻말만 있으면 개와 반려인들은 충분합니다.
기대효과
- 정해진 놀이공간 조성으로 인해 무질서한 애견 문화가 바르게 정착할 수 있음.
- 애견 문화가 개선됨에 따라 개관련 사회문제 극복 가능.
(놀이부족으로 사회화 되지않은 개들의 문제점인 짖음, 물림 사고 방지 또는 반려인의 올바른 펫티켓 확립으로 분변, 산책 시 목줄 컨트롤 등 문제 개선 )
사람을 위한 시민 공원은 넓고 많습니다. 동물의 복지는 절대로 사람의 복지를 압도할 수 없습니다. 동물의 복지가 개선되면 그만큼 사람들이 살기에는 더 좋고 쾌적한 사회라고 생각합니다.
또, 반려인들은 강아지가 행복하게 사회와 공존할 수 있도록 노력할 의무가 있고 지역사회는 반려견과 반려인을 외면하지 않을 의무가 있다고 생각합니다.
제발 외면하지 말고 도와주세요.
감사합니다.",2023-03-19,"○ 안녕하십니까? 거문오름 탐방에 많은 관심을 가져주셔서 감사드립니다. 귀하께서 건의하신 민원사항에 대해 아래과 같이 회신하여 드립니다.
○ 제주특별자치도에서는 유네스코 세계유산의 가치를 널리 알리기 위해 세계자연유산해설사를 운영하고 있으며, 해설사들에게 일체감을 높이고 탐방객들에게 신뢰감 및 편의 제공을 위해 활동복을 지급하고 있습니다.
○ 또한 활동복에 세계자연유산해설사 마크도 부착하고 있으며, 제안해 주신 것처럼 최대한 통일된 복장을 통해 탐방객들이 해설사를 쉽게 인지할 수 있도록 노력하겠습니다.
○ 세계자연유산 해설사 운영에 대해 많은 관심 가져주셔서 다시 한 번 감사드리며, 기타 관련 문의가 있으시면 세계유산정책과 기진석 담당자(064-710-8993)에게 연락주시기 바랍니다. 감사합니다.",심사 중,제주시,제안심사
,제주도 부동산 투자제도 철폐 요구,"현황 및 문제점
제주 바오젠거리를 예로 들자면 기존에 80%는 중국인들이 소유하고 임대 임차도 전부 중국인들이 운영하여
한국인들이 쫒겨나는 처지에 달했었는데 부동산 투자제도가 무슨 의미가 있는지 이해가안갑니다.
자연 훼손시키고, 범죄율도 높아졌었고 현재도 제주도 큰 건물들은 중국인들이 가지고 있는것이 상당수됩니다.
부동산 투자이민제도는 국민 정서와 배치되고 있고 이러한 제도때문에 제주도가 관광이 활성화되는것은 아닙니다
개선방안
제주도 관광 자체 경쟁력을 가지도록 방안을 마련해야할것입니다
기대효과
제주 부동산 가격 안정화 및 자연훼손 우려에 대한 문제점 해결 기타 등",2023-03-19,"1. 안녕하십니까. 귀하께서 국민신문고를 통해 제안해주신 '제주 부동산 투자이민제 폐지' 에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 제주지역 부동산 투자이민제도는 관광진흥법 제52조에 따라 ‘관광단지 및 관광지’ 지정을 받은 사업지역 내 휴양목적 체류시설(휴양콘도미니엄 등)에 외국인이 5억원 이상 투자한 경우 거주 및 영주자격(5년 간 투자상태 유지) 취득을 허용하는 제도로 토지, 상가 및 주택 등은 영주권 대상이 아닙니다.

- 2010년 제도 도입 초기에는 법무부 고시에 따라 관광단지, 관광지 및 지구단위계획 등 개발사업 시행승인 지역 전체가 투자이민제 대상이였으나, 2015년 제도개선을 통해 투자대상을 관광단지 및 관광지로 제한하여 운영 중에 있습니다.

- 그간 부동산 투자이민제의 실효성과 투자의 도민 기여 등 측면에서 미흡하다는 일부 지적들이 있었지만, 투자유치제도의 신뢰성과 연속성 면에서 현 제도를 보완 · 발전시킬 필요성이 있다고 보고 있으며, 투자금액 상향, 의무거주기간 부여 등 추가적인 제도개선 사항을 법무부에 건의한 바 있습니다.

- 변화된 시대에 맞게 투자정책이 부동산 중심에서 신성장산업 중심으로 바뀌고 있는 만큼 제도개선안이 반영될 수 있도록 법무부와 지속적으로 협의해 나가겠습니다. 추가적인 문의사항은 기업투자과 투자유치팀(064-710-3375)으로 연락주시면 성실하게 답변드리겠습니다. 감사합니다. 끝.",2023-04-18,제주특별자치도,답변완료
,들불축제 제안 하기 2,"현황 및 문제점
안녕하세요 저는 외도동에사는 고석만이라고 합니다 들불축제는 예로부터 농경 문화가 발달 되면서 불넣기 유래가 되시 시작한 이래 지금까지 관광 유지 하는 차원에서 관리를 해왔지만 산불위기 및 지구 온난화 영향으로 인하여 축제가 장난보다 좀
축소 되었는 사실이 느껴 지곤 합니다 그래서 제의 제한은 우리나라 민속 신앙에 예로부터 들불을 태우면 액운을 막고 좋은 복만 불러온다는 말이 있죠 그래서 저는 정보 대보름해에 변경하여 축제를 여는것이 어떨런지요 . 정월 대보름에는 예로부터
우리나라에 절기상 4대 대명절 인 정보대보름 . 추석 . 설날 .동지. 한식이는 명절 풍습이 있어죠 이가운데 정월 대보름에 밭에서 쥐불놀이를 하면 액운받고 좋은 복을 이어준다 말이 있듯이 이것을 들불축제로 변경하여 진행을 하는것이 어떨까 합니다
들불축제는 계속 이어져 나가여 합니다 선대로 부터 전해져 오는 제주도민 많에 문화 유산이자 우리 역시 후대가 대물림을
하는 막중한 책임이 있기에 우리도 그책임에 벗어 날 수 없습니다.. 들불 축제는 존속 및 유지가 되어야 합니다....
이번 저도 축제때 정상 및 공연을 보고 왔지만 들불구경을 못한 것이 참 아쉽습니다....
개선방안
산불위기 대비 하여 정월 대보름 진행 제한
관광객 유치 유지 방안
들불 축제를 제주도민 만에 축제가 아닌 국제 축제로 유치 하는 것이 어떨까요.... 외국인 초청하자는 이유는 그 나라에 가면
그 문화를 알수 있다고 하지 않나요...
기대효과
경제 파급 효과 ...",2023-03-17,"1. 안녕하십니까. 귀하께서 국민신문고를 통해 제안해주신 '제주 부동산 투자이민제 폐지' 에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 제주지역 부동산 투자이민제도는 관광진흥법 제52조에 따라 ‘관광단지 및 관광지’ 지정을 받은 사업지역 내 휴양목적 체류시설(휴양콘도미니엄 등)에 외국인이 5억원 이상 투자한 경우 거주 및 영주자격(5년 간 투자상태 유지) 취득을 허용하는 제도로 토지, 상가 및 주택 등은 영주권 대상이 아닙니다.

- 2010년 제도 도입 초기에는 법무부 고시에 따라 관광단지, 관광지 및 지구단위계획 등 개발사업 시행승인 지역 전체가 투자이민제 대상이였으나, 2015년 제도개선을 통해 투자대상을 관광단지 및 관광지로 제한하여 운영 중에 있습니다.

- 그간 부동산 투자이민제의 실효성과 투자의 도민 기여 등 측면에서 미흡하다는 일부 지적들이 있었지만, 투자유치제도의 신뢰성과 연속성 면에서 현 제도를 보완 · 발전시킬 필요성이 있다고 보고 있으며, 투자금액 상향, 의무거주기간 부여 등 추가적인 제도개선 사항을 법무부에 건의한 바 있습니다.

- 변화된 시대에 맞게 투자정책이 부동산 중심에서 신성장산업 중심으로 바뀌고 있는 만큼 제도개선안이 반영될 수 있도록 법무부와 지속적으로 협의해 나가겠습니다. 추가적인 문의사항은 기업투자과 투자유치팀(064-710-3375)으로 연락주시면 성실하게 답변드리겠습니다. 감사합니다. 끝.",심사 중,제주시,제안심사
,고가 항공권에 대한 도서인(제주도민) 지원방안,"현황 및 문제점
현재 쏟아지는 관광 및 코로나 이후 감편된 항공으로 인하여
제주도민의 교통수단인 항공기 등의 가격이 부담되고 있는 것이 현실

각 항공사마다 제주도민 할인을 하고 있으나 정가에서 할인이 되는 것 일뿐
실제 해운법 적용 여객선의 도서민들은 승선때마다 지원금을 지원받고 있지만
제주도민의 경우 제주도민이라는 이유 하나도 택배, 페스트푸드 등 다양한 추가적인 지출을 하고 있는 것이 현실
개선방안
도에서 지원금을 지급하는 방법으로
할인 항공권이든 정가의 항공권이든 탑승한 탑승객이 도청 홈페이지(누리집)등으로 지원금을 신청하고
탑승금액의 절반 정도를 탐나는전 등을 통하여 지급

(단 매번 지급이 아닌 분기별 1회(연 4회)정도로 제한함)
기대효과
제주도민이라는 이유로 많은 고물가를 감당하기에는 제주도의 인건비 등은 상당히 낮은 것이 현실
또한 내륙지역에 부득이한 방문으로 인해 교통비까지 지출되고 있지만
지원은 전혀 없는 것이 현실
따라서 지역화폐로 지원하여 제주도내 지출도 활성.",2023-03-15,"안녕하십니까, 국민제안을 통해 소중한 의견을 주셔서 감사드리며, 귀하께서 건의하신 사항에 대한 검토결과를 다음과 같이 알려드립니다.

최근 봄방학 기간(2월 중순 ~ 2월말) 제주기점 국내노선 항공권 품귀현상 및 비싼 항공요금 부담으로 인해지역정가, 지역언론 등 도민사회에서 도민불편을 호소함에 따라, 우리도에서는 국토교통부를 방문하여 제주노선 공급좌석 확대 및 항공운임 안정화를 건의하였고, 특히 지난 3월 15일 개최된 국회 세미나에서 제주지역 국회의원, 국토교통부 및 항공사 등이 참석한 가운데 성수기 안정적인 항공좌석 공급대책 마련 및 항공사별 시행중인 도민할인 개선, 법률개정 등 제주도민 항공요금 지원을 위한 제도적인 방안 마련을 공식적으로 건의하였습니다.

해당 제안사항은 제주도의 막대한 예산이 수반되는 사항으로 중장기적으로 검토할 사인임을 양해하여 주시기 바랍니다. 제주도민에 대한 항공요금 지원은 항공사별 요금할인 확대 및 법률개정 등을 통해 국가차원에서 지원될 수 있도록 관계기관과 지속적으로 협의해 나가겠습니다.

위 답변과 관련하여 궁금하신 사항은 제주특별자치도 공항확충지원과(064-710-4843)로 문의하여 주시기 바랍니다. 감사합니다.",2023-04-07,제주특별자치도,답변완료
,제주 들불 축제 제한하기,"현황 및 문제점
안녕하세요 저는 외도동에 사는 고석만이라고 합니다 이번 들불축제에 저요 했는데요 기상악화고 들불넣고기 못본 것이 아쉽지만 산불방지 하는 것에 조취한것이 좋은 생각이라고 하고 제가하는것은 들불 축제는 예로부터 제주는 목축문화가 발달해왔고
선대에서 우리 대까지 전해전 오는 문화 유산 입니다 저는 들불축제를 보존하면서 꾸준이 이가돼 산불건조시기를 피하돼 다른
방법을 모색 하는것이 좋지 않을까합니다 또한 관할청은 주민 위견수렴에 붙여 도민이들에 물어 보는 방안 및 실태조사를 하는방안 좋지않을까 합니다. 예로부터 우리민속 신앙에 들불넣기는 짚풀에 불에 태운다하여 액운을 막아주고 행운 과 가정에 복을 가져준다고 하였읍니다 이는 우리 지켜여할 유산이자 후대에게 물려 줘야한 막중한 책임이 있는 것입니다...
개선방안
산불방지 기간 많큼 피하고 다른 날짜를 선택 하여 진행 하는방안
기대효과
콘텐문화 개발 및 유지",2023-03-13,"안녕하십니까, 국민제안을 통해 소중한 의견을 주셔서 감사드리며, 귀하께서 건의하신 사항에 대한 검토결과를 다음과 같이 알려드립니다.

최근 봄방학 기간(2월 중순 ~ 2월말) 제주기점 국내노선 항공권 품귀현상 및 비싼 항공요금 부담으로 인해지역정가, 지역언론 등 도민사회에서 도민불편을 호소함에 따라, 우리도에서는 국토교통부를 방문하여 제주노선 공급좌석 확대 및 항공운임 안정화를 건의하였고, 특히 지난 3월 15일 개최된 국회 세미나에서 제주지역 국회의원, 국토교통부 및 항공사 등이 참석한 가운데 성수기 안정적인 항공좌석 공급대책 마련 및 항공사별 시행중인 도민할인 개선, 법률개정 등 제주도민 항공요금 지원을 위한 제도적인 방안 마련을 공식적으로 건의하였습니다.

해당 제안사항은 제주도의 막대한 예산이 수반되는 사항으로 중장기적으로 검토할 사인임을 양해하여 주시기 바랍니다. 제주도민에 대한 항공요금 지원은 항공사별 요금할인 확대 및 법률개정 등을 통해 국가차원에서 지원될 수 있도록 관계기관과 지속적으로 협의해 나가겠습니다.

위 답변과 관련하여 궁금하신 사항은 제주특별자치도 공항확충지원과(064-710-4843)로 문의하여 주시기 바랍니다. 감사합니다.",심사 중,제주시,제안심사
,제주버스의 불편한 점( 좌석 표시),"현황 및 문제점
제주버스는 운전자의 컨디션에 따라 버스안의 분위기가 사뭇 다릅니다.

그것보다
노인 배려석과 임산부 배려석 이 색깔별로 구분되어있지만, 대부분 모릅니다.
버스에 타고 난후 노인 배려석 바로 뒤칸에 앉아야 알수있습니다.
개선방안
버스를 타서 요금을 계산 할 때 빈자리를 보게 됩니다.
그런데, 노인용 과 임산부 배려석인지 구분이 안 갑니다.
색깔로 노란 과 빨강으로 되어있지만,
노인용 과 임산부 배려석 글씨가 뒤쪽에 표시 되어있어서, 보통 사람들도 헷갈립니다.
버스를 탐과 동시에 볼 수있게 앞쪽으로 글씨를 표시 해야 합니다.
그리고 색맹인들은 더욱더 모릅니다.
색맹인들의 마음을 좀 헤아려 주십시요.
기대효과
버스를 탐과 동시에 노인과 임산부 색맹인, 보통 사람들이 한눈에 볼 수 있게 배려석 표시를 앞으로 보이게 된다면
바로 좌석에 앉을수 있는 시간 단축과, 안전이 더욱 보장 될겁니다.
이런 세세함은 공무원들의 몫입니다.
환경과 교통체증을 줄이기 위해서라도 버스타는 편리함과 쾌적함, 안전하게 이용 할수있게 노력해주세요.",2023-02-19,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AB-2302-0007827)에 검토결과를 다음과 같이 알려드립니다.

2. 도내 노선버스의 교통약자 배려석(임산부, 노약자)이 좌석 별로 비치되어 있으나 운수업체별 교통약자 배려석 표기가 상이한 부분이 있는 점 송구스러운 말씀을 드리며,

3. 각 운수업체로 하여금 노선버스 차량별 교통약자 배려석의 임산부·노약자석 색상 및 한글 표기(앞, 뒤 좌석 전부)를 병행해 개선하도록 행정지시를 하였으며, 대중교통 이용객의 불편함이 발생하지 않도록 지속적으로 모니터링을 하도록 하겠습니다.

4. 이와 관련하여 자세한 문의사항은 있으시면 대중교통과(710-4333)로 연락주시면 자세히 답변해 드리겠습니다. 감사합니다. 끝.",2023-03-17,제주특별자치도,답변완료
