지역명,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
대전광역시,2050 대전시 탄소중립,"현황 및 문제점
기후위기 문제는 정부나 지자체에서 방향성을 갖고 주도적으로 추진해야합니다. 여수시에서는 2050 탄소중립을 선언했습니다. 대전시도 과학도시답게 탄소중립을 위해 정책을 펼쳐야 할 때라고 생각합니다. 기후위기를 막을 수 있는 마지막 세대의 결정권자로서 책임감을 느끼시길 간곡히 부탁드립니다. 지금 탄소배출량을 줄이지않는다면 나중은 없습니다. 2050년에는 탄소중립을 실현하기위해 지금 당장 행동하지 않는다면 우리는 다음 세대에게 정의롭지 못한 마지막 세대가 될것입니다. 대전시 버스를 전기차로 바꾸고 태양광을 설치해서 재생에너지 비율을 높이고 재활용 방안을 논의해서 쓰레기 재생률을 높이는 등의 방법을 고민하고 실천해야 할 적기라고 봅니다. 경제성장보다는 지구의 환경에 더욱 가치를 실어 탄소중립에 보탬이 되도록 대전 지자체에서 부터 대전형 뉴딜을 시작하길 간청드립니다.
개선방안
버스를 전기차로 바꾸고 태양광을 설치해서 재생에너지 비율을 높이고 재활용 방안을 논의해서 쓰레기 재생률을 높이는 등의 방법을 고민하고 실천해야 할 적기라고 봅니다.
기대효과
탄소중립을 실현함으로써 기후위기에 대응할 수 있다. 미래세대에 책임있는 모습을 보임으로써 미래사회에 희망을 줄 수 있다.기후위기를 막는것은 인류의 생존에 관한 문제로 지금 당장 행동해야합니다.",2021-04-22,"1. 시정과 기후변화에 관심을 가지고 제안하여 주심에 감사드립니다.

2. 기후위기를 막기 위하여 2050탄소중립 정책을 펼쳐야 한다는 귀하의 제안에 대하여 깊이 공감합니다. 다만 귀하의 제안사항은 우리시에서 2050탄소중립 실현을 위하여 수립한 '삶이 건강한 산소도시 대전' 추진전략에 포함되어 추진 중에 있는 기시행 사항으로 불채택 처리하였음을 알려드립니다.

3. 앞으로도 우리시의 탄소중립 정책에 대한 많은 관심 부탁드립니다. 감사합니다. 끝.",2021-04-29,대전광역시,답변완료
대전광역시,"페트병, 캔 넣으면 포인트가 현금으로 재활용기계(자원순환 네프론) 거기 있어줘!","현황 및 문제점
코로나19로 끝도 없이 늘어나는 쓰레기로 인해 심각한 환경 문제 대두
플라스틱 페트병의 쓰레기 대란이며 플라스틱과 혼합 하여 분리 배출로 자원순환이 아니됨
여름의 시작으로 페트병 쓰레기 과다 발생함.
페트병, 캔의 쓰레기의 분리배출로 자원순환으로 이어져 지구를 살릴 수 있어요.

개선방안
자판기 형태의 재활용품 회수기로 인공지능과 사물인터넷 기술을 적용하여 인공지능 센서가 자동으로 쓰레기를 분류해 압착 수거하고 포인트를 제공하는 시스템임.
똑똑한 순환자원 회수로봇, 네프론 분리배출로 환경 지켜요.
기대효과
네프론에 페트병, 캔 넣으면 현금으로 포인트가 내 손안 환경도 지키고 쓰레기를 줄이고 똑똑한 순환자원 회수로봇, 네프론 분리배출로 포인트 쌓아요.
투명페트병의 재활용 - 페트병 세척하고 라벨지를 제거 후 분리배출 후 자원순환으로 제복(옷)으로 태어 날 수 있어요.",2021-05-03,"1. 안녕하십니까? 귀하께서 재활용품 회수 시설 설치에 대하여 제안해 주심에 감사를 드립니다.
2. 귀하의 제안사항은 순환자원회수 로봇(네프론)을 운영하여 재활용품 분리배출을 활성화하고자 하는 사항으로 이 시설 운영을 위해서는 재활용품 회수 장비 설치 및 유지관리 비용, 포인트 지급 비용 등 대당 약20,000천원~25,000천원의 예산이 소요되며 추후 사업의 효율성 및 재정 여건 등 다각적인 타당성 검토 후 추진여부를 결정해야 할 제안사항으로 검토되었음을 알려드립니다.
3. 추후 장비 운영의 효율성 대한 검증 후 소요 예산을 확보하여 자원순환정책 추진에 선도적으로 앞장서겠습니다.
4. 기타 궁금하신 사항이 있으시면 우리구 청소행정과(611-2356)로 연락주시기 바랍니다. 감사합니다.

붙임 1. 국민제안신청서.",2021-05-31,유성구,답변완료
대전광역시,"페트병, 캔 넣으면 포인트가 현금으로 재활용기계(자원순환 네프론) 거기 있어줘!","현황 및 문제점
코로나19로 끝도 없이 늘어나는 쓰레기로 인해 심각한 환경 문제 대두
플라스틱 페트병의 쓰레기 대란이며 플라스틱과 혼합 하여 분리 배출로 자원순환이 아니됨
여름의 시작으로 페트병 쓰레기 과다 발생함.
페트병, 캔의 쓰레기의 분리배출로 자원순환으로 이어져 지구를 살릴 수 있어요.

개선방안
자판기 형태의 재활용품 회수기로 인공지능과 사물인터넷 기술을 적용하여 인공지능 센서가 자동으로 쓰레기를 분류해 압착 수거하고 포인트를 제공하는 시스템임.
똑똑한 순환자원 회수로봇, 네프론 분리배출로 환경 지켜요.
기대효과
네프론에 페트병, 캔 넣으면 현금으로 포인트가 내 손안 환경도 지키고 쓰레기를 줄이고 똑똑한 순환자원 회수로봇, 네프론 분리배출로 포인트 쌓아요.
투명페트병의 재활용 - 페트병 세척하고 라벨지를 제거 후 분리배출 후 자원순환으로 제복(옷)으로 태어 날 수 있어요.",2021-05-03,"1. 귀하께서 보내주신 소중한 의견에 감사드리며, 제안하신 내용(1AB-2105-0000627)에 대해서 다음과 같이 회신하여 드립니다.

2. 제안해주신 내용은“순환자원 회수로봇 네프론 설치”인 것으로 판단 됩니다.

3. 제안하신 사항을 검토한 결과는 다음과 같습니다.
가. 순환자원 회수로봇 네프론의 경우 페트병 및 캔류 등을 수거하여 자원순환을 통해 재활용률을 향상시킴과 동시에 재활용에 관한 인식을 개선해 나갈 수 있는 장점이 있으나, 이를 관리하기 위한 별도의 예산소요 등 현재는 추진에 어려움이 있습니다.
나. 이에, 현재 순환자원 회수로봇 네프론을 배치하지는 않지만 중구 재활용 업체를 통한 재활용 가능 자원인 페트병, 캔류뿐만 아니라 다른 재활용 품목도 수거에 만전을 기하고 있습니다.
다. 위와 같은 사유로 귀하께서 제안하신 사항에 대해서는 현재 추진에 어려움이 있음을 이해하여 주시기 바라며, 향후 자원 재활용 활성화를 위해 추진하는데 참고토록 하겠습니다.

4. 귀하의 요청사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경과 재활용담당(☏ 606-7135)으로 연락 주시면 성의껏 답변 드리겠습니다. 감사합니다. 끝.",2021-06-02,중구,답변완료
대전광역시,"페트병, 캔 넣으면 포인트가 현금으로 재활용기계(자원순환 네프론) 거기 있어줘!","현황 및 문제점
코로나19로 끝도 없이 늘어나는 쓰레기로 인해 심각한 환경 문제 대두
플라스틱 페트병의 쓰레기 대란이며 플라스틱과 혼합 하여 분리 배출로 자원순환이 아니됨
여름의 시작으로 페트병 쓰레기 과다 발생함.
페트병, 캔의 쓰레기의 분리배출로 자원순환으로 이어져 지구를 살릴 수 있어요.

개선방안
자판기 형태의 재활용품 회수기로 인공지능과 사물인터넷 기술을 적용하여 인공지능 센서가 자동으로 쓰레기를 분류해 압착 수거하고 포인트를 제공하는 시스템임.
똑똑한 순환자원 회수로봇, 네프론 분리배출로 환경 지켜요.
기대효과
네프론에 페트병, 캔 넣으면 현금으로 포인트가 내 손안 환경도 지키고 쓰레기를 줄이고 똑똑한 순환자원 회수로봇, 네프론 분리배출로 포인트 쌓아요.
투명페트병의 재활용 - 페트병 세척하고 라벨지를 제거 후 분리배출 후 자원순환으로 제복(옷)으로 태어 날 수 있어요.",2021-05-03,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 제안하신 민원(신청번호 1AB-2105-0000627)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 제안내용은 “네프론(순환자원 회수기계) 설치”에 대한 것으로 이해됩니다.
3. 제안 사항에 대하여 검토한 의견은 다음과 같습니다.
가. 현재 우리 구의 재활용품은 내 집 앞 배출(문전수거)을 실시하고 있으며, 단독주택 및 상가지역에서는 각각 자기 집(건물) 앞에 재활용품을 배출하면 정해진 수거 요일(주 2회)에 방문 수거를 하고 있습니다.
나. 귀하께서 말씀하신 “네프론(순환자원 회수기계)”의 경우 재활용품 배출 장소를 따로 마련하는 거점수거 방식을 적용하여야 하며, 예산 및 인력 수반과 설치 입지 선정 등 다방면으로 검토하여야 하는 사항으로 모든 재활용품의 배출 및 수거를 위한 체계에 활용하기에는 어려움이 있지만, 일부 품목에 대한 수거 및 재활용품 배출방법 홍보 등 소규모 설치 방안에 대하여 지속적인 검토를 추진하고자 합니다.
4. 귀하의 제안에 대하여 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 대전 서구청 자원순환과 임다운 주무관(☏288-3553)에게 연락주시면 친절하게 안내해 드리도록 하겠습니다.

붙임 국민제안신청서 1부. 끝.",2021-05-24,서구,답변완료
대전광역시,"페트병, 캔 넣으면 포인트가 현금으로 재활용기계(자원순환 네프론) 거기 있어줘!","현황 및 문제점
코로나19로 끝도 없이 늘어나는 쓰레기로 인해 심각한 환경 문제 대두
플라스틱 페트병의 쓰레기 대란이며 플라스틱과 혼합 하여 분리 배출로 자원순환이 아니됨
여름의 시작으로 페트병 쓰레기 과다 발생함.
페트병, 캔의 쓰레기의 분리배출로 자원순환으로 이어져 지구를 살릴 수 있어요.

개선방안
자판기 형태의 재활용품 회수기로 인공지능과 사물인터넷 기술을 적용하여 인공지능 센서가 자동으로 쓰레기를 분류해 압착 수거하고 포인트를 제공하는 시스템임.
똑똑한 순환자원 회수로봇, 네프론 분리배출로 환경 지켜요.
기대효과
네프론에 페트병, 캔 넣으면 현금으로 포인트가 내 손안 환경도 지키고 쓰레기를 줄이고 똑똑한 순환자원 회수로봇, 네프론 분리배출로 포인트 쌓아요.
투명페트병의 재활용 - 페트병 세척하고 라벨지를 제거 후 분리배출 후 자원순환으로 제복(옷)으로 태어 날 수 있어요.",2021-05-03,"○ 안녕하십니까? 평소 환경행정에 대한 깊은 관심에 감사드리며, 귀하께서 국민신문고를 통해 제안하신 내용(접수번호: 2AB-2105-0000787)에 대한 처리결과를 다음과 같이 알려드립니다.
○ 우선 귀하의 제안내용은 “페트병, 캔 넣으면 포인트로 보상해주는 네프론 도입”을 제안하신 것으로 판단됩니다.
○ 우리 구에서는, 덕암동 주민자치회 주관으로 재활용품 분리배출 및 회수율 향상을 위해 순환자원 회수로봇 네프론을 시범적으로 설치하여 운영 중에 있습니다.
○ 귀하께서 제안하신 민원은 예산부족 및 장소선정의 어려움 등으로 인해 당장 추진하기에는 현실적으로 어려우나 추후 검토하겠으며, 올바른 재활용 문화 확산을 위해 다방면의 시책을 발굴·추진하겠습니다.
○ 다시 한 번 귀하의 환경 행정에 대한 관심에 감사드리며, 답변내용에 대하여 궁금한 사항이 있을 경우 대덕구 기후환경과 전윤정(☏042-608-6842) 주무관에게 연락주시면 친절히 안내해 드리겠습니다.",2021-05-20,대덕구,답변완료
대전광역시,"페트병, 캔 넣으면 포인트가 현금으로 재활용기계(자원순환 네프론) 거기 있어줘!","현황 및 문제점
코로나19로 끝도 없이 늘어나는 쓰레기로 인해 심각한 환경 문제 대두
플라스틱 페트병의 쓰레기 대란이며 플라스틱과 혼합 하여 분리 배출로 자원순환이 아니됨
여름의 시작으로 페트병 쓰레기 과다 발생함.
페트병, 캔의 쓰레기의 분리배출로 자원순환으로 이어져 지구를 살릴 수 있어요.

개선방안
자판기 형태의 재활용품 회수기로 인공지능과 사물인터넷 기술을 적용하여 인공지능 센서가 자동으로 쓰레기를 분류해 압착 수거하고 포인트를 제공하는 시스템임.
똑똑한 순환자원 회수로봇, 네프론 분리배출로 환경 지켜요.
기대효과
네프론에 페트병, 캔 넣으면 현금으로 포인트가 내 손안 환경도 지키고 쓰레기를 줄이고 똑똑한 순환자원 회수로봇, 네프론 분리배출로 포인트 쌓아요.
투명페트병의 재활용 - 페트병 세척하고 라벨지를 제거 후 분리배출 후 자원순환으로 제복(옷)으로 태어 날 수 있어요.",2021-05-03,"2. 귀하께서 제안하신 순환자원 회수로봇 네프론 설치에 대하여
- 순환자원 로봇은 자원재생 및 특히 홍보에 매우 유익한 것으로 사료됩니다.
- 현재 우리 구는 재활용품에 대한 홍보 계도를 수시로 하고 있으며,
- 재활용품은 민간위탁을 통하여 수집 선별하여 재활용하고 있으며, 투명페트병 또한 각 공동주택에 홍보계도를 실시하고
분리마대를 배부하여 별도 배출하고 있습니다.
또한 별도 분리 배출한 투명페트병은 월별 보고를 받아 자원재생에 최선을 다하고 있습니다.
- 자원을 생각하는 귀하의 의견에 감사드리며, 향후 새로운 시책업무 시행시 참고하도록 하겠습니다.",2021-05-24,동구,답변완료
대전광역시,반석-조치원 광역철도 계획에 계룡-반석 13km 호남선 대체노선 신설 세종시 통과 추진 제안,"현황 및 문제점
세종시에 간선 열차역 없어 고속열차역이나, itx 노선 신설의 필요.
세종의 인구 증가 및 국회 이전 등 도시의 미래 감안, 간선 철도 통과 필요.
호남선 고속철도 개통 후 서대전 역의 기능 및 효용 저하와 둔산,유성,노은지구 등
대전 서부지역의 인구 급증가로 인한 교통 수요와 시민 편의에 부응하는 간선 철도역 필요.
대전 시내 중심부를 통과하는 호남선 철도의 이전 필요.
개선방안
위같은 문제를 모두 해결하는 방안으로,
4차 국가철도망계획에 의해 추진되는 반석-세종-조치원 광역철도에
계룡-반석 13km의 호남선 철도를 반석역에 연결하는 대체노선을 신설하여
반석-조치원간 광역철도와 호남선을 공용철도로 운영하는 방안을 제안합니다.

철도 전문가들에게 자문 구한 결과,
대전 도시철도와 호남선의 궤간이 동일하고 반석-청사 구간이 12km이며
중간역 계획 없어 속도 등 기술적인 측면에서도 광역전철과 호남선을
공용철도로 경춘선과 동일 방식으로 운용함이 가능하다 합니다.



기대효과
세종 행정도시에 호남선 간선 역이 설치되면 상,하행 1일 20편의 열차를 편리하게
이용할 수 있어 서울, 수도권과의 교통에 많은 편의를 제공할 수 있습니다.
교통 수요 증가시 반석-용산간 itx를 증편으로 수용할 수 있고
용산까지 85분이면 가능해 오송역까지 이동을 감안하면 고속열차와 효과 대등합니다.
세종 고속역을 신설할 필요가 없습니다.
대체 노선 신설시 현재의 호남선 대비 17km 단축되어 거리,시간, 경제성 증가합니다.

대전시는 호남선이 유성구간 지하 통과하여 반석역에서 열차를 이용하게되면
둔산,유성, 노은 등 서부 인구밀집지역의 이용에 편리하여 효용가치 매우 큽니다.
서대전역은 고속철 개통으로 효용가치 상실했고 향후에도 과거의 효용 회복 불가해
다수 시민의 편리 증진이 소수의 불편함을 크게 능가할 것입니다.
이용 최소화된 서대전 경유를 위한 13km의 단순 도심 통과 철도로 인한 불편 해소합니다.
유성구, 대전청사 고속버스보다 열차 이용이 증가할 것으로 교통량 감소 기대합니다.",2021-05-06,"【검토의견(답변 내용)】
〇 귀하의 제안에 깊이 감사드립니다. 귀하께서 제안하신 “계룡~반석 구간을 연결하는 호남선 대체 노선 신설”에 대하여
〇 현재 우리 시는 도시철도 3호선 역할을 하게될 충청권 광역철도 1단계(계룡~신탄진)건설을 2024년 개통 목표로 추진 중에 있으며, 가수원~논산 간 굴곡구간을 직선화하는 호남선 고속화 사업도 국토부에서 추진 중에 있습니다.
〇 사업 완료 시 도시철도1호선, 2호선(트램)과 편리한 환승 체계 구축 및 서대전역 KTX 증차 등을 통한 주변 활성화를 기대할 수 있습니다.
〇 철도사업은 국가철도망 구축계획(10년 단위)에 반영되어야 추진할 수 있으며, 제4차 국가철도망 구축계획이 6월 중 확정‧고시될 예정으로, 신설 노선 추진은 어려운 상황임을 알려드립니다.
〇 귀하의 제안에 만족스러운 답변이 되었기를 바라며, 기타 궁금하신 사항이 있으시면 대전광역시 도시광역교통과(☎042-270-6063)로 연락해주시면 성실히 답해드리겠습니다. 감사합니다.",2021-06-02,대전광역시,답변완료
대전광역시,대전 동구 內 어린이 놀이터 시설 건설해주세요,"현황 및 문제점
서구나 유성구 대덕구는 각 구에서 크게 지은 놀이터가 있는데 왜 동구는 없을까요?
동구사는 주민이 어린이 데리고 유성구나 서구나 대덕구로 차타고 가서 놀이주고 놀아옵니다.
개선방안
가양 길치공원내 잔디밭이나 그 주위에 놀이터 만들곳이 많으니 어린이 놀이터 크게좀 만들어주세요
기대효과
부모들이 아이들과 동구에서 놀아줄수 있고 동구에서 움직이다 보니 상권활성화도 도움이 되겠습니다",2021-05-07,"1. 먼저 우리 구 공원에 대하여 관심을 갖고 건의하여 주심에 감사드리며, 귀하께서 국민신문고를 통해 건의하신 동구 내 어린이놀이터 시설 설치 요청에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 유성구나 서구에 비해 개수나 면적은 작지만, 최근 우리 구에서는 도심권 및 대청호 인근에 주민들이 가족단위로 산책하고 휴식할 수 있는 공원 및 어린이놀이시설을 적극 발굴·조성하고 있습니다.
- 특히 ‘20년 도심권 내 조성 완료된 가오근린공원 어린이 물놀이터 및 유아 숲 체험원은 주민들로부터 많은 사랑을 받고 있으며,
- 도심 어린이공원 내 노후시설 리모델링을 통한 생태놀이터 조성사업을 지속 추진하고 있습니다. (‘18년 흥룡어린이공원, ‘19년 가팔 어린이공원)
- 또한 상소동 오토캠핑장 내 설치한 어린이놀이시설 및 유아숲 체험원도 대전 시민들이 즐겨 찾는 대표 명소로 자리매김하고 있습니다.

3. 앞으로도 동구 주민들과 어린이들이 쾌적하고 안전한 공원·녹지에서 휴식하고 여가 시간을 즐길 수 있도록 도심권 내 공원(어린이놀이시설 포함)조성 및 노후 어린이시설 리모델링사업 지속 추진 등 더 많은 공원 조성 및 관리를 위해 최선을 다하겠습니다.
기타 궁금하신 사항이나 문의사항 있을 경우 공원녹지과 공원팀(042-251-4751)으로 연락주시면 감사하겠습니다.


붙임 국민제안신청서 1부. 끝.",2021-06-10,동구,답변완료
대전광역시,대전 동구 內 어린이 놀이터 시설 건설해주세요,"현황 및 문제점
서구나 유성구 대덕구는 각 구에서 크게 지은 놀이터가 있는데 왜 동구는 없을까요?
동구사는 주민이 어린이 데리고 유성구나 서구나 대덕구로 차타고 가서 놀이주고 놀아옵니다.
개선방안
가양 길치공원내 잔디밭이나 그 주위에 놀이터 만들곳이 많으니 어린이 놀이터 크게좀 만들어주세요
기대효과
부모들이 아이들과 동구에서 놀아줄수 있고 동구에서 움직이다 보니 상권활성화도 도움이 되겠습니다",2021-05-07,"○ 먼저 「구민과 함께하는 새로운 대덕」을 만들기 위하여 구정에 관심을 가져 주시고 이러한 제안을 해 주신 귀하께 감사의 말씀 드립니다.

○ 먼저 길치근린공원은 대덕구 비래동에 위치하는 대덕구청 관할 공원임을 말씀드립니다.

○ 귀하의 제안 내용처럼 공원 내 어린이 놀이공간이 확보된다면 아이들을 데리고 와서 많은 활동을 즐길 수 있겠지만, 대덕구에는 현재 55개소의 공공 어린이놀이터가 설치되어 있고 비래동 내에도 2019년, 2020년 리모델링한 어린이공원이 존재하는바,

○ 비래동 내 어린이 놀이공간이 부족하지는 않기 때문에 공원 내 놀이시설의 추가 설치는 심도있는 공원조성계획 검토가 필요할 것으로 사료되어 설치 여부를 당장 답변드리기 어렵다는 점 양해 부탁드리며,

○ 현재 대전광역시 체육진흥과에서 길치근린공원 부지 내 다양한 체육시설이 포함된 복합문화체육센터의 건립을 2023년을 목표로 추진 중에 있어 향후 길치근린공원 내에서 지금보다 더 다양한 여가·체육활동이 가능하게 될 것임을 말씀드리니 이점 참고하여 주시기 바랍니다.

○ 이러한 이유로 귀하의 제안을 채택하지 못함을 양해하여 주시기 바라며 우리 지역의 도시공원을 깨끗하고 쾌적하게 유지하여 주민들의 삶의 질 향상을 위해 항상 노력하겠습니다.

○ 내 삶이 달라지는 대덕을 만들어가기 위하여 좋은 의견 내어주신 귀하께 다시 한 번 감사드리며 추가적으로 문의하실 사항에 대해서는 대덕구 공원녹지과(☎042-608-5132)로 문의주시면 성심껏 답변 드리겠습니다. 마침.",2021-06-07,대덕구,답변완료
대전광역시,대전 공공도서관 API개방 요청,"현황 및 문제점
▲현 문제점
10권의 서로 다른 제목의 책이 있는데, 책 각각이 월평도서관에 있는지, 있으면 대출코드가 어떻게 되는지, 대출중인지 아닌지를 알아보려면
(1)도서관홈페이지 접속해서
(2)1번 책의 제목을 입력 후 검색버튼 클릭, 결과로 나오는 대출코드 등 기타정보 메모
(3)2번 책의 제목을 입력 후 검색버튼 클릭, 결과로 나오는 대출코드 등 기타정보 메모
(4)3번 책의 제목을 입력 후 검색버튼 클릭, 결과로 나오는 대출코드 등 기타정보 메모
... 를 10번 반복해야 합니다.
개선방안
▲개선안
(1)엔터(줄바꿈)로 구분된 10개의 책 제목을 textarea에 한꺼번에 입력해서 '일괄검색' 버튼을 누르면
(2)각 책에 대한 정보가 일괄 검색되어서 책 제목, 보유여부, 대출코드, 대출여부를 한꺼번에 표로 정리해서 화면에 보여줍니다.

▲요청사항
제게 이 서비스를 개발할 수 있는 기술이 있는데, 이 서비스를 개발하려면 대전시 도서관에서 API를 공개 해 주어야만 가능합니다.
제가 만든 외부 웹페이지에서 도서관의 데이터베이스에 직접 접근하는 것은 불가능할 뿐 아니라, 가능하다고 해도 보안상 나쁜 방법이기 때문에 약속된 API를 활용하여 정보 제공의 방법과 범위를 제한하는 것입니다.
오해가 없도록 첨언하자면, [▲개선안]에 해당하는 기능을 대전시가 개발해 달라는게 아닙니다. 서비스 개발은 제가 할 수 있으니, API만 공개 해 주면 됩니다.

▲관련근거
(1)행정안전부에서는 「공공데이터의 제공 및 이용 활성화에 관한 법률」 을 제정하여 공공데이터포털을 운영하는 등 공공데이터를 시민들에게 공개하려고 노력하고 있습니다.
- 링크 : https://www.data.go.kr/
(2)현재 국립중앙도서관에서는 Open API라 하여 API를 공개 해 놓고 있습니다.
- 링크 : https://www.nl.go.kr/NL/contents/N31101020000.do
(3)API를 공개하여 시민이 공공서비스에 직접 참여할 수 있도록 돕는것은 '새로운 대전, 시민의 힘으로' 라는 시정 구호 및 '대전이 바로 당신이다' 라는 브랜드 슬로건과도 방향이 일치합니다.
기대효과

▲기대효과
- 전국 공공도서관 그 어디에서도 경험할 수 없는 편리한 경험을 대전시민들이 누릴 수 있음
- 공공데이터 활용의 성공사례로 홍보가능
- 다른 공공영역의 공공데이터 활용에 대한 영감을 줄 수 있음.",2021-05-11,"귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AB-2105-0004810)에 대한 검토
결과를 알려드립니다.

제안해 주신 「공공데이터의 제공 및 이용 활성화에 관한 법률」에 따라 운영중인
https://www.data.go.kr 를 검색해 본 결과 국립중앙도서관, 제주특별자치도 공공도서관,
김천도서관, 공주 시립도서관 등의 도서관이 OPEN API를 제공하고 있었습니다.

그러나 한밭도서관의 통합도서관리시스템은 개인정보를 포함하고 있고, 5개구 도서관
자료가 있기에 OPEN API를 제공하기 위해서는 보안 정책 및 데이터베이스(DB) 분리 작업 등
별도 예산으로 개발 용역을 추진해야 하는 어려움이 있습니다.

또한 귀하가 제안한 10건의 일괄 도서검색 방식은 1건을 검색하는 것보다 일반적으로
시스템 부하를 많이 줄 것으로 예상되므로 이런 방식이 안전하다고 입증할 수 있는
증명서 등(예를들면 광역시 규모의 도서관 등에서 발행된 성능 비교 결과서) 등
추가 검토 자료를 제출하여 주신다면 좀더 검토해 보겠습니다.

따라서 귀하가 추가 자료를 제출해 주신다면 이를 토대로 시스템 개선사업 추진시
검토하겠으며 답변에 대한 추가 설명이 필요한 경우 한밭도서관 자료정책과
디지털자료팀 042)270-7476 으로 연락주시면 친절히 안내해 드리도록 하겠습니다.

감사합니다.",2021-06-01,대전광역시,답변완료
