지역명,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
강원도,만천리 쇠질교 확장을 통한 차량안전운행 제안,"현황 및 문제점
한일유엔아이 앞 쇠질교에서 우회전을 하려면 다리가 좁아 우회전을 하기에 힘이 듭니다. 여러번 신호를 받아야 우회전 또는 좌회전이 가능합니다. 이 구간이 다리 확장이 되지 않으면 반복해서 차량이 지체되고 기다리는 시간도 늘어납니다. 가능한지 모르겠지만확장을 통한 원활한 차량소통 제안드립니다.

개선방안
만천리 쇠질교 확장을 통한 차량운행
기대효과
1. 주민차량소통 원활
2. 안전사고 예방에 기여",2021-04-19,"1. 춘천시를 향한 귀하의 열정과 관심에 깊은 감사의 말씀드립니다.
2. 귀하께서 제안해 주신 '만천리 쇠질교 확장'에 대하여 아래와 같이 답변드립니다.
가. 해당 교량은 한일유앤아이아파트 건축 당시 시행사에서 설치하여 市로 기부채납한 시설로서, 당시 아파트 세대 수 등을 감안하여 설치한 것으로 판단됩니다.
나. 해당 교량(쇠질교)을 통해 도로로 진입 및 우회전하는 차량은 아파트 내부에서 정문 방향으로 유도 및 안내하여 지·정체를 최소화하는 것이 효과적일 것으로 판단되며, 교량 확장 및 신설 등은 많은 예산이 수반되는 사업으로서 단기간 내에 시행하기는 어려움에 따라 향후 주변지역 개발, 교통량 증가 등 여건 변동에 따라 검토할 계획임을 알려드립니다.
3. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이밖에 문의 사항은 도로과 도로관리팀(033-250-3163)으로 문의하여 주시면 성실히 답변드리겠습니다. 끝.",2021-05-31,춘천시,답변완료
강원도,접경지역 특성화 맞춤형 지역경제 활성화 방안 제언,"현황 및 문제점
1. 양구의 대표적인 먹거리 축제 운영 방식이 단순하여 지역축제 이미지에서 크게 벗어나지 못하고 있다.
가. 시래기 축제가 11월~12월 사이에 개최하여 당해년도 물품이 아니라 묵은 시래기를 판매함으로써 상품의 가치를 보장할 수가 없다.
만약 상품에 하자가 발생하였을때 청정양구의 이미지에 많은 피해를 입힐 것이다.
나. 곰취 축제는 4월에 개최하는데 이시기에 곰취뿐만 아니라 다양한 산채류(참나물, 두릅, 취나물, 아스파라거스 등)가 많이 나오는데
동면에서 하던 축제 이름을 그대ㄴ 로 따오다 보니 곰취라는 행사명을 그대로 사용하는데 이미지 개선을 위하여 행사명도 바꿀 필요성이
있다고 본다.
다. 두 축제 모두가 야채류 먹거리위주의 축제이다 보니 가족단위의 관광객보다는 40~60세 위주의 관광객으로 당일 코스로 지역 상가에
영향은 크게 미치지 못한다.
2. 잘 기획된 인프라 미활용
가. 두타연, 광치계곡 등 양구 8경은 어느 지역에 비교해도 손색이 없는 자연 경관을 잘 지니고 있다. 또한 한반도섬 일원은 좀더 잘 가꾼
다면 춘천의 공지천, 일산의 호수공원에 못지 않은 하계 레져 공원으로써 손색이 없다고 본다.
나. 또한 양구읍 - 국토정중앙면 - 동면 - 해안면으로 연결된 자전거 도로 및 돌산령 고개길(총길이 약 100km)는 자전거를 즐기는 동아리
활동가 들에게는 인기있는 구간일 것이다.
개선방안
1. 산채로 축제 개최
가. 행사명 : 청정 양구 산채로 축제
나. 개최 시기 : 4월초 ~ 중순
다. 장소 : 동수리 및 한반도 섬 일원
기존에 먹거리 축제인 곰취 축제와 시래기 축제를 통합하여 이시기에 농가에서 생산되는 산채류와 올해 생산 가공된 시래기를 판매함
으로써 농가에 고소득을 보장해 주는 축제가 될것이다. 장소도 기존의 청소년 수련관에서 상기 장소로 이전하게 된다면 체험장도 함께
즐길수 가 있으며, 한반도섬에서 축제를 함으로써 수상레저 부대행사도 함께 진행함으로써 남녀노소 가족단위 모두에게 즐길 수 있는
축제가 될것이다.
행사장에는 산채류를 직접 시식할 수 있는 공간도 만들어서 고기류(삼겹살, 목살 등)와 함께 곰취에 싸서 먹고, 아스파라거스에 고기를
입혀서 구워 먹는 시식 행사를 한다면 우리 양구 한돈 농가에도 간접적인 수확이 될것으로 본다.

2. 금강산 옛길 DMZ 자전거 투어대회 개최
가. 행사명 : 양구 돌산령 그란폰도 대회
나. 개최시기 : 청정양구 산채로 축제 행사 기간중 부대 행사(개막전 행사)
다. 구 간 : 양구 종합운동장(출발 지점) - 송청리 힐링하우스 자전거 도로 진입 - 국토정중앙면(자전거 도로) - 동면(자전거 도로) - 돌산령
입구(옛길) - 돌산령 정상 - 해안면 - 통일관 - 돌산령 터널 - 월운리 저수지 - 금강산 옛길 - 방산면 두타연(도착지점) / 총 120 ~ 130km
라. 종 목 : 사이클, MTB / 2종목
매년 자전거 대회는 3.1절 기념 전국 도로 사이클 대회를 시작으로 매월 진행한다.(전국대회 첨부 파일 참고)
동호인 비경쟁 방식의 그란폰도 대회를 실시하여 자전거로 양구 5개 읍, 면을 거쳐서 금강산 가는 옛길을 탐방하는방식으로 진행 한다면,
레이스를 보아서 쉬운 경기는 아니지만, 이들이 지나오는 자전거 도로 옆에 4월에 피는 꽃나무(벚꽃, 철쭉 등)의 꽃길을 따라 꽃잎을 밟으
면서 경기를 치르다보면 어느새 봄기운으로 스트레스를 떨쳐 버릴것이다.
또한, 돌산령 옛길을 오르면서 우리 선열들이 조국을 위해서 피땀 흘린 구간을 힘들게 오르다보면 이들로 하여금 안보관에도 많은 자극을
받을 것으로 본다. 그리고 나서 펀치볼을 돌산령 정상에서 맞이하는 풍경은 그야말로 돈으로도 살수 없는 멋진 선물을 줄 것이다.
이를 위해서 선행조건으로는 자전거 도로 주변에 4월에 피는 꽃나무 심기와 금강산 가는 옛길을 들어갈 수 있도록 군부대와 협의 하는 일
이다.
* 1, 2 행사를 같이 개최한다면 그야말로 청정 양구 산채로 축제는 오감을 느낄 수 있는 축제가 될 것이다.
기대효과
1. 예산 절감 및 행정력 낭비 억제
곰취 축제와 시래기 축제를 통합하여 진행함으로서 축제로 나가는 예산을 절감할 수 있는 효과를 기대할 수 있으며, 또한 지역 행사를 준비
하는데 있어서 공무원들의 행정력 낭비를 크게 예방할 수 있다.
2. 농가 고소득보장
곰취, 시래기 뿐만 아니라 기타 산채류에 대한 판매로 농가에 고소득을 보장 할 것이며, 청정 양구의 이미지에도 많은 영향을 받을 수 있다
고 본다.
3. 지역 상권 활성화
실제로 먹거리 축제기간에는 먹거리 행사장 주변에만 손님이 몰리고 시내 상권에는 큰 영향을 미치지 못한다. 축제에 자전거 대회를 개최
한다면 동호인 뿐만 아니라 가족단위로 함께 대회에 참가 함으로써 축제 기간중 지역 상권(식당, 팬션 등)에도 영향을 미칠 것이다.",2021-04-20,"양구군 군정발전에 관심을 가져주신 귀하께 감사드립니다.
귀하의 제안에 대하여, 부서별 검토의견을 다음과 같이 말씀드리겠습니다.

1. 부서별 검토의견 : (재)양구문화재단 축제공연팀

-안녕하십니까. 먼저 양구군 문화행정과 축제문화진흥을 위해 선생님께서 제안하신 「접경지역 특성화 방안」에 대해 깊은 감사의 말씀드립니다. 해당 내용을 살펴본 결과, 아래와 같은 의견을 드리오니 참조하시기 바랍니다.

-지역 특산물 축제인 ‘곰취 축제’와 ‘시래기 축제’를 통합하여 새롭게 ‘산채류축제’ 개최를 제안하셨습니다. 좋은 착안점이며, 분산되었다고
여겨지는 지역 특산물을 하나로 통합하여 생태문화환경과 어우러진 축제로 제안하심은 긍정적으로 생각합니다. 다만, 현재 곰취와 시래기를 중심으로 한 지역특산물 축제의 경우, 양구군 지역에 기반 –곰취는 동면 마을축제, 시래기는 해안면 마을축제로 시작–으로 하여 개최되고 있는 축제로 이미 10년 이상 개최되면서 축제 고유성 및 정체성을 확보하고 있습니다. 또한, 곰취 축제의 경우, 축제 브랜드로 상표권 등록을 마친 축제라는 점을 알려드립니다. 아울러 선생님께서 제안하신 ‘산채로’라는 명칭은 양구뿐만 아니라 전남 영광 등 한정식 식당명으로 이미 사용하고 있으며, 홍천군의 경우, 이미 ‘홍천산천축제’라는 축제명으로 사용하고 있어서 그 명칭을 사용하려면 변리사를 통한 법리적 절차를 걸쳐 확인해보아야 한다고 판단됩니다. 따라서, 선생님께서 주신 의견을 담아내기 위해서는 축제업무를 군으로부터 위탁받아 수행하고 있는 양구문화재단이 독자적으로 추진하기에는 어려움이 있습니다. 그리고 곰취축제와 시래기축제가 마을주민 주체의 축제에서 비롯되어 양구를 대표하는 축제로 거듭 성장해 왔으며, 축제 고유성을 지켜나가야 하는 만큼 양구군민 여러분과 행정과의 긴밀한 협의와 동의절차가 있어야만 가능하다고 판단됩니다. 이점 양지해주시기 바라오며, 시래기축제는 생산시기, 출하량 등을 고려하여 축제 개최시기를 다시 한 번 검토하겠습니다.

-선생님께서 주신 소중한 의견에 감사드리오며, 축제업무와 관련된 문의사항이 있으시면 (재)양구문화재단 축제공연팀으로 연락주시면 고맙
겠습니다.(033-482-9612 축제공연팀장 백영기)

1. 부서별 검토의견 : 체육진흥과

귀하께서 제안해주신 금상산옛길 dmz자전거 투어대회개최와 관련하여, 양구군에서 추진 예정인 펀치볼클라이밍 대회 및 자전거 대회와 코스 일부분이 겹치는 점, 경제효과 및 기대효과가 중첩되는 점등을 고려하여 참고토록하겟습니다.

귀하의 제안에 감사드리며, 기타 문의사항이 있으시면 체육진흥과 033-480-2163으로 연락주시면 감사드립니다.",2021-06-03,양구군,답변완료
강원도,월화거리 횡단보도 위치 개선,"현황 및 문제점
횡단보도 위치가 월화거리와 이어지지 않고 코너돌아서 있어 이동 불편 발생
개선방안
월화거리 횡단보도 위치개선(월화거리 폭만큼)
- 중앙시장 입구
- 하나은행 앞 횡단보도
기대효과
관광객 동선증진효과",2021-04-20,"1. 우리시 보행 교통안전에 좋은 의견을 주심에 감사를 드립니다.

2. 귀하께서 제안하신 경강로와 금성로에 보행동선 개선을 위하여 제안하신 부분은 강릉경찰서와 협의한 결과 경강로 횡단보도 이설은 버스승강장의 위치 및 대형건물의 진.출입로와도 연계되어 이설은 어려움을 알려드리며 금성로의 횡단보도 추가 설치는 주차장을 관리하는 성남시장상인회와 주차면 삭제를 협의후 보행동선에 맞추어 설치할 계획임을 알려드립니다.

3. 귀하의 보행환경 개선에 대한 제안에 감사를 드리며, 좋은 한주 되시기 바랍니다.

붙임 1. 국민제안신청서.
2. 국민제안 요청에 따른 의견 회신(월화거리) 1부. 끝.",2021-05-18,강릉시,제안실현
강원도,"속초시 도선(갯배)청호 1,2호, 승객의 환경오염 예방 (눈,비,오존)을 위한 가림막(워닝커버)설치 요망합니다.","현황 및 문제점
○ 현황 : 청호동 아바이 마을은 휴전이후 실향민촌으로
(1140세대 3600명)
청호동과 중앙동을 연결하는 해상버스 역활을 하는 도선이다.

도선 : 청호 1,2호는 6.47톤, 재질FRP.7.6m
영업구역 : 청호동~중앙동(60m)
영업시간 : 하절기 04:30 ~ 23:30(4월~9월)
동절기 05:00 ~ 22:30(10월~3월)

○ 문제점
현재 도선은 선원 종사자나 승객들을 위한 눈,비,오존,대기오염 예방에 대한 가림막(워닝커버)시설이
안되여 있는 상태이다.

대기오염과함께 내리는 눈,비를 다 맞으면서 쇠갈고리를 이용하여 와이어 줄을 당기는데
그중에는 우산을 쓰고 당기다 보면 예상치 않은 작은사고도 일어난다.
승객과 선원은 미세먼지,아황산가스,황사비등에 노출되여있다.
개선방안
도선 청호 1,2호에 눈,비 가림막(워닝커버) 설치함으로서
대기환경오염물질을 머리나 몸으로부터 보호.
기대효과
○기대효과
눈이나 비가와도 우산을 쓸 필요 없이 안전하게 와이어를 당길수
있으며, 속초를 찾아오는 관광객들에게는 대기오염물질로부터 안전한 조치를 취한 속초시의 모습을 보여줌으로서 관광1번지 속초를 빛내는 광고효과.",2021-04-21,"국민신문고를 통해 접수된 국민제안(1AB-2104-0013016/2AB-2104-0010095)에 대하여 다음과 같이 회신하고자 합니다.

1. 시정발전에 관심가져 주시는 귀하의 가정에 건강과 행복이 가득하시기를 기원드립니다.

2. 귀하께서 제안주신 내용의 요지는 ""청호도선(갯배) 비가림시설 설치""라고 판단됩니다. 도선 운영방식은 청호동과 중앙동에 와이어를 고정시키고 선부가 와이어를 당기기에 평소 운항시에도 풍향과 풍속에 많은 영향을 받습니다. 청호도선의 비가림시설 등은 안전의 문제로 구조와 설비의 변경이 어려우며 「국민제안규정」제2조제1호에 따라 비제안 처리하오니 이 점 양해하여 주시기 바라며, 다시 한번 귀하의 고견에 감사드립니다.

3. 기타 문의사항은 속초시청 해양수산과 수산정책팀(033-639-2347)으로 문의주시면 성심성의껏 답변 드리겠습니다. 감사합니다.


붙임 : 국민제안신청서 1부. 끝.",2021-05-21,속초시,답변완료
강원도,유아동반 코로나 검사시 프리패스존 설치 제안,"현황 및 문제점
보건소에서 코로나 검사를 받기 위한 대기중에 영유아를 동반한 가족들의 모습이 눈에 띄었고 한 시간 가량의 지체속에 어린 아이들이 어른들과 똑같이 대기중인 모습이 안타까웠습니다.
앞으로 더 많은 대기와 더운 날씨까지 보태지면 더욱 힘들어지겠지요.
개선방안
중간중간 대기없이 들어가시는 분들이 간혹 계시던데, 그 분들은 어떤 자격으로 그럴 수 있는지 모르겠지만 그 배려를 어린 아이들과, 동반한 분들께 적용해주시면어떨까 합니다.
기대효과
각 지역의 보건소에 유아동반 프리패스존이 설치된다면 아이들의 안전에 도움이 되는 것은 물론이고, 아이를 키우는 부모와 앞으로 부모가 될 수도 있는 모든 분들께도 긍적적 영향이 되지않을까 생각해봅니다.",2021-04-23,"1. 귀하의 가정에 건강과 행복을 기원합니다. 귀하께서 제안하신 ‘유아동반 코로나 검사시 프리패스존 설치’에 대해 다음과 같이 회신하여 드립니다.

2. 원주시 보건소 선별진료소는 코로나19 확진환자와의 역학적 연관성 등 접촉자, 해외입국자, 격리해제자 등 필수검사 대상으로 진단검사를 진행하고 있으며, 유아와 함께 동반했을 때는 우선적으로 검사를 받을 수 있도록 조치하고 있음을 양지하여 주시기 바랍니다.

3. 또한 코로나가 의심되면 증상유무에 관계없이 보건소 선별진료소에서 무료 진단검사를 받을 수 있음을 안내해 드립니다.

4. 궁금하신 내용이 있으시면 원주시 방역대책본부 (033-737-3905)로 문의하여주시기 바랍니다. 감사합니다. 끝.",2021-05-14,원주시,답변완료
강원도,춘천시 면지역 균형발전을 위한 운동장 설치 제안,"현황 및 문제점
춘천은 송암스포츠타운과 공지천 중심으로 스포츠활동이 이루어지고 있습니다. 집중된 시설 필요하지만상대적으로 면지역은 운동시설이 태부족합니다. 인구가 도시로 집중되고 있는 춘천은 면지역에 운동시설을 설치하여 외곽으로 집중도를 분산하여 운영함도 필요합니다.특히 동면지역은 2만명이 되는 인구가 있으면서도 운도할수 있는 시설이 없습니다. 정책을 펼때 여러 조건들을 반영하여 운영하면 더욱 좋을것 같습니다.
개선방안
1. 춘천시 면지역 균형발전을 위한 운동장 설치 제안
2.
기대효과
1. 춘천시지역 균형발전에 기여
2. 시민들의 건강지키기 위한 배려에 기여",2021-04-24,"1. 춘천시를 향한 귀하의 열정과 관심에 깊은 감사의 말씀드립니다. 해당 제안에 대하여 다음과 같이 회신하여 드립니다.

2. 귀하께서 제안하신 ‘춘천시 면지역 균형발전을 위한 운동장 설치’에 대하여 검토한 결과는 아래와 같습니다.
- 아 래 -
가. 현재 시에서는 생활체육시설 조성 및 관리 사업을 진행하고 있습니다.
나. 해당 제안은 사업부지 확보 및 시설물 조성에 따른 대규모 사업비가 예상되므로 중장기적으로 검토해야 할 사항입니다. 현재 관련 예산
미편성되어 제안 실행이 불가하며, 추후 예산확보를 통해 검토 및 진행토록 하겠습니다.

3. 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이밖에 문의사항은 춘천시 체육과 강명철(033-250-3689)에게 연락주시기 바랍니다.

붙임 : 국민제안신청서 1부. 끝.",2021-06-01,춘천시,답변완료
강원도,시외버스 정거장 설치 건의,"현황 및 문제점
현재 타 지역에서 시외버스를 타고 강릉으로 이동시, 시내를 관통하여 시외버스 터미널로 향하고 있습니다.
예를들어 춘천에서 강릉으로 가는 시외버스 직통 버스의 경우 북강릉 IC 에서 나와 시내를 관통하여 강릉 시외버스 터미널로 이동하고 있습니다.
이 과정에서 불필요한 교통정체 발생, 이동거리의 낭비가 있습니다.

쉽게말해 오죽헌 방문을 위해 강릉으로 시외버스를 타고 온 관광객이, 버스가 오죽헌 바로 앞을 지나치고, 오죽헌과 거리가 먼 버스터미널로 향하여, 관광객에게 불필요한 이동이 생기게 만들고있습니다.
또한, 버스가 관통하는 시내 주변 지역에 거주하고 있는 강릉시 시민도 집을 지나치고 버스가 그대로 터미널로 향하는 불편함이 있습니다.

교통수단을 이용한 불필요한 이동이 잦아져, 환경오염에도 영향을 끼치고 있습니다.
개선방안
강릉시의 각 주요 거점마다 시외버스 전용 버스 정류장을 만들어서 승,하 차가 가능하게 해주십시오

서울, 원주, 춘천 등 강릉 외의 지역에서는 이미 터미널이나 IC 로 향하는 지점마다 시외버스 승, 하차 정류장을 설치하고 있습니다.
해당지역을 방문하는 관광객, 혹은 주민이 쉽게 접근하고, 불필요한 이동을 하지 않게 해주십시오

또한 하차만이 아닌, 승차장도 두어서, 버스 승차지역을 강릉시외버스터미널만이 아니라 다른 곳에도 늘려주십시오
구체적으로 강릉 IC 주변 등, 강릉역 등에 설치하여 타 지역 이동에 용이할수 있게 해주십시오
기대효과
1. 강릉을 방문하는 관광객의 관광명소 접근용이
2. 강릉에 거주하는 시민 이동의 편의
3. 불필요한 이동거리의 감소로 탄소배출 교통수단의 축소, 환경오염문제 해결",2021-04-25,"1. 시외버스의 중간정차는 사업계획변경에 해당되어 원칙적으로 업체의 신청에 따라 도가 인가를 하도록 되어 있으며, 여객자동차운수사업법에 따라 직행형 시외버스 운행형태는 기점 및 종점 터미널을 기준으로 운행하는 운송사업으로 잦은 중간정차로 인한 직행형 시외버스의 기능을 상실되지 않도록 운영하여야 합니다.
2. 시외버스, 시내(농어촌)버스, 택시는 「여객자동차운수사업법」상 사업권역이나 운행형태를 달리하지만 동등한 권리를 가지는 운송사업자이므로 시외버스 중간정차가 부득이 필요한 경우에는 지역 내 타 운송사업자(시내버스, 택시)와 영업권 다툼이 발생하지 않도록 협의하여야하는
사항이며, 운행경로(중간정차) 과다 시 기존 탑승자의 불만야기도 제기 될 수 있음.",2021-09-06,강원도,답변완료
강원도,출산장려금 신청자격 확인이 가능하도록 해주세요,"현황 및 문제점
출산장려금 신청자격 기준이 지역내 거주 6개월이상(부모 중 1인)입니다.
12월에 양양에서 거주하던 남편이 속초로 이사왔습니다.
속초시에서 공과금, 세금을 냈습니다.
미처 전입신고를 늦게 하여 (3월에 전입신고)
출산장려금 지급이 안된다고 합니다.
(출산 예정일이 6월)
개선방안
신청자격 기준을 전입신고일이 아닌
실제 거주 기준으로 바꾸기를 제안합니다.
공과금 및 세금납부내역을 통해
해당 지역 거주 시기를 확인할 수 있습니다.
(이사관련 부동산 서류등)
기대효과
같은 세금을 내는 국민으로서 같은 복지 지원을 받는 것이 정당하다고 봅니다.
남편은 속초, 양양(3년거주)외 강원도에서 10년이상 거주하며 일하고 꼬바꼬박 성실히 세금을 납부하였습니다.
많은 출산장려금을 노리고 지역을 옮긴것도 아닙니다.
불가피하게 출산이전에 이사를 하게되는
예비부모들에게 조금이라도 더 정당하게 복지비가
돌아 갈 수 있다면 출산장려에도 도움이 됩니다.
모쪼록 제안사항을 숙고하여 주시기 바랍니다.
감사합니다.",2021-04-28,"1. 춘천시를 향한 귀하의 열정과 관심에 깊은 감사의 말씀 드립니다.

2. ‘문화재 관리 보수 철저한 제도 보완’ 제안에 대하여 아래와 같이 답변 드립니다.

가. 현재, 우리시에서는 문화재 정기 점검을 위한 각종 사업들을 추진하고 있습니다.
문화재 모니터링하는 문화재지킴이 사업, 문화재를 정기적으로 확인하고 경미한 보수를 실시하는 문화재 돌봄사업 등을 추진하고 있으며, 또한, 문화재를 상시 확인하고 경미한 보수를 담당하는 전담 직원이 있습니다.
나. 귀하께서 말씀하신 신매리 석실고분 등에 대하여 철저한 관리를 할 수 있도록 노력하겠으며, 관내 문화재의 파손이나 노후가 있을시 신속한 조치를 취하도록 하겠습니다.

3. 위와 같은 사유로 귀하의 제안을 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이밖에 문의사항은 문화콘텐츠과(033-250-3076)로 연락주시기 바랍니다.",심사 중,속초시,제안심사
강원도,문화재 관리 보수 철저한 제도 보완,"현황 및 문제점
신매리 석실고분이 있다는 것을 처음 알고 가보니 들어가는 입구는 농로요
배수로를 따라 가야하구요
문화재접촉금지라는 표시가 덩그라니
오래된 표지판은 언제 설치되었는지 훼손되어 있고
한번도 안다녀간것처럼 보이는 현실

이에 관리를 철저히 하고
담당자들이 정기적으로 방문해서
보완 보수를 위한 점검 해야하지 않을까요?

아쉽습니다
가는곳마다
그렇다면 지정에 대한 문제와 관리 소홀로 인한 훼손
의심됩니다.
개선방안
1.문화재 관리 철저한 메뉴얼 준수
2.정기적인 점검 홈페이지 게시
3.담당자 관리자 알림
기대효과
1.문화재관리로 훼손 방지
2. 유산 후세대 남기기",2021-05-01,"1. 춘천시를 향한 귀하의 열정과 관심에 깊은 감사의 말씀 드립니다.

2. ‘문화재 관리 보수 철저한 제도 보완’ 제안에 대하여 아래와 같이 답변 드립니다.

가. 현재, 우리시에서는 문화재 정기 점검을 위한 각종 사업들을 추진하고 있습니다.
문화재 모니터링하는 문화재지킴이 사업, 문화재를 정기적으로 확인하고 경미한 보수를 실시하는 문화재 돌봄사업 등을 추진하고 있으며, 또한, 문화재를 상시 확인하고 경미한 보수를 담당하는 전담 직원이 있습니다.
나. 귀하께서 말씀하신 신매리 석실고분 등에 대하여 철저한 관리를 할 수 있도록 노력하겠으며, 관내 문화재의 파손이나 노후가 있을시 신속한 조치를 취하도록 하겠습니다.

3. 위와 같은 사유로 귀하의 제안을 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 이밖에 문의사항은 문화콘텐츠과(033-250-3076)로 연락주시기 바랍니다.",2021-09-16,춘천시,답변완료
강원도,"동해북부선 ""양양국제공항역"" 유치의 필요성","현황 및 문제점
강원도 양양군 관내에 있는 양양국제공항은 속초공항과 강릉공항을 군 전용 공항으로만 이용하고 기존 두 공항의 여객 업무기능을 통합하기 위해 중간지역인 양양군에 건설한 공항으로 알고 있습니다. 그러나 강원도 동해안 거주 주민들의 항공수요를 책임져야함에도 배후 인구가 적어 공항이 활성화되지 않는다는 기사를 접했으며, 2020년에 들어서야 코로나19로 인하여 해외여행 대신 국내여행을 선호하는 주민들이 늘어나 공항이 그나마 활성화되었다는 소식을 듣게 되었습니다.

현재 지자체에서는 개항 20주년이 되어가는 공항을 활성화하기 위해 양양버스터미널에서 양양공항까지 무료 셔틀버스를 운영하는 등 다양한 방안을 강구하고 있을 것입니다. 마침 강릉-속초-고성(제진역)을 잇는 동해북부선을 재건하는 계획이 지금 수립중이어서 양양국제공항과 동해북부선을 연계하는 방안을 제안하고자합니다.
개선방안
현재 동해북부선 기본계획상 양양군 관내에서 계획되고있는 역은 ""삼팔선 신호장"" 및 ""양양역"" 등 2개소로 알고 있으며, 인구가 3만 명을 넘지 않는 양양군의 특성상 추가적인 역 설치는 어려울 것이라는 것이 짐작이 됩니다. 그러나

1. 양양국제공항이 양양읍내로부터도 다소 이격된 손양면 지역에 위치해있어 접근성이 상당히 떨어지고, 이것이 양양국제공항 수요의 감소로 이어진다는 점.
2. 동해안을 따라가는 동해북부선의 특성상, 양양국제공항에 인접하는 선형이 나올 가능성이 매우 높은 점.
3. 양양군 뿐만 아니라 인근 지역이 휴전선과 인접한 최전방 지역이라 주둔하고 있는 야전부대가 많으며, 이에 따라 잠재적인 철도 및 항공교통의 수요가 상당히 많다고 예측할 수 있는 점.
4. 양양국제공항역이 개통하면 강릉 및 속초 지역에서 철도를 이용하여 양양공항으로 이동하기가 용이해지는 점.

위와 같은 점으로 인해 양양국제공항역을 설치하는 것을 계획하는 것도 좋아 보입니다. 되도록이면 역에서 공항청사로 바로 이동할 수 있도록 연결 통로를 만드는 것도 좋은 방법일 것으로 사료됩니다.
기대효과
동해북부선 양양국제공항역을 유치할 경우,

1. 상술했듯 고성-속초-양양-강릉에 거주하는 모든 항공 수요자들이 양양국제공항에 손쉽게 진입할 수 있게됩니다.
2. 춘천속초선이 개통될 경우 양구-인제에 거주하는 수요자들까지 양양국제공항을 이용하도록 유도할 수 있습니다.
3. 휴전선 접경지역(동부전선)에 복무하는 군인들 역시 잠재적인 항공 교통의 수요자가 될 수 있습니다.
4. 충청북도의 청주공항역의 사례처럼 공항철도가 건설되는 또다른 사례가 되어 지역의 경쟁력을 향상할 수 있습니다.
5. 장기적으로 전라도, 경상도, 제주도, 더 나아가 국제선으로 들어오는 외국 관광객들까지 양양공항역을 통해 손쉽게 동해안을 여행할 수 있어 추가적인 관광수익 창출도 기대할 수 있습니다.

따라서 동해북부선 계획시 양양국제공항역을 설치하는 방안을 재고해주시고, 이와는 별개로 지자체에서 공항의 활성화를 위해서 추진하고 있는 사업이 있는지에 대해 답변해주시기바랍니다. 양양군의 건승을 기원합니다.",2021-05-02,"1. 우리군 발전을 위해 제안주신 귀하께 감사드립니다.

2. 귀하께서 주신 제안은 ‘양양국제공항 활성화를 위한 지원사업 현황 문의 및 동해북부선 계획시 양양국제공항역 설치 방안 재고’ 두 건으로 이해됩니다.

3. 먼저, 양양국제공항 활성화를 위해 우리군에서는 양양터미널~양양국제공항 간 무료셔틀버스를 운행하고 있으며, 모기지항공사 지원사업의 일환으로 양양군 이주지원비 지원, 공항 시설사용료 지원, 홍보 등을 지원을 해오고 있습니다.
다음으로, 동해북부선 건설 사업은 「철도의 건설 및 철도시설의 유지관리에 관한 법률」 에 의거 국토교통부에서 추진하고 있는 사업으로 관련법 7조 4항에 의거 국토교통부의 기본계획 고시(제2020-1027호, 2020. 12. 23.)를 통해 ‘양양역’, ‘3.8선 신호장’으로 고시 되었습니다. 귀하의 제안에 공감하지만, 국토교통부 ‘철도국’과 ‘항공정책실’ 내부 협의가 선행되어야 하는 사항으로, 군 단위 지자체에서 단독으로 채택하기 어려움을 양해하여 주시기 바랍니다.

4. 국토부의 실시설계 단계인 ‘21년 8월 이후 공청회 등이 있을 예정이며, 아울러 양양군에서는 철도건설사업을 국민(군민)의 편의를 최우선으로 검토하고 있습니다.
※ 문의 : 국토교통부(1599-0001), 양양군 전략교통과 정책개발 담당(033.670.2123), 공항지원담당(2266).
성심성의껏 답변해드리겠습니다. 감사합니다.


붙임 : 국민제안신청서. 끝.",2021-06-10,양양군,답변완료
