지역명,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
인천광역시,승기천 원인재 아래 튜울립 식재한곳에 세워진 네모난 조형물 포토존으로 활용 할 수 있도록 가드라인 쪽에 세워 주세요.,"현황 및 문제점
조형물-지나는 사람들이 저건 뭐야? 생뚱 맞게 하면서 의구심을 갖 더라고요.

요즘 투울립이 여러가지 색으로 예쁘거 피어 많은 사람들의 발길을 머물게 합니다.
가에는 둥그렇게 줄을 쳐 놔서 사진을 찍으면 줄이 예쁜 이미지를 망칩니다.
튜립사이에 있는 네모난 조형물을 포토존으로 활용 할 수 있도록 가드라인 쪽에 설치 해 주세요.
도담삼봉이나 두물머리에 가면 설치 해 놓은 조형물 처럼요.




개선방안
꽃을 밟지 않고 조형물을 이용한 포토존이 될 수 있게 밖안 쪽으로 조형물을 설치 해 주세요.
기대효과
꽃을 싫어하는 사람은 없지요.
많은 사람들이 꽃을 구경하며 머물게 되는 쉼터가 될 것입니다.",2021-04-20,"안녕하십니까? 구정에 깊은 관심을 가져주셔서 감사드리며 귀하의 제안서에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 제안내용은 조형물 포토존 활용으로 기존에 설치된 조형물을 이동하는 것은 불가하며 추가로 길을 내어 포토존으로 활용할 수 있도록 검토중에 있습니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 공원녹지과(749-8704)에 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2021-05-20,연수구,답변완료
인천광역시,승기천 선학교에서 연수교사이 유채씨 뿌린 곳 제초작업,"현황 및 문제점
선학교에서 연수교사이 유채씨앗 뿌린곳에 길가로 풀이 많이 자라서 유채의 자람을 방해하고 보행자들도 뱀이 나올까 두렵습니다.
야생으로 자란 방죽교근처엔 너무도 예쁘게 유채꽃이 피었습니다.
예쁘게 꾸미려고 유채씨앗 뿌린 곳은 관리가 되지 않아 유채의 생육이 늦어집니다.
매년 갈아 넘기지 말고 인도에서 1M이상 넓이로 제초 작업만 잘 하면 유채씨값이며 기계로 갈아업는 비용도 절감 될것입니다.봄에는 야생으로 떨어진 갓꽃도 너무 예쁩니다.
개선방안
유채식재한 곳 길가 커다랗게 지란 잡풀 제거해 주세요.
기대효과
안전하고 운동하기 좋은 거리가 됩니다.",2021-04-24,"안녕하십니까? 구정에 깊은 관심을 가져주셔서 감사드리며 귀하의 제안서에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 제안내용은 승기천 제초작업으로 매년 예초 및 제초작업을 승기천유지관리공사로 시행하고 있으며, 현재 2021년 승기천 녹지대 긴급 유지관리공사로 예초 및 제초작업을 시행중입니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 공원녹지과(749-8704)에 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2021-05-21,연수구,답변완료
인천광역시,인천(서로)이음 모바일카드 제안,"현황 및 문제점
1.인천이음 카드 사용자가 100만명이 넘습니다

2.그러나 시대에 맞지 않게 아직도 실물카드를 소지 해야만 사용할수 있습니다
개선방안
1.며칠전 경기도가 처음 도입한 삼성페이를 이용하여 인천이음카드를 삽입하면 좋을거 같습니다

2.인천이음카드가 휴대폰 속으로 들어오면 실물카드 소지 없이 휴대폰만 있으면 바로 결제 가능합
기대효과
1.기존과 달리 실물카드가 없어도 휴대폰만 있으면 언제든지 결제가 가능해 집니다

2.기존에 사용하던 인천이음카드와 더불어 편리성이 더 확보됨으로 더 많은 사용자가 늘어날거로 예상됩니다",2021-04-29,"국민신문고를 통하여 우리시로 접수된 제안(1AB-2104-0016052)에 대하여 붙임과 같이 답변하여 처리하고자 합니다.

□ 제안개요

구분
접수번호
민원내용
처리방법

국민
제안

1AB-2104- 0016052


인천(서로)이음 모바일카드 제안

국민신문고
시스템 입력


붙임 1. 국민제안신청서 1부.
2. 국민신문고 제안 답변서 1부. 끝.",2021-05-25,인천광역시,답변완료
인천광역시,I-MOD 운영 개선 제안,"현황 및 문제점
■ 이용객 위주 차량 배차 방식 배제
- I-MOD 호출 시 이용객의 선택권 없음( 배정해주는 차량을 선택 or 취소 )

■ 원하는 시간 차량 배정을 위한 과도한 호출로 서버 과부하 발생
- ex) 15분후 이용하고 싶으나 5분후 도착 차량이 보일경우 재 호출 반복

■ 차량 배차 완료 이후 이용객의 잦은 미 탑승 및 취소로 타인에게 불이익



개선방안
■ 차량 호출시 이용가능한 차량을 시간대별로( 약 3개 ) 나열

■ 이용객이 원하는 차량을 선택

기대효과
■ No-Show 및 탑승취소 사전 방지로 불필요한 호출 방지

■ 모든 이용객에게 선택권 부여

■ 현 운영방식 최적화로 이용객 불편 해서",2021-04-29,"안녕하십니까? 귀하께서 국민신문고를 통해 신청하신‘아이모드(I-MOD)제안에 대해 다음과 같이 답변 드립니다.

(제안내용)
1. 발생: 2021년 05월 03일
2. 현황 및 문제점
■ 이용객 위주 차량 배차 방식 배제
- I-MOD 호출 시 이용객의 선택권 없음(배정해주는 차량을 선택 or 취소)
■ 원하는 시간 차량 배정을 위한 과도한 호출로 서버 과부하 발생
- ex) 15분후 이용하고 싶으나 5분후 도착 차량이 보일경우 재 호출 반복
■ 차량 배차 완료 이후 이용객의 잦은 미 탑승 및 취소로 타인에게 불이익
3.개선방안
■ 차량 호출 시 이용 가능한 차량을 시간대별로( 약 3개 ) 나열
■ 이용객이 원하는 차량을 선택
4.기대효과
■ No-Show 및 탑승취소 사전 방지로 불필요한 호출 방지
■ 모든 이용객에게 선택권 부여
■ 현 운영방식 최적화로 이용객 불편 해소

(답변내용)
1. 평소 우리시 시정업무에 관심과 애정을 가져 주신 점 깊이 감사드립니다.
우리시는 편리한 대중교통과 민간의 신기술을 활용한 도시문제 해결형 사업모형을 발굴하고자,
국토교통부 공모사업인 '스마트시티 챌린지사업'에 선정되어 시범운행 중에 있습니다.
2. 본 사업은 2020년부터 2022년까지 3개년 동안 다양한 대상지역의 특색을 반영한 대중교통
솔루션 개발을 목적으로 기존 대중교통과의 상생과 보완재로서의 역할을 수행하고 있는
실증 기간 중임을 양해해 주시기 바랍니다.
I-MOD는 실시간 수요응답형 버스로 실시간으로 가장 최적경로가 생성됨을 알려드립니다.
제안하신 것과 같이 1호, 2호, 3호 차량을 나열하여 선택을 하게 되었을 때
차순위 차량은 시간이 지난 뒤 다른 이용객의 호출로 경로의 변화와 우회가 발생할 수 있어
현재 적용이 어려우나 효율적인 운행과 교통 불편지역에 대한 배차를 위해 수요데이터를
분석하여 인구밀접 지역 중 운행방식인“구역 분할방식”과 가상의 노선을 생성하여 운행하는
“준노선 방식”등 다양한 운행 모델을 개발하여 이용 불편을 최소화하는 방안을 찾고자
노력하고 있습니다.
3. 앞으로도 인천 수요응답형 버스(아이모드)가 시민의 안전한 이동편의 제공을 노력하겠으며,
답변 내용에 대한 추가 설명이 필요한 경우 인천광역시 스마트도시담당관실 허설화
(☏032-440-8929)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2021-05-14,인천광역시,답변완료
인천광역시,동춘3동사무소를 주차장으로,"현황 및 문제점
연수구청 공용주차장 부족에따른 불법주정차로인해 시민의 재산이 훼손당하고있으며 공무원의 품위가 손상되고있음.
개선방안
동사무소 이관을 통해 동춘1동+동춘3동사무소를 통합하고 기존 동춘3동부지에는 대형 주차 타워의 건설을 제안함(각층마다 50kW급 전기차 충전기10대씩 구축).
기대효과
1.시민의 구청이용시 편의성 극대화
2.자가용 불법주정차 방지로 시민재산 침해 예방
3.미래 전기차 시대에 대비한 선제적 선진 행정",2021-05-04,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AB-2105-0000845/2AB-2105 -0000488)에 대한 검토결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ""동춘3동 행정복지센터를 동춘1동 행정복지센터로 통합하고 동춘3동 행정복지센터 내 주차타워 건립을 통한 주차난 해소"" 건으로 이해됩니다.
3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
: 동춘3동 행정복지센터에 주차타워 건설을 위해선 동춘1동 행정복지센터에 동춘3동 행정복지센터 통합이 우선적으로 이뤄져야 하는 사항으로 동춘3동 행정복지센터 부지에 주차타워건설은 우리 구 총무과에서 행정복지센터 이전 가능 여부에 대한 검토 완료 후 고려할 사항임.
※ 행정복지센터 통합문제는 총무과에서 별도 답변 예정
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 연수구 교통행정과 성만기 주무관(032-749-8752)에게 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.",2021-05-06,연수구,답변완료
인천광역시,농사용 지하터널도로 개보수,"현황 및 문제점
1. 농사용 지하터널도로 위치 : 인천 중구 중산동 1913-8
2. 터널크기 : 폭 2.45m 높이 2.4m 길이 46m
제3연육교 연장도로 지하에 개설된 농사용도로 터널로 사람과 농기계가 다닐 수 있는 통로이지만 한쪽이 막혀있으므로 농사용기계는 다닐 수 없고 사람들만이 왔다 갔다할 수 있는 상태입니다 문제점은 천정에서 물이 떨어지고 배수로가 없어서 터널바닦으로 물이 흘러나가고 있으며, 통로 내부 전등도 켜지지 않고 쓰리기 등이 무단 투척이되어 통로 입출구가 불결하여 주민들이 접근을 꺼려한는 실정입니다
개선방안
1. 양방향으로 농사용기계가 이동할 수 있는 농로를 개설하고 천정누수와 배수로 시설을 개보수 해주실 것을 요청합니다
2. 별첨 사진과 같이 누군가 무단 투기한 대형포장 쓰레기 덩어리는 방치되어 있는 것 처리해 주시고 통로 내부 전등을 밝혀주실 것을 요청합니다
기대효과
향후 제3연육교 연장도로에 일반차량이나 공사차량 등이 운행 될 경우 사람들이 무단횡단 또는 주민들이 먼거리를 걸어 농사일을 하려 다니는 불편함을 해소할 수 있습니다",2021-05-06,"○ 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신하여 드립니다.

○ 조장하님께서는 인천광역시 중구 중산동 1913-8번지 일원 농사용 지하터널도로 개보수 및 농로 개설을 제안해 주셨습니다.

○ 귀 하께서 제안하신 시설물은 “녹지연결통로”(생태통로)로서 야생동물이 지나는 통로를 도로 건설 시에 만든 시설물입니다.

○ 영종하늘도시 개발계획 및 시설계획에 따라 조성된 녹지연결통로의 기능을 유지함이 타당하며, 양방향으로 농로를 개설하자는 귀 하의 제안은 개발계획, 시설물의 목적 및 기능에 부합하지 않아 수용하지 못하는 점 널리 이해해 주시기 바랍니다.

○ 녹지연결통로 내 전등 보수 및 주변 쓰레기 수거는 관련부서와 협의하여 조치 예정임을 답변 드리며 은하수로에서 녹지연결통로로 진입 할 경우 도로 사면의 경사가 급하여 통행 시 안전사고의 위험이 있으므로 통행을 지양하여 주시길 바랍니다.

○ 앞으로도 구정에 도움이 되는 다양한 제안들을 부탁드리며 기타 궁금하신 사항은 중구청 기반시설과(☎ 760-8954)로 문의하여 주시면 성심껏 답변 드리겠습니다. 감사합니다.",2021-05-28,중구,답변완료
인천광역시,우리 숨 좀 쉬고 삽시다(인천 지역 해수욕장 캠핑 금지 풀어주세요),"현황 및 문제점
해수욕장 법 22조 의거하여 지정된 장소 외에는 텐트 및 취사가 금지되어 있는데요 특히나 인천은 코로나19로 인하여 25개 해수욕장을 지정 개인 텐트를 금지하고 있습니다. 물론 지정된 장소나(있을까요?) 사설 캠핑장은 텐트 및 취사가 가능하지만 인천 전 지역 캠핑장은 반려동물을 금지하고 있습니다.

그래서 반려동물이 있는 사람들은 스텔스차박이라 하여 주차장에서 몰래 숙박을 하거나 해수욕장에서 불법으로 무시하고 텐트를 치고 숙박을 해결하고 있습니다.

물론 매일 600명이 감염되는 현실에서 철저한 방역을 중요하다고 생각합니다. 하지만 한 두 명으로 오는 캠핑까지 무조건 막는다는 것은 오히려 국민들에게 불법을 하게 만드는 것 같은 생각이 듭니다.

물론 금전적 여유가 있는 사람은 호캉스라 하여 호텔로 놀러 가거나 유료 캠핑장으로 가겠지만 금전적 여유가 없는 사람에게는 하루 숨 좀 돌릴만한 곳이 너무 없습니다.

개선방안
반려동물이 있는 사람들도 캠핑이 가능한 곳을 지정해 주거나 해수욕장 부근 캠핑 장소를 만들어 주었으면 좋겠습니다. 국민들이 불법으로 캠핑을 하여 무조건 단속하는 것보다 차라리 나라에서 철저히 관리하여 안심하고 캠핑할 수 있는 장소를 만드어 주는 것이 더 효율적이라 생각합니다.
기대효과
방역 관리가 수월해지고 국민 모두 합법적으로 캠핑을 할 수 있습니다.",2021-05-06,"○ 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신하여 드립니다.

○ 김기태님께서는‘인천지역 해수욕장 캠핑 금지 풀어주세요’는 내용으로 제안해주셨습니다.

○ 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.
- 우리 구에서는 해수욕장의 이용 및 관리에 관한 법률 제22조에 따라 ‘관리청의 허가를 받지 아니하고 시설물을 설치하는 행위’, ‘지정된 장소가 아닌 곳에서 취사 또는 야영을 하는 행위’를 금지하고 있습니다.

- 또한 감염병의 예방 및 관리에 관한 법률 제49조 제1항에 ‘군수‧구청장은 감염병을 예방하기 위하여 필요한 조치를 하여야 하며’ 제1항제2호에 ‘흥행, 집회, 제례 또는 그 밖의 여러 사람의 집합을 제한하거나 금지하는 것’이라고 명시되어 있습니다. 텐트 설치 허용은 필연적으로 다중의 집합 및 취사행위 등으로 이어져 불가피하게 금지 조치를 실시하고 있습니다.

- 현재까지도 코로나19의 확산세가 꺾이지 않고 있으며 이에 따른 지역 사회로의 확산 방지를 위하여 저희 중구청에서는 희망일자리사업 근로자‧각 해수욕장 번영회‧직원이 함께 계도 및 단속을 시행하고 있습니다.

○ 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 앞으로도 구정에 도움이 되는 다양한 제안들을 부탁드립니다.

○ 이밖에 문의사항은 기반시설과 해수욕장팀(☎ 760-8872)으로 연락주시면 성심성의껏 답변 드리겠습니다. 감사합니다.",2021-05-24,중구,답변완료
인천광역시,공항 입국자의 코로나 검사,"현황 및 문제점
일전 인청공항에서 입국자들이 각자 대중교통을 이용해 거처로 떠나는 것을 보면서 이 정도의 관리로는 변이 바이러스에 국민이 노출될 수 밖에 없다는 생각이 들었습니다. 물론 입국자가 거처에 도착한 후 2주간 자가격리를 하겠지만, 전국에 있는 거처로 가는 동안, 외국에서 변이 바이러스에 감염되었으나 아직 확진되지 않은 분들에 의한 바이러스 전파가 매우 우려됩니다. 이에 대비한 관리가 시급해 보입니다.
개선방안
외국 입국자들이 공항을 나가기 전에 PCR 검사나 최소한 그 대안이 되는 신속한 검사(자가진단 키트 등)라도 반드시 받도록 조치해 주시면 좋겠습니다. 물론 입국자가 너무 많은 경우 의료진 인력의 문제가 있으리라 예상되는데, 부득이하면 의료진이 아니더라도 생명과학과나 화학과 등 관련학과 출신자들을 임시로 채용해서 훈련한 후 활용할 수도 있지 않을까요? (제가 갔던 날은 공항이 너무 한산해서 쓸쓸했고 공항버스도 운행정지된 상태여서 이 문제는 대단히 심각하지 않을 것으로 생각됩니다.)
기대효과
이미 변이 바이러스가 국내에서 많이 전파되고 있어 늦은 감이 있지만, 지금이라도 바이러스 전파가 만연되고 있는 나라들에서의 입국자들에 의한 공항청사 내 및 교통수단을 통한 전파를 억제하는 효과가 기대됩니다.",2021-05-07,"○ 안녕하십니까? 제안 참여에 감사드리며 귀하의 제안에 대해 다음과 같이 회신하여 드립니다.

○ 김한철님께서는 ‘공항 입국자의 코로나 검사’라는 내용으로 제안해주셨습니다.

○ 귀하께서 제안하신 사항을 검토한 결과는 다음과 같습니다.

- 모든 해외입국자들에게 ‘코로나바이러스감염증-19 지침’에 의거 아래와 같이 동일한 조치를 시행하고 있습니다.

· 모든 입국자 대상 발열체크·건강상태질문서 확인 등의 검역조사, 예방접종 완료여부 확인, PCR음성확인서 확인 등의 절차를 거치고 있습니다. 또한 유증상자의 경우 공항 검역소 내 격리실 이송 및 검체채취를 실시하고 있습니다.

· 입국 절차 이후 곧바로 격리에 들어가며, 인천시에서는 인천광역시청 교통국 택시물류과의 지도하에 현장 지도를 시행, 이를 통해 방역콜밴 또는 방역택시 등 지정된 이동수단을 이용하게 하고 있습니다.

- 제안해주신 인력활용방안은 현 의료법 상 지정된 의료인외에는 검체 채취등의 의료활동이 불가하여 우리 구에서는, 의료관련 면허증을 취득한 한시전담인력의 활용으로 인력을 보충하고 있습니다.

○ 위와 같은 사유로 귀하의 제안을 즉시 수용하지 못하는 점을 널리 이해하여 주시기 바라며, 앞으로도 구정에 도움이 되는 다양한 제안들을 부탁드립니다.

○ 이밖에 문의사항은 보건행정과 감염병관리팀(☎ 760-6050)으로 연락주시면 성심성의껏 답변 드리겠습니다. 감사합니다.",2021-06-02,중구,답변완료
인천광역시,120안내 보완 및 확대 활용,"현황 및 문제점
민원인 대상으로 걷기 챌린지와 같이 상품 수령 등이 포함된 행사에 대해 기관 내 담당 직원이 임의적으로 안내 및 상담을 함.
행사에 대한 취지, 개요, 계획 등 행정적으로 기재는 하지만 그 외 상품 수령 등 결과에 따른 전화 안내와 상담은 미진함.
그로인해 민원이 불만을 토하지만 오히려 담당 직원은 최초에 관련 내용 공지 했으니 그 이후에 발생한 민원에 대해선 책임을 지지 않으려는 안일함과 반성을 하지 않음.
최초 공지한 예외조항 내용을 모르고 방문한 민원에게도 아무런 거리낌 없이 되돌아가라는 등 불쾌감과 불순함을 초래.
그로인해 직원과의 언쟁이 발생하고 기관에 대한 신뢰와 이미지 실추.
또한 직원 본인의 실수를 실토하지 않으면 책임조차 물을 수 없음.
개선방안
민원을 대면해야 하는 행사에 대해 담당 직원이 아닌 전문적인 안내와 상담을 하는 인원을 배정
행사 담당 직원은 행사에 대해 전문 안내원에게 의무적으로 예외조항 등 관련 내용을 상세히 기록해 공지
행사 내용 안내에 대한 전화번호는 해당 기관이 아닌 전문 안내원인 속한 120에 회선 등을 추가하여 기재
(1번 상수도, 2번 교통, 3번 일반행정, 4번 부서안내) 외 행사와 관련한 회선 추가
기대효과
직원은 직원대로 본연의 업무에만 충실하고 행사 안내는 전문 안내원의 정확한 안내와 친절로 기관에 대한 신뢰와 이미지 제고.
자질이 부족한 담당 직원의 미진한 안내로 발생할 수 있는 민원을 미연에 방지.",2021-05-15,"안녕하십니까? 인천광역시 시정 발전에 깊은 관심을 가져주셔서 감사드리며, 귀하께서 국민신문고를 통해 제안하신 120안내 보완 및 확대 활용에 대해 안내해 드립니다.

○ 귀하의 민원내용은 각종 행사에 관련된 120 안내 보완 및 확대 활용에 관한 것으로 이해됩니다.
○ 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.
- 인천광역시 및 통합 군구(동구, 미추홀구, 연수구, 남동구, 부평구)에 대한 행사 관련 상담은 진행중인 행사위주로 일반행정(3번)으로 상담이 가능함을 알려드립니다.
- 건의하신 사항 중 행사 관련 전화번호 안내는 행사 주관부서에 의해 진행되는 사항이며 행사안내 단축번호 추가 또한 신속한 민원상담을 위하여 일반행정으로 상담이 가능한점 양해 부탁드립니다.
- 각종 행사에 관련된 사항은 담당부서와 협의를 통하여 행사와 관련된 정확한 상담이 이루어 질 수 있도록 각별한 주의를 기울이도록 노력하겠습니다.
○ 앞으로도 120미추홀콜센터는 만족스러운 상담 서비스가 제공될 수 있도록 시민님들의 의견에 귀 기울이며, 최선을 다하겠습니다.
○ 귀하의 질문에 만족스러운 답변이 되었기를 바랍니다. 답변 내용에 추가 설명이 필요한 경우 인천광역시 시민봉사과 120미추홀팀 백승진(☎032-440-2333)에게 연락 주시면 성실히 답변해 드리도록 하겠습니다. 감사합니다.",2021-06-08,인천광역시,답변완료
인천광역시,부평로 통학로 가로수숲길 조성 제안합니다.,"현황 및 문제점
첨부자료 확인
개선방안
첨부자료 확인
기대효과
첨부자료 확인",2021-05-17,"1. 귀하의 가정에 건강과 행복이 가득하시길 기원합니다.
2. 귀하께서 제안하신 부영로 통학로 가로수숲길 조성과 관련하여 아래와 같이 답변 드립니다.
o 부영로(부평공원 사거리 ~ 주안장로교회) 구간은 기존에 띠녹지(사철나무)가 조성되어 있었으나, 부원여중 등 인근 학교 학생들의 통학로 이용 시 좁은 보도 폭으로 인한 통행 불편으로 인하여 2020년 띠녹지 제거 후 안전울타리가 설치된 사항으로 귀하께서 제안하신 사항은 시행이 어려움을 알려드립니다.
3. 기타 궁금하신 사항이 있으시면 부평구청 공원녹지과 조경팀(032-509-6994)으로 연락주시면 성심성의껏 답변 드리겠습니다.

붙임 국민제안신청서 1부. 끝.",2021-07-07,부평구,답변완료
