지역명,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
세종특별자치시,인접 지자체간 시내버스 단일 요금제 시행,"현황 및 문제점

- 시내버스 인접 지자체 진입 시 요금 할증으로 교통비 부담 가중.
* 세종에서 공주, 대전, 청주시 진입 시
개선방안

- 인접 지자체간 시내버스 요금 단일화.
* 지자체간 업무 협약.
기대효과

- 지자체간 교류 활성화.
- 교통비 부담 경감.
- 전통시장 활성화.",2021-04-19,"1. 우리시 대중교통에 관심을 가지고 제안을 해 주신데 대하여 감사드립니다.
2. 귀하께서 제안하신 내용 검토결과를 아래와 같이 알려드립니다.

3. 행정중심복합도시건설청(“행복청”) 주관으로 2022년까지 대전·세종·공주·청주 통합환승요금체계 구축을 목표로 관련 용역을 추진 중입니다.

4. 귀하께서 제안하신 충청권 시내버스 요금단일화는 해당 지자체간 충분한 협의 및 의견수렴과 합의가 필요한 사항으로 행복도시권 통합환승요금체계 실시후 검토할 예정임을 양지하여 주시기 바랍니다.

5. 불채택 제안의 경우 국민소통 플랫폼 ‘광화문1번가’에서 다시 한 번 의견수렴 가능하며, 해당사이트 바로가기를 안내드립니다.
https://www.gwanghwamoon1st.go.kr/front/propseTalk/propseTalkListPage.do

붙임 국민제안신청서. 끝.",2021-04-27,세종특별자치시,답변완료
세종특별자치시,고운뜰공원 행복정원 운영 개선,"현황 및 문제점

- 4월 30일한 식물 및 조형물 폐기 안내문 게시하였으나 현 상태 그대로임.
* 주변 정리가 되지 않아 지저분하고 향후 운영계획이 불확실함.





개선방안

- 가정용 상추 등 청정채소 재배 미니텃밭으로 분양.
- 채소종자, 유기질 비료, 간단한 농기구 등 지원. 급수시설.
기대효과

- 친환경 식재료 자급.
- 쾌적한 공원경관 조성.",2021-06-01,"안녕하십니까. 귀하는 고운뜰공원 행복정원 텃밭운영에 대해 제안해주셨습니다.
고운뜰공원 행복정원은 마을공동체 사업의 일환으로 시민이 직접 운영하고 가꾸는 사업으로 현재는 사업이 종료된 상태입니다.
지적해주신 주변환경 정돈은 고운동행정복지센터에서 모두 마친상태로 확인되며, 시에서 운영하는 근린공원내 텃밭운영 계획은 현재 없지만, 주말농장은 농업기술센터에서 시홈페이지를 통해 텃밭 분양정보가 있는 경우 공지하고 있습니다.

마을공동체 시민참여 관련 문의사항 참여공동체과(044-300-5023),
주말농장분양에 대한 문의사항은 농업기술센터 도시농업담당(044-301-2712),
고운뜰공원 유지관리 부서는 시설관리사업소 녹지관리과 공원시설담당(044-301-3614),
기타 문의사항은 규제개혁법무담당관 혁신관리담당(044-300-2825)으로 연락주세요.

감사합니다.",2021-07-16,세종특별자치시,답변완료
세종특별자치시,2022년 국가유공자 예우를 위한 명예수당 인상,"현황 및 문제점

- 국가유공자 대부분이 고령으로 자활능력 부족과 생활이 빈곤함.
- 세종시 참전명예수당 타 시군 대비 지급액 적음(월 10만원).
* 월 20만원, 생일축하금 5 ~ 10만원 지급하는 시군 있음.
* 타 지자체보다 세종시의 재정자립도 높음.



개선방안

- 특별자치시 위상에 걸맞는 획기적인 국가유공자 예우.
*참전명예수당 대폭 인상: 월 300천원(2022년 예산편성 시 적극 반영).
- 쓰레기봉투 지원 확대(실질적으로 도움되도록 지원 수량 증대).
기대효과

- 국가유공자 생활 안정으로 자긍심 고취.
- 국가유공자에 대한 시민들의 인식 개선으로 애국심 함양",2021-07-12,"1. 귀하의 가정에 행복을 기원합니다.

2. 귀하께서는 국민신문고를 통해 ""국가유공자 예우를 위한 참전명예수당 대폭 인상 및 쓰레기 규격봉투 지원 확대를 제안하셨습니다.

3. 현재 우리시에서는 매월 참전유공자 명예수당(80세 미만 10만원, 80세 이상 15만원) 및 쓰레기 규격봉투(1인당 매월 60ℓ)를 지원하고
있습니다. 제안해 주신 사안은 추후 우리 시 재정 여건, 타 국가유공자와의 형평성, 타 광역 시·도 지원 실태 및 시·도에 미치는 영향 등을
종합적으로 고려하여 장기적인 검토가 필요한 사항으로, 귀하께서 국민 제안한 ""지자체에서 매월 지급하는 참전명예수당을 300천원으로
인상 및 쓰레기 규격봉투 지원 확대""하는 제안에 대해 불채택하였음을 양해하여 주시기 바랍니다.

4. 기타 궁금한 사항이 있으신 경우 세종시청 복지정책과(☎044-300-3313)로 문의하여 주시면 친절히 안내해드리도록 하겠습니다. 감사합니다.",2021-08-11,세종특별자치시,답변완료
세종특별자치시,고운뜰 공원 놀이시설 준공 전 보완,"현황 및 문제점

- 고운뜰 공원 숲속 놀이시설 시공 중임(아동청소년과 소관).
- 놀이시설 주변 식수(植樹) 및 잔디 식재. *공사 중 가믐으로 나무 고사.
- 잔디식재 일부구간이 고운뜰 공원 산책로로 연결되어 이후 잔디를 밟고 지나다니면 잔디가 고사 훼손될 우려가 있음.



개선방안

- 산책로로 연결되는 일부구간을 디딤돌이나 야자매트 설치로 통행로를 만듬.
- 준공 전 고사목 재 식재 및 통행로 보완.
기대효과

- 잔디 훼손 사전 예방으로 놀이시설 주변 미관보전.
- 안전하고 쾌적한 놀이 공간 제공.",2021-09-03,"○ 안녕하십니까? 평소 우리 시정에 대하여 많은 관심을 가져 주시고, 소중한 의견을 주신데 대하여 깊이 감사드리며, 귀하께서 국민신문고를 통하여 신청하신 국민제안(1AB-2111-0004366)은 시민들이 도서관을 쉽고 편리하게 이용할 수 있도록 도서관 안내 인쇄물 제작 배부를 요청하는 것으로 이해되며, 다음과 같이 답변드립니다.

○ 현재 도서관 이용 및 서비스 안내, 도서관 층별 안내도 등 내용이 담긴 리플렛을 제작하여 처음 방문하시는 이용자분들이 손쉽게 접근할 수 있도록 각 층별 데스크에 비치하여 제공하고 있습니다. 또한, 세종시립도서관 내 비치된 컴퓨터로 도서 검색을 하시면 도서 위치와 서가번호를 확인할 수 있어 보다 효율적인 이용이 가능하심을 안내드립니다.

「국민 제안 규정」제2조제1항 다목 (비제안 처리사유)
다. 접수하려는 기관이 이미 시행 중인 사항이거나 기본 구상이 이와 유사한 것

○ 귀하의 제안은「국민 제안 규정」제2조제1항 다목에 따라 비제안(불채택)으로 답변해드리는 점을 널리 양해해주시기 바라며, 보다 편리한 도서관 이용을 위해 앞으로 더욱 노력하겠습니다.

○ 자세한 설명이나 기타 궁금하신 사항이 있으신 경우 시립도서관 정보서비스팀 안미래(044-301-4333)에게 문의주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",심사 중,세종특별자치시,제안심사
세종특별자치시,세종시립도서관 이용안내,"현황 및 문제점

- 11월 11일 세종시립도서관 개관함.
- 도서관 이용을 위한 안내 인쇄물이 없어 처음 이용하는 시민들의 불편함.
* 홈페이지에 간단히 안내(인터넷을 이용하지 않는 시민들은 불편함)
- 원하는 책을 찾아보기가 쉽지 않음.



개선방안

- 처음 이용하는 시민들을 위한 쉽고 편리하게 이용할 수 있는 도서관 안내 인쇄물 제작 배부 활용.
* 도서관 이용 규정, 도서관 배치 안내도, 층별 서가별 문고 배치표 등(원하는 책을 쉽게 찾을 수 있도록 문고 배치 분류표 작성 등)
기대효과

- 처음 이용하는 시민들이 원하는 책을 쉽게 찾을 수 있음.
- 도서관의 효율적 이용과 활성화.",2021-11-14,"○ 안녕하십니까? 평소 우리 시정에 대하여 많은 관심을 가져 주시고, 소중한 의견을 주신데 대하여 깊이 감사드리며, 귀하께서 국민신문고를 통하여 신청하신 국민제안(1AB-2111-0004366)은 시민들이 도서관을 쉽고 편리하게 이용할 수 있도록 도서관 안내 인쇄물 제작 배부를 요청하는 것으로 이해되며, 다음과 같이 답변드립니다.

○ 현재 도서관 이용 및 서비스 안내, 도서관 층별 안내도 등 내용이 담긴 리플렛을 제작하여 처음 방문하시는 이용자분들이 손쉽게 접근할 수 있도록 각 층별 데스크에 비치하여 제공하고 있습니다. 또한, 세종시립도서관 내 비치된 컴퓨터로 도서 검색을 하시면 도서 위치와 서가번호를 확인할 수 있어 보다 효율적인 이용이 가능하심을 안내드립니다.

「국민 제안 규정」제2조제1항 다목 (비제안 처리사유)
다. 접수하려는 기관이 이미 시행 중인 사항이거나 기본 구상이 이와 유사한 것

○ 귀하의 제안은「국민 제안 규정」제2조제1항 다목에 따라 비제안(불채택)으로 답변해드리는 점을 널리 양해해주시기 바라며, 보다 편리한 도서관 이용을 위해 앞으로 더욱 노력하겠습니다.

○ 자세한 설명이나 기타 궁금하신 사항이 있으신 경우 시립도서관 정보서비스팀 안미래(044-301-4333)에게 문의주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2021-11-18,세종특별자치시,답변완료
세종특별자치시,세종시립도서관 실버를 위한 배려,"현황 및 문제점

- 세종시립도서관 개관(11월 11일).
* 어린이, 청소년을 위한 공간만 있고 실버를 위한 공간및 배려가 없어 아쉬움.
- 은퇴 후 건강과 체력을 지닌 신중년 인구 점차 증가로 독서 등 문화 활동 참여 욕구 증대.
- 아파트단지 인근에 위치하여 시민들의 이용이 용이함.


개선방안

- 주부, 노인, 중장년층을 위한 실버 존 확보 배치.
* 큰 글씨 도서, 돋보기, 확대경 비치 등 노인층을 위한 배려.
- 어린이, 청소년들이 학교에서 보내는 시간(오전 시간)대를 활용한 주부, 청,장년, 노인층을 위한 공간 이용 배려와 문화 프로그램 운영.
* 인문학, 고전, 예술 강좌, 글쓰기 등 문화 활동 배려.
기대효과

- 어린이, 청소년, 주부, 중,장년, 노인층 등 시민 모두를 아우르는 문화공간으로 발전.
- 도서관 이용 극대화로 시민들의 문화 활동 향유.",2021-11-28,"1. 안녕하세요. 귀하께서 국민신문고를 통해 제안해주신 '세종시립도서관 실버를 위한 배려'(1AB-2111-0010818/2AB-2111-0006427)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 개선방안에 대한 검토 내용입니다.
가. 주부, 노인, 중장년층을 위한 실버 존 확보 배치 및 큰 글씨 도서, 돋보기, 확대경 비치 등 노인층을 위한 배려
- 세종시립도서관 내 유아/어린이/청소년 공간을 제외한 전층 열람공간과 열람석은 남녀노소 모든 세대 누구나 통합 이용할 수 있는 공간으로 구성되어 있습니다. 총 1,000여 석의 좌석 중 어린이(유아)열람실 203석, 청소년 공간 86석을 제외한 나머지 710여 개의 좌석은 중장년, 노년층 구분없이 성인 누구나 이용 가능합니다.
- 또한 시립도서관은 탁상용 확대기나 확대경(돋보기) 등 노인과 장애인을 위한 독서보조기기 총 14종 30개를 비치하고 있습니다. 이 중 고정식 보조장비 5종은 장애인 열람석에서 직접 사용할 수 있도록 설치하고, 나머지 휴대용 보조기기들은 3, 4층에 비치되어 있으며, 비치되어 있지 않은 기기는 안내데스크에 요청하여 이용이 가능합니다.
- 또한 4층 열람실에서 노년층을 위한 큰글자도서 등 특수자료 655책을 제공하고 있으며, 향후에도 지속적으로 큰글자도서를 구입할 예정이며, 더불어 고령자 선호 취미와 주제의 장서 수요를 조사하여 적극 수집할 계획입니다.
나. 중장년층 등을 위한 문화프로그램 운영
- 세종시립도서관은 2021년 11월 11일 개관 이후 독서문화 프로그램의 대상을 어린이와 성인으로 구분하여 추진하였으며, 각 대상별 회차와 기간 등은 동등하게 분배하였습니다. 향후에도 이용자 생애주기별 특성과 시민들의 선호(설문조사) 등을 통해 문화프로그램을 종합적으로 기획, 주부·중장년층·노년층 등을 위한 맞춤형 프로그램을 운영할 예정입니다. 세종시립도서관은 지역대표도서관으로서 시민들의 평생교육과 문화생활의 기회를 풍부하게 제공할 수 있도록 힘쓰겠습니다.

3. 기타 자세한 설명이 필요하거나 궁금한 사항은 시립도서관(☏044-301-4323)로 문의해주시면 성실하게 답변드리겠습니다. 감사합니다.",2021-12-28,세종특별자치시,제안실현
세종특별자치시,설 관련 여민전 한도상향 시기 조정,"현황 및 문제점
2022년도 설은 2월1일이어서 여민전 한도를 2월에 한해서 30만원에서 80만원으로 상향하여 구매촉진을 할수 있도록 하였습니다.
다만, 설을 쇠는건 보통 설 이전에 고향에 내려가고, 설을 쇠러갈때 선물을 사는게 보통 있는 일이어서 한도 상향시기와 맞지 않아 상향목적과 부합하지 않고 더불어 구매촉진의 차질이 우려됩니다.
개선방안
상향시기를 지금이라도 남아있는 1월로 변경하여 시민의 바램을 충족시키고 한도 상향목적에 부합되도록 하여야 합니다.
기대효과
세종시 내 소비경제에 긍정적인 효과를 낼 수있도록 하여야 합니다.
세부 기대효과는 여민전 발행이후, 지금까지 축적된 설 이전일과 당일에 대한 여민전 결제 금액을 비교하면 나올듯 합니다.",2022-01-25,"○ 안녕하십니까. 시정에 관심 가져주심에 감사드리며, 귀하께서 제안하신 사항에 대해 아래와 같이 답변 드립니다.

○ 여민전 2월 구매한도 상향은 현재 플랫폼의 ‘월단위’ 작동 방식을 ‘일단위’ 방식으로 변경하는 것은 기술적으로 재편하기 어렵다는 여민전 운영대행사(플랫폼 구축·운영 사)의 검토 의견을 감안하였고

2월중 구매한도 원상복귀(80→30만원)에 따른 캐시백 지급 등 소비자의 사용 혼란, 1월 중 구매한도 상향 이전 30만원을 초과하여 결제한 이용자에 대한 캐시백 불이익 등을 고려하여 결정하였음을 다시 한번 말씀드립니다.

그러나 위와 같은 이유로 2월 한도를 상향하였음에도 소비가 많은 설명절 전 여민전 증액이 되지 않아 시민들이 이용에 불편을 겪으셨다는 부분에는 공감하고 있습니다.

○ 이에 담당부서에서도 적절한 시기와 취지에 맞는 정책 운영을 위해 소상공인과 시민들에게 도움이 될 수 있는 여민전 이용 활성화 방안을 강구하고 있으며

앞으로 소비 촉진 여민전 이벤트 행사를 계획할 때 특정 월이 걸쳐 있는 경우 월 단위 구매한도 상향 외에도 사업의 효과성을 높이고 시민들이 이용에 불편함이 없도록 정책 방향을 더욱 면밀히 검토하여 추진하도록 하겠습니다.

○ 다시 한번 우리 시 시정발전을 위한 많은 관심에 감사드리며, 기타 문의사항은 기업지원과 기업정책담당(☎044-300-4113~4)으로 연락을 주시기 바랍니다.

붙임 국민제안신청서 1부. 끝.",2022-03-08,세종특별자치시,답변완료
세종특별자치시,쌀 포장 마감재처리 개선 및 시범 운영을 제안합니다.,"현황 및 문제점
◇ 현 황

○ 다양한 규격(5kg, 10kg, 13kg, 20kg 등)과 다양한 종류의 쌀 포장 유통

○ 시중에 유통되고 있는 쌀은 모두 두꺼운 종이용지(用紙, 쌀 포대)로 포장 판매

○ 쌀 포대 상ㆍ하단의 마감처리는 굵은 실로 봉합

◇ 문제점

○ 포장용지(쌀 포대)가 실로 마감처리(꿰매져) 되어있어 개봉하는데 장시간 소요 및 스트레스 유발

○ 특히 어르신들은 잘 보이지도 않을 뿐만 아니라, 푸는 방법(요령)을 몰라 어려움 호소

○ 한번 개봉을 하면 반드시 다른 용기에 담아 별도 보관해야 하는 불편 가중

○ 전문가 위주로 마감처리 되어 판매(시판) - [ 붙임 사진 참조 ]

○ 농림축산식품부에 제안하였으나 국민을 생각하는 마음이나, 식품위생법에 따른 ‘기구 및 용기ㆍ포장의 기준 및 규격’과는 전혀 관계가 없음에도 고시내용 등을 이유로 부정적인 답변으로 일관(‘21.07월)

- “정부에서는 쌀 포장과 관련하여 식품안전, 재활용 등과 관련한 최소한의 규격*만을 정하고 있으며, 쌀 판매 시 활용하는 포장재의 종류(종이ㆍ비닐 등)와 형태(실ㆍ지퍼 등)는 판매업체에서 소비자 선호, 포장 및 판매의 실용성ㆍ효율성 등을 고려하여 자율적으로 결정하고 있으므로 정부에서 별도로 규제하고 규정하는 것은 사실상 어려운 실정”

*식품위생법 제9조 제1항 제2호에 따른 ‘기구 및 용기ㆍ포장의 기준 및 규격’(식품의약품안전처 고시 제2021-76호)
개선방안
○ 쌀 포장 용기 마감재를 실에서 지퍼(필요시 판매업체 대표와 협의 등)로 변경 시범제작 및 공급

○ 세종시 특수시책으로 효과를 창출하되, 일시에 21개 읍면동에 추진이 어렵다면 시범지역을 선정 추진

○ 지퍼제작 시, 포대 채 보관 및 사용 가능하므로 일석이조 효과

○ 시민 반응이 좋으면 전국지자체로 확산
기대효과
○ 행정 패러다임 전환

○ 시민의 조그만 불편 해소에 세종시가 앞장

○ 시민들 호응도 향상 확실",2022-03-06,"국민제안(1AB-2203-0003585)에 따라 아래와 같이 심사 결과를 통보하고자 합니다.
1. 국민제안 내용 : 쌀 포장 마감재 처리 개선 및 시범운영 제안
2. 문제점 : 쌀 포장용지가 실로 마감처리 되어 있어 불편함
3. 제안내용 : 지퍼형식으로 변경하여 공급
4. 심사결과 통보내용
가. 쌀 포장재와 관련하여 애정어린 관심을 가져주심에 깊은 감사를 드립니다.
나. 쌀 포장 마감재처리 개선과 관련하여 충분히 공감하여, 쌀 유통관련 업체 및 포장재 제조업체와 심도깊게 상의하였습니다.
- 쌀 포장재 종이 재질에는 지퍼로 제조가 어려움(찢어짐 현상 발생)
- 현재 쌀 포장재 시설은 자동화 공정으로 인하여 중도에 변경시 자동화시설을 이용이 어려움
- 지퍼 사용 시 쌀 유통운송 중 쌀 무게에 의한 터짐 등 운송보관에 어려움이 발생
- 현재 지퍼팩 형식으로 소포장 공급을 하고 있으나, 지퍼팩형식은 비닐재질만 가능하여 공급(기온에 따라 비닐내에 습기 등 발생하여 미질에 영향을 주어 빠르게 소모할 수 있도록 소포장 위주로 공급하고 있음)
다. 쌀 포장재와 관련하여 보내주신 제안은 추후 소비자의 불편사항을 개선할 수 있도록 검토하도록 하겠습니다.
라. 불채택 제안은 ‘광화문1번가’에서 다시 한 번 의견수렴 가능하며, 해당사이트 바로가기를 안내드립니다.
* 광화문1번가: https://www.gwanghwamoon1st.go.kr/front/propseTalk/propseTalkListPage.do

끝.",2022-04-06,세종특별자치시,답변완료
세종특별자치시,세종시 공공자전거 어울링의 무료화 추진 바랍니다.,"현황 및 문제점
세종시 공공자전거 시스템인 어울링은 세종시 곳곳에 거치대가 적절히 설치되어 있습니다. 어울링 어플을 통한 실시간 각 거치대의 자전거 대수를 파악 할 수 있는등 편의성도 높으며 자전거에 대한 시설관리도 잘되고 있는 편입니다. 하지만 이 자전거를 이용할때에는 1일 1000원의 이용료를 부담해야 하며, 1년 단위의 연회원은 30,000원, 반년은 20,000원 의 이용료를 부담해야 하는것으로 알고 있습니다. 정회원의 경우에도 1회 90분의 이용제한까지 있습니다. 공공자전거를 도입한 목적이 무엇입니까? 자전거 이용을 독려하고 이를 통해 자동차등 화석연료 사용으로 인한 매연발생을 줄이고, 교통체증을 줄이기 위한 방법으로 도입한것 아닌가요? 세종시가 건설된 행정중심복합도시의 교통망 취지가 무엇인가요? 대중교통과 자전거등을 활성화하기 위한것 아닌가요? 그런데도 세종시 공공자전거는 일반 사람의 인력으로 이용하는 일반자전거 임에도 이용료를 부담해야 하는 부분은 비합리적입니다.
개선방안
하지만 이웃 도시 대전에선 대전 공공자전거 타슈를 1시간 무료화를 올해부터 시행하고 있습니다. 경남 진주시는 1회 4시간까지 무료로 공공자전거 대여소를 구축하고 자전거도시를 표방하고 있습니다. 이렇게 각 지자체에서 환경과 시민건강을 위해 자전거를 일정시간 무료화하고 있는 실정입니다.

행정수도인 세종시에서 그 어떤 도시보다 더 친환경과 대중교통을 위한 도시건설이 되어 있는 곳에서 공공자전거를 무료화하여 자전거이용률을 높이고 도심내 교통체증및 대기오염을 줄여야 할것입니다.

기대효과
1. 쾌적한 도시환경을 구축할 수 있습니다.
2. 대기오염을 줄일 수 있습니다.
3. 행정수도에 걸 맞은 친환경 자전거 도시를 만들 수 있습니다.
4. 자전거 이용률 증대를 통한 시민들의 건강까지 챙길 수 있습니다.

무료화한 지자체가 없는것도 아니고 그 어떤 지자체보다 뛰어난 자연환경인 금강과 뛰어난 자전거도로구축이 되어 있는
세종시에서도 이런 좋은 친환경 공공자전거 무료화 정책이 시행되어야 하지 않을까요?",2022-03-16,"- 안녕하세요. 항상 시정에 관심을 가져주셔서 감사드리며,
귀하께서 제안하신 '세종시 공공자전거 어울링의 무료화 추진 바랍니다.'에 대해
아래와 같이 검토하여 부득이하게 불채택 되었음을 알려드립니다.

- 공영자전거 어울링 무료화는 운영관리에 필요한 예산 측면에서 당장 추진이 어려우며,
향후 대중교통 무료화 정책에 포함하여 추진할 사항으로 장기적 검토가 필요하다고 판단됩니다.

- 단, 1일권(1,000원)보다 저렴한 금액인 1회권 신설을 검토중에 있으며
이처럼 공영자전거 이용 시 비용 부담을 절감하기 위해 지속 노력하겠습니다.

- 귀하의 소중한 의견에 다시 한번 감사드리며,
답변과 관련하여 추가적으로 궁금하신 사항이 있다면 전화 (044-300-7924)로 문의하시기 바랍니다.",2022-04-12,세종특별자치시,답변완료
세종특별자치시,은하수공원 국가 참전유공자 묘역 조성,"현황 및 문제점

- 6월 보훈의 달을 계기로 국가 참전유공자에 대한 예우가 절실함.
- 고령의 국가 참전유공자가 대 다수임.



개선방안

- 국가 참전유공자 묘역 지정 운영 조례 제정.
- 은하수공원에 참전유공자 묘역 설치 운영.
- 잔디장이나 수목장으로 안장 후 시민공원으로 개방.
* 장례식장 이용과 화장비 지원, 묘역 시설물 설치 등.
기대효과

- 국가 참전유공자 묘역 시민공원으로 개방 애국심 고취.
:- 국가유공자 예우 및 유족의 자긍심.",2022-05-09,"국민제안(1AB-2205-0005665)에 대하여 아래와 같이 심사 결과를 통보하고자 합니다.


1. 시정 발전을 위한 귀하의 관심과 의견에 감사드립니다.

2. 귀하께서 제안하신 ""은하수공원 내 참전유공자 묘역 조성""에 대하여 답변드립니다.

3. 희생·공헌자에 대한 예우 차원에서 제안의 취지는 공감하는 바이나, 참전유공자 등을 위한 국립묘지가 지역별로 설치·운영되고 있고, 희생·공헌자에 대한 은하수공원(화장장, 봉안당) 사용료 감면을 시행 중인 점 등을 고려하여 금번 제안을 부득이하게 불채택 처리하오니 양해해 주시기 바랍니다.

4. 귀하의 제안에 다시 한 번 감사드리며, 추가 문의사항은 노인장애인과(☎044-300-3814)로 연락주시기 바랍니다. 감사합니다.

* 불채택 제안은 '광화문1번가'에서 다시 한번 의견수렴 가능하며, 해당사이트 바로가기를 안내드립니다.
https://www.gwanghwamoon1st.go.kr/front/propseTalk/propseTalkListPage.do


붙임 1. 국민제안신청서 1부.
2. 제안 실무심사표 1부.
3. 제안 채택 심사표 1부. 끝.",2022-06-10,세종특별자치시,답변완료
