제목,내용,작성일자,답변,답변일자,담당부서
도로위와 도로 바로옆 쓰레기 청소,"1번 붙임파일을 보면 건천IC를 통해 건천TG를 지나 천포삼거리에서 건포산업로 방향으로 갈때
빨간색으로 표기한 부분의 도로 위와 도로 바로옆에 너무 많은 쓰레기가 약 500m[빨간색의 길이]정도 곳곳에 있습니다.

2번 붙임파일을 보면 도리마을 은행나무숲에서 909번 지방국도를 타고서 904번지방국도를 만나는 지점사이에 도로
양옆으로 쓰레기가 도로옆편에 많이 있습니다. 빨간 화살표 시작과 끝 사이에 있는 909번 지방국도에 청소가 필요하다는 것입니다.",2021-11-01,"1. 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2111-0001074 / 2AA-2111-0049256)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 천포리 871-1번지와 천포리 758-1 도로변 불법투기된 쓰레기 수거'에 관한 것으로 판단됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 문의하신 사항에 대하여 현장 확인 후 미화원에게 전달하여 처리중입니다.

4. 답변내용에 대한 추가 설명이 필요한 경우 건천읍 행정복지센터 ☎054)779-8089로 연락주시면 친절히 안내해 드리겠습니다.

붙임 민원신청서 1부. 끝.
",2021-11-05,건천읍
농어촌 정비법 시행규칙 빈집신고제 적용의 건,"평소 민원업무에 감사드립니다
10월 14일 부로 시행예정인 농어촌 정비법 시행규칙의 빈집신고제가 시행되는걸로 알고 있습니다
관련 경주시에 민원을 제기하려면 어떻게 해야 하는지요~~
신고서식과 접수처를 일고저 합니다
일전에 전화로 문의하니 잘 모르시는것 같아 이렇게 보냅니다

(해당 빈집은 경주시 건천읍 금척고분길 21-6 지번의 폐가이며 폐가로 변한지 10여년이 지나서
완전 폐허가 되었고, 수목과 잡초로 수많은 새들과 벌레 뱀등이 나오고 있는 동네 가운데의 폐가입니다
조치가 많이 늦었지만 금번에 신고코저 합니다.)",2021-10-18,"1. 평소 시정 발전에 협조하여 주심에 감사드립니다.
2. 국민신문고(접수번호 : 1AA-2110-0734863)로 접수된 민원을 검토하고 다음과 같이 회신합니다.

○ 주택과
가. 우리시 건천읍 금척리 458-6번지상 소재지 건축물소유자에게 농어촌정비법 제65조(빈집에 대한 소유자등의 책무) 및 농어촌 정비법 제66조(자진 철거자에 대한 지원)에 의거 안내할 것임을 알려드립니다.
나. 신고 절차는 농어촌정비법 시행규칙 별지 제68호의4서식을 작성하시어 신고대상 건축물의 상태 및 주변에 피해를 끼치고 있는 현장 사진 등 신고대상 건축물이 특정빈집에 해당된다고 인정할 만한 사진 및 동영상 자료를 첨부하시어 해당 읍면동에 제출하여 주시기 바랍니다.
다. 특정빈집으로 판정이 될 경우에는 농어촌정비법 시행규칙 제43조의4에 의거 행정 지도 할 것임을 알려드립니다.
라. 이와 관련되거나 다른 문의사항이 있으시면 경주시청 주택과 건축행정팀 (054-760-2663)으로 전화주시면 성실히 답변 드리겠습니다. 감사합니다.

○ 건천읍(협조부서)
- 귀하의 민원내용은 우리시 건천읍 금척리 458-6번지 상에 존재하는 특정빈집 처리에 관한 내용으로서,
가. 상기 번지 상 존재하는 빈집에 대하여 농어촌정비법 제65조의3(특정빈집에 대한 신고 및 확인 · 조사)의거 하여 농어촌정비법 시행규칙 별지 제68호의4서식을 작성 하시어 신고대상 건축물의 상태 및 주변에 피해를 끼치고 있는 현장 사진 등 신고 대상 건축물이 특정빈집에 해당된다고 인정할 만한 사진 및 동영상 자료를 첨부 하시어 건천읍사무소에 제출하여 주시기 바라며,
나. 접수된 특정빈집 신고에 대하여는 조사계획 수립, 조사계획 공고, 일반조사, 출입통지, 상세조사, 건축위원회 심의, 소유자에게 통지와 같은 행정절차를 거쳐 처리될 예정임을 알려드립니다.
다. 기타 궁금한 사항이 있으시면 건천읍 건설팀(054-779-8104)로 연락주시면 상세히 답변해 드리겠습니다. 끝.
",2021-11-02,주택과
먼지털이기를 설치해 주세요,"등산을 하는 시민들을 위하여

동대교와 동대병원이 연결되는 지점에

먼지털이기를 설치해 주세요",2021-10-17,"1. 안녕하십니까. 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2110-0693786)에 대하여 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 '송화산등산로(동국대학교 경주병원 방면) 흙먼지털이기 설치'에 관한 것으로 이해(또는 판단)됩니다.
3. 귀하의 요청 사항에 대한 검토 의견은 다음과 같습니다.
가. 해당 등산로 입구에 흙먼지털이기 설치 가능 여부를 검토하여 설치 가능할 경우 조치하도록 하겠습니다.
나. 통상적인 등산로 흙먼지털이기 설치 시 예산 확보 및 부지 선정(전기 이입 가능 여부, 토지소유자 동의 등)에 상당 시일이 소요되며, 또한 해당 등산로는 국립공원구역으로 국립공원공단 협의 등의 절차가 필요한 사항입니다.
다. 상기 추진 과정에서 관련 협의가 어렵거나 설치 장소에 부적합할 것으로 판단될 경우 대상지에서 배제될 수 있음을 참고하여 주시기 바랍니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 산림경영과 김민호 주무관(☎054-779-6350)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-11-03,산림경영과
신라문화재를 위한 봉황대 일대 조형물과 황남동고분군에 설치한 조형물에 관한 의견,"경주라는 도시에 관광객들이 지금 설치 되어 있는 조형물을 보러 온다고는 생각하지 않습니다.

경주는 비어 있는 것 자체로 매력적이고, 쉼과 휴식, 힐리의 이미지가 강한 도시에서
저런 조형물들이 설치되어 관광객이나 시민들의 쉼을 방해하고 있다는 생각을 합니다.

개인적인 생각이 아니라 많은 경주시민과 관광객의 의견을 모아 말씀드립니다.

증거가 필요하다면 많은 사람들의 의견을 받아 자료로 제출 해드리겠습니다.
그리고 예술 작품의 설치 장소도 중요하다고 생각되는데.. 봉황대 앞에 설치된 조명 첨성대는 예술적으로는 좋은 작품이나
설치된 위치 때문에 많은 이들에게 미움을 사는 것 같습니다.

충분히 고려해서 반영해주시길 바랍니다.",2021-10-14,"1. 평소 시정업무에 많은 관심을 가져 주신 점 깊이 감사드립니다.
2. 귀하께서 건의해 주신 봉황대 앞에 설치된 조형물과 관련하여 답변을 드리겠습니다.
가. 이번에 설치된 첨성대 모형의 조형물은 매년 경주시에서 개최하는 신라문화제 일환으로 추진된 사업으로 주요 목적은 시민과 관광객에게 새로운 볼거리를 제공하는 목적과 경주 중심상가의 활력을 부여하기 위하여 황리단길에 방문하는 방문객의 시내 유입을 위한 목적 등이 있습니다.
나. 하지만, 귀하께서 건의하신 내용처럼 위치적인 면에서 경주시 또한 많은 아쉬움이 남습니다. 봉황대 일원이 문화재보호법에 따라 문화재청에 현상변경을 받고 진행되는 사항으로 잔디 위로는 설치가 불가하고 보도블럭 위에만 가능하다하여 부득히 위치를 정해 설치를 하였습니다. 처음 시도하는 도전이라 부족한 부분이 많은 줄 알고 큰 이해 부탁드립니다.
다. 참고로 위 조형물은 장기간 지속적으로 설치하는 구조물이 아닌 10월 27일 정도에 철거 할 예정입니다. 다시 한 번 경주를 사랑하는 마음에 감사드리며, 많은 이해 부탁드립니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 기타 궁금한 사항이 있는 경우 문화예술과(☏779-6073)로 문의하여 주시면 친절히 답변 드리겠습니다. 감사합니다.

붙임 민원신청서 1부. 끝.
",2021-10-19,문화예술과
내남사거리에 새로 깔고 있는 보도 블럭에 대해,"정말 궁금해서 물어보는데요, 멀쩡한 보도블럭은 왜 매번 갈아 엎는 건가요?",2021-10-14,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2110-0602153)에 대해 알려드립니다.

2. 귀하의 민원내용은 보도블럭 교체공사의 문의로 이해되며 현재 내남사거리쪽에서 진행되고 있는 사업은 경상북도 공모사업으로 관광객 및 시민분들의 통행이 많은 곳인 태종로 일원(고속버스터미널~황리단길 입구. 양방 보도)에 낡고 퇴색된 보도블럭과 보행에 방해되는 요소들은 제거 및 개선하여 보행환경개선 및 도시미관을 향상하는 사업입니다.

3. 우리과에서는 보행환경과 도시경관,미관을 담당하는 부서로써 매번 교체공사를 시행하는 부서는 아니며, 필요한 특정지역에만 사업을 진행하고 있습니다. 이 점 이해해주시기 바라며,시민의 안전을 생각하여 앞으로는 통행에 불편함이 없도록 안전요원과 위험표시를 명확히 하여 통해에 불편함이 없도록 최대한 행정조치가 이루어질 수 있도록 노력하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 경주시청 도시계획과 도시디자인팀(054-779-6436)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-10-15,도시계획과
경주시 양정로 102 ~ 106번지 앞 도로 보수 공사 요청의 건,"수고 많으십니다.
위 주소지의 도로 보수공사에 대하여 7월경 문화재청 문화재 보존방안심의 안건 심의 후 포장 예정이라고 답변을 받았었는데 현 9월 말까지 아무 진척 상황이 없어 재 보수 공사를 요청 드리오니 확인 후 조치 부탁드립니다.
감사합니다.",2021-09-29,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2109-2906960)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하께서 신청하신 민원 ""양정로 102 ~ 106 앞 도로 보수 요청""건에 대해서는,현재 업체가 선정되어 10월에 착공하여 빠른 시일 내에 도로 보수 공사를 완료하도록 하겠습니다.
3. 답변에 의문사항이나 조치에 부족한 점이 있을 시 경주시청 도로과 도로시설1팀(☏779-6446)으로 연락주시면 친절히 안내해 드리겠습니다. 끝.
",2021-10-08,도로과
"밤,낮,새벽 동안 자지러지게 우는 아이와 번호판 없는 오토바이를 타고 다니는 베트남 부부","경주 노서동 우일식당 (경주시 노서동 173-17) 건물 2층에 사는 외국인 부부와 2~3살 정도 되는 남자 아이가 있는데
아이가 아침, 낮, 저녁, 밤, 새벽 할 거 없이 소리를 지르며 우는 날이 벌써 반년이 되었습니다.
'아이라서 이해를 해야지, 우는 걸 어떡하나' 이 마음으로 저 포함 인근 주민들이 잠을 못 자도, 이해를 했습니다.
그러나 반 년을 잠도 못 자고, 재택근무에 영향을 받게 되면서 큰 스트레스로 다가왔고 더욱 더 신경이 쓰이는건
아이가 자지러지게 울고, 소리를 지르며 울어도 '왜 저렇게 방치를 할까' 라는 생각이 들 정도로
아이의 부모는 신경을 안 쓰는 것입니다.
소리지르며 우는 소리가 약 20분 정도 되는데 이걸 하루에도 몇 번씩이나 듣게 되니 정신적으로 너무 힘듭니다.
예전에 조용히 해달라고 이야기를 했으나, 전혀 소용이 없습니다.
그리고 번호판이 없는 오토바이를 타고 다닙니다.
낮에는 이 오토바이를 타고 일을 나가는지 안 보이고, 아침과 오후 5시쯤에 타고 다니는 것을 매일 봅니다.",2021-09-13,"1. 항상 시행정에 관심을 가져 주셔서 감사드립니다.
2. 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2109-1792509)에 대하여 현지 방문한 결과 외국인 부부와 자녀가 거주중 이었는데 활발한 아이여서 밖에 나가자고 우는 날이 있다고 합니다. 오랜 기간 아이 우는 소리를 이해하고 기다려준 주변 주민들의 불편함을 전달하고 아이 양육에 있어 더욱 신경 써 줄 것을 요청하였습니다.
3. 번호판 없이 타는 오토바이는 등록 후 사용하도록 계도하였습니다.
4. 그 밖에 문의사항이 있으시면 중부동행정복지센터(054-779-8329)로 문의하여 주시면 성실하게 답변 드리도록 하겠습니다.

붙임 1. 민원신청서.
",2021-09-23,중부동
공무원 개인정보보호위반,"9월11일 토요일 성건동 주민센터에서 재난특별지원금을 받으러 갔었습니다.
그날 제 신분증을 받고 등록하려는 공무원분이 , 다른 외국인분에게 제 신분증을 대놓고 보여주시면서
신분증의 예를 보여주시더라구요.
엄연히 주민등록번호와 제 이름과 제주소등 저의 개인정보가 적나라하게 드러나 있음에도 불구하고
개인정보는 지켜주지 못할 망정 제 신분증을 흔들면서 보여주는 것에 대해 굉장히 불쾌했습니다.
제가 손으로 저지하였더니 그제서야 미안하다고 한마디하셨습니다.
제 입장에서는 그래도 아주 많이 기분이 나빴구요 시민의 모범이 되어야할 공무원분들이
시민의 개인정보를 이렇게 아무거리낌 없이 막 보여줘도 되는건가 싶었습니다.
다시한번 개인정보에 대한 관리를 좀 철저하게 생각하시면서 일하셨으면 좋겠습니다.",2021-09-13,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AA-2109-1691828)에 대한 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 귀하의 개인정보를 타인에게 노출한 것에 대한 불쾌감으로
생각됩니다.
3. 지난 9월 11일 경주시민 코로나 특별지원금을 신청하기 위해 성건동행정복지센터를 방문하셨을 때, 외국인에게 주민등록증을 설명하기 위해 급한 마음에 귀하의 동의 없이 귀하의 신분증을 예를 들어 보인 점에 대해
매우 죄송스럽게 생각하며, 앞으로는 개인정보에 대한 관리를 철저히 하여 같은 일이 반복되지 않도록 하겠습니다.
3. 한번 더 불쾌감을 드려 죄송하며, 귀하의 민원에 만족스런 답변이 되었기를 바랍니다.
4. 추가 답변이나 다른 문의 사항이 있으시면 054-779-8369로 연락주시기 바랍니다. 감사합니다. 끝.
",2021-09-17,성건동
경주시청 재난지원금 수령 (선불카드 발급),"율동에 주소등록이 된 사람의 경우는 어디서 선불카드를 발급 받나요? 재난지원금은 선불카드로 발급 받는 것으로 알고 있습니다.

중부동 주민센터에서 발급 받나요, 아니면 황남동 주민센터에서 발급 받나요?",2021-09-04,"‘경주시민 코로나 특별지원금 지급’과 관련된 단순 민원사항에 대하여 민원인에게 안내 후 취하의사를 전달받아 취하처리하고 자체 종결함. 끝.
",2021-09-06,시정새마을과
시래동 공용 전기차 충전소 확충,"안녕하세요
시래동에 공용 전기차충전 인프라가 전무하여, 불국동주민센터를 이용하는데 도보로 30분이상 걸립니다.
근처 동네들(진현동, 불국동)은 공용 충전기가 있는데, 시래동은 아무곳에도 설치가 되있지 않습니다.
시래동엔 직장인들이 많이 거주하며, 전기차가 심심찮게 보이기도 합니다!

불국중학교 주변 도로나 곳곳에 있는 공원 옆길에 규모가 작은 완속충전기가 설치되면 좋겠습니다.
불국중 윗쪽길이 제일 좋은 것 같은데, 여러가지 요건이 고려되어야할 것으로 보여서
시청 담당부서의 판단에 따라 시래동내에 한군데라도 확충이 되면 좋을 것 같습니다.

""불국중 윗길은 불가능합니다""와 같은 단편적인 답변은 지양해주시기 바랍니다.
감사합니다.",2021-09-01,"국민신문고 민원2AA-2109-0035108호로 접수된 민원에 대하여 아래와 같이 회신하고자 합니다.
■ 회신내역
1. 평소 시정발전과 환경보전에 관심을 가져 주셔서 감사드립니다.
2. 귀하께서 2021.9.1일자 국민신문고로 문의하신 관내(시래동) 전기차 충전소 확충 요청건과 관련하여 귀하께서 건의하신 불국중학교 주변도로 및 공원옆길에 충전소를 설치함에 있어서는 교통의 방해 및 사고 유발의 위험이 있어 설치가 불가능할 것으로 판단됩니다.
3. 다만, 현재 시래동 내의 전기차 충전소 및 인근지역 전기차 충전소 현황을 붙임과 같이 알려 드리오니, 귀하의 전기차 충전시 참고하시길 바랍니다.
4. 기타 문의사항은 환경과(054-779-6383)로 연락주시기 바랍니다.

붙임 1. 민원신청서 1부.
2. 국민신문고(시래동 전기차 충전소 현황). 끝.
",2021-09-10,환경과
