제목,내용,작성일자,답변,답변일자,담당부서
오수 유입으로 인한 악취가 너무심합니다,능평리338-3번지에서 나오는 오수로인하여 저희빌라에 벌래와 악취가 너무심해서 생활에 많은불편이따릅니다 민원 제기한지가 약 2개월이 다되어가는데 별다른 조치가 안되고있어 다시한번 민원신청합니다,2021-12-04,"1. 귀하의 가정에 건강과 행복이 가득하시기를 기원합니다.
2. 귀하께서 국민신문고 접수번호 2AA-2112-0138006(2021.12.6.)호로 접수하신 “오포읍 능평리 338-37번지 오수 역류건”에 대한 답변은 아래와 같습니다.

□ 민원 답변
- 해당 능평리 338-37번지 건물 소유주에 행정조치가 진행중인 사항임을 알려드립니다.

3. 상기 사항에 대해 궁금하신 점이 있으신 경우, 광주시 상하수도사업소 하수과 관로정비팀 주무관 임승혁(☎031-760-5648)로 문의주시면 자세히 안내해 드리겠습니다. 끝.
",2021-12-10,하수과
경기도 광주 uam도입이 필요 합니다.,"안녕하세요.
경기도 광주에 6년 정도 거주 중인 광주인입니다.
광주에 살면서 큰 불편함은 느끼지 못하지만...
큰 불편함이 있다면 바로 교통입니다.
차가 막히지 않으면 서울까지 40분이 안되는 시간에 출근이 가능합니다만...
차가 막히는 러시아워 때 출근을 하면 한 시간 30분이라는 시간이 소요됩니다.
지하철이 가까이 있으면 지하철을 타고 가겠지만... 지하철 이용도 하기에도 거리가 멉니다.
그러다 보니 다들 자차로 출퇴근을 하니 교통량이 많아지고, 차가 엄청 막히죠.
심지어 이번 년 1월 폭설에는 퇴근하고 집에 들어 기지도 못했습니다.
그렇다고 지하철역을 더 늘리기에는 현실적으로 부족한 것도 압니다.
광주시에 교통을 해결할 수 있는 방법이 현재 많은 기업이 투자할 수 있는 uam이 방법이 될 수 있다고 생각을 해봤습니다.
http://www.automotivereport.co.kr/news/articleView.html?idxno=2533
교통지옥인 경기도 광주시에서 에어택시를 이용하면 도로 확충을 위한 공사도 필요 없고, 버티 포트만 지원이 된다면
교통 문제는 어느 정도 해결 가능할 것이라 생각합니다.
그리고 초기에 선점 가능하다면 교통혁신 도시로 이미지를 변화할 수 있다고 생각합니다.
아마 빠른시일내에 현실화는 어렵겠지만 지하철역 유치를 위해 역을 하나더 만들고, 도로를 넓히는 방법보다 uam이 더 현실적인것 같습니다.
게다가 전기배터리를 사용하기 때문에, 매연을 뿜지 않을 것이며, 소리도 엄청 조용합니다.(헬리콥터라고 생각하시면 안됩니다.)
벌써 인천과 세종시는 이에 대한 투자를 하고 있는데.
경기도 광주시도 다른 도시와 함께, 하루라도 빨리 uam 유치를 위한 방안을 생각해 보는 것이 어떻지
조심스레 저의 의견을 이야기해 봅니다.",2021-12-03,"1. 귀하의 가정에 행운이 가득하시길 기원합니다.
2. 국민신문고로 건의하신 `도심형 항공 모빌리티 도입`에 대하여 다음과 같이 답변드립니다.
가. 귀하께서 건의하신 UAM(도심형 항공 모빌리티)는 전기동력·저소음 항공기와 수직이착륙장을 기반으로 도심 환경에서 사람과 화물을 안전하고 편리하게 운송하는 차세대 첨단교통체계로 이해됩니다.
나. 현재 UAM 등 드론산업육성을 위해 정부에서는 드론 특별자유화구역을 지정하고 실증사업을 추진 중에 있으며, 2025년 목표로 법안 제정 등을 준비 중에 있습니다.
다. 따라서, 우리시 도시여건 등을 종합적으로 감안할 때 UAM 도입은 적극 추진되어야 할 것으로 사료됨으로 기술 개발 및 법안 제정 등 관련 동향을 지속적으로 파악할 예정이며, UAM 실증사업 추진여건이 되는 경우 관련부서와 협력하여 적극 참여할 수 있도록 노력하겠습니다.
라. 귀하의 고견에 감사드리며 광주시민의 교통편의증진을 위하여 지속적으로 노력토록 하겠습니다. 감사합니다.
3. 답변내용에 대하여 추가 설명이 필요한 경우 택시화물팀 김재흥(☏031-760-8786)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-09,대중교통과
광주 11번 버스 노선 문의,"안녕하세요. 광주 11번 버스가 12월부터 운행한다고 봤습니다.

노선표를 보니 탄벌2통마을회관, 우림아파트가 있는데

네이버에 검색해보니 위 정류장이 안나옵니다.
[탄벌동행정복지센터-한벌빌딩-행복한어린이집-한벌빌딩-탄벌동행정복지센터] 이렇게만 나옵니다.

카카오버스 앱에서도 확인이 안되구요. 집에서 꽤 나와야하는 거리인데 추운데 어플로도 네이버로도 확인이 안되니 너무불편합니다.
심지어 배차간격이 100분인 버스인데 앞에서 하염없이 기다리기에 너무 힘듭니다.

이웃주민들도 이용하고 싶은데 정확한 정보가 없어 어려움에 이용이 많습니다.",2021-12-03,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2112-0081161)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “버스승강장 등록 요청”에 관한 것으로 판단 됩니다.
3. 귀하의 건의사항에 대해 검토한 의견은 다음과 같습니다.
가. 버스승강장 이용에 불편을 드려 대단히 죄송합니다.
나. 탄벌동 709번지 일원 탄벌2통마을회관.우림아파트 버스승강장 등록 요청 사항에 대하여, 빠른 시일 내 등록 완료하여 이용시 불편함이 없도록 하겠습니다.
다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 대중교통팀 이동규 주무관(☏031-760-8793)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-09,대중교통과
경안대우아파트 공중파 수신 불가로 불편해요,"안녕하세요,

경안대우아파트에 살고 있습니다.
단지내 공청설비 -벽면에 설치되어 있는 안테나 단자- 를 통해 공중파가 일부채널만 나오고 있습니다.
KBS2, SBS를 제외한 모든 채널이 수신되지 않고 있고,
아파트 관리사무소에 연락해도 수 개월째 고쳐지지 않아 민원을 넣게 되었습니다.

방송공동수신설비의 설치기준에 관한 고시 (아래 링크) 3조의 2, ""방송 공동 수신설비의 설치"" 부분이
미흡한지 점검해 주시고 행정 조치해 부탁드리겠습니다.

감사합니다.

https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EB%B0%A9%EC%86%A1%EA%B3%B5%EB%8F%99%EC%88%98%EC%8B%A0%EC%84%A4%EB%B9%84%EC%9D%98%EC%84%A4%EC%B9%98%EA%B8%B0%EC%A4%80%EC%97%90%EA%B4%80%ED%95%9C%EA%B3%A0%EC%8B%9C",2021-12-03,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원사항은 ""경안대우 아파트 단지 내 공중파 채널 미수신"" 에 관한 것으로 판단됩니다.
3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
- 공동주택관리법 제63조 규정에 의거 공동주택의 공용부분의 유지ㆍ보수 및 안전관리는 관리주체의 업무로, 귀하의 민원사항에 대하여 귀 공동주택 관리주체에 확인한 결과 해당 사항과 관련하여 공청설비 설치 업체에서 현장 확인 후 처리할 예정이라는 답변을 받았으며 향후 처리 계획에 대하여는 관리사무소에서 확인하실 수 있음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 경기도 광주시 주택정책과(☏031-760-8747)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-08,주택정책과
광주11번 버스 노선관련 문의,"안녕하세요
12월1일부터 광주11번 버스 노선이 새로 생겼는데 불편함이 있어 문의 드립니다.

광주시 홈페이지와 광주도시관리공사 홈페이지의 노선도 안내를 보면
""탄벌2통마을회관.우림아파트""의 정류장이 안내되어 있는데
네이버지도표함 어플리케이션 ""경기버스정보"" , ""카카오버스"" 모두 확인 결과 ""탄벌2통마을회관.우림아파트"" 정류장이 누락되서 있습니다.

광주도시관리공사에 문의해보니 버스정류장이 설치가 안되어 있어서 불편하시겠지만 어플리케이션에 정류장 표시가 안되고 있으며
버스기사님에서 말씀해놨으니 타시려는분 있으면 태우라고 전달해놨다는데요. 무슨 일처리가 이런지요?
정류장이 어디인지 알아서 버스를 탑승하죠..
언제 정류장이 설치되냐 재차 문의했지만 그부분은 광주시 소관이라 말씀 드리기 어렵다는 답변을 받았습니다.

하여 광주시에 문의드립니다. ""탄벌2통마을회관.우림아파트"" 정류장 표지판은 언제 설치되는지요?",2021-12-01,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2112-0023853)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “버스승강장 등록 요청”에 관한 것으로 판단 됩니다.
3. 귀하의 건의사항에 대해 검토한 의견은 다음과 같습니다.
가. 버스승강장 이용에 불편을 드려 대단히 죄송합니다.
나. 탄벌동 709번지 일원 탄벌2통마을회관.우림아파트 버스승강장 등록 요청 사항에 대하여, 빠른 시일 내 등록 완료하여 이용시 불편함이 없도록 하겠습니다.
다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 대중교통팀 이동규 주무관(☏031-760-8793)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-13,대중교통과
나무를 베어버린 것 이상으로 식재하는 정책이 필요합니다.,"도시를 만든다는 건 자연을 훼손할 수 밖에 없다는 뜻이 되기도 합니다.
그렇지만 훼손된 자연으로 인해 손해를 보는 건 모든 사람들입니다.
길을 넓히고, 건물을 짓는 등의 각종 공사가 이루어질 때,
가로수를 포함하여 많은 나무가 잘려나가고 뽑혀집니다.
어쩔 수 없는 과정이라 해도,
그 나무들을 대체할 수 있는 방법을 법이나 정책으로 마련해야 한다고 봅니다.
예를 들어 훼손한 나무가 10그루라면 20그루 이상 반드시 식재하는 것 등입니다.
나무가 늘어나는 광주시가 되기를 간절히 희망합니다.",2021-12-01,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2112-0016952)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원(질의) 내용은 ‘자연 훼손에 대처하는 나무심기 정책 마련’에 관한 것으로 이해됩니다.

3. 귀하의 민원(질의) 사항에 대해 검토한 업무 내용에 대한 설명은 다음과 같습니다.
- 우리시에서는 매년 조림사업 및 숲가꾸기사업을 통하여 지속가능한 산림자원 조성 및 육성에 기여하고, 나무심기 행사를 통하여 나무심기의 효과 및 중요성 등을 홍보하고 있습니다.
- 앞으로도 광주시 산림의 경제적·공익적 가치 증진 및 저탄소 녹색 성장의 기반 마련을 위한 나무심기 확대를 위하여 최선을 다하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 산림과 조다운주무관(☏031-760-4874)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-09,산림과
광주시장님께 바랍니다.,"안녕하세요
신동헌 광주시장님께 바랍니다.
공영주차요금 감면 대상에 보훈보상 대상자 추가를 검토부탁드립니다.
코로나로 어려운데 22년도에는 주차 감면 받으면 좋겠습니다.",2021-12-01,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2112-0009465)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ‘보훈보상대상자 공영주차장 주차요금 감면 요청’에 관한 것으로 이해됩니다.

3. 공영주차장 주차요금 감면대상자 추가는 조례개정을 필요로 하는 사항으로, 보훈보호대상자의 감면대상자 추가를 검토하도록 하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요할 경우 광주시청 교통행정과 주차관리팀 이용석 주무관(031-760-2102)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-03,교통행정과
빌라단지내 지정도로를 시에서 매입해 주세요,"안녕하세요. 회덕동 190번지 중앙타운 빌라에 거주중인 주민입니다.
저희 빌라가 ㄷ 자 모양으로 단지가 형성되어 있어 가운데 공터(?) 같은 부분이 있는데요. 그 가운데 땅을 누가 경매로 사서 저희한테 내용증명을 보냈습니다. 다니려면 돈을 내라는거죠...
그런데 확인을 해보니 그 가운데 토지 부분이 도로로 명시되어 있는데 이런 도로를 개인이 소유해서 이렇게 사용료청구 같은걸 하는게 말이 되나요?
처음 이 빌라단지 건축시에 인허가 사항의 사전 검토시 진입도로 확보 여부를 제대로 확인하고 적법한 행정절차를 거친건지, 부적격한 인허가 사항이 아니었는지 정중히 확인 요청 드립니다.
이에, 본 토지의 경우 지목이 도로이므로 사적 목적 보다는 공직적인 목적에 더 부합하는바 소관청에 매수청구를 신청합니다.",2021-12-01,"1. 귀 가정의 건강과 행복을 기원합니다. 귀하께서 국민신문고에 신청하신 민원(1AA-2112-0003535)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “공동주택(다세대주택) 진입도로(회덕동 187-9번지 등) 관련 법적 검토 및 도로부지 매입 요청""에 관한 것으로 이해됩니다.
3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.

《건축과 소관》
- 회덕동 190번지 등 건축물[공동주택(다세대주택)] 및 도로의 경우 「건축법」등 관련 법령에 따라 적합하게 설계·시공된 건축물로 관계 법령 상 저촉없음을 알려드립니다.
- 또한, 인근 도로부지의 경우 건축허가 시 「건축법」제2조 및 제45조에 따라 지정·공고되어 관련법에 따라 보행과 자동차 통행이 가능한 도로이나, 도로부지 매입의 경우 「건축법」상 별도의 규정되어 있지 않은 사항으로 관련 법 상 해당 없음을 알려드립니다.

《도시개발과 소관》
- 귀하의 민원내용은 “회덕동 189-7번지 일원 개발행위허가 관련 법적 검토 및 도로부지 매입 요청”에 대한 것으로 이해되며,
- 회덕동 189-7번지 일원 허가사항[비도시 허가 2013-538호(2021.7.26.)]은 「국토의 계획 및 이용에 관한 법률」 및 「광주시 도시계획 조례」에 따라 적법하게 허가된 사항이며, 도로부지 매입의 경우 상기 법 상 별도의 규정되어 있지 않은 사항으로 해당 없음을 알려드립니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 건축과 건축2팀 신동진 주무관 (☎031-760-8634) 도시개발과 김용훈(☎031-760-4602)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-12-16,건축과
광역버스,경기광주고산리태전동잠실역광역버스언제개통하나요,2021-11-30,"1. 코로나 19 대응에 힘써주시는 귀하의 노고에 감사드립니다.
2. 귀하께서 국민신문고에 신청하신 민원(1AA-2111-0942607)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 민원내용
- 고산지구~잠실역 광역버스 개통 시기 문의

○ 회신내용
- 현재 국토교통부 대도시권광역교통위원회에서 사업자 모집 공고 및 선정 중으로 개통시기에 대하여 통보된바 없음을 알려드리며, 우리 시에서는 2022년 상반기로 예상하고 있습니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 이은정 주무관(☏031-760-8788)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
끝.
",2021-12-17,대중교통과
가로등,"이전 유선으로 신청했었는데 이직 조치가없어 글로 드립니다.
가로등이 깜빡임이 심합니다.
조치 부탁 드립니다.",2021-11-26,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2111-0833996)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""능평로 30번길 58 일원 보안등 보수 요청""에 관한 것으로 판단되며, 귀하의 질의사항에 대하여 검토한 의견은 다음과 같습니다.
가. 해당 보안등에 대하여 현장 점검 후 2021.12.6.일 보수 조치 완료하였음을 알려드립니다.

3. 귀하의 문의에 대하여 만족스러운 답변이 되었기를 바라며, 그 밖의 궁금하신 사항은 광주시청 도로관리과 시설정비팀 이경미(☎031-760-2943)에게 연락주시면 성심성의껏 답변 드리겠습니다. 끝.
",2021-12-07,도로관리과
