제목,내용,작성일자,답변,답변일자,담당부서
협소한 인도로 인한 불편사항 개선 촉구,"신현1리 오포테라스2단지 주민입니다.
광명초앞에서 집까지 자주 도보로 이동하는데 오른쪽 인도가 너무 협소하여 불편합니다. 혼자서 걸어가기에도 몸집이 좀 있는 사람은 난간에 간섭될정도로 협소합니다.
교행은 아예 불가하여 한사람이 옆으로 비켜 서있어야 지날수 있습니다.
제발 넓혀주세요",2021-11-03,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 : 1AA-2111-0085997)[신현2지구 보도 폭 협소에 따른 정비 요청] 건과 관련하여 아래와 같이 답변드립니다.

○ 먼저 신현2지구 내 보도 폭 협소로 통행에 불편을 드린 점 양해의 말씀 드립니다.
○ 해당 도로는 “신현2지구 지구단위계획” 구역 내 공동주택건설사업과 함께 해당 사업시행자가 「국토의 계획 및 이용에 관한 법률」 제88조에 따라 실시계획인가를 득하여 공사 시행 및 관리하고 있는 미준공된 도로 구간으로,
○ 접수하신 민원사항을 포함하여 해당 구간 내 도로 정비를 조속히 완료할 것을 사업시행자에게 통보하였으며 사업 준공 전 현장점검을 통해 시설 정비 완료 여부를 확인할 예정이오니 다소 불편하시더라도 널리 양해하여 주시기 바랍니다.

2. 귀하의 민원에 충분한 답변이 되었기를 바라며, 기타 문의사항은 도시개발과 도시행정팀 전건희 주무관(031-760-4587)에게 전화주시면 친절히 답변드리겠습니다. 감사합니다. 끝.
",2021-11-09,도시개발과
가로등과 신호등 설치,안녕하세요? 저는 대중교통을 이용해 서울로 출퇴근하는 사람입니다. 그런데 오가는 길에 가로등이 없어 상당히 불편하고 안전에도 위협을 받고 있습니다. 현재 1개의 가로등이 있으나 나무에 가려져 제 기능을 상실한지 오래입니다. 또한 마을입구에 신호등이 없어 접촉사고가 발생한 것도 목격했습니다. 사진 첨부하오니 확인하시고 신속한 답변 부탁드립니다.,2021-11-03,"1. 안녕하십니까? 귀하께서 국민신문에 신청하신 민원(신청번호/1AA-2111-0080341)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ""신호등 및 보안등 신설""에 관한 것으로 판단됩니다.

3. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 신호등 설치 요청건은 광주경찰서 교통안전시설심의위원회 심의사항으로, 심의 안건으로 상정해줄 것을 요청하는 공문을 경찰서에 발송하여 심의 결과에 따라 조치할 계획입니다.

나. 가로(보안)등 설치는 현재 마을안길에는 전주부착형으로 설치를 하고 있으며, 주변 현장을 확인하여 가로등 설치하여 야간 통행 시 불편함이 없도록 조치하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 도로관리과 이현규 주무관(☎031-760-2173)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-11-22,도로관리과
탄천 자전거도로 및 보행자도로 파손,"송정동 96-16번지 건너편 일대 탄천변 자전거도로 및 보행자도로에 파손 및 돌출로 인해 사고위험이 매우 높습니다
특히 야간에는 더욱더 보이지 않아 자전거, 퀵보드등 속도를 올릴수 있는 이동기구는 더욱더 큰 사고 우려가 있습니다

저도 야간에 운동삼아 뛰다가 넘어져서 상처가 크게 남았는데
어르신들은 걸려 넘어지면 골절상 뿐만 아니라 더큰 사고로 이어질수 있습니다

첨부파일 사진 참고하시어 빠른 시일내에 조치를 취해주시기 바랍니다
더 자세한 사항을 알고 싶으시거나 궁금한사항 있으시면 전화주세요~ 답변해드리겠습니다

또한 심한 통증으로 병원 치료중인데 어디에 하소연을 해야하나요?
치료를 받고 있는데 아무리 생각해도 억울하네요~ㅠㅠ",2021-11-02,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2111-0063771)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ""송정동 96-16번지(목현천) 일원 자전거도로 보수 및 안전사고 발생에 따른 사후조치 요청""에 관한 것으로 이해(또는 판단)됩니다.
3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
가. ""송정동 96-16번지(목현천) 일원 자전거도로 보수 및 안전사고 발생에 따른 사후조치 요청"" 건에 대하여 우선 자전거도로 이용에 불편을 드린 점 죄송하다는 말씀을 드립니다. 우리 시는 영조물 배상 공제에 가입되어 있어 안전사고 배상 조치가 가능하며, 사고 부위 회복 때까지 치료받으신 후 진단서 및 사진(사고 현장, 부상 정도 등)을 이메일(peh12@korea.kr)로 발송하여 주시면 공제회에 접수 예정이오니 이점 널리 이해하여 주시기 바랍니다.
나. 아울러 안전사고 발생 지점인 해당 자전거도로는 2021. 11. 05. 보수 완료되었음을 알려드립니다.
4. 귀하께 발생한 안전사고에 대해 다시 한번 위로의 말씀 드리며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 건설과 박은화 주무관(☏031-760-2562)에게 연락해주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
",2021-11-08,건설과
시내 도로 보도 설치,"비록 구도심이지만 현재 경기광주의 중심은 경안동이라는 점은 누구나 동의합니다.
그런데 중심가인데 보도가 없어서 차와 사람이 같이 걸어다니는 길이 있습니다.
너무나도 위험하고 외지 사람이 왔을 때 부끄러울 정도로 조치가 빨리 되었으면 하는 곳이 있습니다.

금호리첸시아 101동 앞에서 식자재 마트를 지나서 중심가까지 사람이 지나갈 수 있는 보도가 없습니다.
양쪽에 보도를 만들기 어렵더라도 최소한 한 군데는 만들어야 합니다.

초중고생들도 많이 다니는데 보도가 없어서 차와 뒤섞에서 다니고 있습니다.
위험천만합니다.
사람이 적게 다니는 곳도 아니고 그렇게 많이 다는데 보도가 없다는건 문제가 있습니다.

또한 금호리첸시아 에서 광주 중앙고 까지 가는 길도 보도가 없습니다.

사람이 다닐 수 있는 보도를 만들어주세요.
너무 위험합니다.",2021-10-31,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(1AA-2110-1313654)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 “역동 19-2번지 일원 보도설치”에 관한 것으로 이해(또는 판단) 되며, 질의사항에 대해 검토한 의견은 다음과 같습니다.
가. 그간 차량 통행 위주의 도로환경에서 보행자 안전을 위한 통행 개편 필요성이 대두됨에 따라 우리시에서는 지역 주민의 안전한 보행환경 확보(개선)의 요구에 부합하기 위해 적극적인 보도설치사업을 추진하고 있습니다.
나. 귀하의 민원대상지 역동 19-2번지 일원 보행환경 개선을 위한 보도설치를 검토한 결과, 보도설치 구간 협소 및 시 재정여건(예산확보 가능 여부)에 따른 관내 보도설치사업 우선순위 등을 종합적으로 검토하여야 하는 사항임에 따라 단기간 내 어려움이 있음을 알려드리오니 이점 양해하여 주시기 바랍니다.
다. 향후 우리시 보행환경 개선사업 예산을 감안하여 연간계획을 수립할 예정으로써 차후 사업대상지 선정시 건의하여 주신 대상지에 대하여 보다 유념하여 안전하고 편리한 보행환경을 조성하도록 지속 노력하겠습니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 도로보수팀 김기환(☏031-760-4496)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-11-08,도로관리과
삼동 시냇물 환경에 대해서,"안녕하세요, 삼동 시냇물 환경 개선을 요청하고자 민원을 보냅니다.
저는 경기도 광주시 삼동에 5년동안 거주하고 있지만 항상 지저분한 시냇물을 볼 때마다 안타깝습니다. 삼동 시냇물에 쓰레기뿐만 아니라 가끔은 물도 폐수나 거품으로 오염되어 있습니다. 몇 년전에는 다양한 새들이 시냇물에 쉬다 가는 것을 보곤 했는데 요즘은 그마저도 뜸한 것 같습니다.
물론 동네의 환경문제는 시민의식과 관련된 것으로 시민들의 의지와 노력이 없으면 개선되지 않는 다는 것은 알지만, 광주시에서 적극적으로 시냇물을 비롯한 광주의 자연환경 개선에 관심을 가져주셨으면 합니다. 시냇물이 항상 무성한 잡초로 뒤덮혀 있고 관리되지 않은 채 방치되어 있어서 시민들도 경각심 없이 시냇물에 쓰레기를 버리는 것 같습니다. 시냇물에 쓰레기를 버리지 말라는 경고판을 세우거나 시냇물 쓰레기 무단투기를 보다 철저하게 단속하는 등의 조치를 취해주셨으면 좋겠습니다. 또한 무성한 잡초를 방치하기보다는 관리된 모습으로 삼동의 아름다운 자연경관이 될 수 있도록 해주셨으면 좋겠습니다.
첨부파일로 오늘 찍은 삼동의 시냇물 사진을 올립니다. 오늘보다 쓰레기나 거품이 심한 날도 많습니다. 삼동의 예쁜 시냇물이 동네의 흉물이 되어 가는 것 같아서 안타깝습니다. 부디 삼동 시냇물 환경 개선에 대해서 적극적으로 검토해주시기 바랍니다.
읽어주셔서 감사합니다.",2021-10-31,"-수질정책과 답변사항-

1. 귀하께서 국민신문고에 신청하신 민원에 대한 결과를 다음과 같이 회신드립니다.
2. 민원내용은 ""삼동 시냇물이 폐수나 거품으로 오염이 되어있다.""로 이해됩니다.
3. 상기 민원사항에 대하여 다음과 같이 답변드리겠습니다.
가. 2021. 11. 8.(월) 민원인이 지적한 삼동 470-2번지 일원의 하천을 점검하였습니다. 점검 당일 강우로 인하여 하천은 탁하였으나, 폐수배출 흔적 등 특이사항은 발견치 못하였습니다. 민원인께서 촬영하여주신 사진은 비점오염원의 유입 및 하천쓰레기로 인하여 발생된 거품으로 추정됩니다. 해당 지역에 민원이 접수됨에 따라 인근 시설 및 해당하천에 대한 주기적인 순찰을 실시하도록 하겠습니다.
나. 우리시에서는 하천오염 행위를 사전 예방하고자 취약시간 순찰을 강화하고 있으며, 하천오염 행위 발견 시 즉시 신고하여 주시기 바랍니다.
[주간 : 광주시청 수질정책과(031-760-4562, 010-9272-4562), 야간·휴일 : 당직실(031-760-2221~2)]
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 수질정책과 나승원 주무관(☎031-760-4562)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.

-광남1동 답변사항-

1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2110-1304323)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 ""삼동 291-11 인근 하천 쓰레기 수거 요청""에 관한 것으로 이해됩니다.

3. 귀하의 요청사항에 대해 검토한 의견은 다음과 같습니다.

- 귀하께서 제기하신 불편사항을 해결하고자 2021년 11월 5일 “삼동 291-11 인근 하천변 쓰레기 처리 완료”하였음을 알려드립니다.

4. 귀하의 민원사항에 만족스러운 답변이 되었기를 바라며, 기타 문의사항은 광남1동 행정복지센터 총무팀 김상연 주무관(760-1964)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.

-건설과 답변사항-

1. 귀하의 가정에 행복이 가득하시길 기원합니다.
2. 귀하께서 국민신문고를 통해 접수하신 민원 건(안가지울천 하천 쓰레기투기 금지 등 표지판 설치요청)에 대하여 검토한 의견은 다음과 같습니다.

○ 검토의견
- 하천 내 쓰레기 무단 투기 등 예방을 위한 하천관련 안내표지판 설치요청에 대하여 금년 내 설치토록 조치할 계획임을 알려드립니다.

3. 귀하의 민원사항에 대하여 만족스러운 답변이 되었기를 바라며 표지판 설치와 관련한 문의사항은 광주시 건설과 강우성 주무관(031-760-2905)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.



",2021-11-12,수질정책과
CCTV설치 관련 민원입니다.,"안녕하세요.

이곳은 초월 도평 맑은물 복원센터 골목 끝쪽에 있는

주택가입니다.

그런데 불미스러운 일들이 생겨 불안함을 떨칠 수가 없어

이렇게 글을 올립니다.

최근 동네에 가택 침입의 흔적이 있어 많이 불안합니다.
(주택 내부에 설치되어 있는 cctv를 통해서 확인해보았습니다)

자칫하면 대형 사고가 일어날 수 있었던 상황이었습니다.

더 불미스러운 일이 일어나기 전에 예방을 하고 혹시 불미스러운 일이 생기더라도

원인을 찾을 수 있도록 cctv를 설치해주셨으면 좋겠습니다.

더불어 해가지면 동네가 많이 어둡습니다. 가로등도 더 설치가 가능한지 궁금합니다.

이곳은 유, 초등학생들도 거주하고 있으며 반대편으로 자전거 도로와 산책로가 있어 객지에서 오신 분들이 이쪽에도

산책로가 있는 줄 알고 많이 오십니다.

거주자는 물론 방문객의 안전을 위해서라도 부탁드립니다.",2021-10-29,"1. 광주시정에 깊은 관심을 가져주신 귀하께 감사드리며, “광주시 초월읍 도평리 24-5 곤지암하수처리장(곤지암 맑은물 복원센터) 안쪽 주택가 주변"" 방범용 CCTV 설치 요청에 대하여 다음과 같이 답변 드립니다.

2. 광주시에서는 방범용 CCTV 설치사업 추진 시, 5대 강력범죄 발생건수, 112 신고건수, 우범지대 여부, 주요 목지점, 대중교통 정류장과의 거리, 인근 방범 CCTV와의 거리(100m) 등의 범죄 위험도 분석 등을 고려한 우선순위에 따라 설치 대상지를 선정하고 있으며, 매년 확대 설치사업을 추진하고 있습니다.

3. 2021년도 하반기 방범용 CCTV 설치사업은 설치장소가 선정되어 추진 중에 있으며, 확보된 예산 범위 내에서 행정절차 이행, 사업자 선정 등 사업을 추진할 예정입니다. 현재는 2022년 사업 추진을 위해 예산 확보 진행 중이며, 요청하신 민원지역은 향후 방범용 CCTV 확대 설치 대상지 선정 시 적극적으로 검토할 예정임을 알려드립니다. (대상지 선정 후 소요기간 5~6개월, 연간 1~2회 시행)

4. 요청하신 민원 건에 대해서는 광주경찰서에 공문으로 치안, 순찰 강화 요청하겠으며, 추가적 안내로 광주경찰서에서는 안전한 광주를 만들기 위하여 광주 시민이 직접 순찰을 희망하는 시간과 장소를 신청 할 수 있는 ""순찰신문고""를 운영하고 있으니, 순찰희망 장소를 신청하여 주시기 바랍니다. [인터넷에서 ""순찰신문고(http://patrol.police.go.kr/usr/main.do) 검색 후 신청]

5. 기타 궁금하신 사항은 정보통신담당관 스마트시티팀 신상윤 주무관에게(031-760-0081) 문의하시면 성심껏 답변 드리겠습니다. 끝.
",2021-11-04,정보통신담당관
1AA-2110-0007479,"처리해준다고해놓고 처리안해주시나요? 처리일자가10월13일인데 오늘이 10월29일이네요
처리좀해주세요 씨끄러워죽겠다니깐요",2021-10-29,"1. 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2110-1238618)에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 초월읍 용수리 91-2번지 인근 측구수로관 소음 조치에 관한 것으로 판단됩니다.
3. 귀하의 질의사항에 대하여 검토한 의견은 다음과 같습니다.
- 귀하께서 제기하신 용수리 91-2번지 일원 현황 상 도로는 대형차량 운행으로 인해 측구수로관 파손 및 소음 민원이 여러 차례 발생하여 금년 3월 무소음 측구수로관으로 재설치 완료한 사항으로, 추가적인 소음 해결을 위해서는 도로상황 및 장마철 피해 우려 등 다각도의 검토가 필요한 실정임을 이해하여 주시기 바랍니다.
- 우선 측구수로관 소음 조치에 대해 고무 밴드 작업 등 응급 조치 완료하였음을 알려드립니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 초월읍사무소 개발팀(031-760-2542)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2021-11-16,초월읍
전신주 번호 [경안 483] 전구 교체 요청,전신주 번호 [경안 483] 전구 교체 요청,2021-10-28,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2110-1226542)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""광주시 역동 231-35번지 일원 가로등 보수 요청""에 관한 것으로 판단되며, 귀하의 질의사항에 대하여 검토한 의견은 다음과 같습니다.
가. 해당 가로등에 대하여 현장 점검 후 2021.11.19.일까지 조치할 예정입니다. 다만, 현재 가로(보안)등 파손 및 보수 민원이 많아 작업이 지연될 수 있음을 알려드리오니 이점 양해하여 주시기 바랍니다.

3. 귀하의 문의에 대하여 만족스러운 답변이 되었기를 바라며, 그 밖의 궁금하신 사항은 광주시청 도로관리과 시설정비팀 이경미(☎031-760-2943)에게 연락주시면 성심성의껏 답변 드리겠습니다. 끝.
",2021-11-17,도로관리과
광주 1번 버스 - 아침 7시 시간을 만들어 주세요.,"오랫동안 1번 버스를 타고 출근을 했습니다.
거의 10년..
그런데 갑자기 아침 시간표가 바뀌어서
6:30, 7:30에만 차가 있고
7시 차가 없어졌습니다!

출퇴근 시간에 차를 없애다니..
제가 사는 곳은 시내버스가 없고
마을버스 한 시간에 한 대 들어오는데
저렇게 갑자기 없어지면 너무 괴롭습니다.

아침 7시 차를
목동에서 꼭 다시 만들어 주세요.
제발.. 꼭 부탁드립니다
아침 출근시간이 너무 고통스럽습니다",2021-10-28,"1. 코로나 19 대응에 힘써주시는 귀하의 노고에 감사드립니다.
2. 귀하께서 국민신문고에 신청하신 민원(1AA-2110-1222497)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 민원내용
- 1번 버스 오전 7시 운행 요청

○ 회신내용
- 시내(공영)버스 이용에 불편을 드린 점 사과드립니다. 1번 버스는 6월 7일부터 종점지(회차지)가 연장되어 운행 중으로, 1대를 증차 하였음에도 노선 운행 소요시간이 증가되어 시간표가 조정되었습니다. 배차간격 단축을 위하여는 증차가 필요한 상황으로, 이에 대하여 면밀하게 검토하여 이용여건이 개선될 수 있도록 노력하겠습니다.

3. 답변 내용에 대한 추가 설명이 필요한 경우 광주시 대중교통과 이은정 주무관(☏031-760-8788)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.
끝.
",2021-11-08,대중교통과
인도폭이 너무좁아요,"안녕하세요
세아이를 데리고 한명은 유모차를 태워 문형산길131 이편한세상테라스오포 아파트에서부터 광주광명초등학교 쪽으로 걸어내려가던중, 인도에 세워진 가로등으로 인해 유모차가 길을 지나지못했습니다
인도가 지나치게 좁아서 양방향으로 사람이 마주치면 어느한쪽이 멈춰서서 타인이 지나갈때를 기다려야하고요
인도 폭 확장이 절실히 필요합니다",2021-10-27,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 : 1AA-2110-1162648) [신현2지구 보도 폭 협소에 따른 정비 요청] 건과 관련하여 아래와 같이 답변드립니다.

○ 먼저 신현2지구 내 보도 폭 협소로 통행에 불편을 드린 점 양해의 말씀 드립니다.
○ 해당 도로는 “신현2지구 지구단위계획” 구역 내 공동주택건설사업과 함께 해당 사업시행자가 「국토의 계획 및 이용에 관한 법률」 제88조에 따라 실시계획인가를 득하여 공사 시행 및 관리하고 있는 미준공된 도로 구간으로,
○ 접수하신 민원사항을 포함하여 해당 구간 내 도로 정비를 조속히 완료할 것을 사업시행자에게 통보하였으며 사업 준공 전 현장 점검을 통해 시설 정비 완료 여부를 확인할 예정이오니 다소 불편하시더라도 널리 양해하여 주시기 바랍니다.

2. 귀하의 민원에 충분한 답변이 되었기를 바라며, 기타 문의사항은 도시개발과 도시행정팀 전건희 주무관(031-760-4587)에게 전화주시면 친절히 답변드리겠습니다. 감사합니다. 끝.
",2021-11-01,도시개발과
