제목,내용,작성일자,답변,답변일자,담당부서
아파트 베란다 미니태양광 설치건,"아파트 베란다에 미니태양광을 설치하려고 합니다.
시에서 지원은 되는지..
된다면 기준은(예: **가구 이상) 어떻게 되는지...
절차는 어찌 되는지...

알고 싶습니다.

신청 방법도 안내해 주시면 고맙겠습니다.",2022-11-25,"1. 귀하의 가정에 평안과 행복을 기원합니다.

2. 귀하께서 제기하신 민원(1AA-2211-0847623)은 “광주시 미니태양광 보급지원 사업에 대한 문의"" 내용으로 이해되며, 아래와 같이 답변드리오니 참고하여 주시기 바랍니다.
가. 지원대상 : 관내 공동주택(아파트, 빌라) 및 단독주택
나. 지원규모 : 최대 800W 이하 미니태양광 설치비 지원, 100가구 내외
다. 지원금액 : 제품 및 설치비 80% 지원(자부담 20%)
라. 모집절차 : 광주시 홈페이지 사업신청 모집 공고 후 선착순 신청 접수

3. 매년 사업 지원규모 및 지원비율이 조정될 수 있는 점 유의하여 주시고, 금년 미니태양광 보급지원사업의 설치신청 모집 공고 및 세부 신청방법 내용이 ”광주시청 홈페이지(www.gicity.go.kr) > 광주소식 > 고시공고(2022. 5. 3.)“에 게재되어 있으니 참고 하시고 설치신청 전 관리사무소에 민원발생 여부 등에 대하여 확인 부탁드립니다.

4. 기타 문의사항이 있으실 경우 광주시청 기업지원과 에너지팀 백미령 주무관(☎031-760-8415)에게 연락주시면 상세히 답변해 드리겠습니다. 감사합니다. 끝.
",2022-12-01,기업지원과
광역버스 입석 제한 관련 민원입니다.,"안녕하세요

경기도 광주시 신현동에 거주하고 있는 양현식 입니다. 다름아니라 지난주 금요일부터 시행된 경기도 광역버스 입석 제한 관련 민원신청합니다.

입석 제한 운행은 탑승객의 안전과 직결된 문제이므로 제도 자체는 환영하나 아무런 대책과 조치 없이 이런식으로 시행하면 피해는 대중교통을

이용하는 광주시민들에게 고스란히 돌아오고 있다고 생각합니다. 광역버스 숫자의 전체적인 증편은 어렵다고 하더라도 평일 기준 출퇴근시간에

버스를 증편하는 것도 어려운 실정인가요? 적어도 광주시와 지하철역을 잇는 버스 노선이라도 일시적 증편을 통해 대중교통 접근성을 향상시켜야

하는거 아닌가요? 시에서는 앞으로 어떠한 정책을 가지고 이 사안을 해결해 나갈 예정인지 궁금합니다. 답변주세요.",2022-11-25,"1. 귀하의 가정에 행복이 가득하길 기원드립니다.

2. 귀하께서 국민신문고에 신청하신 민원(1AA-2211-0843954)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 민원내용: 광역버스 노선 입석금지 관련
○ 회신내용
- 답변에 앞서 버스 이용에 불편을 드린 점 넓은 마음으로 양해 부탁드리겠습니다.
- 민원을 제기하신 광역버스 노선 입석 금지와 관련하여, 우리시는 대도시권광역교통위원회, 경기도, 서울시, 인천시에서 조사를 진행했던 입석 해소를 위한 증차수요에 대하여 증차를 요청한 바 있으며,
- 이 와 별개로 우리 시는 1113-1번, 500-1번, 500-2번의 증차와 관련하여 운수업체와 협의 및 추진 중이며, 500-2번의 경우 출근 시간대에 증회(2회) 되었음을 알려드립니다.
- 다만, 배차시간 단축 및 증차와 관련하여, 운수종사자 확보가 선행되어야 하나, 임금불만 및 열악한 근무환경 등을 사유로 운수종사자 부족으로 광주시 관내 버스노선의 증차 및 배차시간 단축이 지연되고 있는 상황이며, 조속한 시일에 입석 금지 노선들에 대하여 증차가 이루어질 수 있도록 최선을 다하겠습니다.
- 입석 금지로 인해 다소 불편하시겠지만 버스 이용객들의 안전을 위한 조치이니 이 점 다시 한번 양해 부탁드리겠습니다.

3. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통과 이기준 주무관(☎031-760-8782)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-12-12,교통과
공사 후 토사물로 인한 보행 및 차량 운행 불편,"안녕하세요,

양벌로119번길 12-8 라인 맨 위쪽에 현재 건물 공사 중인데,
공사 후 뿌리는 물에 돌, 자갈 등의 토사가 함께 흘러내려 보행 및 차량 운행에 불편을 겪고 있습니다.

빠른 확인 및 조치 요청드립니다.

수고하세요.",2022-11-25,"1. 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 민원내용은 양벌동 224-10번지 외1필지(223-48번지) 상 “공사현장 토사(자갈,돌)가 흘러내려 보행 및 차량운행 불편”에 관한 것으로 이해됩니다.
3. 민원사항에 대해 검토한 의견은 다음과 같습니다.
○ 민원답변
- 양벌동 223-12번지 주변 도로 토사(자갈,돌)등 대하여 현장에서 처리하였으며, 건축공사 현장관계자(건축주, 시공사, 건축감리자)에게 민원사항을 통보하여 주민불편사항이 최소화될 수 있도록 현장관리에 철저를 기할 것을 요청하였음을 알려드립니다.
4. 그 밖에 귀하께서 제기하신 민원과 관련하여 궁금하신 사항이 있을 경우 건축과 김주기 주무관(031-760-8624)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-12-05,건축과
주거급여 보장의 신속한 진행과 보일러 교체비용 청구,"주거급여자격 취득이 21년 2월 5일입니다.
자가 보유자에게는 수리비가 지원되는 것으로 알고 있는데
2년이 거의 다되도록 아무런 조치가 이루어지고 않고 있어 민원을 넣습니다.

보일러는 낙후되어 작동이 되지 않아 온수는 커녕 냉방에서 지내야만 하는 급박한 처지에 놓이게 되었습니다.
당장 교체가 시급한 상황에서 주거급여 지원은 전혀 이루어지지 않아 친환경보조금 등의 해결책을 알아보았지만
도시가스가 아니라는 이유로 지원받는 것이 불가능했고 결국 빚을 내서 교체를 하였습니다.

우선은 보일러, 씽크대, 거실바닥 등이 시급하여
그동안 3~4차례 시청에 전화문의를 했었고 주민센터에도 여러번 사정을 하였습니다.
결국 시청에서 담당 직원이 나와 사진 활영을 하고 올해 7월쯤 해주겠다고 했다가 소식이 없어 다시 문의를 하니
LH공사의 방문조사가 밀려 다시 내년 7월에 진행하겠다고 말이 바뀌고 말았습니다.

담당기관의 사정을 이해 못하는 것은 아니지만 주거급여 자격을 취득한 이상
방문조사가 밀렸다는 이유로 2년 가까이 마냥 기다릴 수는 없는 노릇입니다. 신속한 조치를 취해주시기 바랍니다.
또한, 주거급여에 근거하여 보일러 교체비용을 청구합니다.

요구사항은 다음과 같습니다.

• 주거급여 보장된 집수리의 신속한 진행을 요구합니다.
• 집수리가 늦어져서 발생한 보일러 교체비용 63만원을 청구합니다.",2022-11-23,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원사항은 ""주거급여 보장의 신속한 진행과 보일러 교체비용 청구""에 관한 것으로 판단됩니다.

3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.
- 주거급여 실시에 관한 고시 제22조(수선주기 등) 2항에 따라 수선은 동일 보수범위 및 동일 보장기관내에서 주거급여 수급자격 확정 순서가 빠른 가구에 대하여 우선 실시하며, 수급자격 확정순서가 동일한 경우에는 가구원수가 많은 가구, 소득인정액이 낮은 가구의 순으로 정합니다.
따라서, 주거급여자격 취득이후 순차적으로 보수지원하는 사업 지침으로 인하여 필요한 시기에 적절한 지원을 해드리지 못한 점 양해하여 주시기 바라며, 귀하께서는 수선유지급여 내년(2023년) 대상 예정자로 당해년도에 개인적으로 보일러 교체한 건에 대해서 따로 비용을 지급할 수 없음을 알려드립니다.

4. 추가로 궁금하신 사항이 있으신 경우 광주시청 주택과 주거복지팀(031-760-4487)으로 연락주시면 안내해 드리겠습니다. 끝.
",2022-11-30,주택과
주차공간 부족으로 인한 생활불편,주차 공간 부족으로 경제활동을 하고 있는 화물탑차를 주차할 공간이 없어 하루가 멀다하고 다툼이 벌어지고 있는 상황입니다. 차도에는 불법주차라고 단속이 나오고 화물탑차는 아파트 주차장에도 진입이 안되고 화물탑차 가지고 생활하는 사람들은 이 코로나 시대에 어찌 살라고 그러는지...그렇지 않아도 먹고 살길이 막막하기만 한데 주차공간 확보가 시급합니다. 점차 상가들과 아파트들이 점차 많아지고 그로인해 차량도 늘어나고 있습니다. 화물탑차로 일하는 사람들은 다른 지역으로 이사를 가야하나요? 심각합니다. 해결방법을 찾아주시길 간곡히 부탁드립니다. 하루속히 길가에 공용주차장이라도 만들어주십시요.,2022-11-23,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2211-0751199)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""주차공간 부족으로 공영주차장 조성 요청""에 관한 것으로 이해됩니다.
3. 귀하의 민원 사항에 대해 검토한 의견은 다음과 같습니다.
가. 먼저, 주차장 이용에 불편을 드린 점 송구스럽다는 말씀을 드립니다.
나. 귀하께서 제기하신 화물 탑차를 주차할 공간 확보가 필요하다는 의견에는 적극 공감하며,
다. 화물 탑차의 경우 지평식 노외주차장 조성이 필요한 사항으로, 노외주차장 조성은 지역적 특성 및 이용 수요 등을 종합적으로 감안할 때, 단기간 내 주차장 조성은 어려울 것으로 판단되는바, 향후 광주시내 주차 여건이 개선될 수 있도록 공영주차장 설치를 장기적으로 검토해 나가겠으니 이점 양지해 주시기 바랍니다.
라. 화물 탑차 주차장 이용을 원하시면 퇴촌면은 경안천 자연 생태시설 주차장(광동리 507번지), 초월읍은 생활 체육공원 노외주차장(늑현리 193-53번지) 이용이 가능할 것으로 사료됩니다.
4. 기타 답변 내용에 대한 추가 설명이 필요할 경우 광주시청 교통과 주차관리팀 김대길 주무관(031-760-2101)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-28,교통과
공사현장 안전 및 주민불편,"안녕하세요
집앞에서 공사를 하면서 물차도 쓰지않고
작업자들 안전모도 착용하지 않은상태이고, 먼지와 소음으로 인해 고통받는 상황을 고발합니다.
건축허가에 의거하여 제대로 지켜지고 있지 않은 현장에 나와서 시정조치 해주시기 바랍니다.
1. 공사시간 엄수에 대해
2. 소음, 먼지의 허가 기준초과에 대하여
3. 공사장의 안전사고 대비에 대하여
4. 휀스를 쳤는데 저희집 위치에 맞지않음.",2022-11-22,"1. 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 민원내용은 양벌동 224-10,223-48번지 일원 “이른공사 및 소음미산먼지 불편신고 , 공사장 안전사고 대비”에 관한 것으로 이해됩니다.
3. 민원사항에 대해 검토한 의견은 다음과 같습니다.
(기후탄소과)
○ 민원답변
- 2022.11.21.(월)~22.(화)현장방문하여 공사소장에게 민원사항을 전달하고 방음·방진시설 점검 및 공사시간준수, 비산먼지저감(살수철저), 소음저감대책에 만전을 기하도록 지도하였음을 알려드리립니다.

(건축과)
○ 민원답변
- 광주시 양벌동 224-10, 223-48번지 상 건축공사장은 안전 조치하였으며, 현장관계자(건축주, 시공사, 건축감리자)에게 민원사항을 통보하였으며, 주민불편사항이 최소화될 수 있도록 현장관리에 철저를 기할 것을 요청하였음을 알려드립니다.

4. 그 밖에 귀하께서 제기하신 민원과 관련하여 궁금하신 사항이 있을 경우 기후탄소과 민주철 주무관(☎031-760-2857),건축과 김주기 주무관(031-760-8624)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-29,건축과
2번 버스 배차간격이 갑자기 변경되어 출퇴근에 많이 불편하니 원래대로 배차해 주세요.,역동에서 회덕동으로 출퇴근하는 사람입니다. 그동안 2번 버스로 출퇴근 잘 해왔는데 이달들어 갑자기 배차시간이 바뀌었는지 차를 30분기다리다가 출근시간에 늦엇습니다. 원래대로 출퇴근 시간에 15~20분 간격으로 조정해 주세요. 회덕동 언덕쪽에 버스가 많지않아 상당히 불편합니다.,2022-11-22,"1. 귀하의 가정에 행복이 가득하길 기원드립니다.

2. 귀하께서 국민신문고에 신청하신 민원(1AA-2211-0729720)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 민원내용: 2번 버스노선 배차간격 준수
○ 회신내용
- 답변에 앞서 버스 이용에 불편을 드린 점 넓은 마음으로 양해 부탁드리겠습니다.
- 민원을 제기하신 2번 버스노선은 2022. 10. 26.(수) 사업계획 변경인가(증회)를 통해 평일 기준 첫차(송정차고지) 5:00분을 시작으로 배차시간 10~20분으로 운행되는 노선임을 알려드리며,
- 해당 노선의 불규칙적인 배차간격에 대하여 운행기록부 등을 확인하여 임의 사업계획 변경 등 위반사항이 확인될 경우 관련 규정에 따라 적의 조치할 예정임을 알려드립니다.

3. 귀하의 민원내용에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 광주시 교통과 이기준 주무관(☎031-760-8782)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-12-05,교통과
개인정보 활용의 범위 및 동의,"어제 저녁 광주시의회(의장 주임록)로부터 행정사무감사를 실시한다는 문자를 받았습니다. 저는 시의회에 제 핸드폰 번호가 사용되는 것에 동의한 적이 없는데 어떻게 제 번호로 문자가 왔는지 궁금합니다.
제가 모르고 동의한 적이 있다면 어떠한 경로로 동의했는지도 확인해 주시면 좋겠습니다.",2022-11-22,"1. 귀하의 가정에 건강과 행복이 가득하시길 기원합니다.
2. 국민신문고 접수민원(신청번호 1AA-2211-0723246)은 개인정보(휴대전화 연락처) 활용 동의에 관한 내용으로 이해되며, 이에 대한 답변은 다음과 같습니다.
가. 귀하께서 받은 행정사무감사 실시에 대한 문자는 광주시의회 활동에 관한 홍보내용에 해당하며, 귀하의 연락처는 개별 의원의 통상적인 의정활동(각종 행사·회의, 면담·접견 등 외부활동) 가운데 취득한 정보로 파악됩니다.
나. 귀하의 개인정보를 유출하거나 제3자에게 제공하는 등의 개인정보보호법 위반사항이 발생하지 않도록 업무처리에 만전을 기하고, 의원들이 의정활동에 참고할 수 있도록 조치하겠습니다.
3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며 내용에 대한 추가설명이 필요한 경우, 광주시의회 의회사무국 의정팀(031-760-2502)으로 연락하여 주시면 친절히 답변드리겠습니다. 감사합니다. 끝.
",2022-11-30,의회사무국
광주시 체육시설에서는 골프장 운영이 예정되어있는게 있나 궁금합니다.,"안녕하세요 광주시 체육시설에 관하여 궁금함이 있어 이렇게 질문남깁니다.

현재 광주시에서 운영하고있는 공공체육시설중에는 골프강습(타석 및 스크린)이 없는걸로 알고있는데

향휴 골프관련 강습이나 시설에 대하여 운영 예정이 있는지 궁금합니다.

타시군에는 야외타석 및 실내스크린 으로 운영되는곳이 꽤 있는데

광주에서는 시설 계획 및 강습에 대해서 예정되어있는 사항이 있는지도 알려주세요~",2022-11-21,"1. 귀 댁의 평온과 행복을 기원합니다.
2. 귀하께서 국민신문고를 통해 문의해주신 내용(1AA-2211-0697530)에 대하여 아래와 같이 답변해드리겠습니다.

○ 민원요지
- 공공체육시설(골프 관련) 문의사항

○ 답변내용
- 광주시정에 깊은 관심을 가져주셔서 감사드리며, 귀하께서 요청하신 내용에 대하여 답변해드리겠습니다.
- 우리시 골프 관련 공공체육시설로는 광남1동에서 운영·관리중인 장지동 교각하부 체육시설 내 그라운드골프장(장지동 131-58), 중대체육공원 파크골프장(중대동 28-26)과 공원정책과에서 운영·관리중인 청석공원 파크골프장(쌍령동 48-11)이 있음을 알려드립니다.
- 아울러, 현재 우리과에서는 공공체육시설 골프 관련 시설 계획 및 강습에 대하여 구체적으로 예정된 계획이 없음을 알려드리며, 향후 공공체육시설 확충 등 관련 사업 추진 시 문의해주신 내용을 검토하도록 하겠습니다.

3. 그 밖에 궁금하신 사항에 대해서는 체육관광과 체육행정팀(☎031-760-5986)으로 문의해주시면 성심성의껏 답변해드리겠습니다. 끝.
",2022-11-29,체육관광과
경기광주시 거주자우선주차 민원 접수,"경기광주시 거주자우선주차 민원 접수 입니다.
경안동에 30년정도 살고 있는 거주민 입니다.
3년전쯤 도로내 주차 단속이 시작되면서 집앞에 주차를 했음에도 단속에 걸려 벌금을 여러번 냈던적이 있었고
주차난으로 인해 스트레스를 받다가 그 당시 거주자 우선 주차를 시행한다고 하여 집 앞임에도 불구하고,
전용 주차장이 없다는 이유로 돈을 지불하며 2년간 거주자 우선주차신청을해서 주차를 하고있었습니다.
근데 내년 거주자 우선 주차를 접수하려다 보니 기존의 방식과는 다를 야간제, 주간제를 이용한다고 하는데
너무 당황스럽네요.
한 가구에 차량이 2대 가있어서 일을 쉬는 평일 주간과 +매일의 야간 두가지다 주차를 해야하는데,
이걸 2가지로 나눠 두고 주야간으로 주차를 하려면 인근 사업자만 가능하다니. 이건 누굴 위한 교통시행법 입니까?

인근 사업자는 주야간다 주차를 해도되고
그곳에 사는 거주자는 주간, 야간으로 나눠 주차를 해야한다?
말도 안되는 시행방법이라는 판단이 드네요,

아니 통화를 해보니 주거자들이 주차를 저녁에 많이 하고 낮엔 주차공간이 비어있다고,
다른지역은 이미 이렇게 하고있다고 전화 물음에 답변하시던데 아니 이렇게 시행하는것도 웃긴데,
인근 사업자는 24시간 다 일해서 주 야간다신청가능하고 ㅋㅋㅋ
거주자는 낮엔 돈벌러 가니까 야간을 신청해라 ㅋㅋㅋㅋ 아니 이게 무슨 말도 안되는 ..........
일안하는사람은 어떻게 하고 평일날 낮엔 집에서 쉬지도 못하고 쉬려면 딴곳에 주차를 해야합니까?
인근 사업자는 24시간 일합니까? 거주자들이 사업자보다 집에 머무는 시간이 더많고 1가구 2차량인 집도 많은데
이게 무슨 기준으로 이렇게 나눈건지 궁금합니다. 사업자만 편의를 봐주는건지,
자율 선택제도 아니고, 이런 방침은 너무나 불합리적이라고 판단됩니다.


주차공간이 없어서 도로에 주차를 했더니 민원이 들어와서 단속을 하고
집앞에 주차를 했다가 벌금 폭탄 맞고 , 공영주차장에 10분20분걸어가서 주차를 하란말만하고,
그다음은 거주자 우선주차 한다고해서 돈내고 주차하니
2년지나 이제는 주 야간 나누라하고, 이게 무슨 거주자 우선 주차장입니까????????누굴위한거죠?
2만원씩 하루 4만원으로 수익을 늘리려는 방침이라고밖에 생각이 안되는 거주자는 정말 당황스러운 방침인데 말이죠.

이런상황에 대한 시청에 답변이 궁금합니다.",2022-11-21,"1. 안녕하십니까? 귀하께서 국민신문고에 신청하신 민원(신청번호 1AA-2211-0692972)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원 내용은 ""거주자우선주차장 운영 방법에 따른 불편""에 관한 것으로 이해됩니다.

3. 귀하의 민원 사항에 대해 검토한 의견은 다음과 같습니다.
가. 먼저, 노상(거주자우선주차)주차장 이용에 불편을 드린 점 송구스럽다는 말씀을 드립니다.
나. 현재 경안동 지역 주차공간 부족 문제를 해소하기 위해 공공사업과에서 경안동 40번지 경안근린공원 공영주차장 조성사업을 공사 중에 있으며, 광주시립도서관 인근 경안동 166-1번지에 주차공간 확보를 위해 공원정책과에서 경안근린공원 주차타워 조성사업 실시설계를 추진 중에 있습니다.
다. 경안동 지역은 주·야간 주차공간 부족에 따른 시민 불편이 발생하는 지역으로, 거주자우선주차장의 경우 주간 유휴 주차면이 발생함에도 배정자 외 일반 시민이 이용 할 수 없어 불편이 야기되고 있으며,
라. 이에 따른 불편을 해소하기 위해 유휴 주차면을 활용하기 위한 공유주차면을 도입하였으나, 이에 대한 실효성이 적어 낮시간에 주차공간이 있음에도 이를 이용하지 못하는 불편이 발생하고 있는 실정입니다.
마. 이에, 경안동 지역 주차불편 문제를 개선하고자 거주자우선주차장의 운영방법을 모색하여 주간제(월~금 주간)와 야간제(월~금 야간, 토·일·공휴일 : 전일)를 추진하고, 낮시간에 시민들이 주차공간을 이용 할 수 있도록 거주자우선주차면 일원에 노면표시를 하여 모바일 APP 이용 없이도 공유주차면을 활용 할 수 있는 ARS(유선통화)를 도입할 계획입니다.
바. 앞으로도 주차공간 확보 및 거주자우선주차장 이용 불편을 개선하기 위해 운영에 따른 문제점을 검토 보완해 나가겠으니 이점 양해하여 주시기 바랍니다.

4. 기타 답변 내용에 대한 추가 설명이 필요할 경우 광주시청 교통과 주차관리팀 김대길 주무관(031-760-2101)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2022-11-28,교통과
