keyword,count,category,,
개관일,51,복지,,3
교육비,45,복지,,3
교통비,19,복지,,3
국공립,31,복지,,3
그물망,10,복지,,3
나눔터,13,복지,,3
난방비,10,복지,,3
놀이터,44,복지,,3
물놀이,15,복지,,3
병원비,31,복지,,3
보조금,32,복지,,3
보증금,11,복지,,3
복지과,127,복지,,3
복지사,24,복지,,3
생계비,27,복지,,3
수급비,68,복지,,3
수술비,10,복지,,3
안심콜,31,복지,,3
양육비,18,복지,,3
요양비,10,복지,,3
운영비,11,복지,,3
위로금,19,복지,,3
의료비,23,복지,,3
이용자,14,복지,,3
입금일,19,복지,,3
자격증,25,복지,,3
자동차,24,복지,,3
장난감,14,복지,,3
장애인,795,복지,,3
장학금,48,복지,,3
주거비,11,복지,,3
지원금,86,복지,,3
진료비,10,복지,,3
충혼탑,17,복지,,3
표지판,16,복지,,3
휠체어,55,복지,,3
CCTV,18,복지,,4
가정폭력,11,복지,,4
개관일정,17,복지,,4
건강보험,16,복지,,4
계좌번호,13,복지,,4
고등학교,22,복지,,4
고등학생,11,복지,,4
공공근로,20,복지,,4
공동육아,10,복지,,4
관리부서,44,복지,,4
교통카드,10,복지,,4
구비서류,33,복지,,4
근로소득,11,복지,,4
기초생활,13,복지,,4
기초수급,29,복지,,4
기초연금,542,복지,,4
긴급보육,11,복지,,4
긴급복지,95,복지,,4
긴급지원,40,복지,,4
노령연금,28,복지,,4
노인돌봄,15,복지,,4
노인복지,28,복지,,4
누리과정,11,복지,,4
담당부서,469,복지,,4
독거노인,48,복지,,4
동사무소,24,복지,,4
마을회관,10,복지,,4
명예수당,43,복지,,4
문의사항,11,복지,,4
문화공간,10,복지,,4
문화센터,23,복지,,4
물놀이터,21,복지,,4
미끄럼틀,11,복지,,4
미세먼지,33,복지,,4
발달장애,13,복지,,4
보육교사,241,복지,,4
보육담당,19,복지,,4
보조교사,14,복지,,4
보조기구,12,복지,,4
복지센터,17,복지,,4
복지시설,34,복지,,4
복지카드,17,복지,,4
복지혜택,12,복지,,4
복지회관,134,복지,,4
봉사단체,17,복지,,4
봉사활동,11,복지,,4
부양가족,11,복지,,4
부정수급,18,복지,,4
불법주차,63,복지,,4
사회복지,22,복지,,4
상복공원,29,복지,,4
상위기관,10,복지,,4
생계급여,49,복지,,4
선정기준,10,복지,,4
소상공인,42,복지,,4
수도요금,16,복지,,4
승급교육,13,복지,,4
신고부서,10,복지,,4
신청결과,14,복지,,4
신청방법,15,복지,,4
신청자격,10,복지,,4
신청조건,11,복지,,4
신혼부부,24,복지,,4
실업급여,10,복지,,4
아동급식,14,복지,,4
아동수당,214,복지,,4
아동심리,10,복지,,4
아동학대,20,복지,,4
양육수당,130,복지,,4
어린이날,10,복지,,4
어린이집,819,복지,,4
언어발달,16,복지,,4
언어치료,13,복지,,4
여성쉼터,11,복지,,4
여성회관,29,복지,,4
요양병원,18,복지,,4
요양센터,13,복지,,4
운동기구,28,복지,,4
운영시간,13,복지,,4
운전면허,15,복지,,4
유아학비,43,복지,,4
육아수당,10,복지,,4
의료급여,231,복지,,4
의료기기,10,복지,,4
의료보험,16,복지,,4
의료지원,12,복지,,4
