지역명, 기사제목, 기자이름, 날짜, 링크
포항,‘포항마켓’ 국제불빛축제 기념 40% 할인,일간경북신문 - 김재원 기자,2023/04/25,http://www.newgbnews.com/news/view.php?idx=303958
포항,4년만에 열리는 ‘포항 해병대문화 축제’,일간경북신문 - 김재원 기자,2023/04/20,http://www.newgbnews.com/news/view.php?idx=303473
포항,"포항·광양, 고향사랑기부제 상호 동참",일간경북신문 - 김재원 기자,2023/04/16,http://www.newgbnews.com/news/view.php?idx=302890
포항,생활안전 개선 아이디어 공모전,일간경북신문 - 김재원 기자,2023/04/11,http://www.newgbnews.com/news/view.php?idx=302409
포항,"포항시선수단, 도민체육대회 우승 기원 출정식",일간경북신문 - 김재원 기자,2023/04/05,http://www.newgbnews.com/news/view.php?idx=301795
포항,"포항, 이달말까지 산불 기동단속반 운영",일간경북신문 - 김재원 기자,2023/04/03,http://www.newgbnews.com/news/view.php?idx=301524
포항,"포항, 청렴 주파수 맞추는 라디오 운영",일간경북신문 - 김재원 기자,2023/03/29,http://www.newgbnews.com/news/view.php?idx=301046
포항,"구룡포 대게축제 “맛·흥, 관광객 잡았다”",일간경북신문 - 김재원 기자,2023/03/26,http://www.newgbnews.com/news/view.php?idx=300488
포항,"지방하천 재해복구 조기 착공포항, 안전한 도시 건설 ‘노력’",일간경북신문 - 김재원 기자,2023/03/21,http://www.newgbnews.com/news/view.php?idx=300024
포항,"포항시의회, 추가경정예산안 등 6건 처리",일간경북신문 - 김재원 기자,2023/03/19,http://www.newgbnews.com/news/view.php?idx=299647
포항,“경북안전체험관 건립 최적지는 포항이다”,일간경북신문 - 김재원 기자,2023/04/25,http://www.newgbnews.com/news/view.php?idx=303957
포항,포항시의회 “경북도 안전체험관 포항건립” 촉구,일간경북신문 - 김재원 기자,2023/04/20,http://www.newgbnews.com/news/view.php?idx=303460
포항,"호미반도, 메밀꽃 단지 조성 준비 ‘착착’",일간경북신문 - 김재원 기자,2023/04/16,http://www.newgbnews.com/news/view.php?idx=302889
포항,"포항, K-배터리 이끌 전문인력 양성 나선다",일간경북신문 - 김재원 기자,2023/04/11,http://www.newgbnews.com/news/view.php?idx=302408
포항,"포항, 법인 지방소득세 신고·납부 적극적 홍보",일간경북신문 - 김재원 기자,2023/04/05,http://www.newgbnews.com/news/view.php?idx=301794
포항,"포항, 취약계층에 쾌적한 주거 환경 추진",일간경북신문 - 김재원 기자,2023/04/03,http://www.newgbnews.com/news/view.php?idx=301523
포항,포항사랑상품권 200억원 ‘7% 할인’ 판매,일간경북신문 - 김재원 기자,2023/03/29,http://www.newgbnews.com/news/view.php?idx=301043
포항,"포항, 노사민정 상생 협력 실무협의회 정기회의 개최",일간경북신문 - 김재원 기자,2023/03/26,http://www.newgbnews.com/news/view.php?idx=300486
포항,"포항, 공동주택 하자 사전 예방 첫 품질점검",일간경북신문 - 김재원 기자,2023/03/21,http://www.newgbnews.com/news/view.php?idx=300020
포항,흥해 특별도시재생 주민공모사업 신청·접수,일간경북신문 - 김재원 기자,2023/03/16,http://www.newgbnews.com/news/view.php?idx=299490
포항,"포항, 이차전지 특화단지 필요성 더 높아졌다",일간경북신문 - 김재원 기자,2023/04/25,http://www.newgbnews.com/news/view.php?idx=303956
포항,"포항, 미래 첨단산업 혁신 경쟁력 알렸다",일간경북신문 - 김재원 기자,2023/04/19,http://www.newgbnews.com/news/view.php?idx=303338
포항,"포항, 이차전지 융합 인력양성사업 추진",일간경북신문 - 김재원 기자,2023/04/16,http://www.newgbnews.com/news/view.php?idx=302888
포항,‘포항 해병전우회’ 배제하는 포항,일간경북신문 - 김재원 기자,2023/04/11,http://www.newgbnews.com/news/view.php?idx=302386
포항,"포항, 자녀안심 그린숲 사업 ‘2연속’ 선정",일간경북신문 - 김재원 기자,2023/04/05,http://www.newgbnews.com/news/view.php?idx=301793
포항,포항 ‘민생경제 재도약’ 소상공인 지원 나선다,일간경북신문 - 김재원 기자,2023/04/03,http://www.newgbnews.com/news/view.php?idx=301522
포항,"포항, 소상공인 온라인 진출 “이제는 온택트다”",일간경북신문 - 김재원 기자,2023/03/29,http://www.newgbnews.com/news/view.php?idx=301042
포항,"포항, 서해수호 55인 호국영웅 기리다",일간경북신문 - 김재원 기자,2023/03/26,http://www.newgbnews.com/news/view.php?idx=300485
포항,포항 ‘연오세오호’… 어선 안전 조업 지도 강화,일간경북신문 - 김재원 기자,2023/03/21,http://www.newgbnews.com/news/view.php?idx=300018
포항,‘푸드뱅크·마켓’ 포항에 기부문화 꽃피운다,일간경북신문 - 김재원 기자,2023/03/16,http://www.newgbnews.com/news/view.php?idx=299489
포항,"압도적 기량 종합우승… 포항, 경북도민체전 3연패",일간경북신문 - 김재원 기자,2023/04/24,http://www.newgbnews.com/news/view.php?idx=303812
포항,"포항, 자동차 의무보험 가입 행정력 집중",일간경북신문 - 김재원 기자,2023/04/19,http://www.newgbnews.com/news/view.php?idx=303322
포항,포항 서포터즈단 ‘도민체전 종합우승’ 기원,일간경북신문 - 김재원 기자,2023/04/16,http://www.newgbnews.com/news/view.php?idx=302887
포항,"포항, 에너지 르네상스 활성화 ‘노력’",일간경북신문 - 김재원 기자,2023/04/10,http://www.newgbnews.com/news/view.php?idx=302257
포항,"포항, 소상공인 경영안정 ‘150억원’ 지원",일간경북신문 - 김재원 기자,2023/04/05,http://www.newgbnews.com/news/view.php?idx=301792
포항,포스코 55주년 “존경받는 100년 기업 성장”,일간경북신문 - 김재원 기자,2023/04/03,http://www.newgbnews.com/news/view.php?idx=301453
포항,포항 한미해병 쌍용훈련 “정조준”,일간경북신문 - 일간경북신문 기자,2023/03/29,http://www.newgbnews.com/news/view.php?idx=301038
포항,"포항, 서민 울리는 전세 사기 “발 못 붙인다”",일간경북신문 - 김재원 기자,2023/03/26,http://www.newgbnews.com/news/view.php?idx=300483
포항,"포항, 유망강소기업 육성정책사업 ‘성과 빛났다’",일간경북신문 - 김재원 기자,2023/03/21,http://www.newgbnews.com/news/view.php?idx=300017
포항,"포은중앙도서관, 상주 작가 지원사업 선정",일간경북신문 - 김재원 기자,2023/03/16,http://www.newgbnews.com/news/view.php?idx=299488
포항,"포항, 방사광가속기 유치실패 재현되나",일간경북신문 - 김재원 기자,2023/04/24,http://www.newgbnews.com/news/view.php?idx=303810
포항,"포항, 전기 이륜차 180대 보급 신청",일간경북신문 - 김재원 기자,2023/04/19,http://www.newgbnews.com/news/view.php?idx=303320
포항,"포항, 경제성장 핵심 “유망강소기업 도전하세요”",일간경북신문 - 김재원 기자,2023/04/16,http://www.newgbnews.com/news/view.php?idx=302886
포항,"포항, 청년 소상공인 보증 ‘100억’ 마련",일간경북신문 - 김재원 기자,2023/04/10,http://www.newgbnews.com/news/view.php?idx=302256
포항,"포항, 미래 100년 신성장 동력 사업 ‘최선’",일간경북신문 - 김재원 기자,2023/04/05,http://www.newgbnews.com/news/view.php?idx=301788
포항,"포항, 미래 신성장산업단지 확보 매진",일간경북신문 - 김재원 기자,2023/04/02,http://www.newgbnews.com/news/view.php?idx=301351
포항,"포스코, 정비 자회사 설립방법 문제있다",일간경북신문 - 김재원 기자,2023/03/29,http://www.newgbnews.com/news/view.php?idx=301036
포항,임종식 교육감 구속영장 기각,일간경북신문 - 김재원 기자,2023/03/23,http://www.newgbnews.com/news/view.php?idx=300379
포항,"국민의 힘, 할계우도(割鷄牛刀) “포항시의원 보궐선거에 대선급 유세지원?”",일간경북신문 - 김재원 기자,2023/03/20,http://www.newgbnews.com/news/view.php?idx=299865
포항,해병대 ‘포항사랑 투어’… 제2의 고향에 특별한 추억 만들기,일간경북신문 - 김재원 기자,2023/03/16,http://www.newgbnews.com/news/view.php?idx=299487
포항,미혼남녀 커플 매칭 ‘둘이서 손잡고 갈래요’,일간경북신문 - 김재원 기자,2023/04/24,http://www.newgbnews.com/news/view.php?idx=303802
포항,"포항, 도구약전 풍수해생활권 종합 정비 현장 실사",일간경북신문 - 김재원 기자,2023/04/19,http://www.newgbnews.com/news/view.php?idx=303319
포항,"포항시의회, 개정조례안 13개 안건 심사",일간경북신문 - 김재원 기자,2023/04/16,http://www.newgbnews.com/news/view.php?idx=302801
포항,고향사랑기부제 아이디어 공모,일간경북신문 - 김재원 기자,2023/04/10,http://www.newgbnews.com/news/view.php?idx=302255
포항,포항 조항산 정상인근 관리사각 ‘문제’,일간경북신문 - 김재원 기자,2023/04/05,http://www.newgbnews.com/news/view.php?idx=301786
포항,"포항, 미래세대 나무심기 5000본 식재",일간경북신문 - 김재원 기자,2023/04/02,http://www.newgbnews.com/news/view.php?idx=301350
포항,"“포항축제, 핫플레이스 가보자”",일간경북신문 - 김재원 기자,2023/03/28,http://www.newgbnews.com/news/view.php?idx=300878
포항,포항·행안부·경북도 태풍피해 현장 점검,일간경북신문 - 김재원 기자,2023/03/23,http://www.newgbnews.com/news/view.php?idx=300376
