뉴스 식별자,출처,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,특성추출(가중치순 상위 50개),본문,URL,분석제외 여부
01500151.20230328231609001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230328231609001,20230328,경남도민일보,경남도민일보,국세 감면액 전망,지역>대구,,,,,,,,,"전망,국세,감면액,사진기사","감면액,사진기사,사진,전망,국세,기사",[사진기사],http://www.idomin.com/news/articleView.html?idxno=821082,예외
01500151.20230328231307002,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230328231307002,20230328,경남도민일보,주찬우 기자,최대 규모 경남축구협회장기 동호인대회 성황리에 폐막,스포츠>월드컵, 스포츠>골프, 지역>강원,,,,,"김해시,거창군,진주클럽,남해군,합천,성황리,의령군,김해가야,경남","여성부,군부,진해골드,동호인축구대회,마산60클럽,남해군,경남축구협회장,창원반송FC,김해여성축구단,통영시,황금부,시군부,고성군","성황리,최대,규모,경남,축구협회,장기,동호인,대회,성황,폐막,코로나19,4년,동호인축구대회,경남,축구협회,장기,동호인,축구,대회,합천,성황리,대회,청년부,장년부,노장부,83개,2500여,선수단,참가,청년부,시부,창원반송FC,진주클럽,정상,군부,남해군,의령군,제압,우승,장년부,통영시,거창군,우승,트로피,노장부,정상,김해시,남해군,마산60클럽,실버부,시부,고성군,군부,정상,70대,동호인,출전,황금부,진해골드,김해가야,제압,여성부,김해여성축구단,우승,김상석,경남,축구협회,2019년,4년,대회,역대,최다,83개,출전,축구동호인들,열의,대회,개최,발전,경남,축구","경남,동호인,남해군,노장부,장년부,청년부,2500여,김상석,축구협회,동호인축구대회,70대,창원반송,진주클럽,김해,김해여성축구단,진해골드,진주,여성부,김해가야,선수단,마산60클럽,마산,황금부,축구단,코로나19,통영시,고성군,거창군,실버부,의령군,김해시,합천,축구동호인들,fc,창원반송fc","코로나19 이후 4년 만에 열린 제7회 경남축구협회장기 동호인축구대회가 합천에서 성황리에 막을 내렸다. 

이번 대회에는 청년부, 장년부, 노장부 등 83개 팀 2500여 명의 선수단이 참가했다. 

청년부 시부에서는 창원반송FC가 진주클럽을 누르고 정상에 올랐고, 군부에서는 남해군이 의령군을 제압하고 우승했다. 

장년부는 통영시가 거창군을 따돌리고 ..",http://www.idomin.com/news/articleView.html?idxno=821050,
01500151.20230328225755001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230328225755001,20230328,경남도민일보,김종현 기자,"""진주에서 꽃놀이와 문화를 함께 즐기세요""",문화>전시_공연, 문화>요리_여행, 지역>충북,,,,,"진주,진양호공원,월아산,문산읍,의암,진양호,논개시장,진주지역,금산면,진주시,물초울공원,촉석루,꿈키움동산,신안,초장1근린공원,진주성,아나바,남강,진주지부,진주삼천포,도심,충무공동","소고기,평거동,공군교육사령부,청동기박물관,진주시,한국연극협회,진주시립이성자미술관,한국화가","진주,꽃놀이,문화,진주시,본격적,꽃놀이,시즌,진주성,월아산,진주,진양호,문화행사,개최,유치,봄철,관광객,박차,봄축제,남강,유람선,김시민호,운항,개장,올빰,야시장,행사,벚꽃,축제,봄기운,체류,적합,여행,콘텐츠,추천,월아산,진주,진양호공원,개최,벚꽃,만개일,즈음,월아산,진주,진양호공원,축제,개최,월아산,진주,숲속,진주,봄&,주제,토요일,8일,9시,마술,레이저,페이스페인팅,체험,행사,진양호공원,봄꽃,축제&,11시,4시,꿈키움동산,진양호공원,후문,문화공연,힐링,산책,미션,40여,셀러들,운영,프리마켓,아나바다,식물,향수,체험,프로그램,진행,31일,남강,유람선,김시민호,운항,운항,시작,시민,관광객,인기,김시민호,남강,유람선,31일,운항,시작,남강,진주성,촉석루,의암,천혜,절경,청취,만끽,코스,포함,전시,관광,캐릭터,공공,미술,하모&,특별,추억,사진,포토,스팟,유명,강변도,문산읍,청곡사,공군교육사령부,벚꽃,만개,진주시,명소들,유명,벚꽃,명소,개화,벚꽃,풍경,신안,평거동,1.2,강변도로,연인,가족들,만개,벚꽃,감상,손색,진주,문산읍,청곡사,금산면,국도,벚꽃,감상,제격,월아산,정상,도로,벚꽃,금산면,위치,공군교육사령부,도심,도심,벚꽃,명소,군부대,구석구석,그루,벚꽃,감상,평소,민간인,출입,통제,시민,절차,벚꽃,구경,가능,개방,연극,무형문화재,공연,미술,관ㆍ,박물관,행사,진주,연극,페스티벌,진주시,주최,주관,한국연극협회,진주,지부,11일,문화예술회관,현장,아트홀,진행,공식,초청작,반추,하녀들,계단,아이,공연,극장,초장1근린공원,일원,충무,공동,물초울공원,해프닝쇼,작품,공연,공연,예약,문의,전화,7411ㆍ7413,진주검무,진주삼천포농악,포구락무,상설공연,무형,문화재,토요,상설,공연,진주성,야외무대,9월,진행,진주시립이성자미술관,나비&,작가,하미혜,한국,화가,개인전,현실,환타지,경계,주제,개최,청동기박물관,평일,10~12시,주말,10~12시,2~4시,딸기,케이크,딸기,청동기,체험,행사,진행,올빰,야시장&,개장,전통,시장,활성,사업,추진,진주,올빰,야시장,토요일,6시,11시,논개,시장,일원,개장,진주,올빰,야시장,올빼미,이미지화,조명,소고기,불초밥,타코야키,육전,먹거리,판매대,설치,운영,진주,지역,특화,음식,먹거리,소개,판매,개장기간,7시,9시,버스킹,공연,복권,이벤트,행사,고객,마케팅,진행","진주,남강,진양호공원,월아산,진주시,야시장,올빰,관광객,청동기,무형문화재,진주성,한국연극협회,금산면,꽃놀이,박물관,김시민호,봄축제,하미혜","진주시가 본격적인 꽃놀이 시즌을 맞아 진주성과 월아산 숲속의 진주, 진양호 등에서 다채로운 문화행사를 개최하며 봄철 관광객 유치에 박차를 가하고 있다. 특히 봄축제에 맞춰 남강 유람선 김시민호 운항과 올빰 야시장 개장, 벚꽃 축제 행사 등을 알림으로써 봄기운을 느끼고, 보고, 먹고 체류할 수 있는 적합한 여행 콘텐츠를 추천하고 있다. 

◇월아산 숲속의..",http://www.idomin.com/news/articleView.html?idxno=821040,
01500151.20230328225755002,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500151.20230328225755002,20230328,경남도민일보,서동진 기자,꽃놀이,지역>경북, 지역>충북, 지역>대전,,,,,,,"꽃놀이,사진기사","사진기사,꽃놀이,사진,기사",[사진기사],http://www.idomin.com/news/articleView.html?idxno=821081,예외
01500901.20230328225052001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230328225052001,20230328,울산매일,박현준 기자,양산 라피에스타 LF스퀘어 입점기념 간담회 열려,경제>서비스_쇼핑, 경제>부동산, 지역>대구,,,,"김동린,이성필,나동연","양산시,양주,울산지역,광양,경기,양산,부산,증산,물금신도시,서울경,인천","LF네트웍스,LF스퀘어,LF,LF스,LF스퀘어양산라피에스타","간담회,양산,라피에스타,LF,스퀘어,입점,기념,대형,양산,물금신,도시,증산,상업,지역,쇼핑센터,라피에스타양산,상가,번영회,회장,이성필,양산시장,나동연,양산,시장,대표,김동린,LF,스퀘어,양산,라피에스타,시회,의원,관계자,초청,양산라피에스타,LF,스퀘어,입점,기념,간담회,라피에스타양산,지하3층,지상7층,연면적,준공,서울경기,제외,지역,최대,쇼핑몰,개장,경기침체,공실,LF,네트웍스,양해각서,체결,3개월,본계약,체결,10월,1층,상가,브랜드런칭,내부인테리어,아동복,스포츠웨어,골프용품,정장,점포,브랜드,본격적,운영,대표,LF,네트웍스,김동린,점포,중복,백화점,아울렛,고급,브랜드,상품,입점,복합영화관,상품,멀티플렉스,상가,육성,강조,업체측,분수,광장,조성,인프라구축,지자체,요구,LF,쇼핑몰,입점,다음달,증산,도시,상가활성화,전문,기관,용역,발주,이날,간담회,나동연,시장,양산,인근,부산,울산지역,40분,정도,도착,지역,상권,잠재력,라피에스타양산,LF스퀘어,입점,물금,증산지역,상권,역할,예상,만큼,상권,활성,행정력,집중,지원,계획,강조,LF스퀘어,인천,양주,광양,쇼핑몰,운영,지역,역할","라피에스타양산,양산,김동린,쇼핑몰,lf,간담회,나동연,스퀘어,lf스퀘어,양산라피에스타,라피에스타,관계자,만큼,1층,지자체,골프용품,스포츠웨어,아동복,지상7층,내부인테리어,백화점,경기침체,아울렛","양산 물금신도시 증산 상업지역 대형쇼핑센터인 라피에스타양산 상가번영회(회장 이성필)가 지난 27일 나동연 양산시장, 김동린 LF스퀘어양산라피에스타 대표, 도 시회 의원 등 관계자 10여명을 초청해 양산라피에스타 LF스퀘어 입점기념 간담회를 가졌다고 밝혔다. 

라피에스타양산은 지하3층, 지상7층, 연면적 12만8000㎡로 지난 2018년 준공돼 서울경기..",http://www.iusm.co.kr/news/articleView.html?idxno=1011764,
01500901.20230328225052002,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230328225052002,20230328,울산매일,박현준 기자,"양산시의회, 제236회 경남시군의회의장협의회 정례회 개최",지역>충남, 지역>경기, 지역>강원,,,,"윤형근,김이근,이종희","중봉,경남시군의회의장협의회,통도사,경남,성보박물관","양산시,정례회,우주항공청,양산시의회,시군의회의장,사천시의회,양산비즈니스센터,시군의회,경남시군의회의장협의회,경남의장협의회,창원시의회,금강,경남,대종사","양산시의회,경남시,의회,의장,협의회,정례회,개최,양산시의회,의장,이종희,컨벤션홀,양산비즈니스센터,컨벤션,경남,시군,의회,의장,참석,경남시,의회,의장,협의회,정례회,협의회장,의장,창원시,의회,김이근,개최,경남시군의회의장협의회,지방자치,경남발전,도모,시군의회의장,도내,시군,의회,의장,구성,회의체,이날,회의,경남,발전,현안,논의,의정활동,교류,의장,사천시,의회,윤형근,발의,우주,항공청,특별법,조기,제정,촉구문,채택,정례회,협의회,의장단,통도사,방문,성보박물관,금강계단,대웅전,종정예하,중봉,성파,대종사,예방,禮訪,환담,의장,이종희,양산시의회,경남시,의회,의장,협의회,정례회,양산시,개최,생각,정례회,경남의장협의회,시민,경남,지방,자치,발전,견인차,역할","경남,정례회,촉구문,협의회,양산시의회,경남시군의회의장협의회,특별법,이종희,경남발전,윤형근,지방자치,김이근,경남시,대종사,종정예하,양산비즈니스센터,시군,禮訪,금강계단,금강,성보박물관,의정활동,통도사,성파","양산시의회(의장 이종희)는 지난 27일 양산비즈니스센터 컨벤션홀에서 경남 17개 시군의회 의장들이 참석한 가운데 '제236회 경남시군의회의장협의회 정례회'(협의회장 창원시의회 김이근 의장)를 개최했다. 

경남시군의회의장협의회는 지방자치와 경남발전을 도모하고자 도내 18개 시군의회의장으로 구성된 회의체로 이날 회의를 통해 경남발전 현안에 대해 논의하고 ..",http://www.iusm.co.kr/news/articleView.html?idxno=1011765,
01500901.20230328225051005,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230328225051005,20230328,울산매일,김성대 기자,국민건강보험공단 '대학생 절주 금연 서포터즈' 발대,지역>충남, 사회>의료_건강, 사회>교육_시험,,,,장수,"서포터즈,서포,부산울산경남지역,부울경지역","대강당,국민건강보험공단","서포터즈,국민,건강,보험,공단,대학,절주,금연,서포,터즈,발대,국민,건강,보험,공단,부산울산경남,지역,본부,본부장,장수목,27일,지역,본부,부울경,지역,대학,학생들,참석,공단,추진,건강,보장,서비스,음주,문화,정착,활동,금연,캠페인,건강관리,서비스,지원,활동,정책,홍보,SNS,절주,국민,건강,보험,공단,대학,금연,서포터즈,발대식,개최","절주,터즈,건강관리,서포,발대식,장수목,본부장,sns,부울경,부울,학생들,발대,부산울산경남,금연,서비스,대학,지역,공단,활동,정착,건강,국민,본부,캠페인,서포터즈,홍보,학생,참석,문화,음주,정책,추진,지원,보험,보장,개최","국민건강보험공단 부산울산경남지역본부(본부장 장수목)는 지난 27일 오후 지역본부 대강당에서 부울경지역 대학 80여 명의 학생들이 참석한 가운데 공단에서 추진하는 건강보장 서비스와 올바른 음주문화 정착과 금연 캠페인 활동, 건강관리 서비스지원, 정책홍보 SNS 활동 등을 펼치는 '국민건강보험공단 대학생 절주 금연 서포터즈' 발대식을 개최했다. 

부산 /..",http://www.iusm.co.kr/news/articleView.html?idxno=1011763,
01500901.20230328225051001,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230328225051001,20230328,울산매일,김성대 기자,부경대-기장군 방사선의학 전문대학원 추진,지역>대전, IT_과학>과학, 지역>전남,,,,"정종복,박우식,장영수","부산시,동남권,동남권의학원,부산,기장군 방사선의학,장안읍,기장군,부산지역,부산시 융합방사선","인수위,전문대학원,국립부경대학교,기장군의회,대학,의대,정부,의학전문대학원,동남권원자력의학원,기장군,부산연구원,부속병원,부경대","부경대,기장군,추진,방사선,의학,전문대학원,국립부경대학교,총장,장영수,부산시,기장군,군수,정종복,지역공약사업,대통령,지역,공약,사업,의과대학,방사선,특화,의과,대학,방사선,의학,전문대학원,체계,추진,공동협약서,체결,총장,부경대,장영수,군수,기장군,정종복,28일,부경대,대학,본부,총장실,방사선,의학,전문대학원,설립,추진,협약식,이날,행사,의장,기장군,의회,박우식,군의원들,참석,부경대,그동안,추진,과학대학,설립,운영,방안,외부,전문,기관,용역,결과,방사선의학,정밀의료,특화,중심,7년,의사과학자,MD-PhD,체계,학부,졸업,대상,4년,의학전문대학원,Medical,Doctor,3년,박사,PhD,결합,규모,정원,방사선,의학,전문대학원,추진,이날,부경대,협약,체결,기장군,장안읍,조성,과학단지,교육시설용지,학교부지,제공,부경대,협의체,구성,설립,방사선,의학,전문대학원,공동사업,추진,부경대,기장군의회,공약사업,대통령,선거,공약,사업,기장지역,구축,글로벌,공동,건의,대통령,인수,위원회,방사선,특화,의과,대학,설립,건립,방사선,융복합,의료,기기,센터,사업,부산,지역,정책,채택,사업,동남,방사선,과학,구축,공식화,부산시,대통령,인수,방침,공약,실행,세부실천방안,대응전략,마련,부산연구원,대선,직전,부산시,융합,방사선,산업,육성,현안연구,의사,과학자,육성,설립,방사선,의대,최우선,도출,정책,제언,설정,부경대,의대,설립,동남권원자력의학원,동남권의학원,부속병원,효과,시너지,동남권의학원,과학,협약,분야,인력,양성,체결,대학원,의공학,동남권,의학원,의료진,연구진,강연자,참여,방사선,융합의,과학,방사선,영상,치료기기,박사,학생들,전공과목,개설,운영,총장,장영수,부경대,협약식,계기,공약사업,부산,지역,대통령,공약,사업,채택,방사선,특화,의과,대학,체계,방사선,의학,전문대학원,확정,기장군,정부,임기,건립,노력,부산","방사선,부경대,기장군,방사선의학,전문대학원,부산시,동남권의학원,공약사업,기장군의회,장영수,의사과학자,동남권,박우식,정종복,부산,총장실,동남,동남권원자력의학원","국립부경대학교(총장 장영수)와 부산시 기장군(군수 정종복)이 제20대 대통령 지역공약사업인 '방사선 특화 의과대학'을 '방사선의학 전문대학원' 체계로 추진하는 것을 주 내용으로 하는 공동협약서를 체결했다. 

부경대 장영수 총장과 기장군 정종복 군수는 28일 오후 3시 30분 부경대 대학본부 3층 총장실에서 '방사선의학 전문대학원 설립 추진'을 위한 협..",http://www.iusm.co.kr/news/articleView.html?idxno=1011759,
01500901.20230328225051003,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230328225051003,20230328,울산매일,김성대 기자,"렛츠런파크 부산 경남, 4월 경마계획 발표",지역>경북, 지역>강원,,,,,송대영,"서울,경주도,동남권,부산경남,부산,제주,가족공원,렛츠런파크,경주,중계,경남,동백","한국마사회,부산,경주","경남,렛츠런파크,부산,경마,계획,부산경남,한국마사회,렛츠런파크,본부장,송대영,5주,10일,70개,경주,경마,시행,계획,28일,계획,경주,부경,시행,53개,국산마,경주,14개,국산,외산마,혼합경주,3개,대상경주,시행,금요경기,경주,시행,중계경주,제주,중계,경주,운영,토요일,경주,서울,경주,제주,중계,일요일,중계경주,서울,경주,시행,운영,금요일,경주,경주인,제주,출발시각,11시,일요일,경주,경주인,서울,출발시각,출발시각,마지막,경주,출발,시각,일요일,6시,4월,우수마,최고,선발,삼관경주,3개,경주,구성,시리즈,경주,본격적,시작,팬들,관심,2일,스프린터,시리즈,부산일보배,혼합,3세,제6경주,1,200m,경주,선발,단거리,최고마,국산,암말,선발,트리플티아라,선발,국산,세마,트리플크라운,개최,시리즈,경주도,23일,트리플티아라,시리즈,관문,루나스테익스,국산,3세,제6경주,1,600m,경주,30일,트리플크라운,시리즈,관문,KRA,컵마일,국산,3세,암수,제6경주,1600m,개최,7억,상금,서울,부산,말들,최고,대결,부산,봄기운,꽃망울,렛츠런파크,부경,벚꽃,동백,장관,부지,조성,형형색색,꽃정원,경험,방문객들,선사,일요일,말죽거리마켓,플리마켓,푸드트럭,볼거리,거리,먹거리,축제,분위기,연출,38만,면적,축구장,가족공원,동남,대표,가족,공원,자리매김,공원,가족들,시민들,도심,자연,경험,즐거움,추억,선사,공원운영,한국마사회,홈페이지,렛츠런파크,부경,휴무,확인","경주,서울,제주,렛츠런파크,일요일,부산,부경,한국마사회,출발시각,경주인,축구장,3세,3개,트리플티아라,중계경주,부산일보배","한국마사회 렛츠런파크 부산경남(본부장 송대영)이 5주간 10일에 걸쳐, 총 70개의 경주가 열리는 4월 경마시행계획을 28일 발표했다. 

4월 계획에 따르면 부경시행 70개 경주 중 53개가 국산마 경주이며 14개는 국산 외산마 혼합경주, 3개는 대상경주로 시행된다. 

금요경기는 부 경 시행 8개 경주와 제주 1개 중계경주로 운영한다. 

토요일에는..",http://www.iusm.co.kr/news/articleView.html?idxno=1011761,
01500901.20230328225051004,https://www.bigkinds.or.kr/v2/news/newsDetailView.do?newsId=01500901.20230328225051004,20230328,울산매일,김성대 기자,"부산시, 해양기술협의회와 '해양스마트시티' 협약",지역>부산, 지역>대전, IT_과학>과학,,,,"김규한,박형준","한국항해항만학회,부산시,한국해안·해양공학회,한국해양학회,한국해양환경·에너지학회,한국해양공학회","해양기술협의회,한국해양과학기술협의회,동해가스전,2030,대한조선학회","부산시,해양기술협의회,해양스마트시티,협약,부산시,시장,박형준,27일,시청,국제의전실,한국해양과학기술협의회,회장,김규한,해양스마트시티,업무협약,체결,28일,한국해양과학기술협의회,대한조선학회,한국항해항만학회,한국해안,해양공학회,한국해양공학회,한국해양학회,한국해양환경,에너지학회,학회,구성,협의체,해양,과학,분야,최고,협회,협약,지역,해양,과학,분야,역량,증진,추진,해상,스마트,시티,조성,사업,추진,기관,상호협력,약속,마련,이날,협약식,박형준,부산,시장,김규한,회장,관계자,참석,박형준,시장,자리,해상,도시,시범,사업,과학,자문,상호,협력,당부,협약,지속가능,해상,도시,시범,사업,과학,기술적,클러스터,자문,부산시,글로벌,해상,스마트시티,비전,수립,실현,협력,해상스마트시티,신규,사업,발굴,사항,해양,과학,분야,역량,증진,활용,지역,발전,협력,당사자,협력,박형준,부산,시장,이슈,글로벌,해양,해법,강구,한국해양과학기술협의회,협력,원동력,부산세계박람회,개최,해상,도시,건설,동해가스전,포집,저장,사업,협의회,만큼,협약,시작,협력,강조","해상스마트시티,박형준,한국해양과학기술협의회,해양스마트시티,부산시,국제의전실,협의회,관계자,김규한,한국해양공학회,한국해양학회,해양공학회,한국해양환경,한국해양,한국,한국해안,에너지학회,한국항해항만학회,동해가스전,대한조선학회,협약식,상호협력","부산시(시장 박형준)는 지난 27일 오전 11시 시청 7층 국제의전실에서 한국해양과학기술협의회(회장 김규한)와 해양스마트시티 구현을 위한 업무협약을 체결했다고 28일 밝혔다. 

'한국해양과학기술협의회'는 대한조선학회, 한국항해항만학회, 한국해안 해양공학회, 한국해양공학회, 한국해양학회, 한국해양환경 에너지학회 등 총 6개 학회로 구성된 협의체로 해양 ..",http://www.iusm.co.kr/news/articleView.html?idxno=1011762,
