title,keyword,category,subcategory,predication,departmenet
철거 및 등기부가 멸실 되어 등기 할 물건이 없어도 종전 자산에 대한 취득세를 신고 납부 하여야 하는지요.,['취득세'],세무,기타,문의(질의),세정과
재개발조합원 승계시 입주권 관련한 취득세 관련하여 어디로 문의 드리면 될까요?,"['재개발조합원', '승계', '입주권', '취득세']",세무,기타,문의(질의),세정과
재개발 아파트 입주권을 취득하는 취득세 관련하여 알고 싶습니다.,"['재개발', '아파트', '입주권', '취득세']",세무,기타,문의(질의),세정과
철거 및 등기부가 멸실 되어 등기 할 물건이 없어도 종전 자산에 대한 취득세를 신고 납부 해야 하는지 궁금 합니다.,['취득세'],세무,기타,문의(질의),세정과
재개발조합원 승계시 입주권 관련 하시는 담당 부서 알 수 있을까요?,"['재개발조합원', '승계', '입주권']",세무,기타,문의(질의),세정과
주민세 자동이체후 미납 관련 문의합니다.,"['주민세', '자동이체후']",세무,지방세,문의(질의),세무과
주민세 자동이체후 미납시 관련부서 알려주세요.,"['주민세', '자동이체후']",세무,지방세,문의(질의),세무과
주민세 자동이체후 미납시 관련부서 요청합니다.,"['주민세', '자동이체후']",세무,지방세,문의(질의),세무과
오토바이 등록세 탈세자 신고합니다. 07년 야마하 R-1 오토바이 가격 중고 거래가 최소 600 만원 이상입니다. 90만원에 신고한다고 들었습니다. 단속 요청합니다.,"['오토바이', '등록세', '탈세자', '07년', '야마하 R-1', '가격', '중고 거래', '600 만원', '90만원']",세무,기타,요청/개선,행정과
오토바이 등록세 탈세자 신고합니다. 07년 야마하 R-1 오토바이 가격 중고 거래가 최소 600 만원 이상입니다. 90만원에 신고한다고 들었습니다. 단속 바랍니다. ,"['오토바이', '등록세', '탈세자', '07년', '야마하 R-1', '가격', '중고 거래', '600 만원', '90만원']",세무,기타,요청/개선,행정과
오토바이 등록세 탈세자 신고합니다. 07년 야마하 R-1 오토바이 가격 중고 거래가 최소 600 만원 이상입니다. 90만원에 신고한다고 들었습니다. 단속해 주세요. ,"['오토바이', '등록세', '탈세자', '07년', '야마하 R-1', '가격', '중고 거래', '600 만원', '90만원']",세무,기타,요청/개선,행정과
오토바이 등록세 탈세자를 제보하니 단속 부탁합니다. 중고 거래가 최소 600 만원 이상인데 90만원에 신고한다고 합니다. 조치 바랍니다.,"['오토바이', '등록세', '탈세자', '중고 거래', '600 만원', '90만원']",세무,기타,요청/개선,행정과
중고가격이 최소 600 만원 이상인 오토바이를 90만원에 신고해 오토바이 등록세를 탈세하려고 해서 제보합니다. 확인 후 단속해주세요.,"['오토바이', '등록세', '가격', '600 만원', '90만원']",세무,기타,요청/개선,행정과
#@주소# 사업장이 지방세 납부는 잘 준수하고 있는지 점검 요청합니다.,"['사업장', '지방세', '납부', '점검']",세무,지방세,요청/개선,세무과
#@주소# 사업장이 지방세를 잘 납부하는지 점검해주시기 바랍니다.,"['사업장', '지방세', '납부', '점검']",세무,지방세,요청/개선,세무과
#@주소# 사업장이 지방세 납부를 하는지 탈세는 없는지 확인 바랍니다.,"['사업장', '지방세', '납부']",세무,지방세,요청/개선,세무과
wetax 자동납부 관련 문의합니다.,"['wetax', '자동납부']",세무,기타,문의(질의),세무과
wetax 자동납부 관련해 질문이 있어요.,"['wetax', '자동납부']",세무,기타,문의(질의),세무과
wetax 자동납부 때문에 여쭤보려고요.,"['wetax', '자동납부']",세무,기타,문의(질의),세무과
wetax 자동납부 관련 문의드려요.,"['wetax', '자동납부']",세무,기타,문의(질의),세무과
wetax 자동납부 관련 문의드릴 게 있습니다.,"['wetax', '자동납부']",세무,기타,문의(질의),세무과
"마산합포구 #@주소# 외 5필지를 매매하여 취득세를 포함 제반 비용을 전부 납부하고 법무사를 통해 소유권 이전 등기를 마쳤습니다. 그런데 마산합포구청에서는 1월 12일 취득가액의 1%를 취득세 명목으로 가산하여 부과했네요.
취득 당시에 실제 경작할 수 있는 농지로 확인하고 매입했고 농지일 경유 3%의 취득세율인데 4%로 가산한 근거와 사유를 명확히 알려 주세요.","['마산합포구', '취득세', '가산', '부과', '근거', '사유']",세무,기타,문의(질의),세무과
마산합포구 #@주소# 외 5필지의 취득세와 제반 비용을 전부 납부한 후 소유권 이전 등기를 마쳤습니다. 그런데 마산합포구청에서는 1월 12일 취득세 가산 부과를 해서 그 이유를 알고자 문의를 드립니다.,"['마산합포구', '취득세', '가산', '부과']",세무,기타,문의(질의),세무과
마산합포구청에서 농지 취득세를 가산 부과한 사유에 대해 문의하고자 합니다. 마산합포구 #@주소# 외 5필지에 대한 취득세와 제반 비용을 모두 납부하고 법무사를 통해 소유권 이전 등기를 마쳤는데 어째서 이렇게 가산세 부과가 된 것인가요?,"['마산합포구', '취득세', '가산', '부과', '사유']",세무,기타,문의(질의),세무과
"2015년도 구청에서 세무 회계의 투명성을 위해 사회복지시설 정보시스템 회계 및 인사, 급여, 세무, 자산 등을 경남 창원시 마산 합포구 #@주소#인 사회복지 재단 해강마을 모든 직원에게 공개해야 한다는 민원으로 인해 지적을 받은 적이 있는 바 아직까지 그에 대한 공개를 하지 않아 세무 회계에 대한 투명성을 저하시키고 있습니다. 빠른 민원 처리 부탁 드리겠습니다.","['투명성', '저하', '사회복지시설', '정보', '공개']",세무,기타,요청/개선,사회복지과
"빠른 민원 처리를 요합니다. 2015년도 구청 세무회계의 투명성을 위해 사회복지시설 정보시스템 회계 및 인사, 급여, 세무, 자산 등을 경남 창원시 마산 합포구 #@주소#인 사회복지 재단 #@소속# 모든 직원에게 공개해야 한다는 지적을 받았는데 그에 대한 공개를 하지 않아 세무 회계의 투명성을 저하시키고 있습니다. 해결해 주십시오.","['세무 회계', '투명성', '저하', '사회복지시설', '정보', '공개']",세무,기타,요청/개선,사회복지과
"세무 회계의 투명성을 위해 사회복지시설 정보시스템 회계 및 인사, 급여, 세무, 자산 등을 경남 창원시의 마산 합포구 #@주소#인 사회복지 재단 #@소속# 모든 직원에게 공개해야 한다는 민원으로 인해 2015년도 구청에서 지적을 받은 적이 있는 바 아직까지 그에 대한 공개를 하지 않아 세무 회계에 대한 투명성을 저하시키고 있습니다. 신속한 민원 처리 바랍니다.","['세무 회계', '투명성', '저하', '사회복지시설', '정보', '공개']",세무,기타,요청/개선,사회복지과
"사회복지시설 정보시스템 회계 및 인사, 급여, 세무, 자산 등을 경남 창원시의 마산 합포구 #@주소#인 사회복지 재단 #@소속# 모든 직원에게 공개해야 한다는 민원으로 인해 2015년도 구청에서 세무 회계의 투명성을 지적을 받은 적이 있는 바 아직까지 그에 대한 공개를 하지 않아 세무 회계에 대한 투명성을 저하시키고 있습니다. 민원 해결을 부탁드립니다.","['세무 회계', '투명성', '저하', '사회복지시설', '정보', '공개']",세무,기타,요청/개선,사회복지과
"세무 회계의 투명성을 위해 2015년도 구청에서 사회복지시설 정보시스템 회계 및 인사, 급여, 세무, 자산 등을 경남 창원시의 마산 합포구 #@주소#인 사회복지 재단 #@소속# 모든 직원에게 공개해야 한다는 민원으로 인해 지적을 받은 적이 있습니다. 아직까지 그에 대한 공개를 하지 않아 세무 회계에 대한 투명성을 저하시키고 있으니 빠른 해결 바랍니다.","['세무 회계', '투명성', '저하', '사회복지시설', '정보', '공개']",세무,기타,요청/개선,사회복지과
