id 값,제목,분류,프로젝트 시작,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_LBO6,,보건・복지,,,,,,https://jejudsi.kr/issue/LBO6/RESPONSE,[],,
jejudsi_RPGP,시민참여를 통한 무장애여행 데이터 수집/개방,보건・복지,2019-05-31,,"장애인을 장애인으로만 보는 인식 개선의 필요성 (장애인을 비장애인과 동등한 관광객 또는 소비자로 볼 수 있도록 제도적, 환경적 지원이 필요함)사전정보를 통해 장애인 혼자서도 충분한 여행을 할 수 있는 정보제공의 필요성단순한 무장애 여행 콘텐츠를 넘어 이동 시 장애인에게 꼭 필요한 정보가 제공될 수 있는 무장애 여행 데이터 구축의 필요성문제의 중요성장애인여행의 가치는 단순히 여가를 넘어 인간다운 삶, 즉 신장된 인권의 상징이며 비장애인과 기회의 평등성을 공유하게 하는 것입니다. 그러나 비장애인 중심의 여행환경 속에서 신체적, 정신적, 인지적으로 일부 또는 모든 손상상태에 있는 장애인 여행자는 여행참여와 관련하여 배제된 환경에 놓여 있고, 이러한 환경은 정보의 접근성 결핍으로 장애인 여행활동의 제약사항으로 작용하게 됩니다. 이러한 문제점을 해결하기 위하여 관광시설의 barrier(장벽)을 명확하게 제시하여 ‘여행 카르테’ 시스템에 따라 이용자가 쉽게 여행정보를 활용할 수 있는 콘텐츠를 구축, 장해가 장애가 되지 않는 만족할 수 있는 여행정보 콘텐츠의 필요성이 중요합니다.토론 중점내용유니버셜 디자인 시대에 무장애 데이터 구축은 선택의 요구가 아닌 필수가 되어야 함낯선 곳을 가는 것에 대한 두려움이 큰 장애인들의 여행에 대한 장벽을 낮춰야 함무장애 정보를 제공함으로써 여행지 선택의 폭을 넓힐 수 있도록 해야 함 (접근 가능한 곳, 불편한 곳, 불편하지만 가고 싶은 곳 등)휠체어 종류(수동 혹은 전동)에 따른 무장애 데이터를 구축하고 제공해야 함형식에 그치지 않는 실질적인 정보를 제공할 수 있도록 데이터 구축 전 단계에서부터 완료 시까지 장애인이 참여하여 적극적 의견이 반영되어야 함단순 정보를 제공하는 것을 넘어 지도상의 다양한 인포그래픽을 활용하여 쉽게 인식할 수 있도록 구축해야 함","제안의 시작 장애인을 장애인으로만 보는 인식 개선의 필요성 (장애인을 비장애인과 동등한 관광객 또는 소비자로 볼 수 있도록 제도적, 환경적 지원이 필요함)사전정보를 통해 장애인 혼자서도 충분한 여행을 할 수 있는 정보제공의 필요성단순한 무장애 여행 콘텐츠를 넘어 이동 시 장애인에게 꼭 필요한 정보가 제공될 수 있는 무장애 여행 데이터 구축의 필요성문제의 중요성장애인여행의 가치는 단순히 여가를 넘어 인간다운 삶, 즉 신장된 인권의 상징이며 비장애인과 기회의 평등성을 공유하게 하는 것입니다. 그러나 비장애인 중심의 여행환경 속에서 신체적, 정신적, 인지적으로 일부 또는 모든 손상상태에 있는 장애인 여행자는 여행참여와 관련하여 배제된 환경에 놓여 있고, 이러한 환경은 정보의 접근성 결핍으로 장애인 여행활동의 제약사항으로 작용하게 됩니다. 이러한 문제점을 해결하기 위하여 관광시설의 barrier(장벽)을 명확하게 제시하여 ‘여행 카르테’ 시스템에 따라 이용자가 쉽게 여행정보를 활용할 수 있는 콘텐츠를 구축, 장해가 장애가 되지 않는 만족할 수 있는 여행정보 콘텐츠의 필요성이 중요합니다.토론 중점내용유니버셜 디자인 시대에 무장애 데이터 구축은 선택의 요구가 아닌 필수가 되어야 함낯선 곳을 가는 것에 대한 두려움이 큰 장애인들의 여행에 대한 장벽을 낮춰야 함무장애 정보를 제공함으로써 여행지 선택의 폭을 넓힐 수 있도록 해야 함 (접근 가능한 곳, 불편한 곳, 불편하지만 가고 싶은 곳 등)휠체어 종류(수동 혹은 전동)에 따른 무장애 데이터를 구축하고 제공해야 함형식에 그치지 않는 실질적인 정보를 제공할 수 있도록 데이터 구축 전 단계에서부터 완료 시까지 장애인이 참여하여 적극적 의견이 반영되어야 함단순 정보를 제공하는 것을 넘어 지도상의 다양한 인포그래픽을 활용하여 쉽게 인식할 수 있도록 구축해야 함우리나라 최고의 여행지인 제주는 무려 100여 곳의 장애인 시설 제공 여행지로 여행의 품격을 더하고 있다. 한라산 국립공원에서부터 성산일출봉에 이르기까지 다양한 풍경을 무장애 여행을 통해 모두와 함께 나눌 수 있어 더욱 빛나는 여행지이다. 하지만 장애인시설은 갖춰졌지만 여행의 당사자가 여행을 하기전 단계에서 정보를 획득할 수 있는 경로가 중구난방으로 분포되어있고 제주관광정보를 통합적으로 알려주는 사이트에서는 일반적인 정보(ex. 장애인화장실 유무, 주차장 수...)만 제공하고 정작 휠체어가 이동할 수 있는 관광지인지, 경사도가 몇도인지 등과 같은 여행당사자에게 중요한 정보를 알려주지 못하고 있다.지난해 말 문재인 정부 국무총리 주최의 제1차 관광진흥 기본 계획 발표에서 ‘쉼표가 있는 삶, 사람이 있는 관광’ 비전 하에 무장애 여행코스 발굴 및 무장애 관광환경 완결 등 장기적인 계획을 발표하기도 했다. 변화의 첫걸음이 나타나기 시작했다. 장애인과 관광이라는 접점의 논의가 활발한 가운데 ‘장애인 관광’이 아닌 ‘무장애 관광’에 대한 이해가 필요하다. 무장애 관광에서는 단순히 장애인을 대상으로 하지 않고 장애인, 노인, 임산부, 어린이, 일시적 장애인 등 대상을 다양하게 고려한다. 그리고 각기 다른 대상의 교집합 점을 활용해 이들의 제약 상태를 완화해 관광활동에 참여하는 방식을 채택한다.무장애 관광에서 장애인이 가장 중심에 있는 이유는 바로 장애인이 기준이 될 수 있기 때문이다. 장애인이 편한 환경은 누구에게나 편하기 때문에 무장애 관광에서 장애인 편의시설, 장애인과 관련된 환경의 편의성 확장은 매우 중요하다.또한 무장애여행 콘텐츠를 제작함에 있어서 어떤방식으로 정보를 제공할지도 고민을 해봐야한다",,https://jejudsi.kr/issue/RpGP/RESPONSE,[],42공감투표500표 달성되어 프로젝트화에 도전합니다. 해결방안 요약서 다운로드  공감투표기간 : 2019-05-31 ~ 2019-08-29공감투표 달성 기간 경과,
jejudsi_A8VM,,보건・복지,,,,,,https://jejudsi.kr/issue/A8vM/RESPONSE,[],,
jejudsi_A9NE,,보건・복지,,,,,,https://jejudsi.kr/issue/A9ne/RESPONSE,[],,
jejudsi_L4NP,,보건・복지,,,,,,https://jejudsi.kr/issue/L4nP/RESPONSE,[],,
jejudsi_LJYE,,보건・복지,,,,,,https://jejudsi.kr/issue/LjYE/RESPONSE,[],,
jejudsi_1EYY,,보건・복지,,,,,,https://jejudsi.kr/issue/1Eyy/RESPONSE,[],,
jejudsi_1ZD0,,보건・복지,,,,,,https://jejudsi.kr/issue/1zD0/RESPONSE,[],,
jejudsi_LJ9K,,보건・복지,,,,,,https://jejudsi.kr/issue/Lj9K/RESPONSE,[],,
jejudsi_1DZK,,보건・복지,,,,,,https://jejudsi.kr/issue/1dZK/RESPONSE,[],,
jejudsi_RVMO,,보건・복지,,,,,,https://jejudsi.kr/issue/RvMO/RESPONSE,[],,
jejudsi_1VXX,,보건・복지,,,,,,https://jejudsi.kr/issue/1VxX/RESPONSE,[],,
jejudsi_AMBZ,,보건・복지,,,,,,https://jejudsi.kr/issue/AmbZ/RESPONSE,[],,
jejudsi_1WMR,,보건・복지,,,,,,https://jejudsi.kr/issue/1WMr/RESPONSE,[],,
