id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_L4JN,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/L4JN/PROJECT,[],,
jejudsi_LYDG,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/LYdG/PROJECT,[],,
jejudsi_RPQY,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/RpqY/PROJECT,[],,
jejudsi_1DKA,사용자경험 분석을 통한 노인 친화적 대중교통정보 제공 방안 연구,도시・교통,,기간종료," 상세 내용프로젝트명 : <사용자경험 분석을 통한 노인 친화적 대중교통정보 제공 방안 연구> 2. 추진 목적 ■ 버스정류장의 일상적인 모습 가운데, 어르신들이 버스기사를 붙잡고 목적지를 물어보는 장면이 흔하게 관찰됨 ■ 버스정류장에서 제공하는 정보와 노인층이 원하는 정보 간의 형태 또는 제공방식이 불일치 ■ 제주도 대중교통정보시스템(BIS)의 첨단화의 이면에, 기기에 익숙하지 않은 노인층에게는 정보접근기회가 박탈되는 디지털 소외현상이 심화 ■ 지역사회의 고령화가 심화되고, 제주지역 내 이동의 편리성이 삶의 질을 결정하는 중요한 요소인 점을 고려할 때, 노인 친화적인 버스정보 제공 방안이 절실하게 필요  3. 추진 내용1) 고령층 대중교통 이용에 관한 사용자 경험 조사 및 분석 ○ 현장 이용 실태 조사 고령층의 경우 제주도청 인구통계 자료를 활용하여 거주순위별 타깃 지역선정 선정된 지역 버스정류장 현장 실태 조사실시 2) 고령층 버스 이용 빈도 및 주요 목적지에 대한 빅 데이터 구축 ○ 노인복지카드 버스 승/하차태그의 빅 데이터분석을 통한 주요 목적지 조사 및 분석○ 노인복지카드 버스 태그 외 T-Mony 버스 태그의 활용방안에 대한 검토 진행○ 조사결과를 향후 대중교통 정책수립에 활용 가능한 데이터 셋 형태로 제주데이터허브 공유 3) 고령층 버스번호 안내를 위한 시제품 제작○ 시각 : 목적지 중심 버스정보안내도/노선도 제작 및 부착 실험○ 음성 : 버스 정류장 내 음성정보 안내기기 제작 및 부착 실험 4) 고령층 버스번호 안내를 위한 카카오톡 기반의 쳇봇 개발○ 30곳의 버스정류장에서 출발지를 입력하면 도착 가능한 목적지 버스번호 안내   제주여상상업고등학교 목적지 중심 버스 노선번호 안내표 (지도형)제주여상상업고등학교 목적지 중심 버스 노선번호 안내표 (라인형) 하귀초등학교 동광양하귀초등학교, 동광양 목적지 중심 버스 노선번호 안내표 및 음성안내기기 부착 [이용자별 제주 버스정류장 이용현황] 데이터 셋 (제주데이터 허브 등록) 카카오톡 기반의 버스안내 챗봇 개발4. 추진 세부계획1) 고령층의 대중교통 사용자경험 조사 ◯ 1:1 대면 인터뷰로 변경20명의 면담요원을 선발하여 본 사업에 관한 기초적인 교육 후 선정지역에 60세 이상 노인층을 대상으로 심층 인터뷰 실시함(대상인원 152명)◯ 대상인원 간담회 개최고령층의 경우 별도의 간담회를 개최하여 심층면접 및 사전홍보가 필요할 것으로 예상됨, 이에 주민자치센터 및 노인정의 도움을 통한 간담회 개최를 진행하고자 하였으나 코로나19로 인하여 취소함 2) 문제정의 및 아이디어 도출 및 검증 ○ 사용자경험 분석 결과를 토대로 디자인씽킹 과정을 활용하여 문제를 재정의하고, 아이디어 도출○ 내부 연구원 및 디자인전문가 자문을 통한 아이데이션 진행 -> 문제정의 및 아이데이션 진행 3) 시제품제작을 위한 빅 데이터 분석 시범지역 선정 ◯ 버스정류장 승차태그의 데이터분석과 고령층 거주 우선순위를 고려하여 버스정류장 30곳 선정 (제주시 22곳, 서귀포시 8곳)◯ 선정된 버스정류장별 노인복지카드의 승하차 태그를 분석하여 주요하차지 선정 (10곳 이상) 4) 시제품 제작 ◯ 목적지 위주의 인포그래픽 개발- 정류장 부착용-30곳 (Basic Forms 2종 - 라인형, 지도를 이용한 그래픽 형 각각 30개씩 총 60개 개발)◯ 목적지별 버스번호 음성안내- 워킹목업 형태로 시범운영 2곳 설치 (하귀초등학교(하귀우체국방면), 동광양(광양사거리 방면))◯ BIT UX/UI 목적지 우선안내 포함된 개선안 디자인제시 및 매뉴얼 북 제작5세트 매뉴얼북 제작 진행 5) 홍보물 제작 및 배포 ◯ 리플렛 디자인 및 제작 - 1차 배포 : 버스 정류장내 이용객에게 배포- 2차 배포 : 해당지역 주민센터에서 배포◯ 홍보물제작- 물티슈, 수세미, 각티슈 제작- 해당지역 주민센터에 포스터 부착 및 홍보물 배포  5) 시범운영 및 만족도 조사 ◯ 시제품 시범운영 실시 - 시범운영 후 지속여부에 관해서는 관련기관과 협의 진행예정◯ 시제품 만족도 조사 진행  5. 기대효과 - 제주도 대중교통 선진화에 기여- 70세 이상 고령층을 위한 정책마련 기여- 고령층 외 정보 취약계층으로 사용 확대 기회제공- 새로운 비즈니스 모델 제시: 제주도를 시범적으로 운영 -> 전국으로 확대 가능한 모델로 확산가능(특허츨원중)빅 데이터와 디지털 기술이 융복합된 BIS의 진화 기대",,,,https://jejudsi.kr/issue/1dKa/PROJECT,[],, 관련 자료 
jejudsi_A6ON,대중교통을 이용한 마을도보여행 데이터 발굴ㆍ서비스,도시・교통,,기간종료," 상세 내용*도보 및 대중교통을 이용한 슬로우 트래블 방식의 관광 콘텐츠 구축을 위하여 다양한 지역을 대상으로 숨겨진 명소의 발굴을 진행합니다.  * 마을여행 콘텐츠는 대상마을의 이야기를 연결하고, 일정과 출발점 및 종점을 표현하는 웹형태의 정보제공 페이지와, 데이터베이스 구축을 위한 CSV파일로 제공됩니다. 또한 마을을 선정하여 브로셔와 파일 형태의 콘텐츠로 구성하여 서비스 합니다.수집- 도보 중심의 마을관광코스 개발- 마을관광 코스 개발을 위한 마을 가치 재발굴콘텐츠 검증- 각 콘텐츠의 내용의 정확성을 검증하고 올바른 데이터만 수집하여 콘텐츠화- 데이터 셋 구현- 검증된 데이터는 데이터셋으로 구현하여 응용서비스 활용에 제공",,,,https://jejudsi.kr/issue/A6on/PROJECT,[],, 관련 자료 
jejudsi_1VB0,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/1VB0/PROJECT,[],,
jejudsi_RB5O,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/Rb5o/PROJECT,[],,
jejudsi_1DKM,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/1dkM/PROJECT,[],,
jejudsi_A6KJ,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/A6kj/PROJECT,[],,
jejudsi_1EPY,,도시・교통,,기간종료,,,,,https://jejudsi.kr/issue/1EPy/PROJECT,[],,
