id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_L4JN,스마트폰 네비게이션 업체와의 협약을 통한 렌터카 운전 과속 방지 마일리지 제도,도시・교통,2023-03-17,진행,,"제주도는 대한민국의 가장 사랑받는 관광지이고 섬이라는 특색 때문에 렌터카 이용이 가장 높은 곳입니다.하지만 그러다 보니 렌터카 사고가 자주 일어나고 있고 해마다 관련 기사가 끊이지 않습니다.이런 제주도의 렌터카 사고 다발은 결국 관광객뿐만 아니라 제주도민에게도 큰 위협이 되고 있습니다. 하여 이런 사고를 줄이기 위해 사고의 주요 원인 중 하나인 과속을 줄여야 하는데관광객들에게 단순히 안전운전에 대한 캠페인이나 홍보만으로는 그 실효성이 크게 발생되지 못할거 같습니다. 하여 우리나라의 주요 스마트폰 네비게이션 업체인 카카오네비와 T-Map 과의제휴를 통해 제주도 내에서 렌터카를 이용하는 운전자가 운전을 하는 동안과속을 하지 않은 경우 관광지에서 내는 입장료의 일부를 할인해 주는 방식으로 유도를 하면 어떨까 합니다. 1. 관광객이 제주도에 입도하여 렌터카를 대여시 운전자의 개인정보를 스마트폰 네비게이션 업체에 등록 (렌터카 대여자만) 2. 카카오네비/T-map 과의 협약을 통해 해당 운전자가 제주도 내에서 스마트폰 네비게이션을 이용하면서 도로에서 과속을 하지 않고 운전한 경우 주행거리에 비례하여 마일리지 적립 3. 관광객은 해당 마일리지를 가지고 제주도에서 운영하는 주요 관광지에서 입장권을 구매할시 할인혜택을 받음 이렇게 관광객들이 자발적으로 과속을 하지 않고 안전운전을 할 수 있는 유도 방법을만들어 제주도내 렌터카 교통사고 발생율을 줄여 관광지로서의 안전도 개선하고실제 도민들의 안전도 확보하는 것이 어떨까 제안합니다. 아래는 작년에 제민일보에서 나온 제주도 렌터카 교통사고 관련 기사입니다. [ 최근 제주지역 렌터카 사고가 잇따르고 있는 가운데 지난해 전국에서 가장 심각한 것으로 나타났다.24일 제주도자치경찰단에 따르면 지난해 제주에서 발생한 렌터카 사고는 모두 603건으로 전체 교통사고 4373건의 13%를 차지하고 있다. 이는 전국 렌터카 교통사고 비율 5%(전체 20만3130건 중 렌터카 10만228건)보다 2.8배 높은 셈이다.특히 과속운전 시 사망률도 일반 교통사고 대비 28.3배 높은 상황이다. 같은 기간 제주지역 43건의 과속운전 사고로 모두 11명이 사망하면서 사망률은 25.5%로 집계됐다.반면 지난해 도내 전체 교통사고는 4373건이 발생해 모두 41명이 숨지면서 사망률은 0.9% 수준이다.실제 지난 20일 오전 3시38분께 제주시 애월읍 고내리 해안도로에서 렌터카가 전복됐다는 신고가 119에 접수됐다.이 사고로 렌터카에 타고 있던 20대 남성 2명과 여성 1명 등 3명이 숨졌으며 나머지 4명은 크게 다쳐 인근 병원으로 옮겨졌다.사고 당시 해당 렌터카에는 정원(5명)보다 많은 7명이 함께 타고 있었으며 경찰은 과속으로 주행하던 중 교차로에서 갓길에 있던 바위를 들이받고 전복된 것으로 보고 있다.이에 따라 제주도자치경찰단은 지난 22일 렌터카 교통사고를 예방하고 교통안전에 대한 관심을 높이기 위해 이호해수욕장 일대에서 '교통안전 캠페인'을 전개했다.이날 캠페인은 '속도를 줄이면 제주가 보인다'를 주제로 진행됐으며 도자치경찰단은 렌터카 이용객을 대상으로 과속운전 금지와 전 좌석 안전띠 착용 등을 당부했다.제주도자치경찰단 관계자는 ""규정 속도를 준수하는 등 안전 운전이 무엇보다 중요하다""며 ""안전한 제주 여행을 위해 안전띠 착용 등 적극 동참해 달라""고 말했다. 양경익 기자출처 : 제민일보(http://www.jemin.com) 22년 7월 기사 ]",,,https://jejudsi.kr/issue/L4JN/PROPOSE,[],,
jejudsi_LYDG,"제주도민 항공비, 승선요금 할인패스 만들어요",도시・교통,2023-03-16,진행,,"요즘 날도 풀리고 코로나도 줄어들어 제주도로 놀러가는 분들이 많다고 하네요제주관광이 풀리니 좋은 일이지만 정작 제주도민들은 항공비가 비싸져 외지로 나가는게 많이 힘들다는 이야기들이 심심치 않게 들려오고 있어요물론 제주도민 할인율이 적용은 되지만 천정부지로 올라가는 항공비, 승선요금 때문에 지출도 많이 늘고 또한 주말, 공휴일에는 적용이 안되는경우가 많아 가뜩이나 물가가 비싼 제주도민들의 부담이 많이 커져가는거 같아요그래서 제주도민들을 위한 교통비패스를 만들어서 일정한 금액으로 비행기나 배를 이용할 수 있다면 경제적 부담이 줄어들것 같아요항공사, 여객선, 그리고 제주도가 합심해서 제주도민을 위한 정기교통권을 만들어 주세요 ",,,https://jejudsi.kr/issue/LYdG/PROPOSE,[],,
jejudsi_RPQY,노인 일자리 제공 및 주차환경 개선,도시・교통,2023-03-07,진행,,"안녕하세요.  고용주차장 이용에 대해 제안드리고자 합니다.제안내용  :  토,공휴일 공영주차장 유료화  /  노인일자리 제공 및 수익추가실현. 제주시내 (현재 제가 이용하는) 공용주차장으로 대표적인 동문시장 공영주차장에 대한 이용 제안입니다.대부분 토.공휴일은 무료개방으로 알고 있습니다.이 때 내방하는 주차장 이용자들은 물론 무료이지요.  평일에 비해 이용하는 분들도 매우 많고 번잡합니다.주차관리하는 분이 안 계시니 당연히 그럴 수 밖에 없겠지요. 저의 제안은 노인분들에게 토,공휴일에 일자리를 제공하여 추차장을 평일처럼 유료로 전환하는 내용입니다.일자리 제공과 함께 이익추가의 결론을 낼 수 있으니 좋을 듯 합니다. 대부분 토,공휴일 이용하는 분들은 관광객들이 많습니다. 그리고 주차장 관리 부재로 일대 교통혼잡이 매우 큰 실정입니다. 노인들에게 주 8일 근무로 적당한 임금을 제공한다면 생활에도 보탬이 될 것이고 주위 교통난 및 혼잡한 부분도 어느정도해소될거라 생각 됩니다.저의 생각이였습니다.  감사합니다.",,,https://jejudsi.kr/issue/RpqY/PROPOSE,[],,
jejudsi_1DKA,사용자경험 분석을 통한 정보취약계층의 대중교통 이용 개선방안 연구,도시・교통,2019-07-09,프로젝트완료,,"제안의시작- 대중교통개편 이후 사용자 조사를 기반으로 한 대중교통 정책의 보완이 필요한 시점 도래- 인구 고령화에 따른 읍면동 지역 내 노인의 교통수요 증가와 교통서비스 접근성 향상 필요- 시내권의 경우 운행시간표와 대중교통 정보의 노인 가독성 및 접근성 제한- 원하는 목적지 및 노선에 대한 정보에 대한 이해 부족: 사용자경험 분석을 통한 정보취약계층의 편의를 고려할 필요가 있음. 1. 문제의 중요성대중교통 민원 중 노인층의 대중교통 이용과 관련한 내용 지속적으로 문제 제기돼 - 제주도청에 제기되는 민원 중 대중교통 이용과 관련된 내용이 상당수임. 그 중 대중교통 이용시 노인층이 겪는 애로 사항을 대신해 문제 제기하는 사례가 꽤 있음.- 웹 접근성이 떨어지는 고령층 노인의 경우에는 제주도청 홈페이지에 직접 민원제기가 제한적임을 감안할 때, 제주 지역 내 대중교통 주사용자인 고령층의 대중교통 이용시 불편사항은 민원제기 된 것보다 훨씬 클 것으로 예상할 수 있음.- 노인층의 불편사항을 관찰한 결과 버스 운전기사의 불친절, 무정차 운행 등 대중교통에 대한 문제제기 외에 ‘버스 노선 및 운행 시간 등 버스 정보에 대한 정보 불균형 ’때문에 발생하는 경우가 빈번함. 디지털기기 활용 중심의 정보제공, 그리고 그 이면- 학생이나 직장인과 같은 일반 성인의 경우 웹 또는 앱을 이용해 버스 정보를 확인할 수 있는데 반해, 고령층은 정류소에서 제공되는 버스 정보 외에 버스 정보에 접근할 방법이 제한적임.- 시내 주요 버스 승차대 시설에는 대부분 실시간 버스정보 안내기(BIS)가 설치되어 있으나 디지털에 소외되는 계층의 접근성은 떨어지고, 읍면동 지역의 경우 버스정보안내기가 없는 승차대가 대다수인 실정임.- 정류소에 붙여있는 버스 정보는 가고자하는 목적지 중심이 아닌 노선 중심의 정보. 목적지를 찾기 위해 모든 노선을 찾아가며 목적지 경유 여부를 확인해야 하며, 직관적이지 않아서 정보에 취약한 어르신들은 찾아오는 버스마다 붙잡고 목적지를 물어보는 장면이 목격됨.  지역의 특성을 고려한 사용자 중심의 대중교통 이용 개선 목적 데이터셋 구축 필요 - 2017.8월 제주도 대중교통체계의 개편은 특정인이 아닌 일반 대중의 통행편리에 목적을 두고 정해진 노선과 시간, 저렴한 요금에 대한 공감대 형성을 목적으로 추진해왔으나, 이제는 사용자 조사를 기반으로 한 정책 보완 혹은 맞춤형 해결 방안을 모색하는 것이 필요한 시점임.- 독립적이고 자발적인 이동권 확보는 고령층 노인들의 삶의 질과 직결되는 문제로 고령자를 위한 교통복지 측면에서 다뤄져야 함. 고령화가 진행 중인 서구사회에서는 노인 교통정책을 수립해 노인친화적 교통체계와 서비스 개선책 마련을 시도하고 있음.- 시범적으로 읍면동의 노인 교통 불편사항을 심층적으로 관찰하고, 버스 이용에 관한 노인 서비스 욕구에 따른 버스 노선 및 교통 서비스 관련한 이슈 도출, 길찾기 정보 서비스와 관련 노인 친화적 정보 요소의 확인이 필요함. 2. 토론 중점내용대중교통 문제에 관심 있는 도민들의 참여 방안 - 노인층의 교통 이용 현황 조사를 위해 사용자 관점에서 관찰, 밀착 인터뷰 등 필요(버스 노선 및 정보 전달 방식 확인- 노인층의 주요 목적지, 환승 여부, 버스정보 인식 수준 등)- 사용자 경험 수집을 함께할 시민 참여형 DB 구축 가능성 논의 필요- 경험 데이터를 분석 용이한 방식으로 온라인 DB 구축할 수 있는 프레임 구성사용자경험 위주의 데이터와 보편적으로 활용가능한 데이터셋 연계 방안- 이용목적, 승하차지점, 이동거리, 이용빈도 등 데이터 수집 및 집계▷ 공공데이터 수집과 분류 단계부터 고령층 노인 타겟 분석- 제주도 내 고령자 생활 패턴 조사, 분석으로 확장▷ 대중교통 뿐만 아니라 도내 노인 복지와 관련하여 유의미하게 활용될 수 있는 데이터셋 구축 가능성 모색 3. 문제정의 최종요약- 제주도의 대중교통체계 개편이 이루어졌으나, 도민들이 그 효과를 체감하지 못하는 상황.- 섬이라는 제한된 환경 속에서 늘어나는 차량으로 인한 교통문제와 인구의 고령화를 겪고 있는 제주에서 대중교통의 질적 개선은 시급히 당면한 과제.- 디지털 소외현상으로 인해 고령층 노인은 대중교통 정보를 얻기에 불편할 뿐만 아니라, 그런 불편이 민원으로 드러나기도 어려운 상황.- 지역별 정보취약계층(예: 고령층 노인)의 대중교통 이용에 대한 사용자중심의 접근 및 조사, 정보 제공 방식 및 접근 방법에 대한 개선방안이 연구되어야 할 필요가 있음.4. 참고자료서울연구원, 『세계도시동향』제452호,「고령화 대비 노인친화적 교통체계수립(호주 뉴사우스웨일州)」, 2019.(https://www.si.re.kr/node/61560)제주특별자치도,「2019년 7월말 자동차등록현황」, 2019.국토교통부, 교통안전공단, 「2017년 대중교통 현황조사 :종합결과 보고서」, 2017. - 제안 취지(제안에 관심을 가지게 된 이유, 계기)버스를 탈 때 어르신들이 기사님을 붙잡고 목적지를 물어보는 모습을 쉽게 볼 수 있습니다. 버스정류장에 나열되어 있는 정보들을 보는 것이 어르신들에게는 쉽지 않아 목적지로 가는 버스를 찾기 위해 도착하는 버스마다 붙잡고 기사님께 물어보고는 하죠.버스를 붙잡고 물어보는 할머니가 궁금한 정보는 ‘목적지 중심’이지만 버스정류장에서 제공되는 정보는 ‘노선 중심’입니다. 목적지에 가는 버스를 찾기 위해서는 정류장에 부착된 모든 노선정보를 뒤져서 자신이 가는 목적지를 경유하는 지 찾아야 합니다. 스마트폰 검색을 활용하면 편리하지만 디지털 정보 접근에 취약한 어르신들이 이용하기에는 너무 어렵습니다.- 제안의 중요성(제안한 사회문제가 중요한 이유)이와 같이 대중교통을 이용하면서 느껴지는 불편들은 도민의 목소리로 나타나고 있습니다. 제주도청 홈페이지를 통한 민원 제기 중 대중교통 이용에 대한 불편을 호소하는 민원이 가장 많다는 사실을 알고 계신가요? 대중교통에 대한 불편함 개선이 도민들에게 얼마나 중요하고 시급한 문제인지 알 수 있는데요. 이마저도 아쉽게도 인터넷에 접근하기 어려운 어르신 및 취약계층들의 목소리가 담기기는 어렵습니다.따라서 기존의 방식인 수치에 의한 정량적인 분석에 의한 대중교통정책보다 실제 버스를 이용하는 어르신 및 취약계층의 사용자경험을 분석하여 데이터로 구축하고, 버스정류장 시각정보 개선, 실수요를 반영한 버스노선 조정, 취약계층을 위한 행복택시 등 사용자경험이 고려된 다른 방식의 제주도내 대중교통 이용 개선방안이 필요합니다.본 제안이 실행된다면 다음의 프로세스를 통해 진행됩니다.제주도내 읍면동 지역을 중심으로 시범 지역을 선정합니다.대중교통 이용객을 관찰하고, 주요 목적지, 환승횟수, 접근성, 노선, 만족도 등 이용객의 데이터베이스를 구축하고, 사용자경험 분석을 통한 해결책을 모색합니다.데이터베이스를 바탕으로 도민들에게 정말 필요한 아이디어를 현실화하여 프로토타입을 제작합니다.시범기간 운영 후 개선방안을 적용하여 도내 여러 지역으로 확대 시행합니다.- 기대효과수집된 사용자경험 데이터는 도민들의 삶의 패턴을 파악할 수 있는 중요한 정책기초자료로 활용될 것이며, 도민들이 피부로 느끼는 불편을 해소하고 필요한 정보를 제공함으로써, 대중교통을 더욱 편리하게 이용할 수 있는 제주도를 만들어 가는데 기여할 것으로 기대합니다.",,,https://jejudsi.kr/issue/1dKa/PROPOSE,[],,
jejudsi_A6ON,뚜벅이여행을 위한 마을관광,도시・교통,2019-05-31,프로젝트완료,,"제안의 시작제주도를 방문하는 여행객들이 대중교통보다 렌터카를 주로 사용한다. 이러한 이유로는 버스노선 부족과 관광지에서 버스정류장이 멀리 떨어져 있어 대중교통을 사용하지 않는다. 문제를 인지하고 도에서는 대대적인 버스정책개선으로 대중교통의 편리함은 늘었지만 제대로 된 홍보와 관련콘텐츠가 부족한 현실이다.문제의 중요성교통서비스가 제공되지 않는 관광지인 경우 대중교통보다 렌트카를 이용하기 때문에 해당 지역 교통 혼잡이 발생하여 갈등이 생김제주도는 대한민국 대표 관광지임에도 불구하고 외국인이 여행하기에 대중교통이나 외국어 안내 표지판 등 정보획득이 너무 불편, 특히 안전과 관련된 병의원 위치, 랜트카 보험, 응급상황대처 등에 대한 정보제공이 필요버스노선 다변화로 도내 곳곳을 방문이 가능하지만 그 지역에 대해서 정보와 관련콘텐츠가 개발되지 않기 때문에 대중교통 개편효과가 미비함토론 중점내용시골 버스 정류장에서 그 마을의 가치있는 보물(유적, 자연경관 등)을 확인하고 도보로 찾아갈 수 있는 여행 콘텐츠 지역 선정관광지 정보가 파편화되어 관광객들이 수집하기 어려운 부분이 있기 때문에 데이터화할 수 있는 방안제주도 여행을 오는 대부분의 관광객들은 짧은 시간에 많은 곳을 구경하기 위해 렌터카를 많이 이용한다.하지만 운전이 불가능하거나 뚜벅이 여행을 온 관광객들은 관광택시를 이용하지만 비용면에서 부담스러울 수 있다. 그래서 가장 보편적인 버스를 이용해서 여행하는 경우가 대부분이다.제주도에서의 버스여행은 책으로도 나올 만큼 많이 소개되었지만, 버스 노선이 부족하거나 관광지에서 정류장이 멀리 떨어져 있는 등 이용하는데 어려움이 많았다.이러한 문제를 개선하기 위해 제주도는 준공영제 실시, 버스우선차로제, 시내외버스 통합 및 요금 통합, 급행-간선-지선체제 도입, 환승센터 및 환승정류장 도입, 만 70세 이상 어르신 및 장애인 무료 정책인 교통복지카드 등을 도입했다.새로 개편된 대중교통으로 마을의 알려지지 않은 명소를 발굴해 제주의 가치를 더하고, 렌터카 위주의 여행에서 대중교통 중심으로 여행 트렌드를 바꿔 나갈 것으로 기대하고 있다하지만 마을여행 콘텐츠가 서쪽에 집중되어있고, 개발이 미흡한 부분이 있어 뚜벅이 여행객들이 여행정보를 수집하기 어려운 실정이다. 이러한 문제를 해결하기 위해서 제주지역의 마을 여행지 분포를 분석하여 상대적으로 소외된 지역을 발굴하고, 해당 지역의 관광자원을 활용한 형태의 창의적 여행서비스를 제안한다.",,,https://jejudsi.kr/issue/A6on/PROPOSE,[],,
jejudsi_1VB0,제주공항 주차 변화가 필요해요!,도시・교통,2023-01-19,기간종료,, 육지에 갈일들이 많이 생기면서 공항에 자주 가다보니 제주공항 주차문제가 너무 심각하다는걸 알게 되었습니다.  문제점:1. 주차공간 부족2. 이면주차3. 전기차충전소 왜? 공항 주변 주차장 가격이 그동안 코로나영향으로 50% 감면이었으나공항과 같은가격이 되면서 모든 차량이 공항으로 몰림. 공항 주차 타워에가면 여기저기 빈공간엔 주차공간이 아니더라도 주차를 하고 있어서 주차장 안에서의 접촉사고도 빈번하게 일어나는 실정. 전기차 충전을 할 수 있는 기계가 10여대 있으나 그곳에는 충전을 하지 않는 전기차들이 대부분. 10만원의 과태료가 있으나 실질적으로 과태료를 청구하기는 어려운 실정.   어떻게? 단순하게 공항주변 공영주차장의 비용을 예전과 같이50% 할인한다면 자연스럽게 해결 될 수 있다고 생각합니다.  ,,,https://jejudsi.kr/issue/1VB0/PROPOSE,[],,
jejudsi_RB5O,범죄예방 및 빠른 수사를 위한 CCTV 및 방범용카메라 관리체계,도시・교통,2023-01-11,기간종료,,"CCTV(방범용카메라 등 제공되는 카메라 종류를 모두 포함하나 쉽게 CCTV로 통일하겠습니다. )는 범죄 예방및 수사과정에 반드시 이용되는 매체입니다.개인이 설치한 CCTV와 블랙박스 영상 등으로 대체 되기도 하지만 일일히 찾아보고 제보를 기다리는것은 상당히 비효율 적인 일 입니다.CCTV가 제대로관리된다면 최근 경찰청에서 자주 메세지가 오는 실종자 수색에도 사용될 수 있으며 , 청소년 마약 문제도 단속할 수 있는 수단이 될 수 있습니다. CCTV는 사각지대도 있을 수 있고 고장난채 방치된 CCTV가 있을 수도 있습니다.지금도 쉽게 국토교통부, 한국도로공사 등에서 제공하은 공공데이터를 통해 CCTV영상을 확인할 수 있는데 이처럼 도 내에 설치된 (개인이 설치한 것은 문제가 생길 수 있으니 국가에서 관리하는) CCTV를 관리하는 루트가 생겼으면 좋겠습니다. 제가 생각하는 것은제대로 송출되지 못하거나 노후되어 품질이 너무 저하된 CCTV의 교체가 가능하도록 서비스 구현CCTV가 설치된 지역과 설치되지 않은 지역을 분류하여 필요한 CCTV 대수 확장  생각한 것은 이정도이나 가치더함을 통해 좀더 구체적이고 활용도가 있는 서비스가 탄생했으면 좋겠습니다.",,,https://jejudsi.kr/issue/Rb5o/PROPOSE,[],,
jejudsi_1DKM,멜로디 도로,도시・교통,2022-12-02,기간종료,,"일본 군마현에 가면 몇몇 도로에 멜로디라인이라는 도로가 있습니다.전에 그 길을 차를 타고 가는데 갑자기 어디선가 익숙한 멜로디가 들렸습니다. 그 소리에 놀라 졸음이 확 깹습니다. 멜로디라인이라는 것이였어요. 원리는 단순합니다. 제주도에도 몇군데 있습니다만 내리막길에 가로로 촘촘히 홈을 내어 마찰소리와 함께 실제 제동을 돕는 줄무늬에 있습니다.줄무늬의 간격이 넓으면 저음이, 촘촘하면 고음의 소리가 납니다. 그것을 거리별로 계산하여 무늬를 내면 원하는 멜로디를 만들 수 있습니다.많은 사람들이 렌트카 여행을 하는 관광도시인 제주도에 딱 어울리는 것이라고 생각해서 글을 올립니다.비용이 많이드는 것도 아니고 음에 맞는 홈두께와 박자에 맞추는 거리계산도 어렵지 않습니다.소리를 들은 운전자와 동승객들은 깜짝 놀라 졸음운전방지는 물론 제동에 도움을 주면서 즐거운 주행이 되리라고 생각합니다.유튜브 동영상도 올리니 참고하세요.  https://youtu.be/WbUCgoN93DM",,,https://jejudsi.kr/issue/1dkM/PROPOSE,[],"멜로디 도로4100공감투표기간 :2022-12-02 ~ 2023-01-01※ 제안등록일로부터 30일 이내, 100표 도달 후 해결방안을 등록하면 공감투표로 진행됩니다. 공감 달성 기간 경과",
jejudsi_A6KJ,야간 교통사고 예방을 위한 지면 매립형 led 설치,도시・교통,2022-11-29,기간종료,,"비오는 날 저녁 운전을 하게되면 차선이 보이지 않습니다.연삼로, 오라오거리 등 공항에서 시내로 이어지는 부분에서도 차선이 보이지 않는 경우가 많은데, 제주도 지리에 서툰 관광객, 또는 초보 운전자들은 차선을 확인하느라 운전에 온전히 집중하지 못할수도 있으며 본인 또한 비오는 날 보이지 않는 차선 때문에 식은땀이 흐를 때가 있습니다.일부 어두운 동네에 보행자들의 안전을 위한 지면 매립형 led램프가 설치되어 있는 것을 보았습니다.해당 led 램프 또는 야간시간대 선명하게 보일 수 있는 재료의 차선을 마련하여 어두운 저녁, 또는 비오는 저녁 안전한 운전이 이루어질 수 있도록 제안합니다.  ",,,https://jejudsi.kr/issue/A6kj/PROPOSE,[],,
jejudsi_1EPY,"보행자, 운전자 모두를 위한 AI 신호등",도시・교통,2022-11-26,기간종료,,"얼마 전 한블리(한문철의 블랙박스 리뷰)라는 프로에서 횡당보도를 건너시던 어르신의 교통사고를 접하고 너무나 충격을 받았습니다.  신호등이 없는 횡단보도도 아니고 신호등이 있는데  조금만 주의를 기울이면 방지할 수 있는 사고지만 큰사고로 이어지는 경우들이 있어 제안합니다.   횡단보도를 건널 때, 아래의 상황을 경험해 보신적 있을신가요?    1. 아직 초록불이지만 빨간불로 변경되기까지 얼마남지 않은 시간 때문에 서두른 적 있다.   2. 이미 횡단보도에 진입했지만 다 건너기 전에 빨간불로 변경된 적이 있다.  아마 많은 분들이 한번씩 경험하셨으리라 생각됩니다.   이 외에도 어린이, 노약자 등 교통약자의 경우 신호등 시간이 충분치 않아 횡단보도를 이용하던 중에 신호가 변경되는 경우가 있습니다.  이렇게 신호가 변경되었을 때 이를 인지하고 대기하는 차량이 있는 반면 미처 발견하지 못하고 주행하다 사고가 나는 경우도 종종 있습니다.   횡단보도에서 발생하는 교통사고를 예방하고 보행자, 운전자 모두의 안전을 위해 초록불인 횡단보도에 보행자가 진입했다면  완전히 건널 때까지 신호등이 초록불로 유지되는 AI 신호등을 제안합니다.  ",,,https://jejudsi.kr/issue/1EPy/PROPOSE,[],,
