id 값,제목,분류,프로젝트 시작,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_ARBQ,당신은 어떤 제주를 입고 있나요?,문화・교육,2023-01-03,,,"하와이엔 하와이안 셔츠, 영국엔 트렌치코트!그러면 제주는 ? ...여러분, 제주도하면 떠오르는 것이 무엇이 있나요?  의식주 문화를 떠올려보면 음식하면 흑돼지.멜젓.고사리 등이 있고,주거하면 정낭.초가. 올레 등이 있는데요. 그럼 의(衣)? 옷은?  흔히 갈옷이나 해녀복을 떠올리곤 하죠. 하지만, 이에 대해 많이 아시는 분은 없을겁니다. 출처 : 롯데호텔매거진 / 연합뉴스  저희는 현재 식음료나 문화재에만 치우친 제주 콘텐츠 현황에서는 아무도 다루지 않았지만,사람들의 삶의 양식을 가장 직접적으로 드러내는 의복을 다루며 제주의 새로운 매력을 알리고 싶었습니다. 복식은 사회를 반영하는 시대의 거울이라고 불릴만큼 지역의 자연환경. 사회. 문화를 모두 드러내잖아요, 그래서 저희는 ‘의(衣)견교환’ 프로젝트를 통해 제주 옷에 대한 제주 도민의 생활상을 알아보고자 합니다.          ",,https://jejudsi.kr/issue/Arbq/RESPONSE,[],562500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2023-01-03 ~ 2023-03-04공감투표 달성 기간 경과,
jejudsi_1PYE,"""제주도는 한 다리 건너면 다 아는 사람들이지!""",문화・교육,2022-10-20,,," “제주도는 한 다리 건너면 다 아는 사람이야!”“맞아. 제주에서는 학연, 지연보다도 센 것이 괸당이지.” 여러분, 제주도의 <괸당 문화>를 아시나요? ‘괸당’이란 친·인척을 뜻하는 제주어에요.‘괸당 문화’란 좁은 지역적 특성으로 지연과 혈연에 중복이 생기면서, 알고 보면 모두가 친척이라고 생각하는 공동체 문화를 말합니다.한편으로는 폐쇄적인 관계 중심으로 흐르는 문제가 되기도 하고, 익명성이 갖는 장점도 없어요.서로서로 다 알다보니 사생활 관련된 부분들까지도 다 노출되는 단점이 있지요. 그러다보니 제주도민은 눈칫밥을 먹을 수밖에 없는 애환을 가지고 있어요.지역이 좁다보니 사적으로든 공적으로든 사람들은 다 연결돼있고, 그덕에 소문이 빨리 퍼지는 경향이 있기 때문이에요.   말과 행동, 하나 하나가 조심스러운 제주에서의 생활 예를 들어, 새로운 사람을 만나고싶어 소개팅을 나갔는데 알고보니 전애인의 친구라면?친구들끼리의 술자리에서 창피한 일이 있었는데 하필이면 그자리에 직장 상사의 가족이 있었다면?생각만해도 불편하고 창피한 만남이죠. 이런 일이 제주에서는 비일비재하다는 점, 도민이라면 분명 느끼고 계시겠죠?   괸당 문화가 있는 좁디 좁은 제주에서 마음 편한 관계를 만들 수 있을까요? 사회적 동물인 인간은 새로운 관계를 계속해서 만들어 가고싶은 욕구가 있어요. 하지만 제주에는 괸당 문화가 있잖아요.눈치보지 않고 이것저것 편히 얘기할 수 있는 사람!나를 아는 사람말고, 내가 아는 사람말고, 껄끄러운 관계도 아닌 새로운 사람!부담없이 툭 터놓고 자유롭게 대화할 수 있는 자리! 어디 없을까요?   눈치 보고 소극적이게 되는 관계와 위축된 심리.도민들도 마음 편하고 솔직한 소통을 하고 싶어요! ",,https://jejudsi.kr/issue/1Pye/RESPONSE,[],511500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2022-10-20 ~ 2022-12-19공감투표 달성 기간 경과,
jejudsi_R3R2,유니버설 디자인 그게 뭐야?,문화・교육,2022-11-07,,,"유니버설 디자인 그게 뭐야?- 다양성의 공존, 유니버설디자인 인식 개선 -    ・제안의 시작 - 자원봉사 활동도 이제 ‘온라인’으로 코로나 19 이후, 사회 시스템의 변화는 자원봉사 영역에도 영향을 미쳤다.오프라인에서 온라인, 대면에서 비대면으로 사회 시스템이 전환되면서, 자원봉사 활동 역시 비대면 또는 온라인 자원봉사 활성화 방안의 모색이 요구되고 있다.우리나라의 경우에서도 전체 일정 100%가 온라인에서 이루어지는 온라인 자원봉사 프로그램까지 시도되고 있다. <1365 자원봉사 포털 2021년 data 기준 온, 오프라인 자원봉사활동 추이 변화(참여자 기준)>  - 청소년 대상의 온라인 자원봉사활동 발굴 필요 코로나로 이후 대면활동이 제한되면서 청소년의 자원봉사 참여는 급격한 감소를 맞이하였고,봉사기관에서는 자발적인 참여를 유도할 수 있는 새로운 방식의 자원봉사 활동 방안이 요구되고 있다. 제주시 자원봉사센터는 이러한 변화에 따라 시민이 주체가 되어 시민공감 의제를 발굴하고, 시민 참여를 독려하는 활동을 발굴하기 위해 2021년 소도리 공론장이 열렸다.이 때 ‘유니버설 디자인 시민인식 개선을 위한 활동 발굴’이 제안되었다.자원봉사 활동은 청소년으로 하여금 시민사회의 주체로서 지역문제를 해결하고 지역 공동체를 회복하는 자신에 대한 인식과 성장에 중요한 역할을 한다.특히 제주시 자원봉사 센터에서 제안된 ‘유니버설 디자인 인식 개선 활동’은 연령, 성별, 국적, 장애의 유무 등에 관계없이 모두가 편안하게 이용할 수 있는 건축, 서비스, 환경 등에 적용하는 것으로 청소년들에게 다양한 시민 사회 일원에 대해 생각해 볼 수 있는 주제이다.   - 일상 속 유니버설 디자인- 국제 도시로서 제주도, 유니버설 디자인에 대한 도민 정체성과 공감대 강화 필요 (2020년 제주특별자치도 유니버설디자인 인식현황조사)-> 교육과 체험을 통해 유니버설 디자인 인식 개선 필요성 공감대 형성 ・ 이해 관계자 인터뷰 결과  어떻게 하면 많은 시민들에게 유니버설 디자인에 대해 쉽고 재미있게 전달 할 수 있을까?",,https://jejudsi.kr/issue/R3r2/RESPONSE,[],516500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2022-11-07 ~ 2023-01-06공감투표 달성 기간 경과,
jejudsi_LQDJ,탐라대학교 부지 활용 프로젝트,문화・교육,2021-11-30,,"젝트   - 도내 진로교육 풀 확대 및 일자리 창출과 지역경제 활성화   - 도내 진로체험 프로그램 확대를 통한 교육 기회 증대   -""제주글로컬진로센터"" 운영을 통한 도내 진로 직업 교육확대와  지역경제 활성화 추구○ 구)탐라대학교 부지 활용· 2016년 도에서 416억원을 들여 매입 후 방치 중인 옛 탐라대학교 부지의 활용· 지난 5년간 해외대학 유치, 연수원 설립 등 활용 논의가 오갔으나 빈번이 무산· 유휴지의 교육기관으로의 활용을 통한 지역사회 환원○ '제주글로컬진로센터'란?    Global(국제) + Local(현지)의 합성어로  Glocal(지역 특성을 살린 세계화)를 의미합니다.   유, 아동,청소년을 위한 진로체험 교육과 은퇴세대들을 위한 20~30년 지속 유지할 수 있는 일자리 연구와 제공, 청년 세대와의 소통을 협업을 통한 '평생 진로교육'을    추진하며   지역과의 상생을 목표로, 6차 산업과  메타버스( IT,AI)세계를 함께  경험할 수 있는 융복합교육센터를 목표로 하고 있습니다.		","			○지역상생프로젝트   - 도내 진로교육 풀 확대 및 일자리 창출과 지역경제 활성화   - 도내 진로체험 프로그램 확대를 통한 교육 기회 증대   -""제주글로컬진로센터"" 운영을 통한 도내 진로 직업 교육확대와  지역경제 활성화 추구○ 구)탐라대학교 부지 활용· 2016년 도에서 416억원을 들여 매입 후 방치 중인 옛 탐라대학교 부지의 활용· 지난 5년간 해외대학 유치, 연수원 설립 등 활용 논의가 오갔으나 빈번이 무산· 유휴지의 교육기관으로의 활용을 통한 지역사회 환원○ '제주글로컬진로센터'란?    Global(국제) + Local(현지)의 합성어로  Glocal(지역 특성을 살린 세계화)를 의미합니다.   유, 아동,청소년을 위한 진로체험 교육과 은퇴세대들을 위한 20~30년 지속 유지할 수 있는 일자리 연구와 제공, 청년 세대와의 소통을 협업을 통한 '평생 진로교육'을    추진하며   지역과의 상생을 목표로, 6차 산업과  메타버스( IT,AI)세계를 함께  경험할 수 있는 융복합교육센터를 목표로 하고 있습니다.○ 지역사회 문제점  · 교육   - 입시 위주로 이뤄지는 도내 교육   - 전국 최저 수준의 도내 진로직업체험 인프라  · 일자리   - 청년 일자리 부족, 인재 도외 유출 심화   - 전공·일자리 미스매치로 인한 청년 실업률 상승  · 고령화   - 급속도로 진행되는 도내 인구 고령화로 인한 노인빈곤, 노인실업 문제  · 지역불균형   - 산남·산북 지역 인구 격차 증가   - 심화된 도내 교육 및 의료, 서비스 분야 인프라 차이  · 환경   - 구) 탐라대학교 부지 등 유휴지 폐가화   - 폐건물 리사이클링 필요성 대두		",,https://jejudsi.kr/issue/LqDJ/RESPONSE,['\xa0미추진 사유\t\t\t\t본 제안은 아쉽게도 미추진 되었습니다.\t\t\t'],504500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2021-11-30 ~ 2022-01-29공감투표 달성 기간 경과,
jejudsi_AKXX,다문화가정 자녀교육 정보접근성 개선 프로젝트,문화・교육,2021-08-03,," 다문화 사회 가속화 제주 지역 인구동태 통계 기준(2018년)혼인 신고한 다문화 부부는 443쌍으로 전체 혼인 중 다문화 혼인이 차지하는 비중 12%로 전국 지자체 중에 가장 높은 편○ 전체 학생 중 다문화 가정 자녀 비율 가파르게 상승 중 초중고 재학 중인 다문화 학생 수(2018년 기준) 1,706명 2015년 대비 82% 증가한 수치 그 중 초등학생 82.7%로 다수 차지 향후 중고등학생 비율이 대폭 증가 전망○ 다문화학생의 높은 학업 중단율 다문화 자녀 100명 중 1명 학업 중단 내국인 학업 중단률 비교시, 4.5배 차이 언어 교육과 더불어 부모와 자녀간 소통 부재로 인한 문제 다문화 가정 엄마 자녀 교육 관심과 열의에도 불구 자녀 양육에 대한 정보, 지지와 이해 받을 곳 충분하지 않아 자녀 양육의 주체로 자리 매김 한계		","			○ 제주 사회 다문화 사회 가속화 제주 지역 인구동태 통계 기준(2018년)혼인 신고한 다문화 부부는 443쌍으로 전체 혼인 중 다문화 혼인이 차지하는 비중 12%로 전국 지자체 중에 가장 높은 편○ 전체 학생 중 다문화 가정 자녀 비율 가파르게 상승 중 초중고 재학 중인 다문화 학생 수(2018년 기준) 1,706명 2015년 대비 82% 증가한 수치 그 중 초등학생 82.7%로 다수 차지 향후 중고등학생 비율이 대폭 증가 전망○ 다문화학생의 높은 학업 중단율 다문화 자녀 100명 중 1명 학업 중단 내국인 학업 중단률 비교시, 4.5배 차이 언어 교육과 더불어 부모와 자녀간 소통 부재로 인한 문제 다문화 가정 엄마 자녀 교육 관심과 열의에도 불구 자녀 양육에 대한 정보, 지지와 이해 받을 곳 충분하지 않아 자녀 양육의 주체로 자리 매김 한계 다문화 가정 엄마에게 교육(학업,진로,과외활동 등) 정보를 알 수 있는 창구 필요 - 다문화 가정 인터뷰 중 -“한국말을 잘 못해서 자녀 교육과 관련한 정보를 어디서 구해야 할지, 한국 친구도 없어서 물어볼 곳이 마땅치 않아요.”“학교 서류를 이해할 수 없을 때가 많은데 남편에게만 의존해야 해서 답답해요.”자녀 교육에 대한 관심은 모든 엄마의 공통 사항, 다문화 가정 엄마도 자녀 교육에 관심이 높은편, 질 좋은 교육 원함엄마가 자녀의 진로와 교육에 대한 정보를 쉽고 정확하게 찾을 수 있는 창구가 필요한국말을 잘 모르는 엄마에게 알림장, 통신문 등 자녀의 학교 생활 알림 방안 필요- 다문화 가정 인터뷰 중 -“학교에서 오는 알림장을 읽고 준비물이나 학교 과제를 잘 챙겼으면 좋겠는데 한국말을 잘 모르고,한국의 교육 제도를 잘 몰라서 이해되지 않을때가 많아요. 우리 아이가 학교에 잘 적응할 수 있도록 엄마로서 알아야 할 정보를제대로 알 수 있다면 좋겠어요.”상시적 정보 확인이 가능한, 다문화 가정 맞춤 번역 데이터 구축 필요-다문화 가정 인터뷰 중 -""처음 온라인 수업 알림장을 받고, 어떤 수업인지 잘 이해가 되지 않아서 학교에 컴퓨터를 주는지 물어 봤어요.""가정 통신문 번역 지원, 상시적이지 않아 제 때 전달 한계다문화 자녀 도심 외 지역 학교에 주로 분포, 물리적인 서비스 지원 한계한국 문화 맥락적 이해 낮아, 다문화 가정에 맞춘 쉬운 단어와 부가 설명 필요학교 알림장 앱 ‘자동 번역 보기’서비스, 번역 오류 많아 정확성 제고 필요다문화 가정에 맞춰 교육 정보의 충분한 번역 데이터 확보 필요",,https://jejudsi.kr/issue/Akxx/RESPONSE,[],523500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2021-08-03 ~ 2021-10-02공감투표 달성 기간 경과,
jejudsi_LQRJ,,문화・교육,,,,,,https://jejudsi.kr/issue/LqrJ/RESPONSE,[],,
jejudsi_1GNP,,문화・교육,,,,,,https://jejudsi.kr/issue/1gNP/RESPONSE,[],,
jejudsi_1NGQ,,문화・교육,,,,,,https://jejudsi.kr/issue/1nGq/RESPONSE,[],,
jejudsi_107Y,사라져가는 것들을 위하여.,문화・교육,2022-08-27,,,"제주에 내려온지 10년 그동안 그 훨신 이전부터 제주의 독특한 문화는 사라져갔다. 그리고 그 기억은 소수의 이야기로 전해오고 또는 사진,영상으로 기록되어 전해졌다. 그리고 지금도 제주의 문화는 사라지고 있다. 제주 민예총 행사를 다니며 굿을 보러다니며 신화를 공부하며 이 것이 귀한것을 다시 알게 되었다. 내가 반했던 제주의 멋.이 것이 귀한것을 다시 알고 나는 다시 생각하게 되었다. 이 귀한것을 기록하고 복원하며 발전시킬 방법을.언리얼엔진 과 3d스캐너 문화재 복원 프로그램. 메타공간으로 - 신성의 복원을 위하여. 사라져가는 것들을 위하여 ","158500※ 해결방안 등록일로부터 60일 이내, 누적 500표 도달한 경우 프로젝트화에 도전합니다.  공감투표기간 : 2022-08-27 ~ 2022-10-26공감투표 달성 기간 경과",https://jejudsi.kr/issue/107y/RESPONSE,[],,
jejudsi_R2Q6,,문화・교육,,,,,,https://jejudsi.kr/issue/R2q6/RESPONSE,[],,
jejudsi_LBVO,,문화・교육,,,,,,https://jejudsi.kr/issue/LBvO/RESPONSE,[],,
jejudsi_LQEJ,,문화・교육,,,,,,https://jejudsi.kr/issue/LqeJ/RESPONSE,[],,
jejudsi_A6NZ,,문화・교육,,,,,,https://jejudsi.kr/issue/A6nZ/RESPONSE,[],,
jejudsi_A66Z,,문화・교육,,,,,,https://jejudsi.kr/issue/A66Z/RESPONSE,[],,
jejudsi_R2EO,,문화・교육,,,,,,https://jejudsi.kr/issue/R2Eo/RESPONSE,[],,
jejudsi_RVNE,,문화・교육,,,,,,https://jejudsi.kr/issue/RvNE/RESPONSE,[],,
jejudsi_LXZN,,문화・교육,,,,,,https://jejudsi.kr/issue/LxzN/RESPONSE,[],,
jejudsi_ADXZ,,문화・교육,,,,,,https://jejudsi.kr/issue/ADxZ/RESPONSE,[],,
jejudsi_LYG4,,문화・교육,,,,,,https://jejudsi.kr/issue/LYg4/RESPONSE,[],,
jejudsi_RVNE,,문화・교육,,,,,,https://jejudsi.kr/issue/RvnE/RESPONSE,[],,
