id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_RB5J,,관광,,기간종료,,,,,https://jejudsi.kr/issue/Rb5J/PROJECT,[],,
jejudsi_LGG0,,관광,,기간종료,,,,,https://jejudsi.kr/issue/LGg0/PROJECT,[],,
jejudsi_LX8R,,관광,,기간종료,,,,,https://jejudsi.kr/issue/LX8r/PROJECT,[],,
jejudsi_RZJG,,관광,,기간종료,,,,,https://jejudsi.kr/issue/RZjg/PROJECT,[],,
jejudsi_RWJZ,,관광,,기간종료,,,,,https://jejudsi.kr/issue/RwJZ/PROJECT,[],,
jejudsi_AKNY,,관광,,기간종료,,,,,https://jejudsi.kr/issue/AkNy/PROJECT,[],,
jejudsi_LJZE,,관광,,기간종료,,,,,https://jejudsi.kr/issue/LjZE/PROJECT,[],,
jejudsi_1DPM,,관광,,기간종료,,,,,https://jejudsi.kr/issue/1dPM/PROJECT,[],,
jejudsi_RPQK,,관광,,기간종료,,,,,https://jejudsi.kr/issue/RpQK/PROJECT,[],,
jejudsi_1WLK,,관광,,기간종료,,,,,https://jejudsi.kr/issue/1WlK/PROJECT,[],,
jejudsi_17OP,,관광,,기간종료,,,,,https://jejudsi.kr/issue/17oP/PROJECT,[],,
jejudsi_R342,,관광,,기간종료,,,,,https://jejudsi.kr/issue/R342/PROJECT,[],,
jejudsi_RZ5G,,관광,,기간종료,,,,,https://jejudsi.kr/issue/RZ5g/PROJECT,[],,
jejudsi_LGJL,,관광,,기간종료,,,,,https://jejudsi.kr/issue/LGjl/PROJECT,[],,
jejudsi_A9Z9,,관광,,기간종료,,,,,https://jejudsi.kr/issue/A9Z9/PROJECT,[],,
jejudsi_RYK6,,관광,,기간종료,,,,,https://jejudsi.kr/issue/Ryk6/PROJECT,[],,
jejudsi_L4X3,,관광,,기간종료,,,,,https://jejudsi.kr/issue/L4X3/PROJECT,[],,
