id 값,제목,분류,프로젝트 시작,프로젝트 종류,상세 내용,제안의 시작,주요제안(문제정의),해결방안,링크,미추진 사유,공감투표 참여안내,참고자료
jejudsi_A6KK,,환경,,기간종료,,,,,https://jejudsi.kr/issue/A6kK/PROJECT,[],,
jejudsi_1EP2,,환경,,기간종료,,,,,https://jejudsi.kr/issue/1EP2/PROJECT,[],,
jejudsi_RW3Z,버섯 균사체를 활용한 친환경 소재를 통해 지역 경제 발전과 영농 폐기물 감소,환경,2022-04-08,기간종료,," 제안의 시작-제주도 아름다운 해안가, 마을 길을 걷다 보면 각종 쓰레기들이 버려져 있습니다.  영농 폐기물중에 지자체에서 보조금을 통해 폐비닐과 농약은 회수를 하고 있지만묘종 트레이는 영농 폐기물로 재활용이 안되며 보조금조차 없어 자발적인 회수에 많은 어려움이 있습니다.이런 묘종 트레이를 만드는 과정 또한 플라스틱, 폐수, 탄소 등과 같은 환경오염을 야기합니다.또한 도내에서는 도외에서 구입 후 생성된 쓰레기가 도내에서 태워지거나 몰래 버려지고 있는 상황입니다.이런 묘종 트레이는 생산하는 과정부터 버려지는 과정까지 많은 환경오염을 야기하며 최종적으로 도내 토양오염을 악화시킵니다.		"," 주요제안(문제정의)			-제주도 아름다운 해안가, 마을 길을 걷다 보면 각종 쓰레기들이 버려져 있습니다.  영농 폐기물중에 지자체에서 보조금을 통해 폐비닐과 농약은 회수를 하고 있지만묘종 트레이는 영농 폐기물로 재활용이 안되며 보조금조차 없어 자발적인 회수에 많은 어려움이 있습니다.이런 묘종 트레이를 만드는 과정 또한 플라스틱, 폐수, 탄소 등과 같은 환경오염을 야기합니다.또한 도내에서는 도외에서 구입 후 생성된 쓰레기가 도내에서 태워지거나 몰래 버려지고 있는 상황입니다.이런 묘종 트레이는 생산하는 과정부터 버려지는 과정까지 많은 환경오염을 야기하며 최종적으로 도내 토양오염을 악화시킵니다.제주도 1차산업은 관광업 다음으로 높은 비율을 차지하고 있으며 도외 수출품목 또한 오랫동안 1차산업 품목이였습니다.1차 산업에 영농 폐기물에 대해서 제안을 할것이며 그중 묘종트레이 대해서 지적할것입니다.묘종 트레이는 농가에서 이식 재배를 위한 필수자재 입니다육묘장에서 묘종을 키워 농가에서 이식을 통해 농산물을 생산해 가고 있어 묘종 트레이는 이런 과정에서 필수적인 제품이며 가격 경쟁력도 우수하여 대체품을 마련하기에 어려움 겪고 있습니다.-묘종 트레이는 플라스틱(PP)를 활용하고 있으며 재활용이 되지 않고 생활 폐기물로 분리하여 매립 또는 태워지고 있습니다.21년 도청에서 농협에 위탁 수거를 지원하고 있으며 제주시 7개 농협에서 묘종트레이 수거를 17톤가량을 수거했습니다.추자도,우도,비양도등 들어간 묘종 트레이는 수거 자체도 되지 않고 있으며 이런 문제를 해결하기 위한 노력들이 계속 되고있습니다.		",,https://jejudsi.kr/issue/Rw3Z/PROJECT,['\xa0미추진 사유'],524500공감투표500표 달성되어 프로젝트화에 도전합니다.  공감투표기간 : 2022-04-08 ~ 2022-06-07공감투표 달성 기간 경과,
jejudsi_AR65,제주 폐 플라스틱을 활용한 제품 제작과 더불어 도내 환경 캠패인 순환 구조 확립,환경,,기간종료," 상세 내용※ 추진 방향가. 캠페인 협업◦ 도내 대학과의 캠페인 협업을 기획◦ 제주대학교 링크플러스사업단을 통해 봉사 시간 및 물자 지원 확보◦ (사)제주올레, (사)청년제주와 인적자원, 행사 기획 구체화 방안 논의◦ 올레길, 해안 정화 작업 등을 실시하기 위해 수거 업체 파악 및 현장 답사 기획◦ 월별 정화 작업을 실시하며 추가적으로 지역 활성화를 위한 연계 활동 모색 나. 수거 체계◦ 제주개발공사와 제주 지속가능발전 협의회 ‘제주 플라스틱 분리 배출 실천 캠페인’ 사업- 도내 32개의 참여 단체의 연간 수거를 총 담당하는 협업 기업으로 선정- 자체 창고를 통해 수거된 병뚜껑을 무상으로 활용할 수 있도록 수거 체계 구축 ◦ 제주대학교 병뚜껑 수거함 배치- 제주대학교 신관 및 단과대 병뚜껑 수거함 배치를 통해 발생되는 병뚜껑 수거 체계 마련- 수거 할당량 도달 시 제주개발공사 장학금 후원- 추가적으로 자체 장학금 지원 예정  독립적 수거 체계 기획- 기존 참여 단체와 캠페인 종결 이후 자체적인 리워드 제공을 통한 재참여 여부 파악 중- 도내 호텔 관련 기업과의 mou를 통한 도내 숙박시설 수거 체계 마련 논의 중- 분리배출 교육 캠페인을 재편성하여 수거 체계 확보 및 환경 교육 방안 제시 다. 제품 기획, 제작캠페인- 수거 – 제품 기획 – 가공 – 매입 – 외주 생산 – 검수 – 홍보 – 포장 - 판매 순으로 진행 캠페인 : 제주대 병뚜껑 분리배출 캠페인, 제주개발공사, 제주 플라스틱 분리 배출 실천 캠페인수거 : 도내 30개 참여 단체 방문을 통해 수거 이후 원재료 확보제품 기획 : 제품의 제작 가능성, 단가, 타당성 파악 후 디자인 기획가공 : 버클 - 우진 플라스틱, 시트 – 자체 제작, 챙심 – 신영 하이텍매입 : 원단 - 뷰 컴퍼니, 아트임팩트외주 생산 : 아트 임팩트, 대도모자, 프로젝트 1907, 데일리스티치 등 소량 외주 제작 가능 업체 확보검수 : 도담스튜디오홍보 : 인스타그램, 와디즈 펀딩포장 : 리그라운드판매 : 네이버 스토어, 와디즈 펀딩 라. 홍보, 판매◦ 제품 생산 이후 홍보, 판매의 경우 자체 유통 채널 활용 (네이버스토어)◦ 일련의 사업화 과정을 영상, 사진 등 기획 자체 스토리 텔링을 통한 크라우드 펀딩 진행◦ 제주대학교, 한라대학교, 링크플러스 사업단 등의 자체 홍보 채널 활용 바이럴 마케팅 진행마. 후원금 마련◦ 홍보, 판매 이후 생산 소요 비용 제외 매출 일부를 후원기금으로 조성◦ 제주대 병뚜껑 수거 캠페인에 따라 개발공사 자체 장학금 지원◦ 제주대 병뚜껑 수거량 일정 무게 달성 시 자사 자체 장학금 추가 지원※ 프로젝트 수행가. 캠페인① 6월 - 환경의 날 캠페인- 제주도청, 제주지속가능발전협의회 주관 환경의 날 행사 개최 (21.06.05)- 주요 내용 : 업사이클 제품 전시, 판매 업체로 선정- 행사 일시 : 21.06.05 (10:00 ~ 17:00)- 참여 인력 : 총 30명 참여(지속가능발전 협의회 일동, 제주랩, 도담스튜디오, 클린보이즈 클럽 등)- 행사 장소 : 제주시 민속 오일시장 도두동 재활용센터- 행사 결과 : 약 500명 인원 행사 관람 및 재활용 체험 ② 7월 - 봉그러가게 플로깅 캠페인- 제주지속가능발전협의회 주관, 제주환경 운동연합 주관 캠페인 (21.07.17)- 주요 내용 : 플로깅 참여 업체로 선정- 행사 일시 : 21.07.17 (14:00 ~ 18:00)- 참여 인력 : 총 30명 참여(지속가능발전 협의회 일동, 보나바, 도담스튜디오, 봉그젠, 지구별 약수터 등)- 행사 장소 : 제주시청 인근- 행사 결과 : 시청 인근 쓰레기 수거 후 분리 배출 진행 ③ 8월 – 업사이클 수거함 전달- 주요 내용: 폐플라스틱 활용 업사이클 수거함 제작 및 배포 (21.08.20)- 행사 일시 : 21.08.20- 주관 업체 : ㈜도담스튜디오- 행사 결과 : 수거 참여 32개소 업체 전달 및 배포, 환경 교육 진행 ④ 9월 제주국제협력센터 환경 교육 - 주요 내용 : 국제협력센터 환경관련 교육 진행 (21.09.24)- 행사 일시 : 21.09.24 (10:00 ~ 12:00)- 주관 업체 : ㈜도담스튜디오참여 인력 : 국제협력센터 협력 제주대학교 재학생 15명 참석행사 내용 : 제주도내 환경 선순환, 도담스튜디오 소개 및 지속 가능성 강의 진행 ⑤ 10월 녹색 연구자 라운지 환경 캠페인 - 제주대학교 LINC +사업단 주관 녹색 연구자 라운지 환경 캠페인 (21.10.13 ~ 10.15)- 주요 내용 : 전시 참여 업체 선정- 행사 일시 : 21.10.13 ~ 10.15 (10:00 ~ 18:00)- 참여 인력 : 총 10명 참여 (후후, 도담스튜디오, 미간 등)- 행사 장소 : 한라마을 작은 도서관행사 결과 : 2일간 전시 참여 및 참여자 대상으로 환경 관련 교육 진행⑥ 제주관광공사 ‘세상에 이런 트립’- 주요 내용 : 제주관광공사 ‘세상에 이런 트립’ 환경 행사 주관 업체 선정 (21.09.24)탄소 제로 여행을 지향하는 플로깅 정화 캠페인행사 장소 : 제주공항 - 이호방면- 행사 일시 : 21.08月 ~ 10月 진행참여 인력 : 총 45명 환경 관련 인플루언서 참여- 주관 업체 : 제주관광공사, 한국공항공사 제주지사, 티웨이항공, 이호동 어촌계, 푸른컵, 지구별약수터, 지구별가게, 도담스튜디오행사 결과 : 업사이클 제품 제작 및 납품, 온 오프라인 마케팅 공동 참여 진행⑦ 산학 엑스포 - 주요 내용 : 산학엑스포 제주대학교 대표 업체 선정, 업사이클 제품 전시 (21.10.20)- 행사 일시 : 21.10.20 ~ 10.21 진행- 행사 장소 : 수원 컨벤션센터참여 인력 : 총 300개 기관, 대학 참여행사 결과 : 산학엑스포 제주대학교 대표 창업 기업으로 선정,업사이클 제품 전시 및 환경, 업사이클 관련 교육 진행 ⑧ 강원진로교육원 환경 교육- 주요 내용 : 강원진로교육원 학생 대상 환경, 지속가능성 교육 (21.10.20)- 행사 일시 : 21.10.20- 행사 장소 : 휘슬락호텔참여 인력 : 강원도 소재지 청소년 15명, 강원진로교육원 일동행사 결과 : 청소년 대상 환경, 지속 가능성 관련 강의 진행 및 Q&A 진행 나. 수거- 제주개발공사, 제주지속가능발전협의회와 함께 병뚜껑 수거 캠페인 추진- 도내 32개 단체의 병뚜껑 수거 캠페인을 진행- 본 캠페인의 수거, 재활용 총괄 업체로 선정- 연간 8톤 이상의 수거량 확보- 제주대학교 협업을 통해 수거 체계 확산- 각 참여 단체에서 연간 200kg 수거 시 삼다수 장학재단을 통해장학기금 조성 및 후원 예정  다. 제품 제작 ① 데일리스티치협동조합데일리스티치협동조합과 도내 생산 및 유통을 목표로 협업을 진행매듭백, 호보백, 복조리백 3종류 각 2개 색상으로 총 6품종 생산 진행사업기간 내 성과목표에 따라 품종당 20개 총 120개 생산가방 제작 이후 크라우드 펀딩 진행 및 후원 기금 사용 예정 (21.12) ※ 일정21.07.20 – 데일리스티치 협동조합 사전 미팅21.08.05 – 리사이클 폴리에스테르 원단 매입21.08.16 – 가방 샘플 파악 및 세부 사항 조율21.09.24 – 샘플 제작 및 사진 촬영 진행21.10.10 – 텀블벅 크라우드 펀딩 스토리 기획21.10.20 – 크라우드 펀딩 오픈 예정 신청21.10.27 – 크라우드 펀딩 시작21.11.17 – 크라우드 펀딩 종료 및 발송 준비21.12 – 후원 기금 전달② ㈜서진상사주식회사 서진상사와 리사이클 원단 방직 및 의류 생산 협업을 진행리사이클 폴리에스테르 원사와 면의 적정 배합을 통한 원단 생산4품종 티셔츠 각 500개, 총 2,000벌 제작- 도내 기업, 제주유나이티드 등 기업 로고 디자인 이후 납품 진행 조율 중 (21.12) ※ 일정21.07.15 – 리사이클 티셔츠 제작을 위한 사전 미팅21.08.03 – 리사이클 폴리에스테르 원사를 통한 방직21.08.15 – 원단 방직 이후 염색 공정 돌입21.08.17 – 원단 스와치를 통해 생산 진행 여부 전달21.08.21 – 샘플 티셔츠 제작 및 라벨 등 세부 사항 조율21.08.26 ~ 09.20 – 의류 재단, 봉제, 라벨 작업 진행21.09.21 – 발송 준비 및 화물 일정 조율21.09.23 – 배송 완료 라. 판매① 텀블벅 크라우드 펀딩데일리스티치협동조합과 협업을 통한 제품 크라우드 펀딩 진행매듭백, 호보백, 복조리백 3종류 각 2개 색상으로 총 6품종 생산 진행가방 제작 이후 크라우드 펀딩 진행 및 후원 기금 사용 예정 (21.12) ※ 펀딩 일정21.08.16 – 가방 샘플 파악 및 세부 사항 조율21.09.24 – 샘플 제작 및 사진 촬영 진행21.10.10 – 펀딩 공개 예정일21.10.27 – 펀딩 시작일21.11.17 – 펀딩 종료일21.11.24 – 결제 종료일21.12.05 – 리워드 후가공 및 포장21.12.05 ~ 펀딩 종료 후 후원 기금 전달 3.2 프로젝트 협업 및 홍보가. 협업 진행① 데일리스티치협동조합 – 업사이클 가방 제작협업 내용 : 사회적 기업 데일리스티치 협동조합과 업사이클 가방 공동 제작 협의역할 분담 : 도담스튜디오 – 원단 매입, 라벨 제작, 펀딩 스토리텔링 기획 및 판매데일리스티치 – 가방 봉제 및 디자인 작업, 펀딩 이후 제품 납기※ 일정공동 제작에 따른 사전 미팅 (21.07.20)업사이클 원단 매입 및 라벨 제작 (21.08.05)가방 샘플 파악 및 세부 사항 조율 (21.08.16)제품 사진 촬영 (21.09.24)스토리 기획 후 크라우드 펀딩 진행 (21.10.20 ~) ② 생산기술연구원 – 폐플라스틱 소재 개발협업 내용 : 금형 제작, 플레이크 생산, 재활용 챙심 양산, 소재 테스팅 금형 제작 : 챙심 제작을 위한 금형 틀 제작플레이크 생산 : 자사 분쇄기를 활용한 플레이크 생산재활용 챙심 양산 : 생산기술연구원 내 대형 사출기를 통한 양산소재 테스팅 : ‘PE, PP, PET’에 다른 소재를 배합 ③ 블랙야크 & 우진플라스틱 – 새로운 플라스틱 제품군 생산협업 내용 : 우진플라스틱과 생산기술연구원을 통해 버클 모델링 및 시사출, 소재 테스팅 진행 ④ 한라산 소주 – 도내 폐플라스틱을 활용한 캠핑박스 굿즈 제작협업 내용 : 한라산 소주의 굿즈를 도내 대구플라스틱과 함께 캠핑박스 협업 제작문제점 : 캠핑박스의 업사이클 선순환 구조 구축의 난항으로 캠핑박스에서 미니어처 박스로 협의 중 ※  결과물 활용방안□ 도내 30개 거점을 통해 연간 폐자원 수거 데이터 포집 및 제주 데이터 허브 등록◦ 동부권, 서부권, 서귀포권 3가지 권역으로 32개 단체가 참여 중◦ 이를 거점으로 수거되는 양과 시기를 데이터화 하여 지역별 수거량 파악◦ 연간 데이터를 파악하여 제주데이터허브 수집 데이터 게시 (21.12월)◦ 연간 수집 데이터 업로드 (매년 12월) □ 데이터 수집을 통한 유의미한 데이터 활용 방안◦ 수거, 재가공에 발생되는 비용 파악 후 제품 제작 시 사출 비용을 파악하고자 함.- 수거량 대비 재가공 시 발생되는 공임비, 사출비 측정◦ 수거량이 적은 지역의 원인을 파악하고, 이를 개선할 수 있는 솔루션을 제시- 권역별 수거량 파악◦ 인구 밀집, 지역별 수거량에 따라 원활한 수거 동선 파악- 지역별 수거량에 따라 수거 일정 시기, 일정 재조율◦ 수거 이후 재활용률에 따라 소각, 탄소배출권에 따른 경제적 이익 산출- 탄소배출권, 소각에 투입되는 비용대비 경제적 이익, 혹은 사회적 훼손 비용 파악□ 생산기술연구원과의 협업◦ 생산기술연구원 제주지부와 협업을 통해 소재 배합, 사출 테스트 진행◦ 생산 프로세스 상 소재 가공 및 사출 생산을 제주에서 해결할 수 있도록 함.◦ 도내 기업과 협업을 통해 제주에서의 공동 제작물 성과를 도출하고자 함 □ 도민이 참여할 수 있는 메이커 스페이스 조성◦ 도내 메이커 스페이스 ‘팹랩 제주’ 업무 협약 체결 예정 (21.11)◦ 메이커 스페이스 위탁 운영을 통해 청년, 환경과 관련된 교육과 시제품 제작,다양한 도내 유관기관과 함께 양질의 행사를 진행하고자 함. 나. 기대효과1) 환경적 가치□ 제주 폐자원을 활용한 선순환 구조◦ 실제 제주 폐자원을 활용한 제품을 기획, 제작◦ 이를 통해 수거, 분쇄, 가공, 판매 등 일련의 과정에서의 선순환 구조 확립 2) 사회적 가치□ 사회적 가치 실현의 솔루션 제시◦ 사회적 책임을 가져야 할 기관, 기업에 페자원을 활용◦ 이를 제품으로 기획하여 사회적 책임을 실현할 수 있는 솔루션 제시",,,,https://jejudsi.kr/issue/Ar65/PROJECT,[],, 관련 자료 
jejudsi_1OVO,게임 요소가 접목된 환경정화활동 디지털 플랫폼 개발 및 운영,환경,,기간종료," 상세 내용    추진 내용 및 성과■ 환경정화활동플랫폼 '제주를 그리다' 개발   -다운로드 링크 :       * 구글 플레이스토어 버전:    https://play.google.com/store/apps/details?id=com.jejubadang     * ios 버전(애플) :    https://apps.apple.com/kr/app/%EC%A0%9C%EC%A3%BC%EB%A5%BC%EA%B7%B8%EB%A6%AC%EB%8B%A4/id1542568598 <로그인 화면> <메인 화면> <미션 등록> <자원봉사 실적 인증을 위한 정보 등록><활동 실적별 등급> <클린하우스 검색 및 길안내 기능> ○ 개발 목적환경정화 활동과 자원봉사를 접목한 어플리케이션 개발일반인들이 자율적으로 환경정화 활동 미션을 수핼 할 수 있는 환경 구축활동한 실적을 확인하고 자원봉사 실적으로 인증하는 시스템 구축 ○ 주요 기능어플리케이션을 통한 환경 관련 자원 봉사 활동 일정 등록참여자 모집 및 소통 기능자원봉사 활동 실적 인증을 위한 비대면 실적 확인 정보 등록 기능 ( 활동 사진,위치정보,시간 데이터 확인 가능)사용자 인근 클린하우스,재활용 도움센터 검색 및 길안내 기능어플리케이션 사용자간 소통 기능그룹 생성, 관리,그룹활동 관리 기능  ■ 향후 계획자원봉사 수요처 등록 진행 하여 원활한 자원봉사 실적 인증 지원 (5월 수요처 등록 진행)단체,학교 대상 홍보 활동을 진행 하여 가입자 수 확보기업 CSR을 연계 하여 사용자를 위한 다양한 지원 및 활동 지원 ■ 기대 효과○ 정량적 측면지역에 방치된 쓰레기 수거 효과 : 1인 1시간 평균 수거량 10kg(예상)×1일 100명 활동 (가정)시 연간 365t의 쓰레기 수거 효과 기대(참여 인원이 많아 질 수록 수거량 증가)방치된 쓰레기 수거로 인한 사회적비용 및 예산 절감의 효과 기대자원봉사 참여 인구 증가 및 활동율 증가 효과, 20~30대 참여율이 높아질 것으로 기대(제주의 자원봉사자 등록 현황은 전체 인구의 22.5%에 달하며, 활동율은 53%로 타지역 대비 2배 높은 활동은 하고 있으나 고령의 활동 인원이 많은 편. 2017년 조사 기준)○ 정성적 측면기존에 수요처의 정해진 시간,장소에서만 가능 했던 자원봉사 활동을 보다 쉽게 참여 할 수 있어 소규모 정화활동의 활성화 도모소규모 정화활동 활성화를 통한 지역 내 쓰레기 문제 해소에 도움이 되며 관광객과 지역 주민들이 함께 하는 활동을 통한 상생하는 사회적 분위기 조성관광객 뿐만 아니라 지역사회에서도 환경에 대한 문제 인식과 인식개선 효과를 기대  ",,,,https://jejudsi.kr/issue/1OVO/PROJECT,[],, 관련 자료 
jejudsi_1PME,나의 제주 사랑법 - 블록체인 텀블러 사용,환경,,기간종료," 상세 내용프로젝트명 : 나의 제주사랑법 - 블록체인 텀블러 사용 추진 내용 및 성과 ■ 블록체인 텀블러 제작 및 시스템 개발○ 개인별 텀블러 사용횟수 및 마일리지를 확인할 수 있는 블록체인 텀블러 제작○ 텀블러의 사용 횟수 및 적립, 할인혜택과 마일리지를 사용할 수 있는 시스템 개발블록체인텀블러개인별 사용횟수및 마일리지 확인개인별 블록체인 기록 확인 ■ 도내 카페 20곳과 협약을 맺어 블록체인텀블러 운영○ 블록체인 텀블러를 사용할 수 있게 협약한 카페로, 도내 20곳에 결제시스템을 설치하여 텀블러 사용을 용이하게 함○ 제주시 19곳, 서귀포시 1곳 총 20곳 운영- 제주시 : 어반르토아, 카페띠아모 제주중앙점, 위즈커피,, 백년귤화다, 아꼬앙, 온정떡방, 인샵카페, 콤플렉스, 커피순, 두남자이야기, 르토아베이스먼트, 제로스테이션, 카페다제주, 카페다조천점, 저지에, 토토네, 바이티티카카, 망원동티라미수, N109- 서귀포시 : 카페 메이비* 코로나 19로 인해 폐업 및 임시휴업 등 협약진행 중이던 서귀포 3곳이 참여가 불가능하게 됨  ■ 도내 기관과 블록체인텀블러 운영 활성화○ 도내 기관(스타트업베이, 동문시장 청년몰, 휴플, 에이브레인(w360), 일로와, 제주항공 콜센터)을 대상으로 블록체인 텀블러 사용법에 대한 설명과 협약카페 안내 및 텀블러 배포 ■ 블록체인 텀블러 온・오프라인 홍보물 제작 및 진행○ 포스터, X배너, 전단지(거치대), 인증스티커를 제공하여, 블록체인텀블러에 대한 홍보물을 협약카페별과 도내 기관 등에 부착하여 블록체인텀블러 프로젝트 홍보○ 가치더함, 블록체인텀블러, 제주환경보호, 협약카페 소개 및 협약카페 인터뷰 등 블록체인텀블러 사업과 관련한 다양한 정보를 제공함- 네이버블로그 (https://blog.naver.com/valueadd_jeju), 인스타그램(@howtolovejeju), 페이스북(https://www.facebook.com/valueaddjeju) ■ 시범체험단 운영 및 도민 참여형 이벤트를 통한 참여 활성화○ 블록체인텀블러 시범체험단 운영- 블록체인텀블러 SNS채널(블로그, 인스타그램, 페이스북) 및 타 홍보채널을 통해 진행○ SNS 도민 참여형 이벤트 추진- 블록체인 텀블러 사용 후기 이벤트, 플라스틱제로 선언, 의견수렴 이벤트 등을 진행   ■ 블록체인 텀블러 사용 데이터 축적◯ 블록체인 텀블러 사용횟수는 시범운영기간동안 1,148회를 사용함 기대 효과■ 도민 중심의 1회용품 사용량 감소와 환경보보효과◯ 이번 블록체인텀블러 프로젝트를 진행하면서 텀블러 사용횟수는 1,418회로, 프로젝트기간동안 카페당 약 80회의 텀블러를 사용함◯ 카페별로 1달에 사용하는 1회용 플라스틱용품 사용이 평균 2~300개 내외 사용될 때, 1회용컵, 뚜껑, 빨대, 슬리브, 쓰레기 처리비용, 그에 따른 인건비 비용 등이 감소됨◯ 또한 이만큼 1회용품 쓰레기가 감소하므로 그에 따른 사회적 비용도 절약하게 되며, 이를 제주 전역으로 확대한다면 더 유의미한 효과를 볼 수 있음 ■ 텀블러 사용자의 인식변화 및 생활 개선◯ 사용자의 의견수렴 결과, 텀블러를 평소 사용하지 않았다가, 이번 프로젝트를 통해 텀블러를 사용하게 된 경우가 많음◯ 실제 텀블러를 사용할 때 불편함도 있었지만, 환경보호 등에 대한 인식의 변화와 참여자의 생활에서 텀블러 사용 이후 텀블러 사용량이 증가함을 알 수 있음◯ 기존의 생활방식을 변화한다는 것은 쉽지 않은 일이나, 관심을 갖고 노력을 한다면 가능할 수 있으며, 이러한 변화를 통해 제주 환경에 도움이 될 수 있음 ■ 텀블러 사용을 도내 전역으로 확산하고, 제주의 환경문화로 정착◯ 이번 프로젝트를 통해 텀블러에 대한 불편함을 감수하고서라도 사용하는 제주도민과 제주환경을 위해 텀블러 할인을 제공하는 협약카페들이 증가하는 것을 통해 향후 제주에서는 텀블러를 사용하는 것이 당연하게 하는 분위기가 된다면, 제주만의 환경보호 문화로 자리매김할 것이라 기대함",,,,https://jejudsi.kr/issue/1PmE/PROJECT,[],, 관련 자료 
jejudsi_A6OO,"관광객 대상 친환경, 친사회 행동 보상 시스템 구축",환경,,기간종료," 상세 내용1. 사업 주요내용■ 빅게임을 활용한 친환경 행동 보상 게임, 제주 최초 아웃도어 미션형게임, 플레이더 제주“붉은 산호의 수수께끼” 개발“ https://www.jejuolle.org/playthejeju/”“붉은 산호의 수수께끼”는 제주 사람의 발길도 많이 닿지 않았던 길을 걷고 즐기며 퀘스트를 풀어내는 아웃도어 미션 게임모바일 페이지, 미션 키트, 게임이 이뤄지는 장소내의 다양한 지형지물을 활용하여 제시된 퀘스트를 해결함제주 바다를 대표하는 생태 지표의 하나인 붉은 산호를 등장시켜 제주 바다의 환경을 지켰을 때 우리의 보물을 찾을 수 있다는 내용으로 구성함. 세부 시나리오에는 제주 문화를 기반으로 구성, 참여자들이 환경에 대해 다시 생각해볼 수 있도록 구성함.관광객 대상 친환경, 친사회 행동을 제안하고, 관광 프로그램 중에서도 이를 행동으로 유도하기 위해 1) 친환경 관광의 행동 요건 제시(정보 제공 2) 게임 참여시 게임 점수 보상(인지 전환) 3) 게임 중 쓰레기 수거(행동 실행)을 포함함.■ 총 3차(5회)에 걸친 프로토타입 테스트를 초반부터 진행, 사용자 경험 기반의 시나리오 및 게임 동선, 난이도, 게임 몰입도를 확인하여 반영함.■ 네이버 예약 페이지를 연동해, 게임 모객 진행 현재, 무료 프로모션300건과 판매 동시 진행.구매 사이트 “ https://booking.naver.com/booking/5/bizes/329736”원가 19,000 원 => 할인 판매가 9,000 원 적용사업 종료 후에도 KIT 추가 제작을 통해 지속적 운영 계획■ 온라인 및 오프라인 홍보물 제작 및 홍보 진행온라인 홍보용 영상 30초, 1분 제작홍보물 전체 사용할 사진 촬영블로그, 페이스북 카드뉴스 제작관광지 배포용 포스터 및 리플렛 제작■ 고객의 안심 서비스를 위해 제주올레 여행자 센터 안내 담당자 및 콜센터 교육 진행제주 올레 여행자 센터 방문시, 안내 시그니지(TV 홍보물) 노출제주 올레 여행자 센터 담당자 응대 표준화게임 참가 중 안전 사고 발생시, 콜센터 통화 응대 가능■ 서비스 참여 플로우 전반에 친환경 메시지 노출 및 행동 촉구 장치참여전, 관광 준비를 위한 친환경 관광 행위 안내게임 참여시, 친환경 준비에 따른 게임 점수 반영게임 중, 해변가 쓰레기를 주워 클린 하우스 쓰레기통에 버리는 미션 포함게임 종료 후, 설문 연동하여 게임의 의향과 친환경 관광에 대한 공감 설문 기대효과■ 제주지역 첫 시도하는 “아웃도어 방탈출 체험 게임”으로 융복합친환경 관광 프로그램의 첫 시도관광객 행동 변화 친환경 관광 커뮤니케이션을 기반으로 한 관광 프로그램재미와 색다른 경험을 추구하는 20-30대를 주타겟으로 하는 체험형 게임으로, 다양한 제주 문화와의 결합한 컨텐츠 확대의 가능성 확인게임 참여자 대상의 설문 결과, 게임의 만족도도 높을 뿐 아니라 게임 참여후 친환경 관광 정보 제공의 필요와 여행지에서도 쓰레기는 내가 되가져야 가야겠다는 공감이 가장 높게 나타남.친환경 관광에 대한 정보를 관광객에게 제공하는 것은 상당히 긍정적인 효과가 있을 것이라 기대함. 향후, 제주 관광 정책에서도 제주 관광을 안내할 때 이러한 메시지 확대가 동반하는 방침을 정책적으로 실행하기 위한 시범 사례로 고려됨.덧붙여 게임 코스에 속해 있는 #유토피아 갤러리 #솔빛 카페 #60Beans의 협업을 통해 인근 상권이 게임 참여자들로 인해 방문 및 매출 증가가 부수적인 효과로 따라올 것으로 기대함.단, 코로나 19로 인해 관광 시장 위축으로 인해 모객 활성화가 이뤄지지 않아 참여자의 확대는 시간이 소요될 것으로 고려되어, 전반적인 성과 효과는 이후에 발생할 것으로 예상함.",,,,https://jejudsi.kr/issue/A6oO/PROJECT,[],, 관련 자료 
jejudsi_1WP3,,환경,,기간종료,,,,,https://jejudsi.kr/issue/1Wp3/PROJECT,[],,
jejudsi_ARBN,,환경,,기간종료,,,,,https://jejudsi.kr/issue/Arbn/PROJECT,[],,
jejudsi_LQRB,,환경,,기간종료,,,,,https://jejudsi.kr/issue/LqrB/PROJECT,[],,
